@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R7-10,22-23,27,31-34,37,39,45,49,53,55-56,58'

@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_george numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_re numeric
@attribute Char_freq1 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0,4.586,24,1
0.25,0.17,0.59,0.08,0,0.85,0,0,0,0,0,0,0,0.08,0,0.117,7.484,669,1
0,0,0,0.31,0,0,0,0,0,0,0,0,0,0.94,0,0,2.132,22,1
0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.052,68,1
0,0,0.19,0.38,0,0,0,0,0,0,0,0,0,0.29,0,0.059,9.039,148,1
0,0,0,1.01,0,0.2,0,0,0,0,0,0,0,0,0,0.302,1.727,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.219,3.875,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0.212,4.125,21,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,5,1
0,0,0,0.44,0,0,0,0,0,0,0,0,0,0.44,0,0.15,2.428,28,1
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.317,0,4.823,13,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,17,1
0.44,0.17,0.79,0.79,0,0.79,0,0,0,0,0,0,0,0.08,0,0.211,6.725,583,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716,4.512,43,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,33,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.938,33,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.818,46,1
0,0,1.32,1.54,0,0,0,0,0,0,0,0,0,0,0,0.114,9.1,65,1
0,0.03,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.065,2.106,46,1
0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,2.807,39,1
0,0.16,0,0.65,0,0.98,0,0,0,0,0,0,0,0,0,0.29,2.257,13,1
0,0,0.22,2.75,0,0.45,0,0,0,0,0,0,0,0,0.028,0.229,4.444,138,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333,19,1
0,0,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0.765,1.284,5.944,54,1
0,0,0,0,0,0,0,0,0,0.32,0,0,0.64,0,0,0,1.987,28,1
0.28,0.28,0,0.56,0,0,0,0,0,1.4,0,0,0,0.28,0,0,5.635,114,1
0,0.61,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.025,1.377,13,1
0.07,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0.024,0.183,3.211,84,1
0,0,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0.015,2.531,89,1
0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,21.428,62,1
0.53,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,4.391,66,1
0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,1.75,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,5,0
0,0.18,0,0.12,0,0.06,0,0.3,0,0,0,0.18,0.24,0.18,0,0.026,1.873,29,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.647,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,10,0
0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,1.687,10,0
0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,1.416,6,0
0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0.109,0,3.606,119,0
0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,2.448,37,0
0,0.14,0,0,0,0,0,0,0,0,0,1.16,0.29,0.14,0.144,0,4.113,52,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5,0
0,0,0,0.27,0,0,0,0.27,0,0,0,0,0,0,0,0,2.593,18,0
0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,2.533,21,0
0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0.51,0,0,1.78,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,0
0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.644,13,0
0,0,0,1.4,0,0,1.4,0,0,1.4,0,0,0,0,0,0,3.875,28,0
0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,121,0
0,0,0.44,0.04,0,0,0.04,0,0,0.57,0,0.08,0,0,0.163,0.011,3.851,64,0
0,0,0.66,0,0,0,0.04,0,0,0.14,0,0,0,0,0.145,0.013,3.685,85,0
0,0,0,0,0,0,0.54,0.27,0.27,0,0.27,0.54,0.27,0.54,1.411,0,4.891,20,0
0,0,0.23,0,0,0,0,0,0,0.46,0,0.23,0.23,0,0.033,0,1.554,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0.93,0,0,1.86,0.93,0.93,0,0.93,0.93,0.93,0.93,0,0,2.097,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.541,12,0
0,0,0,0,0,0,1.16,0,0,0,0,0,0,1.16,0,0,1.066,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,4,0
0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.309,8,0
0,0,0,0.81,0,0,0,0,0,0,0,2.43,0,0,0,0,2.136,7,0
0,0,0,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0,2.891,28,0
0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333,13,0
0,0.82,0,0,0,0,0,0,0,0,0,0.41,0,0.41,0,0,1.394,12,0
0,0.43,0,0,0,0,0,0,0,0,0,0.14,0,0,0.056,0.028,2.394,24,0
0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,1.833,8,0
0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,1.411,4,0
0,0,0,0,0,0,1.17,0,0,1.17,0,0,0,0,0,0,2.541,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.888,29,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0,1,1,0
0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,2,4,0
0,0,0,0,0,0,0,0,0.1,0.7,0,0,0,0,0,0,2.037,18,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,4.23,24,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.827,5,0
0,0,0,0,0,0,0.08,0,0,0.61,0,0.08,0,0,0.079,0.022,2.432,24,0
0,0,0,0,0,0,16.66,0,0,0,0,0,0,0,0,0,1.8,5,0
0,0,0,0,0,0,0,0,0,0,0,1.48,1.48,0,0,0,4.228,53,0
0,0,0,0,0,0,0.77,0,0,0,0,0,0,1.55,0,0,3.16,10,0
0,0,0,0,0,0,0,0,0,0,0,0,2.56,2.56,0,0,2.454,15,0
0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,1.969,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,1.8,17,0
0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,2.185,11,0
0,0.21,0.31,0.1,0,0.21,0,0,0,0,0,0.21,0,0,0.043,0.057,2.409,23,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,1.574,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.714,22,0
0,0,0,0,0,0,2.73,0,0,0,0,1.36,0,1.36,0,0,2.035,13,0
0.3,0,0,0,0,0,0.3,0.15,0.15,0.45,0.15,0.15,0.15,0.15,0,0,1.703,12,0
0,0,0,0,0,0,8.88,0,0,0,0,2.22,0,2.22,0,0,1.3,5,0
0,0,0,0.64,0,0,0.64,0,0,0.64,0,0,0,0,0,0,4.062,28,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428,3,0
0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0.027,0,1.894,22,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,17,0
0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,4.166,14,0
0,0,0.28,0,0,0,1.7,0,0,0,0,0,0,0.85,0.046,0,1.834,15,0
0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0.601,3.36,13,0
0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,1.794,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.533,5,0
0,0,0,0,0,0,0,0,0,0.22,0,0.11,0,0,0.053,0,2.367,24,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.461,17,0
0,0,0,0,0,0,0.7,0.35,0.35,0.35,0.35,0.35,0,0.7,0,0,1.506,12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.352,3,0
0.59,0.29,0,0.29,0,0,0,0,0,0,0,0,0,0.29,0.089,0.134,1.6,15,0
0,0,0,0,0,0,1.36,0,0,0,0,0.68,0,0,0,0,1.294,5,0
0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.348,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,7,0
0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,1.29,5,0
0,0.39,0,0,0,0,0,0,0,0.39,0,0.39,0,0,0,0,2,38,0
0,0,0,0,0,0,0,1.16,0,0,0,0,1.16,0,0,0,1.515,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,1.104,2,0
0,0.27,0,0,0,0,0,0,0,0.13,0,0.27,0,0,0.161,0,2.296,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607,8,0
0.67,0,0,0,0,0,0.67,0,0,0,0,0,0,1.35,0,0,1.87,7,0
0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,2.333,5,0
0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,2.333,5,0
0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,2.52,55,0
0,0,0.35,0,0,0,0.02,0,0,0.14,0,0.38,0,0,0.203,0.008,2.95,52,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.958,6,0
0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0.373,0,1.529,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.33,0.83,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,0.051,4.984,70,0
0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,1.484,11,0
0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,2,12,0
0,0,0.55,0,0,0,0.05,0,0,1.16,0,0.81,0,0,0.203,0.014,2.88,45,0
0,0,0.1,0.31,0,0,0,0,0,0,0,0,0,0,0.035,0.053,1.744,29,0
0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.043,2.272,24,0
0,0,0,0.29,0,0,2.38,0.29,0.29,0,0.29,0.89,0.89,0.59,0,0,1.843,17,0
0,0,0,0,0,0,2.63,2.63,2.63,0,2.63,0,0,0,0,0,3.076,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,4,0
0,0.09,0,0.19,0,0,0,0,0,0,0,0.24,0,0,0.02,0,2.655,185,0
0,0,0.13,0,0,0,0,0,0,0,0,0.27,0,0,0,0,2.496,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.357,6,0
0,0,0,0,0,0,1.25,0,0.41,0,0.41,0,0,0.41,0,0,1.444,22,0
0,1.12,0,0,0,0,1.12,0,0,0,0,0,0,1.12,0,0,2,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.068,2,0
0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,3.187,7,0
0,0,0,0,0,0,2.73,0,0,0,0,0,0,1.36,0,0,1.387,7,0
