@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_report numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0.47,0.31,0.05,0.23,0.26,0.97,0.58,1.27,0.26,0,1.11,0.34,0,0,0,0.02,0,0,0.068,0.154,6.094,1
0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,1.28,0,0,0,0,5.538,1
0,0.33,0,0.33,0,0.33,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0.054,2.825,1
0,0.1,0.1,0,0.1,0.62,0.41,0,0.1,0.1,0.1,1.04,0,0,0,0.1,0,0,0,0.049,3.794,1
1.06,0.16,0,0.16,0.08,0.57,0.9,0,0,0,0.49,1.14,0,0,0,0,0,0,0.095,0.095,4.194,1
0,2.43,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.031,1
0,0,0.1,0.53,0,0.64,0,0,0,0,0.74,0,0,0,0,0,0,0,0.097,0,2.104,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,2.9,1
0,0,0,0,1.23,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,2.687,1
0.53,0,1.06,0,0,0.53,0,0,1.06,0,1.59,0,0,0,0,0.53,0,0,0,0,5.558,1
0,0,1.63,0,0.54,0.54,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,2.592,1
0,0,0.36,0,0,0,0,0,0.36,0,0,0,0,0,0,0.73,0,0,0,0,18.37,1
0.19,0.19,0.19,0.97,0.09,1.07,0.19,0.87,0,0.68,0.09,0.29,0,0,0,0,0,0,0,0.031,4.32,1
0.17,0,0.08,0.42,0,0.6,0.17,0.17,0,0,0.34,0.08,0,0,0,0,0,0,0.085,0,4.07,1
0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,1.293,1
0,0,1.11,0,1.11,1.11,0,0,2.22,0,0,0,0,0,0,0,0,0,0.138,0,2.7,1
0.26,0.08,0.08,0.08,0.08,1.15,0.08,0.7,0.35,0.26,0.17,1.5,0,0,0,0,0,0,0.044,0.014,4.137,1
0,0,0,0,0.23,1.9,0,0,0.23,0.23,0,0,0,0,0,0,0,0,0.111,0,4.022,1
0,0,0.21,0,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0.412,13.017,1
0.13,0.27,0,0.83,0,0.55,0.27,0.13,0.13,0.13,0.13,0.27,0,0,0,0.41,0,0,0.025,0,2.329,1
0.44,0,0.44,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0.216,0,0,2.375,1
0,0,0.09,0,0.29,0.48,0.38,0,0,0,0.09,0,0,0,0.09,0.09,0,0.063,0.047,0.031,1.694,1
0.52,0,0,0,0,0.52,1.05,0,1.05,0,1.05,0.52,0,0,0,0,0,0,0,0,2.016,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,0,2.551,1
0,0,0.31,0,0,1.26,0,0,0,0,0.31,0,0,0,0,0,0,0.043,0.086,0.26,3.244,1
0.54,0,0,0,0,0.54,0,0,0.54,0,0.54,0,0,0,0,0,0,0,0,0,2.345,1
0,0,0,0,0,0.41,0,0,0.41,0,0,0,0,0,0,0,0,0,0.218,0,2.35,1
0,0,0,0,0,0.95,0,0,0,0,0.47,0,0,0,0,0.47,0,0,0.082,0,5.187,1
0.27,0.27,0,1.39,0.27,0.55,0,0,0,1.95,0,0,0,0,0,0,0,0,0.279,0,3.706,1
0.78,0,0,0,0,0,0,0,1.57,0,0.78,0,0,0,0,0,0,0,0,0,2.555,1
0,0.37,0.37,0.74,0,0.74,0.37,0,0.37,2.61,0,0,0,0,0,0.37,0,0,0,0,3.337,1
0,0,5.4,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,24.785,1
0.48,0.2,0,0.27,0.41,1.04,0.13,0,1.11,0,0.06,0.69,0,0,0,0.13,0,0,0.105,0,3.401,1
0,0,0,0,0.23,1.9,0,0,0.23,0.23,0,0,0,0,0,0,0,0,0.109,0,4.022,1
0,0,0.36,0.72,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0.297,0,2.446,1
0.41,0,0,0,0,1.25,0,0,0.62,0,0.62,0.2,0,0,0,0,0,0,0.153,0.306,5.132,1
0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0.73,0,0,0.105,0,1.333,1
0,0.8,0.8,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0.134,0,3.115,1
0,0,0,0,0,0.38,0.38,0,0.38,0,0,0.38,0,0,0,0,0,0,0.122,0,1.775,1
0,0,0.18,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0.182,0,1.32,1
0,0,0.45,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0.134,0,0.134,12.176,1
0.1,0.2,0.5,0,0.3,0.7,0.3,0,0.1,0.2,0.6,0.1,0,0,0,0.1,0.1,0,0.11,0.015,8.55,1
0,0,0.86,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0.152,0,2.75,1
0,0.55,2.23,0,0,0.55,0,0,0,0,0,0,0,0,0,0.55,0,0,0.159,0.079,16.739,1
0,0,0,0.59,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,2.103,1
0.1,0.1,0.4,0.1,0.1,0.5,0,0,0.1,0.5,0,0.3,0,0,0,0,0,0,0,0.033,3.166,1
0,0.47,0,0,0.47,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0.056,0,7.18,1
0.79,0.19,0,0.09,0.29,0.59,0.69,0,0.09,0,0.39,0.49,0,0,0,0,0,0,0.267,0,2.324,1
0,0,0,0,0,1.31,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,4.818,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1
0,0.19,0.09,0,0.48,0.77,0.09,1.65,0.58,0,0,0.09,0,0,0.29,0,0,0,0.03,0,1.597,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0,3.168,1
0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.251,1
0,3.05,0,0,0.19,0.76,0.19,0,0,0.38,0,0,0,0,0,0,0,0,0.171,0.024,17.074,1
0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0.42,0,0,0.159,0,1.206,1
0,0,0,0,0.22,0.9,0,0,0.22,0,0.22,0.22,0,0,0,0,0,0.064,0.258,0,7.258,1
0.23,0.34,0.11,0.23,0,0.46,0,0.23,0,0.46,0,0.81,0,0,0,0,0,0,0.075,0.018,4.47,1
0,0,0,0,0,1.31,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,4.818,1
0,0.56,0,0,0.11,1.79,0.22,0.11,0.11,0,0,0,0.11,0,0,0,0,0,0.186,0,2.153,1
0.4,0.14,0.03,1.01,0.1,0.72,0.65,0.36,0.54,0.14,0.29,0.76,0,0,0,0.07,0,0.012,0.042,0,3.328,1
0.25,0.25,0,0,0,1.51,0,1.26,0,0,0,0,0,0,0,0,0,0,0.082,0.124,3.181,1
0.21,0.28,0.21,0.07,0.21,0.79,0.65,0.21,0.14,0,0.43,0.43,0,0,0.07,0,0,0,0.132,0.048,5.114,1
0.09,0,0.09,0,0.39,0.48,0,0.58,0.87,4.1,0.39,0.19,0,0,0,0,0,0,0.14,0,6.813,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493,0.394,3.537,1
0,0.42,0,0,0,0,0,0,0.42,0,0.42,0,0,0,0,0.42,0,0,0.08,0,2.522,1
0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,2.611,1
0,0,0,0,0,0.81,0,0,0.27,0,0,0.27,0,0,0,0,0,0,0.045,0,1.39,1
0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0.714,0,0,4.333,1
0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0.355,0.355,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1
0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.166,1
0,0,0,0.32,0,1.28,0,0,2.56,0,0,0,0,0,0,0,0,0,0.098,0,2.184,1
0.08,0.08,0.08,0,0,1.43,0,0.08,0.53,0,0.08,0.17,0,0,0,0,0,0,0.054,0.027,4.896,1
0.34,0.42,0.08,0.25,0.34,0.51,0.94,0,0.08,0,0.34,0.34,0,0,0,0.17,0,0,0.065,0.065,3.282,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.307,1
0.5,0,0.25,0.5,0.5,2.26,0,0,0.5,0,0,0,0,0,0,0,0,0,0.034,0,4.2,1
0,0,0,0,0.23,1.9,0,0,0.23,0.23,0,0,0,0,0,0,0,0,0.112,0,4.022,1
0,0,0.32,0.32,0,0.32,0.32,0,0.32,0,0,0.32,0,0,0,0.32,0,0,0.105,0,1.494,1
0,0.57,0,0,0.57,0.57,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.421,1
0,0,0,0,0,0.85,0,0,0.85,0,0,0,0,0,0.42,0,0,0,0.082,0.248,7.17,1
0.06,0.12,0.38,0,0,0.64,0.25,0,0,0.06,0.19,0,0,0,0,0,0,0.04,0.03,0,1.729,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.871,1
0.1,0,0.1,0,0.4,0.5,0,0.6,0.91,4.26,0.4,0.2,0,0,0,0,0,0,0.096,0,6.758,1
0.1,0.1,0,0.03,0,0.53,0,0,0.17,0.03,0.1,0.17,0,0,0,0,0,0,0.071,0,2.106,1
0.3,0,0,0,0.3,0.92,0.3,0.3,2.15,0,0,0.3,0,0,0,0.3,0,0,0.1,0.25,3.884,1
0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0.252,0,0,4.157,1
0,0,0.65,0,0,0.65,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,2.5,1
0,0,0.45,0,0,0,0.45,0,0.45,0,0,0,0,0,0,0,0,0,0.135,0,5.571,1
0,0,0,0,0,1.31,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,4.5,1
0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,1.882,6.266,1
1.63,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,2,1
0.19,0.76,0.19,0,0.19,0.57,0,0,0.19,0,3.62,0,0,0,0,0,0,0,0.151,0,11.242,1
0,0,0.37,0,0,0.37,0,0,0.74,0.37,0,0,0,0,0,0,0,0,0.302,0,2.166,1
0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2.681,1
0,0,0,0,0,0,0,0,0.41,0,0.41,0,0,0,0,0,0,0.199,0.53,0,5.019,1
0.5,0.19,0,0,0.12,0.63,0.19,0,0.69,0.06,0.31,1.08,0,0,0,0.25,0,0,0.067,0.022,5.335,1
0.49,0,0.24,0.49,0.49,2.24,0,0,0.49,0,0,0,0,0,0,0,0,0,0.035,0,4.071,1
0,0,0.96,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,1.181,1
0,0,1.96,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0.163,0.489,0,2.3,1
0.1,0,0.1,0,0.4,0.5,0,0.6,0.91,4.26,0.4,0.2,0,0,0,0,0,0,0.093,0,6.8,1
0.77,0.38,0,0.57,0,0.38,0.38,0,0.19,1.15,1.34,0.77,0,0,0,0,0,0.027,0.027,0.054,14.619,1
0.73,0.36,0.73,1.09,0,0.36,0,0,1.09,2.19,1.83,0,0,0,0,0,0,0,0.11,0,3.254,1
0,0,0.73,0,0,0,0,0,0.73,0,0.73,0,0,0,0,0,0,0,0,13.129,2.08,1
0,0,0,2.98,0.27,0.54,0.27,0,0.81,1.35,0,0.27,0,0,0,0,0,0,0.04,0,1.617,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0.213,0,4.6,1
0.6,0,0,0,0.72,2.52,0.6,0,0.6,0,0.72,0.96,0,0,0,0.12,0,0,0.04,0,3.577,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578,0,3.8,1
0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,1
0,0,2.94,1.47,1.47,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0.141,0,140,1
0,0,0,0.42,0.42,0,0,0,0,0,0,0.42,0,0,0,0.84,0,0,0.129,0,1.859,1
0.59,0,1.18,0.59,0,1.18,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0,6.275,1
0,0.56,1.12,0,0,0.56,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0.247,0,5.135,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333,1
0,0.39,0,0.19,0.39,0.39,0,0,0.98,0,0.19,0,0,0,0,0,0,0,0.128,0,2.128,1
0.78,0,0,0,0,0,0,0,1.57,0,0.78,0,0,0,0,0,0,0,0,0,2.555,1
0,0,0,0,0.23,1.9,0,0,0.23,0.23,0,0,0,0,0,0,0,0,0.112,0,4.022,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0.422,0,4.066,1
0,0,0,0,0,0.44,0,0.22,0,0,0,0,0,0,0,0,0,0.037,0.224,0.149,3.384,1
0,0,0.33,0.33,0,0.66,0,0.33,0.33,0,2,0,0,0,0,0.33,0,0,0.23,0,5.279,1
0,0,0.37,0.56,0.37,1.5,0.18,0,1.12,0,0,0,0,0,0,0,0,0,0.066,0.033,3.106,1
0,0,0,0,0,0,0,0,16.66,0,0,0,0,0,0,0,0,0,0,0,4.333,1
0,0,0.45,0,0.45,0.9,0.45,0,1.81,0,0,0,0,0,0,0.45,0,0,0.16,0,3.607,1
0,0.33,0.66,0,0.16,0.99,0,0,0.82,0,0.49,0.33,0,0,0,0,0,0,0.024,0.049,6.161,1
0,0,0.72,0,0,0,0.72,0,0,0,0,0.72,0,0,0,0,0,0,0.364,0,7.781,1
0.44,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0.222,0,0,2.413,1
0,0,0,1.39,0,0.34,0,0,0,2.09,0.34,0,0,0,0,0,0,0,0.105,0,2.366,1
0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0,1.25,1
0,0.18,0,0,0.18,0.56,0,0.18,0.56,0,0,0,0,0,0,0,0,0,0.277,0.03,1.874,1
0,0.18,0.73,0.09,0.27,0.64,0.27,0,0.09,0.18,0.55,0.18,0,0,0,0.09,0.09,0,0.094,0.013,8.445,1
0,0.8,0.8,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0.134,0,3.115,1
0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,1.74,1
0,0,2.1,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.695,1
0,0.72,0,0,0.72,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.379,1
0,0,0,1.12,0,0,0,0,0,0,1.12,0,0,0,0,1.12,0,0,0.212,0,4.1,1
0.26,0.26,0.39,0.13,0,0.78,0.26,0,1.57,0,0.13,0.39,0,0,0.13,0,0,0,0.129,0.021,2.689,1
0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,1.05,0,0,0.169,0,4.047,1
0.17,0.26,0.53,0.17,0.26,1.25,0.17,0,0.62,0.17,0.89,0.08,0,0,0,0.08,0,0,0.066,0.013,6.815,1
0,0,0.32,0.32,0,0.32,0.32,0,0.32,0,0,0.32,0,0,0,0.32,0,0,0.112,0,1.494,1
0,0,0,0,0,0,0,0,0,2.26,0.15,0,0,0,0,0.15,0,0,0.051,0.46,6.3,1
0,0,1.61,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.941,1
0.05,0.07,0.15,0.02,0.1,0.47,0.02,0,0,0.1,0.05,0,0,0,0.1,0,0,0.042,0.101,0.059,2.565,1
0,0.69,0,0,0,0.69,0,0,0.34,0,0,0,0,0,0,0,0,0,0.056,0,3.728,1
0.1,0.3,0.2,0.5,0.2,0.8,0,0,0,0.2,0.1,0.2,0,0,0,0,0,0,0.175,0.014,6.937,1
0.56,0,0,0.84,0.28,1.41,0,0,0,1.98,0.28,0.84,0,0,0,0,0,0,0.129,0,3.979,1
0,0.35,0,0,0,0.53,0,0,0,0,0,0.17,0,0,0,0,0,0,0.066,0.63,16.418,1
0,0,1.43,0,0,0.95,0.47,0,0,0,0.47,0,0,0,0,0,0,0,0,0,7.709,1
0,0.43,0.86,0,0,1.3,0,0,0,0,0,0,0,0,0.43,0,0,0.063,0.126,0,4.297,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0,1.44,1
0,0,0,0,0,1.31,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,4.818,1
0,0.89,0,0,0,0,0.89,0,0.89,2.67,0,0,0,0,0,0.89,0,0,0,0,1.826,1
0.27,0.27,0,1.37,0.27,0.55,0,0,0,2.2,0,0,0,0,0,0,0,0,0.279,0,3.621,1
0,0,1.05,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,2.05,1
0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,1.895,1
0,0,0,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,5.21,1
0,0,1.04,1.04,0,1.04,0,0,2.08,0,0,0,0,0,0,1.04,0,0,0,0,10.692,1
0,0.28,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0.57,0,0.103,0,2.417,1
0.6,0,0,0,0.72,2.52,0.6,0,0.6,0,0.72,0.96,0,0,0,0.12,0,0,0.041,0,3.548,1
0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0,4,1
0.46,0.33,0.06,0.2,0.33,0.66,0.93,0,0,0,0.13,0.26,0,0,0,0,0,0.012,0.038,0.115,4.754,1
0.16,0.24,0.49,0.33,0.24,1.24,0.16,0,0.82,0.16,0.91,0.16,0,0,0,0.08,0,0,0.132,0.026,5.872,1
0,0,1.03,1.03,0,1.03,0,0,2.06,0,0,0,0,0,0,1.03,0,0,0,0,10.692,1
0,0.35,0.17,0,0.17,0,0.17,0,0.17,0.17,0,0,0,0,0,0,0,0,0.027,0.055,7.527,1
0.17,0,0.05,0.05,0.05,0.52,0.29,0.05,0,0.23,0.75,0.05,0,0,0,0,0,0.01,0.051,0,1.796,1
0.52,0.42,0.03,0.1,0.28,0.7,0.56,1.19,0.24,0,0.38,0.63,0,0,0,0.07,0,0,0.075,0.116,6.152,1
0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.56,0,0,0.102,0,2.403,1
0,0.64,0,0,0,0.64,0,0,0.32,0,0,0,0,0,0,0,0,0,0.053,0,3.932,1
0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,1.28,0,0,0,0,5.538,1
0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,5.75,1
0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0.182,0,3.545,1
0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.684,1
1.19,0.59,0,0.59,0,0,0.59,0,0,0,0,0.59,0,0,0,0,0,0,0,0,1.437,1
0.74,0,0.74,0,0.74,0.74,0,0,0.74,0,0.74,0,0,0,0,0,0,0,0,0.236,2.15,1
0.32,0,0.32,0,0,0,0,0,0,0.98,0,0,0.32,0,0,0,0,0,0,0,337.25,1
0.09,0,0,0.18,0,0.73,0,0.36,0,0,0.36,0.09,0,0,0,0.27,0,0.016,0.048,0.032,3.689,1
0,0,0,0,0,0.76,0.76,0,0,0,0,0,0,0,0,0,0,0,0.829,0,5.607,1
