@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2,8,10,12-13,18-21,31,37'

@attribute Sp12 numeric
@attribute Sp18 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp24 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp44 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
77,120,32,146,78,63,101,90,47,94,2
42,146,34,142,63,37,119,133,44,115,2
32,142,32,142,47,34,124,143,44,131,2
34,142,32,142,44,34,129,143,44,131,2
34,124,40,116,44,34,114,129,44,115,2
34,116,37,116,47,37,114,122,47,115,2
37,113,37,113,47,34,110,119,44,111,2
117,94,112,90,97,111,114,87,89,106,3
103,83,95,75,82,88,93,73,78,78,7
77,57,57,42,57,60,63,48,57,64,5
66,57,60,60,60,53,82,83,50,115,2
106,83,92,80,76,89,94,76,80,100,4
92,76,92,80,80,89,98,79,84,100,4
63,133,34,143,72,49,115,113,47,100,2
102,83,111,90,76,98,102,79,88,96,3
115,90,111,87,88,102,106,83,84,104,3
88,65,79,65,72,81,78,65,72,87,7
111,94,115,94,88,99,104,81,84,96,3
94,76,89,76,76,95,100,81,80,100,4
49,142,31,142,68,39,118,132,43,104,2
34,120,40,116,50,36,122,121,46,118,2
31,128,31,124,50,29,133,135,46,113,2
40,102,55,91,64,71,91,70,71,74,2
98,94,120,98,71,103,108,85,92,96,3
111,98,120,94,84,112,122,92,92,104,3
120,94,115,94,92,112,118,92,88,96,3
106,83,98,83,84,95,104,81,84,104,7
59,65,49,57,60,54,79,70,53,77,5
91,74,91,74,79,95,100,79,79,100,4
91,81,99,81,79,95,100,79,84,100,4
29,139,31,139,48,32,128,141,44,104,2
36,121,36,121,48,34,118,125,44,122,2
71,59,75,59,67,79,81,62,71,84,7
95,74,83,67,71,79,85,67,71,80,7
75,56,61,59,71,79,89,75,63,88,7
51,96,34,128,55,51,85,75,51,84,5
48,59,54,63,51,45,74,62,55,96,5
95,79,99,79,82,96,104,81,82,105,4
87,100,34,137,82,100,100,85,78,114,3
32,121,37,121,49,34,117,125,46,114,2
40,83,64,67,63,63,88,70,66,75,2
32,129,32,133,46,34,119,135,52,101,2
32,129,49,100,52,60,97,83,63,67,2
83,66,75,66,71,77,79,68,71,82,7
71,70,56,70,71,63,79,72,63,85,5
49,63,53,66,56,51,68,60,56,74,5
108,83,99,79,97,115,114,90,89,115,3
91,79,95,75,82,92,101,83,85,106,4
45,120,37,116,67,43,97,108,44,94,2
77,64,81,64,70,79,82,65,70,74,7
102,80,43,108,97,89,98,72,64,113,3
53,122,37,136,64,55,98,98,57,83,2
63,58,67,51,68,66,64,54,64,71,7
67,55,67,55,64,69,71,54,68,67,7
79,62,79,65,68,73,78,61,72,71,7
84,69,84,69,76,81,90,72,72,87,7
84,69,75,69,72,77,90,72,68,87,7
53,69,53,65,57,46,90,83,44,100,5
49,115,29,129,44,46,102,102,44,96,2
37,129,29,136,50,31,111,120,44,96,2
89,83,59,91,92,95,104,74,71,109,3
73,98,55,102,64,75,83,70,71,77,2
55,68,46,83,53,45,96,96,46,100,2
37,102,31,120,43,42,96,96,50,104,2
112,88,107,85,97,116,113,92,93,117,3
112,85,103,81,97,111,113,92,88,122,3
71,56,71,59,67,72,70,58,67,73,7
79,74,61,74,71,79,93,71,67,88,7
31,107,31,114,44,32,104,104,44,104,2
116,96,111,96,95,113,117,96,104,119,3
111,87,111,87,99,109,117,89,95,105,3
72,54,72,58,63,71,69,55,63,75,7
72,54,68,54,63,75,76,59,66,79,7
68,54,72,54,66,71,73,55,63,75,7
72,54,72,54,63,75,73,59,66,82,7
68,58,72,58,66,71,69,55,66,72,7
72,58,72,58,66,71,73,55,66,72,7
68,79,68,79,78,79,96,78,70,93,7
68,71,72,67,66,71,92,74,66,90,5
72,67,72,67,66,71,80,66,63,82,5
34,112,29,121,46,32,104,114,46,101,2
113,89,109,89,92,112,114,90,92,114,3
75,59,79,59,67,77,75,60,71,78,7
83,66,83,66,71,81,82,64,75,93,7
75,78,63,70,75,77,86,68,71,85,4
32,103,32,107,42,30,105,116,42,101,2
112,94,108,90,97,111,114,94,89,111,3
95,68,77,57,78,71,74,55,67,71,7
77,57,81,60,67,75,78,58,67,82,7
77,60,84,64,63,75,78,58,67,78,7
70,60,77,64,70,79,82,65,70,78,7
51,116,32,116,74,43,105,115,50,106,2
75,62,75,62,64,73,78,61,64,79,7
84,73,92,73,76,89,94,76,76,91,7
31,122,31,129,47,34,106,116,44,104,2
120,94,115,94,101,112,122,96,97,118,3
106,83,106,83,84,99,108,85,84,109,4
77,57,73,61,68,75,75,52,64,77,7
77,61,73,57,64,68,75,56,64,74,7
81,65,85,68,71,79,79,67,71,85,7
87,63,68,52,79,79,85,62,67,88,7
68,56,71,56,67,75,70,54,67,76,7
75,59,75,63,67,72,85,62,71,76,7
91,67,83,67,75,87,93,75,71,104,4
61,110,34,107,75,48,104,108,44,100,2
34,107,36,114,55,32,104,112,44,104,2
107,87,107,87,86,109,112,89,90,119,4
79,108,32,112,70,83,100,85,59,97,2
109,85,104,85,92,108,114,86,83,114,4
79,59,75,59,67,77,82,60,67,78,7
75,63,79,63,67,77,75,60,67,74,7
32,92,67,59,59,70,86,64,67,85,4
103,90,112,90,85,115,124,101,93,125,3
108,90,108,86,93,115,114,87,85,120,3
77,60,77,57,70,79,85,62,70,82,7
77,57,77,60,63,75,78,58,67,78,7
70,57,73,57,63,79,82,58,67,78,7
77,60,73,60,67,79,74,58,63,78,7
115,97,120,97,88,120,120,102,92,122,3
115,87,106,87,88,111,111,91,88,113,4
75,62,79,62,68,73,78,57,68,75,7
75,58,71,58,64,77,78,61,64,79,7
67,101,49,90,72,73,86,72,68,87,4
115,102,120,98,76,116,122,99,92,109,3
120,91,111,91,92,107,118,92,88,109,4
77,57,73,54,68,75,79,56,64,77,7
85,83,111,94,68,103,118,96,76,123,1
99,99,116,96,67,103,109,87,88,73,4
99,78,91,74,84,95,93,75,79,96,4
75,59,79,59,71,75,77,58,67,80,7
83,63,83,67,71,83,85,62,67,80,7
79,56,71,59,67,75,81,58,67,100,7
99,78,95,78,79,95,100,79,75,88,4
72,58,75,58,66,79,80,59,66,86,7
83,67,79,67,66,79,84,63,66,82,7
116,100,111,100,66,113,122,100,66,124,1
79,59,79,59,71,77,82,64,67,85,7
100,81,96,78,87,99,105,79,79,105,4
71,74,60,85,59,57,97,86,59,97,5
73,57,77,60,67,75,78,62,63,78,7
88,64,81,60,82,88,93,73,78,90,7
81,60,77,64,78,84,93,69,78,98,7
81,64,77,64,78,88,97,80,74,98,7
66,83,60,83,60,60,93,87,57,98,5
57,86,57,86,53,56,93,87,57,86,5
112,98,103,90,63,115,129,104,63,125,1
70,72,91,75,63,75,82,65,74,82,7
102,80,92,76,84,102,102,79,84,104,4
115,101,106,101,68,115,125,98,68,122,1
111,101,111,97,68,111,125,98,68,128,1
71,58,75,62,72,77,74,61,68,83,7
94,68,81,61,76,91,96,74,76,89,4
85,76,102,79,76,91,96,74,76,89,4
89,65,77,61,80,91,96,74,71,109,7
89,83,106,98,60,99,104,88,68,113,1
94,98,115,98,64,112,118,96,68,118,1
94,79,89,79,64,91,104,81,64,109,1
83,81,95,78,67,87,89,71,79,80,7
99,81,91,74,84,95,100,75,79,104,4
79,67,83,74,63,68,85,67,71,73,5
75,62,79,58,74,79,84,63,66,90,7
87,79,95,79,70,87,84,70,74,93,7
58,71,54,71,59,60,80,70,56,82,5
54,71,61,67,56,49,88,78,56,90,5
83,75,103,87,59,87,92,81,66,110,1
91,87,111,92,63,104,112,89,66,119,1
116,100,111,100,66,109,122,100,66,130,1
79,59,79,66,71,81,82,64,67,82,7
87,78,96,81,79,88,97,72,75,101,7
53,78,49,78,52,51,82,75,52,78,5
109,96,109,100,71,112,114,98,67,119,1
109,100,109,100,67,108,124,98,67,119,1
113,89,87,78,71,108,114,90,63,119,1
91,68,81,64,74,92,93,73,67,94,4
51,75,54,75,53,53,78,69,53,74,5
108,98,112,98,63,111,124,101,63,125,1
112,101,112,101,63,111,124,101,67,120,1
112,101,112,101,67,120,124,97,70,120,1
75,65,84,65,64,77,82,65,64,83,7
92,83,97,83,80,94,102,79,84,104,7
92,83,92,76,80,98,111,83,80,104,3
53,69,75,65,50,52,78,65,53,75,5
111,101,115,101,68,111,115,98,68,122,1
71,58,63,58,64,66,67,57,64,67,7
94,65,81,61,80,87,87,70,68,96,4
102,79,73,79,76,95,100,81,76,96,4
98,61,59,39,80,83,87,59,56,81,3
62,65,81,68,53,68,87,63,64,89,5
111,102,111,98,71,112,122,99,64,123,1
66,57,62,57,64,68,67,56,64,70,7
83,63,83,67,67,79,85,67,71,84,7
91,78,95,81,75,91,96,75,79,96,7
68,56,68,56,63,64,67,54,63,73,7
68,56,68,52,59,68,70,58,63,69,7
87,79,91,75,70,91,96,70,82,82,4
107,100,111,96,63,109,122,96,63,114,1
107,96,107,96,63,104,117,96,63,119,1
111,104,111,100,70,113,127,103,66,124,1
111,100,103,96,66,113,122,103,70,130,1
79,44,53,52,75,66,68,49,56,82,5
109,89,83,78,67,99,110,94,63,114,1
88,72,88,72,74,88,97,69,78,94,4
88,72,88,72,78,88,97,69,74,94,4
81,64,77,64,70,84,85,62,67,86,7
57,75,60,79,67,84,101,87,82,120,5
60,83,77,83,82,106,114,94,93,115,3
88,65,79,62,80,85,94,68,68,91,4
79,69,84,69,76,85,86,72,72,96,7
102,80,79,65,84,102,111,87,80,113,3
60,90,75,87,72,94,111,91,84,118,3
84,90,106,94,92,115,125,102,92,122,1
106,97,111,101,64,111,125,102,68,122,1
89,72,94,72,80,91,96,70,80,96,4
89,68,77,65,80,87,91,70,71,89,4
81,65,73,57,68,79,83,67,68,81,7
62,57,69,72,64,54,75,59,71,77,5
98,94,106,94,64,103,113,92,60,113,1
106,102,111,102,64,112,122,96,68,123,1
87,70,87,70,75,87,89,67,75,88,4
79,67,75,59,67,83,81,67,67,76,7
79,78,95,78,71,99,109,83,79,100,7
87,74,99,85,75,91,96,75,84,96,7
103,96,112,96,71,107,118,96,63,122,1
112,85,91,78,75,107,118,96,67,122,1
87,67,87,67,74,79,80,63,66,82,7
79,67,75,62,66,79,76,63,70,82,7
103,92,107,92,82,113,127,96,90,124,3
103,96,99,92,66,104,108,96,66,101,1
111,96,99,83,74,113,122,100,70,119,1
96,78,91,78,83,95,97,79,83,105,7
100,96,104,92,67,91,101,79,63,97,1
113,96,113,96,67,108,119,94,63,119,1
113,100,109,96,63,108,119,101,67,124,1
109,96,113,96,67,108,119,98,67,119,1
73,60,81,64,63,71,74,58,67,78,7
95,90,91,86,60,92,110,87,57,94,1
95,86,88,86,57,92,105,83,53,94,1
88,90,99,90,57,97,119,94,63,106,1
71,58,71,58,68,73,74,54,64,75,7
92,87,88,83,57,81,90,76,57,91,1
88,83,88,83,57,81,90,76,53,91,1
92,83,88,83,53,89,106,83,53,108,1
111,94,102,91,76,103,108,88,64,104,1
106,94,106,94,64,112,118,96,64,118,1
79,78,79,78,55,72,93,71,55,80,1
103,96,112,96,63,107,118,96,71,108,1
107,99,112,99,67,111,118,100,71,122,1
72,54,72,58,66,67,69,55,66,68,7
75,54,68,58,66,71,76,55,63,72,7
83,67,72,62,70,91,92,78,82,114,7
91,87,87,87,63,91,108,89,56,101,1
71,55,71,55,67,73,72,57,63,85,7
71,55,71,59,63,73,72,60,67,105,7
71,59,67,55,63,77,82,64,71,110,7
71,74,75,78,67,66,79,72,71,89,7
104,96,104,92,79,103,114,94,63,114,1
91,78,79,78,56,84,97,83,52,105,1
109,89,91,78,75,99,110,86,67,114,1
109,100,109,100,67,108,124,98,63,110,1
88,72,66,72,82,79,93,73,67,82,7
73,72,91,83,70,71,89,73,78,82,7
103,98,112,94,89,106,114,94,78,111,3
70,75,73,75,50,71,89,76,50,86,1
84,79,73,75,53,84,101,80,50,102,1
112,94,103,90,74,106,114,87,63,111,1
106,87,102,87,88,106,106,87,88,104,3
79,73,63,69,72,73,78,65,60,75,7
79,76,71,76,50,66,82,72,53,79,1
67,73,67,76,50,66,86,76,53,79,1
79,73,79,80,57,77,98,76,57,104,1
71,65,71,62,60,66,78,68,64,71,7
98,91,111,91,84,107,113,88,88,109,3
111,91,102,87,88,112,122,92,88,109,3
106,87,106,87,84,103,104,81,88,100,3
102,79,98,79,88,95,104,85,80,100,3
73,79,89,83,64,95,104,85,64,89,1
111,98,102,87,68,112,122,103,68,123,1
73,72,69,68,60,61,83,74,60,81,5
95,96,99,88,84,111,118,96,67,112,1
71,74,68,70,51,68,77,71,51,88,1
68,85,95,85,51,72,85,75,59,80,1
112,92,103,88,67,111,128,100,71,122,1
103,88,95,85,71,107,123,96,71,122,1
75,88,99,88,48,58,113,104,59,112,2
87,83,75,75,52,83,96,81,49,90,1
72,79,79,79,52,71,84,70,56,93,1
95,92,99,87,59,100,112,92,70,110,1
111,96,107,96,66,113,122,100,70,124,1
99,96,99,96,70,96,117,92,74,105,5
100,85,104,89,83,103,110,86,92,110,3
96,78,104,85,83,95,101,79,87,105,3
104,85,79,78,59,84,93,83,52,89,1
91,78,83,81,56,77,93,79,52,85,1
71,74,67,70,49,73,93,79,52,89,1
96,85,87,85,59,84,101,83,56,105,1
87,85,87,85,56,84,105,86,59,110,1
87,85,96,89,56,81,105,86,59,105,1
53,125,34,133,49,32,119,135,46,110,2
40,133,32,133,46,30,119,139,42,114,2
96,92,91,96,63,84,105,94,67,97,5
49,66,53,66,59,54,75,68,52,74,5
99,83,99,83,85,97,101,80,82,102,3
99,90,99,86,89,102,114,87,78,102,3
103,90,95,86,67,102,114,90,63,115,1
63,68,54,68,60,67,78,69,60,86,7
106,80,97,80,88,102,106,83,88,104,3
97,83,102,83,88,102,106,79,84,100,3
97,94,97,94,64,94,111,91,53,104,1
79,76,71,73,50,77,94,79,50,91,1
79,73,67,65,53,73,90,76,50,83,1
67,73,75,73,50,69,82,72,53,87,1
97,90,102,90,68,89,102,83,60,91,1
97,97,106,104,64,106,111,98,72,113,1
102,104,111,101,68,111,120,102,80,118,1
111,97,111,97,64,111,125,98,68,122,1
102,83,98,79,84,103,104,85,84,100,3
102,79,98,79,84,99,104,85,84,100,3
94,83,73,76,53,75,96,78,50,85,1
66,76,77,76,50,75,87,78,53,93,1
77,83,85,83,64,87,96,81,60,109,1
112,88,99,81,88,99,104,79,84,112,3
99,81,103,81,84,99,104,79,88,108,3
91,85,75,78,55,75,93,79,51,100,1
83,78,79,85,59,83,96,79,63,96,1
57,88,61,85,55,58,96,87,59,100,5
61,92,83,81,59,64,104,96,71,104,5
99,83,99,83,86,100,108,85,86,105,3
72,75,83,75,49,71,84,78,49,90,1
83,79,75,75,49,79,96,78,52,82,1
75,79,91,83,59,79,96,81,59,101,1
83,83,91,87,56,83,96,81,63,93,1
95,87,87,83,63,100,122,92,63,114,1
58,100,61,100,63,60,96,92,56,97,5
95,79,87,79,70,87,92,78,74,97,4
96,81,104,81,79,95,97,79,83,101,3
79,81,71,74,52,66,86,75,52,89,1
71,70,71,70,52,70,86,72,52,89,1
71,70,75,74,52,73,86,75,59,85,1
71,74,79,78,56,77,90,79,59,93,1
79,70,67,74,59,73,93,75,59,105,1
96,92,104,92,63,103,114,94,67,119,1
104,96,83,89,71,108,124,98,71,114,1
79,85,100,92,67,66,90,79,63,105,1
67,96,60,92,59,66,101,90,59,97,5
60,96,67,96,59,60,97,90,59,97,5
95,83,103,86,85,102,105,87,85,106,3
70,75,77,79,53,71,85,69,53,78,1
103,98,108,98,70,102,114,94,70,115,1
99,79,66,79,67,84,101,87,74,111,1
70,90,60,90,57,71,97,83,60,90,5
97,80,102,83,80,98,102,83,84,104,3
92,83,75,80,64,81,90,76,60,108,1
102,94,106,90,68,106,115,98,72,118,1
106,90,111,97,72,106,115,94,68,122,1
106,90,84,87,76,106,115,94,76,122,1
97,87,92,90,76,102,111,98,80,118,1
92,97,92,83,88,111,120,94,76,122,1
67,80,49,83,60,62,86,83,50,96,5
71,90,88,83,60,73,102,94,76,108,5
115,98,115,87,97,116,122,96,92,118,3
106,98,94,91,84,107,113,96,84,118,3
95,88,103,96,84,103,113,92,88,108,3
71,74,68,70,51,68,85,75,51,84,1
103,92,107,96,71,103,118,96,71,122,1
103,96,107,96,71,107,113,92,71,117,1
87,81,95,88,75,95,100,79,71,104,4
89,72,85,68,68,79,87,67,71,81,4
106,87,111,91,88,107,118,92,88,113,3
49,65,49,68,53,54,71,63,56,70,5
107,78,95,78,79,95,100,79,79,96,4
91,74,91,74,75,91,96,75,75,92,4
103,85,103,81,88,107,109,83,84,112,3
61,81,95,85,75,99,104,83,84,104,3
91,71,87,67,74,87,84,70,74,93,4
100,78,91,70,79,95,93,75,83,101,4
79,66,79,66,63,73,97,83,59,119,2
79,66,71,70,63,60,110,98,49,119,2
104,89,104,89,92,108,110,86,92,110,3
99,86,99,83,78,102,105,83,82,102,3
95,72,91,72,78,92,93,76,78,94,4
34,131,34,131,44,37,119,136,44,131,2
108,86,103,86,89,106,114,90,85,115,3
99,79,99,79,89,102,110,83,85,106,3
31,139,31,135,44,32,134,137,48,133,2
31,135,31,135,44,34,128,129,48,127,2
107,88,107,85,93,107,113,92,88,112,3
79,63,75,63,75,79,85,67,75,80,7
99,79,99,75,82,100,100,81,82,101,3
107,87,107,87,82,104,108,85,86,105,3
109,92,113,89,92,108,119,94,92,114,3
108,86,108,86,89,106,114,87,89,115,3
99,86,103,90,89,106,110,87,89,115,3
112,98,117,94,93,111,114,94,89,102,3
34,140,31,140,44,34,136,139,47,133,2
106,90,111,94,88,111,111,91,92,113,3
106,87,106,87,88,111,115,87,88,113,3
97,76,88,73,64,69,67,54,60,53,5
71,55,71,58,64,66,67,54,64,79,7
31,131,31,128,46,34,122,128,46,128,2
31,143,29,143,44,34,139,146,44,138,2
29,150,31,143,44,32,134,141,44,133,2
71,45,54,38,63,51,50,29,55,62,5
111,92,111,92,95,118,122,96,99,114,3
32,137,32,137,46,32,133,136,46,124,2
29,121,34,112,46,34,112,118,46,110,2
58,79,107,87,49,49,112,107,74,110,2
49,81,100,85,52,70,101,83,79,97,2
100,89,104,89,79,108,110,90,92,110,3
109,92,113,96,96,112,119,94,96,114,3
108,90,108,94,85,111,114,90,97,115,3
77,64,70,57,60,63,63,51,53,60,5
88,76,88,80,76,85,90,72,76,87,4
40,111,40,115,53,55,102,91,64,87,2
111,94,111,94,88,120,120,98,97,122,3
53,48,56,51,57,49,64,50,57,67,5
71,65,71,69,60,62,78,68,60,79,5
59,65,52,65,60,57,75,67,56,77,5
39,92,61,81,63,75,81,62,67,80,7
112,92,107,88,84,99,96,79,79,92,3
29,132,42,78,41,27,123,133,44,122,2
87,71,83,75,70,83,88,74,74,97,7
64,71,58,67,74,71,88,70,59,93,5
61,67,58,67,59,60,80,63,66,82,5
79,63,83,66,71,81,82,64,75,78,7
53,66,49,59,56,51,75,68,52,74,5
66,57,70,57,60,63,67,51,60,71,7
97,83,106,83,92,106,106,83,88,113,3
63,51,67,55,64,69,67,54,64,75,7
71,62,79,58,64,73,78,57,68,75,7
84,73,84,69,72,81,86,72,72,83,7
106,87,106,87,92,107,113,88,92,118,3
107,85,107,88,88,111,113,92,93,117,3
64,78,71,74,67,68,85,79,67,92,5
72,58,72,58,63,71,76,55,63,79,7
72,54,68,54,63,75,80,59,66,82,7
75,67,83,67,70,79,88,66,74,79,7
68,79,58,75,70,79,88,74,70,93,4
104,74,75,63,75,73,75,49,63,70,7
71,59,75,59,67,73,75,60,67,78,7
71,55,71,59,67,77,72,64,71,85,7
84,79,77,79,82,84,89,73,70,90,7
66,68,70,68,67,79,89,80,70,102,5
111,90,111,94,88,106,111,87,88,104,3
111,87,111,90,84,98,102,83,84,108,4
99,85,107,85,88,107,113,87,84,122,4
75,59,75,59,67,75,77,58,71,84,7
71,59,75,59,63,68,74,58,67,73,7
121,100,116,96,95,118,127,100,99,114,3
79,67,83,67,70,79,80,63,66,75,7
104,85,104,89,87,103,105,83,83,114,4
83,85,49,107,71,84,97,72,75,89,4
75,58,71,62,64,77,78,61,68,83,7
75,62,75,58,68,77,78,57,68,79,7
75,55,71,58,68,69,74,57,68,75,7
81,65,81,65,71,83,87,70,71,93,7
81,61,77,61,68,75,79,63,68,77,7
85,76,85,76,76,79,79,63,68,74,7
103,85,99,81,84,99,104,83,84,104,4
79,67,79,63,71,79,85,67,71,84,7
79,67,79,63,71,83,81,67,67,80,7
116,99,116,103,75,116,123,100,75,122,1
91,71,87,67,78,100,104,81,82,105,4
75,62,75,62,70,75,76,59,66,79,7
100,81,91,74,83,99,105,83,79,110,4
79,63,79,63,71,81,90,68,75,97,7
83,59,63,52,79,81,86,64,63,82,7
67,59,83,70,67,66,68,57,59,74,7
112,98,112,98,67,111,124,97,63,125,1
103,83,88,75,63,97,105,87,63,111,1
66,57,70,60,67,67,74,58,63,71,7
75,62,71,65,72,77,82,61,68,83,7
89,72,89,68,76,87,91,67,76,89,4
102,79,81,65,76,79,87,70,68,81,5
77,61,73,65,68,75,75,59,64,81,7
87,74,87,70,75,87,89,67,75,88,4
91,88,112,96,63,103,113,87,71,112,1
68,58,72,62,63,67,69,55,66,68,7
54,72,54,64,60,53,82,73,57,78,5
54,68,57,64,50,56,74,69,53,74,5
108,90,88,75,67,111,119,97,70,120,1
67,65,88,73,64,81,86,68,76,91,7
111,101,111,101,68,111,125,98,64,122,1
66,68,89,76,64,79,91,70,76,89,7
98,83,98,87,84,103,108,85,80,109,3
81,65,89,79,64,83,91,74,60,100,1
106,98,111,102,64,107,122,96,68,118,1
79,74,91,78,71,83,89,71,75,88,7
54,59,57,63,55,54,74,58,55,73,5
107,87,107,87,82,104,112,89,82,110,3
103,79,83,75,70,109,122,96,63,119,1
79,63,83,66,67,77,86,64,67,82,7
104,92,104,96,63,103,119,94,63,114,1
54,57,57,57,57,63,78,62,60,74,5
103,98,108,98,63,106,119,94,63,120,1
84,62,84,69,72,77,82,65,64,83,7
67,58,60,65,60,49,74,57,64,75,5
60,62,71,69,64,66,74,61,60,71,5
77,57,49,57,71,61,75,52,60,74,5
111,98,111,98,64,107,118,96,64,118,1
107,92,107,96,90,109,117,96,95,124,3
103,92,99,92,66,104,117,92,66,105,1
91,83,95,79,78,97,101,83,82,102,7
91,86,95,90,57,88,101,83,57,90,1
77,65,73,61,64,83,83,70,68,85,7
98,79,85,68,84,87,96,70,76,89,7
115,102,111,94,84,116,122,99,76,113,1
81,76,85,76,56,79,91,78,53,93,1
81,83,85,83,53,79,96,78,46,93,1
111,98,111,94,68,112,128,99,76,118,1
83,85,87,81,59,91,104,83,59,96,1
107,99,112,99,79,116,118,96,75,117,1
112,96,112,99,67,111,123,100,67,127,1
72,58,72,58,66,71,76,55,63,72,7
91,75,87,71,66,63,88,74,70,79,7
87,79,83,79,74,79,88,74,74,90,7
72,71,75,79,52,75,92,74,56,97,1
91,92,95,83,70,104,108,92,66,105,1
