@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,6-7,11-13,16,21,23,27-28,30,35,47,49-50,53-54,57-58'

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_free numeric
@attribute Word_freq_your numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_table numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.59,0.44,0,0.03,0.03,0.29,0.67,0.59,0.22,1.53,0.59,0,0,0,0.03,0,0,0.075,0.531,0.137,2453,1
0.12,1.76,0,0,0.12,0.5,0.88,0.12,0.25,1.38,1.13,0,0,0,0,0,0.019,0.379,0.119,0,507,1
0,0,0,0,0.38,0,0,0,0.38,1.52,0.38,0,0,0,0,0,0,0.299,0.179,0,285,1
0,0,0,0,1.31,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0.117,0,291,1
0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.185,0.232,607,1
0,0,0,0,0,0,0,0,0.43,0.43,0,0,0,0,0,0,0,0,0.146,0.183,642,1
0.46,0,0,0,0,0,1.38,0,0,2.31,1.38,0,0,0,0,0,0,0.49,0.816,0,102,1
0,0.3,0,0,0.15,0.15,0,0.15,0.15,0.76,0,0,0,0,0,0,0,0,0.024,0.049,944,1
0,0,0,0,0,1.02,0,0,0,1.02,1.02,0,0,0,0,0,0,0,0,0,85,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
0.17,0,0,0.08,0.08,0,0.6,0.17,0,3.17,0.34,0,0,0,0,0,0,0.081,0.013,0,574,1
0,0,0,0,1.33,0,0,0,0,5.33,0,0,0,0,0,0,0,0,1.417,0,233,1
0.07,0.02,0,0.2,0,0,0.25,0.25,0.05,0.02,0.37,0,0,0,0,0,0.011,0.022,0.022,0,965,1
1.03,0,0,0,0.68,0,0.68,0,0.68,1.37,0.34,0,0,0,0,0,0,0,0.061,0,91,1
0,0,0,0,0,0,0.85,0,0.85,0.85,0,0,0,0,0,0,0,0.082,0.082,0.248,294,1
0.14,0.14,0,0,0,0.14,0.58,0,0.14,0.88,0,0,0,0,0,0,0,0.204,0.127,0.102,400,1
0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0.132,0,0,87,1
0,0.68,0,0,0,0,0.68,0,0.34,1.03,0,0,0,0,0,0,0,0.055,0,0,264,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588,0,0,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,1
0.08,0.08,0,1.02,0.25,0.17,0.59,0.17,0.25,0.42,0.85,0,0,0,0,0,0,0.063,0.114,0.012,1402,1
0.76,0.19,0,0.12,0,0.25,1.52,0.31,0.38,1.26,0.44,0,0,0,0,0,0,0.085,0.236,0.064,1059,1
0.08,0,0,0.33,0,0.25,0.67,0.16,0.08,0.42,1.1,0,0,0,0,0,0.012,0.101,0.101,0.012,1834,1
0,0,0,0,0,0,0,0,0.55,1.1,0,0,0,0,0,0,0,0.104,0,0,75,1
0,0.24,0,0,0.12,0.12,0,0.12,0.12,0.6,0,0,0,0,0,0,0,0.018,0,0.018,1234,1
0,0,0,0,0,0,0,0,0.43,1.31,0.43,0,0,0,0,0,0,0.072,0.216,0,320,1
0.16,0,0,0.16,0.33,0.33,1.51,0,0,3.87,0,0,0,0,0,0,0,0.218,0.054,0,621,1
0,0,0,0,0.5,0,0.25,1.52,0,1.52,0.76,0,0,0,0,0,0,0.074,0.412,0,249,1
0.31,0.31,0,0,0.31,0.31,0.31,0,0.94,2.51,0,0,0,0,0,0,0,0.75,0.046,0.046,421,1
0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0.194,0.389,0,72,1
0.09,0.18,0,0,0.09,0.09,0.83,0.36,0,1.56,0,0,0,0,0,0,0,0.056,0.085,0,1171,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1
0,0,0,0.05,0,0.11,0.81,0.05,0,0,0.05,0,0,0,0,0,0.283,0.107,0.053,0,910,1
0,0.1,0,0,0.1,0.1,0.62,0.41,0.1,1.66,0.1,0,0,0,0,0,0,0,0.264,0.049,702,1
0.14,0.14,0,0,0,0.14,0.59,0,0,0.88,0,0,0,0,0,0,0,0.205,0.128,0.102,368,1
0,0,0,0,0.4,0,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,118,1
0.41,0,0,0.61,0,0.2,1.44,0,0.41,3.09,0.2,0,0,0,0,0,0,0.099,0.132,0,565,1
0,0.34,0,0.34,0.34,0,0.34,0,2.04,2.38,0,0,0,0,0,0,0,0.161,0,3.879,328,1
0,0,0,0,0,0,0.39,0,0.78,1.96,0,0,0,0,0,0,0,0,0.092,0,222,1
0,0,0,0,2.1,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1
0,0,0,0.86,0,0,0.57,0.28,0,0.28,0,0,0,0,0,0,0.084,0.126,0,0,1319,1
0,0.23,0,0,0.23,0,0.47,0.23,0.23,1.89,0,0,0,0,0,0,0,0,0.108,0,178,1
0,0,0,0.22,0.11,0,0.33,0.33,0,0,0.55,0,0,0,0,0,0,0.155,0.12,0,302,1
0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,0,0,74,1
0,0,0,0.62,0,0,0,0,1.24,1.86,0.62,0,0,0,0,0,0,0.107,0.107,0.107,150,1
0,0,0,0,0,0,0.9,0.45,0.45,0.9,0.45,0,0,0,0,0,0,0,0.07,0,114,1
0,0.65,0,0,0,0,0.65,0,0.32,1.3,0,0,0,0,0,0,0,0.053,0,0,312,1
0.33,0,0,0,0.66,0,1.32,0,0.66,0.99,0.66,0,0,0,0,0,0,0.116,0.464,0.348,513,1
0,0,0,1.29,0,0,0,0,2.59,1.29,2.59,0,0,0,0,0,0,0.439,0,0.439,125,1
0.1,0.1,0,0.2,0.4,0.1,0.5,0,0.1,1.92,0,0,0,0,0.1,0,0,0,0.39,0.032,1044,1
0,0,0,0.18,0,0.02,0.09,0.11,0,0.02,0,0,0,0,0,0,0,0.116,0,0,9090,1
0.43,0,0,0,0,0,1.29,0,0,1.29,0,0,0,0,0,0,0,0.122,0,0,67,1
0,0.33,0,0.33,0.66,0.16,0.99,0,0.82,0.99,0.49,0,0,0,0,0,0,0.024,0.049,0.049,727,1
0.15,0.21,0,0.15,0.05,0.1,0.95,0.42,0,1.58,0.52,0,0,0,0,0,0.027,0.184,0.388,0.036,1589,1
0,0,0,0,0,0,0,0,0.71,2.15,0,0,0,0,0,0,0,0,0,0,105,1
0.1,0.1,0,0.2,0.4,0.1,0.6,0,0.1,2.02,0,0,0,0,0.1,0,0,0,0.397,0.033,1046,1
0,0,0,1.27,0.42,0.42,0.42,0,0,1.27,3.38,0,0,0,0,0,0.097,0.097,0.39,0,977,1
0,0.37,0,0.74,1.12,0.74,1.49,0.74,0.37,1.87,0,0,0,0,0,0,0,0,0.223,0,93,1
0,0,0,0.63,0,0,0.95,0,0,0.63,0.31,0,0,0,0,0,0,0.103,0.206,0,292,1
0,0,0,0,1.41,0.47,0.47,0,0.47,1.41,0,0,0,0,0,0,0,0,0.288,0,191,1
0,0,0,0.39,0.39,0.39,0,0,0.39,1.96,0,0,0,0,0,0,0,0,0,0,97,1
0,0,0,0,0.5,0,0.25,1.51,0,1.51,0.75,0,0,0,0,0,0,0.078,0.432,0,247,1
0.46,0.33,0,0.53,0.06,0.33,0.66,0.93,0,1.13,0.13,0,0,0,0,0,0.012,0.038,0.192,0.115,813,1
0,0.89,0,0,0,0,0,0.89,0.89,1.78,0,0,0,0,0,0,0,0,0.483,0,42,1
1.18,0.39,0,0.98,0.19,0,0.98,0,0.98,1.38,0,0,0,0,0,0,0,0.238,0.317,0.026,632,1
0,0.31,7.18,0,0.31,0,0,0,0,0.62,0,0,0,0,0.62,0,0,0.183,0,0.122,507,1
0.43,0.43,0,0.1,0.03,0.28,0.79,0.47,0.25,1.3,0.39,0,0,0,0,0,0.011,0.077,2.33,0.113,2370,1
0.23,0.34,0,0.11,0.11,0,0.46,0,0,1.74,0,0,0,0,0,0.46,0,0.075,0.056,0.018,675,1
0.47,0.95,0,0,0,0,2.38,0,0.47,5.23,0,0,0,0,0,0,0,0.253,0.168,0.084,742,1
0,0,0,0,0,0,1.06,0,0,2.65,1.59,0,0,0,0,0,0,0.191,0.478,0,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,3315,1
0.1,0.2,0,1.14,0.2,0.2,0.62,0,0,1.25,1.14,0,0,0,0,0,0.095,0.143,0.175,0.031,1287,1
0,0,0,0,2.32,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0.35,0,33,1
0.51,0.43,0,0.03,0,0.29,0.65,0.65,0.21,1.35,0.51,0,0,0,0,0,0.012,0.08,0.523,0.136,2333,1
0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,1178,1
0,0,0.91,0,0.45,0,0,0,2.75,0.91,0,0,0,0,0,0,0.134,0,0,0.134,621,1
0,0,0,0,1.21,0,1.21,1.21,1.21,0,0,0,0,0,0,0,0,0,0,0,57,1
0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0.118,0,132,1
0,0,0,0,0,0,0.27,0,0.27,0.27,0,0,0,0,0,0,0.333,0.047,0.047,0.381,273,1
0,0.16,0,0.16,0,0.32,0.48,0,1.95,1.46,0.16,0,0,0,0,0,0.673,0.35,0.107,0.026,1038,1
0,1.16,0,0,1.16,0.38,0.77,0,1.93,1.16,0,0,0,0,0,0,0,0,0,0.148,556,1
0,0,0,0,0.44,0,0,0,0.44,1.34,0.44,0,0,0,0,0,0,0.068,0.896,0,325,1
0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0.141,0,0,87,1
0,0,0,0,1.61,0,0,0,1.61,0,0,0,0,0,0,0,0,0.268,0,0,37,1
0.1,0.1,0,0.3,0.4,0.1,0.5,0,0.1,2.03,0,0,0,0,0.1,0,0,0,0.397,0.033,1042,1
0,1.47,0,0,1.47,0,0,0,1.47,1.47,0,0,0,0,0,0,0,0.338,0.169,0.169,170,1
0.05,0.05,0,0,0,0,0.28,0.11,0.17,0.92,0,0,0,0,0,0,0.019,0.099,0.079,0.009,1313,1
0.08,0,4.31,0.16,0.08,0.08,0.24,0.32,0.08,0.57,0.16,0,0,0,0,0,0.344,0.068,0.082,0.151,2923,1
1.24,0.41,0,0,0,0,0.41,0,0.41,1.24,0,0,0,0,0,0,0,0.068,0.549,0,114,1
0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0.233,323,1
0,0,0,0.45,0.45,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,1.083,440,1
0,0,0,0.6,0,0,1.82,0,0.3,1.21,0,0,0,0,0,0,0,0.143,0.143,0,196,1
0.37,0.17,0.06,0.17,0.03,0.1,0.64,0.61,0.51,1.36,0.27,0,0,0,0,0,0.011,0.041,0.136,0,1955,1
0,0,0,0.6,0,0,1.81,0,0.3,1.21,0,0,0,0,0,0,0,0.142,0.142,0,199,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1
0.74,0.74,0,0,0.37,1.12,1.12,0,0,2.24,0,0,0,0,0,0,0,0,0.122,0,208,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.176,0,0,143,1
0,0,0,0.48,0,0,0.96,0,0,2.41,0.48,0,0,0,0,0,0,0.083,0.251,0,247,1
0,0,0,0,0,0,0,0.92,0,0.92,0,0,0,0,0,0,0,0.185,0,0,78,1
0,0,0,0.63,0.63,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0.613,0,174,1
0,0,0,0,0.84,0,0,0.84,0,1.69,0,0,0,0,0,0,0,0.388,0.129,0,249,1
0,0,0,0,0.72,0,0,0.72,0,1.45,0,0,0,0,0,0,0,0.364,0.121,0,249,1
0.44,0,0,1.32,0,0,0,0,0,2.2,2.2,0,0,0,0,0,0.222,0,0.37,0,140,1
0.1,0.2,0,0.8,0.5,0.3,0.7,0.3,0.1,0.7,0.6,0,0,0,0,0,0,0.11,0.158,0.015,1351,1
0,0.52,0,0.52,1.05,0.52,1.05,0,1.05,1.57,0.52,0,0,0,0,0,0,0,0.729,0.091,98,1
0.1,0.3,0,0.9,0.2,0.2,0.8,0,0,1,0.1,0,0,0,0,0,0,0.175,0.175,0.014,1214,1
0,0,0,0,0.65,0,0.65,0,0.65,0,0,0,0,0,0,0,0,0,0,0,135,1
1.18,0.39,0,0.98,0.19,0,0.98,0,0.98,1.38,0,0,0,0,0,0,0,0.237,0.316,0.026,632,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0,0,0,78,1
0.1,0,0,0.1,0.1,0.4,0.5,0,0.91,1.72,0.4,0,0,0,0,0,0,0.096,0.16,0,1426,1
0.32,0,0,0.32,0,0.32,0.64,0,0,3.54,0,0,0,0,0,0,0,0.16,0.107,0,318,1
0,0,0,0,0,0,0,0,1.85,0,1.85,0,0,0,0,0,0,0.291,0,0,87,1
0,0,0,0.18,0.37,0.37,1.5,0.18,1.12,0.93,0,0,0,0,0.18,0,0,0.066,0.165,0.033,292,1
0,0.33,0,0,1.34,0.33,0.33,0,0.67,1,0,0,0,0,0,0,0,0.161,0,0.053,167,1
0.29,0.29,0,0,0,0,0.29,0,0.58,1.46,0,0,0,0,0,0,0,0,0.046,0.046,234,1
0,0.72,0,0,0,0.72,0.72,0,0,1.44,0,0,0,0,0,0,0,0,0,0,40,1
0,0,0,0,0.26,0,0,0,0.26,0.52,0,0,0,0,0,0,0.462,0.084,0,1.051,1078,1
0,0,0,0,0.51,0,0.25,1.54,0,1.54,0.77,0,0,0,0,0,0,0.079,0.434,0,249,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.342,0,80,1
0,0.17,0,0,0.17,0,0,0,0,0.17,0.17,0,0,0.17,0,0,0.108,0.216,0.03,0,3318,1
0,0,0,0,0,0.93,0,0,0,0.93,0,0,0,0,0,0,0,0,0.154,0,50,1
0.2,0.1,0,0.2,0,0.3,1.1,0.1,0.4,2.51,0,0,0.1,0,0,0,0.017,0.159,0.406,0.123,851,1
0,0,0,0,0,1.2,0,0,6.02,1.2,0,0,0,0,0,0,0,0,0,0,87,1
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.609,0,0.304,36,1
0,0,0,0,0,0,0.62,0,1.25,1.25,0.94,0,0,0,0,0,0,0.145,0.388,0.097,319,1
0.27,0,0,0,0,0.1,0.93,0.1,0.38,1.2,0.21,0,0,0,0,0,0.068,0.029,0.058,0.009,539,1
0,0.74,0,1.49,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.307,0,0,139,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1
0,0,0,0,1.96,0,0.98,0,0,0.98,0,0,0,0,0,0,0.163,0.489,0,0,46,1
0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1
0.41,0,0,0,0.41,0.41,0,0.41,0,1.23,0,0,0,0,0,0,0,0.067,0,0,41,1
0,0.29,0,0.59,0.29,0.14,1.04,0,0.29,0.59,1.48,0,0,0,0,0,0,0.084,0.21,0.021,1244,1
0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,1
0,1.05,0,0,1.05,0,0,0,3.15,1.05,0,0,0,0,0,0,0,0,0,0,94,1
0,0,0,0,0,0,0,0,0.62,3.12,0,0,0,0,0,0,0,0.075,0.075,0.226,363,1
0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0.21,0.21,0.105,0,112,1
0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.714,0,0,0,104,1
0.99,0.49,0,0,0,0,0.49,0,0,1.99,0,0,0,0,0,0,0,0,0,0.446,311,1
0.08,0,0,0.32,0,0,0.65,0,0,0.65,0,0,0,0,0,0,0,0.045,0.03,0,196,1
0.85,0,0,0,0,0,0.85,0,4.27,4.27,0,0,0,0,0,0,0,0.146,0,0,150,1
0,2.43,0,0,0.6,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,129,1
0.77,0.38,0,0.57,0,0,0.38,0.38,0.19,1.15,1.35,0,0,0,0.19,0,0.027,0.027,0.191,0.054,921,1
0,0,0,1.21,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0.465,127,1
4.54,4.54,0,0,0,0,0,0,4.54,4.54,0,0,0,0,0,0,0,0,0,0,10,1
0,0.29,0,0,0.58,0.29,0.29,0,1.46,1.16,0,0,0,0,0,0,0,0.086,0,0.043,352,1
0.1,0,0.21,0,0.1,0.1,0.31,0,0,0.31,0.21,0,0,0.1,0,0,0,0.101,0.609,0.253,1609,1
0,0,19.73,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0.087,0,0,292,1
0.13,0.1,0,0.13,0.02,0.05,0.34,0.42,0.87,1.59,0.39,0,0,0,0,0,0.03,0.083,0.145,0.07,3525,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0,0,126,1
0,0,0,0,0,0,0,0,0.47,0.47,0,0,0.94,0,0,0,0,0.332,0,0,161,1
0.58,0,0,0.11,0,0.23,0.93,0.93,0.58,1.51,0.58,0,0,0,0,0,0,0.125,0.104,0.335,1360,1
0.49,0,0,0,0,0,0.49,0,0,1.22,0,0,0,0,0,0,0,0,0.077,0,111,1
0,0.26,0,0.26,0.08,0.26,0.71,0.17,0.88,1.24,0.08,0,0,0,0,0,0.098,0.226,0.254,0.113,966,1
0,0,0,0,0,0,0,0,16.66,0,0,0,0,0,0,0,0,0,0,0,13,1
0,0,0,0,0,0,0,0,0.44,0,0,0,0.44,0,0,0,0,0,0,0,186,1
0,0,0,0,0,1.23,0,0,2.46,2.46,0,0,0,0,0,0,0,0,0.465,0,43,1
0,0,0,0,0,0,0,1.44,1.44,1.44,1.44,0,0,0,0,0,0,0,0.271,0,41,1
0,0,0,0,0.64,0,0.64,0,0,0.64,0,0,0,0,0,0,0,0,0,0,115,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0,0,0,78,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,211,1
0,0.96,0,0,0.48,0.48,0.96,0.48,0,0.96,4.32,0,0,0,0.48,0,0,0.061,0.43,0,727,1
0,0,0,0,0.27,0,0.54,0,1.35,2.44,0,0,0,0,0,0,0,0,0.141,1.41,1118,1
0,0,0,1.29,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0.116,0,63,1
0,0,1.35,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,78,1
0,1.03,0,0,1.03,0,1.03,0,0.51,1.55,0,0,0,0,0.51,0,0,0.257,0.429,0,55,1
0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0.299,0,0,0,26,0
0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,0.115,0,0,122,0
0,0.63,0,0,0,0,1.27,0,0,0.63,0,1.27,1.27,0,0,0,0,0.218,0,0,113,0
0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.262,0,0,23,0
0,0,0,2.43,0,0,0,0,0,1.21,0,1.21,0,0,0,0,0,0.211,0,0,11,0
0,1.28,0,0,0,0,1.28,0,0,1.28,0,0,0,0,0,0,0,0.196,0,0,41,0
0.3,0,0,0,0,0,0.61,0,0,0,0,0,0,0.3,0,0,0,0,0,0,97,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0.153,0,0,329,0
0,0,0,0,0,0,0.96,0,0,0.48,0,0,0,0,0,0,0,0.371,0,0,185,0
0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0.18,0,0,29,0
0,0,0,0,0,0,0,0.89,0,0,0,0,0,0.89,0,0,0,0.269,0,0,84,0
0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0.313,0,129,0
0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.12,0.12,0,0,47,0
0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0.388,0,0.194,104,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
0,0,0,0,0,0,0,0,0,0.51,0,0.51,2.04,1.02,1.02,0,0.158,0.553,0,0,216,0
0,0,0,0,0,0,0.29,0,0,0.29,0,0,0.29,0,0.29,0,0,0.156,0,0.125,611,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0,0,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
0,0,0,0.8,0,0,1.61,0,0,0.8,0,0,0,0,0,0,0,0.417,0,0,24,0
0,0.55,0,0,0,0,1.67,0,0,1.67,0,0,0,0,0,0,0,0.083,0,0,39,0
0,0,0,0,0,0,0,0,0,0,0,16.66,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
0,0,0,0,0,0,0,0,0,0,0,16.66,0,0,0,0,0,0,0,0,13,0
0,0,0,0,0,0,0.73,0.09,0,0,0.36,0,0,0,0,0,0.012,0.1,0.1,0,510,0
0.67,0,0,0,0,0.45,1.12,0.22,0,1.35,0,0,0.45,0,0.45,0,0,0.072,0.072,0.036,347,0
0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0.588,0,0,78,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,0,0,45,0
0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,1.69,0,0,0.123,0,0.371,182,0
0,0,0,0,0,0,0.78,0,0.78,0,0,0,1.56,0,0,0,0,0.544,0.136,0,76,0
0,0,0,0,0,0,0,0,0,0,0,1.85,1.85,1.85,1.85,0,0,0.6,0,0,48,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,34,0
0,0.1,0,0,0,0,0.3,0,0,0,0,0,0.05,0.05,0,0,0,0.141,0,0,1620,0
0,0,0,0,0,0,1.83,0,0,0,0,0,0.91,0.91,0.91,0,0,0.232,0,0,68,0
0,0,0,0,0,0,0.58,0.58,0,2.35,0,1.17,0.58,0.58,0.58,0,0,0.301,0,0,81,0
2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
0.42,0,0,0,0,0,0,0.85,0,0.85,0,0,0,0,0,0,0,0.374,0.124,0,78,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657,219,0
0.44,0.22,0,0,0,0,0.44,0,0,0,0,1.12,0.22,0.22,0.22,0,0.033,0.169,0.033,0,203,0
0,0,0,0,0,0.09,0.59,0,0.09,0.98,0.09,0,0,0.09,0.19,0,0,0.096,0,0,593,0
0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0.884,0,0.294,64,0
0,0,0,0,0,0,0,0,0,0.31,0,0.93,0.15,0.15,0.15,0,0.078,0.235,0,0,323,0
0,0,0,0,1.78,0,0,0,1.78,1.78,0,0,0,0,0,0,0,0,0,0,63,0
0.15,0.31,0,0,0,0.31,0.31,0,0,0.47,0,0.47,0.15,0.15,0.15,0,0.149,0.199,0,0,608,0
0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0.57,0,0.089,0.179,0,0,97,0
0.12,0,0,0,0,0,0.37,0,0,0.24,0,0.12,0,0,0,0,0.12,0.189,0.034,0,535,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,23,0
0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,67,0
0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,29,0
0,0,0,0,0,0,0,0,0,0.9,0,0.9,0,0,0,0,0,0,0,0,125,0
0,0,0,0,0,0,0,0,0,4.47,0,1.49,0,0,0,0,0,0,0,0,16,0
0.58,0,0,0,0,0,0.58,0,0,0,0,1.76,0.58,0.58,0.58,0,0,0.414,0,0,94,0
