@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,4,6-7,9,13,17,19-20,25,27-30,37,39,42,45,50-53,58'

@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_people numeric
@attribute Word_freq_business numeric
@attribute Word_freq_you numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_re numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Spam {1,0}

@data
0.48,0,0,0,0,0,0.48,2.88,0,0,0,0,0,0,0,0,0,0,0.084,0,0.084,0.336,1
0,0,0.1,0.1,0.2,0,0.2,1.72,4.26,0,0,0,0,0,0,0,0,0,0.093,0,0.297,0.156,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0.19,0.19,0,0.95,0,0,0,0,0,0,0,0.19,0,0.19,0.058,0,0.264,0,1
0,0,0,0.31,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0.086,0,0.13,0.173,1
0.4,0,0.2,0.06,0,1,0.06,4.1,0,0,0,0,0,0,0,0,0,0,0.088,0,1.06,0.151,1
0.28,0,0.2,0.16,0,0.41,0,3.74,0,0.04,0,0,0,0,0,0,0,0,0.171,0,0.507,0.493,1
0,0,0,0,0,0,0.53,2.65,0,0,0,0,0,0,0,0.53,0,0,0.186,0,0.093,0.466,1
0,0,1.28,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,1.103,0.11,1
0,0,0,0,0,0,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0.763,1
0,0,0,1.02,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0.17,1
1.25,0,0,1.25,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.044,0,0.223,0,1
0,0,0,0,0.24,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,1
0.13,0,0.27,0.27,1.11,0.27,0,3.91,0.13,0,0,0,0,0,0,0,0,0,0.018,0,1.294,0.182,1
0,0,0,0,0,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.58,0,0,0,0.58,0,0.58,4.06,0,0,0,0,0,0,0,0,0,0,0.192,0,0.192,0,1
0,0,1.1,0.36,0,0,0,2.21,1.1,0,0,0,0,0,0,0,0,0,0.118,0,0.414,0.888,1
0,0,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.35,0,0,0.17,0,0.17,0,0.17,0.17,0,0,0,0,0,0,0,0,0,0.027,0,0.167,0.027,1
0,0,0,2.94,1.47,0,2.94,0,1.47,0,0,0,0,0,0,0,0,0,0.141,0,0.425,0.141,1
0.57,0,0,0.57,0,0,0,4.57,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0.072,0.289,1
0.43,0,0,0.86,1.3,0,0,0.43,0,0,0,0,0,0,0.43,0,0,0,0.126,0,0,0.063,1
0.66,0,0.33,0.33,0.33,0,0.66,1,1,0,0,0,0,0,0,0,0,0.66,0.266,0,0.372,0.159,1
0.28,0,0,0.14,0,0.14,0,0.42,0.14,0,0,0,0,0,0,0,0,0,0,0,0.583,0,1
0.25,0,0.23,0.04,0.38,0.79,0.36,3.49,0,0,0,0,0,0,0,0,0,0.1,0.058,0,0.308,0.672,1
0,0,0.08,0,0.16,0.56,1.13,4.6,0,0,0,0,0,0,0,0,0,0.32,0.121,0,0.337,0.054,1
0.38,0,0.38,0,0,0.19,0.09,3.55,0,0,0,0,0,0,0,0,0,0,0.038,0,0.246,0.894,1
0,0,0.23,0.07,0,0.63,0.31,2.76,0,0,0,0,0,0,0,0,0,0,0.012,0,1.132,0.077,1
0,0,0,0.31,0,0.63,0.63,3.19,0,0,0,0,0,0,0,0,0,0,0.092,0,0.323,0,1
0.2,0,0.8,0.5,0.8,0.3,0,1.31,0.2,0,0,0,0,0,0,0,0,0.1,0.11,0,0.49,0.158,1
0.81,0,0,0.98,0.32,0,0.65,0.98,0.16,0,0,0,0,0,0,0,0,0,0.247,0,0.179,0.674,1
0,0,0,1.41,0,0,0,1.41,0.47,0,0,0,0,0,0,0,0,0,0,0,0.145,0.145,1
0,0,0,0.7,0,0,0.7,2.12,0,0,0,0,0,0,0,0,0,0.23,0.037,0.037,1.362,0.037,1
0,0,0,0,0.48,0,0,0.96,0,0,0,0,0,0,0,0,0,0.24,0,0,0.328,0,1
0,0,0.38,0,0.19,0,0.19,4.03,0,0,0,0,0,0,0,0,0,0,0.031,0,0.349,0,1
0,0,0,0,0,0,0,1.35,0,1.35,0,0,0,0,0,0,0,0,0,0,1.836,0,1
0,0,0.44,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0,0,1
1.15,0,0.28,0.57,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0.142,0,0.19,0,1
0.67,0,0,0.16,0,0.67,0,2.52,0.5,0,0,0,0,0,0,0,0,0,0,0,0.079,0.105,1
0,0,0.38,0.38,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0.38,0,0,0.117,0,1
0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.56,0,0.56,0,3.4,0.85,1.13,0,0,0,0,0,0,0,0,0,0.092,0,0.371,0.046,1
0,0,0.24,0.24,0,0,0.99,3.99,0,0,0,0,0,0,0,0,0,0,0.035,0,0.315,0.035,1
0,0,0.37,0.37,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0.264,0,0,0,1
0,0,0.09,0,0.09,0,0,2.01,0,0,0,0,0,0,0,0,0,0.27,0.048,0.032,0.257,0.032,1
0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0.375,0,1.001,0,1
0.4,0,0.03,0.13,0.54,0.54,0.44,3.19,0,0,0,0,0,0,0,0,0,0.06,0.074,0,0.445,0.519,1
0,0,0,0,2.38,0,7.14,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0.396,0,1
0,0,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0.843,0,1
0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0.173,0,0.173,0,1
0,0,0,0,0,0,0,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.56,0.56,0,0,0,2.84,0,0,0,0,0,0,0,0,0,0,0.288,0,0.768,0,1
0.75,0,0,0.75,0,0,0.37,2.63,0,0,0,0,0,0,0,0,0,0.37,0,0,0.242,0,1
0,0,0,0,0,0,1.23,4.93,0,0,0,0,0,0,0,0,0,1.23,0,0,0.234,0,1
0,0,0,0,0.9,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0.139,0,0.559,0,1
0.47,0,0,0.94,0,0.47,0,1.89,0,0,0,0,0,0,0,0,0,0,0.074,0.074,0,0,1
0,0,0,0,0.23,0,0,3.81,0.23,0,0,0,0,0,0,0,0,0,0.112,0,1.046,0.037,1
0,0,0,0,0.23,0,0,3.81,0.23,0,0,0,0,0,0,0,0,0,0.112,0,1.046,0.037,1
0,0,0,0,0.52,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0.073,0,0.367,0.073,1
0,0,0,0,0,0,0.81,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,1
0.15,0,0,0,0,0.15,0,1.51,0,0,0,0,0,0,0,0,0,0,0.145,0,0.087,0,1
0,0,0,0.97,0,0,0,0,0,0.97,0,0,0,0,0.97,0,0,0,0.167,0,0,0.167,1
0,0,0.4,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0.529,0.33,0.198,0,1
0.06,0,0.13,0,0.75,0.27,0.2,1.16,0,0,0,0,0,0,0,0,0,0.06,0.057,0,0.472,0.092,1
1.56,0,0,1.56,0,0,1.56,0,0,0,0,0,0,0,1.56,0,0,0,0.183,0,0,0.183,1
0,0,0,0.97,0,0,0.48,4.36,0,0,0,0,0,0,0,0,0,0.48,0,0,1.085,0.232,1
0.42,0,0.42,0.08,0.08,0.94,0,3,0,0,0,0,0,0,0,0,0,0.17,0.065,0,0.261,0.294,1
0,0,0.08,0.08,0.08,0.17,0.17,1.2,0,0,0,0,0,0,0,0,0,0,0.085,0.028,0.092,0.014,1
0,0,0.29,0.29,0,0,0.58,2.61,2.61,0,0,0,0,0,0,0,0,0,0.046,0,0.14,0,1
0,42.81,0,0.28,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0.078,0,0.13,0,1
0,35.46,0,0.58,0,0,0.58,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0.239,0.239,1
0,0,0.91,0,0,0.3,0.3,2.12,0,0,0,0,0,0,0,0,0,0.3,0.211,0,0,0.211,1
0.09,0,0.09,0.09,0.79,0.19,0.14,1.53,0.24,0,0,0,0,0,0,0,0,0.04,0.119,0.007,0.431,0.111,1
0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,1.1,0,0,0,0,0,0.136,0.182,1
0.36,0,0,0.36,0,0.36,0,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,0,0.909,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0.462,0,1
0.31,0,0.13,0.05,0.44,0.57,0.44,3.22,0,0,0,0,0,0,0,0,0,0.02,0.068,0,0.331,0.79,1
0.56,0,0,1.12,0,0.56,3.38,3.95,0,0,0,0,0,0,0,0,0,0,0.26,0,1.13,0.347,1
0,0,0,0.72,0,0.72,0,1.45,0,0,0,0,0,0,0,0,0,0,0.364,0,0.729,0.121,1
0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.48,1
0,0,0,0,0.23,0.59,0.11,4.51,0,0,0,0,0,0,0,0,0,0.11,0.038,0,0.155,0.233,1
0,0,0.62,0,0,0,0.62,0.62,0,0,0,0,0,0,0,0,0,0.62,0.11,0,0.331,0.11,1
0.29,0,0.29,0.29,0,0.29,2.33,2.33,0,0,0,0,0,0,0,0,0,0,0.132,0,0.044,0,1
0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0,1
0,0,1.09,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0.403,0,3.427,0,1
0,0,0,0.13,0.66,0.79,0,3.98,0,0,0,0,0,0,0,0,0,0.13,0.109,0,0.414,0.021,1
0.11,0,0.47,0.23,0,0,0.95,1.9,0.35,0,0,0,0,0,0,0,0,0,0.059,0,0.434,0.197,1
0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.64,0,0.64,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0.728,0.08,1
0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1.03,0,0,1.611,1
0,0,0,0,0.44,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0.066,0,0.083,0.05,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,1
1.14,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,1
0.19,0,0.19,0.19,0.87,0.19,0,3.81,0.68,0,0,0,0,0,0,0.09,0,0,0,0.201,0.402,0.232,1
0.51,0,0,0,0,0,0.76,2.04,0,0,0,0,0,0,0,0,0,0,0.457,0,0.29,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.169,0,1
0.27,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0.225,0,0.451,0.496,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0.212,0,0,0.212,1
0,0,0,2.29,0,0,0.76,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.41,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0.53,0.331,0.199,0,1
0.9,0,0,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0.9,0,0,0.17,0.17,1
0.55,0,0.55,2.2,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0.55,0.165,0,0.495,0,1
0,0,0,0,0,0,0.56,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.273,1
1.63,0,0,1.63,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,1.212,0,1
0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.41,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0.218,0,0,0,1
0.38,0,0,0,0.38,0,0,0.38,2.67,0,0,0,0,0,0,0,0,0,0.35,0,0,0.35,1
0,0,1.05,0,0,1.05,0.52,3.15,0,0,0,0,0,0,0,0,0,0,0,0,2.295,0.698,1
0.16,0,0.24,0.04,0.4,0.52,0.36,3.06,0.16,0,0,0,0,0,0,0,0,0.12,0.052,0.066,0.37,0.152,1
0,0,0,0,0,0.56,0.28,2.54,0,0,0,0,0,0,0,0,0,0,0.091,0,1.147,0.045,1
0.29,0,0.29,0,1.47,0.29,0,2.35,0.14,0,0,0,0,0,0,0,0,0,0.023,0,1.003,0.215,1
0.17,0,0.34,0,0,0.17,0.17,0.17,0,0,0,0,0,0,0,0,0,0.34,0.054,0,0,0.027,1
0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.27,0,1.64,0,0.54,0.27,0,1.37,0,0,0,0,0,0,0,0,0,0.27,0,0,0.472,0.128,1
0.17,0,0.32,0,0.29,0.87,0.54,3.47,0.29,0,0,0,0,0,0,0,0,0.07,0.058,0,0.639,0.165,1
0.24,0,0.6,0.6,0.6,0.48,0,1.33,0.12,0,0,0,0,0,0,0,0,0,0.117,0,0.234,0.234,1
0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0.302,1
0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0.309,0,1
0.26,0,0.26,0.08,0.52,0.17,0.34,1.82,0.17,0,0,0,0,0,0,0,0,0.08,0.234,0,0.358,0.261,1
0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,2.013,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0.48,0,0,0.185,0,0,0,1
1.63,0,0,1.63,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0.134,0,0,1
0,0.04,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,9.752,0.003,1.542,1.785,1
0.1,0,0.3,0.4,1.42,0,0,2.23,0.5,0,0,0,0,0,0,0.1,0,0,0,0.264,0.975,0.396,1
0.5,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.267,0,0.445,0.979,1
0.78,0,0,1.56,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0,0,0,1.363,0,1
0.15,0,0,0.46,0,0.15,0.15,2.63,0,0,0,0,0,0,0,0,0,0,0.092,0,0.123,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0.207,0,0.207,0.207,1
0.2,0,0.8,0.5,0.8,0.3,0,1.31,0.2,0,0,0,0,0,0,0,0,0.1,0.11,0,0.488,0.157,1
0,0,0,0,0,0,0,1.88,0,0,1.88,0,0,0,0,0,1.88,0,0.323,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,0,0,0,0
0,0,0,0,0,0,0,0,0,16.66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.39,0.26,0,0,0,4.22,0,0,0,0,0.13,0,0,0,0.107,0,0,0.071,0
0,0,0,0,0,0,0,0.47,0,0.47,0,0,0,0,0.47,0,0,0,0.137,0,0.068,0,0
0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.1,0.2,0.1,0.1,0,0,0,3,0,0,0,0,0,0,0,0,0.097,0,0,0.027,0
0.16,0,0,0,0.16,0,0,0,0,0.96,0.16,0,0,0,0.16,0,0.96,0.32,0.124,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.29,0,0.29,0.29,0,0.29,0,0,0,0,0.29,0,1.75,0,0.052,0,0.052,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.35,0,0,0,0.71,0.71,0,4.62,0,0,0.35,1.06,0.35,0.35,0,0.71,0.055,0.055,0,0,0
0,0,0.23,0,0,0.46,0,2.76,0,0,0,0,0,0,0,0,0,0,0.445,0,0.202,0.121,0
0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3.4,0,1.27,0,0.85,0,0.42,0,0,0,0,0.155,0,0,0,0
0,0,0,0,0.13,0.26,0.13,0,0,1.69,0,0,0,0,0.13,0,0,0,0.105,0,0,0.052,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.14,0,2.29,0,0,0,0,1.14,0,0,0,0,0
0,0,0,0,0,1.81,0,0.72,0,0,0,0,0,0,0,0,0,0,0.126,0,0.063,0.126,0
0,0,0,0,0,2.38,0,2.38,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,0,1.75,0,0.87,0.87,0,0,0,0.87,0.87,0,0.87,0,0.156,0,0,0
0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0,0,0,0,0,0.8,0.133,0,0,0
0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.173,0,0,0.129,0
0,0,0,0,0,0,0,0,0,0,0.65,0,0.65,0,0,0,0,0,0.327,0.109,0,0,0
0,0,0,0,0,0,0,1.19,0,1.19,0,2.38,0,0,0,0,0,0,0.4,0,0,0,0
0,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,2.22,0,0,0.383,0,0
2.07,0,0,0,1.55,0,0,1.03,0,0.51,2.59,0,0,0,0,0,0,0,0.07,0,0,0.141,0
0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,1.69,0,0,0.552,0,0
0,0,0,0.16,0.16,0,0.16,0,0,3,0.33,0.5,0.16,0.16,0.5,0.16,0.66,0,0.162,0.04,0.02,0,0
0,0,0,0,0,0.08,0.08,0.08,0,0.16,0,0,0,0,0.08,0,0,0,0.085,0,0,0,0
0,0,0,0,0,0,0,1.38,0,1.84,0.92,0.92,0.46,0.46,0,0,1.38,0.46,0.362,0,0,0,0
0.33,0,0.33,0.16,0,0,0,2.8,0,0,0.16,0,0,0,0.49,0,0,0.33,0.126,0,0.076,0.076,0
0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.42,0,0.47,0,0,0,0,0,0,0,0.94,0.079,0,0,0,0
0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.6,0,0,0.6,0,3.63,1.21,0.6,0.6,1.81,0,0,0,0.6,0.132,0,0,0,0
0,0,0,0,0.08,0.04,0.08,0.88,0,1.9,0,0.08,0,0.12,0.21,0.21,0,0,0.115,0,0.044,0.051,0
0,0,0,0,0,0,0.51,0,0,1.03,0,0,0,0.51,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2.97,0,0.99,0,0,0,0,0,0,0,0,0,0,0.262,0,0
0,0,0,0,0,0,0,2.09,0,2.09,1.04,0.52,0.52,0.52,0,0,0,1.04,0.309,0,0.309,0,0
0,0,0,0,0,0,0,0,0,2.32,0,4.65,0,2.32,0,0,0,0,0.453,0,0,0,0
0,0,0,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0
0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,2.4,0,0.166,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.272,0,0
0,0,0,0,0,0.19,0.49,0.29,0,2.74,0,0,0,0,0.19,0,0,0,0.067,0,0,0.026,0
