@relation penbased

@attribute At1 numeric
@attribute At2 numeric
@attribute At5 numeric
@attribute At8 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At13 numeric
@attribute At14 numeric
@attribute At15 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
25,93,22,5,59,61,15,67,11,0
31,78,14,0,23,98,62,100,19,0
2,61,41,31,80,67,30,69,11,0
39,100,20,0,37,78,29,100,16,0
29,97,22,0,40,83,37,100,12,0
43,91,0,0,22,100,68,100,21,0
100,81,12,33,0,78,94,58,66,0
19,100,0,0,4,100,73,95,7,0
23,100,8,0,29,100,56,100,14,0
12,95,8,0,31,100,56,100,7,0
42,99,0,0,24,100,74,100,21,0
48,100,0,3,0,86,100,60,76,0
32,64,1,0,21,100,64,100,15,0
59,100,0,5,0,97,100,74,61,0
40,70,0,9,43,100,59,100,28,0
34,100,0,0,25,100,57,92,19,0
43,89,22,3,46,83,30,100,0,0
25,100,0,0,16,100,74,93,25,0
0,75,47,10,54,76,35,100,13,0
5,65,41,11,54,70,23,100,0,0
73,100,0,14,73,42,51,65,41,0
84,97,0,0,26,100,71,100,15,0
73,98,19,41,100,0,76,85,14,0
51,97,0,0,15,100,71,92,18,0
38,99,5,0,49,78,23,84,13,0
2,58,48,24,71,53,6,76,22,0
74,100,29,54,95,0,75,77,6,0
19,100,10,0,25,100,67,98,19,0
25,76,15,1,36,100,58,100,7,0
29,100,11,0,14,100,61,83,11,0
23,74,66,27,74,64,26,73,0,0
24,63,36,11,61,68,14,91,0,0
16,76,16,12,57,75,9,88,0,0
1,92,26,1,51,74,24,83,27,0
63,99,0,0,17,100,79,100,33,0
25,90,13,13,61,60,3,73,10,0
16,67,33,21,60,91,40,99,0,0
44,100,0,0,25,100,65,95,21,0
62,100,0,6,0,88,100,60,63,0
52,95,10,0,24,96,51,100,0,0
31,88,4,0,30,100,56,100,0,0
44,97,0,0,26,100,63,100,17,0
91,100,0,0,70,39,76,71,21,0
20,77,25,9,54,76,26,100,8,0
47,100,5,0,18,100,59,96,4,0
36,84,0,0,9,100,88,94,46,0
18,67,23,0,32,93,54,100,21,0
51,86,9,0,22,100,54,95,0,0
41,90,0,0,23,100,88,100,41,0
100,100,20,0,15,94,56,78,0,0
27,73,41,7,50,78,37,100,0,0
7,68,0,1,0,100,64,91,1,0
40,100,0,0,26,100,60,100,8,0
32,100,0,0,20,100,93,90,47,0
28,82,30,5,54,70,22,100,7,0
58,100,0,0,4,100,83,78,35,0
25,79,32,19,60,81,35,94,0,0
23,97,20,0,35,98,53,100,9,0
15,67,32,24,62,86,37,90,3,0
0,100,20,0,19,100,69,92,28,0
72,100,0,0,19,100,67,97,22,0
10,100,10,0,32,94,46,97,0,0
51,100,0,0,9,100,85,88,40,0
50,100,0,0,17,100,68,94,26,0
23,100,5,0,21,95,53,92,12,0
22,100,10,0,31,97,51,99,0,0
75,89,0,24,0,89,100,62,85,0
33,96,0,0,20,100,93,100,50,0
68,100,0,17,0,77,100,48,78,0
23,95,3,0,16,100,74,85,30,0
40,100,0,0,19,100,92,91,39,0
20,93,9,0,38,100,45,100,0,0
25,67,57,34,74,42,0,67,1,0
45,67,48,26,74,69,28,80,0,0
7,86,15,0,31,96,53,100,8,0
26,83,66,47,100,45,6,47,0,0
35,100,0,0,14,100,68,87,17,0
100,67,24,46,0,57,92,34,91,0
30,49,60,31,71,75,32,90,0,0
34,100,0,1,0,100,85,77,36,0
17,69,42,13,58,63,11,100,0,0
26,88,9,0,30,94,52,100,4,0
100,66,12,5,0,89,86,64,61,0
31,93,8,0,27,100,60,94,0,0
23,73,19,1,29,100,67,100,32,0
19,81,22,17,57,85,33,98,28,0
9,100,0,0,18,100,92,84,46,0
9,77,33,16,56,77,33,100,1,0
27,95,9,0,27,98,61,100,8,0
55,100,0,0,7,91,100,74,65,0
27,100,1,0,8,100,91,77,52,0
34,76,7,0,33,95,49,100,0,0
25,100,5,0,20,98,55,99,0,0
30,96,7,0,42,86,28,100,3,0
44,99,0,0,11,100,88,86,46,0
41,96,0,0,31,100,51,100,18,0
37,84,7,0,35,100,50,100,7,0
20,71,31,12,51,84,37,100,8,0
40,100,0,0,18,100,58,84,3,0
5,77,21,0,49,67,19,93,13,0
11,82,28,7,48,80,32,100,0,0
16,75,27,0,37,85,43,100,7,0
27,76,16,3,40,92,44,100,0,0
37,90,12,0,32,100,55,100,0,0
9,56,40,27,62,90,43,100,0,0
59,100,0,0,22,100,78,97,16,0
94,95,23,29,0,69,100,50,89,0
32,87,0,0,8,100,76,81,29,0
56,100,0,0,20,100,74,96,31,0
26,70,14,4,40,100,60,100,21,0
31,94,2,0,20,100,80,98,37,0
48,99,0,0,24,100,78,100,25,0
56,97,0,0,3,100,95,78,54,0
21,80,35,7,45,77,37,100,0,0
21,100,0,0,20,100,76,96,25,0
25,94,12,0,36,90,40,100,0,0
11,100,1,0,26,100,65,95,13,0
22,89,9,0,24,100,75,100,39,0
98,89,12,27,0,86,100,63,92,0
100,47,43,73,28,31,70,22,78,0
64,59,5,37,0,95,100,58,82,0
22,88,37,12,51,77,37,100,0,0
0,52,79,58,60,74,79,100,27,0
58,100,0,0,6,100,77,92,29,0
10,76,26,9,42,97,57,100,14,0
49,100,0,1,0,100,100,75,62,0
47,98,0,0,23,100,60,100,10,0
25,40,60,35,75,71,30,90,0,0
89,100,0,0,2,100,100,88,45,0
7,72,31,11,56,76,26,100,0,0
34,100,1,0,15,100,66,90,26,0
79,100,0,13,0,99,100,65,71,0
73,85,0,9,57,82,81,78,38,0
93,95,9,21,0,100,99,63,69,0
30,100,0,0,10,100,66,75,21,0
28,97,0,0,21,100,73,100,24,0
48,91,0,0,15,90,100,79,69,0
61,95,0,0,12,100,67,100,20,0
26,91,2,0,8,100,82,92,38,0
23,100,8,0,31,100,55,99,17,0
56,100,0,0,16,100,80,93,28,0
25,76,20,22,69,49,3,65,13,0
26,88,0,0,18,100,76,94,31,0
42,86,36,3,48,86,34,100,0,0
0,70,37,5,43,78,34,100,5,0
38,73,0,0,34,100,47,100,20,0
31,99,0,0,47,76,20,83,12,0
65,100,0,0,8,100,84,86,37,0
28,100,15,0,38,92,43,99,7,0
4,58,66,33,78,57,15,71,0,0
43,78,0,0,30,100,60,100,39,0
39,84,31,0,38,87,44,100,0,0
4,63,52,15,63,72,28,97,0,0
31,91,0,0,15,100,86,91,44,0
48,77,0,0,38,100,48,100,0,0
26,94,6,0,17,100,71,95,27,0
20,75,29,0,26,90,56,100,17,0
21,71,22,10,44,93,47,100,1,0
84,88,3,27,0,91,100,54,84,0
95,31,0,69,100,100,84,30,40,0
58,89,0,0,32,100,67,100,18,0
31,83,6,0,23,100,79,100,47,0
0,58,38,16,55,82,42,100,9,0
35,83,0,0,35,100,56,100,14,0
52,100,0,0,18,100,72,92,21,0
21,100,2,0,18,100,75,91,30,0
16,68,28,23,67,69,16,78,3,0
19,91,10,0,32,100,56,100,7,0
23,83,10,0,23,100,75,97,31,0
23,96,0,0,25,100,81,100,34,0
31,95,0,0,18,100,82,85,37,0
18,90,34,20,67,57,10,73,0,0
37,100,0,4,0,91,100,64,72,0
34,100,0,4,0,100,69,68,14,0
15,80,35,14,61,71,24,86,13,0
0,88,33,0,35,87,50,100,6,0
15,58,33,18,52,93,54,100,15,0
42,93,0,0,11,100,75,100,17,0
6,83,24,11,51,82,35,100,6,0
60,100,0,7,0,97,100,66,62,0
15,100,13,0,22,100,73,100,34,0
56,97,0,11,0,100,91,82,44,0
31,90,17,0,43,100,58,100,21,0
16,68,26,10,50,82,32,100,1,0
21,73,40,18,55,82,37,100,0,0
17,83,0,0,26,100,71,100,26,0
100,66,0,0,32,92,64,61,8,0
35,84,54,28,81,66,30,83,0,0
65,92,0,0,1,97,100,67,77,0
9,100,20,0,21,93,54,91,9,0
13,76,40,20,67,63,18,68,29,0
14,63,34,4,47,79,37,100,0,0
63,97,4,0,25,100,46,100,0,0
42,100,0,0,8,97,100,73,43,0
32,90,2,0,27,100,66,100,25,0
17,96,6,0,22,100,71,100,25,0
55,100,0,0,17,100,79,97,21,0
48,97,0,0,29,100,60,100,4,0
0,56,47,25,66,76,34,80,6,0
5,42,44,15,64,68,25,93,20,0
40,94,0,0,10,100,61,100,19,0
32,83,5,0,28,98,36,100,0,0
29,100,29,0,38,82,36,98,0,0
35,91,0,0,25,100,63,100,13,0
57,100,0,0,13,100,75,87,26,0
38,99,14,3,51,73,14,83,0,0
47,100,0,0,13,100,86,86,38,0
40,100,0,0,16,100,83,95,39,0
42,78,0,0,29,100,55,100,16,0
20,100,14,0,27,100,64,100,24,0
57,94,4,0,17,100,60,100,0,0
27,84,18,7,45,93,40,100,0,0
38,94,0,0,19,100,77,98,32,0
1,76,16,2,35,95,50,100,3,0
65,100,0,17,0,99,100,60,85,0
20,95,38,11,57,73,33,96,0,0
36,88,9,7,44,100,48,100,0,0
27,82,30,15,59,74,23,95,0,0
54,98,0,0,36,100,54,100,19,0
68,89,0,11,0,100,94,73,57,0
52,100,0,0,8,100,92,81,49,0
31,83,1,0,30,98,51,100,7,0
26,92,13,0,30,100,61,100,13,0
7,54,56,24,68,63,12,97,0,0
24,84,0,0,11,100,77,92,27,0
1,63,37,18,54,89,41,100,0,0
16,100,20,0,11,100,72,86,33,0
29,67,42,19,62,75,25,95,0,0
42,67,49,19,66,64,19,100,0,0
27,93,15,1,41,91,39,100,0,0
44,100,0,0,17,100,87,89,42,0
52,100,36,52,73,15,65,60,5,0
36,52,6,0,30,100,58,100,24,0
45,100,27,0,45,85,30,95,0,0
62,91,0,0,6,100,70,100,22,0
23,90,16,12,57,76,20,79,2,0
22,98,4,0,36,84,34,100,21,0
15,84,5,0,28,100,70,100,20,0
38,51,0,0,26,100,61,100,16,0
30,90,1,0,28,100,63,100,18,0
22,100,0,0,25,100,65,96,1,0
34,86,0,0,29,100,66,100,21,0
24,96,11,0,23,100,74,100,42,0
3,95,13,0,28,100,62,100,18,0
13,88,17,0,31,91,51,100,5,0
24,87,61,25,72,57,10,87,0,0
68,100,0,0,5,100,100,86,57,0
4,58,46,17,54,72,20,100,7,0
26,89,8,13,58,73,20,74,13,0
27,97,6,0,30,100,57,100,11,0
38,90,0,0,23,100,60,100,1,0
43,95,0,0,20,100,71,90,11,0
86,100,19,25,0,81,100,53,78,0
70,96,3,24,0,88,100,52,86,0
37,100,0,0,7,100,81,79,36,0
31,100,0,0,11,100,71,85,23,0
30,81,0,0,26,100,88,100,37,0
17,98,31,0,50,71,23,100,3,0
23,76,17,0,32,99,62,100,12,0
17,74,25,22,59,96,40,100,0,0
70,92,26,43,100,13,61,68,0,0
18,95,16,0,40,84,31,100,0,0
27,100,4,0,46,73,12,79,0,0
19,82,0,0,14,100,77,86,33,0
89,77,19,36,0,67,100,35,83,0
28,95,8,0,32,100,59,100,15,0
3,70,41,18,61,75,25,100,14,0
7,59,35,0,35,80,44,100,5,0
20,81,22,5,37,89,47,100,14,0
23,100,7,0,16,100,72,91,28,0
45,100,0,6,0,100,100,64,79,0
10,86,33,9,65,64,22,74,32,0
71,100,1,0,23,100,51,79,0,0
38,100,0,0,3,100,85,79,44,0
17,63,51,28,72,55,0,91,0,0
74,92,0,25,0,94,100,60,79,0
0,73,49,13,60,73,29,100,8,0
34,91,26,0,42,86,42,100,0,0
28,63,51,27,69,72,30,100,0,0
46,93,0,0,24,100,60,100,19,0
75,100,0,0,14,100,70,98,24,0
29,85,33,9,57,74,17,92,0,0
60,80,3,10,50,100,46,92,0,0
33,88,5,4,50,85,28,89,11,0
50,86,0,0,9,100,91,70,63,0
10,80,38,4,44,72,24,100,0,0
15,70,54,24,66,68,16,92,0,0
7,69,36,10,49,85,45,100,17,0
19,86,13,0,33,100,57,100,0,0
64,93,0,0,35,100,61,100,18,0
26,89,1,0,10,100,86,92,46,0
30,89,22,0,24,90,51,97,5,0
79,86,0,0,5,100,84,71,43,0
29,96,33,0,38,82,38,100,0,0
29,83,8,0,35,89,33,100,0,0
33,77,26,8,46,87,36,100,0,0
2,61,0,0,20,100,63,100,17,0
8,66,49,23,63,75,25,100,0,0
25,50,58,27,65,80,36,100,0,0
19,81,11,10,40,100,67,100,29,0
23,86,16,12,50,99,43,100,0,0
45,100,0,0,29,100,72,95,24,0
43,97,0,0,23,100,62,100,14,0
15,75,24,10,44,100,58,100,13,0
33,95,0,0,16,100,69,89,17,0
43,55,38,23,66,81,35,78,0,0
86,100,0,22,0,100,94,66,51,0
18,86,22,0,49,78,29,94,17,0
87,78,16,19,0,99,100,63,67,0
7,96,13,0,30,98,59,100,13,0
12,73,33,6,44,78,37,100,12,0
62,81,0,0,4,100,84,88,40,0
62,90,10,0,31,93,42,100,0,0
37,100,0,0,18,100,79,96,27,0
0,61,63,33,80,45,14,62,18,0
46,99,0,0,4,100,94,76,60,0
24,84,26,10,53,84,33,100,0,0
47,85,0,0,8,100,92,85,47,0
29,84,15,0,32,91,48,100,3,0
8,72,26,3,40,85,43,100,14,0
0,64,35,12,46,96,58,100,19,0
16,80,40,12,56,80,32,100,0,0
17,72,18,0,20,100,79,93,42,0
73,94,0,7,0,100,94,87,48,0
17,37,73,50,90,43,11,66,0,0
53,87,7,0,26,99,49,100,0,0
51,100,0,0,2,95,100,72,66,0
0,93,49,0,35,83,52,100,23,0
49,94,0,0,9,100,91,81,42,0
98,56,33,56,9,54,100,25,100,0
71,76,0,31,0,86,100,56,88,0
51,99,40,0,44,81,40,100,0,0
52,100,0,0,10,100,98,77,51,0
78,100,0,22,0,97,100,59,89,0
10,97,24,0,43,82,33,100,0,0
34,86,39,17,61,70,22,100,0,0
14,67,26,16,48,96,53,100,7,0
21,83,0,1,0,100,66,93,3,0
11,75,21,0,43,88,29,100,0,0
36,92,0,0,6,100,84,89,36,0
39,94,42,43,100,30,49,53,30,0
59,79,0,14,0,100,80,80,21,0
77,100,0,0,34,100,73,51,10,0
46,100,0,0,18,100,75,98,23,0
44,100,0,6,0,99,100,67,56,0
15,98,13,0,24,100,70,100,29,0
61,98,0,0,14,100,84,96,36,0
24,77,22,0,32,90,51,100,5,0
47,79,0,0,12,100,94,86,51,0
44,100,0,0,6,100,93,77,44,0
44,100,0,0,17,100,80,89,24,0
17,74,39,5,46,83,35,100,0,0
26,65,4,0,30,100,59,100,12,0
34,91,5,0,16,100,69,100,24,0
20,57,40,23,62,87,40,88,11,0
62,83,0,1,0,100,97,70,67,0
85,84,0,9,0,100,92,88,43,0
92,47,49,74,27,35,76,18,100,0
0,44,62,40,88,60,27,64,11,0
56,100,0,0,9,100,94,80,44,0
80,81,10,2,0,82,100,60,77,0
70,100,0,0,6,94,100,82,45,0
49,92,0,0,35,100,51,100,28,0
24,77,46,20,62,78,31,90,0,0
67,100,0,8,0,88,100,68,67,0
100,54,30,48,1,66,99,40,84,0
32,88,17,0,40,91,37,100,0,0
31,100,2,0,20,100,73,93,25,0
16,74,25,3,52,74,21,100,0,0
41,100,9,0,22,100,61,98,10,0
16,92,51,0,57,63,20,100,0,0
40,88,39,3,49,79,32,100,0,0
31,100,0,0,20,100,83,95,33,0
9,97,22,0,46,87,39,100,5,0
30,94,4,0,29,100,60,100,10,0
1,90,20,0,31,99,61,100,26,0
0,97,19,0,29,98,66,100,16,0
17,94,16,0,32,98,55,100,14,0
75,72,0,0,23,100,88,100,31,0
25,88,0,0,15,100,73,89,20,0
17,56,35,5,47,76,37,100,2,0
100,46,46,72,28,29,76,18,88,0
46,88,19,0,29,86,45,100,0,0
53,100,0,0,22,100,68,90,11,0
29,80,14,14,53,100,49,100,19,0
30,96,10,0,25,100,76,100,25,0
38,96,0,0,25,100,71,100,17,0
20,71,44,19,62,69,15,92,0,0
42,100,0,0,7,100,81,80,40,0
4,25,33,36,0,100,96,100,22,0
31,87,9,0,25,100,64,100,21,0
100,35,62,75,37,18,58,17,71,0
32,100,0,0,10,100,74,96,14,0
45,78,0,0,34,100,63,100,19,0
32,100,0,0,14,100,87,79,47,0
4,77,28,2,37,89,48,100,12,0
27,92,15,0,28,96,53,100,2,0
25,93,7,0,27,100,55,100,0,0
75,100,0,0,7,100,84,89,33,0
34,93,0,0,12,100,98,83,62,0
18,100,24,0,39,91,45,98,0,0
0,89,21,2,45,78,25,100,14,0
28,100,0,0,23,100,65,100,19,0
19,64,46,19,64,73,29,99,0,0
95,67,26,51,7,60,100,28,94,0
38,100,0,0,10,100,70,92,21,0
6,74,38,14,64,67,18,78,16,0
26,83,40,6,54,71,21,100,0,0
48,100,39,52,87,18,74,78,19,0
11,90,31,0,46,77,30,100,3,0
9,100,7,0,7,100,99,74,69,0
29,99,0,0,20,100,76,94,29,0
58,100,0,0,44,96,33,97,10,0
31,100,7,0,14,100,58,89,29,0
24,91,22,0,48,82,37,76,1,0
84,81,0,18,0,100,89,80,36,0
46,94,0,0,7,100,85,83,43,0
18,59,51,21,63,72,22,93,0,0
23,88,20,0,29,91,52,100,12,0
76,49,27,66,19,41,80,21,100,0
31,70,16,0,19,99,60,100,6,0
27,69,8,12,44,100,57,100,13,0
35,93,0,0,2,100,81,77,42,0
100,53,46,69,26,34,76,25,88,0
33,80,13,8,54,79,29,76,25,0
12,84,8,0,15,100,71,94,29,0
20,73,22,12,54,94,43,96,11,0
51,92,0,0,37,86,28,100,20,0
42,99,15,0,38,98,49,100,0,0
30,100,0,0,11,95,100,82,64,0
27,51,43,13,54,75,27,100,12,0
33,83,0,0,48,73,16,77,8,0
48,73,0,5,0,91,100,71,66,0
12,71,48,36,82,42,4,60,5,0
34,76,8,11,47,99,42,100,7,0
22,95,14,0,41,91,41,100,10,0
58,62,12,15,56,90,34,81,0,0
48,97,0,0,27,100,55,100,5,0
4,97,18,0,36,91,44,100,11,0
45,100,0,0,43,96,38,96,15,0
100,62,34,59,13,44,79,22,85,0
50,98,0,0,27,100,52,100,2,0
59,100,24,0,42,74,21,63,0,0
28,92,35,11,57,72,25,95,0,0
25,92,50,0,45,78,39,100,0,0
44,100,0,0,31,100,45,90,11,0
18,84,14,0,25,100,73,93,27,0
0,47,52,30,75,62,30,63,42,0
27,88,0,0,30,100,69,100,19,0
17,92,11,0,35,96,49,100,9,0
49,91,0,0,6,100,86,72,49,0
54,92,0,0,29,100,58,100,15,0
58,85,35,58,100,21,60,64,0,0
27,86,13,0,44,91,41,100,13,0
65,72,21,8,47,90,42,100,0,0
62,93,0,0,7,100,83,81,33,0
19,100,3,0,27,100,62,97,10,0
13,100,25,0,35,86,41,94,6,0
29,100,1,0,27,100,54,95,2,0
40,98,0,0,25,100,55,100,4,0
38,64,0,0,26,100,63,100,21,0
61,100,0,0,10,100,96,88,44,0
27,88,13,0,43,93,35,100,0,0
10,73,26,12,52,89,39,100,3,0
27,100,6,0,20,100,76,92,21,0
21,81,7,0,26,100,62,100,15,0
51,100,0,0,15,100,83,89,40,0
29,95,4,0,23,100,66,100,16,0
21,87,26,6,41,92,52,100,21,0
58,100,0,0,25,100,74,99,18,0
25,84,8,0,26,100,66,100,20,0
23,93,19,0,35,92,45,100,0,0
0,63,36,10,49,86,49,100,18,0
13,71,19,8,38,96,55,100,14,0
0,71,47,10,59,66,19,100,10,0
70,100,15,36,79,36,67,51,0,0
55,100,0,0,1,100,67,61,5,0
27,100,0,0,4,100,74,96,24,0
41,100,0,0,15,100,79,92,28,0
20,100,10,0,26,98,56,99,7,0
44,95,22,4,45,100,47,100,0,0
8,97,0,0,18,100,90,90,25,0
16,90,13,0,30,90,45,100,3,0
2,66,18,6,32,100,83,95,43,0
66,100,8,21,0,75,100,47,89,0
24,87,7,0,44,80,29,93,7,0
29,100,9,0,10,100,73,91,30,0
19,86,5,0,29,100,68,100,35,0
42,81,0,0,32,100,55,100,7,0
13,57,40,28,66,81,31,85,0,0
21,77,29,7,43,85,44,100,12,0
48,100,0,0,16,100,79,91,33,0
79,98,2,10,0,88,100,70,73,0
0,62,45,14,52,86,49,100,16,0
22,98,17,0,25,96,62,100,21,0
7,89,16,0,20,100,84,100,50,0
0,85,30,21,0,100,87,100,36,0
13,92,34,8,55,79,34,100,0,0
35,76,11,5,41,97,49,100,9,0
56,99,0,0,23,100,58,100,19,0
14,91,28,0,38,86,43,100,0,0
37,93,0,0,11,100,60,100,9,0
53,91,0,0,14,100,90,86,48,0
11,23,87,50,84,41,0,80,2,0
39,90,0,0,24,100,67,100,23,0
36,96,42,0,49,76,31,100,0,0
31,93,9,0,32,95,50,100,10,0
73,90,0,0,2,100,97,81,52,0
37,92,0,0,25,100,75,100,30,0
35,85,45,12,57,81,37,97,0,0
80,100,0,0,65,61,57,68,32,0
70,97,0,14,0,95,100,65,92,0
25,77,11,4,57,56,2,66,0,0
27,100,12,0,39,97,48,97,18,0
11,70,32,9,47,78,27,100,2,0
29,82,10,0,34,100,55,100,9,0
43,75,11,0,28,85,41,100,1,0
42,76,55,30,77,65,25,79,0,0
19,66,34,13,51,78,34,100,0,0
35,89,8,0,40,82,27,100,0,0
26,88,4,0,28,100,63,100,12,0
44,100,22,0,29,95,47,89,0,0
61,96,0,0,10,100,64,100,6,0
34,81,22,10,48,92,42,100,0,0
54,89,0,0,21,100,77,100,32,0
3,88,16,0,34,100,56,100,5,0
24,76,25,0,50,82,28,84,8,0
14,61,48,24,63,83,36,100,0,0
43,61,46,31,76,64,24,67,0,0
0,46,43,24,57,92,51,100,17,0
64,100,0,19,0,94,100,57,86,0
5,75,16,0,34,92,47,100,6,0
30,88,0,0,6,100,74,82,26,0
25,72,21,6,35,100,62,100,25,0
31,100,4,0,8,100,70,82,26,0
34,89,0,0,3,100,82,86,34,0
26,70,57,21,68,69,24,88,0,0
80,88,9,31,0,78,100,46,90,0
51,99,0,2,0,100,87,82,42,0
35,97,0,0,17,100,60,97,8,0
40,100,0,0,6,100,89,77,46,0
74,88,0,1,0,100,63,88,8,0
32,89,16,0,27,100,61,99,10,0
32,68,42,15,56,80,36,100,0,0
9,85,16,0,31,100,65,100,19,0
21,99,3,0,25,100,64,100,15,0
31,92,18,6,53,72,21,100,4,0
6,43,68,35,75,38,7,63,0,0
75,93,10,8,0,100,66,66,22,0
44,94,0,0,22,100,64,100,21,0
35,100,5,0,24,100,60,93,0,0
29,94,0,0,25,100,71,100,19,0
81,90,0,0,16,100,96,100,47,0
19,100,29,15,58,65,19,85,0,0
36,92,0,0,15,100,76,99,27,0
82,80,5,32,0,85,100,55,85,0
40,81,8,0,44,92,38,100,0,0
87,95,0,0,23,100,74,100,23,0
10,75,22,0,25,100,78,100,44,0
16,78,31,13,59,71,28,91,11,0
29,74,39,11,54,74,29,100,0,0
0,37,66,31,71,59,12,98,9,0
26,95,9,0,25,100,65,100,20,0
17,89,2,0,26,100,67,98,18,0
58,100,0,0,0,100,96,61,64,0
63,100,0,0,7,100,99,78,46,0
36,82,4,0,24,100,61,100,23,0
15,80,20,0,33,93,53,100,16,0
19,81,12,1,29,100,72,100,31,0
33,100,1,0,6,100,80,85,28,0
60,82,0,0,27,100,54,100,14,0
50,100,1,0,27,100,54,100,0,0
19,69,45,27,73,67,24,86,0,0
5,91,14,0,30,100,66,100,14,0
36,98,0,0,29,100,59,100,15,0
58,96,0,0,27,100,83,100,33,0
0,45,55,24,70,72,36,83,18,0
22,80,32,22,69,61,18,65,9,0
29,74,0,0,30,100,55,100,6,0
32,75,0,0,11,100,99,70,82,0
45,100,7,0,31,91,38,95,0,0
35,92,21,8,48,82,32,100,0,0
48,100,0,0,25,100,62,98,13,0
48,100,0,1,0,100,86,77,44,0
6,59,33,14,46,94,53,100,16,0
25,57,62,22,68,61,14,99,0,0
52,89,0,0,16,100,88,96,48,0
45,98,13,0,34,81,28,100,0,0
40,94,6,5,52,77,18,82,6,0
0,29,63,59,100,52,13,55,2,0
8,87,21,16,55,97,45,97,9,0
32,100,11,0,22,95,55,98,15,0
54,98,0,0,22,100,64,100,18,0
43,100,3,0,27,100,54,92,0,0
4,88,25,0,35,94,53,100,8,0
38,85,31,0,40,85,42,100,0,0
94,82,1,9,0,100,97,85,47,0
27,96,4,0,29,100,62,100,9,0
38,100,0,0,5,100,76,79,28,0
4,76,34,17,61,72,25,90,14,0
38,100,0,0,14,100,79,97,37,0
54,96,0,0,19,99,100,87,47,0
32,42,71,36,79,45,0,81,0,0
22,73,15,10,56,68,14,87,1,0
51,88,0,0,24,100,61,100,15,0
30,90,2,0,28,100,78,100,21,0
41,72,0,0,34,100,59,100,15,0
11,100,22,0,35,78,34,100,13,0
73,100,0,0,20,100,78,99,31,0
24,73,13,10,44,100,55,100,9,0
26,52,63,34,81,54,6,82,0,0
32,100,0,0,4,100,70,81,21,0
41,100,0,0,31,100,50,87,22,0
19,84,26,1,46,74,16,100,0,0
34,84,0,0,27,100,68,100,12,0
17,70,24,14,48,100,59,100,28,0
53,100,0,0,11,100,75,87,9,0
21,83,0,0,17,100,84,88,30,0
22,99,25,0,47,83,34,99,10,0
40,100,0,0,1,100,75,78,30,0
21,85,23,0,39,78,31,100,0,0
57,100,0,0,14,100,73,86,12,0
29,100,8,0,33,97,48,91,18,0
62,98,0,0,15,100,86,100,37,0
48,87,0,0,29,100,64,100,26,0
32,92,32,0,41,81,33,100,0,0
20,85,0,0,23,100,83,92,35,0
