@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,7,9-11,13,16-17'

@attribute At2 numeric
@attribute At4 numeric
@attribute At5 numeric
@attribute At7 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At13 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
100,83,0,57,100,54,81,45,0,4
87,100,77,29,60,59,95,54,0,5
100,98,77,45,39,0,79,50,72,8
100,79,0,54,100,49,92,91,0,4
77,100,74,56,75,43,100,59,5,3
60,54,53,85,100,88,86,75,0,1
89,100,38,98,80,0,39,100,92,8
62,75,85,100,98,75,93,91,0,1
71,40,44,17,0,42,9,50,100,5
100,85,15,0,29,0,84,65,9,6
86,83,0,14,71,16,100,78,100,0
63,100,58,44,11,4,0,50,1,2
62,98,56,42,14,25,11,55,12,2
29,52,68,100,95,76,89,78,0,1
69,83,82,100,86,70,75,62,0,1
100,74,0,20,84,33,100,76,0,4
51,60,66,100,90,79,66,43,0,1
88,100,77,77,72,0,42,54,26,7
60,36,41,15,0,42,27,63,100,5
100,99,62,34,14,0,5,19,43,7
90,77,10,56,100,31,93,42,70,0
82,41,28,78,100,48,80,32,65,0
98,100,52,83,95,61,92,48,2,9
64,74,100,43,0,66,57,48,0,9
90,100,68,59,32,0,2,35,41,7
88,55,25,64,17,0,21,35,100,5
84,42,18,73,100,45,93,40,67,0
96,100,71,68,100,34,86,43,11,3
100,78,0,18,59,0,91,100,92,0
100,95,0,11,71,50,100,85,0,4
65,35,46,12,0,41,18,58,100,5
90,61,99,9,17,56,0,100,61,8
100,70,28,83,100,79,71,45,0,4
90,100,100,62,82,45,85,38,19,3
100,83,16,0,50,28,100,75,0,4
78,100,16,81,100,71,100,68,0,9
89,59,65,24,6,37,0,38,98,5
93,100,99,65,79,36,100,54,0,3
78,73,60,43,0,25,57,100,96,8
66,86,100,76,70,40,55,0,6,1
81,100,82,53,77,40,100,56,1,3
96,100,81,40,30,60,57,40,0,5
90,41,31,76,100,61,70,25,38,0
79,100,100,93,55,41,9,18,2,2
100,79,27,0,71,45,98,60,0,4
66,100,51,50,33,13,25,62,7,2
87,100,17,100,94,0,20,89,87,8
100,89,14,0,54,21,99,92,0,4
100,70,79,65,0,5,20,37,96,5
97,59,44,15,6,43,0,49,100,5
91,100,96,59,17,0,0,38,48,7
93,87,10,0,58,0,100,66,100,0
99,52,14,75,100,51,73,14,33,0
46,31,80,0,38,45,89,54,68,8
100,82,2,0,44,0,100,68,21,6
85,100,54,44,22,29,33,66,0,2
89,47,21,73,100,45,78,25,54,0
69,100,100,77,42,31,0,26,1,2
90,54,74,48,0,8,7,29,100,5
99,79,0,26,80,100,81,57,0,9
80,48,55,40,58,14,0,35,2,1
100,93,6,0,42,0,100,72,21,6
88,100,100,88,60,8,25,32,27,7
82,100,83,46,93,42,100,52,0,3
89,100,32,13,39,0,100,46,10,6
74,100,100,76,34,0,0,49,5,2
99,68,77,38,0,13,20,49,100,5
100,80,0,39,100,55,98,72,0,4
100,75,9,77,100,72,77,67,0,4
100,90,6,0,46,0,100,53,19,6
100,66,0,41,81,19,100,60,77,0
100,93,3,0,57,2,100,43,0,6
83,100,99,66,84,44,100,56,3,3
58,38,56,27,6,35,18,59,100,5
80,32,35,80,100,61,71,24,40,0
64,82,100,81,60,60,38,15,0,1
88,100,100,88,97,40,78,40,0,3
44,58,70,100,82,74,69,59,0,1
94,100,65,100,79,75,61,50,0,7
83,100,100,54,16,15,0,11,38,7
80,71,45,88,88,70,67,34,0,9
51,74,100,85,75,63,75,80,0,1
88,76,66,47,0,0,18,50,100,5
81,100,90,68,34,27,0,47,1,2
82,100,75,50,58,40,100,62,2,3
100,93,25,6,0,16,37,60,37,6
90,100,100,50,32,59,76,47,0,5
100,100,17,0,36,0,100,73,55,6
92,48,96,45,37,90,100,68,0,9
69,100,84,70,47,19,0,36,10,1
20,42,78,100,88,86,66,40,0,1
99,77,0,22,73,17,100,79,91,0
100,63,75,36,0,25,7,37,96,5
70,100,100,67,30,1,64,22,85,8
100,79,35,12,4,9,44,60,20,6
88,100,85,63,48,0,27,45,38,7
100,84,66,100,85,64,68,39,0,9
100,86,64,71,13,23,73,74,70,8
82,100,38,69,90,61,73,43,0,9
61,79,74,100,85,75,65,44,0,1
100,80,26,1,11,0,69,50,14,6
82,100,77,78,73,3,50,48,32,7
93,100,90,76,64,4,49,52,29,7
84,80,0,31,79,11,100,77,100,0
91,50,57,62,2,0,2,28,100,5
100,78,0,21,99,8,100,19,0,6
65,88,40,68,56,32,28,57,6,2
100,94,51,28,81,80,100,51,31,9
44,59,67,100,89,83,75,65,0,1
90,100,58,42,32,0,5,51,36,7
56,74,100,30,0,49,74,62,0,9
93,100,76,70,66,0,44,51,39,7
0,12,67,89,100,77,84,58,65,9
94,100,29,6,51,46,100,45,14,5
100,90,25,0,36,0,98,62,26,6
78,47,36,0,48,39,100,85,79,8
100,93,33,15,25,0,64,44,37,6
92,70,68,68,15,25,53,100,92,8
100,92,34,6,0,12,50,91,23,6
58,77,100,95,81,59,71,52,0,1
77,56,91,94,26,0,8,2,100,5
100,74,0,44,100,44,93,85,0,4
97,100,67,56,45,0,0,29,40,7
99,99,62,74,100,62,92,48,9,9
65,81,100,91,79,61,73,67,0,1
53,90,100,94,56,25,0,30,11,2
80,100,93,98,64,26,41,15,48,7
99,76,61,57,0,0,9,38,100,5
85,100,79,70,75,0,44,42,48,7
86,97,100,73,48,34,21,18,24,7
92,54,13,63,99,30,100,61,80,0
93,49,51,15,0,45,18,59,95,5
100,87,0,7,57,0,99,100,100,0
99,63,46,9,0,34,1,37,96,5
77,34,46,89,100,62,78,31,55,0
81,65,100,38,0,24,46,81,100,8
100,67,0,38,88,14,100,68,84,0
71,98,93,85,72,50,100,54,12,3
74,33,39,85,100,54,74,29,66,0
100,79,0,32,82,4,100,70,97,0
84,94,0,20,66,0,100,96,100,0
82,81,58,56,0,0,12,37,100,5
100,77,0,37,94,22,100,99,0,4
85,100,17,0,20,2,68,49,21,6
100,94,100,78,55,13,29,0,32,7
95,72,63,57,0,0,19,38,100,5
55,84,60,50,47,29,15,31,6,1
76,35,16,62,95,30,100,70,94,0
86,100,100,93,57,60,64,42,0,3
83,72,78,22,0,30,68,100,90,8
64,68,73,100,88,75,81,75,0,1
100,95,7,0,83,34,86,90,0,4
100,88,0,44,96,58,100,60,0,4
100,76,0,70,100,64,86,66,0,4
100,71,38,17,0,26,3,50,85,5
71,89,36,0,71,72,100,79,0,9
100,63,0,36,100,44,81,60,0,4
76,33,34,84,100,61,72,25,45,0
93,100,100,71,94,34,95,48,0,3
100,92,15,0,12,4,63,57,30,6
100,84,15,1,47,0,100,60,19,6
100,72,0,68,100,48,96,72,0,4
84,100,100,28,0,53,65,84,0,5
83,100,77,36,69,42,100,55,3,3
86,100,3,37,59,5,9,0,70,8
95,58,44,30,0,9,16,50,100,5
13,53,72,13,39,54,100,56,19,8
100,99,10,0,32,0,88,75,32,6
100,87,0,54,100,75,66,33,0,4
100,77,0,8,57,0,100,68,37,6
88,100,100,65,39,4,19,22,42,7
88,100,51,30,0,16,27,64,0,2
50,72,87,25,0,65,60,100,0,9
85,100,70,55,97,39,100,51,2,3
100,81,0,0,51,0,100,63,26,6
62,35,0,57,97,22,100,77,100,0
100,86,0,19,72,21,100,76,0,4
100,99,70,57,59,0,100,57,40,7
75,100,74,69,41,29,0,37,6,2
96,100,96,60,16,33,0,55,0,2
74,84,57,100,62,100,100,79,0,9
100,79,0,36,100,38,55,38,0,4
76,100,64,48,29,0,0,50,15,1
96,64,43,0,7,45,15,46,100,5
100,79,5,0,27,20,100,81,0,4
93,100,100,54,28,61,58,42,0,5
63,100,63,39,0,0,13,56,21,2
92,100,60,100,90,65,85,50,16,9
90,63,39,60,23,0,15,43,100,5
100,82,13,0,8,6,92,97,27,6
100,87,21,0,31,0,93,87,55,6
21,57,79,15,45,44,100,29,25,8
74,100,32,58,49,0,0,48,62,8
100,68,0,51,100,34,90,63,0,4
77,100,8,70,74,0,0,52,92,8
100,94,73,54,34,0,19,40,19,7
94,98,44,59,92,64,100,55,8,9
95,65,0,35,79,13,100,81,100,0
78,100,41,24,0,10,33,68,3,2
97,100,89,59,25,0,8,29,39,7
100,66,0,40,85,19,100,65,94,0
100,75,7,100,50,76,16,14,0,4
89,74,1,35,80,10,100,86,100,0
100,90,66,56,39,0,0,16,47,7
100,99,20,23,67,54,80,43,3,5
92,62,0,27,75,6,100,88,100,0
94,70,59,52,0,0,8,37,100,5
80,100,83,65,100,44,84,45,0,3
90,52,38,8,2,34,13,52,100,5
79,46,18,58,92,25,100,71,96,0
54,68,83,100,93,74,86,76,0,1
76,100,63,58,26,12,20,60,0,2
88,100,70,68,70,34,100,64,0,3
97,73,48,35,0,22,50,100,100,8
70,87,59,61,64,58,72,81,0,1
79,71,0,40,87,24,100,62,80,0
85,59,48,68,22,0,24,37,100,5
100,89,0,28,73,53,100,74,0,4
91,92,0,30,82,6,100,70,95,0
100,86,0,14,81,37,91,84,0,4
90,100,48,50,39,0,15,58,42,7
81,100,77,73,46,34,17,52,3,2
86,100,85,51,100,45,96,42,11,3
71,33,22,72,100,44,93,47,82,0
88,100,80,88,73,9,54,38,28,7
100,73,0,16,78,25,98,93,0,4
100,84,16,95,100,86,70,51,0,4
100,97,82,74,39,0,3,23,43,7
87,100,61,47,36,0,11,55,39,7
75,100,58,56,29,22,14,58,4,2
89,100,63,28,63,41,100,53,0,3
75,40,22,58,89,25,100,78,89,0
75,97,53,71,49,46,35,66,0,2
89,100,82,61,100,36,93,42,8,3
91,70,62,43,91,70,100,68,12,9
81,77,10,0,42,0,82,100,100,0
100,69,91,0,84,84,93,100,0,9
100,71,26,0,56,34,100,97,0,4
100,95,8,0,56,39,100,65,0,4
84,100,100,79,85,35,90,44,10,3
100,70,77,60,60,86,97,100,0,9
81,100,12,0,30,0,78,94,93,0
91,100,100,91,77,21,62,29,44,7
79,100,99,73,100,32,87,42,12,3
91,100,66,81,100,37,76,36,18,3
88,100,79,67,64,0,100,70,37,7
100,83,23,83,100,55,79,56,0,4
78,36,25,68,100,37,96,57,80,0
91,100,71,62,64,0,22,36,40,7
100,66,0,18,100,42,95,64,0,4
100,89,84,63,37,0,0,16,31,7
98,100,88,63,33,0,36,39,47,7
87,100,74,74,55,0,32,60,55,7
59,80,94,100,68,68,35,6,0,1
39,57,51,100,96,81,68,40,0,1
78,100,61,50,21,39,0,46,0,2
87,100,100,78,76,33,72,37,5,3
91,100,87,61,30,0,22,40,38,7
48,74,76,26,0,56,46,81,0,9
85,55,95,4,12,40,95,100,87,8
85,100,53,31,0,35,35,67,0,2
94,65,0,46,92,22,100,64,88,0
91,65,0,18,81,6,100,86,100,0
91,100,100,81,44,32,8,9,29,7
80,100,46,47,47,0,19,58,38,7
100,66,9,58,100,31,97,48,81,0
25,48,66,100,96,93,72,48,0,1
93,100,69,79,100,32,81,41,4,3
90,100,45,81,85,61,81,52,9,9
45,68,68,100,76,75,55,42,0,1
100,100,88,73,58,8,36,39,19,7
89,100,93,54,74,38,100,56,0,3
100,70,32,93,100,88,74,52,0,4
100,84,3,52,100,46,69,51,0,4
100,82,27,6,20,0,91,69,22,6
73,99,75,63,80,40,100,51,4,3
59,100,0,48,71,0,11,45,88,8
100,91,16,0,49,0,99,64,53,6
96,100,97,86,59,18,46,47,42,7
92,100,0,67,100,90,85,81,0,9
60,91,85,80,76,25,0,4,8,1
100,89,46,27,32,0,68,40,18,6
100,91,43,18,0,22,16,34,10,6
100,77,17,63,100,42,83,29,52,0
68,54,100,30,24,35,84,90,84,8
82,100,0,8,57,0,100,88,92,0
93,97,57,100,94,66,75,57,0,7
98,78,19,100,56,100,0,76,13,0
71,100,29,66,100,54,92,48,9,9
94,83,0,40,80,96,58,29,0,9
93,100,64,100,88,62,64,42,0,7
85,70,27,0,62,99,100,90,0,9
79,100,76,46,3,2,0,50,1,2
74,100,66,54,27,21,0,53,3,2
100,78,13,15,71,6,100,47,16,6
64,89,73,65,62,9,8,23,5,1
70,100,68,61,42,5,0,50,0,1
68,64,15,68,100,78,75,40,0,9
37,53,71,100,88,81,67,45,0,1
71,52,100,34,21,36,69,80,93,8
69,100,35,63,24,0,0,41,82,8
80,100,100,80,42,12,0,42,0,2
76,100,0,57,71,0,12,62,83,8
81,100,68,67,37,23,0,48,1,2
77,100,100,68,78,43,86,44,2,3
91,100,85,73,62,0,38,49,35,7
78,100,54,31,0,18,45,88,31,2
65,59,0,54,100,80,94,61,0,9
96,64,84,26,72,58,100,67,18,9
86,59,52,9,0,30,11,52,100,5
80,100,98,69,29,20,0,52,0,2
74,44,31,86,100,55,67,18,30,0
78,100,66,87,62,40,32,58,3,2
92,70,0,6,62,1,97,100,100,0
82,100,84,57,100,51,86,47,0,3
100,78,0,2,56,0,100,56,25,6
100,80,0,3,36,23,86,88,0,4
96,99,100,25,28,57,93,73,1,5
84,100,84,50,100,49,86,33,23,3
87,100,59,74,100,42,84,44,0,3
100,78,0,39,100,50,91,75,0,4
63,79,90,100,67,69,33,10,0,1
41,63,100,86,73,75,64,64,0,1
92,47,21,71,100,48,82,32,66,0
90,62,51,8,0,40,1,46,99,5
51,56,62,100,77,79,52,32,0,1
100,84,0,7,79,7,100,30,0,6
74,100,50,46,44,10,0,35,7,1
76,100,58,53,31,26,9,54,0,2
100,87,19,0,12,0,63,49,14,6
94,100,22,30,78,44,87,48,5,5
79,100,0,23,91,73,100,84,0,9
100,69,0,43,100,37,94,60,0,4
74,37,55,0,46,49,100,83,72,8
79,73,72,35,5,24,0,32,97,5
100,81,24,9,54,0,87,43,31,6
100,81,66,100,99,65,95,62,0,9
100,88,52,34,32,0,75,51,24,6
89,63,100,53,52,33,93,82,84,8
100,80,24,0,0,0,57,61,15,6
94,100,76,43,6,30,0,49,0,2
81,48,88,7,40,35,97,78,87,8
92,100,52,29,0,14,9,54,5,2
100,81,0,6,56,0,100,63,14,6
84,76,12,74,100,75,78,45,0,9
100,76,20,75,100,90,69,43,0,4
100,75,0,52,100,49,87,66,0,4
100,56,34,100,100,66,68,68,0,4
100,82,0,5,53,38,100,92,0,4
100,75,0,60,100,71,74,46,0,4
81,98,100,58,42,58,78,42,0,5
100,71,0,28,80,16,100,80,89,0
91,100,55,31,0,19,32,66,1,2
89,100,100,69,48,47,76,40,0,3
39,57,63,100,94,82,78,65,0,1
79,63,100,20,74,76,100,87,0,9
100,99,82,60,36,0,0,25,34,7
67,100,79,47,2,0,0,50,19,2
92,100,78,61,43,0,24,44,37,7
93,69,0,36,79,2,100,81,100,0
100,95,22,0,57,37,100,85,0,4
63,100,81,66,30,5,0,47,10,2
80,48,45,51,30,36,13,46,99,5
100,90,22,0,3,0,58,62,33,6
55,75,60,100,100,74,89,75,0,1
70,100,85,63,32,33,0,47,2,2
97,100,100,63,27,0,76,92,35,7
100,83,16,85,100,72,66,43,0,4
100,86,0,100,68,79,54,56,0,4
38,61,63,95,100,87,81,62,0,1
100,72,1,50,100,35,87,77,0,4
92,100,64,32,66,60,76,40,0,5
95,100,25,72,100,64,92,52,8,9
94,100,47,94,95,52,99,50,2,9
66,84,100,83,71,60,62,54,0,1
87,100,76,47,97,38,100,46,7,3
95,100,96,58,31,0,100,94,42,7
94,100,68,59,45,0,18,47,39,7
100,97,100,82,64,0,88,89,40,7
86,51,0,37,77,29,100,81,92,0
100,67,0,34,86,30,100,94,0,4
98,100,51,31,0,16,28,64,0,2
77,100,100,76,73,43,94,51,13,3
100,75,16,0,52,35,100,96,0,4
92,100,91,100,85,18,61,40,35,7
77,37,34,84,100,64,66,20,25,0
100,74,0,80,100,75,59,37,0,4
86,100,100,71,56,34,62,22,15,3
100,94,22,1,0,15,39,70,28,6
69,100,68,59,30,12,0,50,6,2
65,62,69,60,58,25,100,51,0,1
88,100,83,52,62,38,100,57,0,3
61,78,81,100,84,74,72,65,0,1
100,78,0,11,65,6,94,100,88,0
70,100,100,100,75,25,47,69,61,8
92,100,100,80,61,49,67,35,0,3
100,76,0,65,100,66,80,72,0,4
100,73,50,84,100,100,89,88,0,4
91,52,14,61,97,30,100,66,98,0
81,100,100,81,95,39,91,44,11,3
84,66,59,15,0,36,58,100,92,8
78,52,0,19,77,100,92,80,0,9
79,100,73,59,17,19,0,53,0,2
100,80,25,0,0,2,75,89,31,6
91,100,75,39,3,34,0,50,2,2
74,79,100,19,7,73,88,54,0,9
100,93,11,0,44,0,100,66,26,6
100,80,0,0,54,0,100,70,20,6
97,100,33,38,72,51,63,36,0,5
71,100,44,38,56,0,100,42,5,1
90,44,24,75,100,55,82,30,60,0
55,77,53,73,93,68,100,93,0,1
83,100,70,65,50,0,33,56,49,7
97,66,44,9,0,41,54,100,100,8
87,100,73,68,47,0,22,59,64,7
90,69,72,69,2,0,7,22,100,5
100,93,100,71,46,23,28,0,35,7
88,100,57,100,42,0,0,44,97,8
91,100,100,99,71,0,90,85,25,7
32,54,71,100,71,78,43,17,0,1
78,100,81,62,84,51,100,57,13,3
100,84,8,14,61,0,100,51,28,6
77,100,3,0,39,0,90,100,84,0
75,100,95,80,41,6,0,50,0,2
64,33,47,0,3,39,8,54,100,5
92,100,47,46,68,37,66,34,1,5
63,78,100,93,86,67,86,79,0,1
69,88,59,54,53,34,44,14,0,1
100,79,9,0,29,0,100,76,9,6
82,100,54,82,69,55,60,35,4,9
100,99,15,20,64,56,80,46,2,5
80,100,95,55,100,44,97,49,9,3
100,54,18,100,94,56,63,59,0,4
100,86,12,0,69,0,100,12,12,6
100,84,40,14,46,0,100,57,23,6
67,79,83,100,85,75,70,55,0,1
62,96,15,12,44,19,0,28,55,8
81,100,31,86,100,57,86,38,7,9
96,100,8,0,55,42,92,62,8,5
97,75,84,51,13,86,100,71,0,9
100,50,15,100,70,79,36,67,0,0
100,84,69,100,92,62,83,49,1,9
84,44,39,83,100,43,83,37,71,0
100,61,97,41,73,51,100,60,18,9
93,100,60,61,55,0,25,57,42,7
87,100,35,78,19,0,61,100,78,8
91,68,0,42,85,27,100,66,75,0
100,77,0,37,94,44,87,92,0,4
100,87,6,0,49,0,100,55,22,6
100,92,57,94,96,73,86,48,6,9
82,100,16,56,68,2,0,21,55,8
73,100,54,40,22,0,0,50,14,1
72,72,39,88,100,73,71,37,0,9
89,50,35,78,100,38,85,45,88,0
60,75,65,100,82,75,63,48,0,1
89,55,14,64,100,29,94,53,91,0
97,66,80,71,0,9,7,26,100,5
92,44,35,83,100,57,72,25,52,0
95,100,16,0,41,0,100,43,5,6
83,78,51,50,0,0,21,47,100,5
100,72,18,19,70,0,100,40,1,6
74,74,2,63,100,49,71,10,20,0
77,60,62,38,0,16,8,52,100,5
81,100,98,77,100,28,86,35,35,3
90,58,66,44,2,19,0,25,100,5
92,100,100,66,73,44,75,37,0,3
78,78,100,50,8,20,58,94,89,8
100,92,0,53,100,73,80,50,0,4
75,100,64,57,96,50,100,64,3,3
87,82,3,97,100,75,91,91,0,9
54,11,62,99,100,68,71,27,67,0
76,100,62,41,59,47,100,71,16,3
52,83,56,79,58,52,36,59,0,2
80,100,53,75,77,47,63,61,0,2
85,100,45,24,80,56,100,61,0,3
100,84,9,0,25,4,92,100,16,6
95,85,0,29,75,0,100,79,100,0
73,51,9,54,92,27,100,74,95,0
63,35,98,41,62,39,100,69,74,8
75,68,100,46,0,72,51,62,0,9
75,47,83,0,34,37,100,95,79,8
76,100,77,61,22,10,0,53,0,2
100,81,0,21,73,41,100,65,0,4
93,57,69,42,4,14,5,35,100,5
97,100,100,70,42,28,27,0,38,7
100,80,75,100,89,66,81,47,0,9
100,89,4,0,42,0,100,75,38,6
80,100,95,57,51,51,100,95,0,3
100,66,91,48,0,0,20,39,100,5
86,69,94,36,90,79,100,68,0,9
63,85,100,78,67,46,64,0,3,1
84,58,85,34,67,65,100,59,0,9
75,100,69,40,1,15,0,50,0,2
60,83,57,51,48,29,13,20,4,1
86,55,13,60,96,33,100,57,82,0
100,60,0,58,100,55,98,95,0,4
55,55,100,60,5,28,32,65,79,8
53,72,82,100,68,75,38,18,0,1
82,100,100,66,76,44,92,48,0,3
81,100,81,81,88,31,56,0,2,1
86,61,100,33,83,74,83,75,0,9
93,100,57,44,20,0,18,59,54,7
97,60,54,43,12,13,20,33,100,5
100,72,100,18,12,75,98,64,0,9
68,97,56,62,43,33,23,61,0,2
100,57,0,41,84,25,100,57,87,0
100,82,32,0,51,35,100,82,0,4
48,66,72,100,73,75,47,22,0,1
100,91,31,12,4,17,34,46,21,6
100,78,23,100,84,79,64,60,0,4
96,100,81,73,100,35,79,35,19,3
100,87,23,0,0,10,44,85,28,6
85,100,92,100,82,13,56,34,39,7
66,100,58,36,0,0,21,61,4,2
99,100,22,69,88,88,86,58,0,9
65,100,77,49,11,1,0,50,3,2
67,100,65,54,12,5,0,54,13,2
85,100,82,51,67,45,100,53,20,3
56,83,52,0,66,78,93,65,0,9
60,79,100,90,60,64,30,10,0,1
84,86,40,76,20,9,57,100,100,8
100,84,0,18,82,18,100,61,69,0
81,100,81,61,60,50,100,60,0,3
43,62,70,100,80,78,66,58,0,1
65,100,89,81,46,5,0,48,0,2
87,97,52,100,100,70,71,40,0,7
41,80,0,28,92,16,35,22,74,8
81,58,0,30,80,100,100,73,0,9
41,58,74,100,88,75,75,65,0,1
17,54,99,42,31,64,100,75,13,8
100,92,12,0,36,0,85,49,11,6
86,89,39,53,0,6,10,42,100,5
89,98,70,33,37,47,77,45,0,5
100,93,29,3,0,8,38,66,29,6
100,97,100,86,76,2,98,95,43,7
100,75,26,11,49,0,100,38,2,6
84,69,72,94,11,0,4,13,100,5
100,90,0,57,100,35,75,46,0,4
92,100,80,66,60,0,45,53,29,7
95,62,38,0,27,38,64,100,94,8
