@relation ecoli

@attribute Mcg numeric
@attribute Lip numeric
@attribute Aac numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
43,48,58,75,im
7,48,56,78,im
31,48,58,94,im
63,48,64,73,im
6,48,49,92,im
71,48,64,1,im
27,48,51,77,im
37,48,39,76,im
69,48,57,76,im
48,48,52,77,im
73,48,53,91,im
12,48,74,58,im
3,48,42,61,im
36,48,38,79,im
71,48,71,7,im
31,48,57,84,im
0,48,35,67,im
39,48,52,72,im
46,48,36,76,im
12,48,63,7,im
5,48,66,64,im
36,48,51,69,im
6,48,45,81,im
6,1,54,77,im
29,48,71,65,im
5,48,71,61,im
52,48,65,71,im
48,48,6,78,im
34,48,67,9,im
63,48,66,67,im
58,48,56,87,im
46,48,48,86,im
63,48,54,76,imS
85,48,53,52,imS
7,1,51,82,imL
75,1,4,47,imL
81,48,57,78,imU
88,48,52,73,imU
62,48,58,79,imU
84,48,55,78,imU
67,48,54,64,imU
64,48,67,61,imU
75,48,64,7,imU
87,48,61,76,imU
79,48,5,66,imU
76,48,5,59,imU
86,48,63,81,imU
58,48,59,73,imU
7,48,7,86,imU
66,48,54,7,imU
79,48,46,82,imU
69,48,59,74,imU
57,48,6,49,imU
76,48,5,71,imU
78,48,45,73,imU
81,48,42,67,imU
73,48,57,75,imU
79,48,66,81,imU
64,48,48,73,imU
49,1,56,71,imU
77,48,51,78,imU
63,48,64,72,imU
84,48,75,92,imU
86,48,59,89,imU
81,48,57,87,imU
47,48,62,74,imU
78,48,57,77,imU
59,48,64,75,imU
74,48,75,54,om
67,48,73,5,om
77,48,88,53,om
56,48,77,36,om
52,48,72,38,om
63,48,79,45,om
65,48,66,54,om
69,48,77,39,om
61,48,51,33,om
6,1,77,59,om
73,48,86,58,om
78,48,83,4,om
71,48,68,43,om
68,48,84,45,om
68,48,73,4,om
64,48,7,33,om
63,48,65,41,om
67,48,74,54,om
68,1,62,55,omL
77,1,37,54,omL
67,1,66,58,omL
66,1,54,56,omL
64,48,37,39,pp
74,48,42,54,pp
68,48,49,4,pp
67,48,51,37,pp
69,48,3,39,pp
64,48,49,42,pp
64,48,5,36,pp
7,48,42,84,pp
66,48,34,41,pp
74,48,49,49,pp
32,48,53,28,pp
62,48,47,49,pp
75,48,35,52,pp
76,48,44,39,pp
71,48,4,54,pp
63,48,39,44,pp
61,48,44,39,pp
63,48,39,47,pp
66,48,41,5,pp
64,48,37,45,pp
74,48,47,68,pp
57,48,39,47,pp
68,48,43,44,pp
74,48,5,57,pp
7,48,56,52,pp
72,48,17,55,pp
63,48,49,7,pp
69,48,63,48,pp
65,48,47,47,pp
74,48,31,53,pp
71,48,48,35,pp
7,48,47,51,pp
59,48,42,42,pp
29,48,52,4,pp
63,48,4,39,pp
69,48,46,57,pp
63,48,46,31,pp
64,48,41,39,pp
68,48,38,65,pp
67,48,25,42,pp
63,48,6,4,pp
73,48,58,51,pp
69,48,41,5,pp
69,48,46,44,pp
63,48,35,51,pp
43,48,52,49,pp
66,48,31,38,pp
