@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2-3,11'

@attribute FWidth numeric
@attribute FSize numeric
@attribute Class {g,h}

@data
11.4699,2.5922,g
14.2871,2.5804,g
7.2678,2.1287,g
12.5096,2.5308,g
7.4598,2.0881,g
12.183,2.7206,g
10.2554,2.3064,g
25.5685,2.9956,g
10.6943,2.7093,g
10.0175,2.5938,g
7.2112,2.1775,g
25.3707,3.418,g
10.9825,2.5315,g
11.6952,2.2393,g
18.6169,2.6165,g
22.7504,3.1402,g
29.7239,3.6687,g
21.5346,2.9574,g
31.5082,3.517,g
17.6702,2.6138,g
16.1695,2.3729,g
11.9374,2.4624,g
17.7433,3.0488,g
17.3569,2.6314,g
20.914,2.882,g
14.9059,2.889,g
35.7186,3.539,g
22.4333,2.8657,g
14.5155,2.6415,g
16.2729,2.6138,g
21.0066,2.6085,g
10.0426,2.3793,g
45.6301,4.2034,g
18.1298,2.6915,g
19.538,2.9138,g
7.3207,2.1021,g
31.5305,3.6508,g
11.3531,2.4843,g
22.3263,2.5159,g
18.2959,2.4464,g
9.5513,2.3365,g
13.8828,2.6405,g
23.6802,3.0779,g
12.3422,2.3811,g
17.4155,2.7054,g
22.2996,2.9047,g
10.9882,2.5575,g
22.6806,3.1757,g
19.258,2.6959,g
20.3299,2.5384,g
13.4603,2.7631,g
18.7394,2.7197,g
17.7514,2.8998,g
12.4151,2.3589,g
20.8928,2.6613,g
24.468,3.1593,g
26.0811,3.3427,g
11.008,2.4518,g
17.2585,2.7589,g
10.27,2.2822,g
16.2751,2.7439,g
17.8604,2.5955,g
23.5152,2.7774,g
23.1042,2.9906,g
40.5124,3.5649,g
13.4496,2.5447,g
15.7769,2.938,g
34.9759,3.5158,g
24.7088,3.1874,g
22.4191,2.6069,g
15.7524,2.9501,g
12.5471,2.4306,g
19.1098,2.5237,g
12.2503,2.4691,g
10.3203,2.2553,g
8.1925,2.499,g
25.6456,2.9717,g
18.8631,2.8817,g
8.7535,2.4314,g
32.0506,3.6607,g
30.3323,3.3775,g
32.4639,3.0228,g
29.8984,3.7112,g
22.3785,2.6556,g
14.347,2.635,g
7.0846,2.0473,g
20.0498,2.6117,g
15.9078,2.9258,g
52.2112,4.276,g
12.6049,2.5058,g
16.2619,2.5575,g
15.4434,2.7612,g
10.9917,2.1658,g
9.7761,2.2672,g
10.8373,2.3181,g
27.3878,2.9183,g
18.2981,2.4175,g
9.907,2.8543,g
11.7884,2.5752,g
23.6828,3.016,g
15.5894,2.4654,g
12.0096,2.5434,g
10.0099,2.3927,g
15.7962,2.3434,g
14.5218,2.6201,g
16.125,2.7593,g
20.8539,2.738,g
8.5113,2.4749,g
24.3337,3.146,g
16.3255,2.7105,g
19.299,2.7368,g
10.996,2.2601,g
19.6573,3.223,g
14.544,2.4639,g
19.8181,2.6623,g
18.295,2.8907,g
21.0019,2.6585,g
30.699,3.9531,g
10.7419,2.3284,g
7.0962,2.0149,g
31.6847,3.3732,g
30.7899,2.8096,g
16.2811,2.8932,g
13.0392,2.9135,g
17.6581,2.5763,g
10.8638,2.4249,g
20.8693,3.1297,g
26.389,3.0676,g
12.2316,2.4698,g
16.5781,2.6503,g
15.4175,2.6835,g
8.0563,2.143,g
25.2105,3.1028,g
22.7223,2.8062,g
10.6704,2.2625,g
7.3623,2.2,g
16.424,2.9699,g
9.6293,2.2529,g
25.1267,3.333,g
15.0955,2.6898,g
0,2.1055,g
44.2479,3.5558,g
18.0276,2.6425,g
17.6019,2.5688,g
17.0507,2.4771,g
11.9803,2.1889,g
17.5362,2.5821,g
21.1702,3.3409,g
10.4399,2.5092,g
11.1067,2.2601,g
11.7683,2.4533,g
19.5924,2.6385,g
18.3907,2.7118,g
11.7606,2.0626,g
12.2128,2.499,g
12.8311,2.5775,g
18.6433,2.8491,g
16.4722,2.5145,g
23.6314,3.091,g
27.5969,3.7549,g
19.0053,3.0088,g
21.2221,2.8774,g
13.3766,2.6637,g
11.3837,2.3212,g
9.9406,2.4631,g
22.2497,2.723,g
10.8255,2.1673,g
27.9136,3.6499,g
62.4268,4.1179,g
17.9779,2.372,g
33.7385,3.0812,g
26.3511,3.4098,g
21.1799,3.1518,g
16.9482,2.3314,g
14.3053,2.4771,g
17.4377,2.9602,g
15.9968,2.9337,g
22.2936,2.798,g
8.0978,2.1987,g
37.0624,3.9317,g
17.9022,2.4362,g
10.0606,2.2201,g
18.9021,2.754,g
50.302,3.0941,g
0.0033,2.243,g
24.6349,2.889,g
27.1839,2.938,g
23.7642,3.214,g
21.43,2.8621,g
12.852,2.5971,g
16.5387,2.5763,g
20.8319,2.4346,g
16.2885,2.9509,g
21.6234,2.9165,g
7.1717,2.3139,g
16.1704,2.3617,g
9.7452,2.3502,g
9.3726,2.3962,g
23.9354,3.4596,g
9.5459,2.4526,g
18.6311,2.5557,g
17.5314,2.9383,g
0,2.2188,g
10.7367,2.3086,g
11.014,2.6609,g
19.9723,3.0418,g
9.9203,2.3522,g
31.0202,3.4532,g
7.1662,2.0107,g
10.6396,2.2068,g
16.511,2.6425,g
11.1449,2.4878,g
22.8555,2.6474,g
9.166,2.3454,g
12.6618,2.5453,g
23.0115,3.2444,g
17.1093,2.8698,g
27.659,3.4526,g
15.6353,2.5065,g
7.0214,2.1673,g
26.4929,3.1429,g
16.2378,2.6542,g
33.7038,3.4223,g
10.4738,2.5079,g
14.7561,2.4683,g
10.7885,2.281,g
16.0555,2.4541,g
12.539,2.3075,g
16.0191,2.3444,g
31.1051,3.3386,g
12.0094,2.4928,g
21.9241,3.1578,g
23.8649,2.964,g
14.057,2.6594,g
10.1745,2.4843,g
11.0709,2.372,g
10.1157,2.3784,g
19.3926,2.64,g
15.9605,2.64,g
13.5042,2.5635,g
18.1662,2.3883,g
7.4015,2.2028,g
12.3598,2.444,g
27.2533,3.7736,g
12.8262,2.451,g
11.4078,2.3962,g
0.0034,2.2405,g
22.9146,2.6893,g
12.3606,2.4074,g
12.7027,2.4609,g
6.9168,2.0986,g
16.8898,2.586,g
21.6492,2.8007,g
14.7268,2.6439,g
28.65,3.6926,g
12.3542,2.5916,g
21.1363,3.1019,g
23.4441,2.781,g
12.4763,2.2867,g
7.3718,2.3375,g
14.9753,2.5038,g
22.1833,3.3844,g
33.9989,3.5462,g
18.1375,2.5711,g
18.1395,2.608,g
25.9785,3.0871,g
18.9203,2.7404,g
21.6024,2.6812,g
11.1402,2.07,g
17.7691,2.946,g
53.2113,4.1355,g
34.9071,3.2667,g
9.1934,2.2956,g
20.6574,2.9335,g
15.5349,2.3608,g
92.0095,4.6791,g
15.2991,2.4023,g
10.7403,2.1492,g
16.986,2.7578,g
33.7025,3.8649,g
11.2092,2.2109,g
11.3818,2.0917,g
20.8392,2.5192,g
17.5196,2.4871,g
27.0623,3.2782,g
18.0448,3.2368,g
10.5738,2.1351,g
44.3605,4.1786,g
12.909,2.4771,g
16.6809,2.2999,g
17.9769,2.8943,g
23.4183,3.4752,g
12.8074,2.4479,g
12.9049,2.5218,g
19.372,2.8017,g
14.6481,2.7122,g
20.142,2.4983,g
42.3899,3.3718,g
26.6687,3.3834,g
30.7964,3.7743,g
21.8754,3.021,g
12.8464,2.3551,g
24.6406,3.2977,g
17.6292,2.5688,g
11.3399,2.1287,g
14.1391,2.6425,g
11.5799,2.0314,g
12.7047,2.4907,g
12.6817,2.6561,g
11.6683,2.0774,g
25.3623,2.7059,g
19.6812,2.8296,g
29.7188,3.6021,g
14.4724,2.7466,g
29.5424,3.0761,g
12.0316,2.4141,g
26.1698,2.6212,g
11.6743,2.2175,g
48.2858,4.2843,g
36.4003,3.8632,g
20.9915,3.1136,g
12.6846,2.3064,g
30.0761,3.6711,g
9.3171,2.3775,g
30.9372,3.8598,g
12.8585,2.7016,g
22.9794,2.9196,g
11.3457,2.3997,g
21.1341,3.3893,g
23.9784,2.6439,g
11.4047,2.1775,g
21.18,3.135,g
10.6229,2.2109,g
17.0329,2.6488,g
15.7198,2.2467,g
16.608,2.4354,g
7.0673,2.2343,g
12.6445,2.451,g
14.8492,2.7332,g
22.0399,2.9963,g
12.2545,2.6721,g
12.2505,2.3531,g
27.9874,3.3503,g
46.8651,4.2366,g
16.9437,2.776,g
11.1405,2.2317,g
11.2316,2.7088,g
12.0614,2.081,g
20.694,2.5883,g
15.5602,2.7222,g
7.2284,2.0986,g
15.8563,2.6289,g
16.8328,2.7645,g
9.0943,2.4191,g
26.9664,3.2015,g
19.9263,2.8254,g
10.4433,2.5211,g
23.1632,3.0149,g
36.1995,3.6438,g
23.1925,3.0938,g
19.6504,2.6335,g
18.4859,2.6498,g
0.0001,2.1446,g
24.1377,2.7878,g
15.4518,2.7903,g
12.8643,2.2945,g
11.1597,2.2856,g
17.8095,2.5993,g
12.9345,2.2911,g
18.6554,2.734,g
10.8369,2.3627,g
12.5271,2.5809,g
23.7468,2.9307,g
18.6624,2.5045,g
15.8354,2.905,g
19.5799,3.0598,g
27.216,3.8374,g
27.7639,3.266,g
20.4438,2.9501,g
22.003,2.7631,g
17.3629,2.8686,g
23.5699,3.1558,g
24.8016,2.993,g
12.2036,2.6269,g
10.6617,2.2529,g
11.2802,2.1319,g
20.7228,2.785,g
20.6567,2.8119,g
13.1451,2.8915,g
11.2019,2.6853,g
12.2602,2.5527,g
23.6243,2.9219,g
23.7252,3.2649,g
14.6465,2.4771,g
18.3917,2.7931,g
12.9622,2.2799,g
18.9834,2.608,g
11.0847,2.4224,g
18.4629,2.9079,g
21.1061,3.3252,g
7.3375,2.5676,g
13.3418,2.6123,g
11.2768,2.5179,g
14.4142,2.4698,g
11.6342,2.4533,g
6.9354,2.1351,g
31.1777,3.4894,g
42.5267,3.324,g
9.8586,2.2492,g
22.4181,3.474,g
34.31,3.8354,g
9.7181,2.5416,g
19.7374,2.7466,g
11.3388,2.485,g
20.198,3.0273,g
22.7848,3.3463,g
18.5964,2.4216,g
46.0472,4.0415,g
20.9142,3.0934,g
21.093,2.6435,g
18.5163,2.791,g
17.8214,2.8639,g
20.5402,2.776,g
17.9068,2.616,g
12.4071,2.4108,g
10.4319,2.2304,g
16.5952,2.5617,g
11.6186,2.266,g
11.6441,2.357,g
32.6355,3.6311,g
21.0393,2.9484,g
23.4306,2.9388,g
15.18,2.5422,g
19.5056,3.107,g
6.646,2.1189,g
14.9019,2.3627,g
16.6884,2.8998,g
6.8045,2.0881,g
9.6648,2.5832,g
19.229,3.0538,g
28.9118,3.8108,g
24.3501,3.3116,g
21.4939,2.8579,g
18.381,2.9235,g
34.6213,3.3763,g
6.955,2.1875,g
26.678,3.3537,g
7.2028,2.1889,g
14.5127,2.6053,g
12.0477,2.3589,g
9.6646,2.3971,g
9.7527,2.4886,g
7.0846,2.0273,g
10.3778,2.1847,g
28.8037,3.709,g
13.2825,2.6508,g
34.4947,3.5741,g
7.3006,2.3064,g
19.1015,2.9906,g
12.5654,2.3531,g
30.6626,3.5629,g
17.8488,2.4893,g
17.6794,2.5676,g
19.14,2.666,g
18.0164,2.6575,g
10.749,2.1644,g
51.8681,4.0217,g
12.9473,2.2999,g
11.2075,2.1746,g
19.2888,2.6547,g
16.7597,2.7828,g
39.1173,3.3867,g
10.0654,2.2122,g
21.6256,2.5729,g
28.0451,3.894,g
10.1429,2.2148,g
13.9166,2.3655,g
12.1002,2.5328,g
13.9059,2.6207,g
13.1353,2.6994,g
10.22,2.3444,g
17.0671,2.7767,g
12.5757,2.4273,g
15.6575,2.8209,g
11.436,2.616,g
25.0647,3.5016,g
13.6783,2.6739,g
33.5032,4.0457,g
21.4058,3.1119,g
18.906,2.754,g
24.2627,3.2816,g
9.793,2.3434,g
21.6505,3.3865,g
19.2661,2.9754,g
20.2598,2.8985,g
6.9686,2.2516,g
16.7782,2.499,g
11.0976,2.2355,g
20.1501,2.749,g
20.0991,3.0563,g
12.4758,2.9178,g
11.7501,2.273,g
17.1977,2.541,g
24.6035,3.2565,g
8.5165,2.3541,g
24.739,3.1181,g
10.8444,2.2765,g
19.7686,2.9617,g
13.5593,2.8028,g
12.6477,2.5218,g
19.5553,3.0026,g
32.2813,3.8581,g
30.1373,3.6165,g
12.8361,2.2279,g
11.5595,2.3766,g
26.2446,3.1239,g
8.0803,2.1584,g
15.1862,2.5315,g
32.5604,3.527,g
24.8113,3.2908,g
24.0908,3.2658,g
28.0491,3.2139,g
10.3588,2.3222,g
25.8625,3.1364,g
18.0364,2.5899,g
22.1046,2.9673,g
20.5808,2.8733,g
10.3709,2.4241,g
27.7736,3.3463,g
7.2784,2.0273,g
12.0628,2.437,g
27.0418,3.4859,g
10.479,2.2227,g
18.4684,2.6294,g
36.3955,3.8115,g
11.7743,2.5465,g
19.2545,2.4579,g
16.1182,3.1106,g
22.5107,3.2503,g
24.1273,2.9664,g
10.1132,2.3054,g
28.1963,3.673,g
14.8809,2.5065,g
14.9835,2.8633,g
19.1009,3.1229,g
25.8261,3.083,g
15.3635,2.666,g
23.1203,3.2704,g
19.9142,2.7828,g
21.7883,3.1697,g
20.1946,2.6395,g
19.4903,2.6196,g
16.2443,2.3979,g
12.1111,2.5145,g
11.6757,2.0846,g
26.4331,2.8287,g
15.2163,3.1327,g
15.8063,2.9063,g
13.3364,2.5855,g
17.4901,2.6781,g
18.5689,2.8663,g
24.0428,3.2683,g
41.2098,4.1523,g
16.8605,2.5832,g
24.5386,3.7146,g
12.9894,2.4385,g
9.612,2.5569,g
23.8871,2.8751,g
24.8276,2.9643,g
11.7432,2.0273,g
22.2625,2.8943,g
21.8454,2.8736,g
13.4598,2.9467,g
16.3098,2.7976,g
21.5581,3.123,g
20.9799,2.6031,g
9.3442,2.4232,g
30.1893,3.4552,g
16.3944,2.74,g
10.541,2.4713,g
12.3756,2.637,g
12.4487,2.2956,g
20.2779,2.7828,g
9.8641,2.5982,g
31.0263,2.7818,g
15.3437,2.3909,g
32.7136,3.7666,g
25.6917,3.3422,g
10.7559,2.4289,g
19.3707,2.4401,g
6.5766,2.3522,g
26.4698,2.7007,g
19.9736,2.9138,g
38.9729,3.8601,g
14.5175,2.8774,g
19.2748,3.1515,g
16.2989,2.5593,g
27.0649,3.1652,g
14.6316,2.7657,g
24.5221,2.836,g
9.4943,2.3674,g
19.8188,2.9491,g
16.9958,2.6571,g
10.1755,2.2923,g
49.6183,4.2261,g
27.6918,3.1945,g
12.0167,2.4378,g
47.3576,3.9358,g
11.9409,2.0022,g
23.6559,3.6799,g
22.8524,2.6309,g
10.1047,2.1987,g
11.3102,2.3201,g
10.4981,2.1973,g
32.8513,3.4813,g
43.4833,3.7753,g
34.3761,3.2403,g
16.1245,2.5938,g
25.8677,3.3082,g
16.3156,2.8825,g
19.6319,3.2564,g
31.1228,3.7774,g
19.0203,2.6857,g
29.479,3.6885,g
11.4038,2.3365,g
13.4156,2.42,g
10.697,2.3483,g
10.798,2.4281,g
21.1807,2.7509,g
25.2429,2.734,g
11.9961,2.6085,g
20.7897,2.9685,g
25.6208,2.9518,g
13.1992,2.8357,g
8.8242,2.3454,g
12.0636,2.4601,g
9.182,2.2833,g
23.3124,3.3193,g
20.0494,2.8555,g
12.3993,2.8651,g
18.9983,2.7774,g
19.9172,3.1913,g
18.5745,2.3314,g
31.8343,3.271,g
20.1666,2.9682,g
11.1001,2.2695,g
15.6283,2.9047,g
13.5756,2.6449,g
12.9814,2.527,g
23.3996,3.1053,g
11.0617,2.4014,g
16.5478,2.8119,g
18.4585,2.5231,g
31.7271,2.7189,g
29.3532,3.6577,g
22.3495,2.7259,g
10.6288,2.3139,g
33.2444,4.0381,g
19.7845,2.4571,g
19.4698,2.9393,g
22.3366,2.863,g
26.0405,3.4344,g
16.2565,2.42,g
36.7662,3.9834,g
16.474,2.7899,g
19.3552,3.1949,g
68.6842,4.3813,g
17.609,2.8814,g
20.0193,3.162,g
19.6937,2.4764,g
40.3366,3.4214,g
12.3082,2.5557,g
11.6825,2.0314,g
37.4732,3.3359,g
21.1399,3.1064,g
27.6543,3.3523,g
10.5686,2.5126,g
19.0051,2.9511,g
10.5024,2.3284,g
21.9304,2.673,g
12.3372,2.5472,g
15.9747,3.0216,g
7.3677,2.0917,g
12.2392,2.6243,g
20.624,2.7555,g
18.0876,2.6893,g
24.8697,3.1612,g
21.5054,3.1633,g
12.4113,2.2911,g
10.7129,2.2148,g
24.7449,3.056,g
19.6081,2.913,g
18.7279,2.7899,g
12.4768,2.5955,g
20.4661,2.8851,g
19.8051,2.636,g
15.615,2.9204,g
12.1773,2.3936,g
17.9479,2.9222,g
39.4608,3.3164,g
18.6686,2.8633,g
13.7052,2.5085,g
27.8548,3.2298,g
11.2635,2.1255,g
0.0029,2.0774,g
11.6631,2.6091,g
15.2972,2.8038,g
23.0933,2.7404,g
12.5027,2.7076,g
11.1914,2.2672,g
19.3494,2.8014,g
10.7934,2.4526,g
21.5379,2.7181,g
7.4896,2.1599,g
15.7057,2.5416,g
21.4325,3.5977,g
32.4104,3.0372,g
0.0025,2.2,g
9.6415,2.4393,g
16.2839,2.937,g
27.0704,3.3368,g
11.4597,2.2788,g
23.7632,3.2362,g
10.7634,2.2068,g
12.3029,2.4676,g
16.8952,2.8802,g
30.6278,3.8192,g
10.9524,2.1538,g
10.3697,2.7642,g
12.7643,2.5065,g
32.3821,3.134,g
12.9405,2.3901,g
20.5217,2.7067,g
16.6555,2.5192,g
20.6403,2.9373,g
22.5302,3.3729,g
20.3629,3.081,g
40.1924,3.4518,g
10.037,2.3502,g
10.6149,2.5045,g
22.1106,2.5372,g
11.1194,2.2945,g
22.5984,2.5838,g
19.9323,2.8876,g
0,2.3936,g
21.301,3.1755,g
16.2103,2.6335,g
16.8772,2.9175,g
17.228,2.7653,g
12.4404,2.6585,g
34.5236,3.46,g
18.6652,2.736,g
18.7394,2.899,g
16.7233,2.8837,g
10.6923,2.3096,g
19.6944,3.0073,g
12.8843,2.5434,g
17.6931,2.851,g
41.5287,3.7945,g
11.3536,2.4764,g
8.254,2.4448,g
6.9613,2.0473,g
16.6629,2.8306,g
6.605,2.2082,g
13.0514,2.2889,g
16.5656,2.601,g
27.2537,3.6566,g
17.2693,2.9408,g
12.7849,2.8205,g
21.2667,3.477,g
7.261,2.1287,g
27.402,3.485,g
7.1133,2.0846,g
29.197,3.6656,g
25.2295,3.1787,g
15.9246,2.6021,g
33.3536,3.2636,g
16.0418,2.4378,g
14.3788,2.4378,g
29.24,3.4659,g
27.1908,3.1082,g
16.5461,2.6613,g
22.4011,2.9829,g
19.1617,2.6812,g
12.4573,2.2504,g
16.1282,2.57,g
10.8201,2.4631,g
16.5967,2.6144,g
39.6099,4.109,g
20.2325,2.7332,g
23.0276,2.9908,g
26.8866,2.9322,g
10.6861,2.1123,g
10.8365,2.2455,g
18.0751,2.8132,g
9.6119,2.4378,g
11.5967,2.2135,g
18.0963,2.9193,g
10.1782,2.2625,g
28.4975,3.1885,g
16.2814,2.636,g
16.5706,3.0048,g
24.113,3.065,g
21.0491,2.9526,g
25.047,2.7497,g
12.8671,2.4057,g
16.0422,2.3962,g
12.618,2.3512,g
9.2674,2.4864,g
12.5763,2.5011,g
6.7361,2.1156,g
14.3126,2.437,g
25.517,3.3375,g
7.4617,2.2148,g
24.525,2.9219,g
7.3589,2.2393,g
8.6907,2.5347,g
16.0096,2.6484,g
16.7623,2.7466,g
20.4676,3.3757,g
22.0162,3.2564,g
31.9534,3.2285,g
17.7958,2.6149,g
18.7045,3.3051,g
7.8345,2.2529,g
8.6035,2.3483,g
14.3207,2.6994,g
27.3733,3.4867,g
38.1139,3.9986,g
7.2305,2.1287,g
15.0288,2.5289,g
19.5474,2.6542,g
24.0813,3.2086,g
19.2236,2.608,g
15.2963,2.9479,g
10.8664,2.1804,g
7.3111,2.1383,g
10.3405,2.1833,g
15.596,2.6642,g
11.2723,2.5729,g
10.6539,2.1538,g
16.1015,2.6799,g
17.6895,3.0269,g
16.2932,2.9358,g
33.6028,3.5079,g
14.9726,2.6112,g
8.6703,2.5581,g
20.3364,2.7631,g
13.8836,2.8488,g
13.5009,2.8531,g
16.7667,2.6566,g
23.6883,3.1297,g
15.8644,3.1995,g
18.8554,2.76,g
19.0193,2.73,g
35.7037,4.0786,g
21.494,3.0432,g
20.8336,2.946,g
18.0211,2.4065,g
15.6627,2.8466,g
18.0663,2.5717,g
36.7379,3.8913,g
15.1711,2.8106,g
31.9012,3.6883,g
17.6494,2.6749,g
10.2804,2.2648,g
17.2702,2.7156,g
16.7651,2.7882,g
36.7959,4.094,g
28.0408,3.1989,g
33.7394,3.0471,g
29.9863,3.0077,g
18.7737,3.0763,g
10.4749,2.3355,g
21.792,3.0191,g
14.307,2.8624,g
10.8105,2.3054,g
20.6164,2.9345,g
26.9862,3.0924,g
15.8385,2.5514,g
41.5133,3.9779,g
13.4676,2.5459,g
18.3084,2.882,g
11.3572,2.0588,g
