@relation magic

@attribute FSize numeric
@attribute FAlpha numeric
@attribute FDist numeric
@attribute Class {g,h}

@data
3.8134,0.558,261.179,g
2.5569,66.247,94.9115,g
3.1971,62.8246,59.1285,g
2.2648,13.386,203.443,g
3.0314,6.8267,279.833,g
2.5533,1.5499,278.49,g
2.6335,8.368,272.43,g
3.4651,4.884,218.029,g
3.0032,17.3604,238.671,g
2.8451,11.4153,343.112,g
2.5237,2.148,243.223,g
3.0109,14.577,159.61,g
2.0774,82.9943,117.518,g
2.5888,47.8428,190.255,g
2.7517,8.0864,198.178,g
2.6527,34.613,168.147,g
2.2878,46.534,121.372,g
3.805,3.104,354.787,g
3.4072,3.4278,222.286,g
2.2504,49.932,158.432,g
2.2672,49.52,78.8784,g
2.3988,8.3766,182.316,g
2.7093,36.7094,183.783,g
2.7348,13.374,219.462,g
3.5049,11.6103,188.403,g
2.8808,7.5418,175.096,g
2.9151,16.9157,251.415,g
3.0631,8.705,219.968,g
2.7973,13.374,236.918,g
2.1351,35.096,146.661,g
2.6821,9.541,172.529,g
3.0356,10.124,192.834,g
2.1055,30.754,113.645,g
2.2989,7.817,231.201,g
2.5484,7.936,146.847,g
2.1383,49.8198,119.954,g
2.1945,42.315,135.144,g
2.7885,29.945,69.7696,g
2.3927,13.4176,130.073,g
3.0086,13.377,309.814,g
2.3253,61.51,161.396,g
2.1717,60.218,135.999,g
2.527,50.7377,139.631,g
3.9109,1.873,230.846,g
2.7396,11.679,254.953,g
3.4442,4.018,273.158,g
3.2398,3.6733,212.525,g
2.5004,69.35,121.49,g
3.6018,20.1948,71.4024,g
2.9566,6.244,288.735,g
2.8594,87.2246,63.4176,g
3.247,0.814,156.099,g
2.5218,38.922,81.2325,g
2.5359,22.81,240.302,g
2.3375,23.934,146.809,g
2.7742,11.808,185.876,g
2.3304,7.041,125.935,g
2.6385,2.8656,98.6622,g
2.5927,25.4082,179.107,g
2.1156,32.0404,203.513,g
2.5145,5.932,153.643,g
2.7792,10.2947,141.498,g
2.76,31.828,144.261,g
3.3175,2.0615,119.24,g
2.2227,52.227,170.51,g
2.3107,74.343,205.18,g
2.2999,47.741,152.917,g
3.468,13.8802,103.733,g
2.9814,3.3652,306.276,g
2.2304,69.608,152.882,g
2.0881,61,134.474,g
2.9983,4.2187,187.793,g
2.9967,0.681,309.9,g
2.2742,3.348,153.242,g
3.8521,1.397,336.647,g
2.3473,35.801,160.436,g
3.8026,2.643,306.55,g
2.0663,14.407,104.421,g
3.8661,3.201,219.342,g
2.5185,6.3609,205.261,g
3.2783,1.5496,292.209,g
3.1543,11.6762,293.853,g
2.5099,11.572,163.561,g
2.1688,59.7983,150.306,g
3.1725,9.836,264.238,g
3.0273,16.385,249.641,g
2.5139,11.049,165.48,g
2.5058,15.175,146.477,g
3.2834,6.3952,241.693,g
2.9199,0.2439,246.513,g
2.4433,17.8472,60.3879,g
3.2057,1.9109,187.249,g
2.233,76.5195,92.5498,g
2.4878,23.553,171.686,g
3.0069,14.7783,111.436,g
3.4092,25.1567,53.4596,g
2.2041,26.6697,205.578,g
3.685,0.926,284.312,g
2.3128,27.2483,263.954,g
2.6395,0.7528,155.514,g
2.4807,42.523,104.52,g
3.1094,5.452,181.334,g
2.3598,84.2593,185.565,g
3.5101,2.622,263.818,g
3.2222,5.411,262.858,g
2.1553,21.435,161.457,g
2.5237,20.0004,109.012,g
2.7903,24.196,123.845,g
2.4385,7.815,107.398,g
2.688,80.8486,193.354,g
2.541,0.49,131.4,g
2.9053,3.3763,182.35,g
2.2867,29.068,176.78,g
3.0695,0.738,303.629,g
2.8901,16.96,108.821,g
2.357,9.2717,89.4441,g
2.5145,42.108,85.2292,g
2.9638,2.5917,224.173,g
2.5366,15.928,249.637,g
2.8112,10.9966,229.719,g
2.4778,31.3698,108.796,g
2.5623,66.669,104.412,g
2.6551,20.1117,187.785,g
3.7048,2.985,246.496,g
2.7875,3.638,208.723,g
2.6651,39.2971,112.665,g
2.0273,23.962,84.7853,g
2.4541,23.9107,198.974,g
3.1318,11.6197,111.53,g
2.2577,80.5999,159.324,g
3.2,8.2751,270.904,g
3.9457,4.0677,327.251,g
2.49,14.1145,168.869,g
2.4099,64.547,78.8033,g
2.3847,82.5247,138.811,g
2.1599,37.923,197.613,g
2.5004,0.708,209.888,g
2.2856,23.821,229.161,g
2.78,26.16,236.574,g
2.3692,32.907,160.716,g
2.5296,5.452,165.305,g
2.29,38.6221,99.682,g
3.6335,0.803,343.313,g
2.7462,50.082,260.99,g
2.9474,1.9292,139.977,g
3.516,6.582,150.3,g
2.7202,2.9967,173.984,g
2.07,10.302,180.155,g
2.0434,80.0492,174.695,g
2.9172,2.705,194.672,g
2.8871,3.465,257.031,g
3.1587,7.992,146.153,g
2.1959,82.0634,240.368,g
2.9266,6.738,202.799,g
2.8684,18.5652,281.671,g
2.4541,12.7586,205.861,g
2.8439,3.2072,338.012,g
2.1156,32.917,221.664,g
2.3375,87.1172,140.843,g
2.7135,3.101,238.182,g
2.4338,0.5848,74.7372,g
2.6955,15.321,161.388,g
3.525,3.783,205.094,g
2.5231,12.393,213.651,g
2.0588,57.2856,166.29,g
2.3636,62.452,170.972,g
2.8199,11.7065,203.392,g
3.0152,4.4256,252.271,g
3.3076,3.7247,188.931,g
2.57,88.4473,76.1243,g
3.2353,2.6774,251.824,g
3.3528,0.2501,321.117,g
2.9892,21.486,194.815,g
3.5529,7.103,222.653,g
3.8226,6.433,304.935,g
3.6121,4.5595,254.697,g
2.1189,52.7541,88.5302,g
2.4023,45.173,90.5686,g
2.5664,3.013,198.518,g
2.6498,1.6861,210.992,g
2.4793,25.5291,166.146,g
2.989,3.7844,183.254,g
2.4208,29.699,180.377,g
2.5569,0.2694,142.248,g
3.8609,0.087,326.195,g
2.0737,60.349,111.753,g
3.8,5.515,236.664,g
2.5237,63.146,130.112,g
2.1861,4.157,133.432,g
3.5798,14.486,102.869,g
2.8579,4.885,294.535,g
2.9472,10.781,168.825,g
2.6439,72.931,92.0505,g
2.7139,2.7663,220.962,g
2.9125,0.6007,250.446,g
2.5838,12.6022,195.098,g
3.795,4.147,268.027,g
2.8215,2.957,184.36,g
3.3035,8.5577,123.099,g
2.9743,26.0548,282.843,g
2.4757,31.4724,166.674,g
2.8762,61.2522,33.1058,g
2.4624,39.315,223.495,g
2.2516,31.8219,175.094,g
3.0932,9.5567,284.916,g
2.4338,45.987,230.496,g
2.9327,8.849,262.751,g
2.472,41.8543,116.964,g
3.3685,10.3828,260.119,g
2.8354,1.7101,186.551,g
3.1106,15.4057,267.898,g
2.4014,74.8176,56.1165,g
3.0775,12.206,104.883,g
2.2041,55.8503,92.8949,g
2.49,0.4206,160.912,g
2.0473,63.531,121.872,g
2.0881,19.8866,143.924,g
2.8182,46.912,179.904,g
2.2742,19.4337,134.407,g
2.9985,10.928,220.248,g
3.0336,76.05,102.33,g
2.5391,65.2451,72.7386,g
3.801,1.419,384.328,g
2.7578,37.1307,155.376,g
2.7063,17.919,73.7366,g
2.2967,17.392,196.769,g
2.9954,4.6516,260.637,g
3.2718,3.016,273.03,g
2.2613,10.85,158.968,g
2.2148,3.3457,197.23,g
2.8525,2.144,256.348,g
2.7259,42.592,215.894,g
2.7814,18.338,146.511,g
3.3477,13.0923,149.933,g
2.9263,4.501,129.148,g
3.6192,0.7124,381.871,g
2.2856,2.323,113,g
2.5004,9.45,219.995,g
3.6141,0.2422,286.684,g
2.8913,13.962,127.753,g
2.9727,6.4438,242.514,g
2.9664,13.9446,204.926,g
3.3055,2.001,407.345,g
3.4594,0.76,180.868,g
2.9004,20.6356,242.762,g
3.2195,3.675,237.681,g
2.9612,15.9992,151.351,g
3.0263,5.5932,309.468,g
2.5092,75.415,201.122,g
2.7709,19.286,176.973,g
2.8808,1.8987,249.539,g
2.5658,15.901,140.021,g
2.5192,10.277,212.251,g
3.1573,2.936,294.746,g
2.6875,8.572,146.936,g
2.7892,7.963,245.074,g
2.3464,87.0857,252.045,g
2.1508,66.4912,60.6225,g
2.5132,5.2524,156.958,g
3.0856,6.6889,205.566,g
2.3918,11.8733,114.856,g
2.4409,18.8663,121.775,g
2.6449,7.543,177.865,g
2.8845,1.252,318.996,g
2.9292,50.738,71.8962,g
2.7173,5.0738,197.672,g
2.4526,43.616,106.011,g
2.5347,2.004,242.24,g
2.6415,15.3,220.415,g
2.8102,2.1648,213.781,g
2.9069,64.1446,58.3727,g
3.3442,3.1921,360.081,g
2.6618,9.3801,218.119,g
2.2055,40.3261,160.59,g
3.7751,3.227,161.776,g
2.4983,0.13,202.04,g
2.4871,47.9304,128.131,g
3.466,10.7066,221.358,g
2.238,56.0249,97.4132,g
2.7147,3.3863,212.809,g
4.1743,0.68,310.933,g
2.5198,24.663,201.263,g
2.4893,15.563,150.815,g
2.4314,72.273,237.998,g
3.0699,2.071,276.474,g
2.616,3.6204,176.033,g
2.4526,20.363,96.0406,g
3.2002,37.8821,42.9706,g
2.1569,28.2782,223.592,g
3.1202,4.2963,200.021,g
2.4541,31.28,159.278,g
2.301,35.676,155.806,g
2.4401,1.608,371.804,g
2.8814,0.0349,266.558,g
3.1472,1.308,243.808,g
3.2641,1.692,256.2,g
3.0527,17.086,271.141,g
3.1874,1.121,346.192,g
3.1432,8.866,153.997,g
4.014,0.637,284.779,g
2.1818,45.7654,146.202,g
2.5366,35.433,28.6647,g
2.8701,2.4615,298.611,g
2.5826,2.808,199.095,g
2.7716,10.493,136.533,g
2.4479,59.946,96.0915,g
2.8156,30.825,117.54,g
3.1793,8.0926,189.243,g
3.0052,8.877,98.7117,g
2.3294,44.127,106.503,g
3.0202,0.0345,67.9435,g
2.2625,5.5511,157.327,g
3.1987,28.5503,210.982,g
3.1754,7.052,241.245,g
2.9523,6.4139,211.961,g
4.0642,0.2386,318.629,g
2.7084,1.6694,155.949,g
2.1717,10.6605,172.242,g
2.1629,48.4705,199.836,g
3.221,6.769,158.461,g
3.4256,1.935,138.823,g
2.5775,19.736,138.797,g
2.9383,8.035,161.382,g
2.4425,44.4946,172.133,g
3.4986,1.408,361.98,g
2.4354,5.4597,284.557,g
3.063,1.0036,178.341,g
2.3962,34.256,155.183,g
2.3531,13.7613,177.632,g
2.7983,13.822,351.557,g
2.6522,11.192,262.707,g
2.1931,11.7655,72.0769,g
2.4713,74.264,143.023,g
2.5065,27.041,195.417,g
2.9085,4.294,278.764,g
2.8347,1.57,208.832,g
2.8202,3.9349,154.443,g
3.2239,1.6001,213.524,g
2.9186,17.8697,190.221,g
2.8212,4.502,184.981,g
2.688,0.972,248.741,g
3.0737,23.202,252.21,g
2.9859,4.376,335.89,g
3.2831,24.4731,94.3593,g
3.4322,5.473,205.303,g
2.882,6.8883,206.026,g
2.5139,49.5681,169.797,g
2.0774,89.3339,158.411,g
2.8954,2.915,262.948,g
3.3398,17.081,230.109,g
2.6915,24.191,148.568,g
3.0308,3.919,227.332,g
4.0213,0.6513,264.63,g
2.6721,29.1324,184.927,g
3.3531,1.25,306.06,g
2.273,54.213,102.126,g
2.1287,13.3261,131.397,g
2.437,5.6286,177.415,g
2.8166,0.256,241.974,g
2.3655,83.9952,110.701,g
2.3222,45.8523,155.375,g
2.2253,2.1861,168.749,g
2.8482,17.293,164.067,g
2.8848,4.1871,291.69,g
3.5616,1.778,350.237,g
2.9914,4.029,363.489,g
2.2292,28.5692,147.574,g
3.0382,1.5672,195.495,g
3.0185,8.201,259.954,g
2.2095,42.016,69.1981,g
3.0336,9.4002,266.12,g
2.4778,28.2602,91.751,g
2.7275,44.373,131.319,g
3.2638,10.241,132.902,g
2.7875,1.892,114.97,g
2.7952,43.513,256.589,g
2.2648,21.9555,184.648,g
3.0936,21.6547,212.249,g
3.2905,65.912,133.173,g
3.1481,4.217,178.676,g
3.0249,1.505,347.551,g
2.5809,39.2377,119.5,g
3.9914,0.0791,350.842,g
2.3747,2.7355,124.553,g
3.0844,16.4238,115.602,g
3.4673,4.8249,236.921,g
2.7093,0.337,180.685,g
2.1833,79.2518,195.738,g
2.7011,26.735,153.838,g
3.3206,5.069,206.895,g
3.5653,11.6075,165.603,g
2.9206,7.9233,257.161,g
2.9724,4.7161,202.754,g
2.07,53.587,43.9599,g
4.1592,1.9148,179.313,g
2.2504,51.857,157.859,g
2.4108,1.068,197.412,g
2.0273,34.1392,189.197,g
2.7889,11.3729,275.169,g
2.4807,5.7762,196.862,g
3.3391,5.247,238.101,g
2.2945,61.973,221.165,g
2.8075,4.1022,273.148,g
2.4893,5.112,271.724,g
3.7943,7.946,190.598,g
3.0366,6.7787,291.256,g
2.8924,11.7003,200.639,g
2.4713,67.2725,67.4759,g
2.0846,17.9481,245.788,g
2.6998,0.881,166.744,g
3.0002,6.252,386.71,g
2.5966,16.8389,129.72,g
3.0147,5.6601,170.274,g
2.866,7.5196,193.503,g
2.1255,27.138,204.598,g
2.1271,46.959,225.653,g
3.3964,7.741,241.698,g
2.3454,42.229,183.577,g
2.6123,22.259,182.55,g
3.4989,1.762,301.222,g
2.9151,26.547,150.167,g
2.2867,73.8778,99.625,g
2.8476,0.9589,191.979,g
2.6547,13.0019,143.363,g
3.4357,9.941,223.912,g
2.9516,4.8668,195.817,g
2.6405,6.423,192.861,g
3.4718,17.073,93.8376,g
2.2122,45.9906,127.847,g
2.2799,13.1938,196.47,g
3.9915,0.256,219.208,g
2.9542,0.3194,384.822,g
2.2753,68.3044,69.1671,g
2.4749,13.3733,181.641,g
2.5126,2.2868,222.401,g
2.3064,12.358,81.6967,g
2.224,17.4554,73.1766,g
2.3314,2.1688,125.121,g
2.2405,82.7705,218.241,g
2.6959,6.499,221.529,g
2.2934,36.8443,156.357,g
3.0273,0.122,178.102,g
3.0667,2.4152,158.046,g
2.7247,11.7631,164.756,g
2.437,43.7446,111.286,g
2.3766,50.047,158.436,g
2.4249,5.932,159.226,g
2.6042,12.632,293.71,g
2.945,19.601,159.668,g
3.6383,4.3045,290.341,g
2.5302,5.475,106.423,g
3.7255,0.3395,261.226,g
2.1889,45.626,150.341,g
2.6405,6.415,244.669,g
2.3128,15.654,212.424,g
3.0122,0.101,328.728,g
2.8172,6.9898,221.046,g
4.155,1.037,272.216,g
2.2492,43.042,42.4625,g
2.3385,21.3825,127.212,g
2.2565,48.416,368.443,g
2.4646,16.1552,185.547,g
2.2393,19.341,235.342,g
2.9805,2.0711,225.707,g
2.0774,28.526,59.1405,g
2.6309,19.418,208.256,g
2.1889,66.1205,140.607,g
2.6781,4.6097,292.307,g
2.7344,5.858,122.236,g
2.6026,14.0812,215.501,g
3.2921,4.63,233.579,g
2.9365,0.925,290.377,g
2.2844,37.511,205.85,g
2.6684,6.463,219.962,g
3.0913,9.064,314.576,g
2.7059,35.118,97.5741,g
3.1206,0.25,231.475,g
2.7279,2.8484,290.619,g
2.8096,57.543,125.776,g
3.0141,36.426,68.4558,g
3.5103,7.07,307.477,g
2.8582,16.181,148.841,g
3.7966,0.6806,201.366,g
3.1087,5.402,291.997,g
2.2304,42.063,150.092,g
2.944,1.137,194.76,g
3.4921,2.07,267.468,g
2.73,1.1344,193.489,g
3.3758,6.373,179.756,g
3.4706,1.2941,327.433,g
3.4572,11.476,242.005,g
2.6069,43.6236,50.8796,g
2.3021,69.004,50.4708,g
2.4354,85.9912,145.206,g
2.7478,15.7122,129.389,g
2.7727,19.937,175.655,g
3.516,0.9488,318.67,g
2.4969,0.9875,134.912,g
2.5792,10.3051,229.915,g
2.8007,33.0542,110.184,g
3.3105,6.759,270.21,g
2.4526,22.765,97.1298,g
2.4191,10.139,75.7494,g
2.8041,7.9929,179.949,g
4.0896,1.024,192.106,g
2.9143,0.366,283.038,g
4.0455,0.804,297.083,g
3.519,1.783,253.99,g
2.9457,1.0501,290.778,g
2.857,4.155,330.592,g
2.2553,36.4032,202.981,g
2.2707,0.351,197.262,g
3.0212,38.976,187.149,g
2.3395,24.564,150.202,g
2.7597,13.461,218.723,g
3.1899,2.397,234.514,g
2.5403,30.222,51.245,g
2.3701,61.282,95.2881,g
2.5085,18.453,297.048,g
3.1189,1.198,207.976,g
2.6069,39.3565,136.953,g
3.1057,3.906,175.097,g
2.7547,42.632,114.632,g
4.0581,2.5861,214.333,g
2.8531,11.0651,138.074,g
2.6776,9.3069,94.4397,g
3.4322,0.969,266.396,g
2.2989,21.3448,222.205,g
3.0643,15.5752,175.166,g
2.2695,24.6514,171.788,g
2.1945,80.4713,45.6296,g
2.6207,8.327,167.647,g
2.5763,10.7955,214.958,g
3.4822,5.6592,212.606,g
2.4564,15.6121,144.482,g
2.1833,73.787,180.749,g
2.5557,1.843,170.195,g
2.8335,4.314,325.195,g
2.4362,19.395,160.604,g
3.1977,3.982,298.244,g
3.2174,9.2116,219.278,g
2.8663,5.354,140.17,g
2.8055,9.0533,221.657,g
2.9358,1.3506,219.427,g
3.2172,1.2155,257.514,g
2.6405,1.124,180.4,g
3.3919,9.5042,43.7529,g
2.5152,79.2185,66.7467,g
3.0075,11.218,178.368,g
3.3414,2.414,224.784,g
3.2172,7.0548,259.933,g
3.66,0.8864,340.59,g
2.9523,5.8345,263.582,g
3.3742,0.4746,285.562,g
3.095,34.2341,100.225,g
3.1575,5.397,255.975,g
3.6885,1.4845,116.025,g
2.2718,54.997,220.126,g
2.5605,5.222,170.009,g
3.4208,5.7787,278.866,g
2.5237,13.143,136.463,g
3.3308,1.29,294.867,g
2.8985,22.053,140.793,g
2.4935,10.285,306.401,g
2.7616,21.8522,105.861,g
4.3035,1.102,275.318,g
3.9172,8.116,292.406,g
3.3036,0.5904,256.992,g
2.9852,7.7247,215.397,g
3.5336,0.0974,275.661,g
2.1833,49.667,124.402,g
3.141,4.6137,234.693,g
2.6314,50.306,66.8509,g
2.4125,11.165,145.465,g
3.0934,4.5935,211.81,g
2.9671,1.101,232.422,g
2.29,60.3018,192.051,g
2.3064,77.1591,125.53,g
2.0233,46.2009,147.754,g
2.5484,53.0609,186.501,g
3.5089,1.9943,185.909,g
2.6575,26.551,180.612,g
3.0765,0.851,261.951,g
3.5375,0.187,291.357,g
2.6726,5.1398,298.695,g
2.4864,51.7326,154.356,g
2.6493,1.61,224.793,g
2.7782,3.7329,205.821,g
2.7344,4.7719,207.337,g
2.4487,16.5516,101.877,g
2.2577,18.4433,155.723,g
2.2529,81.3657,182.266,g
2.8503,32.497,175.653,g
3.5255,3.3954,288.411,g
3.8482,1.0326,299.341,g
3.344,4.605,222.931,g
2.5999,9.11,156.599,g
2.659,12.957,144.052,g
3.0328,4.542,198.21,g
2.8445,15.939,135.915,g
3.4501,2.797,292.242,g
3.0887,18.2702,215.104,g
2.829,22.856,157.278,g
2.9506,4.2502,246.468,g
2.3096,49.1001,41.8865,g
2.7846,0.805,181.453,g
3.1171,6.0893,194.539,g
2.5384,2.3935,88.3223,g
2.6415,17.2162,279.399,g
2.842,13.576,208.581,g
2.8331,6.411,167.022,g
2.85,9.8871,197.388,g
2.7608,41.8876,79.0109,g
2.8573,4.145,189.474,g
3.3456,5.5266,275.064,g
2.3355,11.5,102.645,g
3.1762,8.714,202.115,g
2.7384,27.6226,243.873,g
2.8603,5.0549,205.349,g
2.7608,1.3258,278.594,g
2.5244,4.9939,132.362,g
2.3064,38.836,121.099,g
2.2041,28.4635,142.266,g
2.567,29.6658,42.5905,g
2.7206,4.6448,154.078,g
2.4749,0.8814,197.488,g
2.902,27.2776,168.34,g
2.6201,4.1,140.794,g
3.6042,1.2024,218.214,g
2.6101,14.1441,109.703,g
2.451,14.4926,135.379,g
2.5982,0.6684,180.018,g
2.4864,40.4341,137.81,g
3.4281,2.053,274.182,g
2.9204,13.659,230.615,g
2.4265,47.858,136.634,g
2.3201,23.452,192.441,g
2.9172,7.1362,235.694,g
2.8048,11.287,214.847,g
2.2978,44.3431,84.6513,g
3.6901,3.2455,277.621,g
3.1664,9.4318,279.028,g
3.5569,14.2235,163.92,g
2.6493,61.5717,64.656,g
3.0097,5.0681,175.456,g
2.4997,12.4385,166.373,g
3.1952,0.385,279.691,g
3.6651,7.8961,173.964,g
2.2967,20.2043,144.856,g
2.8309,5.898,154.428,g
3.2693,0.466,230.68,g
2.4281,39.776,182.201,g
2.9474,5.49,250.65,g
2.42,36.448,166.491,g
3.1544,18.294,174.417,g
2.705,1.151,154.61,g
3.8319,3.804,191.968,g
2.5623,20.917,222.266,g
2.2068,22.874,217.377,g
2.3149,33.4353,47.4001,g
2.9602,9.5359,291.627,g
2.2504,13.9345,53.7111,g
2.873,1.6985,183.056,g
3.1857,8.662,144.334,g
2.1508,78.236,166.472,g
2.995,0.9353,212,g
2.2833,10.7186,65.7385,g
2.8132,34.2159,148.826,g
2.7574,16.2398,191.1,g
3.0414,0.6344,91.228,g
3.2367,1.57,243.295,g
2.7705,5.468,243.318,g
2.6217,5.521,177.361,g
3.7185,8.9721,380.447,g
2.8218,4.31,251.989,g
2.9206,2.0888,331.647,g
2.7948,2.016,245.886,g
2.4878,10.0413,184.231,g
2.73,3.9659,203.657,g
2.6794,18.65,77.5384,g
3.0348,8.9201,221.468,g
2.4631,22.464,72.0906,g
2.943,12.026,306.025,g
3.2496,3.121,229.768,g
2.3139,2.9483,171.724,g
3.1509,2.0401,258.257,g
2.444,57.86,197.527,g
2.4786,11.6155,164.253,g
2.5099,76.537,70.4519,g
2.7694,32.43,107.769,g
3.1356,3.2171,307.225,g
2.5159,21.5425,207.077,g
2.6405,16.37,193.038,g
3.0426,9.425,184.823,g
2.5514,77.9057,25.8173,g
3.0026,9.5687,204.406,g
2.2978,16.0875,72.183,g
2.7846,19.3827,175.413,g
3.3743,1.0945,297.823,g
3.1541,4.0106,186.285,g
2.6238,4.7267,178.594,g
2.4541,15.486,156.299,g
3.5567,2.72,149.034,g
2.2,25.9332,57.7791,g
3.6466,4.1261,287.023,g
2.2844,53.563,177.373,g
2.9978,9.317,163.27,g
3.1106,2.643,160.781,g
2.638,3.251,221.806,g
2.3979,8.6808,134.782,g
3.3195,0.9581,284.693,g
2.3086,88.1478,206.613,g
3.3906,1.652,315.013,g
2.4921,4.5268,175.637,g
2.8119,3.314,280.751,g
2.7694,22.1766,228.483,g
2.1717,14.6389,153.748,g
2.608,12.355,102.503,g
3.0654,8.8062,285.064,g
4.2653,1.727,286.572,g
2.8392,25.7863,91.159,g
2.841,2.425,195.544,g
2.6689,1.136,194.653,g
2.2529,1.451,163.677,g
2.8179,18.427,107.747,g
2.1732,1.4613,252.041,g
2.9654,2.217,318.393,g
2.7279,22.7149,171.405,g
2.3997,1.2785,175.448,g
2.081,85.7558,220.761,g
2.5563,25.8637,138.004,g
3.2243,17.858,161.09,g
3.2168,4.233,253.606,g
2.9383,6.035,275.673,g
3.5147,4.3296,296.273,g
3.0883,5.8754,188.7,g
2.4393,14.76,164.816,g
2.6294,29.3634,135.209,g
2.6123,14.669,25.5491,g
2.8035,3.4604,275.603,g
2.4409,8.625,161.304,g
2.2014,9.4508,183.756,g
3.0233,37.585,122.644,g
2.6075,5.0486,71.4573,g
2.9053,1.0274,175.253,g
2.827,32.615,141.254,g
3.2111,5.2124,279.661,g
2.5165,49.126,38.4126,g
2.7071,3.2582,236.534,g
2.2082,40.463,222.705,g
2.932,1.129,198.882,g
2.5527,52.2617,160.328,g
2.8176,19.681,105.747,g
2.7653,11.6,220.749,g
3.1921,2.661,373.445,g
2.9506,76.584,89.9856,g
3.2351,7.553,154.431,g
2.5244,5.741,292.578,g
2.9415,20.0424,85.6564,g
2.9937,13.678,166.774,g
2.4706,10.7423,165.406,g
3.7157,4.5107,267.256,g
3.1413,4.2924,283.529,g
2.2625,88.6483,167.322,g
2.6571,66.855,189.856,g
2.372,14.103,92.7215,g
2.4771,39.8253,75.9838,g
2.5024,7.61,190.449,g
2.3444,9.027,159.382,g
3.124,0.2853,220.157,g
2.0774,23.9321,108.52,g
2.9706,38.579,75.4929,g
2.679,2.018,166.014,g
2.5366,30.757,157.636,g
3.0821,3.7884,217.317,g
2.3139,27.662,234.09,g
2.1319,81.2793,136.507,g
2.5472,27.111,216.801,g
3.0424,9.826,221.72,g
3.5797,0.702,195.749,g
2.2613,82.2627,82.8534,g
2.8756,1.53,245.673,g
3.6405,0.1431,289.528,g
2.4298,14.45,121.874,g
3.1854,0.0549,234.989,g
3.1675,2.858,236.774,g
2.2833,60.3974,95.4172,g
3.1425,25.8692,169.83,g
3.5273,3.8848,321.626,g
2.995,5.3538,255.334,g
2.5916,6.8788,68.7253,g
2.8264,10.721,162.78,g
2.3385,24.6377,228.76,g
2.2041,7.597,81.0011,g
2.8762,6.9492,293.428,g
3.4083,2.21,260.791,g
2.3627,1.19,146.967,g
2.596,9.868,128.034,g
2.3434,68.708,207.648,g
2.8162,6.1626,79.0171,g
2.9626,18.458,158.451,g
3.5808,44.546,41.1766,g
3.0368,1.3614,283.871,g
3.2466,2.569,287.038,g
3.0986,34.586,130.508,g
3.2924,20.7695,106.629,g
2.8904,1.26,191.442,g
2.736,10.836,96.4366,g
2.7551,2.3779,241.67,g
2.73,1.702,135.178,g
3.3842,0.71,279.442,g
2.9151,14.6972,180.238,g
2.2695,8.229,125.329,g
2.7505,11.911,187.841,g
2.6985,33.261,176.34,g
2.3997,25.087,170.002,g
2.8785,13.5875,171.207,g
2.4216,26.2377,169.085,g
2.9798,1.8127,157.303,g
2.7731,11.288,254.812,g
2.1156,70.3187,189.839,g
