@relation magic

@attribute FConc1 numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
0.1448,13.2776,g
0.2497,9.868,g
0.1101,8.372,g
0.1487,45.867,g
0.1493,12.747,g
0.4381,40.691,g
0.2914,4.4326,g
0.3182,11.3761,g
0.3343,43.9124,g
0.1773,4.914,g
0.1186,0.345,g
0.3891,21.21,g
0.4737,7.8499,g
0.1911,59.3545,g
0.2112,49.0315,g
0.1013,2.701,g
0.1437,14.756,g
0.1135,2.9285,g
0.0765,1.735,g
0.0551,0.851,g
0.1027,1.135,g
0.4144,14.296,g
0.2478,8.976,g
0.2269,0.9529,g
0.1687,13.157,g
0.1264,1.2947,g
0.2176,12.715,g
0.1761,6.3243,g
0.2229,0.7669,g
0.2368,15.335,g
0.182,4.5251,g
0.1372,4.1303,g
0.1173,4.526,g
0.21,32.22,g
0.2486,29.836,g
0.2169,65.2853,g
0.2269,24.8586,g
0.1221,0.181,g
0.3808,8.8679,g
0.2106,46.4008,g
0.1964,82.8799,g
0.2274,4.833,g
0.2608,2.7033,g
0.0387,2.6087,g
0.0529,2.162,g
0.1624,8.869,g
0.1205,8.5516,g
0.1662,6.518,g
0.2396,22.208,g
0.1102,11.6548,g
0.4055,37.8225,g
0.1398,6.56,g
0.0979,0.42,g
0.1485,13.269,g
0.2791,32.3548,g
0.2079,62.781,g
0.3013,83.0753,g
0.2251,3.679,g
0.2321,88.9008,g
0.273,66.074,g
0.0476,1.352,g
0.257,0.653,g
0.1775,0.6251,g
0.2482,88.1478,g
0.2379,33.07,g
0.1975,5.421,g
0.237,3.465,g
0.3179,22.3356,g
0.3084,9.3139,g
0.1806,2.4982,g
0.238,29.859,g
0.1554,5.0177,g
0.1217,1.6086,g
0.1112,0.123,g
0.2869,14.852,g
0.2299,10.636,g
0.0998,0.864,g
0.2173,5.84,g
0.2133,10.277,g
0.1012,7.7011,g
0.1231,3.5686,g
0.1264,4.536,g
0.0926,74.6605,g
0.1261,5.6692,g
0.2619,2.916,g
0.1673,11.3154,g
0.3456,60.1701,g
0.5095,11.529,g
0.368,3.427,g
0.1213,0.961,g
0.1093,18.49,g
0.2723,12.3195,g
0.5549,54.7684,g
0.1169,2.1063,g
0.1027,3.446,g
0.2718,1.7384,g
0.2832,32.8778,g
0.1264,33.7832,g
0.0758,1.967,g
0.1659,86.932,g
0.1607,14.366,g
0.2854,9.183,g
0.2021,47.559,g
0.0781,1.916,g
0.35,38.85,g
0.3044,19.4135,g
0.1709,4.603,g
0.161,22.751,g
0.4151,69.1045,g
0.2612,10.6775,g
0.1888,18.5575,g
0.2448,8.48,g
0.1486,5.253,g
0.2427,12.615,g
0.1751,22.6709,g
0.1695,15.405,g
0.1884,8.426,g
0.0651,2.9261,g
0.3157,2.805,g
0.1437,7.734,g
0.293,11.283,g
0.4456,11.469,g
0.1165,1.9066,g
0.3552,9.027,g
0.0372,3.2,g
0.1502,13.5688,g
0.2413,3.8253,g
0.2993,13.1411,g
0.1502,1.0945,g
0.2603,10.5863,g
0.2297,56.0863,g
0.2013,15.4262,g
0.1296,5.212,g
0.1266,2.982,g
0.3839,56.8101,g
0.1644,10.0602,g
0.1338,1.0087,g
0.1509,73.19,g
0.1432,3.6339,g
0.151,6.884,g
0.3154,7.936,g
0.1536,3.375,g
0.1432,2.1067,g
0.0684,0.21,g
0.2298,14.5024,g
0.1546,15.967,g
0.2988,12.5519,g
0.1128,5.144,g
0.1621,20.5966,g
0.283,62.041,g
0.1819,3.821,g
0.2666,26.265,g
0.2591,23.387,g
0.1685,4.814,g
0.0836,1.219,g
0.1743,8.3993,g
0.0749,0.9381,g
0.1304,2.6322,g
0.1371,3.531,g
0.2985,17.0993,g
0.1488,4.294,g
0.0962,6.3019,g
0.1064,8.5086,g
0.4593,87.2895,g
0.2391,22.022,g
0.266,5.508,g
0.2605,21.088,g
0.0989,5.1038,g
0.2587,19.125,g
0.1614,5.851,g
0.3122,18.4433,g
0.1002,15.4434,g
0.087,25.219,g
0.2212,14.908,g
0.207,0.9214,g
0.3238,38.911,g
0.1028,7.025,g
0.1922,12.8676,g
0.3833,67.2339,g
0.1561,66.68,g
0.1474,3.5273,g
0.16,5.6137,g
0.1769,0.326,g
0.3466,21.283,g
0.2648,14.999,g
0.6045,5.787,g
0.0292,1.5862,g
0.4507,6.0909,g
0.2126,13.846,g
0.1584,66.1973,g
0.3818,44.74,g
0.2861,62.678,g
0.3056,0.583,g
0.0894,0.485,g
0.1395,0.5243,g
0.0799,9.308,g
0.1278,6.3952,g
0.2912,6.383,g
0.153,0.572,g
0.1555,17.977,g
0.2816,40.1475,g
0.0893,1.3687,g
0.2015,14.9018,g
0.1602,0.4547,g
0.2394,3.1267,g
0.1321,16.727,g
0.1605,2.2185,g
0.2994,63.084,g
0.1729,16.353,g
0.1302,0.464,g
0.187,17.3965,g
0.1471,82.3558,g
0.4035,41.3072,g
0.3154,5.8519,g
0.1508,7.8023,g
0.229,6.6877,g
0.2769,3.4462,g
0.1196,4.3,g
0.343,7.4192,g
0.2453,81.8671,g
0.0843,4.7858,g
0.2155,0.334,g
0.0636,1.0007,g
0.3469,60.148,g
0.2657,37.143,g
0.1111,3.2964,g
0.0952,1.103,g
0.3618,29.98,g
0.1384,1.323,g
0.1084,3.121,g
0.2278,25.7405,g
0.351,13.323,g
0.1306,18.6144,g
0.2156,37.511,g
0.1558,4.89,g
0.1165,17.108,g
0.3199,13.3733,g
0.1089,2.671,g
0.2739,20.7251,g
0.2041,63.492,g
0.0837,15.2695,g
0.0932,2.13,g
0.1812,13.341,g
0.2454,9.1753,g
0.1502,10.8862,g
0.29,4.738,g
0.2522,12.113,g
0.2252,10.3482,g
0.1701,2.4949,g
0.1309,6.282,g
0.1293,37.234,g
0.2175,66.851,g
0.2556,36.4389,g
0.34,4.8629,g
0.3585,26.733,g
0.1489,2.7747,g
0.3269,38.001,g
0.2774,12.596,g
0.136,1.6694,g
0.0988,1.863,g
0.1905,18.229,g
0.2122,11.4878,g
0.2891,20.189,g
0.1697,19.517,g
0.0834,0.853,g
0.2466,19.5224,g
0.2051,14.8675,g
0.1975,3.9228,g
0.3575,24.743,g
0.2819,37.3197,g
0.3558,85.103,g
0.3237,0.0865,g
0.4494,89.7033,g
0.1037,27.622,g
0.3196,15.7149,g
0.1162,1.781,g
0.216,30.035,g
0.1404,32.5233,g
0.3734,19.9398,g
0.2594,28.4635,g
0.2493,5.7357,g
0.2102,8.3369,g
0.1443,15.0473,g
0.2646,34.0607,g
0.0572,4.714,g
0.0636,41.9676,g
0.2968,3.343,g
0.1279,9.559,g
0.2724,16.3257,g
0.1547,2.2974,g
0.0533,2.297,g
0.2134,30.869,g
0.3738,28.704,g
0.1714,16.8909,g
0.1183,4.439,g
0.252,7.58,g
0.1157,6.228,g
0.1369,2.829,g
0.4191,37.3886,g
0.1796,62.3724,g
0.2237,43.687,g
0.1703,5.8093,g
0.217,7.968,g
0.145,2.6896,g
0.3249,57.0635,g
0.1915,57.543,g
0.1135,0.505,g
0.0611,1.8785,g
0.2057,3.465,g
0.1117,3.661,g
0.2747,29.742,g
0.1134,3.0993,g
0.3163,12.261,g
0.2274,9.6757,g
0.1576,16.037,g
0.3589,54.347,g
0.1376,10.0478,g
0.1399,0.7239,g
0.1467,9.1405,g
0.1278,2.2045,g
0.2583,51.324,g
0.2306,21.2603,g
0.4515,8.734,g
0.2382,12.463,g
0.025,5.487,g
0.4578,2.783,g
0.1487,2.1358,g
0.2937,14.3483,g
0.1883,14.2272,g
0.1274,14.3121,g
0.3774,20.3136,g
0.1047,1.993,g
0.3296,8.8466,g
0.3263,2.303,g
0.0525,1.3794,g
0.0877,1.763,g
0.2251,4.3446,g
0.1629,8.3289,g
0.1065,55.6702,g
0.1619,23.7956,g
0.358,13.127,g
0.2984,39.732,g
0.3898,80.3533,g
0.1107,47.73,g
0.1362,4.712,g
0.2029,5.2437,g
0.1299,4.088,g
0.1699,15.813,g
0.2594,26.6481,g
0.1178,1.0378,g
0.0662,2.062,g
0.1541,0.125,g
0.2982,11.8733,g
0.1651,0.7701,g
0.1871,3.444,g
0.2759,21.322,g
0.2183,2.5841,g
0.0848,3.8333,g
0.464,61.0007,g
0.1726,4.2953,g
0.0979,7.0799,g
0.2116,15.753,g
0.1314,1.1326,g
0.2262,35.5052,g
0.1252,18.4008,g
0.2231,43.535,g
0.2354,54.584,g
0.3524,40.0066,g
0.1067,0.0608,g
0.4647,43.7141,g
0.2651,6.279,g
0.1475,72.4556,g
0.2752,34.849,g
0.167,2.499,g
0.1277,0.7867,g
0.2724,30.7241,g
0.0762,3.972,g
0.1341,15.7293,g
0.3612,8.2259,g
0.0953,0.4481,g
0.2259,17.8557,g
0.1355,4.4105,g
0.1037,6.2315,g
0.2775,24.632,g
0.1122,8.0926,g
0.1472,10.463,g
0.2314,31.7237,g
0.1454,2.4725,g
0.1235,7.8797,g
0.1362,6.348,g
0.2213,4.549,g
0.4071,58.644,g
0.0693,6.046,g
0.1759,8.419,g
0.1125,2.6107,g
0.2697,3.0331,g
0.2458,31.2984,g
0.176,25.544,g
0.0961,6.845,g
0.1291,5.392,g
0.0931,2.695,g
0.452,75.3948,g
0.2519,17.512,g
0.3446,2.541,g
0.1418,2.8883,g
0.0781,7.4474,g
0.0892,1.714,g
0.368,27.0422,g
0.2311,9.987,g
0.2372,10.524,g
0.2843,7.3544,g
0.3841,20.588,g
0.1504,26.9893,g
0.2183,14.4244,g
0.3219,46.2304,g
0.1401,3.3315,g
0.2582,5.3907,g
0.2134,9.9904,g
0.1798,23.5652,g
0.1948,23.9718,g
0.1422,9.2874,g
0.2461,37.199,g
0.1367,8.8913,g
0.3582,7.916,g
0.131,1.776,g
0.0787,4.841,g
0.3136,7.576,g
0.2435,3.226,g
0.1886,5.219,g
0.1882,19.937,g
0.369,0.9932,g
0.3714,70.514,g
0.3979,57.56,g
0.0994,16.119,g
0.0986,6.8425,g
0.3831,12.415,g
0.4426,55.95,g
0.1382,15.5424,g
0.2124,11.754,g
0.179,14.8817,g
0.1281,10.1466,g
0.2228,11.053,g
0.2358,4.6888,g
0.1407,1.8504,g
0.111,4.591,g
0.2165,4.803,g
0.4033,19.965,g
0.1487,2.011,g
0.2639,4.087,g
0.2735,52.3737,g
0.2352,78.2299,g
0.1351,7.323,g
0.1755,17.5637,g
0.1116,0.839,g
0.1643,31.877,g
0.3342,15.631,g
0.1677,3.7613,g
0.1106,9.8874,g
0.1088,3.3763,g
0.067,5.3512,g
0.1394,5.1931,g
0.169,1.805,g
0.0848,5.1684,g
0.2713,26.9872,g
0.1083,12.3377,g
0.41,77.476,g
0.1976,10.943,g
0.1458,7.4375,g
0.1502,19.049,g
0.2975,2.0464,g
0.0902,0.459,g
0.1484,11.418,g
0.1456,7.1144,g
0.513,77.978,g
0.3035,9.228,g
0.1518,4.151,g
0.3837,10.2785,g
0.3819,9.8612,g
0.4269,15.822,g
0.2948,9.6072,g
0.3755,46.8416,g
0.1136,3.7874,g
0.1463,8.0679,g
0.1656,7.6688,g
0.2163,3.458,g
0.2509,29.349,g
0.1701,9.498,g
0.2841,5.2825,g
0.0748,10.8854,g
0.1533,2.8951,g
0.1304,35.2665,g
0.2426,31.39,g
0.1784,0.5949,g
0.2957,69.122,g
0.1173,0.8713,g
0.124,16.234,g
0.1366,2.4723,g
0.2384,33.041,g
0.1496,34.2372,g
0.2249,9.374,g
0.2325,22.259,g
0.1573,0.192,g
0.4052,69.4052,g
0.0907,14.193,g
0.4576,47.4858,g
0.2772,0.6666,g
0.3065,10.9993,g
0.1554,11.6079,g
0.1408,15.1333,g
0.2105,46.8127,g
0.0745,4.8245,g
0.1749,17.599,g
0.2643,19.01,g
0.1979,10.619,g
0.122,1.5496,g
0.3646,0.0546,g
0.2403,22.822,g
0.215,11.2393,g
0.1175,0.261,g
0.1247,2.249,g
0.1814,5.0681,g
0.1487,4.4378,g
0.2046,15.3354,g
0.1867,25.98,g
0.2848,2.9967,g
0.143,7.132,g
0.1552,8.966,g
0.3408,17.8368,g
0.1175,1.194,g
0.5726,83.93,g
0.1378,6.2748,g
0.3705,68.4478,g
0.1189,8.2623,g
0.207,84.4922,g
0.2594,17.0032,g
0.269,22.9883,g
0.2011,11.2109,g
0.1578,11.0947,g
0.257,4.591,g
0.1265,3.357,g
0.2494,4.195,g
0.2432,0.204,g
0.391,24.368,g
0.0653,6.1414,g
0.1395,76.584,g
0.163,37.1267,g
0.3903,37.168,g
0.2724,5.3844,g
0.2348,16.8825,g
0.1256,3.2717,g
0.186,9.4668,g
0.2939,14.948,g
0.1819,4.735,g
0.4192,23.7678,g
0.3731,18.463,g
0.0643,1.977,g
0.1156,30.76,g
0.2804,12.393,g
0.1359,9.997,g
0.216,19.1106,g
0.0968,4.122,g
0.1732,3.491,g
0.0974,1.087,g
0.3848,0.1406,g
0.1653,4.405,g
0.0996,3.4614,g
0.2743,9.0374,g
0.2921,1.394,g
0.0752,29.8807,g
0.2703,3.7148,g
0.4108,17.627,g
0.1606,1.9107,g
0.2391,5.18,g
0.3646,8.459,g
0.0957,16.484,g
0.1711,27.3043,g
0.1784,7.335,g
0.4399,6.052,g
0.3561,87.7875,g
0.3927,82.6073,g
0.1247,0.912,g
0.1352,0.6007,g
0.5729,18.9207,g
0.1176,2.2766,g
0.3006,21.638,g
0.1241,0.524,g
0.2123,11.7643,g
0.3103,28.938,g
0.3347,34.2142,g
0.3005,60.5491,g
0.2467,57.6127,g
0.2848,5.4587,g
0.1806,4.4265,g
0.1709,0.625,g
0.0789,5.1478,g
0.264,3.5942,g
0.2948,63.099,g
0.2824,13.17,g
0.1408,9.8372,g
0.2088,10.3529,g
0.3838,62.4135,g
0.2389,2.5729,g
0.2197,34.5962,g
0.2962,36.5127,g
0.1838,0.1076,g
0.2442,21.912,g
0.3104,6.8985,g
0.194,5.485,g
0.0809,7.378,g
0.3969,7.597,g
0.1662,2.572,g
0.1934,6.6866,g
0.1499,5.353,g
0.2181,8.2426,g
0.4361,8.855,g
0.3139,74.383,g
0.2161,14.572,g
0.0611,0.7571,g
0.2284,1.9738,g
0.3262,19.2365,g
0.0893,7.409,g
0.2639,14.634,g
0.274,10.826,g
0.3483,75.415,g
0.2233,11.9419,g
0.1699,15.8311,g
0.1817,0.549,g
0.3517,46.146,g
0.4479,50.922,g
0.1611,3.8476,g
0.2927,1.7076,g
0.1087,15.657,g
0.4068,19.2595,g
0.1125,4.6306,g
0.1834,0.596,g
0.0884,3.3473,g
0.1482,38.579,g
0.2494,5.0804,g
0.1057,1.141,g
0.1691,4.611,g
0.4032,12.706,g
0.127,13.6718,g
0.0913,1.1373,g
0.1947,4.3624,g
0.2898,82.0634,g
0.15,9.8863,g
0.1062,2.0557,g
0.4085,43.565,g
0.2185,5.1143,g
0.2043,21.0153,g
0.0187,76.96,g
0.1515,21.1876,g
0.3646,25.643,g
0.2247,21.3396,g
0.2475,31.8921,g
0.1344,10.176,g
0.43,3.2309,g
0.2506,23.33,g
0.223,3.9914,g
0.1494,6.929,g
0.115,2.5025,g
0.3642,65.013,g
0.1014,1.3003,g
0.1044,0.001,g
0.0921,1.498,g
0.2115,83.6202,g
0.3763,26.948,g
0.3133,17.768,g
0.0972,2.979,g
0.25,5.932,g
0.1832,4.648,g
0.2573,7.8407,g
0.2821,83.0585,g
0.1731,5.928,g
0.1989,9.9482,g
0.2238,47.735,g
0.3191,79.2185,g
0.4136,0.8576,g
0.1625,1.708,g
0.2553,44.127,g
0.1176,0.187,g
0.3608,0.018,g
0.3415,23.725,g
0.2805,77.795,g
0.1102,5.3057,g
0.4372,88.0912,g
0.1029,1.454,g
0.4199,7.7242,g
0.3266,16.962,g
0.3784,80.0642,g
0.1699,13.9329,g
0.4136,4.5898,g
0.0823,0.087,g
0.1475,3.413,g
0.3278,8.167,g
0.2622,70.3212,g
0.2328,8.1796,g
0.1967,5.1606,g
0.3824,54.997,g
0.1644,25.7863,g
0.3985,40.354,g
0.1202,29.392,g
0.1362,0.139,g
0.3055,59.013,g
0.3778,37.228,g
0.4575,8.897,g
0.3664,0.9486,g
0.2301,7.9947,g
0.1082,9.601,g
0.2943,15.0673,g
0.3773,24.114,g
0.1418,3.8848,g
0.1469,10.124,g
0.197,0.5462,g
0.1988,16.855,g
0.3568,53.159,g
0.3954,63.8216,g
0.2134,9.1884,g
0.1341,24.24,g
0.2313,3.915,g
0.2574,13.854,g
0.1066,8.031,g
0.1679,0.804,g
0.1178,0.106,g
0.097,1.277,g
0.1065,10.7248,g
0.2149,18.5084,g
0.0846,1.397,g
0.2748,13.759,g
0.3587,39.702,g
0.0799,4.6221,g
0.1736,0.26,g
0.09,2.5791,g
0.1237,1.7181,g
0.0961,3.584,g
0.2053,4.75,g
0.4982,81.9378,g
0.2154,0.394,g
0.3174,9.092,g
0.2477,17.585,g
0.3285,25.219,g
0.1797,1.3785,g
0.0806,2.759,g
0.1744,58.555,g
0.1262,1.8163,g
0.2466,12.7952,g
0.1279,60.7186,g
0.1346,13.3421,g
0.266,10.2651,g
0.1525,5.703,g
0.2798,24.686,g
0.3505,51.3098,g
0.268,31.0402,g
0.2059,16.2131,g
0.4007,51.816,g
0.115,5.079,g
0.1226,8.443,g
0.1831,1.7171,g
0.1052,2.605,g
0.2568,72.624,g
0.1167,22.7226,g
0.2362,4.972,g
0.1292,1.3872,g
0.2199,85.0171,g
0.2516,29.7652,g
0.3836,5.584,g
0.0927,13.4803,g
0.0885,1.272,g
0.2417,21.675,g
0.3624,65.6668,g
0.1118,5.7258,g
0.0874,3.2132,g
0.1169,5.092,g
0.1844,13.666,g
0.1883,9.474,g
0.2654,28.0868,g
0.1786,0.2426,g
0.0808,3.4898,g
0.0511,0.68,g
0.4593,4.157,g
0.1942,9.9947,g
0.1757,25.139,g
0.136,2.3684,g
0.176,14.317,g
0.31,8.6808,g
0.0852,2.211,g
0.2575,15.8492,g
0.099,4.985,g
0.4704,42.2408,g
0.2403,24.564,g
0.1403,10.1619,g
0.4667,3.5444,g
0.2849,40.824,g
0.257,2.001,g
0.3043,14.006,g
0.1987,62.848,g
0.2004,23.2283,g
0.4917,25.938,g
0.2635,33.5063,g
0.0764,9.6984,g
0.0904,7.926,g
0.1994,2.1841,g
0.2571,11.2053,g
0.1286,0.0753,g
0.286,6.83,g
0.3482,24.1697,g
0.2416,0.9075,g
0.1925,5.1674,g
0.3579,71.5879,g
0.1128,0.796,g
0.0509,18.0251,g
0.1792,3.783,g
0.1384,2.871,g
0.2046,1.9337,g
0.1432,67.903,g
0.1429,14.054,g
0.0986,4.6353,g
0.1559,9.569,g
0.1218,1.705,g
0.2659,31.4724,g
0.1123,8.582,g
0.2626,81.7696,g
0.1573,20.1401,g
0.0704,1.3581,g
0.1018,4.76,g
0.2393,23.479,g
0.4634,58.852,g
0.1452,21.303,g
0.0961,5.256,g
0.0966,0.2853,g
0.1746,2.5393,g
0.1855,0.0103,g
0.1737,18.962,g
0.1347,1.0271,g
0.1848,23.9541,g
0.3137,2.442,g
0.198,0.2053,g
0.31,34.0559,g
0.2583,6.1324,g
0.2698,7.3429,g
0.5786,18.4308,g
0.1356,2.929,g
0.1839,11.545,g
0.0546,17.081,g
0.1061,16.0801,g
0.1823,4.376,g
0.1003,2.94,g
0.0571,0.256,g
0.0802,5.0421,g
0.0892,38.027,g
0.1188,5.8695,g
0.156,10.197,g
0.3386,49.2708,g
0.3082,71.9926,g
0.4726,17.278,g
0.2914,25.764,g
0.4584,9.894,g
0.2284,19.182,g
0.0934,7.437,g
0.3787,9.438,g
0.1859,2.4817,g
0.0802,5.0598,g
0.3927,35.694,g
0.0806,1.7861,g
0.3069,3.253,g
0.3709,23.962,g
0.2047,23.914,g
0.4224,42.146,g
0.2021,26.0542,g
0.2821,15.2553,g
0.1208,0.5673,g
0.3976,8.363,g
0.1206,2.3504,g
0.2328,8.0786,g
0.3275,25.519,g
0.1546,17.3452,g
0.2385,22.48,g
0.2076,6.47,g
0.236,62.9998,g
0.3855,56.5349,g
0.4264,58.903,g
0.1585,5.4954,g
0.138,9.216,g
0.1719,6.891,g
0.4003,42.293,g
0.2273,11.114,g
0.3308,10.3057,g
0.1919,21.5187,g
0.1872,2.3779,g
0.0904,0.5058,g
0.4734,48.129,g
0.1839,0.084,g
0.12,1.9962,g
0.1483,9.4318,g
0.1498,4.0389,g
0.3223,11.03,g
0.4297,38.5188,g
0.2946,7.9881,g
0.275,8.709,g
0.1475,9.4008,g
0.3506,34.1556,g
0.1782,9.969,g
0.4198,13.689,g
0.1913,1.475,g
0.1275,2.877,g
0.1414,0.811,g
0.4568,45.0122,g
0.1005,3.555,g
0.2597,44.3225,g
0.1372,8.4993,g
0.0899,3.363,g
0.1448,7.9705,g
0.1719,10.213,g
0.1191,4.526,g
0.0814,4.909,g
0.1479,41.605,g
0.074,8.116,g
0.0511,1.542,g
0.4079,49.5995,g
0.4205,45.726,g
0.232,3.637,g
0.0546,1.7696,g
0.2596,60.023,g
0.2737,0.534,g
0.3624,0.9086,g
0.1673,4.9345,g
0.1127,8.8499,g
0.3016,68.708,g
0.1152,8.654,g
0.1019,0.914,g
0.3173,32.3326,g
0.242,52.269,g
0.2794,42.063,g
0.1096,5.272,g
0.2289,19.1785,g
0.2221,35.37,g
0.1842,0.4014,g
0.212,16.2105,g
0.2886,50.002,g
0.1577,0.368,g
0.1433,17.547,g
0.3447,14.9484,g
0.5344,33.97,g
0.3979,23.469,g
0.3592,45.626,g
0.2676,17.652,g
0.2246,9.37,g
0.2332,30.192,g
0.1303,1.4357,g
0.1187,2.477,g
0.3145,5.941,g
0.1196,4.5512,g
0.067,0.938,g
0.2523,60.5264,g
0.2338,4.4274,g
0.3615,7.346,g
0.2593,11.047,g
0.1572,1.703,g
0.2014,1.924,g
0.1845,8.4671,g
0.0828,13.3384,g
0.2579,34.9402,g
0.4448,62.5119,g
0.1102,10.5595,g
0.1587,3.97,g
0.1878,60.3897,g
0.5505,26.7597,g
0.1151,14.353,g
0.1503,8.644,g
0.0418,2.9283,g
0.1404,8.262,g
0.242,14.77,g
0.304,44.1008,g
0.1406,5.359,g
0.087,3.902,g
0.1922,12.8359,g
0.1621,5.874,g
0.2862,9.4508,g
0.4276,68.7907,g
0.3683,8.229,g
0.1704,5.6933,g
0.2379,55.5722,g
0.2458,35.9838,g
0.382,61.5575,g
0.2267,86.0321,g
0.1142,9.5042,g
0.164,0.595,g
0.0678,11.0144,g
0.268,0.3841,g
0.2519,37.555,g
0.3695,5.88,g
0.146,10.1763,g
0.1004,2.9623,g
0.4249,24.9416,g
0.2834,19.429,g
0.3455,17.5411,g
0.1901,63.146,g
0.1735,5.648,g
0.205,43.914,g
0.1322,7.167,g
0.2951,2,g
0.15,1.7962,g
0.0647,2.6602,g
0.1319,0.817,g
0.1822,22.241,g
0.1441,18.694,g
0.0897,1.666,g
0.0707,4.9835,g
0.2476,28.0357,g
0.1261,9.3331,g
0.2942,72.118,g
0.1201,3.8175,g
0.2536,11.7582,g
0.0863,6.9368,g
0.3503,11.4165,g
0.1809,3.101,g
0.2758,22.926,g
0.1043,25.577,g
0.1856,1.819,g
0.219,48.7767,g
0.2051,64.1446,g
0.1665,13.183,g
0.1766,0.881,g
0.1876,2.335,g
0.1185,5.4913,g
0.2946,2.1861,g
0.4104,3.7149,g
0.3182,5.4667,g
0.1534,2.9976,g
0.1199,1.66,g
0.1704,4.2561,g
0.4839,71.8363,g
0.1914,6.673,g
0.255,53.3396,g
0.1097,0.314,g
0.093,10.1168,g
0.4036,42.589,g
0.2723,31.293,g
0.3278,65.7296,g
0.2685,1.683,g
0.1555,0.195,g
0.1702,11.6197,g
0.4393,63.742,g
0.2105,73.0349,g
0.3439,7.1941,g
0.1307,22.163,g
0.1971,28.4117,g
0.1536,4.218,g
0.3242,16.1307,g
0.1225,7.521,g
0.0692,20.674,g
