@relation magic

@attribute FSize numeric
@attribute FConc1 numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
2.5849,0.212,19.0003,16.2105,g
3.4728,0.1072,28.2392,5.0315,g
2.8228,0.1406,32.1168,5.359,g
3.1171,0.0783,79.9185,6.0893,g
2.8837,0.2059,-13.4913,6.11,g
2.4997,0.3149,21.1498,3.7736,g
2.8218,0.1816,38.7838,4.31,g
2.3945,0.2359,9.9438,71.972,g
2.316,0.3551,16.9989,5.225,g
2.525,0.2134,-16.2494,30.869,g
2.2844,0.5532,-5.1216,29.5538,g
2.4698,0.2322,20.3291,24.9379,g
2.2577,0.3343,16.9632,3.8562,g
2.7868,0.2018,43.4701,17.765,g
2.7308,0.2872,12.8161,51.214,g
3.2003,0.0823,15.3449,6.7129,g
2.5563,0.1625,14.6437,32.534,g
2.3502,0.3192,9.1392,27.1728,g
3.4681,0.0577,74.4771,2.474,g
2.5664,0.2809,22.8593,20.694,g
2.9609,0.122,21.5971,6.5852,g
2.6571,0.2015,26.0942,32.9639,g
2.8756,0.2017,-29.7974,6.2878,g
2.3263,0.4693,-20.9364,6.076,g
2.8873,0.1458,67.4394,36.8773,g
2.4771,0.3017,-12.5044,24.0856,g
3.0976,0.1562,39.446,26.7377,g
3.2258,0.0853,35.9682,2.1269,g
2.2355,0.3692,14.1908,65.6716,g
2.617,0.221,8.0585,1.6899,g
2.5145,0.2187,-9.48,1.9194,g
2.5447,0.4322,17.9128,16.6298,g
2.1538,0.4035,2.4479,41.3072,g
2.7771,0.1429,20.2691,74.6315,g
2.8041,0.1609,20.2096,13.0774,g
2.8817,0.1845,40.2793,3.888,g
2.6289,0.2902,27.794,6.484,g
2.8724,0.1764,27.479,2.089,g
2.4735,0.1832,-19.5041,46.617,g
2.4393,0.2782,16.0578,32.744,g
2.3424,0.3477,19.9229,10.9249,g
3.8589,0.0745,84.1881,1.445,g
2.6753,0.1954,27.0678,12.4981,g
2.2589,0.2231,23.3259,22.4698,g
2.5315,0.275,19.0918,2.559,g
2.2788,0.45,-15.2036,16.244,g
3.0441,0.2163,37.6472,8.201,g
2.7447,0.2277,22.0389,1.5067,g
2.4099,0.2082,-19.1434,64.547,g
2.8404,0.1321,16.2811,16.727,g
2.1351,0.37,-6.3158,11.412,g
2.2393,0.3429,0,0.0002,g
3.3498,0.1187,57.4163,2.477,g
2.9248,0.1302,-15.2806,4.324,g
2.7938,0.1857,-30.1669,13.0951,g
3.005,0.127,-23.4832,3.017,g
2.6656,0.2041,9.5162,63.492,g
3.5688,0.1143,28.0145,3.214,g
3.9986,0.0684,65.0133,0.21,g
2.8241,0.1837,8.5341,30.5133,g
2.9678,0.1513,8.1298,24.825,g
2.5804,0.2116,-15.0055,15.753,g
3.1475,0.1121,48.5582,0.139,g
3.3903,0.1586,-44.7532,1.985,g
2.7308,0.1422,12.507,9.2874,g
2.9559,0.1444,-30.38,7.302,g
2.4976,0.2655,14.3834,6.24,g
2.7007,0.1863,25.7461,11.9391,g
3.2583,0.2232,-47.649,2.405,g
3.0109,0.2072,18.6614,14.577,g
2.2765,0.2937,19.1731,24.791,g
2.6924,0.1898,23.7937,7.444,g
2.4433,0.3874,18.4043,17.8472,g
2.3118,0.3341,9.426,9.4872,g
3.6494,0.0725,63.3321,1.7505,g
2.1931,0.2788,-18.427,19.3207,g
2.7497,0.1468,27.0844,35.279,g
2.9647,0.1719,25.8841,6.891,g
2.4548,0.2614,13.3947,22.365,g
2.3064,0.2395,-17.504,74.477,g
3.3264,0.1323,44.2203,1.203,g
2.248,0.3249,-9.5585,57.0635,g
3.5739,0.1058,68.1213,0.837,g
2.9196,0.1053,43.7929,5.401,g
2.9509,0.1383,74.1245,6.4844,g
2.2553,0.3639,-7.8253,12.4336,g
2.2765,0.3466,18.9287,21.283,g
2.4108,0.2893,-15.7221,1.068,g
3.1559,0.1316,90.2055,1.821,g
2.7189,0.148,17.6725,81.4656,g
2.3464,0.286,-7.6545,6.221,g
3.3144,0.1142,58.346,8.7949,g
2.2718,0.3289,-7.66,43.3661,g
3.7361,0.077,63.4861,1.932,g
3.0797,0.1411,55.0638,4.8939,g
2.5231,0.2024,16.0998,37.374,g
2.7251,0.3343,27.3951,17.1453,g
2.0881,0.4122,-13.2078,75.842,g
2.6758,0.2943,12.5653,15.0673,g
2.5211,0.1883,-17.7381,32.28,g
2.3729,0.3242,18.5697,44.263,g
2.9845,0.1073,-44.3815,6.6543,g
3.0552,0.1458,-10.0415,19.309,g
2.1917,0.4469,-5.6023,80.7484,g
2.055,0.348,-5.2793,5.554,g
2.9101,0.1125,13.4506,4.6306,g
3.3055,0.2502,44.4458,2.001,g
2.4807,0.1769,37.9526,2.5147,g
2.8555,0.1332,-30.8421,10.179,g
2.7156,0.2166,-17.834,77.2884,g
2.4997,0.2358,10.8038,36.551,g
2.7642,0.1609,-14.8471,17.3124,g
2.4175,0.2925,-10.4111,51.793,g
2.4807,0.2661,-11.5792,3.4241,g
2.4257,0.2608,21.7968,26.604,g
2.601,0.2168,25.4457,33.437,g
2.7235,0.2013,19.633,15.4262,g
2.1222,0.4792,9.6718,0.0002,g
2.29,0.3154,19.3063,38.681,g
2.5971,0.2617,10.5829,50.0777,g
2.842,0.1835,26.7905,18.895,g
2.5045,0.2645,21.976,1.668,g
3.1494,0.14,27.3696,11.295,g
2.8319,0.1289,23.4221,18.661,g
2.8354,0.1833,-5.1581,6.6169,g
3.5027,0.0866,35.69,5.325,g
3.031,0.1206,-13.1639,14.976,g
2.4616,0.2228,28.2809,13.4021,g
3.0204,0.1665,-73.3775,0.181,g
2.4091,0.3957,7.6219,13.872,g
2.2304,0.3265,17.3249,74.454,g
2.3829,0.3251,20.4444,28.8208,g
3.3556,0.1351,62.9897,4.935,g
2.356,0.3194,7.2556,49.5821,g
2.2393,0.4928,-8.0944,86.0119,g
2.1156,0.3793,10.8325,33.3381,g
3.2111,0.1694,73.3955,1.878,g
2.7037,0.2443,19.2392,69.3668,g
3.5667,0.0902,71.504,4.763,g
2.2856,0.3705,-15.8841,2.323,g
2.3936,0.3374,-11.6511,25.011,g
2.9332,0.1359,18.1677,5.772,g
2.8913,0.1137,22.1893,13.962,g
2.7324,0.2213,21.6732,16.7134,g
2.73,0.1927,23.2323,1.702,g
3.513,0.0714,132.099,6.204,g
3.2443,0.1256,40.0464,3.2717,g
2.2601,0.4313,20.2944,5.205,g
2.6484,0.2124,-20.3102,38.236,g
2.2878,0.3479,-18.9212,41.763,g
2.7016,0.2594,18.6738,26.6481,g
3.3268,0.0662,60.2754,1.7119,g
3.2693,0.1041,35.1619,0.466,g
2.2553,0.275,10.0746,55.708,g
2.3253,0.3097,-14.5591,4.575,g
2.4586,0.2348,-69.7393,3.625,g
3.0953,0.1867,-11.8352,82.6024,g
2.2718,0.3182,-4.6367,48.699,g
2.6604,0.2022,-28.1013,6.987,g
2.8146,0.2582,12.9714,3.18,g
2.9201,0.271,-32.7912,5.6934,g
3.8212,0.0863,76.7612,3.3807,g
3.4214,0.0885,60.6116,14.594,g
2.9385,0.11,-32.53,3.0261,g
2.3936,0.2606,17.1788,55.952,g
2.6585,0.1767,38.3681,0.8496,g
2.0846,0.3416,0,17.9481,g
3.3685,0.1226,80.0694,10.3828,g
2.4907,0.2375,11.7552,9.632,g
3.5358,0.0837,71.6665,15.2695,g
2.8021,0.1617,30.2373,2.6994,g
2.6898,0.2114,-50.0464,15.485,g
2.2999,0.2632,-16.4967,59.2812,g
2.4893,0.2058,21.3682,27.67,g
3.2738,0.1472,18.8844,72.4438,g
2.7701,0.1604,-22.6911,15.9453,g
2.7447,0.2691,71.1985,0.8956,g
2.4893,0.1961,-64.5557,8.72,g
3.1652,0.1576,27.9785,2.619,g
3.2916,0.0743,-17.6163,9.668,g
2.2589,0.4601,-6.6805,32.816,g
2.7931,0.2134,22.0373,44.012,g
2.3551,0.245,10.2103,40.5939,g
4.1179,0.0375,-52.0873,3.5362,g
2.5099,0.2334,-12.7121,3.651,g
2.8531,0.176,14.9151,14.317,g
2.7131,0.1752,12.8168,26.8293,g
3.2905,0.0684,-23.3843,65.912,g
2.5993,0.2,-21.8471,10.6245,g
2.3775,0.3375,28.819,1.5978,g
3.5431,0.1015,65.6409,0.646,g
2.3627,0.3883,25.7268,36.929,g
3.3872,0.0986,60.9973,4.6353,g
2.6721,0.2628,14.5202,0.964,g
2.6439,0.1873,8.3358,10.742,g
2.841,0.292,55.0076,20.2025,g
2.372,0.2484,17.5911,57.769,g
2.7135,0.2408,-26.8414,17.9519,g
2.5982,0.2081,-27.5463,7.7364,g
3.4853,0.1369,44.7523,2.829,g
2.638,0.2198,-13.8416,6.139,g
3.9546,0.0623,76.4535,3.0657,g
2.5658,0.1861,23.9472,1.3937,g
3.4226,0.0618,74.4612,8.824,g
3.9472,0.0677,74.0012,1.92,g
2.4023,0.2911,-14.0198,15.634,g
3.3742,0.097,63.1791,0.916,g
2.7197,0.1287,31.345,64.5625,g
3.5986,0.0971,43.4377,1.9807,g
3.0445,0.1015,-19.8689,8.4572,g
3.6211,0.1222,-65.0604,0.1081,g
2.3775,0.3082,-5.8835,71.9926,g
2.8473,0.1741,-14.5268,9.2908,g
4.4168,0.0242,85.6497,1.971,g
2.6449,0.2344,-20.6637,86.9663,g
2.7462,0.1677,30.441,2.1511,g
3.63,0.1019,65.881,9.612,g
2.4224,0.2325,17.7841,3.7849,g
2.525,0.3,18.0763,47.5368,g
2.9214,0.1073,41.2793,21.2299,g
3.5835,0.0841,54.2326,0.1225,g
3.5099,0.0923,75.361,1.9954,g
3.7263,0.0921,53.0591,0.401,g
3.6819,0.1045,20.0881,1.806,g
2.6498,0.2296,14.6061,1.6861,g
2.8603,0.1731,92.0575,5.0549,g
3.2527,0.0835,61.0861,53.831,g
2.7222,0.1791,21.5596,30.0135,g
2.2999,0.4887,-3.2605,84.3683,g
3.134,0.0856,-25.4792,1.412,g
2.7271,0.3008,18.8399,5.2729,g
3.3154,0.1129,29.3569,5.7268,g
3.2221,0.1838,-20.262,0.1076,g
2.6522,0.1793,-15.3203,27.835,g
2.2945,0.297,-18.3841,37.6063,g
3.2505,0.1076,62.9503,7.3766,g
2.9511,0.1505,-19.6534,20.518,g
2.1367,0.2591,5.0747,9.3626,g
2.4843,0.3066,23.7883,14.572,g
2.8639,0.1512,27.9478,7.7662,g
3.3118,0.1256,18.594,1.746,g
2.3181,0.3005,-16.329,60.5491,g
2.541,0.2201,-26.1547,8.6201,g
3.3118,0.1046,100.172,4.901,g
2.4322,0.2791,9.7066,4.327,g
3.3732,0.0773,62.753,0.145,g
3.0035,0.0997,98.4828,88.582,g
2.6474,0.1746,39.8779,9.8067,g
4.1987,0.0429,95.0725,53.79,g
2.7376,0.226,-22.6773,9.8315,g
2.2765,0.3201,8.1116,52.3308,g
2.5296,0.2201,-31.2304,0.2316,g
2.8672,0.1093,30.9121,18.49,g
2.7451,0.1844,-54.7983,10.81,g
2.3945,0.3165,-17.1314,14.135,g
2.6238,0.2438,-21.3204,30.8412,g
2.4646,0.2487,26.9885,48.71,g
2.5933,0.2462,16.3819,34.356,g
2.4914,0.3242,-15.3943,16.1307,g
2.1414,0.4007,12.4248,88.8729,g
2.8558,0.1735,-31.9813,2.2496,g
3.4624,0.0905,48.8606,1.646,g
2.1055,0.3804,-11.0435,24.434,g
2.2648,0.3288,7.8228,16.9354,g
2.6977,0.1595,9.5358,24.302,g
2.3883,0.272,-18.0362,39.924,g
2.9167,0.1763,-37.97,34.3207,g
2.3811,0.2723,18.9078,12.969,g
2.9516,0.1224,16.5774,4.8668,g
2.9571,0.1396,62.1973,7.795,g
2.4166,0.228,-21.9132,2.941,g
2.9722,0.1434,-18.645,8.648,g
2.6915,0.2126,9.3091,84.0609,g
2.3304,0.4042,15.4677,51.3957,g
2.899,0.1281,-15.6455,0.441,g
2.4417,0.2984,-8.8626,39.732,g
3.1989,0.1382,66.8555,15.5424,g
2.3304,0.3061,19.4341,74.4019,g
2.3738,0.2474,5.5234,7.195,g
2.9266,0.1356,-25.2515,6.738,g
2.4771,0.305,11.5066,20.868,g
2.6444,0.1281,38.435,7.617,g
3.3429,0.0815,59.0347,7.4414,g
2.8303,0.1412,21.9637,6.511,g
3.4046,0.116,31.6884,19.3908,g
2.6335,0.2314,12.7852,31.7237,g
2.1717,0.4815,15.8595,10.772,g
3.4232,0.1481,-64.2447,0.9064,g
3.5856,0.117,65.5995,3.096,g
2.8998,0.1883,19.6058,11.4622,g
2.995,0.128,38.5207,5.3538,g
3.7096,0.0953,51.0151,8.8927,g
2.6857,0.2031,13.1211,25.199,g
2.4273,0.2112,-4.2368,74.837,g
3.2525,0.1926,49.3765,7.5444,g
2.6064,0.1597,-14.5259,8.19,g
2.5605,0.2022,19.1645,40.7357,g
2.6702,0.234,-22.0768,18.698,g
3.1602,0.1518,87.6757,17.7108,g
2.9201,0.1905,26.009,3.919,g
2.7493,0.1683,-16.3279,3.2549,g
2.5883,0.2568,-15.5985,1.283,g
3.4122,0.0594,57.8747,3.333,g
2.5735,0.3298,-19.0011,6.6462,g
2.0314,0.3953,10.6773,0.0002,g
2.7924,0.154,10.3356,25.1167,g
2.7896,0.1339,35.5206,14.5598,g
2.6968,0.1719,21.2631,15.591,g
2.1717,0.3805,-5.57,81.2444,g
2.5231,0.2174,-18.3242,7.116,g
2.2956,0.5696,9.9016,46.255,g
2.2856,0.4482,18.0972,38.8875,g
2.4108,0.3398,-9.2332,38.495,g
3.2638,0.1446,31.0518,10.241,g
3.0794,0.167,47.6317,6.181,g
3.0158,0.1442,-23.9961,1.2932,g
2.281,0.3063,-4.8238,19.3344,g
3.3753,0.0845,40.0819,3.0791,g
3.0226,0.1134,46.8758,10.581,g
3.778,0.0749,112.071,16.4022,g
3.3034,0.144,21.2607,29.8189,g
2.5826,0.2288,-12.3721,12.4588,g
2.6808,0.2054,50.8533,10.5445,g
2.8038,0.2176,-35.172,1.783,g
