@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2-4,7,9,11'

@attribute FWidth numeric
@attribute FSize numeric
@attribute FConc numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
17.138,2.8354,0.2776,12.6851,10.218,g
9.4628,2.1931,0.6154,-13.2614,0.0865,g
25.2456,3.3309,0.1876,28.248,12.156,g
16.9618,2.5826,0.4105,10.3521,26.046,g
29.5448,3.8792,0.1397,73.077,4.5885,g
26.8716,3.5505,0.1855,44.2206,1.884,g
20.4787,2.9521,0.3283,20.7682,15.876,g
7.3577,2.1599,0.7405,8.7888,45.5575,g
14.1213,2.8987,0.2715,-18.7026,0.5371,g
11.3309,2.1089,0.7393,-7.0264,76.6517,g
18.0992,2.5933,0.3546,14.407,8.3473,g
12.8159,2.6058,0.4535,18.8052,7.58,g
15.4178,2.499,0.5452,17.8343,26.742,g
21.0305,3.1207,0.2067,34.5252,6.1069,g
17.275,2.882,0.3005,31.9774,14.5058,g
10.0942,2.29,0.5641,-17.0879,15.8411,g
27.4271,3.2559,0.1687,33.5983,1.2327,g
12.8606,2.2867,0.4548,-9.7549,7.9853,g
15.6983,2.7631,0.4211,23.3278,2.948,g
10.9792,2.1673,0.5374,6.1119,23.7151,g
7.9675,2.2553,0.5944,18.8419,36.4032,g
28.467,3.6072,0.1786,75.1243,4.0898,g
28.5328,3.4804,0.127,53.0782,2.7859,g
20.0901,2.7029,0.3092,-14.5803,19.7036,g
21.8826,2.7388,0.2847,14.7515,16.4046,g
17.2814,2.6594,0.4009,9.7216,9.987,g
28.337,3.4989,0.2238,66.8088,1.762,g
26.0843,3.345,0.2427,32.9514,10.7786,g
33.4546,3.2243,0.1581,-36.2772,17.858,g
32.658,3.4379,0.1791,37.0195,8.7025,g
16.1203,2.4401,0.5154,18.7867,25.809,g
49.0157,4.1592,0.0857,92.4796,1.9148,g
14.3798,2.7419,0.3315,34.0807,13.603,g
21.694,2.7105,0.3856,22.3198,45.4106,g
18.0087,2.7701,0.3684,80.313,9.7906,g
16.5037,2.6405,0.4073,17.1568,16.37,g
10.3349,2.2405,0.6034,-11.3213,50.4492,g
12.7197,2.6355,0.3681,-49.7117,6.312,g
11.0465,2.4878,0.3512,30.0814,10.5725,g
17.4756,2.8218,0.2924,-5.7384,21.1876,g
13.6449,2.8686,0.3302,64.8371,5.4939,g
11.6845,2.3375,0.6989,9.6199,7.208,g
11.1654,2.356,0.6652,-6.9421,56.5349,g
11.6836,2.4031,0.668,5.2565,29.1403,g
24.2893,2.8299,0.358,-36.1043,12.113,g
14.8885,2.4502,0.4362,9.837,9.004,g
24.6372,3.246,0.1969,28.8646,5.775,g
24.887,3.4594,0.1958,67.3379,0.76,g
21.8459,3.0682,0.206,31.3106,12.079,g
11.9972,2.2718,0.6524,1.6615,54.997,g
10.3691,2.3541,0.5752,-11.0277,4.135,g
10.2434,2.5296,0.4225,10.7028,1.0485,g
18.204,2.9178,0.3082,60.2148,5.6897,g
14.1175,2.3692,0.359,19.8095,0.9098,g
21.3742,3.343,0.1621,51.3954,0.209,g
14.0449,2.6933,0.5025,20.1408,9.6072,g
38.4425,4.0026,0.1097,77.3778,3.9366,g
30.2095,3.4386,0.1672,50.7284,2.3493,g
12.8778,2.4646,0.3636,14.7329,54.7663,g
16.1387,2.5988,0.5088,21.3231,33.725,g
10.8048,2.3865,0.5626,17.9199,2.4381,g
14.8872,2.5145,0.4709,-7.3236,3.465,g
17.4839,2.7749,0.3543,51.419,39.8956,g
17.9672,2.8112,0.3583,18.7922,10.9966,g
21.8903,2.7789,0.2196,31.0034,4.9852,g
37.6561,3.9915,0.1098,72.8704,0.256,g
27.6942,3.1252,0.1837,45.0828,3.086,g
6.7535,2.3701,0.4563,28.6709,31.305,g
15.4927,2.6031,0.4214,31.8528,22.7129,g
24.3492,3.0255,0.1895,18.924,1.3003,g
7.2191,2.3253,0.4539,18.0399,24.5831,g
17.0662,2.8633,0.3548,23.4627,0.4014,g
7.2654,2.0626,0.7013,6.8528,66.693,g
22.6172,3.2101,0.2318,26.5456,7.8384,g
28.2765,3.505,0.1622,81.4065,0.5,g
18.7763,3.0743,0.2689,51.1045,5.1845,g
9.174,2.4298,0.6245,-11.168,7.6029,g
24.8335,3.1974,0.1853,67.6604,2.203,g
26.3385,2.9717,0.2124,-25.0744,2.0557,g
10.1788,2.2672,0.6,15.8176,34.677,g
15.868,2.3075,0.5665,-4.3982,17.713,g
10.44,2.1446,0.7885,5.6969,24.9009,g
16.6026,2.8267,0.3055,-17.047,19.8899,g
7.6208,2.2529,0.5754,9.1899,15.2489,g
33.856,4.0044,0.1104,78.5425,1.7133,g
18.0117,2.6794,0.3075,-25.6666,7.742,g
15.2223,2.5244,0.3856,12.663,4.9939,g
27.8817,2.8179,0.3224,-32.0668,3.0817,g
26.0176,3.0126,0.2234,-15.4471,13.9853,g
43.8984,3.1741,0.1333,67.392,4.3625,g
16.7935,2.8048,0.2351,11.6558,4.439,g
28.4185,3.4486,0.1951,55.3539,12.295,g
15.7068,2.8995,0.2268,32.5575,1.0066,g
10.7175,2.5933,0.523,45.3496,16.5835,g
45.0557,3.8422,0.1703,-39.7509,4.067,g
19.7495,2.7616,0.2511,82.457,2.3023,g
12.3564,2.6839,0.4244,16.5567,13.962,g
12.5551,2.3212,0.463,11.3816,31.2984,g
21.9403,2.6304,0.4754,23.5684,32.3326,g
12.3618,2.5888,0.5103,-19.6834,7.5907,g
10.064,2.3464,0.6577,-9.7005,87.0857,g
29.0967,3.5475,0.1607,39.5737,7.4349,g
15.8702,2.6439,0.2838,81.274,72.931,g
26.8934,3.2139,0.19,47.5424,2.9665,g
16.247,2.5045,0.3631,23.2398,10.748,g
18.5969,2.8048,0.3824,14.4986,35.946,g
18.5583,2.8092,0.3243,46.1448,6.4855,g
15.831,2.8722,0.2859,36.8694,32.443,g
13.1513,2.3274,0.4941,-15.6702,78.726,g
32.5425,3.4637,0.1987,19.8578,10.0734,g
17.8697,3.0316,0.2585,-41.8689,2.076,g
20.3887,2.7899,0.2968,-33.0324,59.046,g
23.3635,3.1016,0.1899,45.5444,6.6582,g
13.715,2.5484,0.6082,20.3446,7.936,g
35.1645,3.2496,0.2798,-40.8468,0.217,g
17.8073,2.9297,0.261,22.0187,21.303,g
20.7354,2.9941,0.2291,-22.4582,9.8102,g
23.9276,2.4893,0.3371,43.7729,23.893,g
15.096,2.3314,0.4476,-14.3596,10.4893,g
11.2822,2.4749,0.3417,11.4876,17.979,g
17.8824,2.7435,0.2744,27.8261,9.2636,g
11.3642,2.659,0.5197,-12.0184,12.957,g
17.3158,2.6933,0.3303,15.7761,38.664,g
11.6678,2.0774,0.7113,8.9437,46.283,g
7.2375,2.2753,0.8382,-7.0165,24.17,g
10.5601,2.3927,0.6397,16.1053,32.593,g
14.2397,2.5315,0.3824,5.2882,1.1303,g
14.4335,2.5302,0.3186,22.8402,5.205,g
9.0446,2.3988,0.5549,-13.5845,86.3532,g
7.4513,2.1414,0.7653,7.282,18.1586,g
16.7666,2.4166,0.4406,30.4854,0.562,g
14.7142,2.5459,0.3898,10.225,7.8399,g
14.5658,2.5871,0.401,7.6412,21.27,g
6.3914,2.1717,0.7811,17.2571,22.568,g
10.3364,2.2109,0.7877,6.3277,39.62,g
23.2863,3.2407,0.1994,-19.6851,4.1267,g
19.2454,3.1978,0.2727,37.0846,0.78,g
10.4977,2.1658,0.785,-5.2619,40.316,g
32.3973,3.527,0.167,63.076,3.743,g
18.0066,2.9415,0.3227,23.4435,3.108,g
6.8516,2.1446,0.7025,-9.5968,26.948,g
10.0276,2.2856,0.6373,16.5366,9.098,g
23.2324,2.8395,0.2634,-33.2499,16.85,g
42.1545,3.1971,0.1575,-32.1195,84.3933,g
18.6198,2.4265,0.4195,-11.638,12.249,g
25.5212,2.9963,0.1785,76.7409,5.4781,g
19.641,2.6547,0.3477,10.6267,24.2231,g
16.455,2.9125,0.3193,18.3475,9.549,g
14.8591,2.6821,0.316,33.3481,9.541,g
27.5535,3.1256,0.1947,96.471,6.0195,g
16.458,2.6112,0.4798,4.8933,0.893,g
10.1784,2.3414,0.4237,-18.2081,13.928,g
15.8991,2.3729,0.4788,20.2538,37.5625,g
12.2997,2.6314,0.3622,50.2178,2.9862,g
14.7447,2.8976,0.3367,61.5228,4.129,g
26.6913,3.4442,0.178,-24.7504,7.3364,g
16.2532,2.6107,0.3407,-11.0711,15.3064,g
46.2068,3.6767,0.1196,46.7629,9.1982,g
18.5465,2.695,0.337,80.837,0.329,g
30.7737,3.3599,0.2327,52.6065,0.0235,g
20.9993,2.9621,0.2368,11.9051,13.6362,g
12.7697,2.3334,0.4919,-10.8733,15.8492,g
23.1143,3.0598,0.237,48.3128,6.3073,g
11.0571,2.2227,0.6108,-7.3054,11.4165,g
17.3085,2.7423,0.2932,32.7001,9.772,g
11.2942,2.4014,0.6548,4.3181,46.6417,g
28.7067,3.411,0.2573,31.4793,0.936,g
14.4618,2.6096,0.3882,-23.988,5.2595,g
11.9098,2.5058,0.3619,44.5276,21.804,g
12.1637,2.5065,0.5327,3.4829,27.041,g
11.3364,2.3324,0.614,5.9175,65.558,g
11.6208,2.0881,0.7184,8.1816,4.555,g
16.3923,2.5263,0.4613,-19.0498,6.9421,g
21.5709,3.2002,0.2315,-44.7336,2.8444,g
20.2912,2.3909,0.3943,-25.8559,17.7959,g
10.9226,2.4306,0.5046,-19.4875,22.9883,g
10.9589,2.3918,0.5274,-14.9162,11.8733,g
20.9058,3.0392,0.2211,-46.446,4.664,g
21.3266,3.1438,0.2205,64.5172,3.0461,g
22.1521,3.1581,0.2717,54.0013,10.262,g
21.8345,3.1326,0.2955,53.0248,1.2422,g
11.0705,2.5977,0.5051,-10.3792,2.8878,g
32.3094,3.5178,0.2085,55.2096,0.026,g
16.7064,2.5051,0.4594,19.839,23.211,g
28.8254,2.8724,0.2871,21.8924,28.8991,g
9.9303,2.179,0.5828,-15.3123,20.293,g
18.671,2.7864,0.314,29.8761,18.229,g
13.4151,2.5676,0.3897,23.8201,11.9419,g
16.4648,2.5729,0.4706,-14.1416,19.703,g
17.3757,2.6946,0.402,19.5369,11.496,g
11.7579,2.0512,0.7111,7.2461,67.1488,g
14.1038,2.4526,0.3774,-14.6913,14.461,g
19.0356,2.5843,0.3542,-21.0507,4.437,g
12.6578,2.3608,0.5011,-11.4212,59.558,g
27.3853,3.5161,0.17,46.7919,1.5122,g
35.8748,3.7178,0.1572,67.623,3.301,g
17.3626,2.6439,0.3087,26.3055,16.2512,g
19.8659,3.099,0.2978,21.48,15.103,g
11.2873,2.3493,0.4832,-24.3017,25.421,g
15.3225,2.4346,0.4338,13.3466,1.591,g
14.8748,2.4346,0.4265,34.6064,20.997,g
20.5004,3.0939,0.2038,124.856,2.2623,g
12.4692,2.6238,0.4661,10.9969,11.655,g
10.9031,2.3747,0.6582,19.4121,42.803,g
37.1418,3.3327,0.1394,96.8571,1.734,g
29.3381,3.6418,0.1777,65.2471,1.3333,g
12.4121,2.3107,0.489,-10.3498,60.8343,g
29.376,3.022,0.1854,60.4852,15.777,g
23.972,3.2628,0.231,-12.2424,3.0825,g
17.7968,2.5838,0.4329,-21.6171,8.54,g
32.7913,3.8254,0.1366,49.9657,4.8245,g
10.7395,2.3032,0.607,4.1739,66.181,g
13.2539,2.4742,0.4899,-24.1897,24.031,g
7.2118,2.1055,0.7059,8.5221,46.066,g
17.0359,2.7604,0.4323,22.5779,11.8172,g
7.5491,2.5179,0.4917,18.9164,22.805,g
11.419,2.0434,0.733,-7.4255,17.031,g
12.4183,2.5126,0.5622,9.3134,14.708,g
16.7796,2.766,0.2399,-17.9692,10.45,g
7.3625,2.0663,0.7468,9.0043,77.3146,g
23.3741,3.0092,0.2291,54.0279,3.1282,g
17.6138,2.8742,0.3086,22.8295,13.5528,g
13.2023,2.3936,0.501,14.3858,12.5937,g
25.3158,3.0071,0.2617,17.445,27.555,g
10.0515,2.404,0.5838,17.9473,18.23,g
28.158,3.6759,0.2183,-7.2309,0.128,g
10.5247,2.7105,0.4615,28.1884,1.8949,g
18.1552,2.7042,0.3162,-33.2105,1.596,g
20.1272,2.9727,0.2737,29.1279,6.4438,g
12.3581,2.4646,0.4974,13.6431,16.1552,g
13.424,2.5472,0.4113,22.1078,16.859,g
26.4597,3.1552,0.2015,15.0557,17.331,g
11.6175,2.0233,0.7204,7.677,46.2009,g
21.9114,3.1087,0.2655,19.7226,5.402,g
20.5629,3.2398,0.2378,62.8737,3.6733,g
15.4219,2.5587,0.3094,25.5705,14.818,g
26.6307,3.3714,0.2326,52.4539,0.3079,g
8.2639,2.5308,0.5714,17.3096,15.7149,g
9.8939,2.3324,0.6093,-6.7595,42.667,g
16.3463,2.8901,0.3426,51.2343,16.96,g
19.6861,2.9647,0.2766,9.3382,6.3884,g
14.0844,2.2565,0.6925,19.0035,48.416,g
34.4071,3.3192,0.2704,31.7049,4.01,g
22.9664,3.1273,0.2439,41.8777,21.8794,g
31.483,3.3631,0.2804,51.8285,4.5424,g
10.2156,2.2368,0.8058,6.3361,75.648,g
13.4751,2.6707,0.3458,26.0123,7.225,g
12.286,2.3811,0.5322,9.5843,34.432,g
20.6824,2.699,0.324,44.5411,8.7606,g
12.3798,2.3345,0.6481,-12.648,59.423,g
53.3928,4.2653,0.0807,81.291,1.727,g
12.3622,2.4691,0.5059,-14.9558,13.2241,g
20.8577,2.954,0.2646,28.1173,6.9302,g
23.9976,2.8624,0.3267,-20.7506,4.9786,g
12.7998,2.5955,0.5,14.8564,20.288,g
11.76,2.4807,0.562,12.575,12.1452,g
30.9665,3.6383,0.2017,70.6762,4.3045,g
50.3098,4.0832,0.1158,64.0663,0.131,g
23.9015,3.0149,0.2599,38.9864,4.65,g
19.7113,2.6551,0.2876,38.031,7.946,g
24.9376,3.5075,0.1974,47.4224,1.4909,g
16.7141,2.6415,0.4041,14.0629,31.784,g
17.5029,2.3962,0.4297,19.0743,49.0547,g
23.4817,2.9845,0.3016,-19.1357,72.786,g
30.2434,3.763,0.1557,84.4981,0.7519,g
13.2045,2.5717,0.4826,17.0102,2.748,g
33.2511,3.2877,0.1258,69.4048,21.841,g
13.9374,2.7131,0.3466,34.2839,2.771,g
24.7704,3.4994,0.1694,79.8711,2.967,g
26.5682,3.2166,0.2636,72.0568,2.031,g
6.9091,2.1123,0.749,13.8989,12.268,g
19.4102,3.0382,0.2509,31.7972,1.5672,g
15.7785,2.5031,0.3799,29.6927,35.069,g
19.6211,2.6053,0.3027,-21.2356,5.7595,g
12.7811,2.2122,0.5706,-8.9195,2.964,g
19.0554,2.7185,0.3021,28.3973,28.551,g
19.7924,3.1976,0.2582,16.4572,1.1127,g
22.2965,3.0396,0.2766,-14.4249,61.727,g
21.0394,2.6269,0.3329,22.2612,48.484,g
10.5756,2.2529,0.5363,-8.1421,81.3657,g
9.0447,2.444,0.4065,-19.691,1.236,g
14.76,2.5065,0.4922,11.2032,2.108,g
17.3002,3.0103,0.3164,18.6074,5.6933,g
14.6241,2.9159,0.375,34.5847,5.148,g
23.0715,3.0249,0.2587,50.122,5.8399,g
19.5641,3.089,0.3299,53.4769,6.083,g
23.6827,2.8552,0.2415,-18.9088,2.068,g
15.9477,2.4728,0.3805,-24.0529,13.9543,g
18.9759,2.6803,0.4154,14.58,27.262,g
15.3147,2.6556,0.3514,25.2831,11.635,g
24.8757,2.8379,0.2513,21.0436,29.609,g
14.9894,2.3454,0.4876,23.9034,19.747,g
20.6534,2.7716,0.3841,11.1765,10.493,g
10.6423,2.1875,0.513,-17.8097,64.034,g
7.4475,2.3493,0.4698,-19.2888,16.857,g
25.8172,3.0193,0.2611,23.9303,31.0087,g
39.647,3.724,0.1931,38.0785,2.436,g
20.8316,3.0521,0.1836,63.7642,1.4439,g
26.8957,3.4173,0.189,28.0616,8.8138,g
12.9271,2.5004,0.5719,22.0226,0.708,g
32.6711,3.6657,0.2233,24.3333,0.9411,g
17.4968,2.8004,0.2787,20.0711,4.387,g
23.1997,3.4368,0.1737,11.2721,1.99,g
28.7954,3.4192,0.1725,65.376,6.9368,g
27.9322,3.1543,0.2447,50.2457,11.6762,g
24.0037,3.4339,0.2213,85.7075,0.3795,g
14.5735,2.4108,0.501,11.5113,75.425,g
11.9107,2.7723,0.4088,19.3197,6.46,g
14.9086,2.5711,0.3275,9.4054,21.5187,g
19.3991,2.9151,0.2772,-14.2932,6.89,g
20.3797,3.1007,0.2506,-42.6944,7.784,g
15.0755,2.4548,0.4912,10.8751,89.7187,g
17.9565,2.4571,0.3805,9.9399,4.3446,g
33.5462,3.5914,0.2424,42.4458,4.4055,g
22.3814,3.0828,0.2083,48.9989,10.734,g
11.9122,2.3793,0.5511,-8.0744,88.8278,g
5.8999,2.2683,0.8086,8.6832,18.9122,g
15.9401,2.6201,0.5036,10.607,33.2818,g
25.5676,3.313,0.2111,66.6702,9.311,g
17.8745,2.6998,0.3513,15.1435,0.881,g
21.3242,2.5051,0.4219,16.3698,17.9029,g
21.011,3.0228,0.2334,86.0683,1.765,g
42.3026,3.0465,0.2606,25.3868,4.8828,g
15.7969,2.5366,0.4709,-14.2576,77.795,g
15.2872,2.6968,0.3136,25.3144,2.4997,g
21.8245,3.0233,0.2815,13.7726,37.585,g
21.4358,3.2884,0.2996,63.3974,3.8131,g
12.2741,3.0218,0.2882,59.4809,5.3775,g
21.8125,2.7657,0.3482,14.3481,14,g
17.0921,2.5416,0.4483,-14.0385,4.0536,g
10.7508,2.4464,0.4759,-21.8862,34.121,g
10.2638,2.2492,0.8056,5.148,43.042,g
15.1727,2.5428,0.533,16.9296,8.274,g
17.5257,2.3829,0.4679,18.2394,48.694,g
30.9949,3.7074,0.1203,55.2388,3.301,g
8.237,2.3979,0.72,-14.9941,3.886,g
10.3692,2.29,0.6154,9.8131,17.734,g
18.5949,2.6839,0.3582,-11.714,6.959,g
21.2327,2.8651,0.2688,59.8654,4.7613,g
16.8913,2.912,0.365,22.3978,19.182,g
23.9796,3.253,0.2374,24.0854,4.173,g
16.3669,2.48,0.4901,17.1985,15.7002,g
15.0899,3.0204,0.3225,22.4359,2.0174,g
22.2754,2.8762,0.2527,13.1514,13.6718,g
13.5389,2.4014,0.7262,-10.7944,34.0054,g
12.8114,2.5315,0.55,-17.7512,9.0091,g
9.4291,2.5045,0.6228,-10.1234,3.9731,g
25.0045,2.8982,0.1922,34.0779,1.1964,g
9.1084,2.3434,0.5533,7.8747,20.728,g
29.917,3.0179,0.2294,74.6589,2.4654,g
24.4013,3.1178,0.2234,23.8735,8.37,g
27.4279,3.3193,0.1553,21.7265,13.107,g
27.269,3.0754,0.1925,68.3545,3.298,g
17.9468,2.8825,0.2844,-19.74,5.955,g
18.6073,3.0177,0.2544,-18.5252,3.759,g
