@relation magic

@attribute FSize numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
2.8707,19.0335,23.816,g
3.0722,-36.5977,2.3981,g
2.6632,13.4028,20.582,g
3.6683,69.3393,2.714,g
2.8695,20.581,11.856,g
3.683,66.1333,16.085,g
2.8932,23.4461,5.802,g
2.9309,9.8908,28.926,g
3.3914,42.0865,6.0118,g
3.4957,75.5082,4.5512,g
2.4949,17.6233,15.096,g
2.7328,53.2724,24.24,g
2.6064,-19.2083,20.316,g
2.357,8.3847,33.8055,g
3.7622,45.3094,2.3684,g
3.9526,76.0843,0.849,g
2.2175,6.2839,55.3309,g
2.5502,-15.7562,5.887,g
2.5465,17.7038,45.454,g
2.2492,5.148,43.042,g
2.9178,77.285,1.046,g
2.596,20.7762,17.804,g
2.9552,19.6213,15.5478,g
2.7672,24.1669,35.4229,g
3.3555,81.9483,19.3195,g
2.3075,4.782,46.6386,g
2.636,-14.5275,53.953,g
3.6305,93.13,3.049,g
2.4057,9.7434,21.675,g
3.3144,58.346,8.7949,g
2.3355,19.8767,31.645,g
3.0613,53.2694,16.783,g
4.0087,74.772,8.5037,g
2.7973,95.9197,14.3675,g
2.74,43.8847,3.616,g
2.5065,13.7637,25.641,g
2.3997,19.5795,69.8177,g
2.4385,-6.5401,11.461,g
2.829,38.1831,12.887,g
2.4541,33.6616,18.8968,g
2.6042,12.6911,5.3844,g
3.1481,25.4021,4.217,g
2.3729,-8.2844,59.9534,g
2.5575,8.5014,14.451,g
2.78,75.7195,3.772,g
2.6933,-47.4253,6.489,g
3.6641,81.4116,0.051,g
2.7177,28.8496,20.661,g
2.4158,11.1157,2.0777,g
3.2469,37.2109,0.022,g
3.042,-55.5527,4.772,g
2.5004,60.3971,4.266,g
2.1414,7.1163,76.277,g
3.0706,27.6869,24.56,g
3.0126,-15.4471,13.9853,g
2.9191,18.3276,2.952,g
2.6656,-29.2432,11.2425,g
2.5065,-14.5471,23.959,g
2.1917,-16.9767,45.607,g
2.3701,21.1038,41.563,g
2.8531,103.006,11.0651,g
2.9039,34.3343,3.6658,g
2.4354,-17.4231,50.598,g
2.6637,-18.1295,8.1501,g
2.4757,13.5533,31.4724,g
2.4158,-14.8797,15.6776,g
2.851,32.363,16.405,g
2.4683,7.2054,0.936,g
2.8506,18.0119,1.1537,g
3.1087,19.7226,5.402,g
2.2695,7.9802,24.6514,g
3.7751,66.0231,3.227,g
3.0533,-29.4894,0.3636,g
2.081,10.6173,63.632,g
3.3153,33.1294,0.139,g
3.1565,19.2059,3.235,g
3.1316,49.969,1.591,g
3.2469,39.707,9.1708,g
2.2304,17.3249,74.454,g
2.9523,64.6676,11.219,g
2.3766,16.987,50.047,g
2.6839,-11.714,6.959,g
3.3128,51.994,1.8283,g
3.527,63.076,3.743,g
2.5821,-7.6514,25.657,g
2.4601,-21.6238,3.0162,g
2.3314,-18.3026,8.753,g
2.2625,4.6222,8.311,g
2.4624,-21.3665,18.0262,g
2.5205,-18.9287,12.0755,g
2.3747,14.6129,0.4967,g
2.8546,34.118,2.039,g
3.3921,59.4414,1.8933,g
2.081,13.5173,0.0003,g
2.3579,-15.242,0.9738,g
2.3608,22.9959,60.281,g
3.2195,41.7337,3.675,g
3.2961,29.623,0.3159,g
2.76,-15.9305,31.828,g
2.2504,-20.1316,70.5228,g
2.5179,-35.8968,7.432,g
2.938,52.9061,83.9665,g
4.2885,94.1436,2.5168,g
2.5617,21.8971,0.6027,g
2.8092,46.1448,6.4855,g
2.5359,11.9344,15.148,g
2.5428,-8.6966,7.7165,g
2.2999,-13.7213,38.1238,g
3.1945,25.7764,1.328,g
2.3646,11.9222,4.458,g
4.1425,74.1526,2.217,g
2.2041,4.1978,55.8503,g
2.5031,-25.141,4.549,g
2.9047,-16.2273,26.6964,g
2.3531,-12.526,27.644,g
2.6871,11.5093,6.2738,g
3.6535,65.2557,2.1539,g
2.3096,16.5115,46.1771,g
2.7122,-11.2188,24.726,g
2.3936,16.1439,5.4587,g
2.2978,8.6554,44.3431,g
2.0273,10.4401,34.1392,g
2.924,30.2703,3.29,g
2.0881,6.1041,11.249,g
2.1629,-9.8968,2.5515,g
3.162,75.3529,6.022,g
2.642,43.5802,6.826,g
2.7574,23.32,16.2398,g
2.437,18.368,41.771,g
3.214,-20.1588,9.4564,g
2.2967,24.5426,8.94,g
2.8149,26.9431,30.129,g
2.437,-4.8527,16.3257,g
2.7105,28.1884,1.8949,g
3.9079,-47.7757,0.709,g
2.6817,23.8559,8.419,g
2.7612,-16.085,16.3,g
3.5567,97.7039,2.72,g
3.3678,55.2088,4.76,g
2.5296,10.7028,1.0485,g
2.4322,-10.1044,26.025,g
2.769,-17.2622,63.944,g
3.125,57.1265,3.821,g
3.0618,27.3095,6.193,g
2.73,-20.474,3.9659,g
2.2577,18.4179,19.7637,g
2.8376,63.0651,4.13,g
2.6004,-13.9344,3.715,g
3.8254,49.9657,4.8245,g
3.5143,47.6164,2.2905,g
2.6385,-16.0743,8.699,g
3.8609,27.4946,0.087,g
3.4135,28.5247,3.034,g
2.3927,13.5618,42.0149,g
3.2,51.2483,7.244,g
2.356,-4.5897,84.2938,g
2.2304,-9.3884,37.882,g
2.6117,-18.69,2.198,g
2.6112,18.9716,57.598,g
2.4713,9.7044,16.9615,g
3.1425,51.5228,2.3446,g
2.3032,-16.8918,32.3189,g
2.1861,-2.5568,26.7597,g
2.683,38.2846,6.051,g
2.5641,-17.9976,65.1564,g
3.4715,31.5945,14.916,g
2.1717,6.8109,36.0106,g
2.8633,17.0686,7.0737,g
3.3961,57.7795,6.005,g
3.1517,59.7135,4.1472,g
2.5514,16.2761,41.0305,g
2.3139,-15.0826,47.2156,g
2.4669,-19.9839,13.873,g
2.4487,-3.8804,35.495,g
3.131,-37.721,1.5331,g
2.5508,10.9046,0.921,g
2.6117,20.1489,6.733,g
2.0774,-8.5011,0.0002,g
2.7657,14.3481,14,g
2.9312,75.7769,28.508,g
2.9077,80.8701,5.0667,g
2.4616,16.4468,7.923,g
2.3128,15.0278,62.3507,g
2.9941,34.3455,0.183,g
2.4183,15.9759,5.177,g
2.4886,-4.2009,5.219,g
3.4249,60.9164,12.336,g
2.5635,-14.8259,52.828,g
2.8075,12.8811,2.042,g
2.7903,-16.4776,4.681,g
2.9969,-32.9045,9.023,g
2.6253,17.0519,13.4306,g
3.1053,-22.4536,3.2298,g
2.8924,31.2791,11.7003,g
2.5179,13.7314,17.7197,g
4.3789,85.6668,1.6793,g
3.4733,87.0154,2.176,g
2.6021,15.5108,35.5329,g
2.6785,-20.5809,2.818,g
3.0699,30.9958,8.5516,g
2.3531,-18.4292,79.873,g
2.601,25.4457,33.437,g
2.7679,76.9637,0.5051,g
2.6955,30.9815,1.775,g
2.3531,19.1897,42.2302,g
2.1414,12.4248,88.8729,g
2.9248,-8.1362,2.982,g
2.7173,7.0832,5.0738,g
2.8132,32.4985,8.477,g
2.6915,-7.4281,4.7804,g
3.1007,-42.6944,7.784,g
2.4005,21.7995,1.363,g
2.5927,11.4106,19.356,g
3.1096,57.895,3.473,g
2.3201,15.4982,29.7506,g
2.636,58.2781,1.092,g
2.3589,9.9103,1.011,g
2.5763,5.304,16.948,g
2.3243,7.7059,74.3421,g
3.2298,74.3167,13.735,g
2.6299,-6.7164,27.7967,g
3.4785,39.5205,2.2334,g
3.1411,40.2262,6.81,g
3.3321,74.8247,0.7759,g
2.2625,16.286,19.486,g
2.2878,-13.0095,10.8057,g
2.2368,10.0252,26.61,g
2.7756,15.1357,6.9109,g
2.4208,-10.8543,29.699,g
3.2075,-15.9989,4.428,g
2.2967,-16.8688,0.4907,g
2.2878,-12.9727,46.534,g
2.8497,21.8454,28.5766,g
2.2279,-11.1756,44.928,g
2.899,46.7231,10.529,g
2.9151,56.5003,16.9157,g
3.3116,2.3232,24.017,g
2.3086,10.9956,73.4998,g
2.7135,37.4027,3.101,g
2.3988,11.7753,56.6,g
2.1931,18.1267,37.201,g
2.3414,10.7875,9.329,g
2.4241,-17.6937,38.1018,g
2.2707,9.961,5.161,g
2.857,30.1098,0.368,g
3.1159,20.5008,11.3154,g
2.637,-66.4578,7.051,g
3.494,41.8189,5.47,g
2.5587,-3.2643,12.336,g
2.7328,-32.0062,6.2452,g
3.0156,-23.6209,9.783,g
3.2537,50.42,4.9301,g
2.3757,48.0403,17.5315,g
2.7727,30.5222,19.937,g
2.8011,17.8455,14.8934,g
2.5347,18.777,3.3099,g
3.253,68.1103,1.7184,g
2.6222,-30.128,15.0428,g
2.1446,16.07,18.981,g
3.2693,35.1619,0.466,g
2.6726,-18.4356,13.719,g
2.1021,-6.2434,42.2408,g
3.3153,61.1027,6.4886,g
2.8825,34.3492,10.0749,g
2.736,15.8766,37.3197,g
2.7924,50.8338,12.006,g
3.5464,28.5121,1.516,g
3.3109,78.0311,2.1682,g
2.7173,13.2407,13.341,g
2.2304,16.5079,86.1169,g
3.2,40.7969,8.2751,g
2.5781,23.808,9.141,g
2.6053,-21.3006,2.303,g
2.8007,19.0826,27.155,g
2.4385,-13.0092,5.8995,g
2.5641,54.8205,8.451,g
2.766,-18.5048,20.162,g
2.721,17.6668,5.293,g
2.2317,6.3281,72.4972,g
3.5301,39.5295,4.523,g
3.6018,28.2246,20.1948,g
2.4878,-37.1503,27.43,g
2.9069,84.8353,3.4161,g
3.344,31.4371,4.605,g
2.5605,23.8032,5.222,g
2.2455,-13.8852,0.3141,g
2.2109,-4.606,67.496,g
4.3829,82.2024,1.285,g
2.2418,13.6766,19.423,g
2.6096,27.1243,14.345,g
2.827,28.2606,32.615,g
3.1297,-7.1112,18.8627,g
2.3149,17.7186,48.202,g
2.76,32.5462,26.9369,g
2.2055,7.8602,42.856,g
3.0864,-55.5834,3.8175,g
2.4764,-16.0067,89.3334,g
3.0953,70.6312,1.494,g
2.8222,23.8378,16.05,g
2.3201,-18.365,38.769,g
2.8149,14.1282,18.513,g
3.0929,-26.6349,1.2521,g
2.0354,6.703,58.2737,g
3.3725,63.1651,2.0088,g
4.2023,83.0922,1.29,g
2.2945,12.6462,5.9657,g
2.081,-9.6912,74.511,g
2.9289,44.9422,6.405,g
2.9162,38.5262,2.5713,g
2.7835,-34.8554,0.069,g
3.3752,57.0393,1.092,g
2.7003,-13.8276,1.2986,g
3.146,83.1887,4.8351,g
2.5276,-21.295,7.845,g
2.2504,-14.4351,53.056,g
2.9666,-19.8979,3.5273,g
3.7411,29.1815,4.122,g
3.2412,83.1157,31.553,g
2.1889,-6.806,47.56,g
2.2707,-8.7575,9.894,g
2.6493,-12.7055,12.5618,g
2.5905,9.1125,7.357,g
2.3522,-66.2954,3.0299,g
2.6753,27.0678,12.4981,g
2.5664,-12.3548,12.0409,g
2.8995,14.4098,0.596,g
2.8633,22.4666,39.9687,g
3.6857,15.3222,7.9479,g
2.9219,67.2351,9.9993,g
2.357,5.9444,59.013,g
3.5375,59.1235,0.187,g
3.554,72.4627,31.475,g
2.3988,11.6285,14.3817,g
3.6211,-65.0604,0.1081,g
2.2889,-5.6225,33.8245,g
3.0199,25.2336,21.1203,g
2.2253,18.5696,11.615,g
3.9343,89.9319,0.4882,g
2.6258,-21.9975,24.9095,g
3.0521,63.7642,1.4439,g
2.6684,18.9954,7.9478,g
2.5185,-24.8667,8.6072,g
4.2222,90.6286,4.961,g
3.0388,-36.8342,3.0122,g
2.5527,17.961,25.381,g
3.2537,47.622,5.719,g
4.0157,75.7577,0.667,g
2.1383,12.1501,40.244,g
2.0737,14.1561,57.837,g
2.0846,11.4563,32.807,g
2.4676,-55.5729,0.2621,g
2.0952,13.4868,11.186,g
2.9058,-21.6409,41.9658,g
3.6139,61.4413,1.987,g
2.4564,17.4937,17.7354,g
3.5604,57.0513,5.9931,g
2.5826,10.3521,26.046,g
2.841,55.0076,20.2025,g
2.3701,-19.0632,21.638,g
2.9784,21.9203,9.699,g
2.2799,8.9802,43.706,g
2.5729,-14.1416,19.703,g
2.1569,6.7743,28.2782,g
2.5366,-7.1725,26.4744,g
3.3732,35.5014,1.687,g
3.1526,62.7477,2.12,g
2.8245,28.7441,21.897,g
3.0147,14.2359,5.6601,g
2.7292,63.2514,7.891,g
2.7497,27.0844,35.279,g
3.7968,60.3927,2.555,g
2.6484,21.2042,23.479,g
2.8014,21.1635,9.652,g
2.1508,5.8998,81.1239,g
2.2788,10.164,2.525,g
2.3531,18.1403,8.1796,g
2.8179,17.788,12.413,g
3.2413,22.8047,0.076,g
2.6609,52.9605,5.804,g
2.2266,5.4948,84.1468,g
2.8759,21.0902,19.0682,g
2.4764,-18.5263,29.802,g
3.8601,47.2671,11.863,g
2.2095,11.8739,47.57,g
3.894,77.9063,1.061,g
2.3355,5.3945,44.4218,g
3.516,58.625,6.582,g
2.1414,7.282,18.1586,g
3.0904,-30.1416,8.8123,g
2.3243,16.9706,5.895,g
2.9897,22.7941,10.7911,g
2.0846,6.5021,45.0122,g
2.9009,87.5265,8.012,g
2.5459,8.1759,7.8286,g
2.8106,-19.565,1.126,g
3.1421,78.3007,11.6577,g
3.3241,42.5079,15.898,g
3.7452,-88.761,3.634,g
2.0846,9.0043,8.7191,g
2.6004,-6.3068,22.438,g
2.6556,19.2028,32.725,g
2.8528,16.7495,33.818,g
2.5905,9.5767,5.366,g
2.3086,7.8849,36.429,g
2.9393,-26.6065,43.0747,g
2.7054,12.3318,9.974,g
2.8561,21.2875,27.297,g
2.5798,5.1252,79.591,g
2.248,-4.3425,14.44,g
3.6516,72.369,1.8868,g
2.6527,-10.8912,6.1642,g
2.4479,-11.0757,18.587,g
3.1432,20.6102,11.9368,g
2.541,30.938,1.154,g
2.4713,27.4707,11.566,g
2.5905,15.8826,9.754,g
3.2445,67.5998,2.733,g
3.3244,-28.5291,2.129,g
2.5688,-20.0884,18.6087,g
3.4837,51.5182,1.213,g
2.2,-4.9732,47.048,g
2.8698,39.2103,5.07,g
2.5502,35.4993,0.8093,g
3.0336,48.3135,9.4002,g
2.9547,-18.5923,4.507,g
4.1169,85.8523,0.111,g
3.2772,81.4377,4.7858,g
3.044,19.056,25.394,g
2.5011,-15.6858,15.629,g
2.3793,19.5657,22.821,g
3.1091,34.8531,1.926,g
2.2648,-11.6935,39.52,g
2.3075,-15.9242,13.228,g
2.7864,29.8761,18.229,g
2.281,10.8606,42.612,g
3.4689,49.583,4.126,g
2.5058,22.3053,0.2726,g
3.5661,47.6896,8.732,g
2.4005,-12.2035,7.917,g
2.6744,-26.2882,13.6027,g
2.6238,16.881,32.7651,g
2.3483,-2.3146,21.428,g
2.7156,-17.2948,4.5729,g
2.4401,18.7867,25.809,g
3.6718,54.8721,4.841,g
2.7731,35.4336,11.288,g
3.0002,38.9607,6.252,g
2.3589,-4.9165,16.343,g
4.0435,87.8497,4.0819,g
2.1123,-4.2694,50.3431,g
2.1945,-8.2376,42.315,g
3.1992,-19.4631,5.207,g
3.9532,49.7822,3.181,g
3.6342,78.6621,2.058,g
2.3512,9.4734,17.822,g
3.1174,18.9628,62.395,g
2.2978,9.4409,53.508,g
2.2355,19.8364,40.003,g
2.9914,63.076,4.029,g
3.9097,86.5774,4.1285,g
2.2304,-13.9946,42.063,g
2.3971,-5.9458,26.0698,g
3.385,70.6911,1.981,g
2.7063,17.8634,15.8836,g
2.4778,-5.7541,34.9402,g
2.4749,-8.1183,5.97,g
2.1945,-1.0474,18.256,g
3.1958,112.466,2.935,g
2.2967,8.503,13.117,g
2.7818,-39.9112,11.5544,g
3.3524,-7.9173,0.239,g
2.6488,17.2621,18.353,g
2.1055,0,81.1632,g
2.5315,-13.2826,2.0137,g
3.0276,54.625,0.436,g
2.5514,24.2508,2.66,g
2.6628,3.091,55.3088,g
2.2648,18.97,62.1533,g
2.437,13.504,36.1365,g
2.3375,-12.6707,5.3656,g
2.4257,11.7315,7.9672,g
2.6069,-18.3522,0.3403,g
2.1255,-10.5086,29.921,g
2.3551,-8.2598,39.9594,g
2.3953,16.3565,7.675,g
2.2405,-11.3213,50.4492,g
2.3655,-13.0708,25.3875,g
2.4564,-16.2297,21.088,g
3.2285,44.8852,10.732,g
2.3096,-7.3849,50.24,g
2.3212,-18.0561,23.33,g
2.3522,-19.7886,10.181,g
2.2028,4.5837,58.693,g
2.8058,18.1795,3.6582,g
2.1351,-6.3933,50.6846,g
2.7987,24.6717,16.2665,g
2.9214,41.2793,21.2299,g
3.0404,29.8649,5.4681,g
2.6165,16.0696,12.576,g
2.7631,66.5987,1.0325,g
4.354,91.4728,4.69,g
2.5453,17.1045,13.986,g
2.1477,16.3489,19.7851,g
2.5198,-8.156,75.2845,g
2.7054,-17.4858,29.895,g
3.6143,60.5361,1.611,g
2.8435,72.9945,0.6983,g
2.7466,31.8625,19.482,g
2.3274,-14.2246,15.89,g
3.3073,59.9175,1.3107,g
3.0267,29.8386,25.219,g
2.9533,70.0259,8.94,g
2.6274,9.0049,51.324,g
3.1682,94.1285,43.174,g
2.2227,-7.2392,42.4886,g
3.6466,50.0957,4.1261,g
2.5821,-25.0755,14.908,g
2.889,73.4539,3.458,g
3.7743,75.0139,2.627,g
2.1629,0,51.161,g
2.5145,-21.1765,10.885,g
2.9292,136.445,1.9331,g
2.8968,84.4747,0.2526,g
2.3608,19.949,36.6096,g
2.0986,-7.4493,73.437,g
3.5386,88.2266,30.763,g
2.659,19.2688,4.6269,g
2.2055,8.4809,84.1434,g
2.4393,-21.3725,5.816,g
3.0962,31.6754,1.37,g
2.0588,-7.7403,28.493,g
2.5855,13.1921,24.9145,g
3.4508,-67.2331,4.669,g
2.6693,10.5553,1.3953,g
3.2825,78.2,3.1904,g
2.301,3.9196,82.0949,g
2.776,24.9191,3.791,g
2.2095,18.9243,25.446,g
3.6868,63.4019,10.0169,g
2.6785,27.5985,3.234,g
2.4691,-17.0104,5.448,g
3.1963,48.1948,6.944,g
2.2601,11.831,43.0228,g
3.5039,42.3403,1.3658,g
2.1477,4.716,45.584,g
2.2589,-18.5686,65.202,g
2.5871,24.229,21.903,g
2.8932,14.9919,9.7527,g
2.5152,13.3676,22.163,g
2.6604,-10.0985,49.512,g
2.711,76.001,11.72,g
3.5532,11.9584,5.0887,g
3.0856,82.3098,0.2339,g
2.9337,80.0039,3.616,g
2.9759,59.0817,9.7797,g
3.0471,41.8923,3.5519,g
2.7559,-15.7559,7.959,g
2.8322,62.9753,7.8252,g
2.4125,10.1035,42.99,g
2.0774,12.3509,88.9063,g
2.8534,52.8608,2.942,g
2.4289,-4.73,8.4921,g
2.6112,12.318,39.6495,g
3.0586,35.9762,8.44,g
2.6304,17.9303,1.8424,g
2.2672,-13.5375,11.0601,g
3.2525,49.3765,7.5444,g
2.6702,-17.0134,5.8315,g
2.9327,-26.439,8.849,g
2.2999,-5.0898,18.6383,g
2.8814,-16.5257,32.6827,g
2.5465,-15.5618,12.7025,g
2.8998,-38.8922,1.649,g
2.4082,-7.8779,85.4134,g
2.781,26.4456,3.9171,g
2.3784,22.5657,36.8783,g
2.5557,-40.6169,0.47,g
2.3212,-11.0691,38.674,g
2.2095,-8.2959,89.8113,g
2.4158,6.3464,37.454,g
2.281,-4.8238,19.3344,g
2.8663,21.404,35.85,g
2.1255,-9.3553,24.1247,g
2.6821,-15.8836,83.8778,g
2.1319,-3.9424,21.8775,g
2.894,73.2423,3.1709,g
3.1762,24.4213,8.714,g
4.3462,78.8577,1.554,g
2.5569,-14.2513,70.2428,g
2.6405,15.8569,20.1575,g
3.4784,64.764,2.9595,g
2.6112,4.8933,0.893,g
3.7121,55.6288,5.7611,g
3.0193,23.9303,31.0087,g
3.5737,58.4267,7.596,g
2.9863,-15.9804,11.1617,g
2.29,12.6414,9.757,g
2.4886,32.073,25.98,g
2.1477,-13.3679,48.7888,g
3.1594,22.1001,1.0148,g
2.7226,25.3998,49.0315,g
3.4736,51.8924,1.6503,g
3.4263,-59.5665,22.7735,g
2.9472,18.7545,4.9034,g
2.2553,8.3368,79.697,g
2.2028,-6.0547,26.148,g
2.5347,-29.9526,7.4932,g
2.8442,-45.0453,61.5552,g
2.7101,-15.5314,7.342,g
2.995,58.973,1.23,g
3.3917,46.0408,4.3085,g
2.9165,15.8649,8.796,g
2.1508,10.9442,32.467,g
2.2529,10.1469,15.8259,g
2.8817,23.0309,16.104,g
2.4487,22.7847,35.72,g
3.2172,37.2549,0.7988,g
2.3424,-11.2916,9.668,g
3.2131,37.3313,9.4355,g
2.4241,18.3294,31.8054,g
3.2845,38.0266,7.2741,g
2.6739,-16.7559,9.129,g
2.0626,-12.0341,52.3913,g
3.2628,-12.2424,3.0825,g
3.3631,51.8285,4.5424,g
2.3118,9.426,9.4872,g
2.749,-33.8718,2.489,g
2.9151,-14.2932,6.89,g
2.2055,9.3048,6.561,g
3.5906,81.1524,2.152,g
2.8588,31.1337,17.3992,g
2.7657,30.9936,15.396,g
2.4807,37.9526,2.5147,g
2.9906,22.7293,6.437,g
2.4401,12.9878,44.111,g
3.5638,76.7048,10.522,g
2.1987,6.7234,67.2734,g
3.4099,51.5254,6.1268,g
2.0233,9.6902,6.786,g
2.7896,30.4941,14.4244,g
2.9798,-11.1756,11.808,g
2.9501,35.8239,1.832,g
3.5433,71.9328,0.883,g
2.081,8.1554,62.3181,g
2.8028,53.4604,1.171,g
2.4893,14.9077,47.377,g
2.4385,14.6349,20.8227,g
2.5198,-8.5647,24.663,g
3.0876,-13.2831,1.9727,g
3.5923,60.6541,0.5058,g
2.29,-17.0879,15.8411,g
2.8038,28.0751,17.067,g
3.5588,48.9749,1.8161,g
2.5031,-11.1339,7.108,g
3.0013,-32.3139,8.691,g
2.3128,19.5224,74.383,g
3.5391,36.9943,3.5017,g
3.4605,43.9824,2.176,g
2.3118,20.0434,40.554,g
3.3567,45.212,5.245,g
2.7122,19.4459,8.1352,g
4.4178,80.753,0.8238,g
2.42,8.9539,49.141,g
2.4116,5.8021,18.5125,g
2.1569,15.0587,22.9125,g
2.7585,35.9781,7.3695,g
2.9325,23.163,8.026,g
2.4735,-19.0081,3.9151,g
2.7284,-20.4143,78.7402,g
3.1742,27.943,1.943,g
2.3757,-9.35,28.132,g
2.6091,16.205,4.4626,g
2.5688,26.3367,5.84,g
2.8713,23.7276,11.817,g
3.0336,32.8632,7.033,g
2.8055,69.9837,9.0533,g
3.2053,82.5238,12.316,g
2.1538,-0.001,35.988,g
2.0512,-9.3186,37.228,g
2.7782,31.4377,3.7329,g
2.1508,8.7313,14.3447,g
3.9613,77.9518,4.737,g
2.4346,-18.7684,6.1543,g
2.3901,13.585,16.771,g
2.2028,-0.646,63.4889,g
2.5478,-19.9363,8.1657,g
2.5545,6.6193,3.667,g
3.1787,45.992,4.9252,g
3.7666,62.0176,16.903,g
