@relation magic

@attribute FWidth numeric
@attribute FConc1 numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
19.6301,0.1499,-27.4403,13.753,g
20.1907,0.2438,-7.3477,9.5917,g
16.5627,0.1116,73.1186,15.8142,g
0,0.3927,20.6071,0,g
17.9806,0.2137,-25.4106,29.924,g
10.0133,0.4704,-6.8066,17.4488,g
6.8719,0.3882,11.0487,32.8759,g
41.832,0.0653,88.203,4.5595,g
17.775,0.2453,-25.5307,81.8671,g
11.2034,0.2209,12.9854,1.61,g
11.0835,0.4126,-5.0616,58.21,g
18.8812,0.1606,54.062,1.9107,g
17.6138,0.1917,22.8295,13.5528,g
7.112,0.4047,12.8318,15.288,g
23.667,0.1155,43.4352,2.103,g
12.7377,0.2357,-16.0293,18.274,g
18.0292,0.1064,54.6547,4.301,g
6.839,0.4545,14.9016,2.7533,g
28.236,0.1142,77.6102,4.354,g
13.0618,0.1724,15.9023,4.379,g
10.428,0.3293,-16.8162,60.5205,g
25.9336,0.1241,-56.8565,2.173,g
18.1552,0.1966,-33.2105,1.596,g
20.3533,0.1493,-43.5782,5.369,g
10.1929,0.3092,15.0916,50.757,g
9.0892,0.3117,38.8263,2.376,g
18.4684,0.2031,-10.8168,8.688,g
14.4361,0.1271,-32.5599,2.915,g
35.0966,0.1156,-37.3538,44.927,g
17.6931,0.2206,32.3056,11.5541,g
44.5867,0.0511,101.347,1.542,g
20.5725,0.1404,26.9348,14.161,g
37.1796,0.0513,75.746,5.0145,g
11.2609,0.2912,-25.4179,2.303,g
14.8969,0.2324,16.9284,28.351,g
12.6181,0.2939,15.066,36.457,g
22.5723,0.1063,70.5643,3.4486,g
18.2951,0.1394,18.3456,11.0782,g
12.7421,0.2244,22.4613,1.1232,g
7.0266,0.3505,11.7952,78.1246,g
16.0518,0.217,22.7282,17.059,g
23.9879,0.2092,20.2606,6.9991,g
17.42,0.2043,32.4753,13.6997,g
10.1314,0.1718,29.1589,2.0775,g
17.2918,0.287,15.1165,34.2026,g
19.2971,0.1719,91.9232,10.213,g
19.5008,0.1482,21.4126,1.776,g
7.4656,0.5463,-1.0474,18.256,g
12.1658,0.2378,20.1583,11.448,g
7.0348,0.409,-13.0538,36.1992,g
15.612,0.1836,18.0106,17.314,g
16.3078,0.2102,21.8321,3.565,g
13.5752,0.2204,18.7992,17.1332,g
11.7235,0.3773,23.8238,6.3609,g
11.6489,0.3131,4.6868,69.7431,g
21.2982,0.1203,-5.6345,8.758,g
15.0521,0.1556,56.7577,11.987,g
12.3564,0.2288,16.5567,13.962,g
20.9502,0.1696,-38.3082,1.0638,g
11.8501,0.2224,38.5149,9.7647,g
16.7064,0.2422,19.839,23.211,g
20.0133,0.1801,18.2652,2.3965,g
14.016,0.1623,-20.7903,2.188,g
10.5474,0.3082,19.1897,42.2302,g
11.758,0.3689,-7.2481,73.203,g
25.0527,0.0934,49.9711,1.706,g
16.0546,0.2328,-14.5999,8.0786,g
23.0277,0.1184,20.7132,37.42,g
17.3431,0.1827,-100.671,2.947,g
16.2565,0.2186,-9.8288,0.6445,g
20.0943,0.146,-21.1994,13.034,g
11.9961,0.2426,20.7625,4.849,g
30.6098,0.0829,58.2115,11.124,g
9.5338,0.3873,-6.6128,11.2044,g
23.1061,0.132,49.0632,0.7451,g
14.7049,0.1607,-17.4181,2.969,g
14.3036,0.2489,13.3769,41.11,g
23.2481,0.1255,25.6259,1.858,g
18.8554,0.159,-20.7419,0.5636,g
28.3225,0.0854,61.8213,2.0827,g
24.3726,0.1017,22.5295,0.4442,g
16.0145,0.2558,14.0185,66.05,g
18.6517,0.1608,-19.1441,14.4261,g
20.251,0.1651,-5.2832,15.2987,g
26.9708,0.136,69.9543,11.9305,g
12.5471,0.3061,11.3088,2.3661,g
19.4073,0.1269,27.0567,10.0643,g
18.5866,0.1934,-29.6203,0.127,g
7.0447,0.4174,-12.7218,41.337,g
21.4123,0.1408,40.5153,15.1333,g
22.8539,0.1837,8.5341,30.5133,g
31.1928,0.109,54.6739,15.4674,g
9.9788,0.2921,21.9484,61.282,g
14.5898,0.1948,-19.5737,12.8374,g
23.4096,0.138,-24.1166,26.9788,g
11.9107,0.2255,19.3197,6.46,g
16.1245,0.2229,-21.0536,14.043,g
16.3541,0.295,-7.91,42.1379,g
16.9131,0.2047,43.8847,3.616,g
11.6432,0.396,-9.3618,15.651,g
10.199,0.3488,11.6295,76.5709,g
7.0966,0.3473,-7.9365,2.867,g
25.4082,0.143,18.7668,7.282,g
24.4164,0.1643,61.0348,5.7941,g
12.3808,0.2876,-9.8406,18.2742,g
17.7969,0.194,-17.2116,2.5856,g
11.1358,0.4385,7.0352,63.541,g
17.3869,0.2617,10.5829,50.0777,g
9.6014,0.5504,-9.0779,5.341,g
33.6055,0.0955,56.4516,4.687,g
22.8555,0.1723,30.0093,53.8665,g
16.3565,0.229,10.2831,12.4043,g
15.5464,0.1876,14.8964,2.335,g
10.4007,0.464,-5.6968,61.0007,g
10.4277,0.2295,-23.2194,5.836,g
10.0389,0.2794,-26.0441,8.9499,g
12.4758,0.1734,77.285,1.046,g
7.3375,0.2936,22.4152,1.8232,g
12.5932,0.2169,12.8007,31.192,g
11.2019,0.2198,26.3628,3.7748,g
13.4182,0.1998,17.5123,6.6856,g
9.612,0.3925,21.4067,5.08,g
17.3634,0.2404,9.6528,64.999,g
33.8986,0.0688,64.5659,1.0381,g
0.0001,0.3746,-0.0001,81.1385,g
7.1969,0.3731,-11.3292,39.7307,g
21.0758,0.1418,10.3277,3.9371,g
9.7193,0.5165,8.3847,33.8055,g
12.897,0.1845,20.3419,44.373,g
22.3785,0.2199,38.6814,2.6299,g
12.0523,0.2296,10.1589,15.901,g
20.8924,0.1519,-35.1911,8.3799,g
17.1977,0.1799,41.727,9.14,g
21.2057,0.1422,12.507,9.2874,g
11.2221,0.3892,5.6423,31.76,g
20.9011,0.1961,21.8051,3.901,g
18.2513,0.1642,16.113,23.2507,g
10.4504,0.2887,-3.2643,12.336,g
28.4289,0.1091,79.6719,2.012,g
17.6444,0.1843,-19.4499,8.7759,g
11.2989,0.3691,40.0369,13.3338,g
15.4762,0.2135,-7.4089,3.896,g
25.0454,0.1157,-23.6855,22.0962,g
21.5306,0.0932,76.9919,2.349,g
18.2276,0.1659,-9.7752,86.932,g
16.4183,0.25,35.3644,3.3842,g
24.8757,0.1387,21.0436,29.609,g
17.9792,0.1581,26.4456,3.9171,g
37.6322,0.0823,27.4946,0.087,g
7.3063,0.3881,6.8997,23.439,g
13.557,0.2552,15.5032,40.505,g
10.4786,0.4006,-1.9838,77.826,g
10.3524,0.5236,5.9192,0.764,g
11.1805,0.3773,0.4644,35.096,g
37.3368,0.0573,75.7577,0.667,g
15.868,0.2833,-4.3982,17.713,g
10.4007,0.3341,10.8837,71.9141,g
25.9895,0.103,54.5421,1.667,g
113.367,0.0165,94.582,38.181,g
15.2928,0.2952,10.762,55.833,g
11.4884,0.4131,9.0086,60.835,g
16.5823,0.1791,76.4128,11.241,g
11.9567,0.2022,-28.1013,6.987,g
6.7179,0.4264,-13.4709,27.722,g
21.1889,0.1536,47.3335,3.375,g
18.1931,0.1549,98.6068,6.8267,g
17.9926,0.1764,24.528,33.0542,g
14.0055,0.1835,8.1759,7.8286,g
19.8422,0.11,19.6038,14.5122,g
7.3538,0.4074,8.3658,4.317,g
18.5945,0.1319,67.8681,4.002,g
13.8512,0.2529,11.945,2.491,g
12.71,0.3301,11.2419,74.228,g
14.5831,0.2338,15.2118,7.1654,g
14.76,0.1148,103.867,3.2589,g
17.7958,0.2585,11.4679,18.766,g
25.6146,0.1335,28.2246,20.1948,g
23.5451,0.1336,19.198,43.5443,g
17.864,0.1354,34.8987,0.5989,g
29.3458,0.1577,64.4925,0.3953,g
15.6921,0.1806,16.0417,11.546,g
24.4418,0.0785,60.7341,0.8541,g
28.4649,0.0934,-22.4135,7.553,g
18.1076,0.1412,33.9114,10.575,g
22.4011,0.1586,-44.7121,2.0092,g
26.8934,0.1072,47.5424,2.9665,g
21.5885,0.1038,26.7463,3.056,g
13.8981,0.1934,-20.1988,6.6866,g
31.359,0.0902,71.504,4.763,g
23.5874,0.1134,46.8758,10.581,g
17.6638,0.2277,17.1221,87.6397,g
19.347,0.194,22.4989,23.197,g
11.1117,0.4502,-7.4493,73.437,g
7.3198,0.5685,-5.5395,82.7575,g
33.4244,0.1482,24.7763,7.286,g
15.7769,0.1713,-22.7371,0.2989,g
23.7428,0.0903,74.514,4.2311,g
35.0643,0.0739,72.1546,0.147,g
10.5384,0.2665,-11.7226,68.5256,g
10.5732,0.3342,19.5782,17.478,g
38.4766,0.1524,42.4882,3.465,g
21.0689,0.1412,33.1355,6.4139,g
19.5931,0.2859,17.7166,46.0148,g
15.1557,0.1659,-11.1368,15.139,g
26.6051,0.1069,68.2692,0.87,g
9.1402,0.4487,-13.0801,10.8031,g
7.4868,0.5019,-5.0042,2.559,g
17.8957,0.2113,11.6347,31.3698,g
19.7686,0.1851,37.7854,5.313,g
11.0701,0.297,9.0615,13.853,g
17.404,0.2063,14.0216,3.5068,g
6.9755,0.3542,7.4423,63.031,g
20.9347,0.0904,47.805,5.807,g
14.5245,0.2308,16.0185,13.207,g
15.2144,0.2406,-10.302,16.395,g
17.9912,0.1625,-19.695,2.701,g
11.2814,0.3314,5.8021,18.5125,g
7.2912,0.3973,-90.9952,0.589,g
10.9182,0.3547,-5.5946,82.2683,g
12.0636,0.2686,-8.6851,22.8621,g
12.6328,0.2473,-23.3928,29.307,g
10.392,0.2641,16.8027,26.583,g
11.0431,0.2058,29.8108,3.244,g
29.6092,0.1998,58.973,1.23,g
17.4154,0.1514,20.3642,8.866,g
11.4618,0.3943,7.1055,60.268,g
0,0.3429,0,0.0002,g
6.1491,0.464,14.711,13.913,g
14.187,0.2459,17.6401,4.5456,g
13.4401,0.2212,-21.7933,23.351,g
46.5423,0.0478,82.1558,3.045,g
29.7308,0.0753,63.4069,16.3555,g
19.3449,0.1479,33.3437,41.605,g
14.9392,0.2463,-19.2083,20.316,g
25.0033,0.1205,14.7518,3.8676,g
9.6575,0.2611,26.6628,15.5661,g
21.1247,0.1835,-9.6464,71.3012,g
21.6234,0.1885,15.8649,8.796,g
7.1701,0.3575,9.9352,24.743,g
16.4904,0.1238,-22.8745,11.0098,g
20.0991,0.1585,59.8704,0.5862,g
24.087,0.1286,56.4882,0.0753,g
29.9163,0.144,47.6741,17.772,g
7.1717,0.3558,8.9641,85.103,g
25.7419,0.1849,70.6318,1.112,g
52.044,0.0347,79.342,3.107,g
7.4337,0.4353,-5.7937,8.536,g
11.6231,0.2693,20.2982,1.44,g
7.2924,0.3833,-4.7217,34.5528,g
21.2871,0.3836,-108.745,10.285,g
26.2593,0.1793,48.1724,10.4307,g
15.6627,0.2427,39.4267,12.857,g
25.1646,0.1272,69.6443,0.9488,g
18.982,0.2369,-61.3293,1.0133,g
10.5486,0.2251,-31.2745,8.17,g
43.8501,0.0405,79.7874,1.2147,g
10.4523,0.2688,23.0202,19.258,g
7.4426,0.5505,-2.5568,26.7597,g
15.2975,0.2258,11.1188,14.19,g
15.3465,0.2058,8.0118,13.717,g
24.5132,0.0651,48.9676,2.9261,g
22.2166,0.1531,-15.7373,6.7334,g
10.0102,0.3625,16.1354,1.0704,g
14.5052,0.2012,-18.1941,10.469,g
25.6677,0.0992,62.58,0.334,g
12.1125,0.2807,13.3007,8.947,g
25.99,0.1823,-60.5343,3.0836,g
9.7963,0.2584,13.5184,20.6134,g
18.4962,0.2262,-13.0794,35.5052,g
20.4169,0.1141,58.3127,6.115,g
12.9379,0.3191,-12.8677,79.2185,g
15.1329,0.2105,13.2609,4.916,g
37.9239,0.1059,67.6121,0.8106,g
11.5726,0.3062,5.2501,21.362,g
20.8588,0.1968,26.9431,30.129,g
11.2507,0.3,-19.6917,68.163,g
25.7168,0.0982,40.4022,2.73,g
28.6529,0.1594,44.9155,8.222,g
21.093,0.1534,6.1225,2.777,g
16.8233,0.1467,29.1891,9.1405,g
19.4408,0.2565,-41.0076,1.4023,g
20.6215,0.1032,128.313,8.35,g
8.3747,0.3121,-17.2929,20.6729,g
21.855,0.105,49.4716,15.462,g
22.7657,0.0986,60.9973,4.6353,g
22.3814,0.1103,48.9989,10.734,g
22.572,0.171,14.9985,28.296,g
14.6221,0.264,-21.9542,3.5942,g
35.0272,0.0805,64.1156,18.4316,g
32.3191,0.0646,77.5127,3.9652,g
18.7019,0.1393,-41.2969,5.911,g
19.2198,0.1792,-24.9469,84.0563,g
22.2678,0.0932,63.8847,2.13,g
12.0395,0.222,31.4508,8.3733,g
14.3136,0.259,-20.3545,1.3628,g
18.8375,0.1331,-34.2862,0.7073,g
46.725,0.0716,53.8595,24.826,g
11.4566,0.2544,14.9656,20.6302,g
10.6861,0.4903,3.82,67.951,g
12.1944,0.3362,-1.2074,24.8636,g
22.6018,0.1675,29.7816,8.918,g
19.8669,0.2256,-19.9547,36.3005,g
18.7279,0.1257,96.6087,19.081,g
10.4034,0.5055,5.8317,56.4494,g
18.4851,0.2352,18.0255,2.3258,g
16.582,0.1877,18.1638,14.777,g
10.1047,0.3703,-19.5736,63.367,g
17.3828,0.1462,-14.8091,1.221,g
7.1442,0.614,-7.9366,62.18,g
12.0224,0.285,-21.2166,2.8978,g
17.1968,0.1758,20.3246,8.3285,g
10.7098,0.2898,-18.1822,82.0634,g
22.9146,0.1564,-10.6861,44.017,g
22.003,0.1665,33.3607,2.371,g
37.4145,0.0564,57.73,9.0346,g
15.0071,0.2654,-24.7615,1.1388,g
16.9787,0.183,26.4652,14.6972,g
36.5418,0.0606,92.9621,2.9702,g
19.6335,0.2385,-14.6973,22.48,g
13.9701,0.2914,-10.4673,4.4326,g
21.7955,0.1242,24.4136,7.1523,g
24.2951,0.1395,-17.4477,76.584,g
9.6148,0.2469,19.5239,69.004,g
7.4793,0.4882,5.8926,76.6555,g
10.3072,0.3567,16.3988,3.294,g
14.0799,0.2734,23.5302,0.141,g
11.555,0.3271,-9.9218,33.4715,g
8.7308,0.231,58.0497,18.453,g
27.0122,0.1331,-79.3473,72.887,g
10.6923,0.3652,16.5115,46.1771,g
10.6396,0.3199,-17.0784,13.446,g
28.1032,0.0904,55.0795,5.324,g
21.0901,0.0975,112.099,3.1889,g
27.3974,0.1092,48.282,2.304,g
12.853,0.2887,-9.4313,0.663,g
22.405,0.1259,31.3646,9.664,g
29.8984,0.0612,79.5038,3.266,g
19.5159,0.209,16.3218,1.695,g
16.5288,0.1704,-20.0178,4.2561,g
31.9534,0.1191,44.8852,10.732,g
28.99,0.1148,94.1508,14.203,g
18.671,0.1905,29.8761,18.229,g
6.6537,0.3,9.7648,37.1524,g
22.2821,0.193,20.5925,39.8008,g
14.9745,0.2594,10.3846,21.4367,g
16.8594,0.2146,-11.8597,21.8327,g
9.1271,0.3493,-10.1528,9.172,g
16.9447,0.1561,9.5701,46.111,g
7.4772,0.4675,-5.6779,54.0587,g
10.2053,0.3841,19.2953,20.588,g
25.5212,0.0943,76.7409,5.4781,g
11.0829,0.3326,-8.02,73.3106,g
9.7508,0.2731,37.1014,0.0339,g
12.5654,0.255,19.0235,0.2168,g
11.8254,0.2404,-11.3361,21.1996,g
16.8854,0.2764,10.3481,20.0749,g
11.0335,0.4343,5.7719,89.9026,g
17.1768,0.218,29.8459,25.724,g
9.1005,0.3494,-11.4506,4.5268,g
8.888,0.2941,-12.289,16.315,g
12.5133,0.2264,-8.9109,7.979,g
18.9759,0.2307,14.58,27.262,g
20.0156,0.1062,62.9735,8.8829,g
38.0068,0.0706,70.3318,1.2669,g
14.5258,0.2381,48.9698,53.6761,g
24.3038,0.1025,41.3788,3.2776,g
17.4571,0.2191,13.509,84.8561,g
35.3331,0.0735,73.8474,1.3186,g
15.1309,0.237,10.7439,34.1165,g
18.1076,0.1688,45.3531,3.3863,g
29.3071,0.0863,76.7612,3.3807,g
29.2678,0.1696,54.747,1.018,g
27.8725,0.0667,85.4658,3.744,g
11.4502,0.2592,-21.8955,3.7316,g
15.8412,0.1786,47.8926,0.2426,g
18.9497,0.1656,58.4752,4.442,g
15.2469,0.1699,19.9552,15.18,g
15.5711,0.1406,32.1168,5.359,g
18.1687,0.2061,36.917,26.547,g
11.3311,0.4253,8.1961,43.7132,g
20.4715,0.1578,-20.6365,8.648,g
15.7055,0.2094,-12.9013,11.757,g
23.7642,0.1121,-20.1588,9.4564,g
15.4219,0.1561,25.5705,14.818,g
11.2359,0.3958,-18.5907,74.888,g
33.5754,0.0735,72.151,1.7384,g
40.5124,0.124,-26.2463,1.825,g
0,0.4056,13.4868,11.186,g
24.0802,0.1391,18.5123,14.1901,g
12.0477,0.2648,9.9103,1.011,g
32.2874,0.0604,78.521,1.312,g
18.8432,0.1317,3.5532,3.684,g
14.9086,0.1919,9.4054,21.5187,g
33.8905,0.0877,68.6722,3.0507,g
13.6829,0.3344,-16.1456,51.7326,g
18.6169,0.1802,16.0696,12.576,g
10.7215,0.4872,-4.4109,32.861,g
17.2617,0.3333,5.7972,49.329,g
13.6572,0.2293,-15.0719,25.123,g
16.6179,0.2059,-13.4913,6.11,g
17.7647,0.2281,13.9029,17.7064,g
19.3466,0.2332,13.6245,52.2065,g
17.501,0.1431,40.3342,7.6914,g
23.3308,0.1143,46.1712,0.97,g
19.5474,0.1608,-9.2544,17.02,g
26.3511,0.1535,37.7787,0.9013,g
15.1771,0.186,22.2786,1.2204,g
20.4274,0.1308,19.2059,3.235,g
16.2117,0.2356,24.6315,5.8259,g
0,0.4212,-14.2246,15.89,g
0,0.3574,0,29.9003,g
20.2049,0.2333,15.9039,52.307,g
6.7911,0.446,14.6204,0.2884,g
11.2504,0.3922,4.9368,86.7275,g
19.8195,0.14,27.3696,11.295,g
32.9219,0.1163,83.8441,4.358,g
20.8285,0.1423,43.5221,6.903,g
15.7086,0.1585,33.4005,0.573,g
10.5873,0.361,18.8817,3.5191,g
23.1997,0.0872,11.2721,1.99,g
21.1399,0.1209,60.0875,5.998,g
12.2506,0.174,-25.38,32.8027,g
11.7068,0.4136,-4.9165,16.343,g
10.6103,0.2289,-21.449,13.5464,g
17.1293,0.1578,103.006,11.0651,g
21.9104,0.1831,17.3737,1.7171,g
9.0614,0.3886,12.9607,33.39,g
23.9354,0.1102,44.3933,5.3057,g
13.5856,0.1759,37.2018,6.509,g
18.599,0.1918,18.8544,3.903,g
25.5809,0.0992,73.0712,3.186,g
12.9002,0.1667,19.4011,5.954,g
19.6944,0.1332,22.6513,6.5171,g
36.4744,0.0548,80.6891,1.053,g
19.2463,0.1449,-16.0502,8.9132,g
25.083,0.1239,25.6803,0.4688,g
27.4271,0.0863,33.5983,1.2327,g
29.3736,0.1001,30.3396,22.925,g
54.252,0.0423,81.0734,2.694,g
17.6341,0.1612,50.552,1.854,g
11.5659,0.4052,9.2566,16.342,g
15.9811,0.2331,16.8384,2.3458,g
17.6866,0.275,27.6711,8.709,g
19.4481,0.1224,16.5774,4.8668,g
15.3273,0.1939,11.5547,54.418,g
11.7661,0.299,-15.4944,5.4222,g
19.7232,0.1955,-15.2275,16.3704,g
18.6618,0.1821,16.8838,17.71,g
24.1482,0.159,-5.3399,77.094,g
14.9958,0.2111,2.8332,41.0922,g
6.9123,0.3891,11.3333,13.7252,g
12.9583,0.2228,16.4468,7.923,g
30.0083,0.1305,68.6832,1.7621,g
17.4654,0.3087,19.777,0.8652,g
11.6246,0.1777,57.9968,0.5105,g
11.1694,0.3325,19.3642,54.193,g
21.3973,0.1637,18.2868,8.7244,g
12.0817,0.1615,13.6391,3.7449,g
22.7714,0.1115,19.207,10.6136,g
19.3278,0.1774,24.3512,47.1801,g
34.529,0.2046,45.0492,1.267,g
11.1294,0.4129,5.2042,59.383,g
13.7876,0.1786,32.5134,2.938,g
13.2352,0.2148,28.7752,4.565,g
21.9393,0.1514,-4.832,80.7261,g
28.6463,0.1518,62.6239,5.123,g
10.9847,0.2882,24.3173,0.352,g
33.3926,0.0725,77.2249,0.8128,g
11.013,0.4198,-5.0345,13.689,g
7.3677,0.417,-8.8224,17.401,g
10.3988,0.2724,-6.2981,0.091,g
17.6223,0.1471,97.7739,4.201,g
16.3249,0.2595,26.0992,0.2595,g
16.8769,0.0936,75.8274,1.579,g
14.4881,0.1667,20.277,2.063,g
13.4468,0.1641,29.2564,5.669,g
31.6046,0.1173,20.8358,18.1335,g
7.3587,0.4824,-8.2376,42.315,g
12.6917,0.3079,8.371,21.192,g
10.2168,0.3683,-16.4384,8.229,g
19.4544,0.2169,-13.9118,65.2853,g
13.0962,0.2848,-9.0376,46.72,g
22.8505,0.1194,22.693,9.087,g
28.6254,0.1175,43.8447,0.261,g
23.5629,0.0885,25.3189,1.272,g
11.0549,0.3044,-18.1926,19.4135,g
10.2638,0.4366,5.148,43.042,g
28.1488,0.0817,73.348,1.64,g
11.2406,0.299,-6.8364,54.2205,g
15.0008,0.1814,24.9912,11.958,g
19.2113,0.1479,15.6989,16.6313,g
23.8649,0.1537,32.3372,4.0561,g
18.1573,0.2925,26.6561,17.775,g
14.9422,0.2624,-6.377,37.287,g
18.1793,0.1242,60.7061,5.559,g
10.5806,0.2997,19.9482,9.6728,g
10.4787,0.1921,95.5549,7.499,g
16.3967,0.2201,14.9053,18.2815,g
10.346,0.3285,-29.9526,7.4932,g
9.4561,0.266,12.064,20.7532,g
12.329,0.2402,15.1813,1.338,g
17.677,0.2503,-12.9443,56.148,g
15.3561,0.2821,-12.8861,15.2553,g
19.3005,0.1967,32.6086,40.152,g
9.7238,0.2395,16.287,3.675,g
17.477,0.1796,35.481,6.0528,g
14.2821,0.2515,14.3681,1.3587,g
39.5044,0.0626,74.772,8.5037,g
28.1619,0.1785,18.4893,1.0274,g
30.4948,0.0798,79.9757,3.789,g
20.572,0.1343,-19.7759,15.4657,g
11.4297,0.3555,-19.4182,67.7536,g
36.3955,0.0907,41.7518,4.6873,g
27.1801,0.1223,51.854,1.338,g
20.4803,0.266,17.5035,10.2651,g
11.3629,0.2579,-5.7541,34.9402,g
23.7133,0.1208,45.0035,0.5673,g
10.0532,0.2078,-30.044,4.7215,g
15.7807,0.2359,-15.5673,23.325,g
10.5032,0.2334,-12.7121,3.651,g
20.9611,0.1293,42.4894,37.234,g
21.7687,0.1396,13.6455,7.915,g
18.1298,0.2126,9.3091,84.0609,g
25.388,0.138,18.3276,2.952,g
15.8391,0.1997,23.4775,2.2764,g
9.4136,0.3721,12.1835,16.0043,g
23.8253,0.1121,23.1823,6.121,g
12.3608,0.3097,6.5856,9.814,g
17.3063,0.3603,20.3891,30.271,g
