@relation magic

@attribute FLength numeric
@attribute FConc1 numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
32.1883,0.1437,13.5301,g
52.2667,0.1584,7.085,g
24.6708,0.2594,21.4367,g
23.2176,0.3579,13.098,g
24.0767,0.2163,32.3979,g
65.7162,0.1176,0.187,g
21.0971,0.4022,5.361,g
21.4854,0.2682,18.0829,g
23.7571,0.225,14.9592,g
37.3261,0.1549,4.655,g
85.4747,0.1362,2.5811,g
18.299,0.2778,45.2655,g
46.2076,0.1306,1.516,g
22.7315,0.2943,10.6062,g
47.3469,0.1939,12.801,g
79.9893,0.2203,2.8761,g
50.8046,0.081,10.9222,g
41.8199,0.1682,3.823,g
24.0598,0.3884,15.4535,g
21.3241,0.3204,40.3954,g
69.9918,0.1247,9.2202,g
20.0767,0.2961,71.363,g
33.9833,0.175,7.211,g
60.2584,0.2863,7.944,g
34.8054,0.207,0.9214,g
23.2612,0.3756,4.383,g
22.0678,0.2975,35.542,g
78.0691,0.097,0.916,g
65.0492,0.1268,9.9495,g
18.9583,0.3834,38.2,g
13.0183,0.4887,84.3683,g
22.0915,0.3818,54.994,g
35.8764,0.1525,14.985,g
62.786,0.1147,10.2258,g
24.4626,0.3009,5.044,g
13.1069,0.4131,50.3431,g
36.5987,0.1226,13.191,g
24.048,0.2039,10.666,g
75.0843,0.1264,1.2947,g
57.0949,0.0716,24.826,g
93.9291,0.1068,0.034,g
22.0239,0.2418,62.975,g
26.4928,0.3453,44.224,g
41.5898,0.1211,8.909,g
36.473,0.1665,5.3586,g
19.2243,0.3017,11.049,g
54.8072,0.2829,6.3332,g
31.6176,0.1931,2.98,g
24.2101,0.2741,19.1417,g
33.2252,0.2577,15.71,g
59.6124,0.1113,1.1057,g
31.693,0.1965,10.5089,g
28.741,0.1876,2.335,g
23.7895,0.3122,14.87,g
31.8375,0.1459,8.675,g
12.7926,0.368,27.0422,g
63.5666,0.0858,5.9768,g
20.9486,0.1955,46.2761,g
33.0135,0.2309,5.177,g
65.6077,0.1056,10.6894,g
19.0154,0.4264,58.903,g
41.8364,0.137,20.879,g
40.0358,0.1284,0.636,g
63.4852,0.0774,4.366,g
39.7738,0.1945,3.288,g
24.5103,0.3722,14.1769,g
23.9569,0.3615,66.733,g
25.2701,0.1787,29.746,g
33.6189,0.2584,11.7369,g
65.0647,0.1861,8.5788,g
42.9283,0.146,13.034,g
43.9478,0.1521,9.4355,g
28.4759,0.1515,20.123,g
21.6967,0.279,64.3873,g
19.2296,0.4491,74.6152,g
80.3783,0.1109,0.123,g
68.4649,0.1362,6.348,g
17.9896,0.3175,51.0538,g
21.0145,0.2967,3.9389,g
72.6772,0.0662,1.7119,g
25.1503,0.4729,11.393,g
97.7959,0.1508,7.8023,g
87.0611,0.1808,1.5388,g
29.669,0.223,12.24,g
22.8572,0.3131,16.59,g
18.322,0.4136,16.343,g
36.1618,0.1216,33.371,g
12.94,0.4343,53.7924,g
42.8647,0.1082,12.867,g
26.6961,0.1725,50.74,g
32.3195,0.1473,42.879,g
24.3893,0.2709,35.974,g
42.1522,0.1037,21.355,g
99.0242,0.0989,2.0115,g
47.2509,0.2421,4.787,g
20.7299,0.247,20.0004,g
102.9,0.0802,5.0421,g
46.5687,0.1613,3.678,g
19.4926,0.3113,83.3232,g
30.1651,0.2041,7.443,g
74.5183,0.0785,0.038,g
21.4777,0.3091,43.6228,g
20.3254,0.2765,4.829,g
20.0777,0.2939,36.457,g
46.2571,0.1404,2.516,g
37.7137,0.2074,25.831,g
21.3715,0.2149,18.5084,g
78.9104,0.1452,2.556,g
75.611,0.1497,3.808,g
22.1163,0.2591,2.0777,g
109.8,0.0687,73.6804,g
28.1746,0.2236,47.407,g
40.6097,0.1219,0.774,g
23.091,0.3084,9.3139,g
56.0558,0.1957,15.3725,g
84.8605,0.1244,6.252,g
83.1099,0.1089,1.9969,g
35.3566,0.2201,0.2316,g
21.8457,0.3188,56.5082,g
102.169,0.1148,3.2589,g
13.0301,0.3773,35.096,g
37.8325,0.4489,64.525,g
21.2877,0.3278,8.167,g
33.1065,0.2182,4.0681,g
26.016,0.3266,19.099,g
30.7178,0.2622,15.2359,g
31.8057,0.1598,9.087,g
42.0561,0.2089,8.8998,g
76.6597,0.2034,2.2854,g
71.9537,0.1388,5.185,g
26.9151,0.1587,17.608,g
25.7604,0.199,10.273,g
24.5684,0.2232,13.1428,g
73.7126,0.1062,2.3374,g
37.5494,0.1955,8.782,g
21.7282,0.2295,6.4748,g
19.2878,0.4255,58.7634,g
39.9551,0.1505,7.511,g
24.3113,0.3462,5.4233,g
23.1262,0.2232,16.232,g
20.2088,0.2326,11.052,g
20.8725,0.3311,39.56,g
36.5911,0.2282,9.497,g
87.8842,0.0968,4.122,g
42.9047,0.1628,0.839,g
39.8065,0.1449,8.9132,g
23.1475,0.2678,81.7955,g
75.5387,0.0668,3.201,g
27.2242,0.2223,20.1203,g
18.9883,0.2881,31.8054,g
68.8179,0.1027,3.446,g
65.7116,0.0939,0.32,g
43.4518,0.1223,7.1147,g
61.3827,0.1621,16.6337,g
41.5234,0.2411,0.265,g
28.4057,0.1478,11.239,g
62.0891,0.1796,6.479,g
16.5471,0.3781,55.8503,g
30.4186,0.2583,6.1324,g
24.4466,0.2074,1.8427,g
25.9323,0.2377,50.082,g
18.5274,0.287,89.8113,g
25.6981,0.1906,32.8826,g
57.0253,0.1924,1.367,g
80.2224,0.1221,1.547,g
56.9476,0.1856,1.819,g
82.1086,0.0474,0.171,g
31.6831,0.2178,65.85,g
28.1534,0.2405,31.6513,g
59.5007,0.1128,4.6349,g
29.9508,0.1888,23.9617,g
154.037,0.156,50.738,g
75.5048,0.1055,2.359,g
133.596,0.0926,74.6605,g
28.541,0.2768,28.3824,g
71.2506,0.0785,1.5906,g
93.5917,0.1627,7.444,g
19.9784,0.3932,80.0895,g
62.5184,0.0707,10.1375,g
66.4048,0.0759,1.464,g
109.231,0.1104,4.305,g
72.9523,0.0701,0.702,g
93.7489,0.1274,14.3121,g
107.508,0.0653,4.5595,g
36.5468,0.1537,7.4566,g
72.9139,0.1118,5.7258,g
13.1537,0.5232,26.736,g
26.8447,0.1961,8.827,g
31.6388,0.3057,68.429,g
33.6482,0.1695,17.38,g
23.6155,0.3285,25.219,g
36.7226,0.1559,9.5163,g
22.2736,0.2946,2.1861,g
18.423,0.4228,15.175,g
67.9253,0.0841,0.1225,g
13.0748,0.4517,16.258,g
20.8971,0.286,6.83,g
65.4139,0.1961,8.72,g
48.0293,0.21,2.397,g
89.3625,0.0986,5.2442,g
46.2246,0.1435,7.135,g
28.7156,0.2332,30.192,g
47.9495,0.0919,11.218,g
23.4507,0.2601,3.393,g
26.1343,0.2826,2.897,g
109.581,0.189,0.834,g
81.2317,0.0893,4.155,g
59.3778,0.1738,8.789,g
21.407,0.4523,85.7558,g
37.4814,0.1231,3.5686,g
37.527,0.1442,4.995,g
26.0944,0.1937,13.429,g
21.5918,0.2909,36.0879,g
19.2635,0.4498,77.957,g
81.8705,0.0537,0.227,g
12.9712,0.4297,71.9552,g
23.6483,0.1877,3.991,g
28.0633,0.2319,7.147,g
20.9348,0.3624,0.9086,g
93.7259,0.1065,18.6002,g
48.8529,0.1791,4.4388,g
23.3107,0.1867,2.761,g
12.924,0.3814,59.2402,g
24.9831,0.1966,6.432,g
53.7339,0.2955,1.886,g
80.6936,0.0814,0.913,g
24.9808,0.3086,36.639,g
39.7844,0.1231,3.374,g
48.7723,0.1302,0.464,g
47.3112,0.1292,0.069,g
38.3309,0.1421,69.7546,g
115.093,0.025,5.487,g
18.6177,0.2791,32.3548,g
87.5476,0.0798,3.789,g
34.5549,0.2936,1.8232,g
43.4976,0.1825,20.1117,g
59.4407,0.1994,5.836,g
101.59,0.0839,1.192,g
74.3446,0.0587,7.6188,g
94.7737,0.0724,5.0273,g
19.4266,0.304,23.9107,g
91.613,0.0844,0.019,g
95.5849,0.1929,0.7801,g
40.6292,0.1644,11.7327,g
83.4271,0.1682,1.151,g
28.4739,0.1425,28.75,g
66.1975,0.1218,7.5637,g
56.2441,0.1797,6.436,g
21.8483,0.2421,28.132,g
77.6846,0.0992,3.186,g
41.2532,0.1225,7.521,g
21.1612,0.3939,52.3913,g
37.0708,0.3859,3.987,g
34.4997,0.125,22.8615,g
23.7726,0.2238,47.735,g
13.1298,0.417,21.8775,g
71.3117,0.1006,14.1486,g
64.3679,0.0726,3.417,g
35.3812,0.2287,15.8702,g
25.0389,0.3585,23.722,g
32.9755,0.1575,7.944,g
23.5264,0.3107,11.2824,g
24.161,0.3076,24.558,g
50.4829,0.1133,22.471,g
70.6387,0.1003,2.3853,g
26.5035,0.2138,24.301,g
33.5855,0.1281,0.441,g
27.5557,0.3417,21.3825,g
21.891,0.3633,35.1373,g
38.4475,0.2993,22.3126,g
23.8305,0.3988,9.3104,g
28.1264,0.1981,56.248,g
21.795,0.1922,62.0277,g
34.2121,0.1899,7.337,g
21.4256,0.2745,39.8692,g
35.9235,0.2167,0.7528,g
26.257,0.2822,7.8637,g
85.475,0.1253,7.1658,g
26.277,0.2264,19.6343,g
26.3468,0.1831,56.0713,g
25.3267,0.213,81.0686,g
23.6195,0.2166,77.2884,g
20.0133,0.2335,3.443,g
18.6774,0.3722,15.0753,g
37.7815,0.147,2.705,g
60.8494,0.2064,0.294,g
38.5817,0.1392,11.932,g
21.6674,0.4545,4.344,g
23.3194,0.236,62.9998,g
40.7958,0.1383,8.075,g
32.3994,0.1797,67.892,g
25.6901,0.2439,37.165,g
29.1673,0.1925,6.382,g
35.3335,0.2041,5.8315,g
31.7382,0.1458,1.1811,g
44.4617,0.1629,40.2122,g
24.8576,0.3174,3.715,g
37.3655,0.1673,61.033,g
84.6964,0.1191,0.7814,g
48.0913,0.148,3.2173,g
22.7815,0.2509,3.0779,g
28.3396,0.2879,35.715,g
35.8767,0.1415,3.348,g
28.2176,0.1854,89.9535,g
13.0433,0.5168,72.219,g
39.3744,0.1084,4.823,g
28.0488,0.3612,8.2259,g
86.3478,0.2041,1.7715,g
42.9026,0.1514,9.3727,g
102.98,0.0774,3.0301,g
12.9733,0.4726,12.1984,g
45.1661,0.1445,2.8997,g
44.2941,0.3789,47.561,g
13.0212,0.5398,11.8418,g
31.2072,0.1563,5.8754,g
40.0572,0.1799,17.8954,g
86.757,0.3805,2.9754,g
25.5063,0.1656,0.864,g
29.1582,0.2494,5.7711,g
19.0832,0.2882,20.1371,g
46.8081,0.2482,1.4454,g
47.7879,0.1064,8.5086,g
43.3619,0.197,0.5462,g
27.071,0.1796,13.719,g
73.0124,0.0929,8.1473,g
53.3643,0.1125,11.5856,g
85.2487,0.1747,9.3662,g
31.838,0.2116,53.953,g
37.3461,0.1512,8.741,g
12.7848,0.3837,86.4459,g
26.52,0.3698,82.1614,g
38.2386,0.1577,1.639,g
35.577,0.2202,2.0711,g
106.087,0.1118,2.801,g
41.7719,0.1028,23.56,g
12.9945,0.4398,32.928,g
45.1514,0.1518,2.642,g
90.4031,0.0794,1.5824,g
42.4826,0.1767,5.978,g
38.8885,0.1281,10.1466,g
30.3077,0.2723,31.293,g
25.161,0.2232,0.624,g
29.8242,0.1961,11.359,g
103.362,0.136,1.696,g
38.8391,0.2212,16.5236,g
80.9416,0.0947,0.0974,g
65.3382,0.1207,0.847,g
92.6674,0.0579,3.692,g
53.6076,0.0865,1.853,g
46.1616,0.2343,8.3129,g
61.9969,0.2173,5.723,g
91.7205,0.0687,0.982,g
44.4789,0.171,6.165,g
39.2546,0.0938,86.2934,g
16.0114,0.387,6.335,g
18.6233,0.3375,85.5581,g
33.6992,0.152,22.229,g
35.9941,0.1496,4.761,g
33.6832,0.194,1.573,g
23.2118,0.304,7.755,g
61.6628,0.1073,21.2299,g
18.1252,0.3443,36.6853,g
54.4781,0.1437,1.3186,g
19.4158,0.4393,80.829,g
117.58,0.0308,9.964,g
35.5214,0.1356,3.6208,g
29.1755,0.1745,34.4518,g
24.908,0.2045,0.8302,g
72.6665,0.0909,4.838,g
25.0243,0.2949,29.556,g
78.5963,0.0792,2.858,g
21.543,0.2899,13.874,g
24.3343,0.1991,10.288,g
28.6134,0.2402,1.338,g
79.051,0.136,2.3684,g
92.3723,0.0996,17.086,g
22.5585,0.1879,9.3268,g
78.8829,0.0932,3.939,g
23.7968,0.2493,4.534,g
17.3947,0.3667,68.1479,g
104.202,0.1305,1.7621,g
70.8301,0.1643,5.7941,g
26.4332,0.3271,5.3365,g
90.2333,0.0889,2.163,g
30.5904,0.2016,15.8836,g
23.4842,0.1896,6.0191,g
80.4535,0.1148,14.203,g
19.4819,0.2895,36.406,g
34.3446,0.2165,13.5225,g
42.2817,0.1786,9.545,g
36.6617,0.3182,11.3761,g
85.7886,0.1494,0.2716,g
13.3706,0.4007,47.994,g
32.6557,0.2198,21.475,g
20.8487,0.3646,0.0546,g
38.7824,0.1368,21.516,g
62.3214,0.1366,12.9721,g
28.5828,0.2026,3.05,g
72.0234,0.1195,1.133,g
24.7466,0.3387,11.218,g
67.8422,0.0721,21.905,g
19.2995,0.3488,37.2878,g
70.2654,0.1101,4.043,g
27.5042,0.174,31.28,g
22.8448,0.4056,11.186,g
27.8634,0.278,10.3051,g
23.2007,0.2921,30.7414,g
34.5681,0.2414,1.3098,g
80.4985,0.0693,6.046,g
21.6754,0.2782,32.744,g
40.4373,0.237,10.995,g
52.4722,0.1065,10.7248,g
21.6891,0.2923,1.5485,g
29.7941,0.219,25.428,g
65.3585,0.1356,2.929,g
98.6242,0.0731,1.421,g
31.5473,0.2,10.6245,g
19.2855,0.3958,74.888,g
13.0291,0.4941,11.929,g
70.9653,0.0904,1.534,g
57.8276,0.1377,1.965,g
28.2338,0.2047,8.526,g
12.7427,0.4006,79.144,g
50.0599,0.0679,1.8497,g
13.2918,0.5358,77.1591,g
29.6097,0.2636,60.281,g
75.5657,0.1365,4.9959,g
30.1747,0.1748,1.76,g
21.8569,0.3874,17.8472,g
36.5237,0.2176,12.715,g
45.635,0.1515,8.357,g
50.819,0.136,1.6694,g
89.3694,0.1215,0.022,g
66.0336,0.2429,6.638,g
24.0872,0.4191,37.3886,g
41.7614,0.1151,7.4948,g
12.9955,0.4982,77.375,g
19.2975,0.2787,26.997,g
27.3416,0.241,25.809,g
25.8254,0.1755,9.273,g
29.0484,0.2334,0.212,g
28.9743,0.2029,15.547,g
18.9883,0.2034,39.2377,g
35.7849,0.1443,34.3844,g
58.8799,0.1267,2.622,g
32.8659,0.2102,3.565,g
46.9364,0.1217,1.4485,g
28.3612,0.1626,61.7,g
94.1338,0.1351,3.4297,g
41.3562,0.1775,5.5299,g
46.5667,0.1059,13.249,g
38.1364,0.1469,10.124,g
22.2664,0.2902,21.435,g
97.4259,0.0308,4.934,g
28.1928,0.1711,10.515,g
43.3005,0.1302,3.1075,g
21.5493,0.3178,15.682,g
21.1063,0.4737,7.8499,g
18.4261,0.3029,37.882,g
27.6407,0.2437,8.536,g
43.6408,0.0911,69.045,g
26.3148,0.2418,13.776,g
109.756,0.1578,11.0651,g
41.6067,0.2251,8.17,g
42.6144,0.2214,17.82,g
95.5716,0.1224,0.239,g
37.0175,0.1287,64.5625,g
23.2179,0.2373,25.3949,g
88.7452,0.1104,3.4725,g
22.8438,0.2366,61.7921,g
48.454,0.0999,4.765,g
44.5949,0.1304,2.6322,g
30.8617,0.3069,3.253,g
24.9084,0.2225,0.758,g
33.6964,0.2057,24.449,g
27.8453,0.2755,15.015,g
54.0804,0.1022,9.9658,g
16.9161,0.3905,4.058,g
47.6672,0.2173,9.11,g
65.9396,0.082,2.404,g
68.2371,0.1125,4.6306,g
42.8176,0.2004,4.9361,g
35.5728,0.2607,3.776,g
24.2223,0.1832,46.617,g
51.2705,0.182,1.0728,g
16.5548,0.3814,14.44,g
60.0764,0.1352,20.6356,g
20.7522,0.3214,43.8882,g
86.2726,0.0462,5.2854,g
87.0597,0.0586,2.127,g
109.713,0.1199,2.929,g
34.5219,0.3382,25.801,g
77.3134,0.1485,5.8814,g
98.719,0.1143,0.8402,g
23.6214,0.1922,44.827,g
13.6728,0.4927,14.071,g
21.3875,0.2182,0.8245,g
26.0022,0.2947,59.468,g
27.3017,0.2328,8.1796,g
74.3456,0.0801,31.553,g
32.5109,0.1704,18.142,g
26.3542,0.1931,21.6256,g
100.799,0.0907,1.747,g
39.7973,0.1355,4.4105,g
19.0626,0.2911,85.4811,g
49.8521,0.2305,6.0457,g
25.3361,0.2818,56.2,g
34.6655,0.2227,6.9113,g
16.1927,0.334,40.759,g
22.3636,0.2717,5.6931,g
66.0313,0.1105,3.082,g
27.9985,0.2654,1.1388,g
50.1709,0.1142,47.392,g
20.4878,0.3827,4.1929,g
25.6568,0.215,26.3933,g
50.951,0.2242,4.0907,g
60.0031,0.1513,15.517,g
21.3925,0.4068,19.2595,g
23.393,0.1942,23.0778,g
30.0005,0.1857,27.943,g
72.1161,0.0837,15.2695,g
24.8548,0.2264,27.748,g
25.7564,0.2106,46.4008,g
88.3759,0.0798,8.2753,g
103.083,0.2759,68.039,g
38.5396,0.1246,0.0345,g
88.0174,0.0934,6.986,g
71.6516,0.0973,4.126,g
29.8194,0.1969,2.141,g
51.5731,0.0914,3.174,g
27.2009,0.1627,22.4299,g
26.0756,0.2943,15.0673,g
25.9452,0.2921,24.248,g
30.694,0.163,37.1267,g
52.2513,0.1708,0.4811,g
81.3604,0.0937,8.8992,g
51.4525,0.2068,1.987,g
63.3379,0.0904,5.324,g
17.5084,0.3773,44.4946,g
41.5697,0.2351,1.109,g
64.8518,0.1504,4.86,g
62.5917,0.1258,4.523,g
58.8122,0.205,1.4238,g
71.0768,0.0987,5.2124,g
12.7148,0.37,7.3446,g
36.6283,0.1765,9.08,g
22.011,0.3112,17.602,g
29.1455,0.2134,7.2306,g
70.543,0.1614,7.888,g
25.7435,0.2808,8.982,g
83.05,0.1221,0.181,g
31.0309,0.2547,21.014,g
27.3397,0.2598,20.048,g
21.5363,0.3378,24.0767,g
20.2089,0.3882,24.451,g
38.149,0.1567,23.0914,g
33.9143,0.2228,13.4021,g
25.6468,0.1683,3.2549,g
16.8461,0.3214,31.5053,g
20.9328,0.4525,83.6972,g
43.7649,0.0871,17.3602,g
47.371,0.1811,3.4872,g
24.5973,0.2103,27.6555,g
12.803,0.3974,26.705,g
28.6808,0.2362,5.8695,g
30.1938,0.186,13.7154,g
38.5211,0.1312,2.0933,g
53.7323,0.0999,3.667,g
32.6392,0.1633,21.5727,g
70.4825,0.0992,4.159,g
37.8264,0.2164,8.9491,g
90.9844,0.102,1.811,g
98.6723,0.0715,0.6137,g
77.3151,0.1391,1.125,g
21.7361,0.2659,31.4724,g
21.5706,0.2313,44.497,g
41.4947,0.109,5.0887,g
37.4523,0.1823,13.1409,g
24.5139,0.3442,42.0438,g
28.7041,0.2289,33.5885,g
90.9977,0.1375,0.1023,g
17.2234,0.3439,2.7355,g
41.1346,0.1533,21.5,g
78.7587,0.1151,0.432,g
31.1218,0.1439,24.5146,g
28.8332,0.1913,5.8995,g
54.0937,0.1931,1.9538,g
33.1959,0.2902,6.484,g
84.2237,0.0858,0.0759,g
87.3797,0.1272,0.9488,g
26.9079,0.2656,34.9219,g
24.0471,0.268,31.0402,g
79.9539,0.1518,17.7108,g
44.2587,0.194,2.5856,g
47.8141,0.1141,12.0685,g
34.6295,0.1472,72.4438,g
32.7548,0.1735,2.2496,g
23.5163,0.1934,9.074,g
34.6136,0.1427,12.037,g
18.4188,0.306,4.5866,g
94.8313,0.2021,26.0542,g
106.671,0.1454,11.7482,g
33.8423,0.1959,14.9219,g
23.4415,0.2661,23.308,g
57.1656,0.1,12.267,g
26.8595,0.2152,3.9848,g
86.3828,0.0503,2.5861,g
26.7641,0.1625,32.534,g
29.3304,0.2326,19.395,g
21.9528,0.3013,27.259,g
28.8686,0.2495,26.025,g
63.805,0.0997,0.1897,g
74.0709,0.1404,8.7773,g
20.2643,0.27,12.4856,g
72.9495,0.0657,0.0857,g
31.1574,0.198,17.2362,g
35.7459,0.186,1.2204,g
52.1302,0.1428,1.8987,g
29.7859,0.1937,16.9344,g
16.871,0.3157,5.8091,g
75.8666,0.1307,16.1837,g
19.6241,0.3876,57.761,g
41.8047,0.1709,3.29,g
79.0025,0.0778,2.411,g
32.3989,0.2566,7.352,g
34.6492,0.2246,34.9593,g
18.3336,0.4988,13.7506,g
48.8212,0.1321,4.4742,g
58.4195,0.14,3.8408,g
101.936,0.0705,0.385,g
33.3917,0.2549,4.116,g
19.1668,0.3646,8.459,g
87.9035,0.172,3.7892,g
31.3688,0.1801,2.3965,g
22.1515,0.2712,48.964,g
18.9249,0.4661,18.7148,g
38.6204,0.127,5.8671,g
27.4888,0.1854,23.5868,g
30.4034,0.1735,52.828,g
25.1366,0.2163,42.499,g
23.224,0.3852,90,g
35.6443,0.2631,3.614,g
23.153,0.2006,27.621,g
13.2086,0.5696,46.255,g
21.3128,0.3611,7.096,g
40.8762,0.1859,11.808,g
51.6411,0.1097,0.314,g
60.5815,0.188,6.0049,g
23.9986,0.2297,10.8561,g
77.6016,0.0895,4.629,g
41.9841,0.1939,5.783,g
91.3763,0.0877,3.0507,g
18.2541,0.3421,57.6026,g
30.8978,0.2812,14.4319,g
97.1789,0.0496,2.833,g
83.7192,0.1783,5.007,g
27.4986,0.3343,43.9124,g
64.1003,0.0869,2.876,g
19.5431,0.284,50.575,g
72.8137,0.1631,12.275,g
60.8999,0.1107,0.072,g
23.715,0.2963,12.658,g
18.9053,0.3641,33.344,g
29.3669,0.2369,3.0025,g
18.7961,0.3129,82.2426,g
24.3806,0.2761,24.8729,g
49.3869,0.1247,5.7179,g
23.5348,0.2674,5.8248,g
101.25,0.1206,10.965,g
58.8321,0.0817,4.0456,g
49.1396,0.103,5.069,g
23.7506,0.2698,14.155,g
25.397,0.2453,45.87,g
23.2129,0.2859,5.932,g
70.457,0.1496,34.2372,g
33.6677,0.2023,6.971,g
76.5398,0.0757,2.2453,g
89.3906,0.0647,2.6602,g
128.703,0.1533,45.0304,g
51.9853,0.1665,3.241,g
32.7377,0.166,15.842,g
47.8875,0.0885,1.272,g
81.9748,0.1161,0.9621,g
18.405,0.3127,54.28,g
21.8358,0.2887,53.28,g
50.528,0.0675,6.658,g
19.3858,0.3896,37.454,g
36.7352,0.186,4.147,g
16.9777,0.3442,65.595,g
95.6239,0.0667,3.744,g
50.9098,0.1051,7.0487,g
24.2182,0.3293,84.1374,g
71.5951,0.1018,0.8714,g
