@relation automobile

@attribute Normalized-losses numeric
@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Num-of-doors {four,two}
@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Engine-location {front,rear}
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Peak-rpm numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
94,volkswagen,four,fwd,front,ohc,4800,2
104,saab,four,fwd,front,ohc,5250,2
104,saab,four,fwd,front,ohc,5250,2
164,audi,four,4wd,front,ohc,5500,2
134,toyota,two,rwd,front,ohc,4800,2
134,toyota,two,rwd,front,ohc,4800,2
134,toyota,two,rwd,front,ohc,4800,2
121,chevrolet,two,fwd,front,l,5100,2
83,subaru,two,fwd,front,ohcf,4900,2
122,volkswagen,two,fwd,front,ohc,4800,2
161,mitsubishi,two,fwd,front,ohc,5500,2
94,volkswagen,four,fwd,front,ohc,5500,2
161,mitsubishi,two,fwd,front,ohc,5500,2
83,subaru,two,4wd,front,ohcf,4400,2
137,honda,two,fwd,front,ohc,4800,2
192,bmw,two,rwd,front,ohc,5800,2
164,audi,four,fwd,front,ohc,5500,2
134,toyota,two,rwd,front,ohc,4800,2
94,volkswagen,four,fwd,front,ohc,5250,2
161,mitsubishi,two,fwd,front,ohc,5500,2
94,volkswagen,four,fwd,front,ohc,4500,2
134,toyota,two,rwd,front,ohc,4800,2
104,saab,four,fwd,front,dohc,5500,2
150,saab,two,fwd,front,ohc,5250,3
150,saab,two,fwd,front,ohc,5250,3
194,nissan,two,rwd,front,ohcv,5200,3
197,toyota,two,rwd,front,dohc,5200,3
197,toyota,two,rwd,front,dohc,5200,3
186,porsche,two,rwd,front,ohc,5500,3
142,mercedes-benz,two,rwd,front,ohcv,4750,3
150,saab,two,fwd,front,dohc,5500,3
145,dodge,two,fwd,front,ohc,5000,3
153,mitsubishi,two,fwd,front,ohc,5000,3
194,nissan,two,rwd,front,ohcv,5200,3
256,volkswagen,two,fwd,front,ohc,5500,3
