@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute Wheel-base numeric
@attribute Length numeric
@attribute Height numeric
@attribute Curb-weight numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Bore numeric
@attribute Stroke numeric
@attribute Compression-ratio numeric
@attribute Peak-rpm numeric
@attribute City-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
honda,hatchback,86.6,144.6,50.8,1713,ohc,2.91,3.41,9.6,4800,49,2
toyota,hardtop,98.4,176.2,52,2679,ohc,3.62,3.5,9.3,4800,24,2
volkswagen,sedan,97.3,171.7,55.7,2261,ohc,3.01,3.4,23,4800,37,2
toyota,hardtop,98.4,176.2,52,2540,ohc,3.62,3.5,9.3,4800,24,2
mitsubishi,hatchback,93.7,157.3,50.8,1918,ohc,2.97,3.23,9.4,5500,37,2
toyota,hatchback,98.4,176.2,52,2551,ohc,3.62,3.5,9.3,4800,24,2
bmw,sedan,101.2,176.8,54.3,2395,ohc,3.5,2.8,8.8,5800,23,2
mitsubishi,hatchback,93.7,157.3,50.8,2004,ohc,2.97,3.23,9.4,5500,31,2
audi,sedan,99.4,176.6,54.3,2824,ohc,3.19,3.4,8,5500,18,2
volkswagen,sedan,97.3,171.7,55.7,2212,ohc,3.19,3.4,9,5250,27,2
toyota,hatchback,98.4,176.2,52,2714,ohc,3.62,3.5,9.3,4800,24,2
toyota,hardtop,98.4,176.2,52,2536,ohc,3.62,3.5,9.3,4800,24,2
honda,hatchback,86.6,144.6,50.8,1819,ohc,2.91,3.41,9.2,6000,31,2
saab,sedan,99.1,186.6,56.1,2695,ohc,3.54,3.07,9.3,5250,21,2
subaru,hatchback,93.3,157.3,55.7,2240,ohcf,3.62,2.64,8.7,4400,26,2
chevrolet,hatchback,88.4,141.1,53.2,1488,l,2.91,3.03,9.5,5100,47,2
audi,sedan,99.8,176.6,54.3,2337,ohc,3.19,3.4,10,5500,24,2
volkswagen,sedan,97.3,171.7,55.7,2209,ohc,3.19,3.4,9,5250,27,2
saab,sedan,99.1,186.6,56.1,2847,dohc,3.54,3.07,9,5500,19,2
volkswagen,sedan,97.3,171.7,55.7,2275,ohc,3.19,3.4,9,5250,27,2
saab,sedan,99.1,186.6,56.1,2758,ohc,3.54,3.07,9.3,5250,21,2
volkswagen,sedan,97.3,171.7,55.7,2264,ohc,3.01,3.4,23,4800,37,2
volkswagen,sedan,97.3,171.7,55.7,2300,ohc,3.19,3.4,10,5500,26,2
subaru,hatchback,93.7,157.9,53.7,2120,ohcf,3.62,2.64,8.7,4400,26,2
nissan,hardtop,95.1,162.4,53.3,2008,ohc,3.15,3.29,9.4,5200,31,2
mitsubishi,hatchback,93.7,157.3,50.8,1944,ohc,2.97,3.23,9.4,5500,31,2
saab,hatchback,99.1,186.6,56.1,2658,ohc,3.54,3.07,9.31,5250,21,3
nissan,hatchback,91.3,170.7,49.7,3071,ohcv,3.43,3.27,9,5200,19,3
mitsubishi,hatchback,96.3,173,49.4,2328,ohc,3.35,3.46,8.5,5000,25,3
saab,hatchback,99.1,186.6,56.1,2808,dohc,3.54,3.07,9,5500,19,3
nissan,hatchback,91.3,170.7,49.7,3139,ohcv,3.43,3.27,7.8,5200,17,3
toyota,hatchback,102.9,183.5,52,3016,dohc,3.27,3.35,9.3,5200,19,3
toyota,hatchback,102.9,183.5,52,2976,dohc,3.27,3.35,9.3,5200,20,3
mitsubishi,hatchback,96.3,173,49.4,2370,ohc,3.17,3.46,7.5,5500,23,3
porsche,hatchback,94.5,168.9,50.2,2778,ohc,3.94,3.11,9.5,5500,19,3
volkswagen,hatchback,94.5,165.7,51.4,2221,ohc,3.19,3.4,8.5,5500,24,3
saab,hatchback,99.1,186.6,56.1,2707,ohc,2.54,2.07,9.3,5250,21,3
mercedes-benz,convertible,96.6,180.3,50.8,3685,ohcv,3.46,3.1,8.3,4750,16,3
