@relation phoneme

@attribute Ao numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.101,1.192,-0.406,0
-0.22,0.198,-0.066,0
1.047,-0.541,0,0
2.563,0.741,0,0
1.123,-0.485,-0.25,0
0.678,2.1,-0.546,0
0.308,0.983,-0.226,0
2.255,0.235,0.309,0
2.226,0.229,-0.139,0
1.068,1.394,-0.447,0
1.182,-0.099,-0.054,0
0.914,-0.813,-0.314,0
1.994,-0.126,0.103,0
1.951,-0.28,-0.175,0
1.094,-0.082,0.068,0
0.502,0.36,-0.184,0
0.565,1.958,-0.605,0
1.042,-0.786,0,0
0.336,-0.053,0.043,0
1.694,0.667,0,0
2.084,0.426,-0.289,0
0.977,1.29,-0.413,0
0.28,0.21,-0.075,0
0.562,0.474,0,0
3.296,0.887,-0.272,0
2.417,0.328,0,0
1.654,1.395,-0.389,0
2.9,1.17,-0.385,0
2.393,0.23,0.16,0
1.06,-0.676,-0.242,0
1.608,-0.121,0.108,0
1.161,0.103,0.107,0
0.315,-0.304,0.269,0
0.271,0.455,0,0
2.079,0.201,-0.252,0
1.929,-0.193,0,0
2.363,-0.153,0.235,0
3.283,0.342,-0.178,0
2.399,-0.498,0,0
1.36,-0.624,0.497,0
0.434,2.041,0,0
1.057,-0.822,0,0
0.977,-0.7,0,0
0.438,0.112,0.112,0
2.003,0.273,0.237,0
1.791,0.983,1.141,0
1.133,-0.736,-0.438,0
1.243,-0.757,0,0
1.36,-0.137,-0.092,0
0.532,0.922,2.4,0
0.333,1.505,1.15,0
2.971,0.257,-0.125,0
1.89,-0.65,-0.243,0
2.467,0.688,1.2,0
-0.374,-0.092,-0.065,0
2.107,0.809,0.411,0
1.393,-0.543,0,0
2.235,0.496,0,0
2.984,1.012,-0.351,0
1.584,-0.48,-0.233,0
1.746,-0.183,-0.103,0
1.116,-0.575,0,0
2.222,0.413,0.214,0
2.21,1.029,0,0
1.76,-0.406,-0.241,0
-0.356,0.091,-0.065,0
2.183,-0.115,-0.073,0
1.54,-0.76,0.65,0
2.185,0.206,0.252,0
1.031,-0.544,-0.228,0
3.013,0.295,0.19,0
-0.32,-0.081,0.082,0
3.198,0.31,0.274,0
0.675,-0.202,-0.083,0
3.052,0.951,-0.329,0
0.649,-0.833,-0.411,0
1.079,-0.341,-0.166,0
1.63,-0.571,0,0
1.673,0.405,-0.173,0
1.698,0.372,0,0
0.577,1.883,-0.557,0
2.259,0.252,0.343,0
1.896,1.479,-0.4,0
-0.273,0.27,-0.095,0
2.737,-0.185,0.169,0
1.389,-0.523,0,0
2.151,-0.176,-0.094,0
1.041,-0.754,-0.349,0
3.126,1.004,-0.27,0
-0.341,-0.061,0.066,0
-0.364,0.094,-0.072,0
1.782,0.448,0.192,0
2.041,0.237,0.216,0
0.46,0.909,0.646,0
1.995,-0.139,-0.105,0
1.373,0.453,0,0
1.214,-0.55,-0.535,0
0.388,2.153,-0.829,0
1.714,0.22,-0.097,0
1.66,-0.111,0.11,0
1.15,-0.751,-0.301,0
2.776,0.853,-0.224,0
0.792,-0.985,-0.459,0
1.876,-0.326,-0.158,0
2.561,0.802,0,0
-0.306,0.101,0.056,0
1.976,-0.43,0,0
2.254,-0.215,0,0
2.204,0.252,0.183,0
1.52,-0.129,-0.074,0
2.129,-0.441,0.542,0
-0.241,-0.127,-0.066,0
2.37,0.215,0.596,0
0.964,0.849,-0.257,0
1.569,0.332,0.285,0
2.334,-0.223,-0.137,0
3.001,-0.189,-0.166,0
1.58,0.498,0,0
1.892,0.715,0.741,0
0.488,0.094,-0.05,0
3.191,-0.27,-0.384,0
2.255,0.299,-0.229,0
0.841,2.023,-0.689,0
0.962,1.051,-0.38,0
1.595,0.716,-0.332,0
1.024,-0.854,0.656,0
2.215,0.337,-0.215,0
2.116,0.734,0.318,0
-0.372,0.878,1.853,0
2.047,-0.175,-0.092,0
-0.214,-0.075,0.073,0
0.333,-0.073,0.056,0
2.637,0.264,-0.277,0
0.969,-0.087,-0.056,0
0.928,0.965,0,0
2.307,0.378,0,0
1.912,-0.154,0.136,0
2.136,-0.165,-0.191,0
0.806,1.262,-0.458,0
0.365,0.981,1.464,0
-0.562,1.824,-0.622,0
0.882,0.07,0.078,0
1.352,-0.332,0.217,0
-0.26,-0.086,0.134,0
1.072,-0.603,-0.226,0
2.521,-0.152,-0.208,0
2.25,0.272,-0.117,0
1.266,0.394,-0.206,0
0.48,1.305,-0.543,0
2.524,-0.32,-0.179,0
0.33,0.226,-0.08,0
2.315,0.703,-0.293,0
1.292,-0.682,0,0
3.424,-0.259,-0.152,0
1.608,-0.123,-0.071,0
2.131,-0.297,0.746,0
0.648,0.138,-0.072,0
1.583,-0.152,-0.075,0
0.529,0.172,-0.064,0
1.14,0.11,0.066,0
1.656,0.186,0,0
1.555,-0.097,-0.066,0
2.903,-0.301,-0.153,0
1.413,-0.348,0.246,0
0.478,-0.757,1.83,0
0.822,-0.087,-0.055,0
0.464,0.257,0.292,0
2.603,-0.351,1.17,0
0.461,0.17,-0.065,0
2.142,0.457,0.301,0
-0.244,0.112,-0.058,0
1.607,-0.462,0,0
1.841,0.379,-0.141,0
0.345,1.171,1.321,0
1.059,-0.083,-0.055,0
1.794,-0.749,-0.285,0
0.709,0.406,-0.129,0
2.441,0.367,0.355,0
2.458,-0.202,0,0
2.345,0.399,1.167,0
2.466,0.345,0,0
0.932,0.177,-0.177,0
0.556,1.628,-0.863,0
0.574,1.189,0.572,0
2.221,-0.188,0,0
1.592,0.688,-0.41,0
1.533,0.902,0,0
1.087,-0.824,-0.381,0
1.534,0.118,0.069,0
2.796,-0.199,0.278,0
0.443,0.738,-0.721,0
1.258,-0.109,0.072,0
0.435,-0.27,-0.098,0
2.892,-0.239,-0.136,0
0.432,1.44,-0.784,0
1.149,-0.724,-0.426,0
1.703,0.721,0,0
0.843,0.104,0.104,0
0.994,-0.148,-0.079,0
1.351,-0.138,-0.28,0
0.855,0.124,0.102,0
0.309,-0.171,-0.13,0
2.496,-0.155,-0.107,0
3.151,0.284,-0.198,0
2.4,-0.164,-0.109,0
1.536,-0.623,-0.394,0
2.66,-0.164,0.148,0
0.728,-0.281,-0.239,0
1.629,0.648,0.387,0
2.072,0.758,0.423,0
2.187,0.686,0,0
2.007,0.607,1.433,0
1.004,0.976,0.544,0
0.54,-0.084,0.139,0
1.134,-0.518,-0.235,0
0.592,2.546,-0.849,0
0.385,-0.301,-0.118,0
1.072,-0.74,-0.456,0
0.508,0,0,0
0.617,1.041,-0.309,0
0.616,-0.064,-0.044,0
2.703,0.599,-0.229,0
0.511,2.272,-0.859,0
2.02,0.22,-0.1,0
0.592,-0.103,-0.056,0
2.261,0.275,-0.156,0
0.819,-0.627,-0.34,0
-0.895,-0.988,0,0
0.913,-0.687,-0.337,0
1.138,-0.456,0,0
0.813,-0.065,0.067,0
1.815,0.509,0,0
2.167,0.414,-0.364,0
0.607,0.203,-0.139,0
2.97,-0.158,-0.138,0
-0.477,-1.581,0,0
0.735,1.119,0.677,0
1.268,-0.841,-0.445,0
2.986,0.648,0.314,0
0.461,0.17,-0.066,0
1.703,0.333,-0.376,0
1.066,-0.443,-0.263,0
1.744,-0.203,0.156,0
0.875,1.127,-0.534,0
1.783,-0.661,-0.25,0
0.295,-0.621,0,0
1.931,-0.207,-0.128,0
2.741,0.602,1.173,0
0.525,1.087,2.552,0
1.933,-0.693,-0.27,0
0.834,0.083,0.085,0
0.325,0.874,1.973,0
0.356,1.763,1.424,0
1.585,1.371,-0.439,0
2.181,-0.223,0,0
0.532,0.087,0.071,0
1.876,-0.613,-0.267,0
2.515,0.553,-0.166,0
1.404,-0.152,-0.109,0
-0.52,-0.945,0,0
2.74,-0.316,0,0
1.276,-0.721,0,0
2.8,-0.204,0.239,0
1.067,-0.564,0,0
2.558,0.573,1.14,0
1.027,-0.859,0.611,0
0.54,-0.067,-0.038,0
3.211,-0.311,-0.169,0
0.624,1.077,0.457,0
3.092,0.28,0.162,0
1.627,0.171,-0.099,0
1.282,0.335,0,0
0.5,1.001,-1.017,0
0.529,0.172,-0.063,0
1.587,-0.339,-0.168,0
1.762,-0.448,0,0
0.889,0.09,-0.076,0
1.48,0.754,0,0
1.687,-0.63,0,0
2.235,0.508,-0.177,0
1.346,0.679,0,0
2.035,1.846,-0.496,0
1.31,-0.298,0.532,0
2.071,-0.198,-0.108,0
0.942,0.897,0.552,0
2.01,-0.156,-0.133,0
0.91,-0.616,0,0
1.933,-0.127,0.118,0
1.211,-0.578,-0.233,0
1.661,0.4,-0.164,0
1.8,0.468,-0.191,0
0.381,0.93,0,0
1.329,-0.099,0.112,0
0.548,1.984,-0.614,0
1.384,-0.112,-0.051,0
-0.458,0.264,-0.124,0
2.477,-0.484,1.482,0
1.995,-0.144,-0.087,0
0.302,0.853,1.596,0
0.455,0.576,0.307,0
0.728,0.112,0.121,0
-0.264,-0.067,-0.05,0
0.692,1.197,0,0
1.879,-0.597,0,0
1.209,-0.73,0,0
1.334,0.168,-0.081,0
0.316,0.091,-0.062,0
2.869,-0.386,-0.138,0
0.767,0.842,0.416,0
0.315,0.508,-0.253,0
0.65,0.525,-0.132,0
1.797,1.024,-0.274,0
3.104,-0.249,-0.125,0
3.531,0.293,-0.151,0
1.385,-0.612,-0.283,0
1.318,0.912,-0.24,0
-0.247,-0.062,-0.046,0
0.281,0.441,0,0
2.773,-0.168,0.145,0
2.793,-0.182,-0.125,0
2.404,0.259,0.435,0
0.961,-0.704,-0.379,0
1.697,-0.163,-0.105,0
0.753,-0.091,-0.053,0
1.686,-0.256,-0.17,0
1.432,0.129,-0.074,0
1.194,0.687,-0.474,0
1.034,0.187,0.2,0
1.241,0.175,-0.108,0
1.416,0.143,-0.079,0
-0.253,0.111,0.063,0
0.722,-0.205,0.589,0
1.41,0.134,-0.08,0
0.48,1.296,0.809,0
2.248,0.412,-0.189,0
1.128,-0.952,0,0
1.219,0.12,0.094,0
2.107,0.686,0,0
2.711,0.307,0.191,0
1.102,-0.87,0.507,0
0.72,0.088,0.091,0
0.558,2.347,-0.777,0
0.484,0.879,0.608,0
2.192,0.833,-0.228,0
0.562,0.148,-0.073,0
1.277,-0.605,0,0
2.597,0.523,0.313,0
2.083,0.189,0.219,0
-0.805,-0.151,-0.112,0
0.51,0.16,-0.06,0
-1.038,-0.736,-0.35,0
1.191,-0.277,-0.122,0
2.105,-0.564,0,0
-0.227,1.332,1.273,0
2.681,-0.278,-0.178,0
1.798,0.921,0.707,0
1.443,0.381,-0.14,0
1.385,-0.401,-0.204,0
0.845,-0.56,-0.294,0
2.31,-0.207,-0.101,0
0.509,0.16,-0.06,0
0.925,1.064,0.419,0
0.596,0.842,0.8,0
1.411,0.649,0,0
2.125,-0.158,0.155,0
1.097,-0.596,-0.315,0
2.567,-0.188,-0.122,0
1.136,-0.517,0,0
3.341,-0.294,0.625,0
1.252,0.438,-0.234,0
2.222,-0.362,1.473,0
2.375,0.523,0.792,0
0.469,2.082,-0.998,0
1.764,1.052,-0.489,0
1.581,0.274,0,0
1.574,0.62,0,0
0.521,-0.263,-0.096,0
0.392,2.189,-0.911,0
1.288,0.442,-0.23,0
2.047,-0.248,-0.124,0
1.039,0.679,-0.163,0
0.442,1.157,0.813,0
2.483,-0.239,0.203,0
2.862,0.538,0.59,0
1.051,-0.564,0,0
1.81,-0.41,-0.259,0
-1.045,-0.444,-0.286,0
1.107,1.18,0,0
3.026,-0.198,-0.133,0
1.606,0.258,0.144,0
2.773,0.247,0.156,0
0.303,2.092,-0.919,0
0.351,-0.052,0.045,0
2.408,0.345,1.087,0
1.247,0.482,-0.184,0
1.678,0.324,0.158,0
2.428,-0.169,-0.112,0
1.375,-0.083,0.087,0
3.17,-0.281,0.197,0
0.795,1.06,-0.347,0
1.529,-0.101,0.092,0
2.023,0.649,0,0
2.268,0.19,-0.181,0
0.384,0.525,-0.853,0
0.35,1.463,-0.372,0
1.341,-0.489,-0.206,0
2.579,0.724,0.488,0
2.258,-0.462,0.786,0
2.723,-0.269,-0.134,0
2.037,-0.176,-0.103,0
2.467,-0.213,-0.121,0
0.353,1.399,-0.418,0
0.933,-0.742,-0.617,0
1.697,0.283,-0.18,0
2.257,-0.238,-0.246,0
1.165,-0.565,-0.24,0
0.254,0.383,-0.375,0
1.473,-0.073,0.09,0
0.937,1.064,-0.499,0
0.875,1.339,-0.557,0
0.719,-0.26,-0.104,0
3.129,0.289,0.196,0
1.654,-0.351,-0.165,0
1.516,0.236,-0.187,0
2.541,-0.165,0.153,0
0.892,1.609,-0.446,0
0.553,0.607,-0.161,0
1.486,0.661,-0.224,0
2.757,0.513,0.83,0
2.481,0.572,-0.183,0
-0.273,0.11,-0.06,0
1.135,-0.517,-0.274,0
1.504,-0.766,0,0
1.908,0.25,-0.18,0
0.458,0,0,0
0.532,1.668,-0.542,0
0.757,0.896,0.515,0
2.227,-0.225,0.161,0
1.178,0.242,-0.067,0
1.71,-0.171,-0.118,0
2.71,-0.185,0.236,0
0.359,0.149,-0.081,0
1.59,0.486,-0.201,0
2.252,0.403,-0.207,0
0.274,1.426,1.803,0
0.476,-0.264,-0.097,0
2.369,-0.198,-0.127,0
-0.28,0.077,-0.052,0
0.989,0.537,0.408,0
0.729,1.448,-0.469,0
2.426,1.775,-0.545,0
0.333,1.17,1.056,0
2.524,0.238,0.168,0
1.882,-0.157,-0.102,0
0.469,0.092,0.089,0
1.067,0.472,0.444,0
1.321,-0.503,-0.229,0
1.414,-0.728,0,0
2.591,0.534,-0.175,0
0.346,2.196,-0.645,0
2.386,0.321,-0.136,0
0.41,0.671,0.478,0
2.114,-0.191,-0.116,0
0.901,1.194,-0.555,0
0.69,-0.778,-0.532,0
1.18,0.683,-0.224,0
2.482,-0.218,-0.115,0
3.03,0.243,0.48,0
1.152,-0.477,-0.201,0
1.521,-0.514,0,0
0.317,2.224,-0.794,0
1.328,-0.314,0.194,0
0.824,-0.182,-0.131,0
1.127,-0.784,-0.377,0
2.681,-0.181,-0.12,0
0.344,0.476,-0.469,0
1.077,0.769,-0.206,0
1.772,0.206,0.137,0
1.061,0.115,-0.061,0
1.97,1.191,-0.329,0
2.24,-0.171,0,0
1.307,-0.079,-0.059,0
0.279,0.21,-0.075,0
-0.254,0.081,0.068,0
2.01,-0.395,0,0
0.732,0.872,-0.346,0
1.276,-0.635,-0.376,0
0.966,0.107,0.116,0
0.36,-0.266,-0.128,0
1.271,0.122,0.098,0
0.585,2.38,0,0
0.427,2.152,-0.796,0
1.009,0.366,-0.179,0
0.475,2.294,-0.962,0
2.024,0.33,0,0
0.548,0.161,0.286,0
0.477,0.926,0.48,0
2.35,0.183,-0.108,0
0.772,0.123,0.089,0
1.607,-0.109,0.11,0
0.293,0.075,0.061,0
0.582,0.077,-0.038,0
0.98,-0.092,-0.039,0
0.593,1.203,0,0
2.532,-0.158,0.272,0
1.762,0.454,0.18,0
1.755,-0.111,0.103,0
1.762,0.454,-0.18,0
-0.271,-0.078,0.071,0
1.082,-0.239,-0.107,0
3.131,0.324,0.76,0
0.261,1.385,1.829,0
2.521,0.648,-0.272,0
0.902,-0.648,-0.342,0
2.498,0.243,-0.301,0
0.855,0.084,0.085,0
0.522,1.39,-0.38,0
0.639,0.13,-0.053,0
2.265,0.677,-0.341,0
0.825,-0.527,-0.319,0
0.387,1.019,-0.339,0
0.968,1.022,-0.311,0
1.315,-0.834,-0.44,0
1.016,-0.401,0.533,0
1.545,0.181,-0.087,0
0.393,-0.093,-0.059,0
0.579,0.845,0,0
1.07,-0.085,-0.051,0
2.006,-0.173,-0.111,0
1.596,0.413,-0.174,0
2.226,-0.161,-0.096,0
0.753,0.723,1.293,0
1.247,-0.914,-0.366,0
0.58,1.811,-0.513,0
0.326,-0.788,1.599,0
2.854,-0.195,-0.129,0
1.653,0.205,-0.084,0
0.81,0.158,0.16,0
0.63,0.407,-0.137,0
0.617,0.897,0,0
0.526,1.757,0,0
3.059,0.61,-0.238,0
2.536,1.041,-0.288,0
1.163,-0.499,-0.2,0
0.468,0.798,0,0
1.589,-0.226,-0.113,0
0.268,0.081,-0.082,0
0.389,-0.617,1.555,0
2.368,-0.297,-0.264,0
0.551,0.686,0.4,0
2.614,0.512,1.169,0
1.781,0.491,1.106,0
-0.282,0.503,-0.216,0
0.774,1.578,-0.523,0
2.179,0.58,-0.233,0
0.683,-0.781,0.376,0
1.03,0.792,0.411,0
1.506,-0.684,0,0
0.652,-0.063,0.056,0
0.818,0.094,0.065,0
0.433,2.012,0,0
1.75,-0.226,0.132,0
0.387,1.019,-0.337,0
2.197,-0.19,0,0
0.557,0.181,-0.065,0
1.605,0.236,-0.099,0
2.882,-0.355,0.216,0
0.788,0.133,-0.159,0
0.661,0.084,-0.036,0
1.616,-0.138,0,0
2.682,0.317,0.194,0
0.949,-0.656,-0.315,0
0.789,0.075,-0.059,0
0.643,0.697,-0.178,0
-0.31,0.612,-0.171,0
0.546,1.965,-0.617,0
2.152,-0.244,0.185,0
0.341,0.148,-0.076,0
0.314,1.544,0,0
1.26,0.157,-0.167,0
-0.267,-0.069,-0.059,0
0.556,0.928,-0.413,0
2.259,-0.148,-0.081,0
1.029,-0.799,-0.338,0
1.224,0.494,-0.539,0
2.498,0.347,-0.137,0
1.644,-0.183,-0.11,0
2.69,-0.337,0.813,0
1.569,-0.262,-0.131,0
1.351,-0.64,0,0
2.564,0.347,0.227,0
0.514,2.127,-0.652,0
1.662,-0.636,0,0
2.31,-0.157,0.245,0
0.673,1.399,-0.4,0
-0.234,-0.073,0.081,0
1.082,0.137,0.104,0
3.36,0.593,0.305,0
2.072,0.583,0.856,0
1.421,-0.121,-0.085,0
2.24,0.233,-0.237,0
3.293,0.312,0.375,0
1.247,0.146,0.269,0
2.928,-0.189,-0.133,0
1.651,-0.547,-0.289,0
0.349,1.461,-0.371,0
-0.239,-0.06,-0.045,0
2.158,-0.259,0,0
1.589,-0.863,0,0
1.226,0.35,-0.135,0
3.344,0.751,-0.27,0
2.921,-0.222,-0.139,0
3.553,-0.26,-0.159,0
1.371,-0.6,0.559,0
2.064,0.508,-0.266,0
1.503,0.369,-0.164,0
0.892,0.848,-0.513,0
1.141,-0.548,-0.229,0
0.729,1.728,0,0
1.156,-0.077,0,0
0.732,0.092,-0.046,0
0.657,-0.331,-0.123,0
0.89,0.245,0.556,0
1.636,-0.134,0.125,0
2.143,0.522,0.291,0
1.277,-0.574,0,0
0.571,1.128,-0.35,0
2.493,0.301,-0.159,0
0.407,-0.081,-0.049,0
0.278,0.118,-0.056,0
0.56,0.476,0.341,0
1.105,-0.101,0,0
1.041,-0.535,-0.257,0
-0.312,-0.075,-0.053,0
0.814,1.07,0,0
0.46,0.909,0.646,0
0.65,-0.071,0.047,0
3.556,-0.25,-0.14,0
0.573,2.191,0,0
1.133,-0.701,0,0
0.603,0.145,-0.163,0
0.997,0.117,-0.063,0
2.246,0.255,0.281,0
2.52,-0.137,-0.09,0
1.502,0.897,0,0
0.384,-0.353,-0.129,0
0.281,-0.397,0.269,0
2.577,0.771,-0.241,0
2.074,-0.181,-0.104,0
0.576,1.092,0.594,0
1.784,0.656,-0.307,0
2.585,-0.175,-0.116,0
0.334,1.189,0,0
2.114,0.224,0.14,0
1.164,-0.662,0,0
0.629,-0.085,-0.062,0
0.857,0.725,0.368,0
2.192,0.264,-0.166,0
0.316,-0.883,0,0
3.104,0.845,-0.233,0
0.823,1.83,-0.441,0
2.01,-0.128,0.12,0
2.559,-0.147,0.173,0
1.88,0.719,0.725,0
1.113,-0.076,0.069,0
1.05,0.202,-0.089,0
0.266,0.194,-0.063,0
1.536,-0.114,0,0
0.671,1.02,0.347,0
0.466,0.103,-0.047,0
2.84,-0.189,-0.12,0
0.362,-0.07,0.052,0
0.284,-0.574,2.136,0
2.018,0.504,0,0
0.707,-0.691,0.311,0
2.771,0.249,-0.268,0
2.47,0.231,0.158,0
3.902,-0.353,-0.15,0
-0.268,0.12,-0.114,0
1.306,-0.523,0.519,0
3.21,0.411,0.834,0
1.555,0.271,0.149,0
2.283,1.456,-0.431,0
3.054,0.31,0.201,0
0.855,0.851,0.525,0
0.823,0.086,-0.076,0
1.875,0.366,0,0
1.796,-0.752,-0.257,0
1.349,-0.08,0.104,0
3.544,0.456,0.484,0
0.838,-0.714,-0.61,0
2.497,0.278,0.175,0
1.01,0.449,0.561,0
1.681,-0.238,-0.174,0
0.343,-0.59,1.742,0
0.529,-0.704,0.382,0
-0.302,-0.083,-0.061,0
0.395,0.544,0,0
2.098,0.29,-0.207,0
0.487,1.298,0.693,0
1.11,-0.08,-0.047,0
1.46,0.674,-0.25,0
-0.277,0.122,-0.103,0
1.266,1.077,-0.376,0
1.306,0.18,-0.062,0
1.419,-0.713,0,0
1.101,-0.082,-0.06,0
1.165,-0.1,-0.065,0
3.137,0.545,0.249,0
1.413,0.194,-0.141,0
0.432,1.902,-0.875,0
2.243,-0.199,-0.175,0
0.355,0.095,-0.047,0
1.423,-0.459,-0.233,0
2.664,1.123,-0.381,0
1.503,-0.632,0,0
-0.469,-1.177,0.734,0
0.884,0.341,-0.452,0
1.697,0.284,-0.18,0
1.153,-0.34,-0.169,0
1.21,0.435,0.55,0
2.131,0.323,0.803,0
0.78,-0.092,-0.053,0
1.599,0.28,-0.11,0
-0.242,0.188,-0.095,0
0.796,-0.066,0.053,0
1.611,-0.3,-0.126,0
2.334,-0.175,-0.109,0
0.416,-0.078,0.075,0
0.403,0.1,-0.068,0
0.774,-0.091,0.111,0
1.399,-0.1,-0.055,0
2.678,0.32,0.365,0
2.633,-0.305,0.163,0
1.034,-0.555,0,0
1.439,0.391,0.324,0
2.086,0.343,-0.136,0
-0.238,0.089,0.09,0
1.089,0.296,0.126,0
0.34,0.085,0.108,0
0.256,0.389,-0.342,0
1.291,-0.639,-0.415,0
-0.36,-0.085,-0.072,0
1.426,-0.145,-0.088,0
1.836,0.236,-0.167,0
1.719,-0.388,1.409,0
2.884,-0.377,-0.143,0
0.409,0.994,1.09,0
1.223,-0.469,-0.184,0
0.99,0.14,0.135,0
1.978,0.354,0.2,0
0.496,0.781,0,0
2.197,0.634,-0.3,0
1.007,0.304,0,0
1.737,-0.445,0,0
1.631,0.345,0,0
0.311,0.623,-0.857,0
0.484,1.913,-0.599,0
0.551,1.942,-0.836,0
1.752,-0.341,0,0
1.169,0.234,-0.066,0
2.58,-0.237,-0.133,0
0.542,-0.615,0,0
1.792,-0.124,-0.081,0
0.203,0.483,0,0
1.612,0.529,0.511,0
2.166,0.594,-0.172,0
2.386,0.24,0.164,0
1.996,0.21,0.141,0
1.336,-0.104,0.12,0
2.68,0.265,0.168,0
0.732,0.065,0.047,0
3.115,1.223,-0.401,0
