@relation phoneme

@attribute Ao numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
-0.372,1.853,0
0.721,0.112,0
0.346,-0.645,0
0.469,0,0
1.716,1.298,0
0.873,-0.398,0
1.313,0,0
0.416,0.075,0
0.545,-0.256,0
2.227,0.161,0
0.88,-0.035,0
1.017,0.131,0
0.478,1.83,0
2.079,-0.252,0
2.04,0,0
0.598,0.329,0
1.17,0.573,0
1.054,0,0
0.531,-0.058,0
0.344,1.165,0
1.605,-0.099,0
3.341,0.625,0
1.644,-0.11,0
0.875,-0.06,0
1.875,-0.38,0
2.167,1.125,0
0.914,-0.314,0
-0.272,-0.073,0
1.991,-0.413,0
1.637,0.157,0
3.137,0.249,0
2.524,-0.197,0
-0.277,-0.103,0
2.174,0,0
1.697,-0.18,0
1.481,-0.219,0
0.721,-0.19,0
0.776,0.561,0
0.28,0.529,0
1.455,-0.131,0
0.901,-0.555,0
1.504,0,0
2.4,-0.109,0
1.78,0.097,0
3.054,0.201,0
2.204,1.072,0
2.75,0.188,0
1.781,1.106,0
1.016,0.533,0
0.996,-0.087,0
1.955,0.271,0
1.102,0.507,0
2.243,-0.175,0
2.213,-0.195,0
0.463,0.292,0
2.12,-0.11,0
1.132,0,0
1.416,-0.079,0
2.317,-0.404,0
2.637,-0.136,0
1.166,-0.404,0
0.504,-0.089,0
-0.434,-0.056,0
2.175,-0.153,0
0.964,-0.625,0
2.815,-0.284,0
2.549,0.229,0
3.126,-0.27,0
0.679,0.73,0
1.081,0.313,0
1.482,-0.101,0
2.86,-0.379,0
2.446,0,0
1.039,-0.163,0
2.998,-0.144,0
0.99,0,0
0.679,0,0
1.214,-0.214,0
0.584,0.057,0
2.692,0.166,0
0.293,0.061,0
0.559,-0.597,0
2.811,-0.131,0
1.268,0,0
3.172,-0.135,0
0.589,-0.769,0
2.3,0,0
0.966,-0.266,0
0.986,0,0
0.606,0,0
1.141,-0.211,0
0.33,-0.08,0
0.381,0,0
2.014,-0.103,0
1.695,0.15,0
1.605,0.942,0
0.572,-0.062,0
1.179,-0.148,0
0.521,-0.096,0
0.438,-0.155,0
2.737,0.169,0
1.356,0,0
0.925,-0.05,0
1.088,0.071,0
1.193,0,0
1.661,-0.164,0
0.532,2.4,0
1.624,0.394,0
2.34,-0.406,0
0.867,0,0
1.127,-0.377,0
0.972,-0.449,0
2.735,-0.145,0
0.526,0,0
0.97,0.128,0
2.394,0,0
1.932,0.148,0
2.649,-0.486,0
1.079,-0.099,0
2.373,0.307,0
0.477,0.997,0
1.295,0.202,0
1.291,-0.517,0
1.763,0.188,0
2.265,-0.341,0
1.053,-0.303,0
1.266,0.764,0
1.804,-0.172,0
0.736,1.062,0
1.276,0.385,0
0.359,-0.081,0
1.071,-0.058,0
1.253,0,0
2.283,-0.431,0
2.696,0,0
-0.254,-0.06,0
1.211,-0.233,0
1.76,-0.241,0
2.038,0.099,0
1.234,-0.275,0
0.604,-0.061,0
1.283,-0.137,0
1.352,0.217,0
1.019,-0.166,0
1.042,-0.221,0
0.894,-0.441,0
0.737,0.065,0
2.165,0,0
2.013,-0.234,0
0.98,-0.039,0
2.167,-0.364,0
0.69,0.072,0
1.027,0,0
0.814,0,0
0.511,-1.007,0
2.48,-0.194,0
1.896,0,0
2.902,-0.328,0
1.159,0.333,0
2.482,-0.184,0
0.734,-0.447,0
1.224,-0.308,0
0.369,-0.919,0
2.557,-0.099,0
0.78,-0.06,0
1.796,-0.257,0
1.26,-0.167,0
2.805,-0.22,0
0.265,-0.047,0
2.235,-0.177,0
1.196,-0.143,0
1.042,0,0
1.436,-0.102,0
0.924,0.076,0
1.752,-0.183,0
1.11,-0.058,0
2.52,-0.173,0
0.279,-0.623,0
-0.234,-0.085,0
2.26,0.172,0
2.739,-0.318,0
1.216,-0.238,0
0.282,0,0
1.569,0.285,0
2.511,-0.341,0
1.517,-0.125,0
-0.292,-0.085,0
1.478,0.593,0
2.984,-0.174,0
2.093,0.166,0
-0.78,0,0
3.227,0.814,0
1.008,-0.305,0
0.618,0.418,0
3.176,0.593,0
0.317,-0.794,0
2.636,-0.23,0
1.607,0,0
0.728,0.121,0
1.097,-0.316,0
-0.829,0,0
0.786,0.081,0
0.679,-0.092,0
0.966,-0.097,0
2.221,0,0
1.074,-0.467,0
0.614,0.101,0
1.128,0,0
1.039,-0.372,0
1.546,-0.422,0
0.565,-0.605,0
1.095,0,0
1.765,1.245,0
0.585,-0.05,0
2.527,0,0
3.202,0,0
1.73,-0.074,0
-0.321,-0.684,0
1.585,1.123,0
2.625,-0.194,0
0.557,-0.066,0
1.952,-0.176,0
2.204,-0.259,0
3.296,-0.272,0
1.695,-0.163,0
3.013,0.19,0
2.197,0,0
2.006,-0.111,0
2.481,-0.215,0
0.786,0.062,0
1.405,-0.255,0
0.345,-1.246,0
2.011,0,0
2.417,0.202,0
1.523,-0.398,0
1.155,0,0
0.338,-1.026,0
0.995,0.525,0
2.015,-0.427,0
1.736,0.304,0
1.267,-0.212,0
1.178,-0.067,0
1.759,1.618,0
2.031,-0.132,0
0.276,0,0
2.064,-0.266,0
0.712,-0.061,0
1.545,-0.087,0
2.186,0.219,0
1.866,-0.136,0
2.766,-0.132,0
0.27,-0.529,0
0.977,0,0
2.619,-0.155,0
0.726,0,0
1.221,-0.285,0
1.895,-0.116,0
0.353,-0.418,0
1.424,-0.308,0
2.408,-0.311,0
1.396,0.073,0
1.838,-0.269,0
0.804,-0.378,0
0.355,0,0
0.329,-0.079,0
1.875,0.272,0
0.557,-0.625,0
0.758,-0.044,0
3.66,-0.159,0
1.684,-0.231,0
0.476,-0.05,0
0.306,-0.065,0
2.197,-0.3,0
0.553,-0.571,0
2.597,-0.113,0
-0.306,-0.065,0
1.25,-0.497,0
1.398,0.206,0
0.667,2.286,0
1.195,0,0
2.057,0.848,0
1.232,-0.391,0
0.38,0,0
1.608,-0.071,0
2.476,-0.365,0
1.827,-0.133,0
2.118,0.134,0
1.692,1.608,0
2.018,0,0
0.319,0,0
1.327,-0.236,0
1.223,-0.1,0
0.808,-0.578,0
0.461,-0.066,0
1.064,0.187,0
2.716,-0.387,0
4.32,-0.162,0
2.214,-0.119,0
0.583,0.062,0
0.671,0,0
1.351,-0.322,0
0.282,-0.059,0
1.828,0.12,0
1.851,-0.11,0
2.796,0.278,0
1.435,0,0
0.943,-0.234,0
1.108,-0.201,0
0.709,-0.129,0
2.759,-0.13,0
1.317,-0.214,0
0.79,0,0
2.724,0.299,0
-0.242,-0.095,0
2.633,0.163,0
1,-0.365,0
0.577,0.075,0
2.253,0.1,0
-0.242,-0.095,0
1.354,-0.324,0
1.376,-0.095,0
1.178,1.184,0
0.261,1.829,0
1.104,-0.208,0
1.497,0.254,0
0.278,-0.056,0
1.148,0,0
2.284,0.19,0
0.359,-0.102,0
2.482,-0.115,0
1.408,-0.073,0
1.637,-0.107,0
2.185,0.252,0
2.209,0.106,0
0.81,0.105,0
2.018,-0.291,0
0.411,0.104,0
0.836,0,0
1.147,0,0
0.927,-0.117,0
0.652,0.056,0
3.124,-0.366,0
1.547,-0.268,0
2.849,0.382,0
-1.17,-0.315,0
0.309,-0.225,0
1.286,0,0
0.853,0.525,0
1.999,-0.225,0
2.186,0.149,0
2.97,-0.138,0
-0.29,-0.044,0
2.258,0.224,0
2.405,-0.101,0
0.78,0.533,0
1.247,-0.517,0
1.531,-0.424,0
2.386,-0.136,0
2.062,-0.369,0
0.28,0,0
2.97,0.151,0
-0.32,-0.06,0
0.269,-0.528,0
0.796,0.053,0
1.574,0,0
1.78,-0.232,0
2.21,0,0
1.148,0.628,0
1.379,0,0
-0.788,-0.152,0
2.117,0.161,0
1.249,0,0
2.156,0.201,0
0.453,-0.71,0
1.634,-0.093,0
1.372,1.309,0
0.52,0,0
2.581,-0.123,0
2.426,-0.545,0
0.36,0,0
1.763,0,0
2.597,0.313,0
0.857,0.368,0
0.774,0.111,0
1.297,-0.101,0
1.066,-0.263,0
1.86,0.127,0
0.696,0,0
1.334,0.087,0
2.254,0.156,0
0.458,0,0
0.472,0.073,0
3.191,-0.136,0
-0.458,-0.124,0
3.055,-0.128,0
0.967,0,0
1.436,-0.102,0
0.617,0,0
0.316,0,0
1.973,-0.112,0
2.825,-0.128,0
1.636,0.125,0
0.704,-0.227,0
1.044,0,0
0.375,0,0
1.63,0,0
0.46,0.646,0
2.986,0.314,0
2.279,-0.253,0
0.378,1.297,0
2.139,-0.089,0
1.148,1.274,0
0.647,0.448,0
0.35,0,0
0.704,0,0
2.58,-0.133,0
1.505,0.231,0
0.998,-0.296,0
-0.263,-0.057,0
2.591,0.133,0
0.286,0,0
2.741,-0.141,0
1.137,0,0
0.9,-0.544,0
0.862,-0.423,0
1.929,-0.321,0
1.448,0,0
1.055,0.344,0
3.405,-0.192,0
0.457,-0.042,0
-0.31,-0.171,0
-0.797,-0.069,0
0.953,-0.166,0
2.118,1.555,0
0.51,-0.06,0
0.544,2.112,0
0.432,-0.875,0
1.204,-0.32,0
1.432,0.651,0
1.114,0.072,0
0.765,-0.35,0
0.326,1.145,0
1.13,0.064,0
2.129,1.019,0
0.49,-0.561,0
0.331,0,0
1.554,0.163,0
0.274,1.638,0
0.657,-0.123,0
1.473,0,0
0.338,1.814,0
1.306,0.519,0
1.155,0,0
0.35,-0.372,0
0.438,-0.849,0
1.908,-0.18,0
1.009,-0.179,0
2.885,1.117,0
1.185,0,0
0.267,1.695,0
0.481,0.077,0
2.873,-0.115,0
2.32,-0.427,0
2.591,-0.121,0
0.33,-0.736,0
0.496,-0.149,0
0.648,-0.049,0
0.907,-0.371,0
2.236,-0.279,0
1.117,-0.257,0
1.995,-0.087,0
1.543,-0.128,0
0.579,-0.912,0
1.087,-0.381,0
0.544,-0.072,0
0.349,-0.115,0
1.855,-0.106,0
1.963,-0.122,0
1.461,-0.268,0
0.556,-0.863,0
0.78,0.088,0
3.459,0.332,0
2.524,0.168,0
0.376,0,0
0.433,-0.535,0
1.318,0.472,0
2.369,-0.127,0
0.579,0.073,0
0.583,0.089,0
-0.301,-0.053,0
0.966,1.151,0
-0.276,-0.053,0
0.373,0,0
2.799,-0.305,0
2.028,-0.096,0
2.012,-0.31,0
0.306,-0.666,0
2.15,-0.107,0
0.258,1.838,0
2.037,0,0
2.114,0.14,0
2.16,0.151,0
1.063,-0.21,0
0.46,0,0
-0.275,-0.074,0
0.49,-0.561,0
1.782,-0.192,0
0.36,-0.08,0
0.972,-0.45,0
0.575,0,0
3.042,-0.206,0
-0.281,0.062,0
2.73,-0.122,0
0.875,0.067,0
1.746,-0.103,0
3.108,0.162,0
-0.304,0.057,0
1.372,-0.067,0
1.604,0.715,0
2.122,-0.126,0
2.494,0,0
2.364,-0.152,0
1.877,-0.106,0
-0.239,-0.045,0
2.105,-0.103,0
0.729,-0.088,0
1.5,-0.282,0
3.104,0.78,0
3.198,0.274,0
0.607,-0.053,0
1.472,-0.172,0
2.494,1.185,0
0.944,0,0
1.773,-0.324,0
3.136,-0.316,0
0.491,0.071,0
1.585,-0.128,0
1.929,-0.234,0
2.462,0,0
0.234,-1.092,0
2.342,0.135,0
0.769,-0.051,0
0.592,-0.092,0
0.408,-0.751,0
0.88,-0.453,0
1.464,0,0
1.312,-0.201,0
2.984,-0.202,0
2.973,-0.153,0
1.06,0.682,0
2.098,-0.433,0
3.393,-0.17,0
0.283,-0.06,0
0.581,0.06,0
1.828,0,0
2.421,-0.193,0
0.841,-0.689,0
0.567,0.398,0
2.28,0.114,0
0.355,0.063,0
0.454,0.692,0
0.542,-0.452,0
0.799,-0.641,0
2.028,0,0
2.344,-0.119,0
2.561,0,0
2.759,-0.121,0
2.221,-0.21,0
1.714,-0.296,0
0.775,0.25,0
2.074,-0.135,0
0.569,0,0
2.317,-0.305,0
2.452,0,0
0.482,-0.18,0
3.32,-0.151,0
1.265,-0.197,0
1.135,-0.139,0
3.296,-0.272,0
1.209,-0.305,0
0.61,-0.77,0
0.284,2.136,0
1.81,-0.085,0
1.389,0,0
0.694,0.08,0
0.48,-0.114,0
2.005,0,0
3.151,-0.198,0
1.8,-0.086,0
2.06,-0.113,0
0.471,0.119,0
1.034,0,0
1.686,-0.17,0
1.368,-0.421,0
1.38,-0.075,0
0.617,-0.363,0
0.705,0,0
1.057,0,0
1.52,-0.074,0
3.489,0.273,0
0.605,1.161,0
0.603,1.325,0
2.222,0.214,0
2.883,-0.139,0
1.859,0.666,0
1.149,-0.426,0
-0.245,-0.069,0
1.129,0.291,0
0.538,0,0
0.417,0,0
0.925,-0.137,0
1.416,-0.077,0
2.85,1.132,0
0.888,-0.329,0
1.78,0.361,0
2.258,0.786,0
1.58,0,0
1.283,0.078,0
1.911,0.154,0
0.58,-0.513,0
2.994,0.713,0
0.502,-0.184,0
2.603,1.17,0
1.684,0.113,0
1.749,0,0
0.378,1.794,0
1.141,0.132,0
2.454,0,0
2.418,0.225,0
3.059,-0.238,0
2.694,-0.14,0
1.697,-0.105,0
-0.393,-0.055,0
0.453,1.138,0
2.47,0.158,0
0.888,-0.601,0
1.433,-0.189,0
2.432,0.214,0
0.309,-0.559,0
1.186,-0.272,0
2.574,-0.188,0
1.245,0.656,0
1.333,0,0
0.452,1.046,0
0.493,0,0
2.203,-0.34,0
1.196,-0.416,0
0.767,0.099,0
2.143,-0.234,0
1.858,-0.502,0
0.954,0.083,0
0.581,0.081,0
1.872,0.116,0
2.335,-0.117,0
1.822,0.271,0
0.996,-0.052,0
0.612,0,0
1.041,-0.47,0
0.577,-0.557,0
1.385,-0.283,0
3.172,-0.153,0
2.148,-0.12,0
0.64,-0.738,0
1.697,-0.102,0
1.627,-0.099,0
0.361,-0.665,0
2.79,-0.17,0
1.941,-0.075,0
1.607,0.11,0
2.852,-0.176,0
1.871,0,0
0.672,0,0
0.251,0,0
2.6,0.2,0
0.831,-0.124,0
1.274,-0.061,0
0.69,-0.532,0
0.933,-0.617,0
0.628,0.731,0
1.13,-0.323,0
0.438,0,0
2.372,-0.109,0
2.437,-0.174,0
0.904,-0.314,0
1.056,-0.264,0
0.476,0,0
0.979,-0.261,0
0.341,-0.076,0
0.268,-1.052,0
2.142,0.301,0
0.554,-0.145,0
0.316,0.062,0
2.162,-0.164,0
1.41,-0.08,0
1.823,-0.137,0
0.405,0.939,0
2.308,-0.122,0
2.272,0.744,0
1.034,0,0
2.793,-0.125,0
3.563,-0.141,0
0.649,-0.411,0
0.797,-0.076,0
1.892,0.742,0
0.344,-0.469,0
1.456,0,0
0.446,0,0
0.774,-0.056,0
2.374,-0.258,0
0.477,0.48,0
2.923,0.19,0
1.178,0.242,0
2.138,0.265,0
2.087,0.245,0
2,0.81,0
0.424,-0.055,0
0.719,-0.104,0
1.647,-0.06,0
0.89,-0.557,0
2.495,0,0
0.245,0,0
2.071,-0.108,0
2.024,-0.397,0
1.226,-0.135,0
2.892,-0.136,0
2.084,-0.289,0
0.955,-0.296,0
1.627,-0.089,0
1.471,1.198,0
1.389,-0.069,0
2.541,0,0
1.298,-0.259,0
0.281,0,0
1.072,-0.456,0
0.41,0.478,0
0.309,-0.13,0
0.715,0,0
3.256,0.194,0
-1.081,-0.126,0
0.496,-0.507,0
-0.241,0.085,0
1.381,0.116,0
2.058,0.487,0
-0.583,0,0
1.428,0.412,0
1.489,0,0
0.288,1.26,0
1.232,-0.391,0
0.994,-0.079,0
0.791,-0.434,0
0.322,0.11,0
2.241,0.141,0
0.531,-0.161,0
1.413,-0.081,0
1.085,-0.405,0
2.072,0.423,0
1.369,0.161,0
2.68,0.168,0
2.421,-0.136,0
1.704,-0.079,0
1.331,-0.213,0
1.147,-0.518,0
1.182,0,0
0.653,-0.218,0
2.757,0.83,0
0.471,0.899,0
0.945,1.091,0
1.687,0,0
2.295,0.134,0
3.32,0.875,0
1.03,0.541,0
-0.656,-0.32,0
0.561,0.327,0
1.24,0.093,0
1.52,-0.08,0
1.723,-0.282,0
2.127,-0.152,0
0.826,0,0
1.954,1.881,0
2.525,-0.11,0
0.779,0,0
0.81,0.16,0
1.842,-0.096,0
0.407,-0.049,0
1.59,0.101,0
0.736,-0.424,0
-0.825,0,0
2.568,-0.275,0
1.566,-0.253,0
2.589,0.942,0
2.842,-0.127,0
1.872,-0.322,0
1.191,-0.122,0
2.975,-0.169,0
1.1,-0.241,0
1.589,-0.113,0
2.363,0.235,0
0.341,0,0
1.354,0.077,0
3.001,-0.128,0
3.048,0,0
1.848,-0.075,0
3.327,-0.164,0
0.316,-0.062,0
0.578,-0.1,0
-0.301,-0.055,0
0.887,1.019,0
2.155,-0.109,0
0.855,-0.546,0
1.561,0.214,0
0.546,-0.617,0
1.903,-0.074,0
0.496,-0.119,0
0.665,0.046,0
1.646,-0.284,0
1.116,-0.243,0
2.808,0.144,0
1.472,0.08,0
1.966,-0.182,0
1.835,-0.161,0
2.787,-0.157,0
1.385,-0.204,0
1.097,-0.315,0
3.092,0.162,0
3.553,-0.159,0
1.518,0.826,0
0.815,-0.496,0
2.963,0.991,0
0.501,0.074,0
2.529,-0.162,0
1.798,0,0
2.171,0.201,0
2.641,-0.123,0
1.596,-0.174,0
0.659,0.7,0
0.514,1.984,0
1.942,-0.483,0
1.919,0.113,0
1.535,0.146,0
1.57,0.086,0
0.584,0,0
1.238,-0.544,0
-0.469,0.734,0
1.611,-0.126,0
2.055,0.165,0
2.557,0,0
0.295,-0.068,0
2.947,0,0
1.165,-0.24,0
1.222,-0.437,0
0.926,-0.305,0
2.031,-0.19,0
0.356,-1.037,0
0.898,0.349,0
1.014,0,0
0.845,0.084,0
1.764,-0.489,0
0.398,0,0
0.678,0,0
0.814,0,0
1.834,0.1,0
1.975,0.126,0
-0.324,-0.238,0
0.913,-0.337,0
0.33,-0.736,0
1.749,-0.12,0
0.719,-1.019,0
1.69,-0.106,0
0.968,0.58,0
1.935,-0.404,0
0.922,-0.322,0
1.985,0,0
1.913,-0.126,0
1.11,-0.047,0
0.705,-0.602,0
2.527,0.162,0
1.491,-0.185,0
2.065,0,0
2.203,0.25,0
2.402,-0.097,0
0.78,-0.053,0
-0.319,-0.054,0
0.795,0.082,0
0.471,-0.049,0
0.966,0.116,0
0.753,-0.125,0
-0.314,-0.051,0
0.351,-0.626,0
0.591,-0.176,0
0.859,-0.32,0
0.777,0,0
1.791,0.132,0
2.42,0.942,0
1.406,-0.255,0
2.375,0.792,0
1.23,0,0
1.111,-0.065,0
1.447,-0.375,0
0.588,0,0
2.585,-0.116,0
1.944,0,0
0.639,-0.053,0
2.399,-0.15,0
0.278,0.086,0
3.104,-0.125,0
1.411,-0.155,0
3.544,0.484,0
2.433,0.271,0
0.795,-0.347,0
0.285,0.296,0
0.512,0,0
0.382,1.029,0
0.34,0,0
2.348,0,0
0.408,-0.833,0
3.17,0.197,0
1.182,0.077,0
1.912,0.136,0
1.761,-0.094,0
0.575,-0.078,0
1.784,-0.307,0
-1.012,-0.583,0
0.332,0.108,0
2.136,-0.105,0
2.512,-0.411,0
2.71,0.236,0
1.004,0.544,0
0.604,-0.836,0
1.229,-0.056,0
1.612,-0.092,0
0.624,-0.393,0
1.802,-0.079,0
-0.217,-0.092,0
1.886,0.409,0
1.277,-0.192,0
2.081,-0.181,0
0.675,-0.083,0
1.762,-0.084,0
0.6,-0.144,0
2.959,-0.124,0
0.519,0.563,0
1.16,0,0
0.662,0,0
1.014,0,0
1.204,0,0
1.386,0.277,0
2.816,0,0
0.758,0.405,0
1.682,-0.375,0
1.791,1.141,0
3.256,0.322,0
2.251,-0.184,0
2.497,-0.406,0
0.467,0.107,0
-0.562,-0.622,0
0.336,0.07,0
1.625,0,0
3.085,0.314,0
0.308,-0.367,0
0.355,2.053,0
0.65,0.047,0
1.075,0,0
2.558,1.361,0
1.432,-0.074,0
1.041,0.615,0
0.399,0.775,0
-0.264,-0.05,0
0.266,1.194,0
2.869,0.196,0
0.475,-0.962,0
1.194,-0.474,0
2.467,1.2,0
2.567,-0.122,0
0.538,-0.057,0
0.334,-0.063,0
0.866,0.076,0
1.645,0,0
1.23,-0.394,0
2.454,-0.295,0
0.786,0.91,0
