@relation phoneme

@attribute Ao numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.583,0.284,-0.071,0
1.69,0.465,-0.174,0
0.311,0.43,1.454,0
1.97,0.515,1.191,0
2.506,-0.347,-0.148,0
0.795,-0.142,0.108,0
1.015,0.509,0.546,0
1.65,2.263,-0.612,0
1.892,0.585,0.715,0
0.301,1.169,-0.223,0
1.19,0.265,0.111,0
1.068,2.042,1.394,0
1.664,0.583,-0.175,0
0.894,2.211,-0.765,0
1.034,1.946,-0.555,0
1.297,0.398,0.137,0
1.758,0.817,0.332,0
0.627,0.19,0.172,0
3.187,-0.635,0.427,0
0.309,0.337,-0.447,0
0.911,2.528,-0.584,0
0.892,0.76,1.609,0
1.684,1.279,0.477,0
-0.217,0.213,0.159,0
1.292,2.605,-0.826,0
3.026,-0.454,-0.198,0
0.529,-0.143,0.172,0
1.33,-0.291,-0.114,0
1.26,0.292,0.157,0
0.493,0.524,1.885,0
1.019,0.416,0.656,0
0.464,1.302,1.08,0
2.495,1.506,-0.485,0
0.333,0.158,-0.073,0
0.544,0.506,-0.782,0
1.883,1.139,0.84,0
0.858,1.924,1.41,0
0.224,0.131,-0.207,0
2.092,1.05,-0.462,0
2.19,-0.475,0.617,0
2.638,-0.602,0.913,0
0.533,1.324,1.615,0
0.744,0.868,1.26,0
1.875,1.111,0.837,0
1.375,-0.208,-0.083,0
2.565,-0.506,-0.261,0
0.782,-0.166,-0.088,0
2.524,-0.395,0.238,0
2.821,-0.503,-0.249,0
1.929,-0.437,-0.193,0
0.6,0.135,0.211,0
0.421,0.154,0.121,0
1.59,1.132,0.486,0
1.259,2.226,-0.598,0
1.039,0.257,0.198,0
1.887,-0.485,-0.292,0
1.147,1.688,-0.523,0
0.895,2.319,-0.761,0
0.355,0.418,0.592,0
0.258,0.332,1.391,0
2.072,1.305,0.583,0
1.328,0.82,0.451,0
0.433,0.894,1.979,0
0.253,0.514,1.242,0
2.591,-0.38,-0.208,0
2.028,0.992,0.406,0
1.689,0.756,-0.252,0
0.966,-0.262,0.146,0
2.016,-0.448,0.305,0
0.419,-0.117,0.084,0
0.502,0.87,2.021,0
1.238,0.373,0.869,0
1.165,0.339,-0.1,0
-0.364,-0.131,0.094,0
2.253,-0.535,-0.201,0
1.178,1.965,-0.581,0
0.355,0.724,1.469,0
1.75,0.852,-0.226,0
0.339,0.199,0.211,0
2.66,-0.403,-0.164,0
1.776,1.417,0.504,0
0.245,0.364,-0.428,0
0.479,-0.134,0.108,0
1.232,0.433,0.375,0
0.814,1.292,1.692,0
2.417,-0.431,-0.19,0
0.315,1.166,-0.304,0
2.127,0.507,0.22,0
0.913,0.815,1.027,0
0.427,0.952,2.152,0
2.02,-0.35,0.22,0
0.625,0.978,-0.235,0
1.948,1.019,0.563,0
2.527,-0.58,0.246,0
3.116,-0.483,0.786,0
0.503,-0.171,-0.156,0
1.349,0.535,-0.203,0
1.261,2.762,-0.77,0
2.065,-0.493,0.34,0
1.258,0.308,-0.109,0
0.824,-0.271,-0.182,0
3.001,-0.525,-0.234,0
1.8,-0.29,0.217,0
0.203,0.194,0.483,0
0.317,0.61,2.224,0
0.621,1.369,2.234,0
1.611,1.019,-0.3,0
1.788,-0.475,-0.227,0
1.817,1.007,-0.358,0
0.279,0.432,1.497,0
1.094,0.858,1.275,0
2.405,-0.368,-0.16,0
2.591,0.874,0.534,0
1.9,2.119,-0.474,0
1.209,2.547,-0.772,0
0.508,-0.113,-0.066,0
1.624,1.5,-0.473,0
0.439,0.159,0.129,0
-0.273,0.18,0.11,0
0.384,0.379,0.525,0
1.148,2.085,1.726,0
0.495,0.123,0.11,0
2.526,1.618,-0.467,0
1.101,2.536,1.192,0
1.875,1.186,0.366,0
1.948,-0.282,-0.127,0
0.8,1.945,0.737,0
2.129,-0.537,0.353,0
0.541,0.207,-0.17,0
0.99,2.555,-0.738,0
2.54,-0.447,-0.222,0
3.025,0.989,-0.302,0
3.424,-0.563,-0.259,0
0.977,2.731,1.29,0
1.646,0.982,-0.302,0
3.544,-0.707,0.456,0
1.857,-0.264,-0.114,0
2.386,-0.403,0.24,0
1.284,0.837,0.448,0
1.502,2.04,0.897,0
2.404,-0.505,0.259,0
0.966,2.033,-0.638,0
2.074,-0.419,-0.181,0
1.184,2.32,-0.609,0
0.395,0.262,-0.461,0
1.71,0.626,-0.171,0
0.267,-0.077,0.09,0
0.54,-0.143,-0.084,0
0.652,-0.1,-0.063,0
1.095,1.834,-0.514,0
0.789,-0.123,0.075,0
0.553,0.27,0.607,0
3.289,-0.571,0.517,0
1.347,-0.268,-0.318,0
2.031,0.578,0.271,0
0.265,-0.095,0.081,0
-0.37,-0.131,-0.077,0
1.246,1.751,-0.499,0
0.869,-0.134,0.102,0
1.423,-0.387,-0.123,0
1.081,0.315,-0.237,0
0.389,0.378,-0.617,0
1.571,1.285,-0.488,0
2.707,-0.678,0.617,0
0.496,0.893,1.781,0
2.363,-0.336,-0.153,0
3.308,-0.468,-0.263,0
2.928,-0.496,-0.189,0
1.414,2.471,-0.728,0
0.502,0.871,2.022,0
1.034,2.48,0.914,0
2.023,1.445,0.649,0
0.372,-0.111,-0.065,0
0.745,-0.168,0.265,0
2.576,-0.491,0.543,0
0.694,0.27,-0.258,0
1.357,-0.259,0.199,0
1.457,0.509,0.27,0
1.165,2.095,-0.565,0
0.817,1.534,1.705,0
1.56,2.372,-0.658,0
2.258,-0.442,0.295,0
1.292,1.023,0.455,0
0.565,1,1.958,0
1.694,1.49,0.667,0
2.888,-0.448,-0.222,0
0.361,0.63,-0.87,0
1.439,0.424,0.275,0
0.358,0.775,1.07,0
0.546,0.171,0.094,0
3.172,-0.441,-0.194,0
2.583,-0.387,-0.17,0
1.911,0.643,-0.211,0
2.012,0.604,0.371,0
2.37,-0.361,0.215,0
1.695,-0.579,-0.232,0
0.747,0.321,-0.078,0
1.153,0.403,0.371,0
0.836,0.333,-0.088,0
1.929,0.466,0.255,0
2.158,1.94,0.695,0
3.259,-0.525,-0.225,0
2.4,-0.397,0.42,0
0.944,2.27,-0.601,0
2.058,0.567,0.668,0
2.497,-0.567,0.278,0
2.285,-0.409,0.266,0
1.31,2.543,-0.806,0
1.082,0.306,0.137,0
1.315,3.058,-0.834,0
3.531,-0.689,0.293,0
3.296,-0.577,0.887,0
2.745,-0.47,-0.213,0
1.769,1.494,-0.521,0
2.609,-0.41,1.195,0
0.758,0.135,0.139,0
1.223,2.284,-0.469,0
2.275,1.741,-0.418,0
0.692,1.585,1.197,0
3.283,-0.709,0.342,0
1.235,2.536,-0.661,0
0.402,0.495,-0.677,0
1.503,1.331,0.369,0
0.355,0.516,1.416,0
2.156,0.795,-0.197,0
0.312,0.521,0.439,0
1.764,1.365,-0.238,0
1.013,2.075,-0.383,0
0.384,0.41,0.973,0
2.027,-0.418,-0.151,0
0.496,0.329,0.523,0
0.376,0.261,-0.065,0
0.936,0.46,1.76,0
0.423,1.138,1.862,0
0.417,0.515,-0.73,0
0.762,2.242,-0.792,0
3.467,-0.483,-0.222,0
0.529,2.646,-0.704,0
1.656,0.464,0.186,0
2.428,0.809,0.357,0
1.042,2.32,-0.564,0
1.59,-0.28,-0.121,0
0.745,-0.119,-0.066,0
0.675,1.384,1.631,0
2.437,1.02,-0.387,0
2.408,-0.476,0.345,0
1.053,2.285,-0.652,0
1.797,2.403,-0.652,0
1.236,-0.238,-0.093,0
0.904,2.359,-0.803,0
0.629,0.904,1.653,0
2.324,-0.456,-0.168,0
2.258,0.673,-0.462,0
1.022,1.933,-0.625,0
0.373,0.415,1.402,0
0.617,0.545,0.897,0
3.102,-0.465,-0.27,0
1.585,0.644,-0.244,0
1.825,-0.458,0.35,0
2.014,-0.531,-0.168,0
1.557,0.482,0.283,0
1.607,0.427,0.183,0
2.572,-0.413,0.373,0
3.241,-0.58,0.551,0
2.612,0.964,0.511,0
0.278,0.102,0.083,0
1.214,1.673,-0.53,0
1.839,-0.26,-0.112,0
1.851,0.659,0.286,0
0.519,-0.115,0.14,0
1.938,2.365,-0.645,0
0.362,-0.1,-0.07,0
0.584,0.224,0.326,0
1.543,-0.38,0.199,0
2.596,-0.575,-0.255,0
0.849,1.785,0.753,0
-0.275,-0.106,-0.069,0
1.483,0.646,-0.188,0
0.55,0.268,0.454,0
1.861,-0.414,-0.225,0
-1.038,-1.317,-0.736,0
0.388,0.555,2.153,0
1.359,-0.747,-0.271,0
2.854,-0.433,-0.195,0
3.405,-0.607,0.647,0
1.848,-0.429,0.329,0
0.848,0.203,0.154,0
0.326,0.478,-0.788,0
0.792,2.458,-0.985,0
2.389,0.648,-0.245,0
0.539,-0.126,0.125,0
1.996,-0.359,0.21,0
1.572,-0.923,-0.406,0
0.283,0.143,0.163,0
2.446,1.583,-0.44,0
0.773,1.795,1.076,0
0.395,0.399,1.207,0
0.892,2.474,-0.53,0
-0.221,0.159,0.091,0
2.614,0.866,0.512,0
1.161,-0.167,0.103,0
2.432,-0.495,-0.203,0
2.815,-0.525,0.811,0
-0.206,-0.379,-0.537,0
1.975,-0.544,-0.264,0
0.363,0.528,-0.789,0
0.814,1.867,1.07,0
0.542,1.977,0.902,0
2.318,1.101,0.546,0
0.732,-0.163,-0.082,0
0.572,0.425,-0.117,0
1.057,1.926,1.731,0
1.557,0.482,0.283,0
0.593,1.21,1.203,0
2.389,0.797,0.305,0
0.425,1.102,1.916,0
1.536,0.369,0.114,0
0.387,0.64,1.019,0
1.922,1.826,-0.546,0
0.551,0.577,0.686,0
1.161,2.308,0.877,0
1.067,0.443,0.472,0
2.259,-0.319,-0.148,0
2.762,0.788,-0.221,0
1.243,-0.231,0.141,0
2.002,0.578,1.461,0
1.282,0.796,0.335,0
2.877,-0.717,0.385,0
0.508,-0.123,-0.075,0
0.355,-0.092,0.095,0
1.275,0.459,0.427,0
-0.277,0.179,-0.077,0
2.558,-0.656,0.573,0
1.764,1.438,1.052,0
0.875,2.576,1.339,0
2.401,-0.457,-0.242,0
0.325,0.328,0.874,0
-0.917,2.187,-0.856,0
-0.301,0.136,-0.074,0
0.788,0.794,1.37,0
1.539,0.567,-0.178,0
2.98,0.826,-0.307,0
0.526,1.282,2.081,0
2.524,-0.418,0.371,0
0.958,-0.147,0.125,0
2.751,-0.372,-0.169,0
2.619,0.691,0.362,0
2.156,-0.289,-0.122,0
1.911,0.652,0.354,0
2.626,-0.606,-0.245,0
2.261,1.267,0.717,0
1.441,-0.287,0.167,0
0.918,2.355,1.037,0
0.779,0.955,-1.354,0
0.932,0.3,0.177,0
2.557,-0.313,-0.143,0
1.407,0.373,0.184,0
0.981,0.294,0.24,0
0.571,1.476,1.128,0
1.148,2.217,-0.623,0
1.06,2.642,-0.676,0
-0.282,1.362,0.503,0
2.044,0.938,1.239,0
1.498,-0.238,-0.104,0
3.198,-0.554,0.31,0
0.767,1.783,1.268,0
0.735,1.704,1.119,0
2.42,0.648,0.476,0
1.236,2.547,-0.705,0
0.28,0.417,-0.544,0
1.634,-0.268,-0.141,0
1.835,0.751,0.334,0
0.945,0.432,0.783,0
2.203,-0.392,-0.202,0
1.267,1.145,0.575,0
1.208,-0.218,-0.094,0
1.921,-0.791,-0.35,0
1.875,-0.351,0.173,0
0.469,0.73,0.647,0
2.519,-0.43,-0.18,0
0.673,0.148,0.194,0
1.536,2.01,-0.623,0
0.483,0.166,0.148,0
0.753,1.175,1.894,0
1.301,0.486,0.385,0
0.414,0.889,1.934,0
1.086,0.823,-0.403,0
0.485,0.917,1.673,0
0.582,-0.131,0.178,0
1.413,0.587,1.699,0
0.393,-0.115,0.11,0
2.04,0.663,0.454,0
0.334,0.207,0.208,0
2.545,-0.44,0.227,0
1.482,-0.319,0.222,0
1.547,-0.264,-0.085,0
0.526,-1.117,1.757,0
2.214,-0.376,-0.149,0
1.304,2.382,-0.794,0
1.163,1.643,-0.499,0
2.921,0.797,0.537,0
0.446,-0.122,0.089,0
0.506,-0.129,0.137,0
2.637,-0.419,0.264,0
1.178,1.19,-0.319,0
0.967,-0.186,0.094,0
0.728,0.275,-0.281,0
2.118,1.005,-0.487,0
0.454,1.589,1.38,0
0.475,0.468,0.778,0
0.38,0.413,0.997,0
2.471,-0.466,-0.2,0
-0.265,0.107,0.096,0
-0.227,-0.488,1.332,0
0.395,0.399,1.208,0
2.041,-0.367,0.237,0
2.655,0.991,0.575,0
1.253,-0.21,-0.097,0
0.924,-0.172,-0.073,0
0.996,2.233,-0.721,0
1.017,2.425,1.076,0
0.875,-0.205,-0.078,0
2.052,-0.397,0.273,0
0.685,0.277,0.871,0
1.217,-0.227,0.195,0
1.375,-0.372,-0.163,0
2.481,-0.485,0.312,0
1.463,1.531,-0.523,0
1.464,1.893,-0.551,0
1.661,-0.247,-0.141,0
1.683,1.178,0.469,0
2.911,-0.433,-0.224,0
1.555,1.428,0.732,0
2.246,-0.346,-0.176,0
0.329,0.188,0.226,0
0.678,1.566,1.131,0
0.407,0.231,-0.081,0
0.484,0.776,1.913,0
2.617,1.225,0.483,0
0.502,0.83,0.36,0
2.814,-0.428,-0.202,0
1.441,1.267,0.545,0
1.018,-0.281,0.182,0
4.32,-0.486,-0.243,0
2.248,-0.622,-0.25,0
1.99,0.772,0.489,0
-0.264,-0.105,0.094,0
1.028,1.872,-0.768,0
1.803,1.288,0.483,0
1.806,1.146,0.434,0
2.64,-0.604,-0.238,0
2.64,-0.457,0.609,0
0.892,0.76,1.61,0
1.555,0.496,0.517,0
1.051,2.859,-0.724,0
0.845,1.897,-0.56,0
2.116,-0.304,-0.166,0
0.562,-0.089,0.084,0
2.767,0.829,-0.272,0
1.403,-0.26,-0.336,0
1.396,-0.232,0.133,0
0.648,-0.111,0.111,0
1.773,-0.347,-0.123,0
1.046,0.254,0.202,0
0.434,0.509,2.041,0
-0.315,0.164,-0.109,0
0.205,0.2,0.486,0
0.351,0.563,0.552,0
-0.253,-0.117,0.111,0
3.32,-0.606,0.65,0
0.831,1.93,-1.208,0
1.995,1.429,0.772,0
0.81,0.183,0.158,0
0.977,2.473,-0.7,0
1.86,-0.268,-0.115,0
0.982,2.602,-0.623,0
0.407,0.855,2.415,0
2.254,-0.343,0.226,0
-0.341,-0.112,-0.061,0
0.823,-0.159,0.086,0
0.577,-0.143,-0.079,0
0.489,1.098,0.915,0
0.891,1.932,1.42,0
2.483,1.42,0.622,0
2.862,0.843,0.538,0
3.1,-0.462,-0.186,0
0.571,2.275,-0.58,0
2.148,-0.462,-0.216,0
0.861,-0.159,0.078,0
1.435,-0.249,-0.095,0
1.325,0.652,0.697,0
0.339,0.454,-0.625,0
0.453,0.97,1.701,0
2.087,-0.549,0.2,0
0.577,0.174,0.153,0
1.279,2.585,-0.599,0
0.586,0.256,0.657,0
1.85,0.764,0.319,0
1.004,2.238,0.976,0
1.517,0.68,0.716,0
1.298,1.482,-0.482,0
2.028,-0.358,-0.176,0
2.437,0.685,0.398,0
2.589,-0.447,-0.277,0
0.309,0.452,0.984,0
0.488,0.105,0.094,0
2.176,-0.339,0.294,0
1.698,0.81,0.372,0
0.595,0.98,2.318,0
0.925,-0.223,-0.075,0
0.455,0.989,1.748,0
0.834,1.064,-0.276,0
0.578,0.174,0.153,0
1.178,-0.218,0.128,0
0.478,-0.135,0.108,0
2.661,-0.397,-0.18,0
1.072,2.294,-0.74,0
0.476,0.321,0.505,0
2.921,-0.568,-0.222,0
2.603,-0.49,-0.351,0
1.314,1.156,-0.469,0
1.247,1.442,0.482,0
0.607,-0.107,-0.047,0
0.495,-0.106,0.07,0
2.502,-0.599,0.323,0
1.869,2.019,-0.532,0
0.359,0.12,0.093,0
2.458,-0.453,-0.202,0
2.203,1.577,0.783,0
1.798,0.666,0.921,0
2.692,-0.521,0.274,0
1.78,1.431,0.65,0
1.984,-0.405,-0.147,0
3.101,-0.64,-0.313,0
1.281,1.743,-0.659,0
0.974,1.819,-0.586,0
2.371,-0.586,0.312,0
1.012,2.279,-0.747,0
1.125,1.297,-0.215,0
2.463,-0.334,-0.148,0
1.247,2.861,-0.914,0
2.274,-0.541,-0.186,0
-0.317,0.134,0.095,0
0.791,-0.41,2.004,0
2.23,-0.55,-0.209,0
1.447,2.493,-0.868,0
2.512,-0.492,1.421,0
1.756,-0.379,-0.132,0
0.346,0.273,0.154,0
2.86,0.78,1.045,0
1.05,0.256,0.202,0
1.511,0.535,0.323,0
2.138,0.544,0.57,0
2.627,0.687,1.597,0
1.33,2.367,-0.661,0
2.069,-0.41,-0.193,0
0.627,1.501,1.188,0
3.408,-0.449,-0.215,0
1.677,-0.332,-0.109,0
0.855,0.197,0.084,0
1.108,1.884,-0.552,0
0.64,0.717,1.903,0
1.356,2.289,-0.745,0
2.363,-0.524,0.464,0
1.384,-0.238,-0.112,0
2.681,-0.484,-0.181,0
0.949,2.304,1.511,0
0.495,1.206,2.321,0
0.346,0.598,2.196,0
0.365,-0.107,0.091,0
-0.254,0.245,0.153,0
1.066,1.695,0.682,0
0.721,-0.143,0.151,0
2.193,0.514,0.222,0
1.656,0.949,0.371,0
0.859,2.259,-0.688,0
0.979,1.945,-0.612,0
1.041,0.429,0.522,0
1.863,2.606,-0.605,0
0.675,0.813,-0.202,0
3.019,-0.482,-0.194,0
3.556,-0.662,-0.25,0
2.122,-0.36,-0.388,0
1.018,1.778,-0.431,0
0.311,1.415,-0.347,0
1.344,2.678,-0.698,0
0.267,0.133,0.16,0
0.273,0.139,0.156,0
1.283,0.315,-0.108,0
1.646,2.18,-0.578,0
0.755,2.184,-0.89,0
0.357,0.324,0.477,0
0.249,-0.072,0.097,0
0.562,0.413,-0.096,0
1.695,0.99,0.264,0
2.408,0.624,0.347,0
1.822,0.784,0.287,0
1.25,1.936,-0.53,0
0.637,-0.117,0.104,0
2.712,1.415,-0.44,0
1.585,0.44,1.371,0
1.978,0.739,0.354,0
1.209,2.464,-0.669,0
1.196,0.419,-0.148,0
0.918,0.159,0.126,0
3.018,-0.484,0.233,0
2.032,0.499,0.287,0
1.797,-0.364,1.024,0
2.024,0.899,0.33,0
2.602,1.078,0.534,0
1.932,1.163,0.588,0
0.297,0.192,0.222,0
1.789,0.629,0.268,0
2.399,1.564,-0.498,0
0.334,0.206,0.208,0
-0.29,0.157,-0.071,0
1.098,2.485,-0.698,0
2.541,1.083,-0.482,0
0.942,1.713,0.897,0
2.497,0.684,0.532,0
1.196,0.913,1.121,0
0.272,0.47,1.286,0
1.257,2.688,-0.762,0
0.471,1.647,1.184,0
0.727,0.677,1.807,0
0.48,1.904,1.296,0
2.302,-0.432,0.322,0
0.589,1.323,1.963,0
1.016,2.178,-0.401,0
2.254,-0.532,-0.215,0
2.055,-0.436,-0.183,0
1.071,2.327,-0.592,0
1.521,1.321,-0.514,0
2.567,-0.397,0.297,0
-0.195,0.139,0.103,0
0.411,-0.115,0.109,0
1.208,2.573,-0.702,0
0.349,0.845,1.461,0
-0.446,-0.452,0.939,0
1.432,0.26,0.129,0
2.97,-0.393,-0.158,0
1.045,1.586,-0.476,0
1.78,-0.332,-0.14,0
2.034,1,1.202,0
2.111,-0.414,0.214,0
1.501,1.921,0.993,0
0.359,0.285,0.149,0
2.133,-0.294,-0.152,0
0.797,0.211,0.146,0
1.678,0.806,0.324,0
1.188,0.521,0.388,0
0.318,0.43,0.708,0
1.63,-0.328,0.351,0
1.933,-0.333,-0.127,0
1.966,0.718,0.319,0
0.722,0.123,0.095,0
2.749,-0.42,0.301,0
1.643,1.345,0.62,0
1.951,-0.313,-0.136,0
1.27,-0.247,0.113,0
1.113,-0.166,-0.076,0
1.94,-0.356,-0.177,0
0.289,0.384,0.928,0
-0.211,0.213,0.152,0
1.331,1.073,0.488,0
-0.32,-0.14,0.111,0
0.435,0.905,-0.27,0
0.553,1.892,1.658,0
2.017,1.687,0.99,0
0.79,0.242,0.703,0
1.987,1.372,0.678,0
2.58,1.476,0.789,0
2.927,-0.502,0.367,0
0.707,-0.111,-0.067,0
0.369,0.453,2.025,0
3.386,-0.521,0.387,0
1.094,-0.191,-0.082,0
0.818,-0.128,0.094,0
2.511,-0.388,0.247,0
1.737,1.078,-0.445,0
-0.829,1.142,-0.564,0
1.626,0.78,0.399,0
3.131,-0.521,0.324,0
2.692,0.812,0.348,0
2.611,-0.561,0.349,0
0.41,0.827,0.671,0
0.457,0.56,0.674,0
0.483,0.174,0.106,0
1.395,2.985,-0.752,0
2.585,-0.415,-0.175,0
2.077,1.173,-0.609,0
1.291,1.152,0.541,0
1.546,1.399,0.716,0
1.667,-0.561,-0.211,0
1.178,0.318,0.242,0
2.01,-0.329,-0.128,0
1.02,2.104,-0.668,0
0.79,2.136,-0.854,0
0.381,0.92,2.362,0
1.5,1.976,-0.459,0
1.305,0.7,1.809,0
1.291,2.661,-0.639,0
1.02,0.958,1.156,0
1.78,1.658,0.697,0
1.599,0.512,0.329,0
2.117,-0.322,0.234,0
0.577,0.638,1.253,0
0.409,0.382,0.994,0
2.984,-0.793,0.352,0
2.442,-0.442,0.233,0
0.377,-0.111,-0.077,0
1.288,1.955,-0.426,0
0.423,0.357,0.362,0
2.277,1.469,-0.354,0
3.052,0.601,0.951,0
2.072,0.575,0.758,0
0.679,0.46,0.663,0
-0.213,0.166,0.099,0
1.038,0.904,-0.317,0
1.852,-0.364,0.406,0
0.558,0.615,2.347,0
1.264,0.682,-0.171,0
0.346,0.273,0.154,0
2.994,0.875,-0.309,0
0.872,1.918,1.371,0
2.496,-0.379,-0.155,0
0.51,-0.151,0.16,0
0.707,2.215,-0.691,0
1.769,-0.281,-0.362,0
2.641,-0.46,0.229,0
2.539,1.364,-0.374,0
1.968,0.657,-0.275,0
0.482,0.482,0.916,0
1.534,-0.287,-0.118,0
1.436,2.611,-0.659,0
0.982,2.439,0.961,0
0.282,0.143,0.164,0
1.025,-0.216,0.613,0
-0.174,0.431,-0.47,0
0.902,2.307,-0.648,0
1.772,0.672,0.336,0
2.259,-0.486,0.252,0
2.73,-0.45,-0.19,0
1.436,-0.279,0.231,0
-0.272,0.34,0.224,0
2.114,-0.426,0.224,0
0.735,0.341,-0.08,0
0.329,0.443,1.537,0
0.545,-0.107,-0.06,0
1.909,-0.372,-0.189,0
0.695,-0.122,0.112,0
1.306,2.321,-0.523,0
2.175,1.114,0.548,0
1.25,1.613,0.694,0
1.114,1.446,0.558,0
0.592,0.73,1.236,0
1.469,2.062,1.012,0
2.51,-0.45,0.659,0
2.908,-0.479,-0.19,0
1.328,-0.231,-0.093,0
0.56,0.572,0.476,0
2.669,-0.51,-0.296,0
-1.081,-0.35,-0.149,0
1.852,-0.505,0.213,0
1.274,2.311,-0.488,0
0.299,0.404,0.694,0
2.807,-0.541,0.303,0
1.372,0.327,-0.1,0
1.559,-0.3,-0.128,0
0.774,-0.182,-0.091,0
1.708,0.567,0.246,0
2.637,-0.533,-0.26,0
3.115,-0.53,1.223,0
0.987,-0.24,-0.096,0
0.403,-0.107,0.1,0
0.532,0.234,0.087,0
0.61,0.715,1.854,0
1.492,-0.281,0.337,0
0.476,1.097,2.347,0
1.116,1.773,-0.575,0
1.806,1.29,-0.37,0
1.072,2.069,-0.636,0
2.04,0.945,-0.511,0
1.504,1.462,-0.766,0
0.538,0.841,2.189,0
1.411,0.457,0.28,0
0.649,1.491,-0.833,0
0.464,0.309,0.495,0
1.214,1.916,-0.55,0
1.432,0.518,0.343,0
1.277,-0.176,0.182,0
1.726,0.717,-0.165,0
-0.236,0.189,0.119,0
3.163,-0.5,1.249,0
2.844,0.937,0.512,0
1.866,1.028,-0.282,0
2.986,0.833,0.648,0
1.729,-0.281,0.175,0
1.32,0.354,-0.113,0
1.809,-0.363,0.917,0
2.527,0.681,0.426,0
1.412,0.43,0.15,0
1.333,-0.289,0.746,0
0.898,-0.182,0.139,0
3.003,-0.501,0.827,0
1.224,-0.374,-0.228,0
0.616,1.451,1.569,0
1.334,-0.216,-0.094,0
2.084,1.072,0.426,0
2.143,-0.487,0.522,0
0.5,0.428,1.026,0
2.462,1.133,-0.335,0
0.444,-0.433,2.178,0
2.526,1.04,-0.466,0
2.771,-0.436,0.249,0
2.418,0.909,0.425,0
1.505,1.339,0.665,0
2.278,0.537,1.631,0
2.334,-0.479,-0.175,0
1.127,0.359,-0.105,0
1.116,-0.282,0.624,0
0.76,-0.14,0.107,0
-0.29,0.154,-0.071,0
1.03,0.732,-0.147,0
0.476,1.096,-0.264,0
2.441,-0.475,0.367,0
2.694,-0.482,-0.24,0
1.029,2.73,-0.799,0
-0.374,-0.128,-0.092,0
1.934,-0.39,-0.211,0
3.013,-0.563,0.295,0
1.73,-0.364,-0.154,0
2.32,-0.321,0.208,0
1.493,0.423,0.304,0
0.825,0.298,0.257,0
0.703,-0.153,-0.079,0
2.197,1.093,0.634,0
1.629,1.45,0.648,0
0.493,1.424,2.1,0
