@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2,4,6'

@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.484,0.879,0
-0.393,-0.082,0
0.287,-0.522,0
-0.224,0.097,0
0.647,0.356,0
1.276,1.478,1
0.825,-0.527,0
0.55,0.454,0
0.573,1.39,1
0.902,-0.648,0
0.378,1.134,0
2.661,-0.18,0
2.524,0.276,0
0.596,2.122,1
0.767,1.268,0
0.834,-0.276,0
2.581,0.479,0
1.174,0.324,0
1.771,-0.195,0
1.784,0.656,0
0.517,-0.065,0
2.521,0.387,0
2.261,0.717,0
0.544,0.866,1
2.48,0.655,1
1.508,1.312,1
0.388,2.153,0
2.944,0.78,1
0.511,1.436,0
0.867,2.015,0
1.238,0.869,0
2.242,-0.17,0
1.178,-0.319,0
2.52,-0.137,0
0.496,-0.401,0
0.714,1.607,1
1.678,0.324,0
0.372,-0.065,0
0.355,1.934,1
1.16,0.896,1
1.968,0.862,0
0.561,0.762,1
2.36,0.291,0
0.518,-0.783,0
0.702,1.858,1
3.365,0.36,0
0.132,0.47,1
0.452,1.469,0
2.126,-0.484,0
0.54,-0.067,0
1.231,-0.436,1
0.44,1.01,1
2.762,0.359,0
-0.211,0.166,0
2.509,-0.212,1
0.977,0.142,0
0.949,1.511,0
3.104,-0.249,0
0.556,0.928,0
3.32,0.65,0
1.095,0.094,0
1.163,-0.512,0
0.732,-0.082,0
3.166,0.386,0
0.514,0.766,1
-0.514,1.065,0
0.468,-1.116,1
0.645,1.181,0
0.256,0.891,1
0.469,-0.279,0
2.115,-0.421,0
0.855,-0.636,0
1.243,-0.757,0
0.554,2.295,1
1.98,-0.433,0
0.524,-0.714,1
-0.341,-0.061,0
1.351,-0.64,0
1.759,-0.405,0
0.925,0.195,0
1.859,0.641,0
1.041,-0.535,0
0.395,1.722,1
0.447,1.595,0
3.405,0.647,0
2.779,0.265,0
1.503,0.369,0
2.17,0.348,0
1.464,-0.551,0
1.934,-0.1,0
2.494,0.836,0
0.602,2.131,1
2.748,-0.176,0
2.64,-0.223,0
0.862,-0.686,0
0.987,0.135,0
0.336,-0.21,1
2.038,-0.127,0
2.849,0.284,0
2.984,-0.252,0
2.106,-0.187,0
0.474,0.996,1
1.178,-0.725,0
2.928,-0.207,0
3.135,0.456,0
0.969,-0.087,0
0.782,1.563,1
0.937,1.256,1
1.605,0.801,0
1.25,0.383,1
0.584,1.532,1
