@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.654,0.68,0.826,0
-0.147,-0.468,0,1
0.15,1.404,0,0
3.156,0.204,-0.04,0
1.338,0.496,1.038,0
0.657,0.619,-0.149,0
0.134,0.478,1.599,0
3.607,0.336,-0.114,0
0.352,1.63,-0.518,0
0.586,2.095,-0.313,0
0.132,1.111,-0.551,1
0.135,0.741,0,0
0.249,3.108,0,0
0.328,2.62,-0.555,0
0.245,1.543,-0.4,0
0.115,-0.433,0,0
0.324,1.494,-0.777,0
0.371,1.661,0,0
2.324,-0.112,-0.052,0
1.604,1.616,0.765,1
2.785,0.279,0.081,0
0.763,1.484,-0.313,1
0.442,0.851,-0.275,0
2.631,-0.12,-0.061,0
0.426,1.966,1.399,1
2.112,-0.184,0.077,0
0.176,1.928,0,1
0.487,1.522,-0.476,1
2.043,0.504,-0.131,0
0.454,1.292,2.049,1
0.515,-0.793,-0.202,0
0.687,1.469,-0.167,0
0.375,0.708,0,0
2.177,-0.208,0.087,0
3.098,1.359,-0.126,0
0.706,1.422,1.748,1
0.215,-0.428,-0.181,0
0.115,1.125,0,0
1.208,-0.517,-0.178,1
2.558,0.572,0.341,0
0.999,-0.471,-0.391,0
0.333,1.197,1.378,1
1.19,-0.274,-0.06,0
0.067,0.428,0,0
0.173,0.693,-0.804,1
1.6,-0.091,0.073,0
0.121,0.494,1.522,1
2.168,-0.122,-0.051,0
2.836,-0.132,0.106,0
0.886,2.311,-0.228,1
0.069,0.563,0,0
-0.058,-0.448,0,1
1.487,1.605,-0.131,0
0.258,0.836,0,1
1.483,0.666,0.707,0
0.559,1.509,-0.272,0
0.686,1.048,-0.158,0
0.325,1.529,1.95,1
0.122,0.828,0,1
2.374,0.256,0.2,0
-0.082,1.385,-0.912,0
0.317,2.004,0,1
1.064,-0.421,0.239,0
2.995,-0.242,-0.069,0
0.596,1.581,0.583,1
2.44,-0.243,0,0
1.288,-0.359,0.175,0
0.349,2.317,1.411,1
1.146,-0.451,-0.213,0
0.118,0.8,0.776,1
1.4,0.296,-0.166,0
1.293,-0.78,-0.315,0
1.018,-0.12,0.081,0
1.721,-0.193,-0.1,0
0.423,2.491,0.758,1
0.644,1.85,0.436,0
1.836,0.152,-0.158,0
0.388,0.743,1.1,1
0.573,1.713,0.487,0
1.098,-0.347,0.181,0
0.786,1.548,-0.757,1
0.348,0.61,1.497,1
0.365,1.886,-0.393,0
0.201,0.909,-0.476,1
1.963,-0.332,0.102,0
0.179,2.473,1.537,1
1.688,1.574,-0.164,0
3.343,-0.102,-0.052,0
1.585,0.231,-0.049,0
1.103,2.839,-0.249,1
0.677,0.316,-0.141,0
0.807,0.504,-0.081,0
0.371,1.803,-0.646,1
0.584,-0.349,-0.072,0
0.795,1.896,0,1
1.053,1.927,-0.636,1
0.242,0.693,-0.668,1
0.529,-0.577,-0.272,0
3.772,-0.15,0.198,0
0.228,2.337,0,0
0.446,2.48,-0.38,0
-0.319,0.881,1.014,1
0.912,-0.28,-0.067,0
1.58,-0.16,0.066,0
-0.18,0.772,-0.208,0
0.636,-0.362,0,0
0.719,-0.247,0.107,0
0.305,0.826,-0.635,1
0.493,0.537,-0.415,0
0.601,2.106,-0.519,1
1.153,-0.26,0.091,0
0.321,2.141,-0.275,0
0.302,1.298,-0.499,1
0.65,-0.487,-0.206,0
0.172,2.246,-0.441,0
0.21,2.928,-0.491,1
0.496,1.185,-0.195,0
1.165,-0.475,0.355,0
0.088,0.34,0,0
3.363,0.256,-0.183,0
2.157,-0.357,-0.073,0
1.128,-0.291,0,0
0.693,0.716,-0.564,1
0.922,-0.575,-0.163,0
1.062,1.669,-0.203,1
0.434,1.364,-0.193,0
0.15,0.947,0,1
0.207,1.056,1.462,1
0.397,1.412,0,0
1.095,-0.294,0,0
0.42,0.743,1.056,0
-0.107,-0.666,0,1
1.274,-0.225,-0.059,0
0.74,-0.486,0.284,0
0.499,-0.791,0.217,0
0.649,1.497,-0.482,0
-0.158,1.004,0,0
1.903,0.211,-0.076,0
0.189,2.646,0.382,0
-0.092,-0.537,0,1
1.057,1.325,-0.183,1
0.934,-0.484,0.581,0
0.285,2.042,-0.447,0
0.502,0.845,-0.158,0
2.466,0.364,-0.06,0
0.67,-0.283,-0.075,0
2.055,0.3,-0.065,0
1.147,1.717,-0.247,1
0.284,2.085,0,0
0.564,1.752,-0.229,1
1.653,-0.095,0.047,0
0.122,1.25,-0.496,1
0.447,2.21,-0.289,0
1.157,1.342,-0.158,1
0.064,0.571,0,0
-0.069,-0.57,1.274,1
1.065,-0.485,0.343,0
0.805,0.578,0.206,0
0.774,2.066,0.797,1
0.192,0.551,0.978,1
0.233,2.062,1.114,0
0.635,0.796,0.201,0
2.539,-0.263,0.269,0
0.349,1.384,0.304,0
0.496,2.365,-0.329,0
0.233,1.589,2.106,1
1.746,-0.257,-0.071,0
0.456,1.554,-0.364,0
0.128,0.582,-0.626,0
0.273,0.627,0,0
0.173,0.588,0,0
0.761,-0.413,-0.078,0
0.32,0.849,0.824,1
0.269,2.988,-0.349,0
0.515,-0.388,-0.094,0
0.373,0.535,0,0
0.274,-0.507,0.834,0
0.555,-0.693,0,0
0.531,2.318,-0.291,0
0.552,-0.539,-0.144,0
0.334,2.589,-0.544,0
0.325,1.639,1.817,1
-0.081,-0.581,1.145,1
0.085,0.443,-0.792,0
0.736,1.83,-0.552,1
3.218,-0.131,-0.072,0
0.337,1.959,-0.714,1
2.911,-0.168,-0.093,0
0.419,1.127,0.554,1
0.723,2.263,0.401,0
0.211,0.932,0,0
0.115,0.733,0,1
0.352,0.611,-0.135,0
0.984,-0.289,-0.103,0
0.279,0.865,-0.118,0
1.274,-0.254,0.103,0
0.452,0.523,0.982,1
2.582,-0.132,0.119,0
0.152,0.835,0.997,1
0.291,1.448,-0.546,0
2.686,-0.113,0.082,0
0.334,1.431,-0.232,0
0.764,-0.449,-0.132,0
1.657,-0.374,0.161,0
1.084,0.354,0.077,0
0.344,2.33,-0.283,0
0.134,0.524,0,1
0.626,1.102,-0.167,0
0.214,0.683,-0.645,1
0.947,-0.401,1.167,0
0.087,-0.67,0,0
1.246,0.35,0.131,0
0.455,-0.637,-0.15,0
0.191,2.259,0,0
0.43,1.02,-0.746,0
0.469,1.694,1.587,1
0.722,1.433,1.467,1
1.175,2.314,-0.284,1
0.349,-0.418,-0.091,0
1.164,-0.419,-0.265,0
0.434,-0.374,0.183,0
1.998,-0.185,0.104,0
0.612,-0.747,-0.389,1
3.13,-0.134,-0.065,0
0.959,-0.421,0.83,0
0.249,1.892,-0.571,0
0.652,1.718,0.681,1
0.163,0.431,0.982,0
0.551,2.13,0.485,1
0.635,-0.657,-0.19,0
0.28,0.499,-0.125,0
0.72,-0.475,0.303,0
2.185,-0.117,0.063,0
0.076,0.229,-0.375,0
0.296,1.78,-0.361,0
0.479,1.424,0,0
0.367,0.946,0.64,1
1.116,-0.385,-0.124,0
0.25,0.891,0,1
0.405,0.864,1.072,0
0.354,1.173,1.314,0
0.492,1.24,-0.192,0
0.53,2.206,0.587,1
3.137,-0.209,-0.148,0
0.907,-0.369,0,0
-1.046,-0.35,-0.126,0
2.703,0.189,-0.143,0
0.403,1.205,1.525,1
1.302,-0.343,1.409,0
0.44,0.747,0.124,0
0.625,-0.523,-0.101,0
0.609,1.411,-0.389,1
0.648,1.926,-0.528,1
0.598,0.479,0,0
0.929,-0.44,0.716,0
0.111,0.8,0,1
1.677,-0.41,-0.434,0
0.927,1.039,-0.242,1
0.205,1.643,-0.2,0
1.21,2.284,-0.185,0
2.721,-0.1,0.056,0
2.954,-0.11,-0.061,0
0.245,3.109,-0.36,0
0.471,1.614,-0.515,1
0.826,-0.313,-0.322,0
0.306,0.888,-0.735,1
1.392,-0.259,0.09,0
0.666,-0.37,-0.079,0
0.369,0.701,-0.329,1
0.791,-0.418,-0.188,0
1.087,-0.373,-0.18,0
0.737,-0.741,0.186,0
0.098,0.303,0,1
0.217,2.218,0.329,0
0.114,0.939,-0.52,1
0.25,2.859,0,0
3.24,0.801,-0.089,0
2.039,0.508,-0.135,0
1.053,1.926,-0.636,1
1.439,-0.531,-0.103,0
0.817,0.222,0.053,0
0.798,-0.49,-0.12,0
0.647,1.755,1.422,1
0.189,1.42,0,0
0.266,2.761,0.651,0
0.148,1.646,0,0
1.213,1.807,0.647,1
0.403,2.157,0,0
0.351,1.03,0,1
0.279,1.634,-0.388,0
0.983,0.327,0.062,0
0.23,0.533,1.699,1
0.501,1.551,1.704,1
0.124,0.598,-0.645,0
0.367,0.858,1.212,1
1.12,1.087,0.385,0
1.396,1.742,-0.138,1
0.568,0.811,-0.411,1
0.216,2.018,0.715,0
0.274,1.154,-1.064,1
1.79,-0.213,0.088,0
0.997,0.829,-0.4,0
0.379,0.735,1.132,0
0.422,1.702,-0.505,1
0.807,0.714,0.58,1
0.686,-0.525,0.157,0
0.249,1.518,-0.233,0
0.327,0.738,0.191,0
0.264,2.213,-0.372,1
3.139,0.245,-0.227,0
1.471,0.444,-0.226,0
1.229,0.535,0.285,0
1.586,-0.352,-0.224,0
0.171,1.58,-0.204,0
1.782,-0.151,0.081,0
2.503,0.21,-0.065,0
0.143,0.624,0.548,1
2.32,0.329,-0.075,0
1.093,-0.366,0.511,0
0.085,0.295,0,0
1.107,-0.338,-0.081,0
0.987,-0.433,-0.482,0
0.693,-0.586,0.159,0
1.91,-0.21,-0.062,0
1.137,1.704,-0.26,1
0.58,2.133,0.541,0
0.932,-0.49,0,0
1.568,0.414,0,0
0.521,0.989,0,0
0.337,1.486,-0.259,0
0.796,-0.325,-0.062,0
0.716,0.852,0.132,0
0.53,1.625,-0.513,1
0.203,2.009,0,0
0.705,1.078,0.215,0
2.078,0.159,0.083,0
0.72,0.788,-0.116,0
1.039,-0.385,-0.107,0
-0.079,0.634,0,1
0.219,2.399,0,0
0.252,0.976,0.216,0
0.757,-0.42,-0.212,0
0.316,1.844,-0.305,0
0.254,-0.268,0.438,0
1.182,-0.414,-0.119,0
0.443,1.675,0.708,1
0.815,-0.29,-0.304,0
0.362,-0.499,-0.193,0
0.412,1.979,-0.241,0
1.185,-0.477,0,0
0.176,0.842,-0.849,0
0.762,1.483,-0.313,1
1.201,1.1,-0.223,1
0.683,1.528,-0.347,1
0.152,0.581,-0.482,1
0.331,-0.486,-0.152,0
0.264,2.683,-0.376,0
0.103,0.331,0,1
0.365,0.965,0.381,1
0.157,1.162,0.342,1
1.364,1.355,-0.38,1
3.087,0.15,0.057,0
0.801,1.081,0,0
1.033,-0.491,0.607,0
0.253,1.652,-0.507,0
0.966,-0.293,-0.116,0
0.168,1.706,-0.201,0
0.256,2.04,-0.292,1
0.442,1.071,0,1
0.92,2.113,-0.189,1
0.584,-0.421,0.848,0
3.553,0.17,0.062,0
0.404,2.575,-0.295,0
0.342,-0.339,-0.122,0
