@relation phoneme-weka.filters.unsupervised.attribute.Remove-V-R3-6

@attribute Dcl numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.795,1.076,0.553,0
0.43,0.708,1.304,0
2.606,-0.605,-0.248,0
2.299,1.088,0.91,1
0.97,1.701,-0.601,0
2.503,-0.842,0.616,0
0.535,0.332,0.285,0
-0.46,0.229,-0.123,0
0.57,1.789,1.503,1
2.178,-0.809,0,0
1.004,0.523,0.792,0
1.139,0.84,-0.434,0
-0.599,0.497,0.314,0
-0.577,0.309,-0.158,0
1.826,-0.591,-0.4,0
2.831,-0.685,0,0
0.394,0.185,0.119,0
1.321,1.421,1.516,1
0.575,2.155,-0.634,0
0.678,1.654,-0.651,0
-0.606,0.751,-0.27,0
2.011,-0.693,0.414,1
0.421,-0.872,2.377,0
0.755,0.399,-0.297,0
-0.447,-0.222,0,0
-0.436,0.302,-0.117,0
0.912,2.221,-1.086,1
-0.227,0.195,0.164,0
1.181,1.049,1.84,1
1.377,1.336,-0.43,0
1.869,-0.675,-0.421,0
-0.508,-0.201,-0.142,0
1.979,-0.491,0.318,0
0.77,-1.048,0,0
1.156,-0.469,0,0
3.058,-0.834,-0.44,0
1.836,0.926,0.48,0
1.4,1.814,0,0
0.158,0.155,-0.059,0
0.743,0.758,0,1
-0.324,0.206,0.137,0
0.274,0.264,-0.124,0
1.369,-0.287,-0.132,0
1.43,1.029,0,0
-0.42,0.301,0.619,0
0.227,0.216,-0.061,0
0.915,-0.32,-0.179,0
0.905,0.393,1.21,1
2.292,1.109,0.992,1
0.53,-0.223,0,0
-0.139,-0.067,0.058,0
2.353,-0.777,0,0
2.085,1.071,0,1
-0.117,0.111,0.063,0
0.484,-0.534,0,0
0.383,0.603,0,0
2.135,-0.667,-0.424,1
0.569,-0.174,0,0
2.075,-0.383,0.528,0
0.134,0.095,0.055,0
1.408,0.585,-0.479,0
2.477,-0.573,0.388,1
-0.481,0.321,-0.136,0
1.453,0.575,0,0
1.457,1.883,0,1
-0.519,0.373,-0.13,0
1.963,-0.94,-0.732,0
2.313,-0.639,0,0
0.491,0.38,-0.121,0
