@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6'

@attribute Ao numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.214,1.673,-0.214,0
0.51,1.018,-0.617,1
0.722,1.274,1.318,1
0.682,1.767,1.541,1
0.735,0.341,0.067,0
2.471,-0.466,-0.11,0
-0.302,-0.128,-0.061,0
1.073,-0.213,-0.056,0
2.356,1.69,-0.184,1
0.753,0.402,1.293,0
2.638,-0.602,-0.246,0
1.215,1.535,-0.267,1
1.25,1.613,-0.455,0
1.06,2.642,-0.242,0
1.735,1.006,-0.189,0
1.623,1.774,1.199,1
1.011,2.416,0.379,0
2.821,1.114,-0.179,0
1.824,1.1,-0.262,0
0.612,1.355,-0.641,0
2.454,0.913,0,0
0.372,0.458,0,1
0.355,0.724,0,0
0.966,0.467,0.228,0
2.446,-0.545,0,0
0.51,0.812,-0.572,1
0.399,0.49,0,0
0.854,2.147,-0.316,0
1.357,1.34,-0.238,0
1.16,1.667,0,0
0.832,2.618,0.872,1
0.443,0.755,0.758,1
0.836,0.333,-0.047,0
1.656,0.949,0.632,0
2.215,-0.572,0.156,0
1.155,-0.241,0,0
2.32,-0.385,0.163,0
3.176,-0.506,0.593,0
0.349,1.832,-0.749,1
1.932,1.74,0,0
1.596,0.96,-0.174,0
1.703,-0.323,-0.376,0
1.354,2.581,-0.324,0
1.817,1.007,-0.279,0
2.49,-0.311,-0.113,0
0.616,-0.1,-0.044,0
0.753,2.194,-0.23,1
0.588,0.705,0,1
2.424,-0.399,-0.142,0
2.757,-0.347,-0.12,0
1.795,-0.379,0.929,0
1.016,2.178,0.533,0
1.243,-0.231,0.096,0
0.937,2.118,-0.499,0
1.277,2.385,-0.192,0
2.911,-0.433,0.187,0
0.861,0.785,0,1
0.627,1.501,0,0
0.372,1.216,1.105,1
0.298,0.471,1.152,0
0.59,2.549,0.376,0
1.367,1.592,-0.196,0
2.58,-0.602,-0.133,0
2.314,1.457,0.835,1
0.343,0.452,1.742,0
1.345,-0.219,-0.055,0
1.284,0.837,-0.135,0
2.465,-0.387,-0.194,0
0.596,0.65,-0.553,1
0.471,0.873,-0.681,1
0.497,0.8,-0.776,1
2.61,-0.358,0.22,0
1.373,-0.254,-0.058,0
1.473,-0.194,0.09,0
1.233,2.288,1.1,1
0.517,0.811,0,1
2.718,-0.422,0.342,0
1.103,1.556,0,0
1.405,1.519,-0.255,0
2.413,-0.593,-0.133,0
3.001,-0.43,-0.166,0
1.387,2.311,0.499,0
0.543,0.622,0,1
1.005,1.486,-0.351,1
0.546,0.415,-0.702,1
1.261,2.762,0,0
1.519,0.643,0.169,0
2.301,-0.573,0,0
3.283,-0.709,-0.178,0
0.484,-0.573,-0.629,1
-0.751,-0.851,1.304,1
0.417,0.515,0,0
0.286,0.689,-0.448,1
2.558,-0.656,1.14,0
0.591,0.157,-0.205,0
1.804,0.962,-0.172,0
1.54,2.029,0.65,0
0.38,0.535,0.997,1
1.265,1.291,-0.197,0
0.892,2.474,-0.307,0
1.333,-0.289,-0.266,0
0.365,0.371,1.464,0
0.671,0.951,0,0
1.231,-0.281,0.278,0
1.8,0.877,-0.374,1
1.464,1.335,1.342,1
0.339,0.454,1.84,0
1.193,1.848,0,0
2.329,0.972,0.875,1
0.86,2.49,0.547,0
1.957,-0.32,0.128,0
0.918,0.8,-0.115,0
2.364,-0.326,0.235,0
0.355,0.635,-0.39,0
0.717,-0.101,-0.068,0
1.2,1.679,0,1
2.499,-0.446,-0.1,0
1.369,1.387,-0.177,0
0.498,0.84,0,1
0.389,0.516,0,0
0.605,1.869,0.755,1
1.014,2.373,0,0
0.636,0.753,0,1
0.986,2.489,0,0
0.816,1.317,-0.655,0
1.644,0.581,-0.11,0
0.698,2.216,0.647,1
0.585,1.306,-0.505,0
2.023,1.176,-0.18,0
2.04,-0.56,-0.191,0
1.074,2.474,-0.467,0
0.584,1.866,-0.672,1
1.245,0.448,0.656,0
0.325,0.38,0.071,0
0.562,0.181,-0.072,0
1.331,2.875,0,0
1.009,-0.209,-0.06,0
1.605,0.535,-0.099,0
0.325,0.7,1.284,1
0.355,0.418,2.053,0
1.429,0.88,-0.472,1
1.079,2.209,-0.831,1
1.931,-0.374,0.867,0
2.495,1.506,0,0
0.391,1.954,-0.683,1
1.547,-0.301,-0.065,0
0.55,1.864,-0.368,0
2.639,-0.463,-0.265,0
0.281,0.371,0,0
0.966,2.131,0.535,0
0.544,0.162,-0.072,0
0.653,1.828,1.297,1
1.029,2.142,0,1
2.723,0.921,-0.138,0
0.506,0.833,0,1
1.981,1.185,1.153,1
-0.22,0.158,0.078,0
0.482,0.232,0.524,0
1.559,-0.3,-0.07,0
1.478,2.134,0.593,0
1.906,-0.415,-0.101,0
2.243,-0.394,-0.175,0
0.697,0.322,0,1
0.891,1.932,-0.454,0
-0.788,-0.517,-0.152,0
1.794,2.113,-0.285,0
0.559,1.321,1.516,1
1.272,2.177,-0.36,0
0.601,2.278,-0.904,1
2.209,0.967,-0.145,1
0.48,1.235,-0.114,0
2.028,0.992,0,0
2.255,0.725,-0.229,0
2.364,1.147,-0.152,0
0.995,0.492,0.525,0
2.547,-0.477,-0.168,0
2.16,-0.339,0.151,0
0.847,1.561,-0.707,1
3.15,-0.74,0.19,0
1.045,1.586,0,0
2.339,1.345,-0.354,1
0.411,-0.115,0.104,0
1.088,-0.284,0.071,0
2.116,1.494,0.318,0
0.436,0.52,1.687,1
0.821,1.077,0.469,1
0.906,0.385,0.474,0
0.458,0.931,0,0
1.019,1.141,-0.279,1
-0.825,-1.641,0,0
0.613,1.14,0,1
0.705,1.639,0,0
0.77,1.629,-0.4,1
1.255,2.004,-0.265,1
0.843,0.243,0.104,0
0.611,1.407,0.477,1
0.97,0.396,-0.163,0
0.651,1.207,0,1
2.401,-0.457,-0.123,0
1.399,-0.252,-0.055,0
1.333,2.89,0,0
1.088,2.141,0.467,0
0.908,2.019,-0.226,1
2.804,-0.435,-0.349,0
1.413,2.371,-0.275,1
0.7,0.858,1.084,1
1.59,-0.364,0.101,0
1.09,1.917,-0.233,0
1.299,1.945,1.325,1
1.012,0.188,0.136,0
0.905,0.689,0,1
0.431,1.293,0.919,1
2.234,1.442,-0.152,0
2.186,0.949,0.219,0
1.774,-0.391,-0.101,0
1.752,0.792,-0.183,0
1.163,1.909,1.117,1
1.046,0.254,-0.089,0
2.515,1.07,-0.166,0
2.852,-0.563,-0.176,0
2.438,-0.479,-0.289,0
0.569,0.933,-1.034,1
0.597,0.173,0.121,0
0.482,0.237,-0.18,0
2.396,-0.503,-0.376,0
1.178,-0.218,0.071,0
0.378,1.059,0.495,1
1.268,2.852,-0.445,0
0.62,1.236,0,1
0.904,2.035,0,0
1.555,0.384,0.149,0
0.234,0.294,-1.092,0
0.721,2.708,-0.236,1
-0.254,0.245,-0.101,0
0.308,0.272,-0.367,0
0.642,1.59,0.713,1
2.035,0.566,-0.496,0
1.739,0.825,0.161,0
-0.234,0.215,-0.085,0
0.522,1.817,-0.38,0
2.261,-0.346,-0.156,0
2.139,-0.388,-0.089,0
0.675,1.915,0.726,1
0.399,0.933,0.775,0
1.198,1.256,-0.198,0
1.266,2.692,-0.376,0
0.9,2.517,0.383,1
0.373,0.308,0,0
1.581,0.726,0,0
2.237,1.065,1.332,0
0.974,1.819,0.362,0
0.623,1.68,2.141,1
1.224,2.774,-0.308,0
0.765,0.644,1.58,0
2.391,1.307,-0.129,1
0.629,0.293,1.562,1
0.81,0.888,-1.039,1
1.929,-0.437,0,0
1.118,1.829,0,0
1.44,-0.223,-0.079,0
0.729,-0.13,0.094,0
1.806,1.146,-0.177,0
0.629,0.904,-0.468,0
1.505,1.339,0.878,0
-0.312,0.137,-0.053,0
-0.562,1.513,-0.622,0
1.871,0.637,-0.286,1
1.439,0.356,0.324,0
0.48,1.111,2.373,1
1.062,2.934,-0.502,0
0.359,0.285,-0.081,0
0.925,-0.223,-0.05,0
1.121,1.296,-0.246,0
0.488,0.105,-0.05,0
1.098,2.485,-0.39,0
0.736,2.119,-0.451,1
2.815,-0.525,-0.284,0
-0.563,-1.041,0,1
2.01,-0.329,0.12,0
-0.294,0.159,-0.045,0
0.907,1.961,-0.371,0
1.034,0.889,0,1
0.653,2.008,0.753,1
1.171,2.48,-0.352,1
2.479,-0.455,-0.286,1
1.257,2.31,0,1
0.728,-0.145,0.054,0
0.968,0.646,-0.311,0
0.567,0.905,0,1
1.871,-0.317,0,0
0.67,2.206,0.794,1
3.36,-0.573,0.305,0
1.539,0.567,0.141,0
1.214,0.8,0.748,1
0.728,0.847,-0.995,1
1.081,0.315,0.313,0
1.285,1.167,0.239,1
0.589,0.587,-0.769,0
0.535,0.665,0,1
0.65,-0.122,0.047,0
1.264,2.397,-0.22,1
-0.333,-0.785,-0.628,0
0.819,2.246,1.261,1
2.24,-0.391,-0.237,0
2.519,-0.43,0.125,0
0.523,0.517,-0.934,1
0.401,1.882,0,1
0.384,0.803,1.075,0
0.555,1.311,1.495,1
3.531,-0.689,-0.151,0
1.982,1.041,-0.411,0
2.884,0.871,-0.143,0
1.536,2.01,-0.394,0
0.558,0.638,0,1
0.928,0.413,-0.065,0
1.325,0.652,-0.201,0
1.59,0.28,0.067,0
0.61,0.542,0.749,0
-1.045,-1.089,-0.286,0
2.037,0.992,0,0
0.542,0.61,0,0
2.357,1.622,-0.174,1
1.023,0.369,-0.137,0
0.604,0.831,-0.836,0
1.331,2.356,-0.3,1
0.87,-1.3,-0.324,1
1.851,-0.275,0.163,0
1.749,-0.436,-0.103,0
0.881,0.792,0,1
1.161,-0.167,0.107,0
0.603,1.704,-0.259,1
0.892,1.698,-0.513,0
0.314,0.445,0,0
1.816,2.572,-0.272,0
0.795,-0.142,0.082,0
2.719,-0.412,-0.124,0
2.118,-0.434,0.134,0
1.27,1.582,-0.315,0
1.017,2.425,-0.367,0
0.635,0.252,0.944,1
2.541,-0.342,0.153,0
0.965,2.056,1.31,1
1.843,1.035,-0.462,1
1.697,0.485,-0.18,0
0.697,0.709,-0.737,1
-0.301,0.136,-0.053,0
3.155,-0.48,1.022,0
2.372,1.134,-0.129,1
2.062,-0.513,-0.126,0
1.276,2.268,0,0
0.858,0.313,-0.131,0
1.754,0.628,-0.096,0
2.525,1.24,-0.166,1
2.469,1.182,-0.371,1
1.149,0.981,1.499,1
0.635,0.584,0,0
1.018,-0.281,0.2,0
2.133,0.924,-0.326,1
0.661,0.164,-0.053,0
1.253,2.338,-0.28,1
0.836,0.433,-0.055,0
0.617,0.545,0,0
-0.241,0.195,0.085,0
2.171,0.671,0.201,0
0.433,0.894,-0.535,0
1.193,1.433,-0.688,1
0.679,0.923,-0.782,1
1.502,-0.196,0.09,0
0.651,1.536,0,0
0.732,1.483,0.521,0
2.221,1.728,-0.21,0
2.111,-0.414,-0.128,0
1.694,0.626,-0.117,0
0.659,0.765,2.149,1
0.557,-0.134,-0.066,0
0.625,0.666,-0.562,1
0.301,0.313,-0.43,0
0.867,1.923,0,0
0.768,1.78,-0.414,1
1.054,0.309,0.546,0
0.263,0.266,0.786,1
-0.549,-1.168,-0.633,0
1.84,0.387,-0.245,0
1.627,-0.29,-0.099,0
2.241,-0.417,0.141,0
2.734,0.668,0.213,1
2.235,0.944,0,0
0.904,0.271,0.082,0
0.882,1.195,0.78,1
1.934,1.666,-0.315,0
0.758,-0.161,-0.044,0
2.716,0.915,-0.19,0
0.376,0.622,1.369,1
2.238,-0.446,-0.135,0
2.557,1.385,0,0
0.522,0.881,0,1
0.849,1.679,0.507,1
0.932,0.3,-0.177,0
1.051,1.546,-0.494,1
1.008,2.195,0,0
1.214,0.546,0,0
1.432,0.518,0.651,0
1.995,-0.36,-0.105,0
0.324,0.286,-0.391,0
0.409,0.382,1.09,0
1.03,1.515,0.411,0
0.357,1.871,-0.724,1
0.328,1.847,0.387,1
0.765,-0.71,-0.94,1
2.701,1.131,-0.184,0
1.71,-0.321,-0.181,0
0.427,0.952,-0.796,0
0.845,1.897,-0.294,0
1.222,2.196,-0.437,0
1.082,0.306,0.104,0
2.258,0.673,0.786,0
2.869,-0.439,0.196,0
1.248,2.225,0.49,0
0.334,0.206,-0.063,0
1.789,1.276,-0.496,1
1.941,-0.341,-0.075,0
2.885,-0.651,1.117,0
0.621,1.369,0,0
-0.221,0.216,-0.067,0
0.855,0.166,0.102,0
0.953,1.616,-0.166,0
0.283,0.337,0,0
1.504,1.462,0,0
3.104,-0.52,-0.125,0
3.308,-0.468,0.6,0
0.888,1.537,-0.601,0
2.16,-0.488,0,0
1.216,2.052,-0.238,0
2.989,0.968,0.208,0
2.129,-0.537,0,0
0.729,-0.147,-0.088,0
2.566,-0.518,0,0
4.32,-0.486,-0.162,0
1.305,0.7,-0.498,0
0.727,1.28,1.449,1
2.125,1.012,-0.247,0
2.793,-0.465,-0.125,0
0.426,0.679,0,0
0.65,1.206,0,1
1.624,0.778,0.394,0
0.561,2.212,0.327,0
3.131,-0.521,0.76,0
1.215,1.091,0.233,1
1.376,-0.303,-0.095,0
0.442,1.164,0.813,0
1.03,0.349,-0.236,0
2.804,0.67,0.56,1
0.587,0.56,0,1
1.224,1.643,-0.406,0
2.047,0.878,0,0
0.435,0.924,-0.722,0
0.613,1.414,0.507,1
2.873,-0.521,-0.115,0
-0.214,0.15,0.073,0
0.673,0.148,-0.138,0
1.543,-0.38,-0.128,0
2.567,-0.399,-0.122,0
1.186,0.444,-0.18,0
1.86,-0.268,-0.084,0
0.714,1.35,-0.63,1
