@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-3,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Dcl numeric
@attribute Class {0,1}

@data
0.304,3.327,-0.623,0
0.157,0.557,0.706,0
0.461,2.512,-0.492,0
0.782,2.546,1.536,0
0.327,2.3,-0.574,0
2.221,0.327,0.37,0
0.834,2.046,0.955,1
0.316,0.736,1.614,0
0.329,2.302,-0.432,0
0.543,0.509,1.485,1
0.893,0.6,1.39,1
0.85,1.384,-0.238,0
0.291,0.9,0.781,1
0.459,0.973,1.448,1
0.587,2.481,1.733,0
0.295,1.277,2.28,0
0.525,1.542,1.83,1
0.261,0.293,0.61,1
0.239,0.618,2.516,0
0.94,2.129,1.846,0
1.116,1.999,-0.415,0
0.62,1.865,1.31,0
3.459,0.695,-0.121,0
0.367,2.32,0.717,0
0.169,0.523,0.539,1
0.172,0.768,0.899,1
0.262,1.101,2.179,1
0.924,2.334,-0.479,0
3.074,0.471,-0.12,0
2.741,0.927,1.029,0
0.5,1.762,1.223,0
0.318,1.72,1.373,0
0.219,1.133,2.676,0
0.458,0.77,0.527,1
2.15,0.376,0.261,0
1.444,1.336,0.326,0
0.142,0.308,0.613,1
0.355,1.684,1.279,0
2.745,0.709,0.387,0
1.363,1.704,-0.318,0
0.514,3.04,-0.689,0
1.369,2.204,-0.365,0
0.276,0.542,1.977,0
1.553,1.483,0.646,0
0.132,0.575,0.825,0
1.01,0.987,-0.24,0
0.832,1.744,0.552,0
0.106,0.318,0.536,0
1.14,1.366,1.219,1
0.361,2.265,1.085,0
1.041,1.631,0.505,0
0.216,0.365,0.371,0
3.43,0.548,0.239,0
0.289,0.869,1.597,1
0.414,2.453,2.164,1
0.864,2.681,-0.484,0
0.043,0.276,0.423,0
0.197,0.858,1.924,0
3.085,-0.229,-0.104,0
3.172,0.774,-0.207,0
-0.887,0.963,-0.431,0
1.636,2.166,1.094,0
0.191,0.609,1.806,0
1.317,0.82,1.56,1
1.079,2.082,1.781,1
0.921,1.678,0.559,1
0.48,0.509,1.364,1
1.875,2.182,0.752,0
2.115,1.932,0.919,0
0.959,0.755,1.611,1
0.394,2.694,-0.586,1
0.411,1.046,0.669,1
0.74,2.402,1.721,1
0.318,0.67,0.619,0
1.474,1.911,1.588,1
0.87,2.786,0.874,0
1.404,2.192,-0.376,0
0.135,0.142,-0.153,1
0.9,1.372,0.327,0
1.283,2.381,1.223,1
0.562,2.578,-0.598,1
0.107,0.415,0.631,1
0.079,0.341,0.514,0
0.548,0.611,1.954,1
0.284,0.742,1.263,1
0.138,0.753,1.175,0
-1.7,-1.279,0.451,0
0.589,0.656,1.452,1
0.697,1.043,1.942,1
0.146,0.771,1.573,0
3.052,0.359,1.173,0
2.662,0.624,0.444,0
2.459,0.293,0.129,0
0.206,1.328,1.4,0
1.125,1.616,-0.363,0
0.256,1.733,1.359,0
0.281,1.518,3.079,0
1.215,1.101,-0.241,0
0.655,2.031,1.617,0
0.796,1.215,0.822,1
0.721,1.818,0.438,0
1.466,1.585,0.44,0
0.392,1.443,1.052,0
2.725,-0.239,-0.101,0
0.665,2.039,-0.492,0
0.554,0.624,1.504,1
-0.084,0.438,1.053,0
2.6,0.644,0.221,0
0.354,1.769,0.552,0
0.794,0.514,1.248,0
0.401,1.813,1.245,0
0.393,1.802,-0.275,0
3.537,0.411,-0.117,0
2.639,1.46,-0.253,0
2.334,1.326,0.251,0
0.378,1.681,1.887,0
0.157,0.678,1.566,0
1.191,2.054,-0.432,0
-0.316,1.418,1.792,0
0.199,1.424,1.878,0
0.702,2.288,1.742,0
1.463,1.71,0.626,0
0.694,0.627,0.716,1
0.857,0.542,1.612,1
0.572,2.468,1.182,1
0.3,1.64,2.633,0
-0.188,1.167,2.054,0
0.539,2.177,2.151,0
0.188,0.518,0.22,1
0.155,0.328,0.534,1
1.902,0.911,0.354,0
0.245,0.521,0.79,1
0.18,0.636,0.731,0
0.119,0.654,0.257,1
0.108,0.397,0.45,1
1.123,2.281,-0.331,0
3.009,0.349,1.192,0
0.834,2.202,1.692,1
0.19,0.846,0.769,1
0.907,1.536,0.369,0
0.558,0.474,2.098,1
3.154,0.61,-0.149,0
0.267,1.123,1.753,0
0.401,0.831,1.93,0
0.337,0.682,0.799,1
0.981,2.208,0.604,0
-0.217,0.793,-0.519,1
0.661,0.798,1.355,1
1.258,1.761,0.45,0
0.184,1.203,2.459,0
0.325,0.765,0.736,1
0.518,1.251,-0.303,0
0.744,0.889,1.878,1
0.623,2.432,-0.495,0
0.773,2.061,-0.344,0
0.109,0.472,0.772,1
0.269,0.362,0.661,0
1.075,2.002,0.578,0
2.111,0.901,0.371,0
-0.59,-1.327,-0.549,1
0.408,0.949,1.91,0
0.75,2.069,-0.41,0
0.789,2.739,-0.55,0
0.625,1.85,0.764,0
2.441,0.306,0.14,0
0.231,1.78,1.658,0
0.155,1.012,2.279,0
0.778,1.038,0.904,0
0.099,0.661,0.363,1
3.052,0.536,0.24,0
0.468,1.63,1.877,0
2.191,0.438,0.149,0
0.794,1.392,1.044,1
0.249,1.876,0.914,0
1.121,0.72,-0.142,0
0.204,0.527,0.407,1
0.873,2.74,0.827,0
3.065,-0.264,-0.112,0
0.435,0.761,0.772,1
2.793,0.285,1.283,0
0.122,0.592,1.288,0
1.936,2.328,-0.422,1
0.763,1.929,0.466,0
0.241,0.522,0.576,0
0.87,1.801,0.956,0
3.617,-0.272,0.34,0
1.041,2.6,-0.384,0
3.246,-0.32,-0.14,0
0.403,3.743,-0.784,0
0.889,1.66,1.282,1
1.195,1.537,-0.344,0
0.959,0.934,1.852,1
0.218,1.463,1.531,0
0.52,0.38,0.535,1
0.671,2.214,-0.494,0
2.441,0.306,0.14,0
0.079,0.372,0.331,0
1.585,1.259,2.018,1
0.492,1.782,1.24,0
0.572,1.309,1.464,1
0.794,1.828,0.782,0
2.956,0.996,0.73,0
0.134,0.462,0.877,1
0.191,0.787,1.295,1
2.239,0.958,-0.147,0
0.472,2.162,-0.375,0
0.166,0.724,1.742,1
0.179,0.742,1.648,1
0.436,0.822,2.479,0
1.573,1.128,0.42,0
0.162,0.522,0.97,1
2.318,1.826,-0.356,0
3.192,0.675,0.813,0
-0.188,1.595,2.108,0
1.533,1.716,-0.331,0
2.909,0.521,1.263,0
0.172,0.714,0.53,1
1.322,1.153,0.403,0
0.755,3.309,-0.469,0
0.796,2.222,-0.437,0
2.708,0.54,-0.143,0
1.973,1.482,-0.319,0
1.473,2.268,-0.362,0
1.046,2.514,0.865,1
1.555,2.057,-0.42,0
0.127,0.79,2.136,0
0.757,2.97,-0.461,0
1.496,2.131,-0.356,0
-0.064,0.499,0.744,1
0.661,1.665,1.079,1
0.3,0.715,0.781,1
0.324,0.712,0.741,1
0.6,0.791,2.006,0
0.47,2.984,-0.535,0
1.609,2.165,-0.492,0
0.441,0.596,2.27,1
0.306,0.593,1.177,1
2.509,0.294,0.176,0
1.262,2.093,-0.414,0
0.36,0.984,1.417,1
0.645,0.607,1.681,1
0.515,1.152,0.964,1
0.11,0.469,0.73,0
0.453,1.694,1.49,0
0.465,1.111,0.827,1
0.591,2.437,1.02,0
0.288,0.715,1.059,1
0.486,2.345,1.508,0
3.496,-0.273,0.18,0
0.713,2.034,1,0
1.458,0.693,-0.129,0
0.821,1.984,-0.405,0
1.064,-1.012,-0.546,0
0.316,2.05,1.632,0
0.387,2.211,0.643,0
0.134,0.329,0.443,0
0.378,0.982,2.602,0
0.65,1.803,-0.366,0
0.383,2.978,-0.561,1
0.226,1.179,0.639,1
0.185,0.746,1.31,1
1.107,1.683,1.012,0
0.22,1.013,2.32,0
0.117,0.557,0.742,1
0.542,1.044,1.083,1
0.175,0.548,-0.75,1
0.38,1.585,0.644,0
1.466,1.697,0.485,0
2.389,1.318,0.691,0
0.227,0.878,0.548,1
0.705,1.8,-0.386,0
0.299,0.891,1.871,0
1.909,0.249,-0.08,0
0.119,0.614,0.866,1
0.826,0.824,-0.271,0
1.218,1.73,-0.246,0
0.838,0.259,1.82,1
0.141,0.345,0.36,0
1.869,0.81,0.206,0
0.087,0.425,1.102,0
2.571,-0.235,0.2,0
1.669,1.822,-0.334,0
0.56,2.19,1.354,0
2.01,2.213,-0.519,0
0.094,0.342,0.561,0
1.44,2.132,-0.385,0
0.14,0.351,0.563,0
2.057,0.308,-0.077,0
0.636,1.279,-0.573,1
0.603,0.722,1.57,1
2.756,0.266,0.158,0
0.156,0.416,0.696,1
0.633,0.802,2.23,1
