@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Class {0,1}

@data
0.283,1.008,0
0.308,1.214,0
1.821,1.432,0
1.781,1.995,0
0.09,0.324,0
0.113,0.409,0
0.273,1.03,0
0.403,0.357,1
0.885,0.328,1
0.205,0.765,1
0.726,2.701,0
1.284,1.71,0
0.333,0.427,0
0.228,0.845,0
0.315,1.222,0
1.304,1.082,0
1.198,2.258,0
0.596,2.869,0
0.349,1.248,0
2.473,0.334,0
0.885,1.789,1
1.364,1.941,0
0.345,2.885,0
0.137,0.621,0
2.406,-0.221,0
2.039,0.855,0
0.477,0.953,0
0.091,0.283,0
0.139,1.504,0
0.638,3.104,0
0.65,3.308,0
0.144,0.888,0
0.34,2.16,0
0.338,1.216,0
0.737,2.989,0
0.326,2.129,0
2.817,0.729,0
0.725,2.566,0
-0.053,4.32,0
1.181,1.305,0
0.234,0.727,1
0.245,2.125,0
0.555,2.793,0
0.179,0.426,0
0.138,0.65,1
1.575,1.624,0
0.2,0.561,0
0.438,3.131,0
1.017,1.215,1
1.977,1.376,0
0.438,0.442,0
2.884,1.03,0
0.613,2.804,1
0.195,0.587,1
0.348,1.224,0
0.455,2.047,0
0.148,0.435,0
0.623,0.613,1
1.446,2.873,0
3.226,-0.214,0
2.089,0.673,0
2.023,1.543,0
1.078,2.567,0
1.517,1.186,0
1.156,1.86,0
0.137,0.714,1
