@relation phoneme

@attribute Dcl numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.211,0.835,-0.374,0
0.373,0.184,0.117,0
-0.275,0.218,0.161,0
0.951,2.188,0,0
0.978,0.492,-0.16,0
0.17,-0.076,0.062,0
0.131,-0.207,0,0
-0.495,0.215,-0.104,0
1.718,2.003,0,0
0.817,0.308,0.247,0
-0.134,0.181,-0.065,0
1.342,2.041,0,0
0.371,0.981,1.464,0
-0.475,0.845,-0.233,0
1.737,0.931,-0.557,0
-0.28,-0.119,0.12,0
1.45,0.648,0.387,0
0.541,-0.196,-0.119,0
-0.168,0.265,-0.092,0
-0.097,0.091,-0.062,0
0.907,1.481,0,0
0.651,0.254,-0.137,0
-1.11,-0.493,0,0
1.126,0,0,0
0.978,-0.317,-0.173,0
1.895,-0.561,0,0
0.735,1.552,-0.427,0
0.812,2.008,-0.561,0
2.271,0.668,-0.272,0
-0.252,-0.1,-0.055,0
1.365,-0.238,-0.118,0
-0.146,0.08,-0.035,0
1.288,2.546,-0.849,0
3.149,-0.726,-0.404,0
2.908,-0.772,0.391,0
-0.12,0.075,0.081,0
1.114,0.45,-0.544,0
-0.311,-0.157,-0.113,0
0.413,-0.108,-0.065,0
0.792,0.371,-0.183,0
0.527,-0.324,0,0
2.611,-0.659,-0.315,0
-0.238,-0.104,0.086,0
1.15,0.412,-0.189,0
0.729,0.326,-0.126,0
-0.41,2.004,-0.434,0
0.328,0.874,1.973,0
0.905,-0.27,-0.098,0
0.271,0.108,0.082,0
2.49,-0.71,0.547,0
0.796,0.31,0.201,0
2.761,-0.833,0.651,0
0.321,-0.078,0.068,0
2.32,-0.609,0,0
0.578,0.222,0.206,0
0.575,0.758,0.423,0
-0.241,-0.13,0.097,0
1.041,0.862,-0.426,0
-0.209,-0.115,0.086,0
0.492,0.283,-0.19,0
-0.275,-0.123,-0.079,0
0.848,1.914,-0.623,0
-0.092,0.103,-0.047,0
1.497,-0.432,0,0
-0.608,-0.242,0,0
0.166,0.148,-0.082,0
-0.43,-0.158,0.108,0
1.728,-0.482,-0.21,0
1.29,0.585,-0.227,0
-0.437,-0.362,1.473,0
-0.458,0.35,-0.122,0
-0.356,0.991,-0.285,0
2.588,-1.01,-0.41,0
0.486,0.385,-0.276,0
0.708,0.401,0,0
1.848,1.005,0,0
1.561,-0.351,-0.165,0
2.659,-0.671,-0.328,0
1.386,0.388,-0.194,0
1.854,-0.784,-0.537,0
0.152,0.134,-0.158,0
-0.366,0.528,0.511,0
0.308,-0.109,0.072,0
1.702,1.477,-0.447,0
0.35,-0.091,0.077,0
2.202,-0.557,-0.306,0
0.973,2.294,-0.962,0
-0.351,-0.161,-0.11,0
0.404,1.219,2.13,0
0.15,-0.072,-0.053,0
0.508,0.35,-0.135,0
1.91,-0.481,-0.244,0
-0.409,-0.187,-0.098,0
2.32,-0.564,0.337,0
0.416,0.656,-0.166,0
1.771,-0.542,0,0
1.17,0.509,0,0
1.055,-0.219,-0.093,0
1.052,2.313,0,0
1.373,-0.39,-0.238,0
2.562,-0.649,0.398,0
-0.323,-0.149,-0.11,0
1.07,0.553,-0.166,0
0.352,0.147,-0.095,0
2.006,0.733,0.348,0
1.368,0.634,0,0
1.06,0.436,0.32,0
0.536,0.273,-0.137,0
0.34,0.455,0,0
1.019,0.563,0,0
2.399,-0.68,0,0
0.613,0.858,0.868,0
-0.253,0.674,-0.25,0
-0.424,0.302,0.937,0
2.055,0.872,0,0
0.73,-0.175,-0.087,0
1.278,1.595,-0.632,0
-0.524,-0.269,-0.134,0
0.892,0.337,-0.161,0
0.354,-0.1,0.069,0
0.827,-0.275,-0.149,0
0.82,0.425,-0.137,0
0.508,1.478,0,0
1.988,-0.65,-0.243,0
0.996,0.413,-0.177,0
2.233,-0.721,-0.281,0
0.2,0.137,-0.132,0
0.535,0.236,-0.099,0
2.375,1.077,0.457,0
-0.311,0.194,-0.413,0
-0.149,-0.08,-0.049,0
0.307,0.177,-0.103,0
0.208,0.188,-0.095,0
-0.104,0.071,0.065,0
0.438,0.21,-0.082,0
-0.082,0.072,-0.091,0
1.77,0.806,0.509,0
1.658,0.697,0.361,0
2.157,-0.682,0,0
0.443,0.529,0.745,0
-0.264,-0.114,0.095,0
1.784,-0.571,-0.206,0
0.135,0.129,-0.2,0
-0.51,-0.187,-0.112,0
0.629,-0.165,-0.191,0
1.012,0.494,-0.247,0
0.795,-0.197,0.201,0
-0.463,-0.179,-0.133,0
-0.272,-0.118,-0.06,0
-0.274,0.172,-0.14,0
0.427,0.738,-0.721,0
0.949,-0.248,0.219,0
2.33,-0.627,-0.283,0
-0.462,-0.186,-0.127,0
1.612,-0.49,-0.261,0
0.497,-1.093,0,0
-0.17,-0.083,-0.057,0
-0.478,-0.209,-0.109,0
0.179,0.149,0.07,0
1.455,2.024,0,0
1.753,-0.485,-0.25,0
1.133,-0.335,0,0
0.572,0.476,0.341,0
1.914,-0.442,-0.221,0
-0.446,0.247,-0.135,0
1.353,0.851,0.525,0
1.362,0.503,-0.216,0
0.449,1.419,1.145,0
2.646,-0.704,0.382,0
0.362,0.544,0,0
2.217,-0.623,0.628,0
0.52,1.505,1.15,0
2.289,-0.745,0,0
2.367,-0.734,0,0
1.268,1.786,-0.631,0
0.604,1.5,-0.439,0
-0.491,0.28,0.607,0
1.166,-0.279,-0.105,0
1.114,0.548,-0.153,0
1.506,-0.485,0,0
-0.436,-0.183,0.165,0
0.174,0.113,-0.117,0
2.247,-0.508,-0.21,0
-0.484,0.233,0.581,0
0.341,0.366,0.617,0
-0.13,0.112,0.121,0
2.464,-0.669,-0.305,0
0.952,2.461,-0.845,0
-0.414,0.299,-0.225,0
1.375,-0.478,0,0
0.14,0.176,-0.065,0
1.436,-0.266,-0.128,0
0.737,-0.533,0,0
0.432,0.783,1.091,0
2.303,-0.718,-0.535,0
0.189,0.163,0.102,0
0.711,-0.188,0.197,0
-0.434,0.25,0.164,0
0.643,0.544,0,0
0.546,1.116,1.674,0
0.369,0.114,0,0
-0.38,0.199,-0.128,0
1.4,-0.406,0,0
-0.27,0.139,0.158,0
-0.346,-0.127,0.099,0
1.102,-0.32,-0.167,0
-0.543,-0.199,-0.121,0
0.679,0.345,0,0
1.31,1.097,0.994,0
-0.397,-0.201,-0.103,0
-0.202,0.13,0.151,0
0.641,0.404,-0.406,0
-0.128,-0.083,-0.061,0
2.656,-0.946,-0.467,0
-0.563,-0.289,-0.176,0
1.417,0.504,-0.241,0
0.83,0.381,-0.14,0
2.396,1.064,0.419,0
0.796,0.335,0,0
1.275,2.209,0.691,0
-0.214,0.107,0.116,0
0.181,0.14,0.135,0
0.958,1.156,0,0
1.892,1.658,-0.571,0
1.688,-0.397,0.269,0
0.799,0.332,0,0
-0.238,0.139,-0.077,0
-0.281,-0.362,1.29,0
-0.147,0.113,0.08,0
1.497,-0.448,-0.482,0
-0.152,-0.072,0.068,0
1.74,0.682,0,0
-0.364,-0.139,0.101,0
0.424,1.574,-0.853,0
1.829,-0.555,0,0
-0.387,-0.17,-0.124,0
-0.122,0.112,0.109,0
1.718,0.622,-0.205,0
2.176,-0.517,-0.327,0
-0.098,0.068,-0.039,0
0.538,1.677,-0.396,0
0.712,0.28,-0.11,0
1.565,0.995,1.038,0
0.956,-0.251,-0.156,0
-0.414,-0.225,0,0
-0.317,-0.141,0,0
-0.391,-0.157,-0.101,0
-0.303,-0.137,-0.092,0
-0.481,-0.343,1.107,0
0.86,-0.289,0.169,0
1.436,-0.554,-0.275,0
1.115,-0.346,-0.17,0
-0.852,1.305,-0.543,0
0.418,0.592,2.053,0
2.055,-0.756,-0.625,0
0.396,0.265,-0.164,0
-0.683,2.022,0,0
2.275,-0.58,-0.221,0
0.361,0.258,0.144,0
1.515,0.792,0.411,0
0.7,1.809,-0.498,0
1.21,1.203,0,0
2.327,-0.592,-0.313,0
2.429,1.578,-0.523,0
-0.1,-0.064,-0.044,0
-0.462,0.523,0.313,0
1.503,1.61,1.167,0
0.73,1.861,-0.517,0
1.297,1.7,-0.536,0
-0.383,0.261,-0.189,0
2.363,-0.742,-0.617,0
0.496,0.516,1.038,0
0.443,1.537,1.551,0
-0.136,-0.103,-0.056,0
1.628,1.282,0.712,0
1.5,0.569,-0.32,0
0.45,0.983,-0.226,0
-0.159,0.078,0.107,0
-0.399,0.237,-0.162,0
-0.345,0.406,1.027,0
-0.656,0.333,-0.164,0
0.504,0.394,-0.131,0
-0.45,0.659,0.548,0
0.382,0.994,1.09,0
1.02,-0.387,-0.174,0
-0.433,-0.186,0.744,0
-0.403,-0.169,-0.09,0
0.179,0.149,0.07,0
-0.802,-0.64,-0.32,0
2.373,-0.643,-0.369,0
0.555,2.153,-0.829,0
2.259,-0.65,0,0
0.667,0.247,-0.095,0
0.2,0.486,1.356,0
2.119,-0.474,-0.298,0
-0.387,-0.123,0.09,0
-0.143,0.078,-0.054,0
0.201,0.093,0.079,0
2.311,1.118,0.58,0
0.224,0.326,-0.088,0
-0.425,-0.476,1.222,0
-0.359,0.21,0.141,0
-0.516,-0.198,-0.108,0
-0.413,-0.337,0.813,0
-0.306,-0.163,-0.091,0
-0.42,0.286,0.848,0
0.952,2.152,-0.796,0
-0.313,0.232,-0.322,0
0.516,1.416,0,0
0.459,0.62,-0.96,0
0.729,0.345,0.189,0
-0.394,0.492,0.686,0
0.84,-0.575,1.967,0
1.343,2.28,0,0
1.23,1.691,-0.496,0
-0.368,-0.16,-0.101,0
-0.554,-0.21,0.114,0
0.188,0.085,0.108,0
0.598,2.196,-0.645,0
0.275,-0.281,-0.239,0
-0.431,-0.19,0.202,0
2.543,-0.806,0,0
0.575,0.277,-0.096,0
-0.349,-0.147,0.173,0
-0.293,-0.149,-0.116,0
1.925,-0.892,-0.4,0
0.931,0.481,-0.194,0
1.985,-0.539,0,0
0.347,0.36,0.297,0
0.434,0.484,0.764,0
0.669,-0.757,1.83,0
-0.151,0.16,-0.06,0
-0.312,-0.134,-0.074,0
-0.295,-0.121,-0.067,0
-0.319,-0.148,-0.081,0
1.792,-0.596,0.561,0
0.719,1.741,0,0
-0.535,0.215,0.149,0
0.468,1.567,1.672,0
0.852,0.72,-0.21,0
-0.519,0.45,0.285,0
2.542,-0.79,-0.333,0
0.485,0.158,0.299,0
0.396,0.672,-0.934,0
0.43,0.466,-0.161,0
-0.254,-0.109,-0.058,0
0.673,-0.462,0.786,0
1.369,-0.287,-0.131,0
0.829,0.323,0.183,0
2.311,-0.488,-0.188,0
0.583,-0.175,-0.104,0
1.225,2.058,0,0
0.513,0.373,-0.135,0
-0.319,-0.097,0.09,0
-0.57,-0.26,-0.159,0
1.743,-0.659,-0.302,0
2.949,-0.728,-0.313,0
-0.122,-0.071,0.047,0
0.989,-0.302,-0.153,0
-0.477,0.494,-0.168,0
2.657,-0.735,0.544,0
-0.335,0.211,0.134,0
0.445,1.544,0,0
0.855,2.415,-0.792,0
-0.503,-0.23,0.349,0
0.687,0.275,0.163,0
0.243,0.104,0.104,0
-0.343,-0.388,1.409,0
-0.41,-0.202,0,0
0.62,2.29,-0.736,0
-0.41,-0.193,0,0
-0.602,0.913,-0.246,0
1.211,0.63,-0.237,0
-0.485,-0.241,-0.213,0
-0.303,-0.118,-0.073,0
0.726,0.274,0,0
1.748,0.946,1.138,0
1.083,-0.482,0,0
2.194,0.831,0.616,0
2.01,-0.623,-0.394,0
0.642,0.922,2.4,0
-0.455,-0.207,-0.138,0
0.46,-0.601,1.794,0
0.76,1.609,-0.446,0
0.444,0.248,-0.18,0
0.415,1.402,2.043,0
2.094,-0.597,-0.295,0
1.169,-0.223,-0.084,0
-0.506,-0.261,-0.162,0
-0.325,-0.101,-0.062,0
0.375,0.356,0.448,0
0.96,0.413,-0.174,0
-0.558,-0.27,-0.384,0
-0.763,-0.301,-0.153,0
2.402,-0.701,0,0
1.895,0.956,-0.372,0
0.818,1.258,0,0
2.602,-0.623,-0.331,0
-0.326,-0.155,0.235,0
2.019,-0.532,0,0
2.318,-0.568,-0.291,0
1.543,0.718,-0.4,0
-0.346,0.183,-0.108,0
-0.503,1.399,-0.376,0
0.706,2.038,-0.625,0
-0.117,0.104,0.063,0
1.147,-0.284,-0.152,0
-0.486,0.255,-0.22,0
0.612,0.311,-0.129,0
2.153,-0.58,-0.278,0
1.043,0.494,-0.539,0
-0.485,-0.292,0.293,0
0.35,0.208,0.131,0
0.89,0.504,0,0
1.777,-0.6,0,0
1.144,-0.469,0.338,0
0.746,-0.169,0.157,0
0.273,0.154,-0.079,0
-0.544,-0.264,-0.239,0
0.506,-0.782,2.112,0
1.538,-0.428,-0.219,0
1.573,-0.543,0,0
-0.454,-0.198,-0.133,0
-0.454,-0.342,1.431,0
0.513,1.239,-0.32,0
-0.475,-0.251,0.372,0
-0.429,0.329,-0.357,0
0.877,-0.249,-0.126,0
2.28,-0.574,0,0
0.563,0.552,1.222,0
2.079,-0.517,-0.262,0
2.83,-0.798,0,0
-0.129,0.137,-0.057,0
0.181,-0.078,0.071,0
-0.546,1.599,-0.583,0
1.072,0.426,-0.289,0
-0.104,-0.062,-0.046,0
0.189,0.226,-0.08,0
-0.385,0.22,0.163,0
1.256,0.469,-0.198,0
-0.108,-0.064,-0.038,0
1.26,0.965,0,0
0.614,1.548,-0.434,0
-0.094,0.067,0.048,0
-0.1,0.078,0.065,0
1.234,0.553,-0.184,0
0.139,0.156,-0.063,0
1.834,-0.615,-0.266,0
2.093,1.937,-0.578,0
0.256,0.1,0.076,0
0.43,1.454,1.135,0
1.792,0.866,1.159,0
-0.128,0.093,0.061,0
0.694,2.544,0,0
1.687,1.705,0,0
0.585,0.715,0.741,0
0.87,2.021,-0.563,0
0.229,0.383,-0.375,0
2.304,-0.752,0,0
1.311,0.581,0,0
1.008,0.451,0,0
1.212,0.629,0,0
0.577,0.687,0.401,0
3.109,-0.767,-0.36,0
-0.449,-0.219,-0.132,0
-0.419,-0.181,-0.104,0
0.871,-0.377,-0.143,0
0.845,-0.253,-0.158,0
0.275,0.407,-0.238,0
0.845,1.463,-0.372,0
0.158,-0.073,0.056,0
0.404,1.22,2.13,0
0.79,0.63,0,0
-0.575,0.493,-0.17,0
0.802,0.643,-0.194,0
2.581,-0.699,0,0
1.961,-0.659,-0.371,0
-0.455,-0.238,-0.121,0
1.24,0.448,-0.192,0
0.301,0.235,-0.066,0
2.265,0.928,0,0
-0.59,0.876,-0.329,0
0.544,2.012,0,0
0.424,0.275,0,0
-0.168,0.11,0.086,0
-0.747,-0.339,-0.168,0
1.902,-0.557,0,0
0.374,-0.118,-0.051,0
-0.143,0.151,0.112,0
1.168,0.769,-0.206,0
1.333,-0.26,-0.104,0
-0.215,0.114,0.095,0
-0.401,0.399,1.167,0
-0.716,0.41,-0.17,0
-0.53,0.347,-0.137,0
-0.51,-0.232,0.388,0
-0.268,-0.141,0,0
-0.623,-0.266,-0.164,0
-0.383,-0.134,-0.102,0
-0.465,-0.27,-0.21,0
1.019,-0.3,-0.126,0
1.097,2.347,0,0
-0.461,-0.239,-0.153,0
0.619,1.042,1.099,0
1.706,-0.483,-0.201,0
1.66,-0.448,0,0
0.171,0.094,0.069,0
-0.344,-0.124,-0.081,0
-0.458,-0.191,-0.116,0
2.473,-0.7,0,0
-0.285,-0.122,0.107,0
0.702,0.414,-0.364,0
-0.505,0.213,-0.115,0
1.477,0.701,0,0
0.496,0.517,1.038,0
1.317,2.113,-0.655,0
1.779,1.066,-0.592,0
0.543,0.775,0,0
2.603,-0.687,-0.337,0
-0.67,0.396,-0.158,0
-0.389,0.296,-0.43,0
-0.478,-0.163,-0.101,0
-0.416,0.27,-0.232,0
0.107,0.096,-0.086,0
1.213,0.493,0.254,0
-0.423,0.309,1.185,0
-0.492,-0.547,0,0
-0.476,0.345,1.087,0
-0.123,-0.075,-0.049,0
-0.427,0.231,-0.132,0
0.468,0.623,-0.857,0
-0.456,-0.199,-0.122,0
-0.578,1.17,-0.385,0
-0.138,0.081,0.098,0
-0.363,-0.138,0,0
1.899,1.298,0.693,0
-0.678,0.617,1.006,0
-0.182,-0.045,-0.032,0
0.499,0.287,-0.125,0
-0.279,-0.137,-0.091,0
1.442,0.482,-0.184,0
1.029,-0.273,-0.117,0
-0.122,0.089,0.077,0
1.08,0.524,-0.193,0
0.222,0.166,-0.062,0
-0.541,0.303,-0.14,0
0.949,0.371,0.632,0
-0.274,0.435,0.55,0
2.238,1.183,-0.413,0
-0.373,0.448,0.49,0
1.377,-0.459,-0.178,0
2.317,-0.589,-0.3,0
-0.127,0.091,0.065,0
0.739,0.526,-0.199,0
1.744,0.666,-0.268,0
-0.47,0.255,0.166,0
2.304,-0.684,0,0
0.376,-0.095,-0.06,0
2.683,-0.635,-0.376,0
0.24,0.194,-0.071,0
-0.582,0.456,0.664,0
1.286,0.803,-0.227,0
1.643,-0.499,-0.2,0
1.334,-0.432,-0.502,0
0.604,0.371,-0.31,0
1.806,0.81,1.11,0
1.947,-0.443,-0.263,0
0.68,0.716,0.826,0
-0.709,0.342,-0.178,0
-0.267,-0.111,0.103,0
1.99,-0.757,0,0
2.985,-0.752,0,0
0.852,0.322,0.188,0
0.63,-0.87,0,0
-0.113,-0.066,-0.046,0
-0.451,0.472,-0.213,0
0.359,1.007,0,0
0.945,-0.511,1.753,0
1.262,0.825,0,0
-0.55,0.312,0.375,0
0.316,0.476,-0.469,0
1.583,-0.356,-0.173,0
0.398,0.137,-0.101,0
0.231,-0.081,-0.049,0
0.454,-0.625,1.84,0
0.313,0.189,-0.131,0
0.124,0.11,0.063,0
-0.337,-0.184,-0.11,0
0.397,0.904,1.064,0
0.962,0.416,-0.172,0
-0.505,0.343,-0.136,0
0.216,0.198,-0.067,0
0.37,0.258,0.308,0
2.147,-0.703,0.395,0
-0.402,0.24,0.163,0
0.304,0.535,0,0
2.859,-0.724,0,0
1.872,0.703,-0.293,0
1.496,2.193,0,0
-1.168,-1.359,-0.633,0
0.514,1.813,0,0
-0.263,0.146,0.269,0
0.251,1.041,-0.309,0
-0.13,0.094,-0.053,0
1.141,0.981,0.826,0
-0.445,0.322,-0.118,0
-0.438,0.381,1.378,0
0.183,0.114,-0.059,0
0.158,0.09,0.078,0
0.34,0.224,-0.073,0
0.318,0.242,-0.067,0
0.359,-0.105,-0.062,0
-0.353,-0.203,0.18,0
-0.413,-0.175,-0.078,0
-0.283,-0.126,0.103,0
-0.345,0.205,-0.084,0
-0.651,0.331,0.214,0
1.521,1.318,-0.437,0
0.484,-0.126,0.229,0
1.96,0.901,0,0
-0.364,0.406,1.379,0
1.624,0.58,-0.233,0
0.508,0.35,-0.135,0
1.42,0.622,0,0
0.354,-0.113,0.077,0
-0.509,-0.18,0,0
0.387,0.952,-0.245,0
-0.282,0.624,-0.243,0
-0.244,0.122,0.098,0
-0.449,-0.215,0.169,0
0.778,1.064,0.411,0
-0.272,-0.142,-0.084,0
2.831,-0.798,-0.366,0
0.801,-0.19,-0.089,0
-0.515,0.331,-0.133,0
-0.135,0.108,0.074,0
-0.48,-0.253,-0.163,0
-0.286,-0.156,-0.133,0
1.501,1.188,0,0
-0.347,-0.163,-0.12,0
-0.164,0.135,0.106,0
-0.415,-0.176,-0.121,0
1.634,0.77,-0.388,0
1.821,1.191,0.997,0
1.991,0.879,0.608,0
-0.426,0.224,0.14,0
1.007,-0.358,-0.279,0
0.809,0.357,0.204,0
0.697,2.181,0,0
0.414,0.156,0,0
2.328,-0.656,-0.296,0
2.373,1.039,0,0
0.311,-0.082,0.075,0
2.196,-0.605,-0.437,0
1.688,-0.523,-0.188,0
-0.137,0.104,0.104,0
1,1.958,-0.605,0
-0.409,0.265,0.271,0
0.242,0.703,-0.28,0
2.403,-0.652,-0.289,0
-0.117,0.084,-0.054,0
0.431,0.721,0.982,0
2.988,-0.754,-0.349,0
0.64,-0.189,-0.178,0
1.446,0.558,-0.384,0
1.369,2.234,0,0
-0.241,-0.082,-0.06,0
-0.329,-0.128,0.12,0
0.843,0.538,0.59,0
0.528,-0.789,1.537,0
1.125,-0.488,-0.223,0
1.482,-0.482,-0.259,0
-0.522,-0.643,0.786,0
1.751,-0.499,-0.21,0
-0.379,-0.132,0,0
1.834,-0.751,-0.301,0
1.541,-0.448,-0.214,0
0.421,1.007,1.695,0
-0.112,-0.061,0.066,0
-0.521,0.387,0.642,0
2.279,-0.747,0,0
1.979,-0.533,-0.241,0
1.223,0.454,-0.18,0
0.723,0.477,0,0
0.512,0.329,-0.275,0
1.767,-0.737,0,0
-0.135,0.101,0.056,0
0.912,2.023,-0.689,0
-0.218,-0.094,-0.05,0
-0.294,-0.152,-0.11,0
1.726,-0.503,-0.229,0
0.806,0.324,0.158,0
0.661,2.265,-0.705,0
0.613,1.541,-0.359,0
1.625,0.783,-0.39,0
-0.399,-0.188,-0.122,0
0.866,1.579,-0.45,0
1.062,1.448,-0.469,0
0.963,-0.257,0.209,0
0.174,0.153,0.075,0
1.238,1.11,0.683,0
1.741,-0.564,0,0
1.819,-0.586,0.362,0
0.453,2.025,-0.919,0
-0.448,0.305,-0.123,0
0.207,-0.17,0.648,0
0.201,0.137,-0.133,0
0.601,0.879,-0.316,0
-0.45,-0.191,-0.113,0
0.944,0.496,0,0
0.648,-0.245,0.238,0
0.207,0.208,-0.063,0
0.268,-0.469,1.029,0
1.37,1.883,-0.557,0
-0.112,0.131,-0.051,0
2.285,-0.652,-0.303,0
2.367,-0.661,-0.348,0
-0.344,-0.115,-0.083,0
-0.216,0.613,-0.195,0
-0.354,-0.13,0.135,0
-0.55,1.265,-0.318,0
1.451,1.569,0,0
0.371,0.268,0.515,0
-0.545,0.576,0,0
0.739,0.305,0.337,0
1.616,-0.338,-0.166,0
-0.101,-0.06,-0.045,0
0.396,0.449,0.561,0
0.193,0.162,0.171,0
-0.711,-0.281,0.197,0
-0.268,0.337,1.366,0
0.37,-0.085,-0.063,0
1.131,0.416,-0.184,0
0.978,-0.235,-0.09,0
-0.484,0.191,-0.116,0
-0.225,-0.079,-0.059,0
0.66,0.813,-0.241,0
-0.306,-0.147,0.116,0
0.157,0.203,-0.124,0
0.546,0.306,-0.234,0
-0.289,-0.149,-0.103,0
0.937,0.512,0.602,0
0.171,0.097,0.073,0
-0.129,0.131,0.118,0
0.976,-0.331,0.216,0
-0.232,0.133,-0.081,0
-0.461,-0.192,0.151,0
1.078,-0.286,0.215,0
1.754,0.688,-0.41,0
0.36,0.679,-0.16,0
0.457,0.28,-0.155,0
-0.453,-0.2,-0.113,0
-0.289,0.341,-0.452,0
0.583,0.809,0.411,0
0.45,0.931,0.439,0
2.311,-0.658,0.499,0
0.232,-0.141,0.524,0
-0.297,0.241,0.261,0
0.955,0.423,0.218,0
-0.709,-0.285,-0.211,0
1.387,0.507,-0.177,0
0.732,-0.147,-0.075,0
-0.107,0.091,0.084,0
-0.156,0.109,0,0
-0.127,0.086,-0.05,0
0.396,0.716,0,0
2.296,-0.612,-0.258,0
-0.131,0.089,0.06,0
0.292,0.191,0.561,0
0.464,0.186,0,0
-0.408,-0.144,-0.084,0
0.444,0.171,-0.069,0
-0.445,0.36,0.689,0
0.511,0.7,-0.245,0
-0.548,-0.239,-0.136,0
1.664,-0.599,-0.315,0
1.035,-0.332,0.217,0
-0.14,0.107,0.08,0
2.683,-0.724,-0.426,0
-0.356,-0.159,0.225,0
-0.111,-0.065,0.069,0
-0.448,-0.222,-0.158,0
2.195,-0.895,0,0
1.267,0.545,-0.214,0
0.546,0.307,0,0
1.097,0.802,0,0
1.22,-0.487,0,0
2.474,-0.531,-0.307,0
0.778,0.398,0.394,0
-0.384,-0.157,-0.107,0
0.523,1.469,1.046,0
0.632,0.378,0,0
2.53,-0.813,-0.314,0
1.537,1.646,-0.601,0
-0.492,-0.188,-0.123,0
2.448,-0.73,0.393,0
1.445,0.649,0,0
0.782,0.201,0.12,0
0.36,0.969,1.855,0
2.382,-0.794,-0.416,0
-0.232,-0.101,0.101,0
-0.417,-0.184,-0.125,0
1.288,0.483,-0.278,0
0.78,1.045,-0.379,0
-0.505,0.258,0.434,0
-0.111,-0.077,-0.055,0
-0.481,-0.194,-0.114,0
-0.095,0.065,0.047,0
2.89,-0.748,0,0
0.428,1.134,1.297,0
1.135,0.347,0,0
0.316,0.096,-0.052,0
0.501,-0.186,0.529,0
1.429,0.772,0,0
0.246,0.153,-0.101,0
0.521,-0.624,2.719,0
0.179,0.133,-0.05,0
0.868,1.26,-0.578,0
0.198,0.211,-0.089,0
-0.364,1.024,-0.274,0
1.846,-0.441,0.542,0
0.188,0.151,-0.152,0
0.221,0.133,-0.116,0
1.553,0.469,-0.204,0
0.652,0.354,-0.152,0
1.204,-0.345,-0.175,0
1.194,0.607,-0.212,0
-0.518,-0.195,0,0
0.425,-0.117,-0.062,0
0.663,0.454,0,0
1.29,-0.37,-0.155,0
-0.478,-0.173,-0.125,0
1.778,-0.431,-0.202,0
-0.56,-0.277,-0.191,0
2.319,-0.761,-0.559,0
0.829,1.479,-0.4,0
0.827,2.548,-1.1,0
0.687,0.306,0,0
0.892,0.698,-0.204,0
2.027,1.022,0.527,0
