@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,4,6'

@attribute Aa numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
-0.194,0.504,0
0.365,-0.462,0
0.348,2.294,0
2.667,0.226,0
2.236,0.442,0
0.421,-0.226,0
0.179,-0.639,0
2.493,0.081,0
0.185,0.872,0
0.149,1.808,1
0.128,0.777,0
0.1,-0.186,0
0.269,-0.589,0
0.34,0.273,0
0.606,1.27,1
0.216,1.698,1
0.307,1.557,1
2.829,0.337,0
0.323,-0.406,0
0.332,-0.444,0
0.46,0.607,0
0.251,0.863,1
0.974,-0.079,0
0.524,0.481,0
0.627,-0.54,1
0.31,2.254,1
2.063,0.488,0
1.376,0.24,0
2.744,-0.331,0
2.993,-0.301,0
0.27,-0.609,0
0.52,0.248,0
0.272,1.185,1
0.231,-0.53,0
0.164,1.936,0
0.302,0.32,0
0.292,1.238,1
0.922,0.327,0
0.503,0.772,1
1.139,-0.607,1
0.253,1.273,1
0.851,0.524,1
0.5,-0.176,0
1.246,-0.18,0
0.315,0.343,0
1,0.242,0
0.161,1.674,0
0.577,-0.189,0
0.724,-0.215,0
0.593,1.154,1
0.717,-0.794,0
0.174,0.584,1
1.258,0.091,0
0.397,0.372,0
1.101,0.28,0
0.172,1.616,1
0.698,0.749,1
2.03,0.078,0
0.535,1.805,1
0.651,-0.506,0
1.392,0.615,1
3.909,-0.087,0
0.126,0.872,0
0.486,-0.26,0
1.253,0.23,0
3.53,-0.071,0
1.264,-0.179,0
0.76,0.89,1
0.151,1.777,1
0.286,1.21,0
0.403,-0.693,1
1.191,0.237,0
0.122,1.191,1
0.653,0.247,0
0.965,1.316,0
0.316,0.978,1
0.231,1.052,0
0.565,-0.516,1
0.195,0.779,1
0.265,-0.78,0
0.28,0.937,1
0.144,0.775,0
3.227,-0.08,0
0.418,0.707,0
0.145,-0.794,0
0.77,0.183,0
2.302,0.086,0
0.312,1.911,0
0.214,1.093,0
0.17,-0.74,0
0.185,1.838,0
0.513,0.979,1
0.175,-0.756,0
0.321,1.075,1
0.225,0.278,0
3.597,0.407,0
0.929,1.584,1
0.381,-0.163,0
3.119,-0.069,0
0.816,-0.189,0
1.21,0.986,1
0.651,0.336,0
1.116,-0.407,1
0.638,0.243,0
0.376,0.818,1
2.935,-0.259,0
1.303,0.761,1
0.279,-0.772,0
0.305,-0.131,0
-0.125,0.643,0
0.25,2.169,1
-0.178,-0.65,0
0.386,0.493,0
0.164,-0.668,0
0.668,-0.154,0
1.176,0.226,0
0.806,1.044,1
0.44,1.108,1
2.655,0.835,0
0.464,-0.387,1
0.258,-0.68,0
0.2,1.958,0
0.289,0.379,0
2.167,0.074,0
0.107,0.874,0
0.197,1.02,1
0.252,1.845,1
0.455,1.484,1
0.74,0.208,0
0.362,1.423,1
0.146,-0.677,0
0.14,1.811,0
0.459,1.706,1
3.168,-0.205,0
0.118,1.373,0
3.004,0.126,0
0.853,-0.065,0
-0.044,1.615,0
1.09,0.189,0
0.361,0.775,1
1.93,1.76,0
0.792,0.234,0
0.15,2.21,1
0.306,1.404,1
0.096,0.476,0
0.155,0.626,0
0.203,0.922,0
0.651,0.575,0
0.406,2.047,1
0.135,1.634,0
0.486,-0.202,0
1.171,-0.094,0
0.08,0.476,1
0.324,1.037,1
0.47,1.201,1
1.091,0.658,1
0.885,0.751,1
1.393,0.577,1
2.09,0.068,0
0.601,-0.225,0
0.504,0.385,0
0.935,0.627,1
0.305,-0.982,1
0.311,0.34,0
0.253,-0.585,1
0.883,0.337,0
0.178,-0.477,0
0.183,0.965,0
0.278,0.468,0
0.353,0.986,1
0.223,1.019,1
0.335,1.349,1
0.144,1.127,0
0.802,-0.49,0
0.192,-0.678,0
1.207,0.337,0
2.444,0.156,0
3.209,0.703,0
0.618,1.247,1
0.339,-0.443,0
0.267,0.492,0
0.229,-0.791,1
0.487,0.688,0
0.124,1.031,0
0.486,1.356,1
3.184,-0.064,0
1.645,-0.58,0
1.534,1.677,0
0.251,-0.668,0
0.188,1.287,0
0.207,2.152,0
0.16,-0.625,0
0.291,0.877,0
0.369,1.151,1
3.161,-0.086,0
0.743,-0.426,0
0.539,0.511,0
0.368,0.476,0
2.725,0.222,0
0.808,-0.532,0
0.083,0.72,0
1.363,-0.127,0
1.801,0.85,0
0.912,1.416,1
2.614,0.206,0
0.211,-0.768,0
1.204,0.175,0
1.117,-0.284,1
0.317,1.61,0
0.985,0.679,0
0.75,-0.44,1
0.25,0.831,0
0.325,0.769,0
0.135,-0.241,1
0.553,-0.215,0
2.692,0.118,0
0.518,-0.312,0
1.594,0.153,0
0.704,0.146,0
2.467,0.149,0
3.083,0.102,0
3.629,-0.048,0
0.101,2.347,0
0.412,0.509,0
1.083,1.264,1
0.189,1.954,0
0.251,-0.753,1
0.127,2.31,0
0.119,0.404,1
0.331,-0.269,0
1.538,0.084,0
0.337,0.701,1
0.109,0.579,1
0.306,-0.928,0
3.505,0.296,0
0.299,-0.632,0
0.444,1.261,1
0.539,1.127,1
0.133,-0.558,1
0.153,1.995,1
0.545,0.607,1
0.393,-0.431,0
0.142,1.116,0
0.935,0.253,0
0.194,1.213,1
3.451,0.204,0
0.228,2.52,1
0.509,0.189,0
0.076,0.497,0
0.218,1.11,1
1.914,0.373,0
0.317,-0.616,0
1.601,0.576,0
0.388,-0.656,0
2.747,-0.066,0
0.233,1.742,0
1.318,-0.173,0
0.738,0.261,0
2.474,0.208,0
0.824,0.365,1
0.137,-0.765,0
0.253,-0.454,0
0.983,-0.181,1
2.217,0.103,0
2.877,0.13,0
0.592,0.295,0
0.66,0.264,0
1.014,0.847,1
0.371,-0.704,0
0.302,-0.184,0
0.212,1.481,0
0.569,-0.531,1
0.948,0.42,0
0.202,0.897,0
0.553,0.714,1
0.314,1.327,1
0.225,1.811,1
1.757,1.579,0
0.452,0.685,0
0.597,-0.601,1
0.114,0.909,1
1.132,-0.1,0
3.246,0.086,0
0.551,0.668,0
1.626,0.288,0
0.145,1.566,1
0.295,-0.662,0
1.517,0.134,0
3,0.112,0
2.035,-0.165,0
0.376,-0.598,0
1.687,-0.148,0
1.528,0.149,0
0.614,-0.163,0
0.22,-0.639,0
2.02,0.079,0
0.09,0.769,1
0.293,0.505,0
1.54,-0.388,0
0.058,-0.348,0
0.189,-0.87,0
2.555,0.188,0
-0.165,-0.856,0
2.556,-0.085,0
2.397,-0.078,0
1.068,-0.132,0
1.565,0.11,0
0.596,0.699,1
0.246,-0.781,0
1.7,0.222,0
1.889,0.366,0
1.341,-0.098,0
0.272,0.89,1
1.925,0.315,0
0.071,0.439,0
0.146,0.702,0
0.182,1.275,0
1.139,0.572,1
0.279,1.477,0
0.517,-0.573,0
0.543,1.553,1
0.364,-0.622,0
0.58,1.786,1
0.563,-0.17,0
0.598,-0.152,0
-0.181,-0.833,0
0.483,0.834,1
2.234,0.094,0
0.116,1.673,0
0.296,-0.761,1
0.376,0.859,1
0.72,2.021,0
0.328,2.117,1
-0.147,-0.543,0
0.189,-0.789,0
0.582,0.702,0
0.422,-0.203,0
2.628,0.299,0
1.179,-0.093,0
0.232,1.597,0
0.136,0.45,1
3.568,-0.071,0
0.892,-0.118,0
0.211,0.714,0
0.881,1.098,1
1.052,-0.147,0
0.985,-0.146,0
0.245,1.739,1
0.564,0.763,1
0.199,1.156,0
0.2,2.185,1
3.66,0.362,0
0.634,-0.353,0
3.561,-0.077,0
2.4,0.172,0
0.152,2.32,0
0.52,0.453,0
0.464,-0.242,0
0.248,-0.911,1
2.196,1.841,0
0.66,-0.264,0
0.165,0.781,0
0.886,0.195,0
0.403,0.357,0
0.677,0.329,0
1.165,0.648,1
0.419,0.463,0
0.111,-0.514,0
0.432,-0.592,0
3.399,-0.079,0
1.639,0.406,0
0.431,1.116,1
1.036,0.249,0
0.139,-0.638,1
1.556,-0.158,0
0.094,-0.469,0
0.718,1.189,0
2.699,0.094,0
0.251,-0.517,0
0.345,0.246,0
0.829,0.24,0
1.325,-0.096,0
0.104,0,0
0.245,-0.752,0
0.749,-0.428,0
0.278,1.155,1
0.599,0.59,1
0.583,0.508,0
0.788,0.653,1
0.359,-0.658,1
0.801,-0.555,1
1.157,-0.668,0
0.987,-0.164,0
0.56,1.744,1
0.148,-0.34,0
0.318,1.985,1
0.564,0.763,1
-0.079,1.245,1
0.337,0.317,0
2.164,1.024,0
1.386,0.109,0
0.368,-0.459,0
-0.106,1.3,1
1.288,0.095,0
0.15,-0.742,0
