@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2-4,6'

@attribute Ao numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
1.108,-0.148,0.11,0
1.37,2.296,-0.706,1
0.884,0.821,1.944,0
1.518,1.368,1.077,1
-0.319,-0.143,0.078,0
1.42,-0.319,-0.097,0
2.722,-0.493,-0.281,0
2.476,-0.405,0.426,0
1.112,0.9,1.309,0
0.639,0.531,0.549,0
0.837,2.81,-0.819,1
0.875,1.472,1,1
0.357,1.369,-0.287,0
0.258,1.82,0.769,1
0.503,1.141,0.981,0
1.121,2.403,1.178,0
2.178,1.747,-0.368,0
0.545,0.379,0.959,0
0.817,2.021,-0.679,1
-0.314,-0.104,0.078,0
3.389,-0.475,-0.251,0
0.471,-0.133,-0.075,0
0.34,0.451,1.308,0
1.379,1.66,1.283,1
1.165,1.29,-0.395,0
0.752,1.922,0.984,0
1.018,1.647,-0.43,1
2.591,-0.455,-0.238,0
0.866,-0.132,0.073,0
1.423,-0.355,-0.169,0
2.713,0.884,0.481,0
0.344,0.711,2.158,0
-0.233,-0.109,0.077,0
1,2.106,-0.959,0
0.583,0.601,-0.363,0
2.713,-0.637,0.789,0
2.469,0.961,1.279,1
0.888,-0.324,0.439,0
3.208,-0.503,-0.23,0
0.705,0.587,1.756,1
1.19,0.935,0.766,1
1.506,-0.321,-0.115,0
-0.319,-0.124,0.095,0
0.845,0.194,0.082,0
0.944,-0.18,0.093,0
1.791,-0.267,-0.111,0
1.123,1.377,-0.459,0
1.261,1.718,1.312,1
1.335,-0.202,0.13,0
1.676,0.617,0.197,0
0.539,-0.087,0.08,0
0.831,-0.138,0.081,0
1.867,-0.27,0.139,0
2.223,1.825,-0.417,0
0.994,1.96,1.183,0
-0.26,-0.133,-0.078,0
0.381,0.882,0.984,0
2.15,0.948,0.39,0
0.526,1.126,0,0
1.091,-0.128,0.105,0
0.316,-0.103,0.087,0
0.583,-0.084,0.091,0
0.988,-0.194,0.094,0
2.098,0.834,1.39,0
2.511,-0.43,0.97,1
2.724,-0.447,0.423,0
2.261,-0.527,-0.224,0
0.651,-0.112,0.131,0
0.735,0.208,0.143,0
-0.23,0.174,0.113,0
0.921,1.172,2.318,1
1.876,0.687,0.306,0
2.276,-0.549,-0.189,0
0.267,0.133,0.16,0
1.503,0.948,-0.319,0
0.831,1.73,0.87,0
3.144,-0.665,-0.261,0
0.483,0.629,2.132,0
1.139,1.262,0.825,0
1.44,2.064,-0.478,0
0.722,-1.086,-0.999,1
1.919,0.578,0.274,0
0.675,1.287,1.033,1
1.023,0.354,-0.1,0
0.591,0.327,0.236,0
1.334,1.158,0.556,0
1.952,1.204,-0.345,0
0.87,0.664,2.123,1
0.61,0.189,0.163,0
2.031,1.457,0.737,0
0.888,0.384,0.375,0
0.57,1.962,1.559,0
1.543,1.83,1.724,1
3.04,-0.641,-0.265,0
2.759,-0.452,-0.184,0
0.566,-1.3,-0.748,1
1.38,1.297,0.535,0
0.513,0.622,1.332,1
0.972,0.866,1.579,0
-0.863,-0.927,-0.577,0
1.3,0.486,0.385,0
1.144,0.872,1.914,1
1.253,2.328,-0.772,0
2.34,0.641,0.404,0
2.716,-0.43,1.009,0
0.82,1.56,1.641,1
0.653,2.448,-0.73,0
0.619,1.468,1.262,0
2.823,-0.384,-0.127,0
1.633,1.504,0.733,1
0.551,0.521,-0.624,0
0.267,0.421,1.007,0
0.378,1.876,2.463,1
2.06,1,0.441,0
2.579,-0.51,-0.213,0
1.189,2.53,-0.638,1
0.773,2.066,-0.596,1
2.09,0.976,0.867,0
0.4,0.848,1.914,0
2.033,2.162,-0.682,0
1.763,1.245,0.454,0
1.73,0.37,0.171,0
0.845,0.919,2.423,1
0.259,0.32,-0.469,0
0.458,1.509,0.664,1
1.407,1.523,-0.434,0
0.741,2.498,-0.842,1
0.608,0.827,2.548,0
-0.285,0.157,-0.082,0
0.514,0.336,0.813,1
1.018,1.938,1.108,1
1.129,1.964,0.569,0
1.266,0.434,0.484,0
1.721,1.009,2.044,0
1.734,0.614,-0.217,1
0.889,2.206,1.105,0
1.044,0.368,-0.076,0
2.689,-0.413,-0.337,0
0.796,0.449,-0.114,0
1.92,-0.346,0.27,0
1.056,1.936,0.866,0
0.813,-1.164,1.662,1
-0.361,0.173,0.084,0
2.657,1.16,0.417,0
3.055,-0.507,-0.226,0
1.723,-1.007,-0.641,0
0.449,0.561,1.624,1
2.122,0.877,-0.249,0
0.776,0.292,0.191,0
0.585,0.688,1.343,1
1.163,0.873,0.814,1
2.79,-0.443,-0.266,0
0.67,0.18,0.122,0
2.959,-0.421,-0.184,0
1.133,1.375,-0.478,0
1.024,0.564,0.812,0
0.688,0.766,2.2,1
1.773,0.742,1.043,0
2.759,-0.477,-0.179,0
2.745,-0.406,0.231,0
0.422,1.865,1.307,1
1.179,-0.698,-0.294,0
1.442,0.681,0.306,0
0.548,1.397,0,0
0.434,0.275,0.618,0
2.239,0.778,1.064,0
2.816,-0.408,-0.24,0
0.642,0.459,0.761,1
0.441,-0.115,-0.08,0
0.911,0.342,0.199,0
1.183,1.79,-0.473,1
1.895,0.839,-0.229,0
1.152,2.568,-0.646,1
2.166,0.597,-0.248,0
1.599,0.512,0.329,0
0.557,2.291,1.121,1
0.381,0.279,-0.469,0
0.496,0.327,0.344,0
-0.251,0.513,1.239,0
0.632,1.103,1.443,0
0.554,1.133,-0.278,0
1.073,1.838,1.101,1
0.282,0.248,0.402,0
0.664,2.174,1.207,1
1.194,-0.215,0.114,0
0.78,-0.144,0.084,0
1.305,0.699,1.809,0
1.238,1.114,0.45,0
0.649,0.876,2.198,1
0.88,1.883,1.361,0
2.728,-0.394,0.492,0
3.256,-0.561,0.3,0
1.254,1.56,0.698,1
1.369,2.046,1.131,1
0.884,-0.289,0.341,0
-0.583,1.747,-1.156,0
1.38,1.811,-0.522,1
0.57,2.274,-0.58,0
0.454,0.517,-0.731,1
0.714,1.576,1.345,1
1.035,0.63,1.289,1
0.615,-0.664,2.074,1
2.146,-0.363,0.312,0
1.251,1.84,-0.554,1
0.586,0.849,2.496,0
0.295,0.176,0.215,0
1.794,-0.342,-0.179,0
1.179,1.153,0.712,1
1.817,1.977,-0.461,1
2.187,1.504,0.606,0
0.285,1.283,-0.314,0
0.638,1.644,0.85,1
0.563,0.462,0.703,1
0.557,0.918,1.846,1
3.107,-0.531,0.303,0
3.332,-0.631,-0.292,0
0.773,0.493,1.222,1
0.633,0.315,0.488,0
0.824,2.218,-0.694,0
0.721,0.527,0.791,1
1.078,-0.154,-0.072,0
2.41,1.261,0.484,1
1.75,0.852,0.226,0
0.787,1.749,-0.741,0
1.111,-0.243,0.106,0
0.834,0.82,1.409,1
0.815,1.23,1.691,0
2.816,-0.424,0.33,0
2.163,-0.383,0.261,0
1.647,1.476,1.16,1
1.234,1.436,-0.554,0
1.171,0.956,1.831,1
0.612,2.482,0.969,1
3.022,-0.647,0.588,0
0.504,0.159,0.099,0
0.701,1.044,2.069,0
0.59,0.694,2.544,0
1.413,1.862,1.071,1
2.73,-0.456,-0.199,0
1.464,1.667,0.714,0
1.056,2.459,-0.652,0
2.799,0.713,0.388,0
0.368,0.404,1.219,0
2.328,0.991,0.592,0
0.769,1.029,1.576,1
1.052,1.45,1.287,1
2.402,1.027,-0.654,0
1.274,-0.234,-0.1,0
1.319,0.321,0.196,0
1.187,0.444,0.248,0
-0.166,0.428,-0.408,1
1.24,-0.234,0.129,0
2.212,1.194,0.66,0
0.509,0.505,-0.312,1
1.615,1.22,-0.487,0
0.581,1.363,1.124,0
1.247,0.73,1.861,0
0.593,0.835,-0.569,0
0.909,2.506,-0.595,1
0.494,1.73,0.887,1
1.121,1.492,-0.657,1
2.55,-0.458,-0.222,0
1.961,1.2,-0.342,0
0.414,0.364,1.345,1
1.974,0.622,-0.18,0
1.284,2.042,-0.441,1
1.424,2.617,-0.685,0
0.575,0.228,0.275,0
0.496,1.501,0.652,1
0.761,-0.153,0.076,0
1.452,0.79,0.63,0
0.783,0.865,1.369,1
-0.276,-0.111,-0.07,0
0.57,2.037,-0.591,1
1.607,1.656,1.297,1
0.738,0.243,0.208,0
1.631,0.505,0.34,0
0.309,-0.154,-0.171,0
0.606,0.22,1.168,1
1.472,-0.265,-0.09,0
0.638,-0.146,0.08,0
1.944,-0.342,0.167,0
1.855,0.577,0.288,0
1.73,0.729,0.345,0
0.387,0.661,0.6,0
0.418,1.202,1.724,0
1.407,1.046,1.962,1
0.967,-0.338,-0.368,0
1.308,2.1,0.99,1
0.998,2.518,-0.665,0
3.202,-0.624,-0.301,0
1.13,-0.19,-0.068,0
-0.274,0.155,-0.08,0
3.303,-0.411,-0.186,0
0.346,0.602,0.454,0
2.737,0.856,-0.336,0
0.789,1.023,2.106,1
0.69,0.114,0.103,0
3.131,-0.44,-0.27,0
2.75,0.852,0.322,0
1.719,0.651,0.254,0
1.502,0.527,0.413,0
2.529,-0.399,0.237,0
1.705,-0.291,-0.277,0
-1.062,-0.541,0.403,0
1.511,1.188,-0.466,0
1.694,1.54,-0.52,1
1.393,2.473,-0.666,0
2.7,-0.486,0.255,0
1.87,-0.342,0.327,0
0.622,1.23,0.944,1
3.022,-0.477,-0.188,0
0.497,1.792,0.866,0
3.061,-0.456,-0.209,0
1.155,0.301,0.227,0
0.562,0.929,0.957,1
1.983,0.845,-0.238,0
1.029,2.387,-0.663,0
0.996,0.502,-0.137,0
0.63,1.636,0.917,1
0.413,0.818,1.258,0
0.637,1.772,1.189,1
0.495,1.125,0.907,0
1.663,0.541,-0.196,0
3.218,1.191,0.71,1
1.186,2.138,-0.584,0
0.512,0.109,0.095,0
2.361,-0.378,0.228,0
0.538,0.434,-0.097,0
3.288,-0.631,0.424,0
0.602,2.488,-0.748,1
0.561,1.314,1.811,0
2.688,1.468,-0.438,0
1.07,2.241,-0.61,1
0.799,1.515,1.596,0
0.549,1.037,1.732,0
1.155,2.326,-0.601,0
2.689,0.747,0.853,0
1.637,0.746,-0.169,0
0.492,1.761,0.847,1
0.508,0.479,1.837,1
1.497,2.217,-0.727,0
1.945,1.864,0.609,0
0.824,2.574,-0.686,0
2.343,-0.449,-0.212,0
2.56,-0.671,-0.568,0
0.834,2.371,-0.72,1
1.344,-0.213,-0.103,0
2.346,1.115,-0.346,0
1.232,0.554,1.047,1
-0.741,1.046,-0.53,1
2.529,0.955,0.423,0
0.899,1.439,2.113,0
2.533,-0.339,0.183,0
2.825,-0.413,-0.171,0
1.386,1.226,0.468,0
0.806,1.815,-0.756,0
0.733,2.174,1.247,1
1.283,1.273,0.79,1
0.908,1.465,-0.616,1
0.849,0.589,1.753,1
0.556,0.534,1.136,1
0.606,1.739,1.305,1
0.711,0.395,-0.215,0
0.345,0.581,-0.648,0
1.369,-0.275,0.218,0
2.402,-0.333,-0.143,0
1.066,2.15,1.371,1
0.539,-0.143,-0.084,0
1.988,1.185,0.51,1
2.811,0.737,-0.216,0
1.441,1.887,-0.593,0
0.789,0.396,0.672,0
0.603,0.553,1.518,0
0.75,0.942,0.397,1
0.958,2.044,-0.762,0
0.69,-0.089,-0.053,0
0.587,-1.131,-0.668,1
1.761,-0.29,0.176,0
0.768,1.073,1.582,1
0.451,0.517,0.79,1
0.496,1.861,0.936,0
2.537,0.85,0.607,0
0.368,0.404,1.22,0
0.471,1.191,1.862,0
0.467,0.155,0.114,0
2.3,-0.462,-0.17,0
0.643,0.916,2.048,1
1.153,2.333,-0.772,0
2.68,-0.536,1.172,1
0.542,1.313,1.501,0
0.605,1.869,1.409,1
1.373,2.131,1.264,1
0.509,0.626,1.248,1
1.621,1.972,-0.6,1
-0.881,-0.966,-0.868,1
0.311,0.418,-0.534,0
1.855,-0.297,0.241,0
0.766,0.293,0.747,0
0.906,0.339,0.2,0
1.428,2.168,-0.608,0
0.852,0.76,1.245,1
1.327,2.243,-0.647,0
0.381,0.719,0.869,1
2.469,-0.708,-0.278,1
0.596,1.601,-0.782,1
1.217,1.518,0.693,0
2.43,0.802,0.643,0
0.651,0.157,0.203,0
0.596,1.637,1.056,1
0.375,0.486,1.742,0
3.104,-0.387,0.303,0
1.953,0.7,0.559,1
1.505,0.892,0.698,0
2.392,0.689,1.828,0
