@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2,4-6'

@attribute Ao numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.585,1.343,1.256,1
1.163,0.814,-0.73,1
2.79,-0.266,-0.17,0
0.67,0.122,0.067,0
2.959,-0.184,-0.124,0
1.133,-0.478,0,0
1.024,0.812,0.315,0
0.688,2.2,1.909,1
1.773,1.043,-0.324,0
2.759,-0.179,-0.121,0
2.745,0.231,0.161,0
0.422,1.307,1.838,1
1.179,-0.294,-0.148,0
1.442,0.306,0.115,0
0.548,0,0,0
0.434,0.618,-0.157,0
2.239,1.064,0.411,0
2.816,-0.24,-0.165,0
0.642,0.761,0,1
0.441,-0.08,0.066,0
0.911,0.199,-0.323,0
1.183,-0.473,-0.394,1
1.895,-0.229,0.164,0
1.152,-0.646,-0.638,1
2.166,-0.248,1.372,0
1.599,0.329,-0.275,0
0.557,1.121,0.557,1
0.381,-0.469,0,0
0.496,0.344,-0.119,0
-0.251,1.239,-0.32,0
0.632,1.443,-0.624,0
0.554,-0.278,-0.145,0
1.073,1.101,0,1
0.282,0.402,0,0
0.664,1.207,1.763,1
1.194,0.114,0.095,0
0.78,0.084,0.088,0
1.305,1.809,-0.499,0
1.238,0.45,-0.544,0
0.649,2.198,-1.007,1
0.88,1.361,-0.453,0
2.728,0.492,0.686,0
3.256,0.3,0.194,0
1.254,0.698,-0.355,1
1.369,1.131,1.141,1
0.884,0.341,-0.452,0
-0.583,-1.156,0,0
1.38,-0.522,-0.189,1
0.57,-0.58,-0.221,0
0.454,-0.731,0,1
0.714,1.345,1.486,1
1.035,1.289,0,1
0.615,2.074,-0.841,1
2.146,0.312,-0.199,0
1.251,-0.554,-0.524,1
0.586,2.496,-0.797,0
0.295,0.215,-0.068,0
1.794,-0.179,-0.119,0
1.179,0.712,-0.547,1
1.817,-0.461,-0.174,1
2.187,0.606,-0.255,0
0.285,-0.314,0.297,0
0.638,0.85,-0.454,1
0.563,0.703,0,1
0.557,1.846,-0.459,1
3.107,0.303,0.445,0
3.332,-0.292,-0.152,0
0.773,1.222,-0.679,1
0.633,0.488,-0.181,0
0.824,-0.694,0.388,0
0.721,0.791,0,1
1.078,-0.072,0.066,0
2.41,0.484,-0.155,1
1.75,0.226,0.132,0
0.787,-0.741,0.434,0
1.111,0.106,-0.065,0
0.834,1.409,0,1
0.815,1.691,-0.496,0
2.816,0.33,0,0
2.163,0.261,-0.189,0
1.647,1.16,-0.411,1
1.234,-0.554,-0.275,0
1.171,1.831,-0.771,1
0.612,0.969,0.477,1
3.022,0.588,0.287,0
0.504,0.099,-0.089,0
0.701,2.069,-0.623,0
0.59,2.544,0,0
1.413,1.071,-0.4,1
2.73,-0.199,-0.122,0
1.464,0.714,-0.627,0
1.056,-0.652,-0.338,0
2.799,0.388,-0.305,0
0.368,1.219,2.13,0
2.328,0.592,0,0
0.769,1.576,-0.504,1
1.052,1.287,1.331,1
2.402,-0.654,1.309,0
1.274,-0.1,-0.061,0
1.319,0.196,0.163,0
1.187,0.248,-0.18,0
-0.166,-0.408,0,1
1.24,0.129,0.093,0
2.212,0.66,-0.401,0
0.509,-0.312,0.944,1
1.615,-0.487,0,0
0.581,1.124,0,0
1.247,1.861,-0.517,0
0.593,-0.569,1.956,0
0.909,-0.595,-0.353,1
0.494,0.887,-0.244,1
1.121,-0.657,1.705,1
2.55,-0.222,-0.135,0
1.961,-0.342,0,0
0.414,1.345,-0.857,1
1.974,-0.18,-0.101,0
1.284,-0.441,-0.179,1
1.424,-0.685,-0.308,0
0.575,0.275,-0.077,0
0.496,0.652,0.705,1
0.761,0.076,0.055,0
1.452,0.63,0,0
0.783,1.369,1.196,1
-0.276,-0.07,-0.053,0
0.57,-0.591,0.39,1
1.607,1.297,-0.484,1
0.738,0.208,-0.088,0
1.631,0.34,-0.262,0
0.309,-0.171,-0.13,0
0.606,1.168,1.434,1
1.472,-0.09,0.08,0
0.638,0.08,-0.035,0
1.944,0.167,0,0
1.855,0.288,0.139,0
1.73,0.345,0.189,0
0.387,0.6,-0.456,0
0.418,1.724,-0.667,0
1.407,1.962,0,1
0.967,-0.368,0.421,0
1.308,0.99,1.002,1
0.998,-0.665,-0.302,0
3.202,-0.301,0,0
1.13,-0.068,0.064,0
-0.274,-0.08,-0.077,0
3.303,-0.186,-0.166,0
0.346,0.454,0,0
2.737,-0.336,1.173,0
0.789,2.106,-0.857,1
0.69,0.103,0.072,0
3.131,-0.27,-0.308,0
2.75,0.322,0.188,0
1.719,0.254,-0.137,0
1.502,0.413,-0.19,0
2.529,0.237,-0.162,0
1.705,-0.277,1.781,0
-1.062,0.403,0.837,0
1.511,-0.466,0.327,0
1.694,-0.52,-0.207,1
1.393,-0.666,0,0
2.7,0.255,-0.22,0
1.87,0.327,-0.338,0
0.622,0.944,0,1
3.022,-0.188,-0.211,0
0.497,0.866,1.159,0
3.061,-0.209,0.159,0
1.155,0.227,-0.065,0
0.562,0.957,-0.724,1
1.983,-0.238,-0.123,0
1.029,-0.663,-0.352,0
0.996,-0.137,-0.052,0
0.63,0.917,-0.425,1
0.413,1.258,0,0
0.637,1.189,1.476,1
0.495,0.907,0.82,0
1.663,-0.196,-0.119,0
3.218,0.71,-0.206,1
1.186,-0.584,-0.272,0
0.512,0.095,-0.048,0
2.361,0.228,-0.162,0
0.538,-0.097,-0.057,0
3.288,0.424,0,0
0.602,-0.748,0.714,1
0.561,1.811,-0.512,0
2.688,-0.438,-0.199,0
1.07,-0.61,-0.294,1
0.799,1.596,0,0
0.549,1.732,0,0
1.155,-0.601,0,0
2.689,0.853,-0.263,0
1.637,-0.169,0.157,0
0.492,0.847,-0.24,1
0.508,1.837,0,1
1.497,-0.727,0.566,0
1.945,0.609,0,0
0.824,-0.686,0.621,0
2.343,-0.212,-0.12,0
2.56,-0.568,1.369,0
0.834,-0.72,0.73,1
1.344,-0.103,-0.061,0
2.346,-0.346,-0.17,0
1.232,1.047,1.079,1
-0.741,-0.53,-0.32,1
2.529,0.423,0.218,0
0.899,2.113,0,0
2.533,0.183,-0.11,0
2.825,-0.171,-0.128,0
1.386,0.468,0.277,0
0.806,-0.756,-0.331,0
0.733,1.247,1.489,1
1.283,0.79,1.38,1
0.908,-0.616,-0.492,1
0.849,1.753,0,1
0.556,1.136,0,1
0.606,1.305,0.579,1
0.711,-0.215,0.438,0
0.345,-0.648,-1.246,0
1.369,0.218,0.161,0
2.402,-0.143,-0.097,0
1.066,1.371,-0.557,1
0.539,-0.084,0.138,0
1.988,0.51,-0.366,1
2.811,-0.216,-0.131,0
1.441,-0.593,0,0
0.789,0.672,-0.934,0
0.603,1.518,1.325,0
0.75,0.397,0.78,1
0.958,-0.762,-0.596,0
0.69,-0.053,0.039,0
0.587,-0.668,-0.544,1
1.761,0.176,-0.094,0
0.768,1.582,-0.785,1
0.451,0.79,0,1
0.496,0.936,0.456,0
2.537,0.607,-0.201,0
0.368,1.22,2.13,0
0.471,1.862,0.899,0
0.467,0.114,0.107,0
2.3,-0.17,-0.106,0
0.643,2.048,-0.818,1
1.153,-0.772,0,0
2.68,1.172,-0.369,1
0.542,1.501,-0.864,0
0.605,1.409,0.756,1
1.373,1.264,-0.616,1
0.509,1.248,-0.478,1
1.621,-0.6,-0.258,1
-0.881,-0.868,-0.486,1
0.311,-0.534,0,0
1.855,0.241,0.261,0
0.766,0.747,-0.234,0
0.906,0.2,-0.32,0
1.428,-0.608,0.412,0
0.852,1.245,0,1
1.327,-0.647,-0.297,0
0.381,0.869,0.708,1
2.469,-0.278,-0.148,1
0.596,-0.782,2.308,1
1.217,0.693,-0.502,0
2.43,0.643,-0.194,0
0.651,0.203,-0.124,0
0.596,1.056,0,1
0.375,1.742,0,0
3.104,0.303,0.78,0
1.953,0.559,0,1
1.505,0.698,-0.204,0
2.392,1.828,-0.544,0
