@relation vehicle

@attribute Compactness numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
107,32,163,saab
107,31,170,saab
115,30,166,saab
103,32,163,saab
88,38,152,saab
105,31,168,saab
101,31,171,saab
98,39,136,saab
91,38,135,saab
106,31,169,saab
86,45,128,saab
91,47,128,saab
84,44,143,saab
101,32,162,saab
97,35,144,saab
93,50,123,saab
102,33,152,saab
107,31,170,saab
109,31,169,saab
104,35,156,saab
112,31,159,saab
107,30,172,saab
87,46,136,saab
98,33,152,saab
109,30,172,saab
78,47,130,saab
92,41,147,saab
99,33,152,saab
89,46,139,saab
92,43,133,saab
103,32,168,saab
83,50,127,saab
93,40,134,saab
116,31,165,saab
109,31,167,saab
90,42,132,saab
87,52,129,saab
110,34,149,saab
97,32,171,saab
103,33,149,saab
107,31,169,saab
101,35,162,saab
92,42,131,saab
86,49,133,saab
91,44,133,saab
104,31,173,saab
92,43,129,saab
86,45,133,saab
89,48,131,saab
109,33,150,saab
111,32,167,saab
104,31,173,saab
90,42,144,saab
102,32,164,saab
97,42,149,saab
96,34,143,saab
89,39,153,saab
90,36,158,saab
92,41,148,saab
99,32,165,saab
108,31,174,saab
82,52,127,saab
95,35,148,saab
104,32,158,saab
100,36,143,saab
89,50,127,saab
96,35,158,saab
98,35,157,saab
107,31,168,saab
100,38,155,saab
109,31,162,saab
93,36,138,saab
108,30,174,saab
91,45,140,saab
85,44,134,saab
91,39,132,saab
105,32,166,saab
87,49,127,saab
85,59,118,saab
106,30,173,saab
92,43,128,saab
119,31,167,saab
83,52,127,saab
85,50,135,saab
113,33,151,saab
91,46,132,saab
85,58,121,saab
103,35,160,saab
104,32,166,saab
104,31,172,saab
97,38,140,saab
100,33,164,saab
84,48,125,saab
89,40,150,saab
115,34,162,saab
101,34,150,saab
95,34,160,saab
90,41,131,saab
104,32,157,saab
85,48,137,saab
89,55,125,saab
102,32,162,saab
105,35,162,saab
90,38,132,saab
104,31,168,saab
93,39,134,saab
85,46,131,saab
95,36,150,saab
98,34,154,saab
90,37,154,saab
109,32,156,saab
97,43,129,bus
85,46,145,bus
107,26,172,bus
86,45,146,bus
97,36,157,bus
82,44,144,bus
80,46,147,bus
94,43,142,bus
98,38,131,bus
109,29,158,bus
102,30,162,bus
87,46,144,bus
101,26,168,bus
91,42,147,bus
86,46,145,bus
82,45,144,bus
95,36,139,bus
98,35,161,bus
87,44,145,bus
84,43,143,bus
85,45,144,bus
81,44,147,bus
99,32,158,bus
94,42,133,bus
98,33,161,bus
108,26,170,bus
84,46,148,bus
107,27,168,bus
99,32,148,bus
80,45,147,bus
106,26,171,bus
87,45,142,bus
94,42,144,bus
82,46,143,bus
100,30,156,bus
81,45,144,bus
96,43,127,bus
109,28,170,bus
92,40,128,bus
87,46,136,bus
79,43,149,bus
81,45,147,bus
86,44,142,bus
102,33,146,bus
85,45,145,bus
85,46,144,bus
81,45,151,bus
89,45,147,bus
107,27,172,bus
105,30,159,bus
110,27,169,bus
91,38,138,bus
86,45,141,bus
87,45,140,bus
94,37,154,bus
86,46,143,bus
95,45,141,bus
80,45,146,bus
84,45,146,bus
104,31,161,bus
106,27,162,bus
110,26,169,bus
85,46,147,bus
92,43,131,bus
85,45,145,bus
96,38,150,bus
95,41,126,bus
91,44,140,bus
96,31,152,bus
86,44,142,bus
81,46,145,bus
82,45,144,bus
83,45,142,bus
102,29,165,bus
81,46,145,bus
85,45,139,bus
81,44,149,bus
80,45,145,bus
101,32,161,bus
90,44,138,bus
106,28,164,bus
88,46,143,bus
86,46,145,bus
108,28,167,bus
109,27,165,bus
89,43,136,bus
100,34,158,bus
81,44,146,bus
92,41,143,bus
110,26,171,bus
106,27,166,bus
93,36,152,bus
101,43,139,bus
96,34,141,bus
98,34,147,bus
98,41,124,bus
81,46,146,bus
86,45,140,bus
97,33,148,bus
83,44,147,bus
100,35,156,bus
90,45,142,bus
83,45,144,bus
82,45,147,bus
82,45,143,bus
94,41,133,bus
98,37,139,bus
85,46,146,bus
102,33,146,bus
88,44,134,bus
102,28,163,bus
81,45,147,bus
89,45,143,bus
82,46,143,bus
91,44,135,bus
85,44,145,bus
96,39,148,bus
89,46,147,bus
83,46,141,bus
83,45,143,bus
100,40,127,bus
91,44,144,bus
96,39,149,bus
88,41,134,bus
88,44,137,bus
93,35,145,bus
99,36,139,bus
90,40,130,bus
100,36,138,bus
85,45,145,bus
114,26,169,bus
94,46,142,bus
111,26,174,bus
98,39,136,bus
94,35,145,bus
86,45,144,bus
89,47,143,bus
81,44,146,bus
103,28,160,bus
84,46,144,bus
97,37,129,bus
80,45,145,bus
94,42,127,bus
82,45,138,bus
101,28,164,bus
79,44,144,bus
83,45,146,bus
93,43,131,bus
94,35,145,bus
85,45,145,bus
90,43,131,bus
82,44,145,bus
107,28,171,bus
86,45,146,bus
83,46,143,bus
98,39,150,bus
81,44,148,bus
84,43,145,bus
85,45,146,bus
84,44,143,bus
86,45,144,bus
78,46,145,bus
82,44,143,bus
87,46,141,bus
86,45,150,bus
86,46,144,bus
84,46,142,bus
87,44,138,bus
96,39,128,bus
89,42,136,bus
87,42,138,bus
85,45,145,bus
85,46,144,bus
105,33,159,bus
86,45,147,bus
96,41,145,bus
95,38,152,bus
91,38,137,bus
85,45,143,bus
88,46,141,bus
99,35,153,bus
93,37,158,bus
92,42,131,bus
97,40,144,bus
88,44,143,bus
86,45,141,bus
85,46,143,bus
87,45,134,bus
89,44,136,bus
85,45,146,bus
86,46,144,bus
86,44,145,bus
85,46,145,bus
107,26,169,bus
99,31,159,bus
97,42,143,bus
87,46,143,bus
89,50,137,opel
89,42,125,opel
93,44,141,opel
109,32,156,opel
88,51,134,opel
78,57,124,opel
76,51,127,opel
77,46,132,opel
103,32,159,opel
98,42,148,opel
94,38,135,opel
96,33,147,opel
89,46,127,opel
105,31,173,opel
97,31,172,opel
109,34,161,opel
80,53,124,opel
104,30,176,opel
106,31,170,opel
95,35,161,opel
106,30,173,opel
107,35,148,opel
98,30,182,opel
89,48,126,opel
89,41,149,opel
77,52,130,opel
104,30,177,opel
92,45,142,opel
102,31,173,opel
95,32,151,opel
82,51,128,opel
100,32,147,opel
95,37,154,opel
92,37,137,opel
97,33,155,opel
87,40,129,opel
85,54,125,opel
90,48,138,opel
81,51,128,opel
101,32,169,opel
88,38,138,opel
85,55,130,opel
87,35,141,opel
104,30,177,opel
88,59,122,opel
91,45,131,opel
101,32,162,opel
90,37,132,opel
103,30,174,opel
99,33,166,opel
95,40,145,opel
105,30,175,opel
106,36,158,opel
102,31,174,opel
99,30,180,opel
104,31,170,opel
101,30,178,opel
102,36,142,opel
86,48,135,opel
89,46,139,opel
94,40,148,opel
80,49,131,opel
103,34,161,opel
96,31,175,opel
101,31,172,opel
108,31,160,opel
89,46,137,opel
87,37,153,opel
93,40,147,opel
101,30,177,opel
106,31,161,opel
95,33,148,opel
107,33,164,opel
100,35,147,opel
97,30,186,opel
103,31,173,opel
93,51,120,opel
103,31,170,opel
101,31,177,opel
104,33,161,opel
84,54,132,opel
97,31,156,opel
89,37,156,opel
99,35,159,opel
104,30,172,opel
109,32,158,opel
103,30,173,opel
85,44,126,opel
95,35,143,opel
106,31,166,opel
84,37,131,opel
97,41,131,opel
103,32,173,opel
87,44,145,opel
95,37,141,opel
89,40,143,opel
85,44,133,opel
102,30,171,opel
103,32,153,opel
86,43,133,opel
103,31,175,opel
105,30,170,opel
102,33,157,opel
102,31,162,opel
105,33,163,opel
95,31,175,opel
89,50,126,opel
88,48,143,opel
84,49,127,opel
104,35,161,opel
104,30,176,opel
104,32,169,opel
102,31,171,opel
82,44,133,opel
97,37,140,opel
105,34,150,opel
96,33,163,opel
85,45,128,opel
100,30,162,opel
88,44,145,opel
107,30,179,opel
101,33,156,opel
94,41,133,opel
93,44,124,opel
73,55,128,opel
98,30,178,opel
84,50,130,opel
104,30,166,opel
92,40,149,opel
97,34,147,opel
100,35,156,opel
99,30,188,opel
105,31,167,opel
97,35,151,opel
93,46,128,opel
99,30,178,opel
100,30,180,opel
106,33,161,opel
92,41,135,opel
78,55,124,opel
98,30,178,opel
101,30,178,opel
79,47,135,opel
96,32,166,opel
108,30,171,opel
93,36,141,opel
100,30,182,opel
93,45,125,opel
98,32,172,opel
92,41,149,opel
84,45,134,opel
86,52,127,opel
91,34,161,opel
88,41,129,opel
98,31,168,opel
98,31,152,opel
94,39,130,opel
96,39,152,opel
80,54,125,opel
88,48,123,opel
107,32,163,opel
99,30,176,opel
90,41,131,opel
91,44,146,opel
96,31,175,opel
111,30,172,opel
107,31,162,opel
97,31,173,opel
101,31,175,opel
93,42,146,opel
97,39,150,opel
86,39,132,opel
91,40,134,opel
100,30,163,opel
89,45,144,opel
82,45,134,opel
99,34,152,opel
100,30,177,opel
92,48,138,opel
86,43,127,opel
86,44,141,opel
103,31,165,opel
87,42,144,opel
92,44,143,opel
79,48,135,opel
92,35,161,opel
97,36,155,opel
86,50,136,opel
80,59,119,opel
100,32,164,opel
