@relation vehicle

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
39,64,166,20,138,131,saab
52,64,201,23,158,204,saab
45,64,187,22,150,158,saab
54,67,222,25,173,200,saab
54,68,207,24,164,238,saab
40,58,174,21,139,160,saab
37,63,164,20,134,139,saab
37,58,125,18,130,145,saab
41,56,141,18,141,169,saab
46,56,160,20,148,184,saab
42,63,185,22,138,173,saab
52,62,217,24,165,214,saab
54,63,222,25,175,213,saab
37,53,134,18,127,146,saab
36,61,142,19,128,137,saab
54,68,214,24,169,212,saab
55,68,219,25,172,216,saab
48,64,201,23,152,178,saab
44,59,152,19,143,177,saab
50,56,214,24,159,203,saab
53,55,212,24,168,223,saab
36,57,153,19,128,124,saab
54,61,216,24,173,220,saab
38,60,170,21,134,138,saab
54,62,218,24,170,217,saab
36,57,128,18,125,139,saab
37,54,132,18,127,142,saab
43,59,152,19,143,187,saab
49,61,207,24,157,168,saab
36,60,150,19,128,131,saab
36,64,160,20,125,139,saab
47,59,168,20,152,185,saab
53,57,211,24,168,218,saab
47,59,199,23,154,165,saab
51,67,204,23,162,195,saab
53,54,216,24,171,218,saab
50,66,207,23,158,220,saab
54,65,218,25,167,216,saab
48,60,175,21,153,187,saab
40,58,142,19,137,164,saab
36,63,140,18,131,126,saab
55,69,215,24,168,214,saab
53,64,220,25,166,214,saab
54,65,198,23,164,240,saab
45,56,154,19,149,170,saab
51,57,213,24,162,190,saab
36,57,121,17,127,132,saab
54,68,218,25,170,224,saab
51,59,214,24,162,194,saab
53,69,221,25,169,212,saab
47,66,173,21,151,205,saab
52,65,212,24,163,220,saab
53,67,217,24,165,222,saab
49,61,212,24,159,215,saab
54,62,202,23,164,235,saab
38,55,146,19,130,158,saab
36,53,125,18,126,128,saab
45,64,161,20,151,174,saab
39,55,146,19,132,149,saab
36,56,155,19,126,123,saab
51,60,196,23,162,184,saab
45,57,159,20,147,177,saab
36,60,157,19,128,123,saab
54,66,218,24,169,216,saab
41,59,175,21,140,147,saab
55,66,214,24,173,221,saab
53,56,220,25,167,214,saab
51,56,213,24,162,217,saab
53,60,215,24,169,218,saab
54,57,220,25,174,214,saab
39,59,163,20,131,158,saab
38,60,170,21,131,144,saab
39,62,175,21,132,154,saab
52,59,197,23,158,234,saab
47,61,164,20,150,190,saab
53,71,221,25,167,202,saab
42,62,144,19,139,170,saab
39,58,151,19,136,140,saab
53,65,213,24,168,221,saab
49,59,207,24,156,213,saab
36,60,150,19,133,121,saab
51,66,188,22,157,231,saab
38,53,144,19,131,149,saab
39,58,128,18,134,158,saab
54,68,208,24,166,218,saab
37,61,157,20,134,125,saab
43,56,149,19,140,165,saab
44,62,183,22,146,152,saab
40,59,137,18,133,151,saab
53,64,220,25,172,203,saab
55,71,211,24,171,223,saab
40,60,160,20,133,155,saab
46,60,158,20,148,181,saab
53,65,193,22,160,237,saab
46,60,197,23,147,198,saab
54,69,221,25,170,202,saab
51,54,208,24,162,221,saab
39,63,175,21,132,156,saab
40,56,133,18,135,166,saab
53,63,222,25,168,201,saab
49,63,176,21,154,222,saab
38,60,148,19,131,157,saab
48,64,169,20,153,190,saab
36,53,135,18,126,144,saab
56,72,217,24,171,216,saab
38,54,147,19,131,145,saab
36,58,135,18,124,148,saab
56,71,219,25,172,217,saab
38,59,161,20,131,137,saab
48,63,201,23,152,199,saab
53,62,216,24,165,196,saab
53,63,219,25,172,212,saab
53,64,206,23,163,202,saab
51,60,195,22,161,219,saab
51,69,183,22,156,230,saab
45,66,192,22,143,195,saab
52,60,215,24,162,212,saab
47,64,198,23,150,191,saab
35,57,122,17,125,128,saab
41,58,148,19,136,178,saab
43,59,154,19,144,158,saab
34,55,123,17,118,118,saab
53,63,219,25,168,198,saab
52,59,208,24,163,197,saab
36,55,140,18,125,138,saab
46,61,198,23,150,195,saab
46,61,166,20,154,175,saab
54,66,214,24,167,212,saab
37,63,135,18,128,143,saab
37,60,158,20,131,144,saab
40,59,132,18,135,150,saab
35,57,116,17,123,128,saab
49,65,173,21,158,194,bus
36,70,149,19,127,127,bus
45,69,148,19,144,184,bus
42,75,171,20,138,161,bus
46,61,153,19,148,190,bus
55,51,241,26,165,247,bus
45,73,151,19,146,186,bus
38,66,164,20,131,137,bus
39,66,148,19,134,143,bus
43,64,150,19,144,171,bus
40,73,158,20,134,148,bus
42,66,145,19,140,159,bus
45,66,146,19,144,176,bus
46,70,151,19,147,198,bus
44,72,153,19,144,178,bus
37,70,154,19,131,127,bus
49,71,174,21,154,206,bus
51,65,209,24,159,214,bus
53,72,238,26,163,242,bus
43,57,151,19,143,168,bus
43,64,145,19,141,171,bus
44,64,154,19,144,177,bus
43,56,152,19,142,173,bus
38,68,171,20,129,137,bus
56,53,257,28,168,230,bus
57,51,257,28,172,232,bus
42,64,151,19,143,157,bus
44,58,148,19,145,185,bus
55,49,252,28,172,239,bus
43,56,148,19,145,171,bus
43,54,150,19,145,176,bus
44,70,155,19,145,166,bus
45,69,156,19,144,191,bus
55,57,241,26,170,242,bus
52,69,192,22,161,221,bus
42,55,149,19,146,172,bus
49,73,178,21,157,186,bus
42,64,149,19,142,158,bus
43,54,150,19,147,175,bus
44,75,146,19,141,178,bus
51,60,220,25,162,209,bus
43,75,155,19,143,173,bus
42,69,169,20,137,156,bus
50,67,186,22,158,198,bus
43,57,149,19,146,172,bus
47,72,167,20,150,182,bus
37,71,154,19,127,132,bus
44,53,151,19,147,178,bus
39,66,145,19,134,139,bus
42,62,147,19,143,153,bus
51,71,195,22,159,188,bus
43,69,177,21,139,163,bus
43,65,147,19,145,168,bus
44,61,147,19,143,183,bus
49,70,183,21,156,198,bus
36,73,156,19,126,124,bus
44,59,150,19,145,173,bus
43,62,153,19,144,174,bus
45,69,184,22,145,183,bus
40,61,172,21,139,141,bus
54,61,225,25,165,231,bus
42,53,152,19,141,172,bus
44,74,184,22,145,154,bus
42,56,150,19,145,172,bus
44,66,144,19,147,169,bus
56,64,250,27,169,239,bus
45,63,149,19,145,176,bus
41,71,176,21,138,151,bus
46,74,163,20,149,191,bus
42,54,148,19,143,171,bus
44,54,151,19,147,185,bus
44,50,150,19,147,189,bus
46,68,152,19,148,192,bus
43,72,152,19,145,171,bus
54,47,247,27,166,242,bus
43,53,150,19,144,172,bus
45,58,151,19,146,187,bus
42,53,149,19,143,160,bus
42,54,148,19,141,174,bus
38,68,164,20,136,129,bus
57,55,234,26,171,229,bus
49,54,212,24,153,198,bus
37,66,151,19,129,119,bus
44,64,141,18,143,173,bus
45,74,157,19,143,183,bus
55,59,240,26,168,245,bus
42,53,149,19,145,163,bus
51,72,184,21,161,198,bus
43,56,149,19,143,171,bus
45,64,192,22,146,163,bus
44,55,150,19,148,176,bus
44,70,144,19,141,172,bus
46,63,192,22,147,174,bus
44,61,147,19,143,180,bus
44,60,153,19,146,178,bus
44,64,148,19,145,185,bus
43,65,153,19,143,172,bus
45,56,151,19,145,186,bus
42,58,149,19,144,172,bus
37,74,165,20,128,136,bus
47,71,176,21,152,201,bus
45,64,146,19,142,180,bus
57,52,257,28,169,261,bus
40,68,150,19,137,151,bus
36,73,162,20,127,125,bus
42,55,152,19,142,173,bus
52,66,208,24,161,218,bus
43,62,152,19,145,179,bus
41,64,151,19,138,152,bus
44,69,143,18,143,170,bus
45,64,147,19,143,184,bus
37,72,158,19,133,127,bus
46,65,149,19,146,185,bus
47,60,197,23,148,201,bus
51,51,217,24,165,208,bus
54,48,247,27,165,243,bus
45,56,148,19,144,186,bus
42,50,152,19,141,171,bus
43,68,150,19,143,173,bus
41,64,177,21,134,148,bus
46,66,151,19,146,189,bus
54,57,236,26,164,253,bus
57,67,262,28,171,260,bus
42,67,149,19,139,165,bus
45,54,149,19,145,186,bus
44,53,151,19,146,190,bus
53,65,204,23,161,214,bus
50,63,218,24,156,213,bus
43,56,150,19,144,173,bus
57,56,260,28,175,261,bus
46,59,150,19,146,183,bus
43,62,149,19,145,171,bus
57,50,255,28,169,264,bus
53,47,237,26,164,222,bus
56,75,239,26,167,228,bus
43,60,150,19,146,176,bus
42,55,149,19,145,172,bus
51,65,201,23,159,205,bus
35,68,155,19,124,117,bus
43,54,148,19,145,174,bus
39,61,143,18,136,141,bus
45,71,186,22,145,182,bus
42,67,150,19,144,159,bus
43,74,152,19,143,168,bus
38,69,166,20,131,138,bus
54,67,250,27,162,262,bus
45,57,148,19,145,186,bus
39,72,155,19,133,145,bus
49,59,213,24,152,210,bus
47,70,162,20,153,172,bus
41,69,177,21,139,151,bus
38,69,160,20,130,133,bus
47,68,154,19,146,190,bus
56,57,251,27,169,268,bus
42,51,150,19,141,171,bus
52,52,236,26,160,250,bus
43,54,150,19,144,177,bus
58,51,261,28,171,257,bus
47,64,151,19,147,195,bus
46,75,154,19,147,192,bus
44,61,143,18,143,173,bus
43,62,150,19,142,164,bus
40,63,146,19,135,145,bus
40,76,150,19,136,148,bus
43,55,150,19,146,173,bus
42,65,155,19,138,157,bus
40,67,149,19,135,144,bus
41,68,150,19,138,157,bus
47,74,202,23,148,186,bus
43,56,148,19,145,171,bus
57,51,256,28,170,261,bus
50,54,222,25,159,206,bus
47,61,153,19,149,199,bus
44,56,152,19,150,177,bus
46,57,151,19,147,188,bus
45,71,161,20,144,186,bus
45,69,151,19,147,186,bus
43,67,142,18,142,177,bus
44,52,152,19,147,177,bus
46,56,153,19,149,191,bus
45,56,151,19,147,176,bus
43,53,150,19,147,176,bus
43,65,151,19,143,160,bus
45,65,145,19,144,177,bus
49,74,190,22,154,209,bus
47,64,154,19,145,184,bus
43,55,186,22,141,162,bus
41,66,153,19,136,154,bus
41,64,148,19,138,152,bus
38,64,151,19,131,139,bus
37,68,151,19,131,135,bus
44,103,149,19,144,188,bus
46,70,167,20,148,171,bus
43,54,151,19,146,176,bus
51,62,203,23,158,219,bus
48,68,199,23,150,200,bus
48,68,208,24,154,204,opel
39,59,150,19,134,133,opel
56,64,217,24,173,216,opel
35,59,142,18,128,120,opel
57,72,221,25,177,218,opel
45,59,159,20,146,188,opel
38,56,163,20,129,140,opel
39,57,156,20,133,157,opel
53,58,217,24,166,191,opel
35,58,114,17,122,138,opel
42,62,183,21,141,168,opel
38,59,134,18,126,135,opel
49,54,208,24,159,183,opel
54,58,222,25,171,203,opel
45,59,154,19,145,172,opel
41,56,146,19,137,156,opel
46,64,197,23,152,159,opel
38,53,134,18,132,123,opel
43,59,151,19,141,174,opel
45,60,157,20,148,186,opel
55,68,218,24,171,210,opel
50,63,193,22,161,185,opel
46,58,165,20,149,164,opel
38,61,164,20,129,130,opel
49,67,201,23,156,174,opel
44,62,186,22,147,151,opel
39,69,168,20,133,151,opel
55,68,224,25,178,213,opel
54,56,219,25,171,223,opel
48,63,181,21,155,189,opel
35,60,150,19,125,137,opel
52,59,188,22,161,205,opel
51,57,212,24,162,184,opel
52,55,210,24,166,215,opel
36,55,147,19,128,134,opel
52,64,203,23,157,186,opel
55,62,212,24,175,219,opel
43,65,189,22,143,166,opel
55,53,224,25,178,217,opel
37,55,125,18,125,132,opel
42,65,178,21,141,149,opel
36,56,138,18,126,130,opel
53,63,220,25,167,214,opel
45,57,150,19,146,180,opel
49,61,181,21,158,180,opel
55,56,219,25,175,216,opel
44,66,162,20,143,180,opel
55,65,204,23,166,246,opel
36,57,131,18,127,139,opel
38,59,169,20,132,148,opel
41,63,179,21,140,136,opel
48,71,205,23,153,197,opel
58,65,226,25,182,216,opel
55,70,210,24,168,245,opel
37,60,161,20,131,136,opel
56,55,214,24,175,224,opel
38,61,146,19,127,142,opel
54,53,213,24,173,201,opel
57,63,227,25,180,205,opel
40,57,153,19,133,153,opel
55,57,222,25,177,211,opel
57,69,219,25,176,219,opel
47,69,200,23,147,200,opel
46,64,162,20,149,178,opel
56,69,208,24,169,223,opel
54,56,223,25,174,200,opel
43,56,149,19,143,168,opel
53,54,216,24,172,187,opel
52,57,214,24,162,189,opel
38,56,132,18,130,141,opel
39,62,172,21,135,121,opel
55,65,212,24,165,249,opel
55,57,225,25,177,204,opel
41,55,135,18,136,165,opel
52,64,202,23,164,192,opel
40,52,152,19,133,163,opel
50,64,185,22,159,193,opel
54,67,200,23,163,214,opel
38,62,161,20,135,132,opel
52,67,198,23,163,226,opel
38,58,133,18,127,145,opel
52,53,212,24,163,204,opel
40,62,140,18,135,162,opel
47,57,161,20,149,197,opel
42,60,147,19,142,160,opel
54,57,219,25,170,217,opel
58,69,219,25,176,246,opel
47,60,167,20,147,201,opel
46,67,195,22,147,194,opel
54,57,220,25,170,198,opel
57,69,218,24,173,250,opel
56,61,221,25,179,212,opel
55,63,215,24,172,219,opel
56,62,227,25,178,204,opel
57,74,212,24,175,223,opel
40,59,130,18,134,144,opel
44,70,189,22,141,178,opel
46,62,167,20,148,193,opel
52,62,193,22,161,244,opel
38,59,133,18,128,146,opel
48,64,201,23,155,162,opel
35,62,149,19,124,125,opel
39,54,135,18,131,162,opel
48,62,205,23,158,168,opel
41,55,138,18,138,158,opel
51,59,192,22,161,195,opel
38,55,122,17,130,144,opel
46,61,193,22,150,161,opel
42,58,140,18,138,151,opel
36,64,157,19,126,142,opel
54,59,213,24,172,217,opel
48,59,171,21,152,196,opel
45,65,201,23,147,189,opel
39,53,142,19,135,144,opel
54,50,221,25,172,201,opel
37,59,162,20,133,130,opel
55,59,215,24,177,223,opel
57,66,221,25,176,236,opel
52,60,218,24,167,197,opel
36,56,120,17,124,135,opel
40,55,150,19,134,165,opel
49,64,177,21,153,209,opel
56,74,220,25,172,218,opel
49,63,177,21,156,201,opel
45,62,188,22,148,159,opel
41,63,175,21,142,138,opel
51,68,209,24,162,224,opel
48,61,207,23,152,193,opel
39,60,177,21,131,145,opel
36,62,157,19,125,126,opel
38,62,126,18,132,139,opel
48,62,200,23,158,164,opel
52,68,222,25,165,207,opel
52,53,219,25,166,218,opel
46,66,192,22,151,169,opel
39,54,153,19,134,139,opel
55,68,205,23,169,216,opel
55,68,215,24,170,214,opel
49,57,206,23,156,186,opel
39,62,162,20,131,147,opel
54,64,222,25,174,199,opel
55,54,215,24,175,221,opel
55,70,223,25,177,218,opel
59,70,224,25,186,218,opel
36,62,140,18,123,129,opel
49,63,186,22,156,176,opel
51,67,217,24,162,206,opel
39,56,139,18,131,142,opel
44,60,152,19,141,161,opel
38,59,147,19,132,136,opel
53,66,209,24,163,212,opel
51,52,206,23,164,193,opel
40,61,178,21,132,157,opel
40,62,176,21,138,150,opel
52,62,198,23,161,204,opel
58,70,226,25,182,207,opel
52,62,200,23,161,200,opel
53,63,195,22,162,210,opel
41,65,183,21,137,153,opel
54,62,200,23,166,241,opel
44,54,149,19,144,168,opel
56,59,210,24,173,218,opel
44,59,151,19,145,177,opel
46,65,196,23,146,199,opel
44,56,142,19,143,174,opel
37,62,161,20,131,117,opel
37,54,154,19,127,145,opel
52,67,189,22,161,240,opel
51,60,211,24,160,187,opel
55,62,222,25,180,213,opel
55,54,216,24,173,218,opel
36,56,123,17,124,121,opel
45,60,156,19,144,174,opel
38,57,139,18,127,127,opel
48,67,205,23,151,202,opel
42,55,145,19,139,166,opel
40,55,147,19,135,144,opel
57,54,224,25,188,213,opel
46,68,201,23,148,201,opel
34,57,138,18,122,120,opel
50,65,214,24,156,218,opel
51,70,220,25,163,206,opel
36,57,135,18,126,128,opel
55,67,218,24,174,226,opel
40,58,132,18,137,151,opel
38,59,130,18,130,139,opel
51,63,190,22,161,235,opel
50,65,178,21,156,210,opel
52,71,214,24,164,199,opel
55,61,225,25,178,204,opel
55,69,225,25,178,216,opel
