@relation vehicle

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Minor_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
85,43,150,159,3,202,van
84,43,159,176,1,197,van
79,46,139,149,8,197,van
69,49,145,162,3,191,van
91,45,148,171,18,205,van
78,43,160,176,5,194,van
77,48,139,123,8,209,van
83,42,159,184,6,197,van
64,51,142,153,6,201,van
73,46,144,179,10,199,van
63,55,137,150,12,188,van
72,48,144,171,9,203,van
60,56,130,118,6,198,van
76,47,131,138,5,196,van
63,50,142,162,15,204,van
78,47,148,171,19,207,van
76,51,135,124,0,192,van
81,46,139,157,0,199,van
69,48,134,124,1,195,van
51,57,129,125,2,185,van
81,46,147,179,11,202,van
85,43,155,187,12,196,van
79,46,150,134,4,203,van
82,46,137,158,13,201,van
64,51,144,155,16,185,van
57,58,135,145,17,202,van
100,33,149,186,8,200,saab
72,44,133,121,2,205,saab
83,37,154,222,1,195,saab
96,35,157,231,10,199,saab
101,31,168,221,12,198,saab
104,31,172,217,19,196,saab
98,31,171,218,1,197,saab
100,31,165,214,14,197,saab
57,50,125,144,16,184,saab
110,31,159,203,18,202,saab
75,48,125,138,4,195,saab
83,45,132,149,6,191,saab
53,58,121,127,3,189,saab
78,38,139,160,3,200,saab
77,44,143,177,8,187,saab
54,52,127,140,4,184,saab
100,31,173,221,1,194,saab
105,32,162,221,9,197,saab
101,31,172,222,14,196,saab
105,32,163,222,8,196,saab
105,31,168,218,0,197,saab
100,34,159,201,7,205,saab
50,59,118,127,1,185,saab
83,41,148,184,10,191,saab
89,37,133,155,7,196,saab
104,32,171,223,1,196,saab
62,45,133,173,2,185,saab
102,33,164,240,4,196,saab
105,34,150,195,7,205,saab
85,39,153,190,16,201,saab
76,42,149,169,16,206,saab
106,33,149,210,9,199,saab
85,41,131,158,7,192,saab
58,46,131,157,12,183,saab
63,52,134,158,9,204,saab
110,31,165,222,16,206,saab
63,47,130,146,2,185,saab
88,38,155,169,15,210,saab
83,47,128,137,0,200,saab
103,31,156,188,9,200,saab
103,31,162,217,2,198,saab
100,37,134,160,5,202,saab
112,32,162,194,0,206,saab
103,31,167,212,1,201,saab
71,49,127,145,0,186,saab
83,39,132,142,0,199,saab
77,45,128,131,0,203,saab
75,47,131,149,1,191,saab
80,41,131,137,5,197,saab
92,36,143,153,6,205,saab
104,32,159,186,15,202,saab
100,31,173,220,5,195,saab
57,56,127,132,22,195,saab
66,46,136,178,19,185,saab
109,31,169,212,11,202,saab
60,52,129,132,1,192,saab
88,38,140,147,1,205,saab
103,30,168,214,11,199,saab
76,44,143,176,14,194,saab
90,37,144,138,3,208,saab
66,54,118,118,5,202,saab
104,34,147,198,13,197,saab
98,31,167,216,1,199,saab
80,43,129,144,6,195,saab
79,40,148,179,0,208,saab
101,35,162,203,14,202,saab
81,39,152,185,4,198,saab
108,31,168,198,10,203,saab
100,30,170,202,0,199,saab
81,41,147,188,11,199,saab
66,47,124,117,1,207,saab
105,36,150,158,7,211,saab
108,32,167,216,21,205,saab
103,30,175,213,6,200,saab
74,42,134,134,3,197,saab
98,38,135,165,9,205,saab
106,32,164,238,0,200,saab
100,34,149,160,11,203,saab
104,31,167,214,15,199,saab
88,38,151,205,0,202,saab
75,46,131,145,7,188,saab
98,36,146,152,4,204,saab
100,33,158,234,10,198,saab
100,35,160,178,13,208,saab
108,31,168,201,15,203,saab
106,32,166,218,14,199,saab
105,33,152,178,0,204,saab
104,32,163,197,1,198,saab
76,40,134,139,4,197,saab
74,44,136,140,1,196,saab
54,54,126,128,1,184,saab
90,36,158,220,6,199,saab
104,32,164,210,5,203,saab
63,46,130,158,9,185,saab
66,49,136,162,5,189,saab
104,31,162,212,11,199,saab
110,31,163,220,21,205,saab
77,42,126,123,8,201,saab
83,40,150,190,7,193,saab
96,31,170,217,2,198,saab
108,31,168,200,22,205,saab
98,33,151,183,17,204,saab
103,32,155,215,6,198,saab
86,42,131,144,9,196,saab
89,35,144,166,6,199,saab
90,37,155,197,10,201,saab
72,45,140,165,13,191,saab
77,46,146,174,13,201,saab
101,34,143,195,3,197,saab
93,31,165,196,6,199,saab
108,32,163,202,21,205,saab
104,31,162,190,18,199,saab
103,30,172,212,6,199,saab
72,50,135,150,3,195,saab
71,43,134,125,5,208,saab
95,34,160,237,3,196,saab
105,30,167,202,3,200,saab
100,34,162,184,22,208,saab
83,38,134,152,0,194,saab
109,32,156,213,13,202,saab
98,36,138,173,10,197,saab
54,53,125,139,6,183,saab
105,32,157,168,0,207,saab
74,42,128,123,6,204,saab
71,43,133,130,4,195,saab
108,31,168,228,4,201,saab
107,32,153,200,5,203,saab
108,30,163,202,12,200,saab
103,32,162,240,9,197,saab
86,39,134,129,6,204,saab
109,31,159,215,16,199,saab
80,42,132,115,3,209,saab
106,32,158,220,14,196,saab
96,35,156,195,3,206,saab
101,33,152,174,2,197,saab
78,43,128,124,4,211,saab
106,32,168,223,16,197,saab
101,31,171,216,2,197,saab
108,31,163,203,15,201,saab
104,35,148,169,0,200,saab
101,33,158,204,2,204,saab
66,52,127,142,17,187,saab
105,32,165,224,0,201,saab
83,41,133,155,5,191,saab
89,38,132,154,11,195,saab
76,41,147,177,8,195,saab
82,43,149,170,3,193,saab
109,31,174,214,12,201,saab
103,30,172,216,10,197,saab
72,42,144,158,15,209,saab
102,31,171,221,17,198,saab
108,31,172,203,14,203,saab
54,50,127,141,3,183,saab
101,30,177,213,2,199,saab
85,39,139,133,2,210,saab
101,36,138,168,7,206,saab
59,51,128,143,11,185,saab
101,30,173,200,3,201,saab
109,31,169,212,13,201,saab
54,50,127,146,16,185,saab
98,31,169,216,14,197,saab
66,48,137,164,2,186,saab
104,33,152,199,8,197,saab
95,35,144,175,15,197,saab
80,46,139,170,17,189,saab
90,38,152,198,13,199,saab
75,44,134,160,7,187,saab
101,32,166,202,13,198,saab
96,33,150,191,4,198,saab
98,31,169,218,8,197,saab
109,31,171,214,10,201,saab
77,42,148,181,12,199,saab
94,35,158,214,8,201,saab
77,47,142,158,10,205,saab
69,48,131,126,1,204,saab
87,40,134,149,7,195,saab
108,31,170,224,13,204,saab
108,31,168,209,0,201,saab
103,30,174,214,8,197,saab
78,39,136,141,9,199,saab
72,46,132,149,9,189,saab
78,50,124,148,0,195,saab
63,54,130,145,14,188,saab
88,39,131,144,2,204,saab
66,49,133,151,6,190,saab
100,30,166,214,21,199,saab
105,35,162,194,18,205,saab
104,32,162,195,3,197,saab
52,55,125,128,5,184,saab
105,33,164,235,12,200,saab
85,38,153,187,5,210,saab
109,34,154,165,1,208,saab
96,36,144,165,4,199,saab
72,50,123,125,5,206,saab
106,31,167,232,20,202,saab
84,38,138,161,3,201,bus
65,45,145,186,1,184,bus
102,26,169,261,2,184,bus
81,34,158,198,6,198,bus
72,44,144,177,0,187,bus
88,32,158,219,8,190,bus
73,44,143,160,5,189,bus
65,46,148,176,1,183,bus
71,44,147,198,3,186,bus
106,28,164,253,6,185,bus
68,46,146,172,6,184,bus
71,45,142,158,2,190,bus
92,30,162,209,7,186,bus
75,42,131,127,0,202,bus
91,32,161,214,5,192,bus
76,44,144,179,12,201,bus
76,44,136,148,3,197,bus
98,27,168,245,3,184,bus
103,27,172,239,5,186,bus
75,36,138,151,7,197,bus
74,43,149,199,6,189,bus
65,45,150,177,4,183,bus
68,46,147,176,7,184,bus
73,40,127,125,6,204,bus
91,32,148,186,4,191,bus
79,37,158,194,5,202,bus
70,46,136,141,1,199,bus
102,28,171,229,7,187,bus
69,44,147,195,5,188,bus
70,46,145,171,6,182,bus
100,27,162,262,5,182,bus
80,33,159,188,6,194,bus
77,38,150,182,6,203,bus
106,26,172,232,2,184,bus
68,45,147,178,4,183,bus
73,43,131,135,1,205,bus
84,36,152,201,7,201,bus
70,47,143,173,9,199,bus
68,45,151,179,3,183,bus
70,44,134,143,5,201,bus
73,44,145,176,6,196,bus
68,45,143,180,1,191,bus
65,45,141,172,5,183,bus
70,41,124,117,3,205,bus
68,45,144,171,1,185,bus
96,28,170,242,8,184,bus
75,42,147,192,8,199,bus
76,44,143,157,0,193,bus
70,45,146,185,6,188,bus
79,37,154,206,6,199,bus
71,44,148,190,1,187,bus
69,46,144,177,3,182,bus
69,44,145,179,1,184,bus
106,26,169,264,5,183,bus
66,46,145,174,8,181,bus
62,43,139,165,7,209,bus
72,46,143,183,6,185,bus
71,45,143,173,7,186,bus
106,26,170,261,11,181,bus
68,45,145,176,4,183,bus
66,45,144,185,1,185,bus
71,45,144,176,5,196,bus
85,33,146,163,6,193,bus
94,31,161,218,11,191,bus
72,46,147,169,11,198,bus
107,26,171,260,9,184,bus
66,44,142,173,6,185,bus
71,45,147,176,3,187,bus
70,45,143,153,2,189,bus
64,46,144,173,9,184,bus
65,46,144,171,4,182,bus
65,45,141,171,4,183,bus
79,35,153,171,5,195,bus
70,45,145,172,10,185,bus
64,46,143,171,1,182,bus
63,45,142,173,0,184,bus
66,45,144,159,4,188,bus
68,46,145,171,1,184,bus
63,45,147,185,3,182,bus
65,45,140,172,2,182,bus
74,45,134,139,3,200,bus
103,27,166,242,4,183,bus
76,45,140,152,7,195,bus
66,44,140,159,4,207,bus
86,35,145,183,0,197,bus
68,45,144,184,5,184,bus
104,26,168,230,5,184,bus
63,46,145,172,7,182,bus
70,45,142,156,6,188,bus
68,45,147,186,1,185,bus
93,30,159,206,4,184,bus
109,27,169,268,11,183,bus
76,43,143,173,5,190,bus
101,28,163,242,7,184,bus
70,45,138,152,5,195,bus
71,44,149,191,3,186,bus
73,42,127,132,2,206,bus
66,46,147,175,0,182,bus
80,35,156,198,3,199,bus
72,38,131,138,1,202,bus
72,41,133,127,0,204,bus
70,42,144,178,7,206,bus
71,45,141,171,8,200,bus
76,42,138,157,6,193,bus
77,36,139,151,4,199,bus
76,42,136,153,8,195,bus
82,34,141,162,0,196,bus
71,46,141,172,4,193,bus
59,46,144,172,8,182,bus
70,43,129,119,0,208,bus
73,44,137,151,2,200,bus
66,46,145,171,6,182,bus
83,36,139,163,6,198,bus
73,45,147,188,9,184,bus
65,46,143,171,6,182,bus
70,45,144,188,9,183,bus
75,43,136,154,2,195,bus
71,45,146,176,6,184,bus
72,40,144,186,7,203,bus
70,45,146,176,1,184,bus
68,41,145,166,5,206,bus
75,43,131,139,0,204,bus
103,26,169,239,4,183,bus
81,38,137,156,3,204,bus
70,44,143,168,1,189,bus
72,44,146,178,1,186,bus
66,45,139,155,6,191,bus
73,38,152,185,9,206,bus
68,44,146,186,7,189,bus
70,44,145,171,6,187,bus
66,46,145,186,0,182,bus
76,43,131,143,6,200,bus
98,31,152,210,8,189,bus
76,36,157,186,0,200,bus
77,37,139,141,4,201,bus
70,46,145,168,1,186,bus
70,45,146,187,2,186,bus
75,40,128,135,1,202,bus
88,33,148,201,8,191,bus
73,41,126,124,2,204,bus
92,31,159,214,5,189,bus
74,39,128,136,1,200,bus
98,29,165,231,9,187,bus
98,28,164,222,4,184,bus
102,27,165,247,10,183,bus
68,45,145,173,7,185,bus
70,39,148,171,17,203,bus
66,46,144,177,2,188,bus
66,45,145,185,8,183,bus
75,43,145,184,0,192,bus
98,30,156,213,8,189,bus
88,34,147,174,2,197,bus
76,44,135,144,4,200,bus
75,37,129,137,2,199,bus
68,46,142,180,5,187,bus
68,44,142,164,4,192,bus
68,45,147,189,6,182,bus
70,46,143,173,7,203,bus
84,35,145,154,4,197,bus
95,29,158,217,0,186,bus
70,45,145,186,8,184,bus
61,46,144,172,8,182,bus
89,35,145,182,4,198,bus
64,43,142,177,9,206,bus
70,39,136,129,3,203,bus
79,40,130,133,2,205,bus
72,44,144,174,0,188,bus
74,41,143,183,8,201,bus
86,33,161,221,4,195,bus
74,39,149,191,7,200,bus
103,28,160,250,3,184,bus
70,46,143,170,7,193,bus
66,45,143,168,4,183,bus
105,26,174,255,4,183,bus
73,44,145,173,2,188,bus
75,42,133,145,4,200,bus
70,46,141,147,4,195,bus
83,33,146,167,0,191,bus
71,44,138,157,3,197,bus
73,45,146,183,8,191,bus
71,45,146,189,10,191,bus
73,42,143,172,13,204,bus
66,46,143,160,10,182,bus
102,28,167,228,9,185,bus
60,46,141,171,2,182,bus
66,45,146,173,4,183,bus
106,26,171,257,9,182,bus
70,45,144,186,9,183,bus
73,44,138,152,3,194,bus
68,46,142,177,10,203,bus
84,35,161,198,9,199,bus
64,46,146,172,1,182,bus
77,39,150,180,13,203,bus
68,46,143,184,0,184,bus
74,43,127,127,0,205,bus
66,45,145,163,5,182,bus
78,41,134,148,1,197,bus
103,32,156,186,12,201,opel
58,51,127,145,0,184,opel
105,33,155,162,2,202,opel
105,31,177,223,12,195,opel
82,42,144,174,2,196,opel
107,32,159,183,1,200,opel
78,46,127,142,0,194,opel
109,30,176,236,10,200,opel
103,32,163,212,0,201,opel
53,51,128,148,10,184,opel
88,35,159,193,12,201,opel
63,52,130,139,13,187,opel
69,51,134,144,1,200,opel
96,30,172,218,6,195,opel
78,44,141,174,15,197,opel
72,44,124,125,5,210,opel
86,37,153,209,11,199,opel
80,40,143,180,13,199,opel
96,35,143,166,6,197,opel
98,31,171,223,5,196,opel
108,30,178,217,8,198,opel
104,32,164,193,5,196,opel
103,31,162,189,6,198,opel
100,31,173,201,12,195,opel
80,47,135,144,8,193,opel
96,30,170,217,5,195,opel
83,40,147,201,12,192,opel
96,31,173,218,0,193,opel
94,36,155,189,20,203,opel
66,50,136,165,3,187,opel
69,50,137,151,16,209,opel
105,30,173,250,10,195,opel
107,31,161,172,0,206,opel
92,37,154,171,2,206,opel
91,31,170,198,1,198,opel
96,36,142,139,8,204,opel
100,31,175,224,2,192,opel
92,35,148,159,12,203,opel
101,30,182,216,6,196,opel
101,31,152,193,5,196,opel
82,45,144,168,10,193,opel
77,44,145,177,9,208,opel
86,45,134,139,11,189,opel
53,51,128,146,0,183,opel
76,42,148,186,13,196,opel
109,30,162,206,6,199,opel
66,44,133,163,13,183,opel
96,35,161,235,13,198,opel
108,31,156,218,7,197,opel
78,45,125,137,2,198,opel
103,33,147,200,6,194,opel
75,44,146,180,16,198,opel
98,31,170,214,2,201,opel
103,30,176,246,7,196,opel
91,37,137,151,3,200,opel
101,33,164,192,17,206,opel
107,31,167,197,0,203,opel
69,53,124,133,2,191,opel
63,55,130,144,20,201,opel
71,48,143,174,7,197,opel
103,30,177,218,11,195,opel
74,49,127,127,9,191,opel
78,41,131,117,2,211,opel
104,31,175,222,13,194,opel
71,45,134,165,12,186,opel
105,30,171,210,14,197,opel
105,32,169,216,9,196,opel
94,34,147,194,0,197,opel
101,30,180,213,2,196,opel
98,31,173,216,2,199,opel
69,48,138,151,10,206,opel
105,30,177,218,14,196,opel
84,39,130,155,9,195,opel
96,30,175,216,4,194,opel
73,44,133,153,11,187,opel
72,48,135,144,7,189,opel
104,32,151,202,5,193,opel
75,45,142,160,22,211,opel
105,34,152,159,0,205,opel
89,38,135,121,4,209,opel
100,31,175,219,10,194,opel
101,30,178,216,6,195,opel
110,30,166,218,10,198,opel
107,30,178,204,8,201,opel
73,42,146,188,11,201,opel
75,46,137,156,18,188,opel
108,30,186,218,10,198,opel
84,43,133,157,0,190,opel
77,42,125,126,5,205,opel
69,44,143,168,14,203,opel
60,55,124,121,3,185,opel
101,30,177,204,5,198,opel
101,31,168,245,1,197,opel
103,30,176,219,4,196,opel
107,30,174,199,0,200,opel
104,33,163,226,12,201,opel
75,46,139,166,15,198,opel
89,39,132,148,7,202,opel
98,34,161,185,5,204,opel
105,33,148,201,5,202,opel
104,31,175,223,0,193,opel
105,30,179,212,15,196,opel
66,46,128,120,5,202,opel
79,38,138,150,0,199,opel
60,50,130,141,8,188,opel
90,37,131,145,4,198,opel
96,30,173,214,9,196,opel
96,37,141,149,1,200,opel
96,36,158,180,19,209,opel
88,36,141,168,3,197,opel
50,59,122,138,21,187,opel
72,54,125,123,3,194,opel
77,44,145,172,15,189,opel
101,30,171,203,13,198,opel
100,33,166,241,2,198,opel
66,52,127,139,5,187,opel
42,59,119,121,4,183,opel
74,41,135,132,7,206,opel
83,37,156,210,1,194,opel
93,35,161,240,2,195,opel
78,48,138,158,0,197,opel
101,30,177,211,7,197,opel
100,30,188,213,4,198,opel
109,30,182,207,0,198,opel
78,48,123,129,4,202,opel
108,31,172,187,4,201,opel
53,55,128,147,1,184,opel
98,31,175,221,3,193,opel
100,30,178,204,0,197,opel
98,34,161,244,3,199,opel
108,31,162,184,7,201,opel
66,51,120,114,5,207,opel
105,32,173,218,13,196,opel
101,33,161,204,2,204,opel
103,30,172,201,15,198,opel
98,35,141,178,2,194,opel
101,30,178,213,11,196,opel
79,41,149,178,2,198,opel
69,50,126,128,3,203,opel
85,40,129,130,1,205,opel
74,41,133,130,6,204,opel
57,54,125,132,8,184,opel
81,39,150,182,11,198,opel
103,32,166,246,6,194,opel
109,30,163,206,11,198,opel
101,35,151,169,1,200,opel
82,40,149,164,8,208,opel
105,32,162,224,5,195,opel
98,31,174,223,0,198,opel
107,30,180,205,6,198,opel
80,40,145,178,11,204,opel
66,54,132,139,4,190,opel
103,31,165,249,5,196,opel
103,31,172,219,5,194,opel
104,32,172,217,1,195,opel
96,35,156,176,3,205,opel
92,37,140,136,4,204,opel
81,41,149,197,9,193,opel
100,34,161,195,14,202,opel
77,43,127,145,14,191,opel
75,48,135,162,3,190,opel
79,40,148,193,12,198,opel
105,33,163,214,10,198,opel
51,57,124,135,1,184,opel
100,32,147,189,5,195,opel
75,46,132,136,16,187,opel
101,33,157,186,0,203,opel
103,31,160,187,7,200,opel
86,41,131,147,1,191,opel
107,32,158,168,9,206,opel
98,31,166,191,11,198,opel
83,39,152,196,15,201,opel
77,44,141,161,9,192,opel
66,45,131,123,1,203,opel
100,34,150,161,5,202,opel
96,35,161,205,11,200,opel
96,32,153,197,2,196,opel
83,37,132,157,1,193,opel
78,45,128,134,10,203,opel
72,48,126,130,1,192,opel
77,41,129,140,1,198,opel
93,35,147,151,0,198,opel
76,40,134,145,0,198,opel
80,44,126,136,6,197,opel
107,33,161,200,9,201,opel
100,32,169,223,6,193,opel
91,31,170,196,4,196,opel
100,31,173,219,15,194,opel
60,49,131,142,0,186,opel
103,33,156,174,4,196,opel
