@relation vehicle

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Minor_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
66,51,18,144,162,17,van
62,52,18,141,149,4,van
64,51,18,144,164,12,van
62,54,17,127,141,14,van
66,52,18,140,158,8,van
90,44,19,156,170,17,van
82,46,19,145,163,8,van
85,43,19,151,173,9,van
44,57,17,121,139,1,van
85,43,19,150,167,10,van
82,43,20,160,180,4,van
76,47,18,131,167,10,van
76,44,19,149,173,23,van
66,50,18,142,163,5,van
82,45,19,140,165,0,van
59,52,18,137,145,6,van
86,44,19,156,272,15,van
80,43,20,156,169,7,van
88,43,20,149,173,9,van
51,57,17,124,139,5,van
82,43,20,160,176,7,van
84,44,20,160,169,9,van
77,44,20,164,169,3,van
84,45,19,145,172,18,van
51,57,17,128,135,16,van
69,49,18,145,165,2,van
82,46,19,137,164,9,van
64,49,18,142,163,13,van
79,46,19,139,168,7,van
87,43,20,158,179,0,van
74,49,18,133,167,7,van
74,44,20,158,170,3,van
91,45,19,148,166,20,van
73,43,20,158,170,9,van
82,43,19,149,176,6,van
88,45,19,157,165,26,van
70,50,18,141,162,13,van
85,44,19,144,168,5,van
70,48,18,134,159,9,van
64,49,18,136,161,29,van
80,44,20,157,166,17,van
75,43,20,163,170,1,van
64,50,18,142,157,1,van
81,44,20,163,170,13,van
70,49,18,146,168,3,van
64,57,17,125,138,23,van
85,44,19,151,175,7,van
71,46,19,147,171,3,van
80,45,19,148,169,4,van
66,52,18,129,148,2,van
77,48,18,139,159,17,van
60,55,17,134,140,8,van
60,56,17,137,143,8,van
88,43,19,148,173,15,van
84,46,19,148,163,6,van
85,44,19,147,169,4,van
64,52,18,141,160,20,van
70,47,18,139,162,11,van
70,53,17,128,147,19,van
81,45,19,149,200,9,van
64,51,18,142,150,2,van
81,46,19,147,164,14,van
62,55,17,129,143,7,van
83,43,19,153,177,14,van
85,43,19,157,179,9,van
85,44,20,158,172,15,van
68,50,18,134,153,18,van
85,44,20,156,170,11,van
72,48,18,144,159,4,van
57,51,18,139,155,8,van
85,43,20,157,174,6,van
55,53,18,139,142,7,van
66,53,18,144,159,10,van
62,52,17,139,149,1,van
83,43,20,163,229,14,van
70,51,18,146,159,8,van
85,43,20,158,177,16,van
66,54,17,144,147,4,van
87,43,20,162,178,5,van
58,57,17,134,140,6,van
70,53,18,139,157,13,van
90,43,20,150,170,7,van
88,43,20,157,176,13,van
58,52,18,139,154,0,van
73,49,18,138,166,0,van
87,44,19,149,167,8,van
76,42,20,155,175,4,van
103,31,24,156,223,9,saab
86,39,20,134,186,17,saab
96,35,22,156,207,7,saab
72,44,19,133,166,22,saab
106,32,24,168,220,24,saab
53,58,17,121,137,20,saab
88,38,21,151,197,3,saab
57,50,18,125,151,16,saab
71,43,20,134,178,40,saab
101,30,25,173,228,4,saab
62,45,19,133,165,3,saab
109,31,25,169,226,28,saab
80,42,20,132,172,18,saab
88,38,21,155,186,18,saab
108,31,24,168,226,22,saab
83,47,19,128,163,31,saab
101,32,24,166,218,21,saab
98,31,24,169,221,0,saab
66,47,18,124,165,3,saab
108,31,24,163,232,22,saab
81,39,20,152,196,4,saab
88,39,21,131,188,28,saab
96,31,24,170,221,21,saab
104,32,23,167,223,19,saab
75,47,19,131,165,7,saab
100,31,24,173,224,1,saab
112,32,24,162,223,36,saab
106,32,24,166,217,23,saab
90,38,21,152,200,16,saab
81,40,20,154,189,9,saab
105,33,23,152,214,25,saab
57,56,17,127,137,23,saab
108,30,25,163,232,16,saab
101,34,22,143,218,19,saab
79,40,20,148,184,10,saab
103,31,24,167,229,23,saab
63,47,19,130,162,4,saab
100,31,24,173,225,11,saab
74,42,19,128,177,21,saab
82,43,19,129,179,1,saab
81,41,20,147,180,11,saab
106,32,24,158,224,24,saab
89,35,22,144,210,13,saab
89,37,21,133,202,18,saab
95,35,22,144,216,11,saab
101,31,24,172,218,4,saab
83,39,20,132,190,24,saab
80,46,19,139,166,13,saab
104,32,23,162,220,19,saab
78,43,19,128,169,19,saab
96,35,22,157,207,1,saab
104,32,24,163,220,22,saab
105,33,23,164,216,3,saab
103,30,25,174,232,3,saab
102,33,23,164,224,11,saab
105,31,24,168,224,15,saab
102,31,24,171,222,16,saab
83,40,20,150,189,10,saab
77,42,19,126,177,15,saab
63,46,19,130,168,20,saab
104,31,25,167,226,18,saab
69,43,19,143,175,11,saab
105,32,24,162,220,20,saab
104,32,24,164,223,16,saab
85,38,21,153,192,22,saab
96,36,22,144,202,8,saab
77,42,20,148,181,2,saab
108,32,23,167,217,2,saab
92,36,21,143,200,9,saab
110,31,24,165,231,28,saab
104,31,24,162,226,2,saab
54,50,18,127,151,14,saab
83,38,21,134,197,10,saab
104,31,24,162,220,7,saab
71,49,18,127,158,9,saab
76,44,19,143,172,0,saab
40,61,17,119,130,21,saab
103,30,25,168,224,10,saab
98,34,22,161,219,10,saab
75,48,18,125,166,36,saab
93,31,24,165,221,25,saab
86,39,21,134,191,28,saab
66,54,17,118,148,26,saab
104,33,23,152,221,4,saab
77,47,18,142,165,11,saab
108,31,25,170,223,25,saab
90,37,21,155,195,1,saab
69,47,18,141,162,8,saab
85,41,20,125,187,31,saab
105,35,22,162,207,4,saab
69,48,18,131,164,38,saab
101,33,23,158,214,4,saab
90,36,21,158,211,19,saab
76,42,20,149,180,12,saab
106,33,23,149,217,10,saab
100,33,23,158,218,10,saab
74,44,19,136,174,33,saab
88,38,21,140,192,5,saab
110,31,24,159,232,27,saab
54,53,18,125,143,3,saab
101,35,22,162,208,15,saab
105,30,25,167,226,20,saab
80,43,19,129,180,9,saab
86,42,20,131,181,21,saab
75,44,19,134,173,16,saab
108,31,25,168,226,35,saab
103,32,23,155,227,16,saab
83,37,21,154,205,2,saab
77,41,20,151,190,2,saab
101,36,22,138,208,41,saab
100,31,24,165,229,4,saab
98,38,21,135,194,35,saab
85,39,20,139,184,9,saab
100,34,23,162,207,1,saab
82,43,19,149,180,0,saab
76,41,20,147,184,10,saab
105,32,24,157,217,19,saab
106,31,24,167,223,1,saab
72,50,18,123,158,20,saab
77,45,19,128,174,32,saab
108,31,25,172,226,30,saab
71,43,19,133,181,24,saab
66,48,19,137,164,22,saab
109,32,24,156,225,31,saab
101,33,23,152,216,5,saab
101,31,24,168,216,12,saab
83,41,20,133,189,7,saab
106,32,23,158,223,9,saab
64,45,19,138,165,8,saab
59,51,18,128,151,24,saab
83,41,20,148,185,5,saab
66,52,18,127,148,7,saab
104,35,22,148,210,28,saab
60,52,18,129,154,14,saab
106,32,24,164,228,26,saab
66,49,18,133,162,14,saab
109,31,24,159,229,11,saab
104,34,23,147,222,13,saab
63,50,18,135,152,2,saab
105,34,23,150,213,38,saab
103,31,24,162,226,4,saab
55,48,19,128,153,2,saab
109,31,25,174,229,23,saab
75,46,19,131,171,25,saab
105,32,24,163,222,9,saab
77,45,19,129,174,21,saab
101,31,24,171,232,6,saab
104,31,25,172,226,11,saab
54,52,18,127,146,13,saab
98,31,24,169,224,21,saab
63,54,18,130,141,20,saab
98,33,23,151,216,29,saab
58,46,19,131,163,0,saab
88,38,21,132,197,23,saab
72,50,18,135,159,9,saab
98,36,22,138,206,21,saab
63,52,18,134,149,7,saab
100,37,21,134,205,34,saab
72,45,19,140,168,23,saab
94,35,22,158,214,6,saab
76,40,20,134,191,7,saab
105,36,22,150,202,32,saab
100,33,23,149,214,5,saab
54,50,18,127,152,6,saab
66,49,18,136,155,14,saab
101,30,25,177,226,21,saab
90,36,22,156,211,1,saab
87,40,20,134,200,25,saab
107,31,24,173,232,10,saab
100,35,22,160,202,8,saab
100,34,22,149,209,7,saab
85,41,20,131,189,13,saab
108,31,25,168,229,38,saab
98,31,24,171,235,9,saab
109,34,23,154,207,33,saab
100,30,25,170,232,13,saab
98,31,25,167,229,28,saab
103,30,25,175,229,14,saab
72,46,19,132,170,18,saab
109,31,24,171,229,28,saab
103,32,24,162,228,0,saab
108,31,24,168,229,16,saab
103,30,25,172,229,3,saab
50,59,17,118,136,30,saab
54,54,18,126,146,5,saab
81,40,20,138,184,19,saab
80,41,20,131,186,15,saab
104,32,24,159,223,22,saab
83,45,19,132,177,29,saab
105,32,23,165,221,6,saab
100,34,23,159,214,16,saab
72,42,19,144,174,9,saab
53,59,17,123,135,27,saab
51,50,18,126,150,4,saab
108,31,24,168,226,9,saab
78,50,18,124,155,25,saab
72,45,19,135,175,10,bus
64,43,19,142,169,1,bus
73,38,20,152,184,19,bus
72,41,19,144,181,5,bus
103,27,27,166,266,11,bus
66,44,19,140,169,0,bus
68,41,19,145,179,7,bus
95,29,25,158,262,19,bus
68,44,19,146,172,3,bus
70,43,19,129,167,16,bus
71,45,19,144,167,6,bus
77,37,21,139,197,17,bus
66,45,19,143,173,9,bus
70,46,19,145,169,12,bus
79,35,22,153,202,8,bus
68,45,19,147,171,5,bus
88,34,22,147,215,26,bus
70,44,19,143,180,9,bus
72,44,19,146,180,15,bus
73,40,20,127,189,19,bus
70,47,18,143,164,11,bus
64,46,19,144,168,14,bus
71,44,19,148,177,14,bus
75,43,19,146,176,3,bus
68,45,19,147,186,10,bus
84,38,20,138,189,12,bus
65,45,19,145,170,10,bus
83,33,22,146,225,27,bus
76,36,21,157,194,7,bus
76,43,19,131,179,14,bus
73,42,19,127,171,8,bus
73,45,19,147,170,11,bus
70,45,19,142,177,9,bus
70,45,19,146,170,6,bus
81,38,20,137,184,23,bus
75,36,21,138,204,19,bus
68,45,19,147,170,5,bus
84,35,22,145,208,22,bus
76,44,19,136,174,8,bus
68,46,19,143,169,1,bus
68,45,19,145,170,12,bus
76,44,19,143,179,20,bus
70,44,19,145,177,12,bus
65,45,19,141,169,16,bus
79,40,20,130,178,14,bus
103,26,27,169,280,6,bus
103,27,28,172,269,30,bus
75,42,19,147,178,8,bus
70,41,19,124,184,22,bus
106,26,28,171,278,13,bus
74,41,19,143,179,6,bus
66,44,19,142,177,14,bus
73,44,19,145,181,17,bus
74,39,20,128,188,3,bus
68,45,19,146,170,16,bus
73,42,19,143,176,1,bus
105,27,27,165,269,1,bus
68,45,19,151,167,13,bus
64,46,19,146,167,6,bus
106,26,28,169,280,9,bus
70,42,19,144,171,2,bus
65,46,19,144,170,12,bus
91,32,23,161,231,14,bus
61,46,19,144,169,8,bus
69,44,19,147,171,0,bus
75,43,19,131,168,0,bus
72,40,20,144,178,7,bus
84,35,21,161,199,11,bus
71,45,19,141,169,4,bus
65,46,19,143,169,3,bus
73,45,19,146,167,0,bus
78,41,20,134,185,11,bus
59,46,19,144,166,4,bus
70,45,19,145,169,4,bus
105,26,29,174,285,8,bus
71,45,19,143,171,11,bus
75,43,19,145,175,3,bus
70,46,18,143,166,6,bus
70,45,19,141,167,1,bus
109,27,27,169,272,10,bus
70,45,19,143,176,6,bus
68,46,19,146,169,18,bus
70,45,19,144,170,5,bus
71,44,19,146,175,0,bus
63,46,19,145,166,7,bus
74,45,19,134,173,21,bus
70,45,19,144,241,11,bus
101,28,26,163,267,22,bus
63,45,19,142,173,15,bus
68,44,19,146,173,0,bus
93,30,25,159,254,12,bus
66,46,19,145,166,11,bus
76,42,19,138,184,12,bus
73,44,19,138,175,8,bus
65,45,19,140,171,8,bus
77,39,20,150,184,9,bus
70,39,20,136,189,17,bus
89,31,24,153,238,23,bus
72,38,20,131,189,3,bus
84,36,21,152,190,19,bus
100,27,27,162,280,11,bus
71,45,19,142,172,2,bus
76,45,19,140,171,13,bus
81,34,22,158,206,1,bus
70,46,18,143,163,8,bus
76,42,19,136,181,12,bus
70,40,20,153,179,6,bus
95,32,23,150,216,11,bus
66,46,19,144,168,3,bus
73,44,19,145,170,1,bus
68,45,19,144,169,0,bus
68,46,19,142,168,1,bus
70,45,19,146,173,12,bus
80,35,21,156,206,13,bus
70,45,19,145,177,14,bus
77,38,20,150,188,16,bus
72,41,19,133,184,14,bus
73,44,19,143,178,11,bus
91,32,23,148,234,11,bus
109,26,28,175,288,21,bus
74,39,20,149,185,8,bus
68,45,19,143,170,1,bus
88,33,23,148,214,0,bus
98,28,26,164,263,17,bus
64,46,19,143,170,3,bus
62,43,19,139,169,11,bus
71,44,19,147,174,11,bus
74,43,19,127,178,17,bus
89,35,22,145,204,13,bus
106,26,28,170,285,2,bus
66,46,19,145,170,7,bus
66,45,19,145,173,4,bus
83,36,21,139,189,4,bus
107,26,28,171,285,31,bus
71,44,19,138,175,18,bus
74,39,20,131,193,22,bus
72,44,19,147,174,2,bus
71,44,19,149,172,14,bus
71,45,19,146,170,15,bus
66,46,19,145,168,2,bus
75,42,19,131,184,4,bus
106,28,26,164,256,14,bus
70,45,19,138,172,17,bus
68,45,19,144,175,2,bus
66,46,19,147,169,5,bus
69,46,19,144,174,7,bus
70,39,20,148,183,10,bus
75,40,20,128,180,14,bus
66,45,19,145,170,1,bus
70,44,19,134,167,13,bus
66,46,19,141,172,14,bus
68,46,18,142,164,8,bus
85,33,22,146,217,7,bus
92,30,25,162,247,7,bus
102,28,26,167,264,13,bus
82,34,22,141,215,6,bus
76,44,19,135,169,17,bus
76,43,19,143,180,12,bus
70,46,19,141,168,12,bus
94,31,24,161,227,4,bus
77,36,21,134,205,4,bus
68,46,19,145,172,14,bus
73,43,19,131,175,22,bus
65,45,19,141,175,4,bus
70,45,19,146,171,5,bus
80,33,22,159,214,20,bus
106,26,28,172,275,20,bus
65,46,19,148,169,11,bus
72,46,19,147,166,1,bus
75,37,20,129,199,6,bus
70,45,19,145,170,1,bus
66,45,19,139,173,16,bus
71,45,19,146,172,8,bus
68,46,19,147,169,14,bus
76,44,19,144,170,1,bus
89,32,23,159,219,7,bus
98,29,25,165,246,14,bus
69,44,19,145,178,4,bus
66,45,19,144,237,1,bus
84,34,22,154,208,7,bus
98,27,26,168,258,1,bus
73,44,19,137,174,20,bus
98,30,24,156,232,7,bus
93,30,24,165,240,25,bus
66,45,19,146,172,15,bus
70,46,18,136,164,2,bus
71,46,19,141,167,4,bus
79,37,21,154,196,2,bus
98,31,24,152,228,28,bus
72,46,19,143,173,17,bus
68,45,19,145,171,8,bus
86,35,22,145,203,4,bus
72,44,19,144,175,8,bus
92,31,24,159,232,11,bus
74,43,19,148,180,11,bus
103,28,26,160,254,23,bus
98,34,22,161,214,5,opel
69,53,18,124,147,21,opel
84,39,20,130,196,15,opel
77,45,19,134,176,16,opel
80,44,19,126,179,21,opel
107,30,25,174,225,29,opel
83,37,21,156,207,6,opel
92,37,21,140,197,3,opel
81,39,20,150,193,2,opel
83,38,21,142,199,30,opel
104,32,24,166,219,2,opel
72,48,18,126,163,1,opel
79,40,20,148,190,15,opel
104,31,24,175,221,23,opel
98,31,24,166,228,24,opel
76,42,20,148,184,10,opel
69,44,19,143,170,18,opel
109,30,25,176,234,25,opel
104,32,23,151,227,9,opel
53,51,18,128,147,6,opel
101,30,25,177,225,17,opel
108,31,24,162,219,21,opel
100,30,25,188,223,7,opel
51,57,17,124,135,12,opel
72,51,18,132,145,24,opel
101,35,22,151,208,32,opel
103,30,25,176,231,4,opel
105,31,24,163,226,11,opel
96,35,22,143,217,27,opel
92,37,21,154,200,0,opel
78,42,19,126,182,20,opel
105,30,25,179,234,1,opel
105,30,24,171,228,4,opel
93,36,21,137,202,24,opel
89,38,21,135,191,23,opel
77,44,19,141,174,0,opel
101,33,23,161,207,5,opel
63,55,17,130,137,8,opel
77,43,19,127,179,13,opel
96,30,25,175,231,5,opel
105,31,24,177,221,26,opel
77,41,20,129,184,9,opel
104,31,24,175,224,4,opel
69,48,18,122,158,29,opel
77,44,19,145,181,14,opel
71,48,19,143,159,18,opel
86,45,19,134,174,18,opel
42,59,17,119,131,7,opel
103,31,24,160,222,3,opel
86,37,21,153,197,7,opel
91,31,25,170,220,32,opel
53,55,18,128,135,15,opel
100,34,22,150,207,9,opel
66,51,18,120,151,29,opel
103,33,23,147,220,6,opel
105,32,23,169,221,18,opel
105,33,23,163,214,20,opel
82,42,19,144,181,2,opel
108,31,24,156,232,29,opel
80,40,20,145,188,18,opel
69,49,18,131,155,6,opel
100,31,24,173,219,27,opel
93,35,22,147,202,2,opel
72,54,18,125,144,30,opel
78,46,19,127,166,9,opel
103,30,25,172,227,6,opel
80,40,20,143,189,11,opel
105,33,23,148,223,38,opel
107,33,23,161,218,17,opel
101,34,23,146,219,8,opel
60,55,17,124,141,16,opel
66,45,19,131,169,1,opel
79,38,21,138,200,29,opel
83,37,21,132,199,14,opel
91,37,21,137,196,23,opel
101,33,23,158,215,22,opel
66,50,18,136,154,4,opel
96,36,22,142,202,12,opel
57,54,18,125,142,5,opel
86,37,21,156,203,5,opel
78,48,18,123,161,35,opel
96,37,21,141,199,29,opel
94,34,22,147,224,14,opel
103,32,24,163,222,1,opel
66,44,19,133,170,3,opel
107,30,25,178,228,35,opel
98,35,22,141,214,21,opel
101,30,25,180,225,3,opel
100,31,24,175,219,3,opel
107,30,25,174,221,18,opel
85,40,20,129,186,25,opel
78,45,19,125,172,33,opel
69,50,18,126,154,36,opel
92,35,22,148,202,20,opel
104,32,23,164,217,21,opel
103,31,24,165,229,16,opel
64,51,18,126,152,23,opel
103,31,24,172,219,24,opel
103,32,23,156,212,21,opel
98,31,24,170,222,29,opel
101,30,25,182,225,1,opel
109,30,25,165,241,28,opel
75,44,19,146,170,2,opel
91,31,24,170,223,21,opel
107,31,24,161,224,39,opel
109,30,24,174,230,22,opel
75,46,19,132,167,20,opel
109,30,25,163,238,19,opel
89,39,20,132,190,33,opel
86,41,20,131,194,22,opel
107,31,24,167,221,20,opel
101,33,23,157,214,19,opel
109,30,25,182,234,13,opel
50,59,17,122,132,4,opel
83,39,21,152,195,0,opel
66,54,18,132,144,7,opel
98,31,24,174,228,31,opel
69,50,18,137,155,6,opel
107,32,24,154,232,38,opel
82,40,20,149,181,11,opel
93,35,22,161,214,5,opel
101,31,24,168,236,6,opel
96,30,25,173,225,13,opel
60,50,18,130,148,4,opel
96,31,24,173,219,4,opel
108,31,24,172,220,24,opel
60,49,18,131,151,5,opel
108,30,25,186,225,25,opel
75,48,18,135,158,21,opel
107,30,25,180,234,19,opel
79,41,20,149,183,10,opel
74,41,20,133,178,6,opel
66,52,18,127,148,27,opel
96,35,22,161,208,0,opel
78,45,19,128,168,24,opel
73,42,20,146,182,15,opel
101,30,25,171,224,6,opel
72,48,19,135,165,21,opel
58,51,18,127,152,21,opel
77,44,19,145,175,12,opel
84,43,20,133,185,23,opel
96,36,21,158,197,15,opel
72,44,19,124,169,30,opel
80,47,19,135,172,30,opel
78,41,20,131,182,28,opel
101,31,23,152,227,7,opel
98,31,24,175,226,6,opel
105,32,24,173,217,22,opel
74,41,20,135,181,29,opel
100,34,22,161,210,3,opel
53,51,18,128,152,0,opel
105,33,23,155,212,7,opel
69,51,18,134,147,1,opel
100,32,24,169,227,5,opel
63,52,18,130,145,21,opel
69,48,18,138,165,21,opel
88,36,21,141,208,12,opel
103,30,25,176,228,3,opel
101,30,25,178,228,20,opel
101,30,25,177,225,10,opel
96,35,22,161,206,8,opel
107,32,24,159,214,12,opel
105,30,24,173,226,2,opel
83,40,20,147,197,4,opel
98,30,25,167,228,24,opel
96,30,25,172,223,16,opel
104,32,24,172,223,26,opel
100,32,23,147,231,5,opel
66,46,18,128,162,13,opel
88,40,20,133,199,22,opel
90,37,21,131,209,38,opel
76,40,20,134,196,28,opel
100,31,24,175,217,14,opel
100,31,24,173,219,11,opel
75,46,19,137,170,5,opel
98,31,24,164,228,16,opel
103,33,23,156,215,11,opel
98,34,22,161,216,1,opel
96,30,25,170,231,12,opel
77,42,19,125,174,22,opel
81,41,20,149,187,15,opel
109,30,24,162,238,18,opel
100,33,23,166,222,7,opel
105,30,25,177,237,11,opel
76,41,20,131,189,0,opel
103,34,22,162,210,5,opel
103,30,25,177,223,12,opel
78,44,19,141,182,2,opel
75,46,19,139,170,26,opel
103,31,24,162,217,5,opel
98,31,24,173,225,19,opel
