@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
94,85,68,157,van
93,88,66,150,van
93,85,66,156,van
96,64,48,134,van
89,68,60,133,van
89,83,133,158,van
86,69,63,138,van
98,68,56,131,van
89,58,58,122,van
87,81,62,147,van
95,88,64,159,van
84,53,59,123,van
88,53,57,118,van
89,84,55,157,van
94,66,61,133,van
91,70,66,140,van
89,51,52,118,van
87,52,54,115,van
94,81,67,145,van
92,66,52,139,van
94,87,54,158,van
85,80,64,147,van
94,87,64,157,van
88,66,57,123,van
83,49,55,122,van
89,89,61,151,van
86,76,59,142,van
100,90,67,157,van
88,55,53,132,van
90,86,126,153,van
89,79,64,144,van
89,78,63,160,van
84,70,62,136,van
91,60,56,119,van
90,57,48,135,van
91,77,59,139,van
104,101,63,213,saab
115,100,62,217,saab
100,81,61,166,saab
109,103,63,219,saab
93,87,64,169,saab
98,101,65,197,saab
86,77,60,150,saab
84,77,59,152,saab
104,100,59,197,saab
101,101,72,217,saab
95,105,64,187,saab
91,83,59,169,saab
93,98,63,185,saab
96,101,66,192,saab
107,98,66,218,saab
100,104,60,197,saab
100,92,62,180,saab
107,96,62,218,saab
88,82,56,154,saab
89,82,59,153,saab
97,105,71,221,saab
109,96,64,198,saab
89,77,62,149,saab
89,77,64,161,saab
97,76,60,157,saab
93,76,57,149,saab
90,74,60,157,saab
93,88,66,173,saab
99,104,63,201,saab
83,54,57,128,saab
103,106,66,203,saab
93,90,69,183,saab
95,104,66,191,saab
86,62,62,150,saab
93,81,64,160,saab
92,71,66,154,saab
107,108,63,219,saab
102,105,64,201,saab
104,108,61,217,saab
91,88,63,175,saab
86,64,61,150,saab
91,72,56,149,saab
95,71,61,157,saab
97,104,71,211,saab
109,103,63,222,saab
107,108,64,206,saab
102,101,67,222,saab
107,108,68,218,saab
108,109,61,212,saab
87,66,58,148,saab
111,103,60,211,saab
89,83,61,164,saab
92,76,57,159,saab
106,108,64,221,saab
84,53,57,116,saab
94,85,62,169,saab
97,101,59,186,saab
105,108,70,215,saab
90,83,63,176,saab
109,109,68,214,saab
98,109,59,199,saab
87,60,57,128,saab
90,72,59,154,saab
108,104,56,220,saab
98,90,63,177,saab
87,71,53,137,saab
88,57,62,135,saab
85,66,58,142,saab
87,74,58,151,saab
104,100,61,216,saab
106,98,54,216,saab
103,106,55,212,saab
107,103,68,219,saab
100,88,60,171,saab
106,107,61,207,saab
92,80,67,154,saab
92,86,60,158,saab
103,100,60,185,saab
108,103,73,221,saab
105,106,68,208,saab
93,63,58,128,saab
86,63,56,133,saab
104,101,65,213,saab
91,83,60,172,saab
90,85,64,160,saab
103,105,56,210,saab
109,104,60,215,saab
96,78,58,174,saab
102,106,68,207,saab
89,89,58,177,saab
99,89,63,186,saab
104,107,68,218,saab
105,105,57,211,saab
117,110,65,212,saab
90,80,58,157,saab
98,96,66,188,saab
91,72,55,146,saab
104,101,64,213,saab
104,108,64,220,saab
105,108,62,220,saab
111,108,61,207,saab
113,98,62,203,saab
91,98,64,177,saab
89,52,57,122,saab
84,75,55,140,saab
86,66,59,137,saab
116,110,67,217,saab
110,100,61,193,saab
88,90,60,175,saab
101,101,62,188,saab
104,96,65,187,saab
89,69,63,140,saab
79,55,55,142,saab
101,108,69,215,saab
96,100,58,181,saab
93,76,63,164,saab
107,104,71,219,saab
106,106,64,208,saab
94,69,59,152,saab
89,77,54,144,saab
93,72,56,133,saab
105,108,63,222,saab
105,105,60,191,saab
86,86,60,170,saab
85,75,54,147,saab
78,63,51,142,saab
107,98,65,218,saab
96,74,68,159,saab
82,59,63,135,saab
108,103,62,206,saab
97,95,66,188,saab
102,104,67,204,saab
107,103,56,213,saab
86,66,56,136,saab
90,57,57,121,saab
91,83,61,142,saab
82,66,54,132,saab
98,81,64,166,saab
113,93,62,216,saab
112,110,56,214,saab
93,98,62,183,saab
83,54,55,129,saab
108,109,57,220,saab
85,53,58,116,saab
109,103,66,214,saab
98,78,65,169,saab
110,102,64,213,saab
92,78,57,153,saab
109,109,59,207,saab
88,77,58,140,saab
100,104,59,208,saab
108,103,64,220,saab
84,83,54,149,saab
91,72,60,150,saab
101,105,61,198,saab
94,88,60,170,saab
104,105,54,208,saab
85,40,57,112,saab
101,112,59,214,saab
115,100,64,220,saab
98,104,67,206,saab
89,80,59,161,saab
115,100,60,196,saab
96,69,56,141,saab
90,85,59,163,saab
85,72,59,132,saab
105,100,61,198,saab
89,80,62,144,saab
108,103,65,208,saab
104,105,61,207,saab
89,85,64,169,saab
106,101,67,222,saab
85,50,53,115,saab
97,96,63,185,saab
90,89,62,175,saab
90,66,55,123,saab
110,104,57,213,saab
91,83,60,160,saab
85,75,56,152,saab
90,66,59,140,saab
98,90,61,178,saab
91,79,59,163,saab
106,101,64,201,saab
119,106,65,213,saab
97,88,59,175,saab
101,98,60,195,saab
93,86,59,167,saab
99,105,66,204,saab
104,100,66,214,saab
108,105,62,202,saab
95,95,65,193,saab
112,104,58,208,saab
82,51,53,135,saab
108,109,55,216,saab
83,54,61,135,saab
99,91,74,202,bus
98,77,61,172,bus
95,73,70,167,bus
85,66,55,150,bus
81,68,73,151,bus
109,95,58,227,bus
102,83,65,194,bus
97,70,66,151,bus
83,73,59,148,bus
87,73,64,151,bus
87,76,65,155,bus
104,94,66,208,bus
94,68,67,142,bus
94,79,71,174,bus
85,64,55,149,bus
80,68,59,150,bus
79,74,61,153,bus
103,103,52,236,bus
86,65,56,152,bus
95,73,73,156,bus
91,81,69,169,bus
100,70,70,162,bus
88,71,70,144,bus
110,109,57,251,bus
82,72,52,152,bus
83,68,59,150,bus
89,70,64,141,bus
81,68,60,152,bus
86,73,57,151,bus
85,66,58,148,bus
107,103,49,252,bus
91,76,67,149,bus
96,77,64,177,bus
91,76,69,150,bus
86,65,54,150,bus
85,66,54,148,bus
99,88,62,203,bus
89,70,62,147,bus
98,72,69,166,bus
96,77,72,167,bus
87,65,56,149,bus
113,109,56,260,bus
107,106,50,255,bus
105,93,51,217,bus
78,70,65,147,bus
93,79,65,173,bus
90,75,64,151,bus
86,65,50,152,bus
101,106,57,236,bus
96,74,74,165,bus
98,77,71,166,bus
82,71,68,150,bus
86,73,63,149,bus
107,98,59,240,bus
84,66,65,145,bus
85,66,54,148,bus
92,74,74,157,bus
89,76,73,157,bus
83,68,61,147,bus
98,84,74,190,bus
109,102,51,241,bus
90,63,55,152,bus
82,68,69,148,bus
85,70,54,149,bus
83,66,67,150,bus
106,107,67,262,bus
86,70,65,149,bus
82,72,64,154,bus
82,63,54,151,bus
89,75,66,153,bus
110,103,64,250,bus
96,74,70,149,bus
80,68,53,151,bus
81,63,55,149,bus
99,92,65,209,bus
87,71,66,151,bus
98,84,72,184,bus
97,76,73,178,bus
87,70,72,152,bus
101,104,53,257,bus
85,66,53,149,bus
86,69,54,150,bus
81,69,64,151,bus
83,70,69,143,bus
89,72,66,144,bus
81,68,57,149,bus
100,75,71,176,bus
92,75,71,161,bus
91,75,75,154,bus
83,70,65,144,bus
107,106,51,257,bus
90,79,69,160,bus
86,71,70,146,bus
99,79,68,185,bus
97,72,71,161,bus
84,75,64,154,bus
84,76,64,151,bus
86,68,62,150,bus
99,77,69,177,bus
87,74,66,145,bus
101,62,67,149,bus
92,76,71,152,bus
100,81,67,186,bus
81,72,60,153,bus
111,105,51,265,bus
99,74,66,164,bus
87,70,61,143,bus
86,66,57,148,bus
85,70,103,149,bus
102,101,72,238,bus
82,66,126,148,bus
102,92,60,220,bus
89,76,76,150,bus
94,75,72,155,bus
93,84,71,176,bus
81,68,62,149,bus
85,70,58,151,bus
87,70,59,149,bus
86,70,56,148,bus
94,72,72,158,bus
85,59,58,149,bus
87,76,67,148,bus
81,71,61,153,bus
106,103,47,247,bus
96,68,70,155,bus
86,64,54,148,bus
107,102,55,234,bus
82,73,65,151,bus
114,102,52,257,bus
96,74,74,163,bus
94,73,71,154,bus
97,75,68,171,bus
94,64,69,150,bus
94,89,71,186,bus
84,65,55,150,bus
98,88,63,192,bus
83,71,64,149,bus
94,72,69,156,bus
87,60,51,150,bus
86,70,64,148,bus
93,73,68,151,bus
94,84,74,184,bus
79,72,62,153,bus
93,86,69,184,bus
86,65,53,152,bus
101,91,65,204,bus
85,66,65,149,bus
86,61,53,150,bus
88,70,74,152,bus
110,106,51,261,bus
109,96,57,241,bus
106,105,48,247,bus
97,73,65,153,bus
86,75,68,154,bus
87,70,75,146,bus
82,68,64,147,bus
105,80,71,195,bus
85,65,56,151,bus
95,71,64,145,bus
88,70,66,148,bus
98,70,68,155,bus
81,71,56,153,bus
85,70,56,150,bus
88,70,61,143,bus
95,83,69,177,bus
80,68,54,150,bus
85,66,57,151,bus
88,73,68,150,bus
80,71,60,150,bus
104,89,54,212,bus
82,72,61,147,bus
86,71,66,146,bus
89,72,63,146,bus
91,66,66,145,bus
80,71,56,151,bus
86,70,56,148,bus
96,98,59,213,bus
102,98,61,225,bus
83,71,70,151,bus
89,68,50,150,bus
108,106,51,256,bus
84,70,54,151,bus
85,66,56,148,bus
100,98,63,218,bus
98,86,69,192,bus
91,84,75,171,bus
82,73,68,151,bus
84,76,75,155,bus
96,70,70,167,bus
100,89,65,201,bus
88,74,68,152,bus
100,95,68,199,bus
100,73,73,162,bus
81,68,53,151,bus
80,68,53,150,bus
106,100,67,250,bus
90,78,55,138,opel
102,96,63,185,opel
82,73,57,153,opel
79,72,53,142,opel
91,98,62,193,opel
106,96,60,221,opel
90,83,61,178,opel
97,92,63,179,opel
80,64,59,134,opel
107,103,57,214,opel
89,72,56,138,opel
103,107,54,208,opel
78,51,56,120,opel
96,98,54,215,opel
97,94,67,195,opel
86,66,55,135,opel
106,98,68,215,opel
107,105,61,221,opel
86,89,59,169,opel
95,92,62,178,opel
105,107,60,218,opel
81,53,58,134,opel
89,81,57,161,opel
108,103,60,211,opel
104,96,74,220,opel
95,96,65,189,opel
89,69,58,132,opel
95,105,68,201,opel
92,82,58,165,opel
98,101,69,225,opel
98,108,53,224,opel
80,57,55,125,opel
108,105,68,218,opel
83,69,54,135,opel
98,101,70,210,opel
90,78,64,157,opel
101,107,68,208,opel
109,100,59,192,opel
107,101,64,202,opel
91,86,63,177,opel
85,72,56,127,opel
95,104,67,205,opel
85,66,52,152,opel
109,107,62,205,opel
98,101,65,226,opel
94,74,59,162,opel
103,91,57,220,opel
93,78,59,151,opel
98,76,60,157,opel
97,94,63,181,opel
92,75,60,147,opel
89,69,57,135,opel
85,80,59,153,opel
105,105,67,200,opel
105,100,61,193,opel
101,105,59,215,opel
87,98,70,189,opel
82,86,54,153,opel
89,75,56,146,opel
100,109,67,217,opel
107,103,66,209,opel
86,77,60,152,opel
101,107,61,225,opel
100,109,70,226,opel
96,104,58,215,opel
88,50,58,114,opel
84,71,55,150,opel
92,69,56,149,opel
89,77,62,157,opel
93,72,62,149,opel
104,109,67,218,opel
100,104,52,206,opel
101,101,57,225,opel
87,86,64,177,opel
99,101,68,224,opel
92,74,62,161,opel
103,105,59,210,opel
102,100,53,213,opel
102,101,64,203,opel
102,108,57,212,opel
107,92,62,188,opel
91,76,61,167,opel
86,77,54,154,opel
95,96,63,190,opel
104,103,69,219,opel
101,103,67,201,opel
89,82,54,149,opel
96,103,65,204,opel
100,93,62,186,opel
103,98,63,193,opel
73,53,54,126,opel
95,80,62,164,opel
88,78,62,140,opel
96,103,69,200,opel
97,81,64,168,opel
103,103,65,212,opel
88,69,57,138,opel
97,108,65,214,opel
95,104,74,212,opel
103,107,56,223,opel
101,105,68,209,opel
101,108,54,216,opel
79,80,55,147,opel
104,105,70,223,opel
84,74,57,139,opel
104,103,69,219,opel
93,66,59,142,opel
104,103,72,221,opel
103,100,62,212,opel
78,60,56,123,opel
84,66,62,126,opel
106,107,57,214,opel
100,100,65,201,opel
93,83,60,167,opel
87,77,59,154,opel
99,88,64,185,opel
88,88,69,168,opel
102,98,56,219,opel
80,69,56,128,opel
94,84,55,169,opel
89,83,65,178,opel
92,79,64,162,opel
85,77,59,150,opel
80,42,57,114,opel
86,66,57,131,opel
103,105,69,218,opel
102,98,71,214,opel
111,103,50,221,opel
97,101,66,192,opel
77,63,59,130,opel
88,71,56,142,opel
92,69,58,140,opel
92,91,62,176,opel
96,83,59,171,opel
76,58,58,133,opel
103,107,64,222,opel
82,53,59,133,opel
90,86,62,162,opel
93,66,56,130,opel
84,60,56,132,opel
99,104,55,210,opel
104,101,62,198,opel
101,100,62,227,opel
99,109,66,221,opel
89,78,61,146,opel
97,76,60,161,opel
99,100,62,200,opel
80,60,56,139,opel
99,105,64,197,opel
93,88,62,183,opel
104,91,67,218,opel
84,90,60,177,opel
100,109,68,222,opel
103,100,59,216,opel
88,69,59,130,opel
105,98,64,217,opel
91,66,59,147,opel
91,101,65,196,opel
93,78,60,150,opel
92,93,67,189,opel
88,77,59,151,opel
101,105,53,212,opel
95,96,65,178,opel
86,75,62,140,opel
91,93,65,183,opel
85,78,55,147,opel
85,72,53,134,opel
96,104,67,198,opel
99,100,54,224,opel
100,96,63,186,opel
88,79,62,176,opel
93,73,59,159,opel
103,101,62,200,opel
105,96,57,219,opel
89,80,66,162,opel
99,101,62,222,opel
104,110,53,219,opel
102,98,53,217,opel
103,96,71,205,opel
101,103,63,195,opel
105,96,56,219,opel
97,105,64,201,opel
104,96,59,188,opel
103,83,63,175,opel
97,96,54,216,opel
100,107,63,227,opel
97,78,62,161,opel
104,105,68,205,opel
100,109,70,220,opel
85,63,55,122,opel
106,98,63,220,opel
