@relation vehicle

@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
19,145,140,64,199,van
18,140,140,78,184,van
17,134,148,69,190,van
20,163,185,75,183,van
19,140,137,64,199,van
18,148,176,71,190,van
20,167,186,74,185,van
20,155,192,69,190,van
20,160,176,74,182,van
18,132,116,66,195,van
20,160,177,90,183,van
20,157,176,74,183,van
18,144,155,72,191,van
18,137,157,84,177,van
20,162,186,75,183,van
17,129,125,80,181,van
18,144,155,78,185,van
17,128,146,85,180,van
18,139,150,86,181,van
24,168,214,71,188,saab
19,131,157,86,180,saab
18,125,144,83,180,saab
24,157,168,64,193,saab
23,151,183,64,193,saab
23,154,165,61,194,saab
23,149,186,67,192,saab
22,149,160,65,194,saab
18,127,140,81,180,saab
24,162,190,68,191,saab
20,131,158,71,186,saab
23,167,220,72,187,saab
20,134,149,72,188,saab
20,131,137,68,192,saab
20,139,133,61,200,saab
23,162,195,68,188,saab
21,154,222,70,189,saab
20,138,131,62,197,saab
24,171,221,73,188,saab
25,170,202,73,187,saab
24,171,223,74,186,saab
22,144,165,66,191,saab
23,150,191,70,190,saab
24,173,220,74,185,saab
25,167,216,72,187,saab
21,153,187,62,197,saab
23,152,178,64,192,saab
20,151,174,66,194,saab
19,130,146,77,181,saab
24,163,197,70,187,saab
24,158,184,68,190,saab
25,172,216,70,187,saab
24,163,220,66,194,saab
24,162,221,72,187,saab
19,134,160,76,182,saab
21,135,165,66,195,saab
23,165,224,68,191,saab
18,134,158,63,198,saab
21,140,147,63,196,saab
24,165,222,67,192,saab
17,119,127,86,181,saab
19,128,123,61,197,saab
18,125,138,71,189,saab
24,165,196,72,188,saab
21,155,169,59,201,saab
19,133,173,82,180,saab
18,129,132,71,186,saab
25,169,212,72,188,saab
25,175,213,71,187,saab
24,159,186,67,191,saab
20,154,175,63,198,saab
20,134,134,69,190,saab
20,152,185,67,191,saab
20,125,139,66,195,saab
25,168,200,73,190,saab
20,147,188,70,192,saab
19,132,149,74,185,saab
20,133,155,72,186,saab
23,159,201,65,194,saab
21,132,156,69,191,saab
18,130,145,74,184,saab
22,156,195,65,195,saab
24,168,228,68,189,saab
21,158,220,69,191,saab
23,162,184,62,198,saab
19,128,131,66,196,saab
24,159,203,71,191,saab
24,163,222,73,187,saab
22,160,237,71,188,saab
24,168,221,72,187,saab
19,146,174,64,194,saab
24,167,232,66,192,saab
25,168,198,69,190,saab
21,155,197,65,193,saab
19,136,140,70,187,saab
21,132,154,70,189,saab
19,140,165,72,186,saab
20,149,169,63,198,saab
24,164,238,71,189,saab
24,153,200,70,190,saab
20,148,181,67,193,saab
21,143,153,64,195,saab
22,143,195,73,189,saab
24,169,212,68,189,saab
22,150,158,64,198,saab
20,132,115,60,201,saab
19,128,145,81,180,saab
22,156,230,70,189,saab
24,173,229,71,188,saab
18,127,142,72,183,saab
23,163,202,65,194,saab
18,124,148,66,190,saab
25,168,201,71,189,saab
22,144,175,72,190,saab
19,136,178,79,181,saab
17,127,132,68,190,saab
17,118,127,83,179,saab
21,144,138,61,199,saab
22,146,152,64,195,saab
19,126,123,65,195,saab
18,136,162,74,183,saab
19,143,187,67,193,saab
18,126,128,78,180,saab
23,164,240,72,187,saab
20,150,190,72,187,saab
22,138,168,67,194,saab
22,161,219,67,192,saab
20,153,190,64,195,saab
25,173,200,70,187,saab
23,155,215,72,189,saab
21,131,144,66,195,saab
21,139,160,68,191,saab
19,137,164,77,182,saab
19,129,137,70,187,saab
17,121,127,70,185,saab
18,142,158,64,198,saab
25,166,214,71,189,saab
18,126,144,86,181,saab
24,159,215,71,190,saab
18,135,166,70,187,saab
18,125,139,82,179,saab
24,163,203,72,190,saab
22,162,203,67,193,saab
21,134,138,68,191,saab
23,147,198,73,189,saab
19,149,170,69,188,saab
24,168,223,73,187,saab
20,148,184,71,186,saab
23,152,174,68,189,saab
25,170,224,67,190,saab
25,174,214,73,187,saab
24,169,218,73,188,saab
20,134,125,63,196,saab
25,168,214,73,188,saab
23,158,234,70,191,saab
19,138,173,80,182,saab
24,171,214,72,189,saab
24,166,218,69,189,saab
24,162,217,72,188,saab
24,164,210,67,190,saab
17,123,128,76,183,saab
24,170,217,71,187,saab
19,132,149,77,184,saab
24,162,194,65,190,saab
20,136,141,67,192,saab
22,158,214,67,193,saab
23,158,220,73,188,saab
24,171,218,74,187,saab
25,163,202,72,189,saab
25,174,214,70,189,saab
21,134,152,72,188,saab
18,133,151,74,186,saab
18,127,145,75,181,saab
24,168,218,71,186,saab
22,148,169,68,190,saab
22,157,231,68,191,saab
18,123,125,63,200,saab
19,130,158,83,180,saab
25,177,213,71,187,saab
24,156,213,70,191,saab
19,128,124,60,203,saab
23,167,216,64,196,saab
22,160,178,62,198,saab
18,141,169,61,202,saab
21,133,155,70,189,saab
19,129,153,71,188,saab
19,143,177,77,183,saab
24,156,188,68,190,saab
24,173,221,74,185,saab
23,149,210,70,191,saab
19,139,170,74,185,saab
25,172,212,71,188,saab
17,125,128,82,181,saab
18,128,143,82,179,saab
24,167,212,70,188,saab
19,144,158,61,203,saab
24,168,209,67,188,saab
25,172,217,71,189,saab
19,131,149,69,186,saab
23,150,195,66,192,saab
20,148,179,62,199,saab
24,169,216,71,188,saab
24,165,214,72,188,saab
20,131,144,68,190,saab
22,162,194,64,196,saab
19,129,144,69,190,saab
21,151,205,66,195,saab
19,133,130,70,189,saab
22,144,166,68,191,saab
20,134,139,67,192,saab
24,162,212,67,189,saab
24,172,222,74,187,saab
25,167,214,72,189,saab
18,127,146,79,184,saab
19,131,145,75,183,saab
21,158,194,70,197,bus
21,139,141,72,199,bus
19,143,153,76,186,bus
19,149,199,77,183,bus
19,147,192,72,192,bus
19,144,177,80,183,bus
19,147,177,82,180,bus
19,146,178,81,182,bus
19,144,176,72,189,bus
19,127,127,69,201,bus
19,131,135,68,196,bus
19,144,177,73,184,bus
19,126,124,71,199,bus
19,145,186,81,181,bus
28,169,261,85,182,bus
19,145,171,76,184,bus
24,159,214,78,191,bus
19,142,173,81,180,bus
19,145,185,84,180,bus
29,174,255,85,181,bus
19,138,157,76,189,bus
18,143,173,68,196,bus
23,159,205,74,193,bus
19,147,185,81,179,bus
19,138,157,71,192,bus
18,143,173,66,193,bus
19,144,171,87,179,bus
20,131,138,70,200,bus
19,143,160,85,180,bus
20,128,136,72,196,bus
19,133,127,70,200,bus
19,138,152,73,190,bus
19,145,184,75,185,bus
19,147,198,80,181,bus
19,142,180,75,183,bus
22,153,171,74,195,bus
19,151,179,81,179,bus
19,146,190,80,180,bus
19,136,153,74,191,bus
19,145,186,81,179,bus
19,143,184,80,181,bus
23,148,186,79,192,bus
24,153,198,78,190,bus
22,145,154,73,196,bus
19,140,159,67,201,bus
19,146,176,81,180,bus
19,141,171,67,195,bus
27,165,243,84,181,bus
19,147,176,81,179,bus
19,148,192,71,189,bus
19,143,173,78,181,bus
19,143,180,74,185,bus
19,131,127,71,198,bus
24,165,208,81,188,bus
19,145,174,87,179,bus
19,147,176,79,181,bus
21,139,151,72,198,bus
19,144,171,80,182,bus
19,146,173,83,180,bus
19,146,183,75,185,bus
20,129,137,74,197,bus
19,146,189,71,187,bus
19,139,155,75,184,bus
19,136,148,72,193,bus
21,139,163,68,196,bus
19,138,152,72,187,bus
28,170,261,87,182,bus
19,145,173,80,180,bus
21,154,206,71,197,bus
19,144,185,119,181,bus
19,142,177,68,199,bus
22,146,167,79,193,bus
23,148,201,74,192,bus
26,164,222,82,185,bus
19,140,172,85,180,bus
19,127,132,67,197,bus
28,171,260,86,180,bus
20,150,182,69,199,bus
19,145,171,83,180,bus
20,152,185,69,200,bus
19,145,185,82,181,bus
19,144,174,78,182,bus
28,175,261,85,182,bus
26,168,245,80,186,bus
21,134,148,74,196,bus
19,147,175,87,179,bus
19,146,172,83,179,bus
19,145,172,82,181,bus
20,136,129,71,200,bus
19,145,176,85,179,bus
19,146,176,81,181,bus
19,141,172,71,188,bus
19,143,172,66,200,bus
20,131,137,71,200,bus
19,141,174,88,180,bus
20,153,172,68,200,bus
19,142,173,81,181,bus
19,144,191,69,193,bus
28,169,264,85,181,bus
19,141,172,85,179,bus
23,158,219,77,191,bus
19,145,173,80,183,bus
19,150,177,83,178,bus
19,131,143,72,195,bus
19,134,139,70,195,bus
20,130,133,66,198,bus
20,138,161,69,196,bus
19,147,178,86,179,bus
22,145,183,72,194,bus
23,161,214,78,192,bus
19,145,168,77,181,bus
27,166,242,85,181,bus
23,150,200,73,192,bus
19,142,156,78,185,bus
19,144,172,85,179,bus
19,146,172,85,179,bus
19,145,172,86,179,bus
19,137,151,69,196,bus
19,144,184,80,181,bus
19,145,171,85,179,bus
19,145,171,86,179,bus
18,142,177,65,198,bus
19,143,157,75,187,bus
19,141,178,69,194,bus
19,136,154,72,188,bus
19,146,187,79,181,bus
19,144,186,84,180,bus
26,164,253,81,185,bus
19,149,191,81,180,bus
20,148,171,69,200,bus
20,149,191,70,196,bus
19,144,179,69,195,bus
19,146,190,74,188,bus
22,161,221,75,194,bus
19,145,179,84,181,bus
22,146,163,76,195,bus
19,144,177,87,180,bus
19,135,144,68,192,bus
19,143,168,76,186,bus
25,158,217,82,187,bus
24,161,218,76,193,bus
19,146,189,73,186,bus
26,171,229,77,187,bus
21,161,198,72,196,bus
19,134,143,69,193,bus
19,141,171,85,178,bus
24,156,213,77,189,bus
21,157,186,72,197,bus
27,162,262,88,182,bus
19,145,186,86,179,bus
19,146,183,74,185,bus
28,168,230,83,180,bus
19,140,152,72,188,bus
19,143,168,86,180,bus
18,143,170,69,188,bus
19,144,159,78,182,bus
22,158,198,74,197,bus
26,170,242,85,184,bus
21,138,151,72,197,bus
18,136,141,69,192,bus
26,167,228,82,186,bus
19,142,164,75,188,bus
19,129,119,65,201,bus
20,128,135,69,195,bus
19,143,183,70,195,bus
19,145,166,67,202,bus
21,152,201,70,198,bus
19,143,160,76,185,bus
19,147,195,75,183,bus
20,134,148,73,193,bus
26,165,247,84,184,bus
20,150,180,69,200,bus
22,141,162,75,195,bus
22,145,182,71,195,bus
19,143,171,85,180,bus
28,172,232,83,181,bus
21,156,198,73,198,bus
19,148,176,82,179,bus
28,171,257,83,181,bus
22,154,209,74,195,bus
19,147,186,88,180,bus
25,165,231,79,188,bus
19,135,145,72,192,bus
19,131,139,66,195,bus
28,172,239,83,179,bus
19,145,163,85,180,bus
19,144,178,67,199,bus
19,139,165,65,202,bus
19,133,145,70,192,bus
19,142,158,74,184,bus
27,169,268,82,183,bus
19,144,172,83,179,bus
25,159,206,83,186,bus
19,141,147,71,188,bus
27,169,239,85,184,bus
19,144,173,82,180,bus
22,159,188,75,194,bus
23,163,226,67,192,opel
20,130,155,69,190,opel
20,131,136,72,188,opel
24,164,199,71,187,opel
22,161,195,64,196,opel
21,132,157,71,187,opel
21,156,201,67,192,opel
19,126,136,69,191,opel
25,167,214,71,188,opel
22,142,139,65,195,opel
25,178,216,74,187,opel
23,169,216,71,189,opel
19,143,174,68,188,opel
23,147,200,73,187,opel
18,134,144,64,193,opel
22,150,161,65,194,opel
18,131,162,69,187,opel
19,146,180,66,193,opel
25,179,212,72,189,opel
18,126,135,76,179,opel
19,145,177,64,202,opel
23,146,199,73,186,opel
17,119,121,87,179,opel
19,137,156,76,184,opel
25,170,217,75,187,opel
22,156,176,62,197,opel
19,142,160,62,206,opel
18,123,129,66,194,opel
20,147,201,73,187,opel
25,178,204,74,187,opel
24,163,204,74,186,opel
23,152,193,71,189,opel
25,171,223,72,186,opel
20,129,130,63,198,opel
20,135,132,63,197,opel
21,137,151,67,192,opel
18,120,114,62,201,opel
19,128,134,64,197,opel
25,165,207,73,188,opel
19,126,142,66,192,opel
18,127,139,76,183,opel
25,177,211,71,188,opel
24,172,219,75,185,opel
23,158,164,66,192,opel
21,140,136,63,197,opel
22,161,244,69,190,opel
18,125,123,70,184,opel
20,149,197,72,187,opel
24,166,191,71,188,opel
25,171,203,71,189,opel
24,172,187,68,190,opel
21,158,180,62,202,opel
19,134,133,73,184,opel
17,124,135,84,177,opel
23,161,204,64,195,opel
20,148,193,67,191,opel
21,138,150,66,189,opel
20,145,178,65,199,opel
21,154,171,64,198,opel
19,144,174,70,190,opel
23,163,214,68,190,opel
25,176,246,71,187,opel
17,124,121,78,178,opel
18,126,130,72,187,opel
18,127,127,72,183,opel
25,182,207,72,187,opel
17,122,138,74,182,opel
25,166,218,74,188,opel
22,162,210,68,191,opel
19,134,139,71,183,opel
21,141,149,67,193,opel
18,130,139,79,183,opel
18,128,120,64,197,opel
25,174,200,70,187,opel
24,154,204,70,190,opel
23,155,162,64,193,opel
24,169,223,74,186,opel
24,175,224,74,185,opel
24,162,184,66,191,opel
25,180,205,72,186,opel
25,175,216,74,187,opel
21,137,153,66,193,opel
24,163,212,66,191,opel
18,131,142,80,179,opel
19,134,165,80,180,opel
20,149,164,61,200,opel
22,143,166,71,190,opel
24,161,172,67,192,opel
18,132,139,70,185,opel
19,127,142,69,187,opel
19,133,163,87,180,opel
24,162,224,73,186,opel
23,161,200,67,194,opel
19,133,153,75,181,opel
20,133,130,63,198,opel
23,147,189,72,189,opel
23,156,186,65,192,opel
23,152,159,65,194,opel
25,177,218,75,188,opel
17,130,144,64,195,opel
24,162,206,72,189,opel
21,131,145,71,190,opel
19,144,168,68,188,opel
25,180,213,71,186,opel
18,138,158,67,192,opel
23,166,246,74,186,opel
23,156,174,69,189,opel
24,165,249,72,188,opel
18,132,123,65,188,opel
20,132,148,67,193,opel
24,175,221,76,185,opel
23,151,202,74,186,opel
25,178,204,73,186,opel
20,131,117,62,203,opel
18,125,132,81,178,opel
18,130,141,75,185,opel
24,177,223,74,186,opel
20,143,180,66,194,opel
25,188,213,72,185,opel
24,166,215,73,187,opel
18,136,165,74,180,opel
24,170,196,74,187,opel
24,175,219,73,187,opel
21,152,196,67,195,opel
18,128,147,82,176,opel
24,174,226,67,191,opel
22,159,193,66,194,opel
20,133,157,74,183,opel
25,177,204,71,186,opel
21,142,138,65,197,opel
22,161,205,67,193,opel
20,149,178,67,191,opel
19,139,166,71,191,opel
21,141,168,70,189,opel
22,161,185,64,198,opel
22,151,169,66,191,opel
25,174,199,67,189,opel
19,143,168,63,198,opel
20,146,188,65,195,opel
21,135,121,63,201,opel
20,129,140,67,192,opel
23,164,192,65,197,opel
18,124,133,70,183,opel
24,159,183,66,191,opel
18,126,128,66,193,opel
24,168,245,72,188,opel
22,148,159,64,195,opel
22,161,240,72,188,opel
23,157,186,65,193,opel
23,148,201,69,191,opel
25,172,201,69,190,opel
19,132,136,80,181,opel
24,175,222,75,186,opel
24,172,217,73,186,opel
19,145,172,75,184,opel
20,150,182,70,192,opel
24,170,214,68,189,opel
25,170,198,72,186,opel
25,186,218,70,186,opel
19,125,126,63,198,opel
18,122,120,62,204,opel
23,158,168,65,195,opel
19,127,145,71,186,opel
21,155,189,64,199,opel
24,171,210,69,190,opel
23,166,241,70,189,opel
18,128,146,87,177,opel
19,131,123,64,197,opel
18,135,162,72,183,opel
24,156,218,72,188,opel
22,147,151,66,193,opel
25,173,214,72,186,opel
18,128,148,83,177,opel
24,162,189,66,189,opel
19,135,144,76,181,opel
18,138,151,64,199,opel
25,178,213,74,187,opel
23,164,193,69,188,opel
19,141,161,72,187,opel
24,173,219,75,186,opel
25,177,218,72,186,opel
24,174,223,72,187,opel
20,133,151,74,186,opel
22,147,194,70,188,opel
22,141,178,71,187,opel
24,160,187,67,190,opel
20,134,145,71,189,opel
23,153,197,71,188,opel
25,178,217,73,187,opel
20,131,147,74,185,opel
