@relation vehicle

@attribute Radius_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Major_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
193,10,66,201,opel
186,7,65,204,opel
230,11,71,196,opel
158,7,63,203,opel
166,7,69,196,opel
218,11,65,206,opel
146,6,72,190,opel
177,8,63,205,opel
123,6,83,184,opel
231,11,73,198,opel
204,12,66,202,opel
181,8,67,198,opel
149,8,74,190,opel
185,10,75,195,opel
127,7,70,191,opel
162,8,67,198,opel
195,8,67,198,opel
116,4,84,184,opel
130,7,64,201,opel
212,10,73,195,opel
169,8,72,192,opel
164,7,65,201,opel
141,7,72,192,opel
125,5,87,183,opel
188,10,70,197,opel
219,11,74,195,opel
212,11,64,202,opel
190,9,67,199,opel
162,10,74,194,opel
202,10,71,197,opel
147,6,61,209,opel
221,11,66,201,opel
195,9,65,202,opel
202,11,72,196,opel
224,9,72,199,opel
196,12,72,196,opel
225,10,73,199,opel
231,11,73,195,opel
228,9,72,197,opel
116,6,81,184,opel
140,6,71,198,opel
207,11,66,203,opel
172,7,62,210,opel
152,5,62,210,opel
155,7,72,192,opel
224,11,68,201,opel
156,7,67,198,opel
130,9,65,198,opel
215,10,73,194,opel
221,11,73,195,opel
168,11,74,192,opel
177,10,73,194,opel
140,7,62,207,opel
201,10,62,209,opel
208,12,71,196,opel
146,7,64,200,opel
230,11,72,198,opel
206,13,71,196,opel
183,10,72,196,opel
110,3,87,183,opel
153,7,75,189,opel
204,12,73,197,opel
186,11,65,201,opel
127,5,69,190,opel
127,7,70,194,opel
215,10,74,193,opel
116,6,78,185,opel
197,11,67,200,opel
218,12,67,200,opel
230,11,69,197,opel
177,10,72,196,opel
141,8,75,187,opel
179,12,66,200,opel
184,12,68,201,opel
222,9,67,201,opel
194,11,67,206,opel
186,11,66,198,opel
170,10,75,193,opel
160,6,66,202,opel
200,11,74,201,opel
171,11,69,198,opel
142,7,66,203,opel
195,11,71,196,opel
133,7,76,193,opel
212,9,64,204,opel
158,9,69,195,opel
185,11,75,194,opel
193,8,66,198,opel
232,10,71,196,opel
175,10,75,194,opel
209,11,65,205,opel
230,12,67,202,opel
181,8,62,211,opel
165,7,73,192,opel
215,10,65,206,opel
143,7,76,188,opel
219,10,74,196,opel
172,10,74,198,opel
198,9,64,203,opel
153,7,69,194,opel
136,6,68,193,opel
211,11,72,196,opel
163,10,69,196,opel
197,11,75,194,opel
167,6,64,208,opel
219,9,69,202,opel
149,7,64,203,opel
122,6,80,186,opel
197,10,64,203,opel
199,9,70,198,opel
194,9,65,206,opel
153,8,64,206,opel
183,7,66,199,opel
225,10,71,196,opel
188,9,67,200,opel
199,9,73,194,opel
159,7,64,203,opel
167,10,72,198,opel
216,11,71,196,opel
211,10,72,197,opel
213,10,68,198,opel
183,13,71,198,opel
209,11,74,196,opel
125,5,87,184,opel
189,11,70,201,opel
179,8,66,198,opel
131,7,80,186,opel
144,6,80,187,opel
190,10,71,198,opel
163,10,76,195,opel
135,5,79,187,opel
191,6,66,199,opel
154,6,66,198,opel
169,7,63,204,opel
151,8,73,193,opel
183,8,70,198,opel
168,11,73,198,opel
196,9,68,198,opel
140,7,71,189,opel
220,11,70,200,opel
192,11,71,198,opel
128,8,76,187,opel
130,8,76,188,opel
166,7,68,197,opel
197,10,64,202,opel
193,10,64,206,opel
127,9,77,189,opel
172,8,62,211,opel
211,8,67,201,opel
223,10,75,196,opel
228,10,74,193,opel
176,8,67,198,opel
181,9,74,194,opel
197,10,65,204,opel
158,8,69,197,opel
207,11,72,198,opel
176,9,67,202,opel
177,13,72,198,opel
138,8,72,191,opel
209,10,70,197,opel
191,8,67,200,opel
195,6,71,194,opel
180,7,71,198,opel
222,10,70,202,opel
227,11,70,198,opel
197,9,66,200,opel
194,11,73,194,opel
194,9,63,209,opel
