@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Major_variance numeric
@attribute Minor_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
92,67,180,6,saab
88,58,141,14,saab
91,63,197,0,saab
86,60,174,0,saab
109,69,226,13,saab
101,72,232,2,saab
91,64,194,9,saab
97,66,216,15,saab
115,64,229,21,saab
84,57,135,10,saab
105,62,232,12,saab
95,59,196,4,saab
82,53,146,1,saab
89,53,151,16,saab
113,62,221,6,saab
101,61,213,7,saab
90,62,200,11,saab
101,60,219,0,saab
105,70,226,4,saab
89,61,189,7,saab
97,60,180,16,saab
102,68,228,0,saab
85,54,171,7,saab
86,56,155,5,saab
90,55,148,5,saab
89,63,164,1,saab
88,60,200,13,saab
100,59,220,1,saab
105,60,207,18,saab
92,57,169,4,saab
107,63,228,10,saab
103,60,202,13,saab
110,66,223,5,saab
83,57,143,6,saab
106,61,227,5,saab
89,57,139,5,saab
96,67,214,8,saab
90,61,211,6,saab
97,71,226,3,saab
96,56,162,11,saab
117,65,228,21,saab
90,59,174,15,saab
96,58,205,5,saab
91,53,165,1,saab
86,56,152,9,saab
106,64,224,1,saab
98,67,223,5,saab
96,68,183,3,saab
106,67,228,3,saab
98,65,197,9,saab
83,61,152,3,saab
95,65,220,3,saab
107,68,223,13,saab
111,60,223,9,saab
97,59,192,1,saab
113,62,216,17,saab
107,56,226,2,saab
104,68,232,3,saab
100,65,224,4,saab
92,56,185,10,saab
85,53,136,1,saab
106,54,235,1,saab
84,54,177,6,saab
112,58,223,15,saab
105,63,226,15,saab
87,58,164,19,saab
105,69,232,0,saab
100,62,200,6,saab
98,66,207,10,saab
104,66,223,14,saab
90,57,137,22,saab
110,64,222,17,saab
106,60,224,8,saab
93,63,206,10,saab
79,55,153,4,saab
92,60,181,9,saab
104,61,225,5,saab
84,59,175,8,saab
108,61,229,16,saab
104,63,218,13,saab
89,59,179,1,saab
93,64,200,7,saab
89,64,188,16,saab
109,60,220,11,saab
91,56,168,13,saab
100,60,186,15,saab
109,59,225,13,saab
96,58,197,3,saab
94,62,184,2,saab
87,57,154,1,saab
107,62,221,2,saab
109,63,229,6,saab
91,59,184,0,saab
104,66,224,1,saab
108,64,224,11,saab
89,54,163,13,saab
98,63,195,10,saab
93,62,202,4,saab
91,55,170,9,saab
89,62,166,17,saab
102,67,226,2,saab
116,67,231,16,saab
107,66,221,14,saab
91,59,190,0,saab
105,57,224,0,saab
109,66,229,1,saab
97,59,208,7,saab
115,60,207,22,saab
93,57,172,14,saab
101,62,208,14,saab
96,66,218,3,saab
94,60,188,2,saab
86,58,155,0,saab
107,65,229,1,saab
101,69,229,2,saab
98,59,207,1,saab
86,61,165,5,saab
100,61,189,13,saab
87,53,158,0,saab
88,56,180,3,saab
102,67,220,3,saab
107,68,221,10,saab
110,61,209,11,saab
99,63,210,6,saab
101,59,223,0,saab
102,64,214,0,saab
90,59,189,7,saab
93,69,211,6,saab
97,63,202,4,saab
89,58,202,7,saab
99,66,221,0,saab
104,54,220,9,saab
86,59,162,6,saab
104,64,218,14,saab
105,61,214,8,saab
91,60,189,5,saab
78,51,162,2,saab
119,65,223,20,saab
86,62,165,2,saab
85,59,159,3,saab
101,60,192,5,saab
106,64,229,22,saab
92,57,184,8,saab
103,56,222,8,saab
85,56,173,7,saab
82,63,151,11,saab
91,61,163,0,saab
109,64,219,4,saab
98,64,184,8,saab
88,62,151,16,saab
90,59,165,1,saab
93,58,149,9,saab
108,63,214,7,saab
88,60,163,12,saab
108,65,228,9,saab
104,59,232,15,saab
111,61,217,21,saab
109,68,226,11,saab
106,64,214,2,saab
91,56,177,8,saab
104,61,226,0,saab
94,60,181,12,saab
82,53,150,15,saab
98,61,189,3,saab
89,64,190,4,saab
86,60,191,1,saab
84,55,166,4,saab
112,56,232,18,saab
98,65,216,2,saab
104,64,226,14,saab
103,55,220,16,saab
103,66,217,9,saab
91,60,166,2,saab
115,62,229,14,saab
109,63,229,6,saab
87,61,164,1,bus
87,65,184,6,bus
85,56,170,1,bus
81,64,175,1,bus
87,56,170,4,bus
91,66,169,4,bus
107,50,280,5,bus
110,51,278,9,bus
92,70,184,0,bus
85,56,168,9,bus
81,53,170,4,bus
85,65,173,6,bus
83,59,167,8,bus
86,54,171,2,bus
105,51,240,9,bus
108,75,264,9,bus
94,69,181,5,bus
94,67,164,10,bus
80,53,169,7,bus
100,68,216,7,bus
101,57,256,6,bus
103,52,254,3,bus
93,71,190,7,bus
84,75,180,5,bus
81,60,167,3,bus
89,66,166,11,bus
102,65,225,0,bus
94,74,208,4,bus
102,72,267,7,bus
100,70,206,3,bus
81,55,166,7,bus
81,57,169,6,bus
86,68,176,7,bus
98,61,197,4,bus
84,64,168,5,bus
97,60,214,8,bus
92,71,179,6,bus
86,57,170,9,bus
101,53,275,5,bus
81,62,172,1,bus
105,71,214,6,bus
82,64,181,0,bus
96,74,185,7,bus
85,56,166,6,bus
90,55,173,0,bus
113,56,288,11,bus
87,75,167,6,bus
82,69,169,5,bus
79,61,175,6,bus
85,54,168,8,bus
83,69,166,7,bus
96,64,205,0,bus
96,70,178,0,bus
82,54,166,3,bus
96,72,188,6,bus
96,74,188,1,bus
83,59,172,5,bus
87,64,175,3,bus
96,55,215,0,bus
80,56,171,3,bus
91,69,184,3,bus
89,76,174,3,bus
87,51,169,2,bus
85,54,169,0,bus
102,60,247,7,bus
104,66,227,11,bus
85,54,172,6,bus
84,54,173,1,bus
100,73,189,6,bus
107,49,269,5,bus
87,56,169,6,bus
98,74,208,4,bus
90,68,175,3,bus
88,73,185,1,bus
92,74,179,8,bus
94,72,175,4,bus
106,47,263,4,bus
84,64,175,0,bus
90,64,168,0,bus
85,62,178,1,bus
81,73,173,7,bus
100,70,179,9,bus
98,63,215,2,bus
89,66,175,2,bus
100,71,204,7,bus
85,57,173,4,bus
106,48,269,12,bus
80,53,170,4,bus
83,67,174,4,bus
106,47,266,4,bus
102,64,217,6,bus
98,69,212,4,bus
94,71,171,2,bus
101,67,169,7,bus
89,73,181,8,bus
99,69,202,4,bus
99,74,234,4,bus
78,65,169,1,bus
86,64,170,10,bus
86,53,175,5,bus
85,103,241,9,bus
86,66,167,5,bus
80,54,171,4,bus
95,73,184,2,bus
85,58,171,2,bus
86,62,179,4,bus
85,58,170,8,bus
99,62,222,8,bus
86,56,170,9,bus
109,58,262,0,bus
86,56,166,6,bus
88,68,174,2,bus
86,56,177,6,bus
109,51,265,10,bus
81,60,180,1,bus
96,70,179,5,bus
85,53,173,5,bus
91,69,170,12,bus
86,70,172,10,bus
84,65,168,2,bus
95,70,184,9,bus
94,69,169,9,bus
82,52,174,2,bus
92,71,180,1,bus
107,55,243,7,bus
100,65,219,6,bus
86,57,170,0,bus
107,51,275,2,bus
84,55,169,1,bus
104,54,238,1,bus
98,72,199,9,bus
87,67,171,7,bus
100,67,206,6,bus
82,61,173,6,bus
86,54,170,1,bus
83,70,174,3,bus
93,68,175,1,bus
94,72,171,7,bus
105,54,254,4,bus
90,69,178,2,bus
82,64,169,0,bus
97,71,178,7,bus
99,65,232,5,bus
83,64,172,2,bus
82,126,237,1,bus
85,58,166,8,bus
80,60,170,6,bus
89,50,171,6,bus
82,68,181,2,bus
81,69,186,1,bus
87,59,177,6,bus
109,57,267,8,bus
110,57,272,11,bus
89,63,175,4,bus
99,66,193,2,bus
83,65,168,4,bus
98,71,184,13,bus
82,65,178,5,bus
110,64,280,4,bus
87,72,177,6,bus
97,68,199,2,bus
95,69,189,6,bus
88,68,180,5,bus
97,66,167,0,bus
88,61,163,7,bus
87,66,173,3,bus
91,67,169,4,bus
86,63,170,6,bus
114,52,287,2,bus
85,53,169,10,bus
96,59,228,8,bus
98,68,189,3,bus
93,65,189,5,bus
82,64,172,5,bus
101,65,231,5,bus
111,51,285,4,bus
98,68,184,3,bus
86,54,174,3,bus
106,67,285,9,bus
79,62,175,0,bus
97,73,194,0,bus
99,68,202,5,bus
86,50,169,4,bus
85,55,172,4,bus
84,64,179,0,bus
81,61,177,1,bus
89,64,164,9,bus
108,51,285,11,bus
93,69,203,0,bus
86,65,170,6,bus
107,59,258,3,bus
80,59,170,7,bus
86,56,168,4,bus
87,66,175,2,bus
81,64,171,5,bus
85,55,167,1,bus
92,56,170,14,opel
89,54,170,10,opel
93,56,151,5,opel
88,62,200,0,opel
91,63,203,7,opel
91,62,216,3,opel
85,55,168,10,opel
103,62,217,10,opel
92,58,181,8,opel
99,55,219,3,opel
84,62,144,4,opel
86,59,190,7,opel
106,60,225,9,opel
103,71,226,2,opel
87,64,197,11,opel
97,62,182,2,opel
87,61,186,1,opel
82,54,174,11,opel
91,59,169,1,opel
85,53,145,1,opel
105,61,207,5,opel
102,57,219,7,opel
94,62,190,12,opel
97,63,197,4,opel
82,59,152,0,opel
88,59,175,9,opel
100,62,202,0,opel
99,64,209,12,opel
104,67,223,4,opel
105,64,225,2,opel
85,59,179,6,opel
104,67,230,8,opel
95,63,208,13,opel
89,55,170,15,opel
93,59,182,15,opel
109,59,210,14,opel
86,57,148,5,opel
103,69,226,10,opel
92,58,165,10,opel
108,60,222,7,opel
101,57,225,5,opel
78,56,135,1,opel
97,54,219,0,opel
89,61,166,0,opel
97,63,200,20,opel
106,63,228,10,opel
86,54,179,14,opel
92,60,174,22,opel
102,63,202,8,opel
103,63,199,7,opel
95,62,188,11,opel
86,55,154,3,opel
101,61,228,8,opel
93,60,197,12,opel
92,62,196,3,opel
77,59,167,16,opel
107,57,217,6,opel
109,57,212,12,opel
103,54,214,1,opel
82,57,173,11,opel
97,67,224,0,opel
96,58,221,13,opel
94,55,196,9,opel
99,54,223,4,opel
93,62,169,5,opel
85,56,144,3,opel
103,65,229,5,opel
100,52,217,5,opel
107,64,219,17,opel
89,62,174,5,opel
90,64,182,1,opel
104,70,237,14,opel
93,60,172,2,opel
97,63,219,5,opel
98,53,231,8,opel
86,60,174,9,opel
91,57,170,16,opel
100,63,202,3,opel
95,62,200,2,opel
106,62,218,9,opel
95,65,199,1,opel
101,59,221,12,opel
97,66,208,1,opel
105,56,231,4,opel
97,70,225,10,opel
104,62,207,2,opel
111,50,227,15,opel
106,57,224,0,opel
86,57,185,0,opel
93,59,162,5,opel
92,62,181,7,opel
97,65,232,7,opel
89,65,207,1,opel
98,65,225,6,opel
91,61,196,0,opel
100,57,225,7,opel
101,63,210,5,opel
107,61,234,15,opel
76,58,152,0,opel
101,55,219,2,opel
100,63,234,6,opel
97,64,193,11,opel
106,58,228,11,opel
79,53,165,7,opel
100,70,234,0,opel
98,61,227,5,opel
101,53,226,12,opel
88,57,158,9,opel
80,56,151,0,opel
96,54,226,3,opel
91,65,219,5,opel
88,56,159,7,opel
78,56,141,3,opel
99,66,234,10,opel
99,68,228,11,opel
95,74,224,0,opel
89,66,189,13,opel
101,68,222,5,opel
96,59,195,15,opel
103,56,225,0,opel
85,59,176,0,opel
93,62,208,3,opel
80,56,147,2,opel
98,69,231,6,opel
80,59,152,1,opel
101,67,215,4,opel
84,56,148,8,opel
98,59,223,1,opel
92,64,183,2,opel
101,69,227,6,opel
105,60,221,0,opel
105,57,231,5,opel
102,53,219,12,opel
103,59,217,13,opel
101,62,231,0,opel
91,65,202,11,opel
103,63,214,5,opel
102,53,228,0,opel
98,70,236,1,opel
73,54,135,1,opel
88,59,147,1,opel
100,65,231,5,opel
102,64,214,0,opel
80,55,142,8,opel
87,60,181,2,opel
89,58,155,16,opel
106,68,222,2,opel
86,62,158,3,opel
98,60,184,13,opel
88,58,132,21,opel
90,55,161,0,opel
87,70,214,2,opel
100,68,241,7,opel
93,59,182,11,opel
89,56,163,1,opel
99,64,212,0,opel
96,65,227,6,opel
97,60,189,0,opel
90,61,199,1,opel
88,69,199,3,opel
104,74,223,6,opel
103,62,215,8,opel
96,67,217,12,opel
102,56,219,5,opel
104,69,228,4,opel
103,57,220,1,opel
104,53,235,10,opel
109,62,222,9,opel
103,59,219,15,opel
90,62,194,1,opel
104,69,231,7,opel
89,56,170,18,opel
100,70,238,11,opel
88,56,184,1,opel
84,57,160,9,opel
108,68,228,14,opel
83,54,155,16,opel
89,57,187,9,opel
84,55,167,12,opel
101,68,232,5,opel
102,58,224,13,opel
94,62,191,4,opel
99,62,222,2,opel
104,59,206,11,opel
79,55,172,8,opel
80,57,131,4,opel
77,59,145,13,opel
105,67,214,10,opel
106,61,197,19,opel
81,58,147,10,opel
102,71,228,0,opel
