@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Elongatedness numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
95,105,208,64,187,36,64,198,saab
96,78,170,58,174,38,68,191,saab
87,66,140,58,148,46,79,181,saab
90,72,172,59,154,42,61,203,saab
104,101,199,65,213,31,72,187,saab
90,85,184,64,160,41,66,195,saab
90,66,136,55,123,54,65,196,saab
94,85,186,62,169,39,61,200,saab
113,93,197,62,216,31,72,188,saab
91,72,133,55,146,46,77,184,saab
97,96,195,63,185,36,66,191,saab
85,75,137,56,152,44,76,182,saab
106,106,211,64,208,32,68,190,saab
106,101,222,67,222,30,70,187,saab
94,69,161,59,152,43,67,193,saab
93,72,144,56,133,50,63,200,saab
107,108,211,63,219,31,69,190,saab
98,90,192,61,178,37,61,199,saab
98,104,213,67,206,32,72,187,saab
78,63,115,51,142,47,77,181,saab
108,103,212,65,208,32,71,189,saab
91,75,136,53,144,47,69,186,saab
91,98,192,64,177,38,66,195,saab
101,101,231,72,217,31,72,187,saab
93,76,183,63,164,40,67,192,saab
100,104,189,59,208,32,70,187,saab
100,81,187,61,166,40,63,198,saab
105,108,201,62,220,30,72,189,saab
85,72,139,59,132,50,68,191,saab
104,101,197,64,213,31,74,187,saab
87,60,132,57,128,52,71,186,saab
100,88,190,60,171,38,59,201,saab
103,105,174,56,210,32,73,187,saab
93,76,149,57,149,44,69,189,saab
83,54,131,61,135,50,85,180,saab
88,58,137,60,148,46,86,180,saab
110,104,223,66,211,32,67,190,saab
97,88,184,59,175,38,63,196,saab
100,104,184,60,197,34,73,189,saab
100,102,206,65,198,33,72,187,saab
108,104,181,56,220,31,72,189,saab
86,64,148,61,150,45,80,182,saab
108,103,202,64,220,30,73,188,saab
109,103,220,66,214,31,70,188,saab
97,101,186,59,186,36,67,194,saab
101,101,197,62,188,35,67,193,saab
104,100,201,66,214,31,74,185,saab
91,83,162,61,142,47,63,193,saab
105,108,206,63,222,31,71,189,saab
90,66,158,59,140,47,61,201,saab
96,74,187,68,159,42,69,190,saab
96,101,201,66,192,34,73,189,saab
85,40,115,57,112,61,86,181,saab
93,98,192,63,185,36,70,189,saab
98,78,191,65,169,39,67,192,saab
111,103,199,60,211,31,68,190,saab
93,88,200,66,173,38,66,195,saab
102,105,214,64,201,33,64,192,saab
80,63,129,55,146,46,83,180,saab
100,92,197,62,180,36,64,195,saab
111,108,211,61,207,32,64,196,saab
90,90,188,61,181,36,69,191,saab
96,94,215,67,187,35,67,193,saab
98,81,191,64,166,40,62,197,saab
108,100,206,63,196,34,65,194,saab
109,96,206,64,198,33,70,190,saab
109,103,210,63,219,30,71,188,saab
89,69,162,63,140,48,66,193,saab
107,96,201,62,218,31,71,187,saab
102,101,213,67,222,30,71,187,saab
98,101,203,65,197,33,68,189,saab
89,89,174,58,177,37,70,189,saab
84,83,141,54,149,45,74,185,saab
115,100,203,62,217,31,72,188,saab
109,103,205,63,222,30,71,187,saab
104,100,191,59,197,33,70,191,saab
104,108,193,59,217,31,72,190,saab
91,77,157,56,155,42,65,195,saab
103,100,194,60,185,35,62,198,saab
97,105,225,71,221,30,70,186,saab
88,63,130,58,125,54,74,184,saab
89,85,189,64,169,39,64,195,saab
94,88,179,60,170,39,66,195,saab
108,103,234,73,221,30,73,187,saab
84,77,150,59,152,44,77,183,saab
101,85,191,60,175,38,62,197,saab
92,80,180,67,154,43,69,190,saab
89,52,121,57,122,55,82,181,saab
109,109,221,69,221,31,72,188,saab
106,101,213,64,201,33,65,192,saab
79,55,120,55,142,48,81,180,saab
104,101,190,63,213,32,74,188,saab
95,104,208,66,191,35,68,190,saab
90,74,171,60,157,42,61,197,saab
92,76,162,57,159,41,69,190,saab
86,66,138,59,137,49,74,186,saab
107,108,228,68,218,31,67,190,saab
88,82,155,56,154,43,69,188,saab
84,53,122,57,116,59,76,183,saab
91,72,142,56,149,45,72,186,saab
88,77,151,58,140,47,64,198,saab
107,108,213,64,206,32,65,194,saab
96,69,153,56,141,47,61,202,saab
103,106,209,66,203,33,70,191,saab
102,104,217,67,204,32,68,188,saab
115,100,205,64,220,30,71,189,saab
104,108,204,64,220,31,71,189,saab
91,88,189,63,175,38,69,191,saab
93,98,197,62,183,36,64,195,saab
107,104,231,71,219,31,71,189,saab
106,98,193,60,215,31,73,188,saab
90,85,160,59,163,41,71,186,saab
92,83,154,56,160,41,71,186,saab
91,72,162,60,150,44,63,196,saab
105,100,220,69,221,30,73,187,saab
82,54,117,53,125,54,78,180,saab
86,77,165,60,150,45,66,196,saab
106,108,207,64,221,31,73,190,saab
102,106,221,68,207,32,71,189,saab
85,53,127,58,116,58,70,185,saab
110,102,201,64,213,31,73,188,saab
104,107,222,68,218,31,71,188,saab
91,83,170,60,172,38,72,188,saab
85,50,104,53,115,59,83,179,saab
105,106,215,68,208,32,69,189,saab
85,66,136,58,142,48,77,182,saab
109,109,225,68,214,31,68,189,saab
99,89,195,63,186,35,68,191,saab
94,77,169,60,158,42,67,193,saab
107,103,213,68,219,30,70,187,saab
97,104,219,71,211,32,74,186,saab
91,83,166,60,160,41,72,186,saab
91,83,176,59,169,39,67,192,saab
89,77,188,64,161,41,66,194,saab
104,105,168,54,208,32,72,187,saab
97,95,202,66,188,35,72,190,saab
108,103,200,62,206,32,72,189,saab
95,81,176,59,168,39,67,191,saab
90,89,181,62,175,38,70,189,saab
99,104,196,63,201,33,73,188,saab
95,95,202,65,193,34,71,188,saab
86,63,135,56,133,50,70,187,saab
83,54,118,55,129,52,81,180,saab
89,80,151,62,144,46,74,185,saab
89,77,161,62,149,45,71,188,saab
90,83,187,63,176,37,70,189,saab
104,106,209,66,207,32,73,188,saab
89,77,147,54,144,46,64,194,saab
99,105,219,66,204,32,68,191,saab
113,98,208,62,203,33,64,193,saab
105,100,195,61,198,33,67,192,saab
82,66,126,54,132,52,72,183,saab
104,105,209,61,207,32,64,193,saab
90,57,130,57,121,56,68,190,saab
89,83,169,61,164,40,72,187,saab
86,86,175,60,170,39,68,191,saab
108,109,204,61,212,31,71,190,saab
104,108,206,61,217,31,67,188,saab
117,110,228,65,212,31,66,194,saab
105,105,197,60,191,35,64,196,saab
82,51,114,53,135,50,86,181,saab
87,71,123,53,137,49,75,181,saab
119,106,220,65,213,31,66,192,saab
101,105,195,61,198,34,66,192,saab
95,71,171,61,157,43,63,196,saab
108,105,203,62,202,33,68,190,saab
107,98,210,66,218,31,71,188,saab
101,108,228,69,215,31,71,188,saab
106,98,176,54,216,31,74,187,saab
83,54,119,57,128,53,82,179,saab
106,107,202,61,207,32,70,190,saab
104,100,186,61,216,31,74,185,saab
87,74,152,58,151,44,70,187,saab
88,90,178,60,175,38,68,192,saab
97,76,175,60,157,42,63,198,saab
86,78,146,58,135,50,66,190,saab
108,109,189,57,220,31,70,189,saab
116,110,231,67,217,31,67,192,saab
92,71,174,66,154,43,70,189,saab
86,66,133,56,136,49,74,183,saab
89,82,156,59,153,43,70,187,saab
93,90,209,69,183,36,70,189,saab
93,87,183,64,169,40,72,188,saab
112,110,186,56,214,31,71,191,saab
100,89,199,65,201,32,74,193,bus
85,66,121,54,150,46,87,179,bus
102,83,198,65,194,33,79,193,bus
87,70,169,72,152,44,76,184,bus
82,72,150,64,154,44,80,183,bus
85,70,205,103,149,45,127,180,bus
81,68,137,60,152,45,81,179,bus
85,66,155,65,149,45,75,184,bus
80,68,123,53,150,46,81,179,bus
86,65,125,54,150,45,85,180,bus
87,71,159,66,151,44,73,186,bus
82,66,252,126,148,45,119,181,bus
86,71,170,70,146,45,71,187,bus
86,70,122,56,148,45,84,180,bus
103,103,170,52,236,28,82,183,bus
92,75,191,71,161,40,69,195,bus
81,68,125,57,149,46,83,179,bus
82,68,150,69,148,45,80,181,bus
94,70,186,72,153,42,67,199,bus
86,70,140,64,148,45,82,181,bus
109,102,169,51,241,27,84,184,bus
94,64,173,69,150,43,68,199,bus
83,68,144,61,147,45,74,185,bus
89,72,155,63,146,45,72,192,bus
91,81,193,69,169,38,68,198,bus
91,75,185,75,154,42,72,192,bus
91,76,171,69,150,44,69,195,bus
81,72,139,60,153,44,81,182,bus
85,66,123,55,150,45,83,180,bus
81,68,154,69,151,45,88,180,bus
86,64,122,54,148,46,87,179,bus
96,77,177,64,177,36,74,196,bus
86,71,155,66,146,45,72,189,bus
82,72,118,52,152,44,82,180,bus
94,73,186,71,154,42,67,197,bus
86,73,125,57,151,45,82,180,bus
79,72,141,62,153,44,78,182,bus
89,70,158,64,141,47,66,193,bus
83,71,152,64,149,45,74,184,bus
82,71,154,68,150,45,78,181,bus
105,80,207,71,195,33,75,194,bus
91,84,209,75,171,38,69,196,bus
86,65,116,53,152,45,85,179,bus
108,102,246,75,239,28,82,186,bus
107,98,199,59,240,27,80,186,bus
91,66,169,66,145,44,67,201,bus
89,75,162,66,153,43,72,188,bus
83,71,156,70,151,44,80,181,bus
88,71,165,70,144,46,71,188,bus
85,70,130,56,150,45,82,181,bus
85,66,120,53,149,45,85,180,bus
94,79,203,71,174,37,71,197,bus
84,65,128,55,150,46,82,179,bus
87,76,165,67,148,45,72,188,bus
95,73,191,73,156,41,71,199,bus
100,80,206,70,183,35,73,198,bus
87,65,124,56,149,46,87,179,bus
98,88,191,63,192,34,73,194,bus
105,93,173,54,222,30,83,186,bus
96,98,187,59,213,31,77,188,bus
101,106,188,57,236,28,81,185,bus
82,72,136,61,147,46,81,181,bus
79,74,141,61,153,43,77,183,bus
98,72,192,69,166,38,70,200,bus
89,72,160,66,144,46,69,191,bus
87,65,127,56,149,46,85,180,bus
95,71,159,64,145,45,67,195,bus
104,89,168,54,212,31,78,190,bus
92,75,184,70,154,42,71,198,bus
80,71,128,56,151,45,79,181,bus
110,109,199,57,251,27,82,183,bus
97,73,173,65,153,42,66,200,bus
90,71,169,68,150,44,71,192,bus
106,107,235,67,262,26,86,180,bus
80,68,135,59,150,45,80,180,bus
84,76,180,75,155,43,77,185,bus
81,71,141,61,153,44,80,182,bus
100,70,185,70,162,40,68,200,bus
81,69,146,64,151,44,75,183,bus
95,73,195,70,167,38,69,200,bus
86,73,152,63,149,44,71,189,bus
81,68,169,73,151,44,75,183,bus
85,64,121,55,149,46,85,179,bus
99,79,199,68,185,35,74,195,bus
87,70,139,59,149,45,78,185,bus
82,73,158,68,151,44,80,183,bus
91,76,171,67,149,44,68,192,bus
94,72,193,72,158,41,70,200,bus
88,78,186,73,158,41,73,193,bus
105,93,160,51,217,30,81,188,bus
85,70,120,54,149,45,81,181,bus
81,68,120,53,151,45,86,179,bus
85,66,130,57,151,45,86,180,bus
85,66,120,54,148,46,87,179,bus
101,104,185,53,257,26,83,180,bus
100,95,209,68,199,32,73,192,bus
102,98,201,61,225,29,79,188,bus
81,63,125,55,149,46,86,179,bus
96,74,183,70,149,43,69,201,bus
83,73,137,59,148,45,75,185,bus
95,83,198,69,177,36,68,196,bus
99,91,226,74,202,32,79,192,bus
100,81,197,67,186,34,74,197,bus
85,65,128,56,151,45,81,179,bus
80,68,120,54,150,45,85,179,bus
100,73,199,73,162,40,72,200,bus
106,98,154,47,237,28,82,185,bus
98,77,199,71,166,39,69,200,bus
85,66,123,56,148,46,85,179,bus
96,74,199,74,165,39,72,196,bus
111,105,183,51,265,26,85,181,bus
96,82,161,55,186,34,75,195,bus
82,63,123,54,151,45,81,179,bus
81,71,130,56,153,44,81,180,bus
87,73,158,64,151,44,73,190,bus
85,66,120,53,149,46,85,180,bus
87,74,165,66,145,45,70,195,bus
97,70,173,66,151,43,65,201,bus
109,96,191,57,241,28,85,184,bus
99,74,184,66,164,39,71,200,bus
81,68,148,64,150,45,80,182,bus
84,68,148,64,146,46,75,183,bus
86,70,126,56,148,46,86,179,bus
96,74,202,74,163,39,70,196,bus
88,70,166,66,148,44,69,193,bus
89,76,188,76,150,44,72,193,bus
80,68,120,53,151,45,80,180,bus
106,105,164,48,247,27,84,181,bus
102,85,193,64,192,33,76,195,bus
85,66,125,58,148,45,84,180,bus
85,70,130,58,151,45,79,181,bus
114,102,181,52,257,26,85,182,bus
84,75,153,64,154,43,75,185,bus
98,70,186,68,164,39,71,200,bus
89,76,183,73,157,42,74,191,bus
86,66,130,56,152,44,81,181,bus
94,72,179,69,156,41,69,193,bus
94,68,170,67,142,46,65,198,bus
99,77,197,69,177,36,72,198,bus
101,91,194,65,204,32,78,192,bus
93,86,201,69,184,35,72,194,bus
97,75,188,68,171,37,74,197,bus
113,109,194,56,260,26,85,182,bus
109,95,189,58,227,29,82,187,bus
98,84,219,74,190,34,74,195,bus
87,60,116,51,150,46,85,178,bus
83,70,155,65,144,46,71,188,bus
92,76,180,71,152,43,72,195,bus
106,103,161,47,247,27,85,181,bus
93,84,205,71,176,36,70,198,bus
84,76,156,64,151,44,75,187,bus
94,75,184,72,155,42,70,192,bus
89,68,113,50,150,45,88,179,bus
83,66,156,67,150,45,78,182,bus
97,76,203,73,178,36,72,197,bus
100,98,204,63,218,30,77,189,bus
106,100,227,67,250,27,88,182,bus
97,88,183,60,197,33,74,192,bus
86,75,165,68,154,43,74,188,bus
97,72,187,71,161,40,70,196,bus
107,102,184,55,234,28,77,187,bus
85,66,122,54,148,46,88,180,bus
86,65,129,56,152,45,83,178,bus
93,79,180,65,173,37,70,197,bus
78,70,147,65,147,46,77,181,bus
99,88,188,62,203,32,77,191,bus
102,101,238,72,238,28,85,184,bus
88,70,177,74,152,44,76,186,bus
110,103,223,64,250,26,85,184,bus
85,69,141,62,152,44,84,181,bus
86,61,119,53,150,46,85,179,bus
86,68,152,62,150,44,75,188,bus
85,64,128,56,150,46,82,180,bus
107,103,167,49,252,27,83,179,bus
98,86,207,69,192,33,75,194,bus
83,68,139,59,150,44,74,185,bus
98,70,182,68,155,41,71,202,bus
82,70,155,64,148,45,72,187,bus
88,74,171,68,152,43,71,189,bus
81,68,139,62,149,46,83,180,bus
83,70,166,69,143,46,69,188,bus
87,70,179,75,146,45,69,194,bus
96,77,204,72,167,38,69,199,bus
86,65,113,50,152,45,85,179,bus
84,66,154,65,145,46,73,184,bus
86,69,123,54,150,46,87,180,bus
90,63,126,55,152,45,81,180,bus
87,70,148,61,143,46,69,192,bus
93,73,174,68,151,43,68,196,bus
89,70,148,62,147,45,76,186,bus
96,70,194,70,167,39,69,200,bus
86,70,149,65,149,45,77,183,bus
102,92,194,60,220,30,80,188,bus
107,106,179,51,257,26,83,181,bus
94,89,213,71,186,35,71,195,bus
82,68,139,64,147,46,80,181,bus
104,96,188,59,188,35,67,193,opel
95,96,197,65,178,37,67,193,opel
82,86,140,54,153,45,71,183,opel
84,74,138,57,139,49,72,183,opel
97,108,227,70,224,30,70,186,opel
86,66,129,55,135,50,74,180,opel
98,101,228,70,210,31,72,188,opel
101,100,215,69,208,32,74,186,opel
89,72,141,56,138,48,72,187,opel
95,92,193,62,178,37,64,198,opel
95,96,202,65,189,35,71,190,opel
97,78,181,62,161,41,62,203,opel
102,100,163,53,213,31,76,187,opel
79,80,133,55,147,47,76,181,opel
92,91,191,62,176,37,67,192,opel
94,89,194,62,172,38,63,201,opel
95,105,219,68,201,33,69,191,opel
92,93,204,67,189,35,72,188,opel
103,107,189,56,223,30,70,187,opel
99,88,204,64,185,35,66,194,opel
97,92,197,63,179,37,63,197,opel
101,100,168,55,214,31,74,185,opel
91,76,172,61,167,40,71,189,opel
100,93,193,62,186,35,66,193,opel
106,96,196,60,221,30,72,186,opel
87,86,190,64,177,37,67,192,opel
88,77,156,56,163,41,67,192,opel
107,101,218,64,202,33,65,197,opel
104,103,230,69,219,30,71,187,opel
88,77,167,59,151,44,64,202,opel
99,101,206,62,222,30,71,186,opel
85,72,127,56,127,54,70,184,opel
85,63,130,55,122,55,64,195,opel
91,86,195,63,177,37,67,192,opel
93,73,164,59,159,42,65,195,opel
87,82,164,60,156,42,70,190,opel
96,83,177,59,171,39,67,195,opel
103,100,194,62,212,31,73,187,opel
102,98,225,71,214,31,71,187,opel
99,104,177,55,210,32,73,187,opel
104,105,216,68,205,32,71,189,opel
104,110,172,53,219,30,74,188,opel
89,69,147,58,132,50,61,203,opel
95,104,214,67,205,32,74,186,opel
99,101,219,68,224,30,74,187,opel
109,107,215,62,205,32,65,195,opel
97,105,212,64,201,33,64,193,opel
98,101,195,61,207,31,71,189,opel
96,98,161,54,215,31,76,185,opel
86,77,155,60,152,44,72,187,opel
101,107,200,61,225,30,74,187,opel
93,88,188,62,183,36,70,189,opel
93,66,140,56,130,51,62,201,opel
90,83,178,61,178,37,71,187,opel
86,84,149,57,156,43,74,183,opel
88,79,183,62,176,38,66,189,opel
90,78,179,64,157,42,66,192,opel
102,96,197,63,185,36,65,195,opel
103,107,218,64,222,30,67,189,opel
97,103,197,63,215,31,75,185,opel
84,71,131,55,150,45,80,180,opel
77,75,144,59,147,46,80,181,opel
85,72,130,53,134,51,65,188,opel
93,72,172,62,149,44,62,203,opel
96,104,222,67,198,33,67,192,opel
79,72,127,53,142,48,77,181,opel
101,103,212,67,201,33,69,189,opel
108,103,197,60,211,31,67,190,opel
102,98,177,56,219,31,72,186,opel
89,75,143,56,146,46,76,184,opel
91,93,197,65,183,36,66,193,opel
88,78,160,62,140,48,66,194,opel
104,103,216,69,219,30,73,186,opel
98,101,208,65,226,30,71,185,opel
101,105,182,59,215,31,74,186,opel
98,108,168,53,224,30,73,187,opel
80,42,110,57,114,59,87,179,opel
97,76,169,60,161,41,72,188,opel
105,98,209,64,217,31,72,188,opel
101,103,203,63,195,34,68,191,opel
86,77,144,54,154,43,71,186,opel
106,107,194,57,214,31,67,192,opel
80,57,116,55,125,54,81,178,opel
91,66,159,59,147,45,64,197,opel
103,91,179,57,220,31,72,186,opel
102,98,167,53,217,31,72,187,opel
92,69,153,58,140,48,64,199,opel
100,100,209,65,201,32,72,189,opel
101,101,183,57,225,30,71,186,opel
102,101,213,64,203,33,65,193,opel
97,96,170,54,216,31,75,184,opel
88,71,145,56,142,48,68,188,opel
106,107,211,62,200,33,67,194,opel
85,78,149,55,147,45,64,197,opel
111,103,171,50,221,30,69,190,opel
89,69,142,57,135,50,66,193,opel
105,107,207,60,218,31,66,191,opel
107,105,202,61,221,30,72,189,opel
94,74,169,59,162,41,63,198,opel
103,100,185,59,216,31,75,186,opel
103,96,232,71,205,32,71,188,opel
104,101,206,62,198,33,64,195,opel
81,53,123,58,134,51,83,177,opel
96,103,201,65,204,32,74,186,opel
100,96,206,63,186,35,62,197,opel
85,77,151,59,150,45,73,184,opel
88,69,152,57,138,48,62,204,opel
76,58,125,58,133,51,87,177,opel
104,103,222,72,221,30,72,186,opel
101,100,204,62,227,30,73,186,opel
80,69,127,56,128,53,70,183,opel
78,51,116,56,120,57,84,177,opel
96,104,175,58,215,31,75,186,opel
97,101,210,66,192,35,66,191,opel
90,86,169,62,162,41,74,185,opel
94,84,158,55,169,39,69,190,opel
91,75,154,57,150,44,66,193,opel
101,105,162,53,212,31,74,186,opel
100,109,224,67,217,30,72,189,opel
84,60,128,56,132,50,75,185,opel
103,101,204,62,200,33,66,192,opel
89,75,140,55,145,46,71,191,opel
103,103,211,65,212,31,72,188,opel
91,101,199,65,196,34,73,186,opel
101,107,222,68,208,32,70,190,opel
98,101,219,69,225,30,74,187,opel
109,100,197,59,192,34,64,196,opel
87,77,153,59,154,44,75,184,opel
100,109,231,70,220,30,73,189,opel
94,79,181,62,167,40,67,191,opel
106,96,201,61,181,36,62,202,opel
106,98,203,63,220,30,71,188,opel
102,101,190,58,222,30,71,189,opel
89,82,136,54,149,45,68,188,opel
97,94,198,63,181,36,64,199,opel
95,80,186,62,164,40,65,199,opel
107,92,197,62,188,35,64,195,opel
102,108,193,57,212,31,66,191,opel
104,91,209,67,218,31,74,187,opel
88,88,194,69,168,40,74,186,opel
80,64,130,59,134,51,76,179,opel
100,101,189,57,222,30,71,188,opel
105,96,185,57,219,30,75,187,opel
93,66,154,59,142,46,64,197,opel
98,76,166,60,157,42,69,190,opel
83,69,127,54,135,49,69,187,opel
84,66,138,62,126,54,70,185,opel
85,80,158,59,153,44,69,191,opel
85,66,121,52,152,44,87,180,opel
93,78,166,59,151,44,68,193,opel
92,82,170,58,165,40,61,200,opel
100,109,225,68,222,30,73,188,opel
98,104,186,59,213,32,73,186,opel
109,103,186,57,206,32,65,192,opel
96,103,215,69,200,33,73,187,opel
103,105,183,59,210,32,72,188,opel
97,108,211,65,214,31,72,188,opel
87,98,211,70,189,35,71,187,opel
106,98,224,68,215,31,68,189,opel
