@relation vehicle

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Minor_variance numeric
@attribute Gyration_radius numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
78,43,167,169,366,185,182,van
60,56,132,141,209,129,186,van
70,47,139,162,296,130,192,van
85,44,151,175,349,186,186,van
77,44,160,171,351,177,183,van
66,51,138,160,251,123,191,van
85,43,157,179,354,178,184,van
64,50,141,157,265,159,193,van
66,48,146,162,281,164,193,van
62,52,139,149,241,150,204,van
87,43,161,179,363,186,184,van
68,51,142,164,261,134,186,van
87,43,162,178,366,186,183,van
85,44,144,168,347,150,196,van
89,44,145,170,338,163,187,van
85,44,156,170,357,176,187,van
82,43,160,180,371,189,183,van
59,52,137,145,250,157,177,van
83,43,153,177,357,187,185,van
58,52,130,148,243,113,199,van
78,46,147,168,305,171,190,van
68,53,135,148,241,142,182,van
80,43,163,175,369,174,182,van
58,57,129,140,208,152,184,van
70,51,146,159,253,156,190,van
73,46,148,173,307,176,190,van
78,43,159,172,374,186,184,van
72,50,135,161,262,128,192,van
64,51,144,164,262,155,185,van
53,57,128,137,204,136,180,van
80,44,157,166,349,176,183,van
81,46,147,164,313,179,194,van
82,46,143,160,309,127,199,van
60,56,137,143,209,153,193,van
70,48,145,231,289,172,190,van
73,42,153,172,376,185,183,van
88,43,149,173,367,154,194,van
68,52,143,154,246,159,192,van
70,48,134,159,280,140,194,van
85,43,155,176,363,175,184,van
77,46,141,168,314,143,190,van
53,57,125,138,205,138,180,van
91,45,148,166,334,171,197,van
81,45,152,171,325,181,188,van
63,55,137,148,223,150,186,van
64,49,142,163,268,170,192,van
85,44,155,175,345,184,186,van
66,50,140,159,277,148,182,van
60,55,134,140,212,141,200,van
60,56,130,139,211,118,192,van
64,50,142,157,264,159,193,van
70,49,140,156,278,121,196,van
76,44,151,163,352,176,184,van
73,46,144,169,305,179,191,van
76,44,149,173,339,159,187,van
88,45,147,164,334,143,196,van
52,58,126,135,196,144,186,van
63,50,136,158,260,121,193,van
60,58,132,135,194,137,190,van
70,49,144,164,282,172,183,van
76,47,131,167,301,138,189,van
64,57,125,138,200,123,196,van
78,48,140,157,290,126,201,van
85,42,163,176,387,170,189,van
69,48,134,163,284,124,189,van
68,50,134,153,265,119,201,van
63,50,142,154,259,162,197,van
70,50,141,162,269,139,183,van
88,45,157,165,326,140,197,van
75,43,161,173,369,171,182,van
85,44,147,169,339,179,195,van
84,45,143,170,330,158,189,van
85,43,155,320,354,187,188,van
62,52,145,160,249,156,184,van
72,48,144,159,283,171,196,van
78,47,148,160,300,171,201,van
75,49,141,164,284,149,184,van
66,53,144,159,237,155,191,van
88,43,148,173,354,182,194,van
88,44,148,173,339,182,192,van
81,44,156,173,333,200,185,van
66,48,146,166,280,167,188,van
84,43,159,173,368,176,186,van
84,44,165,171,354,188,185,van
81,46,139,167,317,157,189,van
82,43,162,173,365,185,182,van
83,43,163,229,364,176,184,van
77,47,150,161,294,124,201,van
53,53,140,142,247,157,176,van
79,46,139,168,311,149,188,van
51,56,127,138,213,147,181,van
68,51,130,150,253,121,195,van
66,56,128,140,212,131,186,van
44,57,121,139,208,137,180,van
85,43,151,173,356,174,185,van
100,35,160,202,518,178,198,saab
104,32,171,222,658,223,186,saab
66,52,127,148,252,142,183,saab
82,43,149,180,357,170,188,saab
53,58,121,137,197,127,185,saab
98,36,146,202,505,152,195,saab
50,59,118,136,193,127,179,saab
77,45,128,174,331,131,196,saab
86,42,131,181,373,144,190,saab
105,32,163,222,650,222,187,saab
106,32,158,223,635,220,188,saab
101,34,143,218,552,195,189,saab
63,50,135,152,262,166,187,saab
100,34,162,207,573,184,198,saab
105,31,168,224,661,218,186,saab
58,46,131,163,319,157,180,saab
98,33,151,216,613,183,193,saab
82,43,129,179,351,137,187,saab
72,45,140,168,327,165,186,saab
105,34,150,213,578,195,192,saab
104,31,172,226,705,217,189,saab
51,50,126,150,268,144,181,saab
71,49,127,158,277,145,181,saab
72,50,123,158,263,125,200,saab
106,31,167,223,675,232,192,saab
104,32,159,223,639,186,191,saab
106,32,166,217,640,218,189,saab
83,40,150,189,402,190,187,saab
83,37,154,205,467,222,189,saab
100,33,149,214,586,186,192,saab
72,46,132,170,314,149,184,saab
66,49,136,155,274,162,183,saab
98,31,169,221,704,216,188,saab
88,38,132,197,457,156,191,saab
63,46,130,168,314,158,180,saab
83,38,134,197,445,152,188,saab
75,44,134,173,339,160,182,saab
103,31,156,223,663,188,190,saab
104,31,167,226,712,214,189,saab
101,30,177,226,719,213,187,saab
109,34,154,207,586,165,194,saab
59,51,128,151,264,143,179,saab
101,31,168,216,667,221,187,saab
100,31,165,229,697,214,188,saab
106,32,158,224,645,184,190,saab
66,48,137,164,295,164,182,saab
103,30,172,229,707,212,188,saab
77,41,151,190,390,174,194,saab
108,31,163,232,694,203,190,saab
90,36,156,211,506,230,189,saab
54,50,127,151,266,146,184,saab
77,42,126,177,361,123,195,saab
108,31,168,229,684,214,188,saab
105,32,165,221,623,224,191,saab
104,32,164,223,659,210,190,saab
105,33,152,214,600,178,192,saab
76,40,134,191,405,139,192,saab
57,50,125,151,265,144,180,saab
108,32,163,216,627,202,194,saab
77,42,148,181,373,181,193,saab
78,39,136,197,430,141,192,saab
100,34,149,209,561,160,194,saab
90,36,158,211,492,220,191,saab
104,31,162,220,691,212,189,saab
63,47,130,162,299,146,181,saab
54,53,125,143,238,139,179,saab
108,31,168,226,712,201,189,saab
77,44,143,175,344,177,183,saab
103,31,167,229,677,212,188,saab
100,34,159,214,576,201,194,saab
95,34,160,220,559,237,188,saab
74,44,136,174,337,140,187,saab
103,31,162,226,673,217,188,saab
66,46,136,164,318,178,181,saab
101,31,172,218,669,222,187,saab
63,52,134,149,246,158,198,saab
85,39,139,184,430,133,200,saab
77,46,146,163,308,174,194,saab
108,32,167,217,636,216,196,saab
85,38,153,192,458,187,197,saab
40,61,119,130,184,127,181,saab
69,43,143,175,349,187,193,saab
94,35,158,214,525,214,193,saab
109,31,169,226,675,212,189,saab
108,31,168,226,687,228,189,saab
110,31,163,228,668,220,194,saab
93,31,165,221,688,196,188,saab
108,30,163,232,711,202,189,saab
85,41,125,187,385,139,195,saab
71,43,134,178,365,125,196,saab
98,38,135,194,465,165,195,saab
80,41,131,186,389,137,192,saab
87,40,134,200,422,149,188,saab
112,32,162,223,667,194,190,saab
109,31,169,226,712,212,188,saab
108,31,168,228,704,198,190,saab
96,35,156,207,527,195,195,saab
53,59,123,135,196,128,183,saab
79,40,148,184,404,179,199,saab
78,38,139,197,455,160,191,saab
54,54,126,146,229,128,180,saab
98,31,171,235,691,218,187,saab
98,31,167,229,696,216,187,saab
60,52,129,154,243,132,186,saab
100,31,173,225,686,220,185,saab
85,41,131,189,396,158,186,saab
81,41,147,180,383,188,192,saab
55,48,128,153,295,145,180,saab
105,32,162,220,641,221,187,saab
89,38,132,200,458,154,189,saab
102,31,171,222,669,221,188,saab
104,32,162,220,621,195,188,saab
106,33,149,217,612,210,191,saab
92,36,143,200,489,153,195,saab
86,39,134,191,433,138,191,saab
66,49,133,162,279,151,186,saab
54,52,127,146,245,140,180,saab
88,38,151,197,452,205,195,saab
52,55,125,139,220,128,181,saab
105,32,157,217,637,168,193,saab
104,35,148,210,543,169,190,saab
83,41,133,189,383,155,186,saab
109,31,159,229,665,215,190,saab
103,30,168,224,711,214,188,saab
74,42,134,183,378,134,190,saab
78,50,124,155,270,148,190,saab
101,36,138,208,511,168,194,saab
77,45,129,174,327,153,188,saab
62,45,133,165,330,173,180,saab
100,31,173,224,680,221,185,saab
69,47,141,162,297,169,202,saab
72,42,144,174,360,158,203,saab
88,38,155,186,440,169,201,saab
109,32,156,225,635,213,191,saab
74,42,128,177,367,123,197,saab
110,31,159,232,676,203,191,saab
102,33,164,224,587,240,187,saab
104,32,163,220,642,197,187,saab
85,39,153,188,427,190,195,saab
104,32,167,223,629,220,187,saab
108,31,168,226,694,209,188,saab
75,47,131,165,305,149,186,saab
103,30,174,232,718,214,187,saab
64,45,138,165,333,173,182,saab
89,35,144,210,521,166,191,saab
88,39,131,188,435,144,195,saab
81,39,152,196,425,185,191,saab
77,47,142,165,293,158,198,saab
75,46,131,171,318,145,183,saab
98,31,169,224,681,218,188,saab
80,46,139,166,308,170,185,saab
105,35,162,207,545,194,196,saab
109,31,171,229,687,214,189,saab
100,30,166,229,710,214,189,saab
104,31,162,226,674,190,191,saab
104,34,147,222,578,198,189,saab
107,31,173,232,703,229,188,saab
95,35,144,216,526,175,190,saab
57,56,127,137,216,132,190,saab
101,30,173,228,721,200,187,saab
105,36,150,202,520,158,198,saab
108,31,168,229,709,200,190,saab
89,37,133,202,471,155,189,saab
71,43,133,181,355,130,189,saab
96,33,150,219,586,191,190,saab
100,30,170,232,718,202,187,saab
90,37,155,195,472,197,193,saab
75,48,125,166,290,138,189,saab
80,42,132,172,373,115,201,saab
81,40,138,184,415,131,197,saab
108,31,170,223,700,224,190,saab
98,34,161,219,572,219,192,saab
109,31,174,229,709,214,189,saab
96,35,157,207,533,231,191,saab
96,31,170,221,694,217,187,saab
106,32,168,220,660,223,187,saab
78,43,128,169,349,124,203,saab
107,32,153,227,635,200,190,saab
63,54,130,141,230,145,184,saab
103,32,155,227,635,215,189,saab
103,30,172,221,709,216,187,saab
100,33,158,218,583,234,191,saab
101,35,162,208,527,203,193,saab
96,36,144,202,512,165,191,saab
106,32,164,228,638,238,189,saab
110,31,165,231,692,222,192,saab
90,37,144,189,480,138,199,saab
88,38,140,192,459,147,196,saab
80,43,129,180,353,144,190,saab
103,30,175,229,720,213,187,saab
76,42,149,180,370,169,198,saab
83,45,132,177,327,149,185,saab
83,41,148,185,382,184,186,saab
101,33,152,216,584,174,189,saab
81,40,154,189,415,175,198,saab
68,45,143,170,325,180,185,bus
66,44,140,169,325,159,201,bus
75,42,133,175,365,145,192,bus
104,26,168,275,956,230,180,bus
76,44,135,169,332,144,192,bus
71,46,141,167,312,172,188,bus
82,34,141,215,534,162,195,bus
83,33,146,225,576,167,193,bus
106,26,171,278,998,257,181,bus
68,46,142,164,310,177,198,bus
91,32,148,234,629,186,192,bus
75,36,138,204,479,151,197,bus
72,44,144,181,350,177,183,bus
65,46,143,169,322,171,180,bus
70,46,141,168,309,147,188,bus
63,46,145,166,320,172,179,bus
66,46,145,168,320,174,179,bus
100,27,162,280,923,262,182,bus
98,29,165,246,766,231,188,bus
70,44,143,180,342,168,186,bus
59,46,144,166,320,172,179,bus
72,45,135,175,321,145,192,bus
76,45,140,171,327,152,188,bus
74,39,149,185,408,191,196,bus
68,44,142,179,337,164,188,bus
79,35,153,202,524,171,195,bus
70,46,143,166,306,170,188,bus
76,44,136,174,342,148,193,bus
77,37,139,197,457,141,199,bus
70,45,145,170,322,185,181,bus
109,26,175,288,982,261,182,bus
91,32,161,231,636,214,192,bus
98,27,168,258,866,245,186,bus
71,44,146,175,343,189,186,bus
88,33,148,214,596,201,192,bus
84,35,145,208,525,154,196,bus
84,38,138,189,446,161,196,bus
68,41,145,179,372,166,202,bus
69,44,145,178,341,179,181,bus
68,45,144,175,330,171,182,bus
84,34,154,208,558,209,195,bus
77,38,150,188,429,182,199,bus
89,35,145,204,533,182,195,bus
68,46,143,169,320,184,181,bus
71,45,144,167,322,176,189,bus
73,44,143,178,341,160,185,bus
106,26,172,275,954,232,181,bus
84,35,161,199,520,198,196,bus
71,45,146,172,321,189,187,bus
84,36,152,190,476,201,198,bus
95,32,150,216,605,200,192,bus
70,46,143,163,311,173,196,bus
72,41,144,181,373,191,193,bus
75,43,145,175,354,184,185,bus
74,43,149,175,349,199,183,bus
71,45,143,171,330,173,181,bus
80,33,159,214,579,188,194,bus
102,26,169,287,968,261,182,bus
102,27,165,265,870,247,184,bus
78,41,134,185,379,148,193,bus
98,30,156,232,719,213,189,bus
66,46,145,170,321,186,179,bus
62,43,139,169,341,165,202,bus
103,27,166,266,892,242,181,bus
105,27,165,269,891,243,181,bus
68,45,147,170,333,178,179,bus
80,35,156,206,517,198,198,bus
89,32,159,219,622,205,193,bus
66,44,142,177,340,173,181,bus
66,46,143,169,321,160,180,bus
106,26,169,280,957,264,181,bus
98,28,164,263,838,222,185,bus
66,46,144,168,312,177,184,bus
75,43,146,176,356,190,188,bus
65,45,145,170,332,186,179,bus
66,45,144,237,326,185,181,bus
75,37,129,199,450,137,197,bus
76,43,131,179,350,143,195,bus
73,41,126,184,374,124,199,bus
106,26,170,285,966,261,182,bus
70,45,144,170,324,186,180,bus
76,42,136,181,373,153,191,bus
74,39,131,193,414,137,200,bus
70,45,146,173,332,176,181,bus
68,44,146,172,336,183,185,bus
70,45,141,167,326,178,194,bus
70,45,145,177,328,172,181,bus
66,45,143,173,333,168,180,bus
66,45,139,173,330,155,184,bus
71,44,149,172,342,191,180,bus
109,27,169,272,928,268,183,bus
70,40,153,179,406,172,200,bus
107,26,171,285,987,260,180,bus
73,44,145,181,337,173,183,bus
71,45,147,171,337,176,181,bus
86,33,161,212,570,221,194,bus
65,45,140,171,327,172,180,bus
68,45,146,170,333,190,180,bus
75,43,131,168,345,139,195,bus
70,46,145,169,319,168,181,bus
74,45,134,173,318,139,195,bus
64,43,142,169,344,177,199,bus
72,44,147,174,340,177,180,bus
88,32,158,222,625,219,191,bus
65,45,141,175,335,172,179,bus
73,42,127,171,362,132,197,bus
68,46,142,168,317,180,183,bus
76,36,157,194,487,186,197,bus
105,26,174,285,1018,255,181,bus
71,45,146,170,330,176,180,bus
70,44,134,167,332,143,193,bus
65,46,148,169,325,176,179,bus
70,45,138,172,328,152,187,bus
89,31,153,238,682,198,190,bus
70,46,136,164,307,141,192,bus
70,47,143,164,299,173,193,bus
94,31,161,227,666,218,193,bus
73,45,146,167,327,183,185,bus
71,44,138,175,336,157,192,bus
60,46,141,169,324,171,178,bus
68,45,145,170,329,173,180,bus
61,46,144,169,326,172,179,bus
66,45,145,173,325,163,180,bus
68,45,151,167,333,179,179,bus
70,39,148,183,427,171,200,bus
74,43,148,180,349,192,189,bus
81,34,158,206,531,198,197,bus
65,46,144,170,321,171,179,bus
86,35,145,203,523,183,194,bus
73,43,131,175,347,135,196,bus
63,45,147,166,329,185,179,bus
77,36,139,202,485,151,198,bus
72,38,131,189,427,138,200,bus
70,45,146,171,334,187,181,bus
95,29,158,262,776,217,187,bus
79,37,158,189,463,194,197,bus
83,36,139,189,484,163,196,bus
68,46,147,169,327,176,179,bus
66,45,146,172,326,173,180,bus
70,44,145,177,341,171,184,bus
75,42,131,184,363,127,198,bus
85,33,146,217,570,163,195,bus
66,45,144,174,333,159,182,bus
93,30,165,240,703,208,188,bus
96,28,170,267,857,242,184,bus
73,44,138,175,341,152,190,bus
79,40,130,178,393,133,198,bus
68,46,145,172,323,171,180,bus
70,46,145,166,317,171,179,bus
92,31,159,232,671,214,191,bus
75,42,147,178,362,192,192,bus
74,43,127,178,341,127,201,bus
66,46,147,169,324,175,179,bus
74,39,128,188,419,136,196,bus
64,46,144,168,324,173,180,bus
72,44,146,180,347,178,182,bus
79,37,154,196,465,206,197,bus
70,39,136,189,413,129,200,bus
77,36,134,205,485,148,196,bus
71,44,147,174,338,198,181,bus
73,38,152,184,430,185,200,bus
70,43,129,167,346,119,201,bus
72,44,144,175,344,174,182,bus
74,41,143,179,375,183,195,bus
71,45,142,172,331,158,184,bus
66,46,141,172,317,174,180,bus
68,45,145,171,329,176,179,bus
69,46,144,174,325,177,180,bus
76,42,138,184,362,157,189,bus
70,42,144,171,361,178,199,bus
77,39,150,184,422,180,200,bus
70,45,145,169,326,186,181,bus
69,44,147,171,340,195,183,bus
71,45,141,169,322,171,195,bus
73,42,143,176,361,172,200,bus
68,45,147,186,335,186,180,bus
65,45,150,168,331,177,178,bus
103,27,172,269,904,239,179,bus
102,28,171,243,822,229,187,bus
68,46,146,169,323,172,179,bus
64,46,146,167,323,172,179,bus
70,45,143,176,323,153,186,bus
93,30,159,254,735,206,186,bus
72,41,133,184,385,127,200,bus
75,40,128,180,393,135,195,bus
75,43,136,175,352,154,188,bus
66,45,145,170,323,185,180,bus
73,44,137,174,341,151,196,bus
63,45,142,173,336,173,180,bus
76,44,144,170,340,179,195,bus
66,46,145,166,319,171,179,bus
76,44,143,179,339,157,187,bus
102,28,167,264,855,228,186,bus
106,28,164,256,833,253,185,bus
103,26,169,280,928,239,184,bus
68,45,144,169,322,184,181,bus
70,45,142,177,327,156,185,bus
98,31,171,219,706,223,186,opel
98,31,164,228,682,199,187,opel
42,59,119,131,191,121,179,opel
101,33,158,215,595,164,192,opel
64,51,126,152,259,135,179,opel
77,45,134,176,331,133,184,opel
69,51,134,147,252,144,193,opel
104,32,172,223,665,217,186,opel
69,48,138,165,290,151,199,opel
103,31,162,217,676,189,189,opel
50,59,122,132,192,138,182,opel
73,44,133,173,342,153,181,opel
83,37,132,199,472,157,187,opel
98,31,166,228,693,191,188,opel
80,40,143,189,396,180,194,opel
98,34,161,214,567,185,198,opel
105,30,177,237,737,218,188,opel
101,35,151,208,546,169,191,opel
105,31,177,221,678,223,186,opel
91,31,170,223,697,196,187,opel
92,37,140,197,481,136,197,opel
79,41,149,183,396,178,191,opel
78,48,138,161,284,158,192,opel
103,30,172,227,727,201,190,opel
100,31,175,217,666,219,187,opel
60,49,131,151,281,142,179,opel
96,32,153,226,633,197,188,opel
79,38,138,200,462,150,189,opel
71,48,143,159,296,174,188,opel
75,44,146,170,335,180,193,opel
103,32,166,227,624,246,186,opel
78,41,131,182,389,117,203,opel
83,38,142,199,455,138,197,opel
57,54,125,142,229,132,178,opel
86,41,131,194,388,147,185,opel
74,41,133,178,394,130,198,opel
96,30,175,231,713,216,187,opel
75,48,135,158,290,162,183,opel
104,33,163,217,589,226,192,opel
109,30,165,241,731,207,188,opel
107,32,159,214,644,183,191,opel
77,44,145,181,350,172,184,opel
53,55,128,135,227,147,176,opel
101,30,180,225,722,213,186,opel
105,30,171,228,709,210,190,opel
77,41,129,184,395,140,192,opel
77,44,141,174,345,161,187,opel
73,42,146,182,379,188,195,opel
100,34,150,207,557,161,194,opel
92,37,154,200,478,171,198,opel
96,35,156,202,519,176,197,opel
100,31,173,219,684,219,186,opel
100,30,178,231,757,204,186,opel
96,35,161,206,530,205,193,opel
103,30,176,231,716,246,187,opel
82,40,149,181,409,164,200,opel
81,39,150,193,426,182,192,opel
104,32,166,219,657,215,187,opel
84,43,133,185,358,157,183,opel
92,35,148,202,526,159,195,opel
66,50,136,154,266,165,180,opel
98,35,141,214,535,178,187,opel
66,54,132,144,232,139,185,opel
101,30,178,228,737,213,187,opel
69,53,124,147,240,133,183,opel
78,42,126,182,367,142,192,opel
76,40,134,196,415,145,189,opel
69,50,126,154,266,128,193,opel
107,32,158,222,624,168,195,opel
84,39,130,196,430,155,190,opel
72,51,132,145,261,123,188,opel
98,34,161,216,562,244,190,opel
103,33,147,220,598,200,187,opel
66,45,131,169,322,123,197,opel
103,32,156,212,630,186,192,opel
109,30,182,234,752,207,187,opel
91,31,170,220,707,198,186,opel
69,49,131,155,274,162,187,opel
60,50,130,148,261,141,185,opel
86,37,156,203,473,201,192,opel
108,30,186,225,732,218,186,opel
75,46,137,170,317,156,184,opel
98,31,175,226,683,221,185,opel
107,31,161,224,670,172,192,opel
101,34,146,219,574,199,186,opel
103,31,160,222,661,187,190,opel
96,30,170,231,706,217,187,opel
51,57,124,135,209,135,177,opel
90,37,131,209,469,145,190,opel
101,31,152,227,650,193,189,opel
78,48,123,161,287,129,194,opel
107,30,180,234,756,205,186,opel
66,52,127,148,252,139,183,opel
104,31,175,221,682,222,186,opel
94,36,155,200,494,189,199,opel
105,33,148,223,602,201,191,opel
72,54,125,144,233,123,184,opel
82,45,144,170,332,168,188,opel
103,30,177,223,718,218,186,opel
89,38,135,191,444,121,201,opel
94,34,147,224,573,194,188,opel
105,33,163,214,597,214,190,opel
105,34,152,212,575,159,194,opel
60,55,124,141,221,121,178,opel
83,39,152,195,438,196,195,opel
76,41,131,189,391,136,188,opel
78,45,128,168,321,134,197,opel
75,46,139,170,312,166,191,opel
100,31,175,219,681,224,185,opel
66,44,133,170,340,163,180,opel
101,33,164,219,610,192,197,opel
105,33,155,212,602,162,193,opel
107,30,174,225,729,200,187,opel
63,55,130,137,219,144,195,opel
100,32,169,227,651,223,186,opel
53,51,128,147,259,148,177,opel
100,33,166,222,600,241,189,opel
103,31,165,229,673,249,188,opel
110,30,166,235,711,218,188,opel
66,51,120,151,251,114,201,opel
105,32,162,222,653,224,186,opel
101,30,177,225,731,211,188,opel
101,31,168,236,661,245,188,opel
103,34,162,210,571,210,191,opel
105,31,163,226,669,204,186,opel
96,37,141,199,474,149,193,opel
93,35,161,214,536,240,188,opel
103,31,172,219,677,219,185,opel
78,46,127,166,314,142,187,opel
66,46,128,162,304,120,197,opel
109,30,162,238,704,206,189,opel
69,44,143,170,333,168,198,opel
103,32,163,222,653,212,191,opel
101,33,157,214,616,186,193,opel
80,40,145,188,406,178,199,opel
109,30,174,230,706,226,191,opel
88,35,159,209,517,193,194,opel
77,43,127,179,352,145,186,opel
107,30,174,221,728,199,189,opel
96,30,173,225,717,214,186,opel
80,47,135,172,311,144,181,opel
98,31,170,222,679,214,189,opel
108,30,178,231,737,217,187,opel
86,45,134,174,338,139,183,opel
88,36,141,208,504,168,189,opel
74,49,127,160,282,127,183,opel
63,52,130,145,247,139,183,opel
96,36,158,197,494,180,202,opel
101,30,178,231,748,216,187,opel
100,34,161,210,553,195,196,opel
77,42,125,174,367,126,198,opel
101,33,161,207,587,204,195,opel
98,30,167,228,710,214,188,opel
91,37,137,196,466,151,192,opel
72,48,126,163,286,130,187,opel
107,32,154,232,641,204,190,opel
85,40,129,186,402,130,198,opel
83,40,147,197,417,201,187,opel
108,31,156,232,683,218,188,opel
93,35,147,202,521,151,193,opel
108,31,172,220,685,187,190,opel
105,32,169,221,623,216,189,opel
80,44,126,179,348,136,191,opel
81,41,149,187,388,197,187,opel
93,36,137,202,504,153,193,opel
89,39,132,190,428,148,193,opel
88,40,133,199,416,151,186,opel
96,35,143,217,534,166,190,opel
104,32,151,227,628,202,186,opel
105,30,179,234,725,212,189,opel
69,48,122,158,284,120,204,opel
100,32,147,231,611,189,189,opel
77,44,145,175,343,177,202,opel
103,33,156,215,601,174,189,opel
101,30,171,224,728,203,189,opel
79,40,148,190,418,193,191,opel
96,36,142,202,513,139,195,opel
75,46,132,167,315,136,181,opel
107,30,178,228,730,204,187,opel
74,41,135,181,388,132,197,opel
100,30,188,223,726,213,185,opel
71,45,134,167,330,165,180,opel
53,51,128,152,259,146,177,opel
98,31,174,228,692,223,187,opel
82,42,144,181,366,174,190,opel
104,32,164,217,631,193,188,opel
107,33,161,218,602,200,194,opel
75,45,142,174,322,160,206,opel
108,31,162,219,663,184,191,opel
101,30,177,225,741,204,186,opel
