@relation vehicle

@attribute Compactness numeric
@attribute Radius_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
96,201,9,22,218,73,197,saab
104,201,10,24,224,74,194,saab
106,176,10,24,235,74,197,saab
104,191,9,23,218,70,198,saab
90,171,9,20,172,60,209,saab
95,202,10,22,220,71,196,saab
107,203,11,25,229,72,199,saab
88,151,8,18,165,64,205,saab
100,187,9,20,189,63,207,saab
104,190,10,24,218,74,198,saab
79,120,5,19,153,81,183,saab
115,201,12,23,207,62,208,saab
86,165,7,19,174,66,203,saab
102,214,10,23,214,64,204,saab
103,209,10,23,217,70,199,saab
91,162,8,19,163,63,200,saab
89,151,6,19,166,74,189,saab
90,158,7,18,165,61,207,saab
97,225,12,25,226,70,200,saab
92,162,7,20,184,69,195,saab
99,195,8,22,210,68,199,saab
109,225,11,24,226,68,202,saab
86,148,5,19,165,80,185,saab
93,209,8,22,211,70,196,saab
93,146,7,18,149,63,204,saab
115,203,10,24,229,72,197,saab
91,162,8,19,166,63,205,saab
100,184,9,23,222,73,197,saab
90,181,8,21,200,70,195,saab
91,133,7,19,170,77,189,saab
109,199,12,24,220,67,199,saab
101,201,11,24,223,65,206,saab
85,139,5,18,159,68,195,saab
89,189,8,20,188,64,201,saab
93,183,8,20,200,72,195,saab
93,183,8,20,191,67,197,saab
86,133,6,18,155,74,189,saab
117,228,12,24,228,66,205,saab
108,202,10,25,224,73,199,saab
107,211,11,25,228,69,203,saab
105,215,10,24,217,69,199,saab
104,199,11,24,216,72,198,saab
84,150,5,19,175,77,187,saab
105,197,11,22,207,64,205,saab
106,202,10,24,227,70,203,saab
85,115,3,17,130,86,183,saab
98,192,9,21,195,65,201,saab
104,206,11,24,226,67,201,saab
110,201,11,24,222,73,198,saab
87,152,6,19,174,70,196,saab
94,186,9,20,184,61,210,saab
98,203,10,22,207,68,199,saab
110,197,9,22,209,65,203,saab
86,175,9,21,191,68,199,saab
101,197,9,22,208,67,202,saab
106,213,11,23,214,65,204,saab
101,194,10,22,219,67,201,saab
104,222,11,24,232,71,199,saab
84,141,7,19,177,74,191,saab
107,201,12,24,221,71,198,saab
109,220,11,24,229,70,201,saab
90,184,6,20,187,66,203,saab
104,186,10,24,225,74,195,saab
98,203,9,23,216,68,197,saab
85,104,4,17,136,83,185,saab
96,153,7,18,162,61,209,saab
100,197,10,21,200,64,205,saab
93,144,6,18,158,63,206,saab
103,172,10,24,220,73,197,saab
102,221,11,24,228,71,200,saab
104,197,11,24,218,74,196,saab
98,191,8,20,197,67,199,saab
82,114,4,18,150,86,182,saab
85,137,7,19,173,76,187,saab
89,161,7,19,174,71,193,saab
108,204,11,24,229,71,199,saab
90,171,8,19,177,61,204,saab
86,138,4,18,162,74,190,saab
109,206,9,23,219,70,198,saab
95,171,9,20,178,63,208,saab
93,180,9,20,186,63,204,saab
92,165,8,19,169,60,211,saab
100,189,10,24,220,70,198,saab
83,131,4,18,152,85,183,saab
109,205,11,25,229,71,200,saab
85,132,7,19,171,75,188,saab
87,140,6,19,164,79,185,saab
89,162,6,18,164,66,204,saab
88,132,6,18,151,83,184,saab
105,201,11,25,232,72,200,saab
89,121,4,17,139,82,184,saab
93,149,7,19,172,69,194,saab
84,136,6,18,166,71,195,saab
90,160,7,20,189,71,192,saab
91,176,9,20,184,62,208,saab
94,161,7,19,175,67,198,saab
119,220,12,24,223,66,202,saab
85,123,7,19,172,83,183,bus
102,201,6,25,246,79,187,bus
93,201,7,22,203,72,197,bus
91,171,7,19,169,68,200,bus
96,204,6,20,188,69,203,bus
87,165,7,19,171,72,195,bus
100,204,6,24,232,77,189,bus
97,173,7,19,167,65,208,bus
98,207,5,22,212,75,195,bus
83,166,5,18,166,69,193,bus
98,199,7,20,184,69,203,bus
103,170,7,26,254,82,184,bus
102,238,4,26,267,85,184,bus
81,139,7,19,172,83,184,bus
110,223,5,27,280,85,183,bus
86,165,6,19,176,74,194,bus
83,155,7,19,168,71,195,bus
96,199,5,20,188,72,200,bus
80,135,8,19,170,80,185,bus
89,113,7,19,171,88,182,bus
82,158,7,19,181,80,188,bus
99,199,6,22,202,74,195,bus
98,182,5,19,184,71,205,bus
86,126,8,19,170,86,182,bus
106,235,6,28,285,86,184,bus
89,183,7,19,181,74,195,bus
90,126,7,19,173,81,184,bus
99,197,6,21,202,72,199,bus
87,116,6,19,169,85,182,bus
80,120,8,19,171,85,183,bus
82,154,7,19,171,78,186,bus
98,192,5,20,189,70,202,bus
106,227,4,27,280,88,182,bus
90,185,6,20,178,66,205,bus
82,150,7,19,181,80,187,bus
87,139,7,19,177,78,188,bus
102,194,6,25,247,80,186,bus
90,164,7,19,168,66,204,bus
96,177,5,21,205,74,198,bus
91,185,7,19,178,72,199,bus
107,172,6,28,280,85,183,bus
88,151,8,18,163,68,203,bus
78,147,8,19,169,77,186,bus
81,120,6,19,170,86,183,bus
88,165,7,19,167,71,193,bus
105,207,6,22,214,75,194,bus
87,169,7,19,177,76,187,bus
86,126,6,19,166,86,182,bus
83,139,6,19,172,74,191,bus
86,155,7,19,167,72,196,bus
104,208,5,24,227,76,191,bus
109,169,6,26,265,84,183,bus
109,189,4,25,262,82,186,bus
107,184,7,26,243,77,187,bus
86,119,8,19,169,85,182,bus
87,159,5,19,184,76,193,bus
91,169,7,19,169,67,207,bus
84,156,7,19,179,75,193,bus
99,184,6,20,193,71,202,bus
106,161,4,27,266,85,183,bus
86,122,7,19,170,84,183,bus
81,146,6,19,171,75,188,bus
93,174,7,19,175,68,205,bus
100,209,7,23,216,73,194,bus
88,173,7,19,174,69,200,bus
81,137,7,19,167,81,183,bus
79,141,7,19,175,77,189,bus
94,173,7,19,169,68,206,bus
83,137,6,19,167,75,191,bus
94,170,6,18,164,65,203,bus
97,187,5,20,178,70,203,bus
92,191,6,20,180,69,202,bus
87,124,6,19,170,87,182,bus
96,190,7,19,179,67,206,bus
82,139,6,19,169,80,184,bus
95,198,6,21,189,68,198,bus
105,160,7,24,240,81,188,bus
94,213,5,22,204,71,198,bus
81,141,7,19,177,80,187,bus
88,171,6,19,180,71,195,bus
87,165,6,19,173,70,200,bus
96,194,6,20,183,69,203,bus
92,187,7,19,179,70,201,bus
87,159,6,19,175,73,190,bus
86,125,7,19,171,85,182,bus
95,159,6,19,169,67,200,bus
82,118,7,19,174,82,185,bus
92,180,6,19,179,72,200,bus
99,226,5,23,234,79,191,bus
97,173,6,19,176,66,204,bus
85,120,7,19,169,85,182,bus
81,125,8,19,169,83,184,bus
94,193,6,19,184,70,204,bus
114,181,6,28,287,85,184,bus
87,158,7,19,175,73,194,bus
82,136,7,19,173,81,185,bus
84,180,7,19,180,77,190,bus
94,203,5,21,196,71,199,bus
101,194,6,23,231,78,192,bus
82,154,7,19,178,76,189,bus
93,205,7,21,190,70,201,bus
94,216,6,22,208,73,197,bus
101,188,7,26,256,81,185,bus
85,120,5,19,168,87,181,bus
86,152,6,19,170,71,196,bus
94,184,8,19,175,70,200,bus
85,121,7,19,167,85,182,bus
95,195,7,20,184,69,206,bus
80,133,7,19,170,81,184,bus
88,166,7,19,167,69,201,bus
84,128,8,19,169,82,183,bus
85,130,7,19,177,82,185,bus
84,153,6,19,175,75,192,bus
99,203,5,24,232,78,189,bus
108,177,5,28,285,87,181,bus
98,207,7,21,199,72,199,bus
93,180,7,21,189,70,202,bus
101,175,6,19,169,65,209,bus
80,128,7,19,171,79,187,bus
100,199,6,23,219,74,193,bus
95,191,6,19,184,71,204,bus
109,191,6,26,267,85,184,bus
113,194,6,28,288,85,183,bus
87,179,6,19,167,69,201,bus
85,155,22,19,173,75,191,bus
100,185,7,20,179,68,205,bus
100,197,6,22,206,74,198,bus
107,199,7,26,258,80,184,bus
89,158,6,18,164,66,199,bus
89,148,7,19,176,76,189,bus
94,186,7,19,171,67,206,bus
98,171,6,21,197,72,201,bus
107,179,8,28,275,83,184,bus
89,188,7,19,174,72,197,bus
81,139,6,19,180,81,186,bus
85,123,6,19,166,85,182,bus
97,188,6,20,199,74,199,bus
86,116,6,19,175,85,183,bus
85,122,6,19,172,88,182,bus
89,155,7,19,175,72,196,bus
81,125,8,19,166,86,182,bus
101,185,6,28,275,83,184,bus
85,130,8,19,171,79,186,bus
99,188,5,23,222,77,190,bus
81,130,7,19,172,81,186,bus
85,128,8,19,170,81,184,bus
110,199,5,27,272,82,183,bus
89,162,5,19,175,72,195,bus
86,170,6,19,172,71,191,bus
85,132,7,19,166,83,182,bus
91,193,5,20,184,68,204,bus
83,156,7,19,174,78,188,bus
110,180,6,28,278,83,182,bus
85,125,6,19,170,84,183,bus
82,123,7,19,166,81,182,bus
86,140,6,19,170,82,183,bus
80,120,8,19,170,80,185,bus
85,205,52,19,241,127,183,bus
106,164,5,27,269,84,182,bus
91,171,7,19,170,69,201,bus
80,123,7,19,169,81,184,bus
86,123,6,19,174,87,182,bus
94,179,6,19,181,69,198,bus
98,191,6,22,215,73,197,bus
83,144,8,19,170,74,191,bus
107,167,7,28,269,83,186,bus
81,169,6,19,173,75,189,bus
86,125,6,19,170,82,184,bus
87,148,7,18,164,69,199,bus
84,123,8,19,173,81,184,bus
97,203,7,21,194,72,200,bus
86,152,7,19,179,75,192,bus
79,141,8,19,175,78,188,bus
86,129,6,19,168,83,183,bus
102,198,5,22,225,79,191,bus
86,113,8,19,169,85,183,bus
83,156,6,19,174,80,186,bus
86,122,6,19,170,87,182,bus
100,199,6,20,189,72,204,bus
96,202,5,20,185,70,200,bus
86,149,8,19,170,77,188,bus
83,152,7,19,172,74,190,bus
82,150,5,19,169,80,184,bus
89,160,7,19,166,69,198,bus
104,168,4,24,238,78,189,bus
111,183,6,29,285,85,183,bus
96,183,6,19,178,69,205,bus
85,130,6,19,173,86,183,bus
82,252,52,19,237,119,185,bus
84,154,6,19,168,73,188,bus
100,205,5,21,204,72,197,bus
96,187,6,24,228,77,189,bus
85,120,7,19,169,81,184,bus
88,177,19,19,180,76,189,bus
91,209,6,20,189,69,201,bus
98,219,7,22,208,74,195,bus
89,153,7,19,166,69,194,opel
97,169,8,20,189,72,192,opel
78,116,6,17,141,78,185,opel
92,153,8,18,165,64,206,opel
100,224,9,24,238,72,199,opel
101,183,13,25,225,71,198,opel
107,221,11,24,222,66,201,opel
103,232,10,23,226,71,196,opel
97,183,8,20,193,70,198,opel
77,135,5,18,145,79,187,opel
99,219,10,25,228,74,196,opel
94,158,9,20,196,69,195,opel
106,203,11,25,228,71,197,opel
73,111,6,18,135,82,184,opel
93,140,7,18,151,62,207,opel
87,153,7,19,181,75,189,opel
98,168,11,25,231,73,198,opel
81,123,6,18,147,83,184,opel
97,181,8,20,182,62,211,opel
103,218,12,25,221,67,200,opel
106,194,11,24,224,67,206,opel
107,218,11,23,219,65,206,opel
102,193,10,24,219,66,201,opel
88,194,8,20,199,74,192,opel
92,204,9,22,214,72,195,opel
102,163,10,24,219,76,195,opel
101,162,10,24,226,74,194,opel
101,212,10,23,215,69,196,opel
103,194,11,24,217,73,194,opel
85,158,8,19,179,69,197,opel
99,177,13,25,223,72,198,opel
91,199,9,23,219,73,194,opel
89,172,8,19,174,63,205,opel
105,185,10,25,231,75,195,opel
105,181,9,25,231,74,194,opel
90,178,8,21,199,71,193,opel
92,172,8,19,174,62,211,opel
95,193,10,21,200,64,206,opel
96,177,8,21,195,67,201,opel
86,129,7,18,154,74,187,opel
103,179,11,25,220,72,198,opel
93,188,10,21,208,70,197,opel
100,225,10,25,241,73,199,opel
97,212,11,23,212,64,202,opel
108,230,11,24,228,69,197,opel
95,219,9,23,223,69,202,opel
109,197,10,22,210,64,202,opel
88,160,6,18,161,66,202,opel
88,121,5,17,132,74,187,opel
104,222,12,25,223,72,195,opel
89,195,6,21,207,71,194,opel
93,172,7,19,169,62,210,opel
85,127,7,18,144,70,194,opel
94,169,7,20,178,63,204,opel
92,191,8,21,196,67,200,opel
88,167,6,19,175,64,208,opel
104,231,11,25,223,73,195,opel
92,176,8,20,183,67,198,opel
88,145,8,19,159,68,197,opel
89,156,8,20,187,72,193,opel
104,206,10,23,207,64,204,opel
89,141,7,18,163,72,192,opel
93,165,7,20,197,73,192,opel
89,143,7,19,170,76,188,opel
76,125,5,18,152,87,184,opel
91,195,8,21,203,67,198,opel
96,161,10,24,226,76,193,opel
86,128,8,18,148,76,187,opel
98,219,11,25,231,74,195,opel
100,193,8,22,202,66,198,opel
79,127,9,19,165,77,189,opel
103,189,11,25,225,70,201,opel
95,196,9,22,208,68,198,opel
90,179,8,19,182,66,198,opel
90,145,7,18,161,67,197,opel
95,228,10,24,224,74,193,opel
103,194,9,21,199,65,206,opel
86,146,6,18,158,72,190,opel
85,121,4,19,170,87,183,opel
97,210,8,22,208,66,200,opel
85,130,9,18,145,65,198,opel
101,200,11,25,228,74,201,opel
102,213,10,23,214,65,203,opel
102,167,10,24,228,72,198,opel
105,207,11,24,221,66,203,opel
82,141,8,19,173,75,187,opel
104,216,11,23,221,71,196,opel
84,180,7,21,209,71,198,opel
104,230,12,24,230,67,202,opel
92,158,7,19,170,63,203,opel
88,183,7,21,200,66,199,opel
98,166,7,20,184,69,196,opel
101,184,12,24,220,68,201,opel
95,202,10,22,217,71,197,opel
87,211,10,22,214,71,194,opel
102,225,10,24,228,71,196,opel
104,172,10,25,235,74,198,opel
111,171,11,25,227,69,198,opel
91,197,9,21,202,66,200,opel
101,212,10,24,222,73,195,opel
100,163,10,23,217,69,196,opel
87,190,9,21,197,67,199,opel
99,177,10,24,219,73,194,opel
98,208,12,25,225,71,196,opel
91,159,7,19,169,64,203,opel
96,201,9,23,227,74,194,opel
99,220,11,25,234,70,200,opel
104,209,11,24,223,74,196,opel
98,228,9,24,236,72,197,opel
102,197,10,22,202,65,204,opel
82,125,5,18,152,87,183,opel
96,215,10,23,220,73,194,opel
103,179,12,24,214,66,200,opel
104,230,11,25,231,71,196,opel
90,169,7,20,194,74,191,opel
80,130,8,18,152,76,188,opel
80,116,6,18,142,81,184,opel
99,199,9,23,222,70,198,opel
97,198,9,21,200,64,203,opel
84,138,6,18,144,70,190,opel
93,154,6,18,162,64,202,opel
97,209,10,22,224,70,197,opel
100,230,11,25,234,72,198,opel
89,136,6,19,170,68,193,opel
83,127,5,18,155,69,190,opel
103,204,12,23,215,66,202,opel
100,209,8,23,231,72,195,opel
92,170,8,20,181,61,208,opel
107,197,10,22,202,64,203,opel
95,186,7,20,188,65,204,opel
106,224,11,24,222,68,201,opel
101,203,9,22,210,68,198,opel
95,214,9,23,227,74,193,opel
109,215,10,23,222,65,206,opel
104,223,10,25,237,75,196,opel
99,204,10,22,209,66,201,opel
88,146,7,18,147,64,200,opel
89,142,7,18,154,66,203,opel
104,188,9,22,206,67,200,opel
86,144,7,19,179,71,191,opel
84,138,8,18,160,72,191,opel
107,186,11,24,217,66,198,opel
93,166,7,19,182,68,197,opel
97,211,10,24,232,72,197,opel
91,196,9,22,216,69,199,opel
103,185,11,24,219,75,194,opel
106,196,12,25,225,72,196,opel
108,197,11,24,222,67,200,opel
100,207,11,25,234,72,198,opel
93,162,8,19,172,67,198,opel
78,116,4,17,135,84,184,opel
101,204,12,25,231,73,197,opel
105,195,9,22,207,65,202,opel
96,175,10,24,221,75,194,opel
80,122,6,18,151,80,186,opel
100,206,9,22,202,62,205,opel
103,211,11,24,229,72,196,opel
97,197,10,21,197,63,204,opel
85,149,7,19,168,64,203,opel
101,222,10,24,232,70,202,opel
84,128,5,18,148,75,188,opel
105,209,11,24,225,72,199,opel
104,216,11,25,228,73,196,opel
99,206,13,25,225,71,196,opel
88,152,5,18,158,62,210,opel
103,221,11,24,226,73,195,opel
107,202,11,25,234,72,196,opel
100,231,11,25,238,73,198,opel
95,197,9,21,199,67,200,opel
80,110,3,17,131,87,183,opel
86,155,7,19,174,72,192,opel
105,213,10,23,214,68,198,opel
96,222,9,23,217,67,201,opel
93,164,7,20,182,65,201,opel
92,178,9,20,181,63,206,opel
102,177,10,25,219,72,196,opel
82,140,7,19,174,71,189,opel
80,127,7,18,147,70,191,opel
103,183,10,24,217,72,196,opel
89,191,6,20,189,66,199,opel
84,131,7,19,167,80,186,opel
85,151,8,19,176,73,193,opel
101,182,10,24,221,74,195,opel
89,147,6,18,155,61,209,opel
103,212,9,22,214,64,204,opel
99,209,11,23,212,65,205,opel
97,170,10,24,219,75,193,opel
91,172,8,20,196,71,198,opel
85,130,7,17,137,64,201,opel
79,133,7,19,172,76,193,opel
86,176,9,20,190,67,202,opel
