@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
92,41,66,7,50,143,161,van
96,46,88,9,44,148,182,van
92,43,70,6,49,144,172,van
94,47,85,49,43,155,187,van
89,35,70,7,53,128,112,van
90,43,72,8,49,145,167,van
83,40,53,6,53,140,157,van
90,48,78,11,43,160,185,van
90,47,73,11,42,153,185,van
93,46,82,11,43,160,189,van
86,40,66,7,54,139,143,van
89,36,68,8,47,130,127,van
94,49,82,10,43,160,186,van
89,45,85,11,43,158,173,van
93,44,90,10,44,156,143,van
89,45,81,43,44,160,177,van
90,48,81,9,44,156,200,van
97,41,62,7,52,143,157,van
94,45,85,10,43,157,162,van
89,46,77,10,44,160,177,van
86,39,62,6,57,135,145,van
89,40,77,9,46,141,143,van
93,47,85,11,44,158,178,van
87,40,81,10,46,139,157,van
86,44,78,9,46,147,171,van
95,44,84,10,46,148,166,van
90,41,62,6,52,141,157,van
90,48,78,11,43,159,186,van
88,36,53,3,57,128,136,van
91,42,66,9,50,142,164,van
94,42,68,7,52,143,159,van
85,36,66,5,56,128,131,van
87,47,81,9,45,152,181,van
95,41,82,9,46,145,140,van
85,45,71,8,46,147,179,van
95,46,76,11,42,155,172,van
94,45,81,9,46,147,179,van
94,46,91,12,43,155,192,van
97,35,66,8,52,129,112,van
92,35,58,6,55,132,116,van
86,38,58,4,57,129,152,van
83,45,73,8,46,144,179,van
91,46,78,9,45,152,199,van
90,46,80,11,43,156,186,van
85,36,51,5,57,124,127,van
92,38,60,5,58,132,137,van
91,38,70,25,47,139,130,van
94,49,87,10,43,158,203,van
91,41,64,8,51,142,153,van
84,44,80,11,44,157,176,van
91,43,88,9,45,157,140,van
85,35,47,3,57,122,139,van
85,45,82,11,43,156,173,van
87,36,53,4,57,125,138,van
87,42,64,10,50,141,159,van
96,39,77,8,47,150,124,van
89,40,58,7,54,140,150,van
86,34,62,7,54,127,112,van
82,43,70,55,48,145,172,van
95,42,85,9,44,144,150,van
91,43,70,8,51,146,156,van
86,37,60,5,56,132,129,van
90,48,86,49,44,156,200,van
88,41,80,8,45,144,161,van
98,44,78,8,47,148,171,van
85,47,75,9,44,165,176,van
89,47,85,10,44,151,186,van
91,41,66,9,53,144,155,van
90,42,63,7,50,142,162,van
90,48,85,11,43,167,186,van
89,41,84,9,45,145,162,van
86,35,44,2,57,121,137,van
93,48,84,11,44,165,188,van
87,37,52,6,58,126,144,van
86,36,70,9,50,130,127,van
93,43,88,9,45,147,143,van
90,47,85,10,42,160,185,van
90,47,85,10,43,155,186,van
91,42,80,8,44,145,147,van
87,42,64,10,50,142,159,van
88,42,66,6,54,144,160,van
92,40,66,7,50,140,148,van
89,47,84,11,44,160,176,van
89,42,66,7,51,144,162,van
94,43,82,10,43,149,161,van
85,39,68,5,53,135,142,van
87,45,66,8,47,148,175,van
88,40,55,7,53,139,158,van
97,45,91,10,45,148,171,van
84,37,70,7,49,140,121,van
89,40,79,9,46,139,149,van
93,47,85,12,43,157,178,van
93,36,63,8,50,136,121,van
88,44,84,12,44,158,164,van
91,41,84,9,45,143,158,van
93,46,85,9,44,147,179,van
90,48,78,11,43,167,185,van
96,45,87,10,44,149,174,van
96,44,85,10,43,150,159,van
88,39,76,8,48,137,124,van
98,38,66,7,51,138,123,van
85,35,64,6,57,125,123,van
85,39,57,6,58,135,145,van
94,49,87,11,43,162,186,van
90,43,66,9,48,146,164,van
89,44,70,6,49,146,166,van
94,36,68,7,52,132,116,van
96,39,64,8,52,141,139,van
93,41,75,7,49,141,149,van
88,37,51,5,57,128,125,van
94,48,87,10,43,161,186,van
89,37,51,5,56,127,147,van
86,43,68,9,48,143,174,van
88,35,60,7,52,129,109,van
95,46,92,11,42,157,171,van
96,46,88,10,43,148,182,van
93,39,87,8,40,134,149,saab
104,55,107,11,31,173,229,saab
109,47,96,9,33,150,191,saab
90,34,66,7,47,124,117,saab
80,38,63,7,46,130,158,saab
91,36,72,8,44,133,121,saab
90,36,85,6,41,125,139,saab
99,53,105,11,32,165,224,saab
108,49,103,10,32,155,215,saab
102,48,105,10,33,152,178,saab
88,38,58,5,46,131,157,saab
89,42,80,6,46,139,170,saab
96,45,101,9,34,143,195,saab
105,51,108,11,30,163,202,saab
90,36,57,6,56,127,132,saab
84,44,77,5,44,143,177,saab
82,37,66,7,52,127,142,saab
82,36,54,7,54,126,128,saab
115,53,100,11,30,166,214,saab
97,41,88,9,38,140,147,saab
96,40,78,7,38,139,160,saab
97,42,101,9,36,138,168,saab
86,36,78,7,50,124,148,saab
97,44,95,9,35,144,175,saab
103,51,105,11,32,163,222,saab
83,36,54,6,53,125,139,saab
87,37,60,6,52,129,132,saab
108,49,109,11,31,159,215,saab
104,53,101,10,32,166,202,saab
88,37,63,5,54,130,145,saab
107,56,104,11,31,172,217,saab
109,54,103,11,31,167,212,saab
94,46,77,8,42,148,181,saab
116,53,110,12,31,165,222,saab
91,39,83,7,39,132,142,saab
109,53,109,12,31,169,212,saab
96,40,100,8,37,134,160,saab
106,52,108,12,31,168,200,saab
95,46,104,9,35,148,169,saab
102,54,106,11,32,164,238,saab
110,54,102,11,31,171,221,saab
104,51,105,10,32,162,221,saab
89,35,52,4,55,125,128,saab
96,50,94,9,35,158,214,saab
93,51,90,8,36,156,230,saab
106,48,107,10,32,153,200,saab
107,54,108,12,31,170,224,saab
112,50,110,11,31,159,203,saab
85,33,40,3,61,119,127,saab
90,50,90,10,36,158,220,saab
90,49,83,7,37,154,222,saab
104,51,108,11,31,163,203,saab
93,44,98,11,36,146,152,saab
91,39,83,8,38,134,152,saab
89,38,80,7,41,131,137,saab
98,42,90,9,37,144,138,saab
91,36,77,7,42,126,123,saab
106,54,101,12,30,173,200,saab
97,53,105,12,30,167,202,saab
105,51,105,11,35,162,194,saab
97,45,76,9,42,149,169,saab
117,52,110,12,31,163,220,saab
108,53,103,10,30,168,214,saab
99,43,89,8,35,144,166,saab
109,54,109,11,31,169,212,saab
89,37,54,5,50,127,146,saab
113,48,98,9,33,151,183,saab
89,48,85,8,39,153,190,saab
89,45,77,9,41,151,174,saab
91,36,83,8,47,128,137,saab
105,53,105,11,31,168,218,saab
103,49,100,10,35,160,178,saab
89,40,89,8,37,133,155,saab
90,34,66,6,54,118,118,saab
100,52,104,10,32,163,197,saab
106,49,106,9,32,158,184,saab
89,43,77,8,46,146,174,saab
91,40,83,8,41,133,155,saab
104,52,100,9,33,158,234,saab
84,35,53,4,59,123,128,saab
86,40,63,5,50,135,166,saab
91,39,88,9,38,132,156,saab
79,38,55,5,48,128,145,saab
89,36,69,6,48,131,126,saab
104,54,100,10,31,173,220,saab
103,46,106,10,33,149,210,saab
93,39,86,9,39,134,129,saab
95,47,81,7,39,152,185,saab
98,48,101,9,33,152,174,saab
92,46,83,6,41,148,184,saab
101,46,105,10,34,150,195,saab
83,37,54,4,50,127,141,saab
86,41,66,6,49,136,162,saab
85,40,72,5,50,135,150,saab
91,38,75,6,47,131,149,saab
85,34,53,6,58,121,127,saab
100,43,92,10,36,143,153,saab
106,52,101,11,33,158,204,saab
108,54,109,11,31,174,214,saab
108,51,100,10,34,159,201,saab
88,48,90,8,38,152,198,saab
102,51,104,10,32,162,195,saab
108,56,103,10,30,174,214,saab
105,54,100,10,30,170,202,saab
85,40,75,7,44,134,160,saab
108,53,104,11,31,167,214,saab
109,53,103,11,30,172,212,saab
95,37,71,9,43,134,125,saab
113,53,93,11,31,165,196,saab
104,53,108,11,31,168,209,saab
107,53,108,12,32,163,202,saab
95,53,95,10,34,160,237,saab
91,39,72,7,46,132,149,saab
105,54,106,10,32,166,218,saab
104,49,105,11,32,157,168,saab
90,43,72,8,42,144,158,saab
101,51,98,10,34,161,219,saab
100,46,81,9,40,154,175,saab
88,42,77,8,47,142,158,saab
97,44,96,9,36,144,165,saab
92,37,80,8,43,129,144,saab
86,40,66,4,49,133,151,saab
109,52,104,12,31,162,212,saab
111,53,108,11,32,167,216,saab
86,41,64,5,45,138,173,saab
105,53,108,12,31,168,201,saab
92,45,76,7,41,147,177,saab
106,53,98,10,31,171,218,saab
83,37,54,4,52,127,140,saab
104,53,108,11,31,172,203,saab
107,54,98,11,31,169,216,saab
104,50,106,10,32,158,220,saab
109,54,103,11,30,175,213,saab
105,45,100,10,33,149,186,saab
104,54,101,11,31,172,222,saab
94,38,88,7,39,131,144,saab
98,55,104,9,32,167,220,saab
93,42,98,9,36,138,173,saab
85,33,50,4,59,118,127,saab
102,55,101,12,30,177,213,saab
110,53,104,10,32,164,210,saab
101,52,101,9,35,162,203,saab
90,39,89,8,38,132,154,saab
87,39,74,6,44,136,140,saab
91,43,72,7,45,140,165,saab
84,38,83,7,45,132,149,saab
99,48,104,10,33,152,199,saab
86,36,77,7,45,128,131,saab
88,45,82,8,43,149,170,saab
85,40,66,6,48,137,164,saab
101,48,85,11,38,153,187,saab
98,39,81,9,40,138,131,saab
93,34,72,6,50,123,125,saab
89,47,83,8,40,150,190,saab
93,45,81,7,41,147,188,saab
105,54,108,12,31,168,228,saab
98,38,78,8,39,136,141,saab
107,55,103,11,30,172,216,saab
104,53,101,11,31,168,221,saab
90,39,85,7,41,131,158,saab
107,53,108,11,31,168,198,saab
101,55,108,12,31,168,214,saab
78,38,63,6,47,130,146,saab
82,36,51,4,50,126,144,saab
106,53,98,10,31,169,218,saab
93,47,88,7,38,151,205,saab
108,52,109,12,31,171,214,saab
97,55,104,9,32,171,223,saab
91,45,79,9,40,148,179,saab
94,43,69,7,43,143,187,saab
90,36,74,8,42,128,123,saab
93,43,76,7,44,143,176,saab
96,37,74,8,42,134,134,saab
87,38,71,8,49,127,145,saab
89,38,77,7,45,129,153,saab
91,40,98,9,38,135,165,saab
100,54,102,10,33,164,240,saab
85,38,75,7,46,131,145,saab
100,46,104,9,34,147,198,saab
115,52,100,10,31,165,214,saab
111,50,103,11,31,156,188,saab
100,47,88,10,38,155,169,saab
108,54,105,11,33,164,235,saab
95,45,105,10,36,150,158,saab
108,54,103,11,32,162,240,saab
89,38,82,8,43,129,137,saab
107,54,96,12,31,170,217,saab
86,38,86,9,39,134,138,saab
93,37,76,8,40,134,139,saab
101,56,101,10,31,171,216,saab
96,41,69,7,47,141,169,saab
87,41,66,6,46,136,178,saab
104,55,100,10,31,173,221,saab
119,54,106,12,31,167,232,saab
92,38,71,7,43,133,130,saab
94,40,85,9,39,139,133,saab
89,41,75,5,43,136,154,bus
85,45,70,7,45,145,186,bus
106,54,103,4,27,166,242,bus
93,45,86,7,35,145,183,bus
92,37,75,6,40,128,135,bus
85,42,70,7,45,145,172,bus
91,42,81,5,38,137,156,bus
113,57,109,6,26,175,261,bus
96,47,77,6,38,150,182,bus
87,39,74,6,45,134,139,bus
108,56,102,6,28,167,228,bus
102,54,98,6,29,165,231,bus
91,40,76,7,44,135,144,bus
91,42,84,6,38,138,161,bus
85,42,66,6,46,141,174,bus
87,41,73,7,44,138,152,bus
106,53,98,4,28,164,222,bus
110,56,109,5,27,169,268,bus
83,44,68,8,45,143,180,bus
99,47,91,5,32,148,186,bus
87,44,65,6,46,144,171,bus
99,38,74,6,39,131,137,bus
87,41,76,7,45,140,152,bus
102,53,101,4,28,163,242,bus
100,48,95,7,32,150,200,bus
105,51,80,6,33,159,188,bus
80,44,68,8,45,146,190,bus
96,46,70,6,39,148,171,bus
86,45,70,7,45,144,186,bus
78,43,70,8,46,145,168,bus
85,41,66,22,45,139,155,bus
80,43,68,8,45,145,176,bus
84,44,65,8,46,148,176,bus
80,43,68,7,46,147,176,bus
88,43,70,19,44,143,168,bus
87,42,70,7,45,142,156,bus
83,46,73,6,45,146,183,bus
90,41,71,7,44,138,157,bus
107,57,102,7,28,171,229,bus
81,43,68,8,46,146,172,bus
94,37,73,7,42,127,132,bus
85,43,69,7,44,145,179,bus
85,43,66,5,46,145,174,bus
81,43,68,7,46,145,171,bus
98,49,84,7,34,154,209,bus
83,42,71,7,45,142,158,bus
81,42,63,8,46,145,172,bus
91,42,66,7,44,140,159,bus
82,44,63,7,45,147,185,bus
86,45,71,6,45,146,189,bus
85,43,66,7,45,146,173,bus
81,45,68,6,44,146,186,bus
97,45,72,5,40,144,186,bus
85,42,66,7,45,145,163,bus
80,45,71,7,45,147,176,bus
83,41,70,7,46,141,147,bus
105,50,93,4,30,159,206,bus
91,45,76,7,44,144,179,bus
85,43,66,6,46,145,171,bus
100,36,73,6,40,127,125,bus
107,57,106,8,26,172,232,bus
82,44,72,7,46,143,183,bus
82,44,72,7,44,147,177,bus
109,52,95,4,29,158,217,bus
89,40,72,7,45,135,145,bus
94,45,72,6,41,144,191,bus
97,37,70,7,43,129,119,bus
94,45,89,5,35,145,182,bus
82,45,68,5,45,144,184,bus
100,49,80,6,35,156,198,bus
98,38,70,6,39,136,129,bus
82,44,72,7,44,144,177,bus
83,46,68,6,44,146,183,bus
85,44,66,6,45,145,185,bus
95,36,73,6,41,126,124,bus
82,45,68,6,46,143,184,bus
82,43,71,7,45,143,173,bus
85,44,70,52,45,144,188,bus
95,43,83,6,36,139,163,bus
106,57,107,6,26,171,260,bus
114,57,102,6,26,169,261,bus
86,43,66,7,44,142,173,bus
84,45,68,6,46,142,180,bus
86,42,65,8,45,141,171,bus
111,58,105,6,26,174,255,bus
96,41,77,5,36,134,148,bus
85,43,66,7,46,147,175,bus
102,45,83,5,33,146,167,bus
100,50,81,6,34,158,198,bus
81,46,71,7,44,149,191,bus
86,43,68,7,44,142,164,bus
87,39,70,7,46,136,141,bus
86,42,64,6,46,143,171,bus
85,42,64,7,46,146,172,bus
98,35,70,5,41,124,117,bus
94,49,79,5,37,154,206,bus
81,43,68,7,45,144,171,bus
93,37,73,7,43,131,135,bus
86,46,73,6,45,147,188,bus
89,41,76,7,42,136,153,bus
98,52,86,5,33,161,221,bus
97,47,88,7,33,148,201,bus
96,49,98,6,31,152,210,bus
106,54,105,5,27,165,243,bus
96,37,74,5,39,128,136,bus
91,46,75,7,42,147,192,bus
86,45,71,7,45,144,176,bus
84,45,66,6,46,144,177,bus
97,38,75,6,37,129,137,bus
82,41,70,7,45,138,152,bus
101,54,106,7,28,164,253,bus
84,43,76,7,43,143,173,bus
86,46,70,8,45,146,185,bus
89,44,70,6,47,143,173,bus
88,39,70,7,44,134,143,bus
99,51,88,5,32,158,219,bus
97,43,73,6,42,143,172,bus
86,44,65,6,45,150,177,bus
90,42,63,7,45,142,173,bus
81,46,71,7,44,148,190,bus
79,47,74,7,43,149,199,bus
95,47,73,7,38,152,185,bus
94,43,64,7,43,142,177,bus
92,39,76,6,43,131,143,bus
81,45,68,7,45,151,179,bus
109,55,102,6,27,165,247,bus
95,43,71,6,45,141,171,bus
94,37,72,6,41,133,127,bus
81,44,68,6,45,147,178,bus
107,55,103,7,27,172,239,bus
83,46,71,6,44,147,198,bus
85,42,66,7,46,143,160,bus
84,42,76,7,44,143,157,bus
94,39,75,8,42,133,145,bus
96,43,82,5,34,141,162,bus
86,45,73,6,44,145,176,bus
87,43,65,8,46,143,171,bus
86,47,75,6,43,146,190,bus
96,36,74,6,43,127,127,bus
110,56,103,5,26,169,239,bus
86,43,61,8,46,144,172,bus
82,43,73,7,44,145,173,bus
86,43,70,6,46,145,171,bus
106,54,100,4,27,162,262,bus
105,51,93,7,30,165,208,bus
94,44,70,8,42,144,178,bus
89,40,76,7,44,136,148,bus
101,56,104,6,26,168,230,bus
87,43,70,7,44,145,171,bus
85,45,70,8,45,146,187,bus
80,44,68,8,45,145,173,bus
85,43,64,8,46,144,173,bus
102,51,92,6,30,162,209,bus
92,37,75,6,42,131,127,bus
94,43,68,6,46,142,177,bus
102,45,85,6,33,146,163,bus
82,45,66,52,45,144,185,bus
87,42,60,6,46,141,171,bus
89,44,72,7,46,147,169,bus
99,48,79,6,35,153,171,bus
93,47,84,7,36,152,201,bus
86,42,65,7,45,140,172,bus
98,46,77,7,39,150,180,bus
96,46,74,5,39,149,191,bus
93,49,79,7,37,158,194,bus
85,43,66,6,45,143,168,bus
104,49,89,4,31,153,198,bus
79,43,72,8,44,144,174,bus
98,38,72,5,38,131,138,bus
109,55,96,6,28,170,242,bus
81,45,68,22,45,147,186,bus
85,45,65,8,45,145,186,bus
89,42,70,7,45,143,153,bus
103,52,103,7,28,160,250,bus
86,43,69,6,46,144,177,bus
86,44,70,6,45,145,185,bus
88,40,78,6,41,134,148,bus
98,46,88,6,34,147,174,bus
101,53,91,6,32,161,214,bus
83,42,66,7,45,144,159,bus
86,42,65,6,45,141,172,bus
83,44,70,5,46,143,170,bus
100,51,89,6,32,159,205,bus
107,55,98,7,27,168,245,bus
97,49,76,7,36,157,186,bus
81,44,72,6,44,146,178,bus
81,47,69,6,44,147,195,bus
87,44,70,6,45,141,178,bus
87,46,71,6,44,146,189,bus
99,41,77,6,36,139,151,bus
100,47,70,7,40,153,172,bus
88,46,74,6,43,148,192,bus
88,44,71,7,46,141,172,bus
84,47,75,6,43,145,184,bus
100,50,98,6,30,156,213,bus
89,44,68,7,45,147,189,bus
102,54,98,10,31,174,223,opel
101,56,100,11,31,175,224,opel
89,40,69,6,50,137,151,opel
101,52,105,10,31,163,204,opel
104,57,103,12,30,177,218,opel
101,53,103,9,34,162,210,opel
100,49,96,9,35,156,176,opel
109,49,103,11,32,156,186,opel
79,39,72,9,48,135,144,opel
111,54,103,11,30,172,201,opel
103,55,103,11,31,165,249,opel
85,39,77,8,45,134,133,opel
103,54,107,11,30,174,200,opel
108,51,103,11,31,160,187,opel
94,39,89,9,38,135,121,opel
89,41,75,7,46,137,156,opel
96,54,104,10,31,175,222,opel
104,56,96,11,30,172,218,opel
80,34,42,3,59,119,121,opel
99,57,100,13,30,188,213,opel
80,36,69,7,53,124,133,opel
102,54,98,10,31,171,223,opel
92,42,69,8,48,138,151,opel
77,38,75,6,46,132,136,opel
98,55,101,11,30,178,216,opel
97,47,81,8,39,150,182,opel
88,36,78,6,48,123,129,opel
92,42,75,8,45,142,160,opel
104,54,91,11,31,170,196,opel
88,34,69,5,48,122,120,opel
85,38,72,9,51,132,123,opel
103,54,91,11,31,170,198,opel
100,45,100,8,32,147,189,opel
87,38,85,8,40,129,130,opel
103,41,83,9,38,142,138,opel
102,54,101,10,30,171,203,opel
104,52,101,10,33,161,204,opel
94,38,84,9,39,130,155,opel
88,40,69,7,51,134,144,opel
103,50,98,9,34,161,185,opel
87,45,82,8,42,144,174,opel
89,44,82,6,45,144,168,opel
103,55,100,11,31,175,219,opel
95,42,96,9,37,141,149,opel
88,44,77,6,44,145,177,opel
104,58,103,11,30,176,246,opel
106,53,98,11,31,166,191,opel
86,41,66,7,50,136,165,opel
84,38,60,5,50,130,141,opel
105,54,96,10,30,170,217,opel
93,45,73,7,42,146,188,opel
92,39,91,8,37,137,151,opel
89,42,75,6,46,139,166,opel
100,51,109,9,30,162,206,opel
96,55,98,10,31,175,221,opel
101,56,100,10,32,169,223,opel
107,56,105,11,30,179,212,opel
97,46,101,8,35,151,169,opel
105,52,107,11,31,167,197,opel
87,44,98,10,35,141,178,opel
92,52,93,9,35,161,240,opel
109,48,107,10,32,158,168,opel
90,40,83,8,37,132,157,opel
84,38,74,8,49,127,127,opel
91,45,75,6,44,146,180,opel
88,44,71,8,48,143,174,opel
87,45,77,7,44,145,172,opel
76,38,58,5,51,127,145,opel
105,56,98,11,31,173,216,opel
97,37,76,8,41,131,136,opel
85,36,72,7,54,125,123,opel
103,56,105,10,32,173,218,opel
93,35,72,7,44,124,125,opel
89,36,77,8,42,125,126,opel
96,47,103,10,33,147,200,opel
102,43,96,10,36,142,139,opel
103,57,105,11,30,173,250,opel
91,49,86,8,37,156,201,opel
97,55,96,10,31,173,218,opel
95,46,105,9,33,148,201,opel
93,35,78,8,45,125,137,opel
99,50,88,10,35,159,193,opel
102,52,101,10,33,157,186,opel
92,46,82,8,40,149,164,opel
89,47,81,8,41,149,197,opel
95,57,104,10,31,175,223,opel
73,37,53,6,55,128,147,opel
99,52,104,10,32,166,215,opel
93,35,66,6,46,128,120,opel
102,52,98,10,31,164,199,opel
80,38,64,8,51,126,135,opel
100,51,109,11,30,163,206,opel
101,51,105,10,32,162,224,opel
89,50,83,6,37,156,210,opel
106,55,98,11,31,170,214,opel
87,49,86,9,37,153,209,opel
95,51,96,9,35,161,235,opel
100,58,109,11,30,182,207,opel
90,41,78,7,48,138,158,opel
79,40,80,7,47,135,144,opel
100,52,109,10,30,165,207,opel
101,53,108,12,31,172,187,opel
86,39,84,8,43,133,157,opel
101,55,101,13,30,177,204,opel
91,35,66,7,45,131,123,opel
93,42,88,10,36,141,168,opel
97,48,94,9,36,155,189,opel
80,37,57,6,54,125,132,opel
85,36,78,7,45,128,134,opel
101,48,107,10,32,154,204,opel
95,45,80,7,40,145,178,opel
100,55,101,10,30,177,211,opel
85,37,80,8,44,126,136,opel
99,55,101,10,30,178,213,opel
101,55,105,10,31,177,223,opel
107,52,101,11,33,164,192,opel
78,36,51,4,57,124,135,opel
95,48,104,9,32,151,202,opel
99,55,101,13,30,180,213,opel
106,53,98,11,30,167,214,opel
84,38,66,6,54,132,139,opel
99,57,109,11,30,176,236,opel
93,43,78,7,44,141,174,opel
98,55,108,11,30,178,217,opel
101,55,107,11,30,178,204,opel
97,55,103,11,31,172,219,opel
97,41,92,10,37,140,136,opel
85,40,66,4,44,133,163,opel
88,40,79,7,38,138,150,opel
98,58,101,12,30,182,216,opel
82,39,86,7,45,134,139,opel
86,40,75,6,48,135,162,opel
104,55,109,12,30,174,226,opel
96,52,104,9,33,163,226,opel
107,45,92,10,35,148,159,opel
103,54,107,12,30,174,199,opel
82,40,73,8,44,133,153,opel
91,38,76,8,40,134,145,opel
94,37,74,7,41,133,130,opel
84,39,90,7,37,131,145,opel
93,34,66,7,51,120,114,opel
97,59,108,11,30,186,218,opel
77,38,63,5,52,130,139,opel
101,56,100,12,30,178,204,opel
106,55,96,12,30,173,214,opel
104,52,110,10,30,166,218,opel
100,44,93,8,35,147,151,opel
92,46,79,8,41,149,178,opel
109,51,100,10,34,161,195,opel
103,56,100,11,31,173,219,opel
97,50,108,10,31,156,218,opel
97,48,105,11,33,155,162,opel
94,46,79,8,40,148,193,opel
106,49,107,11,31,161,172,opel
88,38,77,7,41,129,140,opel
99,46,105,11,34,152,159,opel
103,48,96,10,32,153,197,opel
90,36,78,8,42,126,142,opel
88,39,88,8,40,133,151,opel
95,49,92,10,37,154,171,opel
90,39,86,7,41,131,147,opel
106,52,107,8,33,161,200,opel
102,54,100,10,31,173,201,opel
84,40,71,7,45,134,165,opel
91,41,93,9,36,137,153,opel
86,37,77,7,43,127,145,opel
98,48,101,11,31,152,193,opel
104,55,105,11,32,169,216,opel
96,55,103,9,32,166,246,opel
83,39,69,5,49,131,162,opel
104,57,103,11,30,176,219,opel
88,35,50,5,59,122,138,opel
107,53,103,11,32,163,212,opel
98,55,101,9,31,168,245,opel
86,44,77,7,44,141,161,opel
98,54,104,10,32,172,217,opel
102,51,108,10,31,162,184,opel
97,37,78,8,41,131,117,opel
104,52,96,9,35,161,205,opel
106,49,96,10,36,158,180,opel
103,48,101,12,33,158,164,opel
91,46,101,9,34,146,199,opel
81,38,53,6,51,128,148,opel
96,48,83,8,39,152,196,opel
85,38,63,7,55,130,144,opel
98,45,76,7,42,148,186,opel
78,36,60,6,55,124,121,opel
89,36,69,7,50,126,128,opel
101,49,103,10,33,156,174,opel
95,43,96,10,35,143,166,opel
89,36,72,7,48,126,130,opel
