@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Praxis_rectangular numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
88,59,52,18,63,199,206,van
93,58,49,18,73,187,188,van
96,64,44,19,70,192,199,van
98,52,53,18,74,186,185,van
85,55,57,17,89,180,184,van
91,68,46,19,68,191,201,van
96,51,52,18,86,181,182,van
93,51,51,18,78,185,185,van
93,63,46,19,67,195,203,van
87,54,58,17,74,186,190,van
95,66,42,20,74,184,193,van
91,61,51,18,68,194,201,van
89,58,44,19,74,186,197,van
85,64,45,19,71,188,199,van
90,55,43,20,77,182,192,van
92,59,52,17,62,204,210,van
83,53,53,18,86,176,183,van
90,48,51,18,85,183,182,van
89,64,46,19,71,188,197,van
91,59,48,18,62,201,209,van
95,57,44,19,71,187,200,van
86,59,47,18,71,189,196,van
89,65,46,19,70,190,200,van
93,66,44,20,74,183,195,van
96,62,47,18,62,201,208,van
91,63,48,18,72,188,194,van
95,65,46,19,64,199,207,van
89,54,43,20,77,182,193,van
93,58,43,20,77,183,194,van
89,58,49,18,78,186,187,van
86,60,55,17,61,200,207,van
85,56,43,20,76,183,193,van
89,60,50,18,62,201,209,van
94,54,43,19,74,186,197,van
89,52,44,20,78,183,191,van
91,56,56,17,67,192,198,van
82,105,48,18,99,190,199,van
92,52,49,18,79,183,185,van
89,53,51,18,73,188,191,van
90,59,43,20,76,183,192,van
94,67,46,19,66,194,202,van
98,55,51,18,69,191,194,van
94,60,50,18,69,192,195,van
89,64,44,20,76,184,193,van
92,52,50,18,81,182,184,van
92,63,45,19,64,199,206,van
86,68,46,18,70,190,201,van
89,66,43,20,72,186,197,van
95,64,43,20,71,189,198,van
91,56,53,18,72,191,194,van
93,63,44,20,73,185,195,van
97,56,52,18,78,184,186,van
90,64,48,18,65,196,203,van
84,62,48,18,68,194,202,van
85,56,58,17,64,197,202,van
90,56,44,20,78,182,191,van
88,62,45,19,71,188,197,van
93,56,53,18,74,189,190,van
89,59,47,18,73,189,196,van
93,65,43,19,76,184,196,van
93,68,49,18,71,192,201,van
98,63,47,18,63,201,207,van
96,68,43,19,69,194,202,van
94,68,44,20,73,187,195,van
94,64,43,19,74,185,196,van
94,64,52,18,69,192,196,van
97,63,45,19,65,197,205,van
86,54,57,17,90,180,183,van
87,58,47,18,73,188,196,van
88,57,54,17,66,193,198,van
90,64,43,20,74,185,195,van
89,59,55,17,76,186,188,van
97,67,43,20,67,192,200,van
83,68,46,18,71,191,199,van
93,66,44,19,67,195,204,van
95,63,42,20,70,189,200,van
96,66,43,19,67,192,202,van
86,63,48,18,71,189,195,van
93,63,46,19,63,199,207,van
89,56,56,17,65,193,199,van
94,70,43,20,69,190,200,van
91,61,45,19,64,197,207,van
85,69,46,18,71,190,199,van
85,53,44,20,77,182,191,van
91,55,51,18,70,190,194,van
90,58,44,19,73,186,197,van
98,56,52,18,72,186,187,van
84,58,44,20,74,183,193,van
89,133,43,20,97,184,194,van
96,63,46,19,64,199,207,van
95,62,46,19,64,199,206,van
94,54,52,18,66,195,196,van
97,64,52,18,66,195,200,van
96,48,52,18,80,183,184,van
94,56,43,20,76,183,192,van
88,52,57,17,86,179,183,van
89,58,53,17,64,199,207,van
94,64,43,20,75,183,194,van
94,57,44,20,77,182,191,van
85,55,56,17,73,186,190,van
88,62,51,18,63,203,210,van
93,56,43,20,75,184,197,van
90,56,43,20,76,182,192,van
90,64,42,20,73,185,195,van
89,64,43,19,72,185,196,van
88,59,52,18,62,202,209,van
92,48,50,19,85,182,183,van
86,59,54,17,63,202,208,van
91,66,47,18,67,192,202,van
84,61,49,18,64,196,205,van
89,59,49,18,72,189,193,van
90,97,45,19,91,186,196,van
85,63,46,19,72,187,196,van
93,65,44,19,66,194,203,van
91,55,51,18,69,191,192,van
88,53,53,18,87,176,183,van
83,53,52,18,84,177,183,van
95,72,42,20,70,187,197,van
87,64,50,18,67,193,201,van
86,61,50,18,66,194,202,van
94,138,43,19,135,188,196,van
104,59,31,24,72,190,201,saab
108,65,32,24,71,189,197,saab
101,60,38,21,62,197,210,saab
86,56,50,18,70,187,191,saab
88,58,47,18,64,198,205,saab
85,56,44,19,76,182,187,saab
107,71,31,25,71,189,196,saab
97,63,36,22,66,191,199,saab
91,60,44,19,63,196,205,saab
102,68,32,24,71,189,200,saab
95,61,43,20,63,196,208,saab
82,54,52,18,72,183,187,saab
91,56,45,19,72,186,191,saab
98,59,34,23,61,194,208,saab
103,66,33,23,70,191,199,saab
90,60,42,19,61,197,204,saab
106,64,32,24,68,190,202,saab
93,56,50,18,63,200,206,saab
102,64,33,23,64,192,204,saab
107,68,31,25,67,190,204,saab
107,65,31,25,72,187,199,saab
115,62,31,24,72,188,197,saab
108,56,31,25,72,189,199,saab
85,57,61,17,86,181,183,saab
87,53,49,18,75,181,186,saab
90,63,37,21,70,189,195,saab
100,59,32,24,70,187,198,saab
86,58,50,18,66,190,195,saab
103,60,35,22,62,198,208,saab
112,56,31,24,71,191,202,saab
86,61,45,19,80,182,185,saab
78,51,47,19,77,181,185,saab
105,62,30,25,72,189,200,saab
91,56,42,19,65,195,201,saab
91,63,38,21,69,191,198,saab
93,64,40,20,72,188,195,saab
101,72,31,24,72,187,197,saab
91,53,47,19,69,186,191,saab
90,61,36,21,69,191,199,saab
94,59,43,19,67,193,198,saab
105,57,31,24,71,186,197,saab
104,64,31,25,71,189,203,saab
105,70,31,24,68,189,201,saab
85,58,58,17,70,185,189,saab
96,56,47,18,61,202,209,saab
82,53,50,18,86,181,182,saab
88,60,38,21,68,192,199,saab
116,67,31,24,67,192,206,saab
97,66,35,22,72,190,197,saab
93,64,41,20,70,192,199,saab
90,64,41,20,66,195,203,saab
104,68,31,24,71,188,199,saab
107,66,31,24,71,188,197,saab
110,61,34,22,65,194,203,saab
108,57,31,25,70,189,201,saab
91,55,46,19,77,184,189,saab
84,54,45,19,74,185,191,saab
100,62,36,21,64,195,205,saab
98,63,37,21,65,193,201,saab
98,66,35,22,68,191,199,saab
98,67,32,23,72,187,196,saab
97,59,38,21,63,196,205,saab
96,67,35,22,67,193,201,saab
108,63,34,23,65,194,205,saab
90,59,47,18,61,201,207,saab
79,55,48,19,81,180,183,saab
91,64,38,21,66,195,205,saab
85,54,46,19,75,183,188,saab
102,67,30,25,71,187,199,saab
85,53,59,17,83,179,185,saab
84,55,48,18,71,189,195,saab
83,55,52,18,81,180,184,saab
109,69,31,25,72,188,201,saab
93,58,52,18,63,198,204,saab
95,66,35,22,68,190,200,saab
92,67,43,19,69,190,195,saab
96,58,37,21,68,192,202,saab
108,62,32,23,72,189,198,saab
93,66,38,21,66,195,202,saab
106,64,33,23,65,192,204,saab
95,59,39,20,67,191,198,saab
109,63,30,25,71,188,199,saab
105,60,35,22,64,196,205,saab
91,60,38,21,72,188,194,saab
94,60,42,20,67,193,199,saab
109,59,32,24,70,191,202,saab
110,64,31,24,73,188,198,saab
92,56,41,20,71,186,191,saab
93,63,36,22,70,189,197,saab
92,57,41,20,69,190,195,saab
97,71,30,25,70,186,200,saab
101,69,31,24,71,188,199,saab
82,53,54,18,78,180,184,saab
89,61,40,20,72,187,193,saab
101,59,32,24,65,190,206,saab
101,61,34,23,66,192,205,saab
104,66,31,24,74,185,194,saab
91,60,41,20,72,186,191,saab
92,60,42,20,68,190,196,saab
94,62,39,20,61,200,210,saab
111,61,32,23,64,196,205,saab
97,60,42,20,63,198,206,saab
85,59,50,18,68,191,195,saab
108,73,30,25,73,187,197,saab
89,53,50,18,79,184,185,saab
104,59,33,23,70,191,198,saab
92,66,43,19,70,189,195,saab
87,57,52,18,71,186,192,saab
93,57,44,19,69,189,194,saab
84,57,59,17,76,183,190,saab
115,60,34,23,62,198,208,saab
108,64,30,25,73,188,199,saab
88,58,54,18,74,184,188,saab
108,61,31,24,71,190,199,saab
107,62,31,24,71,187,198,saab
104,61,31,24,67,188,201,saab
105,63,31,25,71,189,203,saab
109,66,31,24,70,188,201,saab
86,59,49,18,74,186,190,saab
110,66,32,24,67,190,203,saab
90,57,56,17,68,190,195,saab
104,65,31,24,72,187,198,saab
100,65,33,23,72,187,196,saab
93,63,40,20,67,192,197,saab
109,63,30,25,71,187,200,saab
97,59,36,22,67,194,206,saab
86,62,45,19,82,180,185,saab
99,66,32,23,68,191,201,saab
89,63,48,18,66,193,204,saab
113,62,31,24,72,188,199,saab
102,67,32,23,68,188,197,saab
108,62,33,23,68,190,200,saab
89,59,41,20,68,192,197,saab
98,65,33,23,68,189,197,saab
110,57,31,24,68,191,199,saab
83,57,53,18,82,179,183,saab
94,60,39,21,66,195,204,saab
100,60,34,23,73,189,197,saab
109,60,31,24,67,189,199,saab
89,59,43,19,70,187,192,saab
86,60,45,19,66,196,203,saab
111,60,31,24,68,190,200,saab
93,59,39,20,63,197,204,saab
90,59,42,19,61,203,209,saab
101,60,34,22,67,192,201,saab
100,60,38,21,59,201,210,saab
80,55,46,19,83,180,185,saab
104,61,32,24,64,193,207,saab
91,61,47,19,63,193,200,saab
108,55,31,24,72,189,201,saab
98,64,40,20,62,197,205,saab
106,54,31,24,74,187,197,saab
106,60,31,24,73,188,197,saab
104,64,31,24,74,187,196,saab
86,56,49,18,74,183,189,saab
99,63,35,22,68,191,199,saab
96,66,34,22,73,189,197,saab
82,63,51,18,82,179,185,saab
88,62,50,18,83,180,184,saab
91,59,40,20,62,199,208,saab
90,58,42,20,60,201,209,saab
90,59,41,20,71,186,192,saab
86,60,39,21,68,191,199,saab
89,62,45,19,71,188,193,saab
88,60,46,19,86,180,183,saab
89,64,41,20,66,194,201,saab
112,58,32,24,67,191,202,saab
95,64,36,22,64,198,211,saab
100,61,40,20,63,198,207,saab
107,56,31,24,72,188,198,saab
87,58,44,19,70,187,196,saab
103,55,32,24,73,187,197,saab
119,65,31,24,66,192,202,saab
113,62,33,23,64,193,204,saab
104,63,32,24,74,188,198,saab
92,57,43,19,60,203,211,saab
91,59,39,20,67,192,199,saab
104,65,35,22,65,195,206,saab
105,69,30,25,73,187,199,saab
93,69,36,22,70,189,196,saab
105,68,32,24,69,189,199,saab
105,61,33,23,67,192,200,saab
101,62,35,22,67,193,202,saab
104,66,32,23,73,188,196,saab
83,61,50,18,85,180,183,saab
89,58,37,21,70,189,196,saab
88,56,43,19,69,188,193,saab
104,61,31,24,74,185,195,saab
106,67,30,25,70,187,201,saab
104,54,32,24,72,187,197,saab
85,58,48,19,77,182,186,saab
89,62,46,19,74,185,189,saab
106,64,31,25,73,190,205,saab
103,56,32,24,73,187,196,saab
99,63,33,23,73,188,197,saab
90,55,54,17,65,196,202,saab
80,59,45,19,80,180,185,bus
98,71,39,20,69,200,203,bus
92,74,41,19,70,195,201,bus
99,65,31,24,78,191,189,bus
86,53,46,19,85,179,182,bus
98,68,39,20,71,200,203,bus
102,61,29,25,79,188,187,bus
100,70,40,20,68,200,205,bus
90,69,40,20,66,198,205,bus
96,70,43,19,69,201,205,bus
97,73,36,21,72,197,200,bus
94,72,42,19,67,199,206,bus
94,72,41,19,70,200,204,bus
86,63,44,19,71,189,196,bus
96,70,41,19,67,202,206,bus
103,52,28,26,82,183,184,bus
89,64,47,18,66,193,199,bus
85,62,44,19,84,181,184,bus
82,64,46,19,80,181,184,bus
85,57,45,19,86,180,183,bus
86,65,45,19,77,183,188,bus
98,69,38,20,70,200,202,bus
88,73,41,20,73,193,197,bus
99,68,35,22,74,195,195,bus
98,68,41,19,71,202,205,bus
82,68,44,19,80,183,188,bus
100,71,36,21,72,197,197,bus
98,63,34,22,73,194,197,bus
93,69,35,22,72,194,197,bus
94,69,43,19,68,199,206,bus
104,54,31,24,78,190,189,bus
81,73,44,19,75,183,189,bus
81,64,44,19,75,183,188,bus
88,66,44,19,69,193,201,bus
107,59,27,26,80,186,184,bus
97,65,42,19,66,200,204,bus
111,51,26,29,85,181,183,bus
96,59,31,24,77,188,189,bus
87,56,46,19,87,179,182,bus
100,70,35,21,73,198,199,bus
96,70,39,20,69,200,203,bus
91,75,42,19,72,192,199,bus
87,67,45,19,72,188,195,bus
97,68,37,20,74,197,199,bus
84,64,46,19,75,183,187,bus
97,71,40,20,70,196,203,bus
94,71,42,19,67,197,206,bus
88,70,46,19,71,188,193,bus
88,61,46,18,68,196,203,bus
105,51,30,24,81,188,188,bus
86,54,45,19,85,180,182,bus
98,72,35,21,72,196,199,bus
78,65,46,19,77,181,186,bus
80,54,45,19,85,179,183,bus
85,56,45,19,81,179,184,bus
85,103,45,19,127,180,183,bus
94,71,37,21,71,197,199,bus
91,66,44,19,67,201,207,bus
85,55,46,19,85,179,182,bus
85,58,45,19,84,180,183,bus
86,70,45,19,71,187,191,bus
82,69,45,19,80,181,184,bus
107,49,27,28,83,179,186,bus
86,64,45,19,82,181,183,bus
91,67,44,19,68,192,200,bus
87,66,44,19,73,186,190,bus
80,60,45,19,81,180,184,bus
89,63,45,19,72,192,196,bus
85,56,46,19,82,180,184,bus
83,61,45,19,74,185,191,bus
98,61,37,21,72,199,201,bus
100,65,32,23,74,193,193,bus
106,47,27,27,85,181,183,bus
84,54,45,19,81,181,184,bus
85,54,45,19,81,181,184,bus
83,65,46,19,71,188,195,bus
86,56,44,19,81,181,185,bus
86,54,46,19,87,179,182,bus
91,75,38,20,69,196,201,bus
85,65,45,19,75,184,191,bus
81,57,46,19,83,179,184,bus
96,64,36,21,74,196,198,bus
81,53,45,19,86,179,183,bus
109,58,29,25,82,187,186,bus
102,64,33,22,76,195,193,bus
107,51,26,28,83,181,184,bus
81,69,45,19,88,180,185,bus
83,69,46,18,69,188,193,bus
94,67,46,18,65,198,203,bus
87,66,45,19,70,195,200,bus
110,64,26,27,85,184,183,bus
82,61,46,19,81,181,185,bus
84,64,43,19,75,185,192,bus
91,69,44,19,69,195,201,bus
81,55,46,19,86,179,182,bus
85,54,46,19,87,179,182,bus
110,51,26,28,83,181,182,bus
106,47,28,26,82,185,184,bus
81,60,44,19,81,182,186,bus
99,74,32,23,79,192,191,bus
105,71,33,22,75,194,194,bus
85,54,46,19,87,179,181,bus
95,70,38,20,69,200,206,bus
92,71,43,19,72,195,200,bus
100,73,40,20,72,200,204,bus
82,64,45,19,72,187,195,bus
96,74,39,20,70,196,200,bus
80,53,45,19,80,180,185,bus
89,66,46,19,69,191,198,bus
101,67,43,19,65,202,209,bus
100,67,34,22,74,197,198,bus
86,57,46,19,86,179,182,bus
99,66,39,20,71,200,202,bus
89,62,45,19,76,186,189,bus
86,57,45,19,82,180,184,bus
88,68,44,19,69,196,200,bus
85,55,45,19,83,180,183,bus
82,52,44,19,82,180,185,bus
95,64,45,19,67,195,200,bus
84,75,43,19,77,185,190,bus
82,126,45,19,119,181,185,bus
92,71,40,20,69,195,202,bus
85,58,45,19,79,181,186,bus
100,63,30,24,77,189,189,bus
86,53,45,19,85,179,183,bus
86,66,45,19,72,189,196,bus
81,62,46,19,83,180,184,bus
83,59,44,19,74,185,191,bus
88,68,43,19,71,189,195,bus
106,48,27,27,84,181,182,bus
89,73,42,19,74,191,195,bus
86,50,45,19,85,179,183,bus
87,64,44,19,73,190,194,bus
81,60,45,19,81,179,183,bus
87,56,46,19,85,180,182,bus
94,71,35,22,71,195,198,bus
97,60,33,23,74,192,191,bus
90,55,45,19,81,180,184,bus
85,56,46,19,85,179,182,bus
110,57,27,27,82,183,183,bus
81,56,44,19,81,180,186,bus
83,59,45,19,75,185,191,bus
90,64,43,19,66,195,204,bus
108,75,28,26,82,186,185,bus
86,56,45,19,84,180,183,bus
80,53,46,19,81,179,184,bus
102,60,30,25,80,188,186,bus
94,69,41,19,69,193,198,bus
91,69,38,20,68,198,204,bus
85,58,46,19,83,179,182,bus
106,67,26,28,86,180,184,bus
85,54,46,19,88,180,182,bus
87,61,46,18,69,192,199,bus
82,68,45,19,78,181,186,bus
113,56,26,28,85,182,183,bus
84,65,46,19,73,184,188,bus
85,56,45,19,82,181,185,bus
87,75,45,19,69,194,201,bus
92,70,42,19,71,198,202,bus
102,65,33,22,79,193,191,bus
93,68,43,19,68,196,205,bus
95,69,36,21,68,196,198,bus
90,68,44,19,71,192,197,bus
96,72,38,20,69,199,203,bus
87,65,42,19,76,189,193,bus
84,64,44,19,75,187,193,bus
86,68,43,19,74,188,194,bus
83,70,44,19,80,181,186,bus
81,64,45,19,80,182,185,bus
82,65,44,19,76,185,189,bus
104,66,31,24,76,193,191,bus
86,54,46,19,87,180,182,bus
79,62,44,19,78,182,188,bus
97,66,43,19,65,201,208,bus
83,64,45,19,74,184,190,bus
101,65,32,23,78,192,192,bus
96,74,39,20,72,196,200,bus
89,76,44,19,72,193,197,bus
102,72,28,26,85,184,184,bus
87,72,44,19,76,184,187,bus
98,74,34,22,74,195,195,bus
108,51,26,28,87,182,181,bus
81,61,44,19,80,182,187,bus
93,71,36,21,70,198,201,bus
107,50,26,28,85,181,183,bus
87,59,45,19,78,185,188,bus
89,50,45,19,88,179,182,bus
85,53,45,19,85,180,182,bus
105,54,30,25,83,186,184,bus
84,55,46,19,82,179,183,bus
100,68,32,23,73,192,194,bus
94,74,35,22,73,196,197,bus
88,74,44,19,76,186,189,bus
106,67,27,27,88,182,182,bus
96,55,34,22,75,195,196,bus
101,57,28,26,81,185,185,bus
88,58,59,17,74,182,187,opel
91,65,34,23,73,186,194,opel
94,59,41,20,63,198,204,opel
102,63,36,22,65,195,204,opel
95,62,37,21,64,198,206,opel
100,62,35,22,66,193,198,opel
106,60,30,25,72,186,196,opel
108,60,31,24,67,190,200,opel
94,62,40,20,67,191,198,opel
86,55,50,18,74,180,187,opel
92,62,37,21,67,192,200,opel
104,70,30,25,75,188,196,opel
91,63,37,21,67,192,198,opel
96,54,31,24,76,185,193,opel
96,58,31,24,75,186,194,opel
89,58,50,18,61,203,209,opel
93,60,45,19,67,191,198,opel
78,56,55,17,78,178,185,opel
86,54,43,19,71,186,191,opel
80,57,59,17,87,179,183,opel
87,70,35,22,71,187,194,opel
100,68,30,25,73,188,199,opel
97,63,31,24,75,185,194,opel
88,69,40,20,74,186,192,opel
97,64,33,23,64,193,202,opel
104,67,31,24,74,187,196,opel
91,62,34,22,69,190,199,opel
107,57,31,24,66,189,198,opel
89,55,46,19,71,191,198,opel
89,57,41,20,72,187,193,opel
101,53,31,24,74,186,194,opel
90,62,41,20,74,185,191,opel
100,57,30,25,71,188,197,opel
100,67,30,24,72,189,199,opel
105,64,31,24,72,188,199,opel
90,64,42,19,66,192,198,opel
100,65,32,23,72,189,195,opel
85,56,54,18,70,184,194,opel
89,56,48,18,72,187,192,opel
93,59,44,19,68,193,197,opel
83,54,49,18,69,187,190,opel
99,55,32,24,73,187,194,opel
103,54,32,24,66,191,200,opel
102,53,31,24,76,187,195,opel
88,62,48,18,66,194,202,opel
95,63,35,22,68,191,198,opel
95,62,40,20,65,199,204,opel
99,68,30,25,74,187,196,opel
80,59,51,18,76,179,188,opel
89,57,50,18,66,193,203,opel
98,60,42,20,69,190,196,opel
89,66,40,20,66,194,199,opel
104,72,30,25,72,186,195,opel
85,55,55,17,64,195,201,opel
104,74,30,25,73,186,195,opel
93,62,44,19,62,203,210,opel
106,63,30,25,71,188,197,opel
105,56,30,25,74,187,194,opel
94,55,39,20,69,190,195,opel
108,68,30,24,69,190,197,opel
105,61,34,22,65,194,202,opel
81,58,51,18,83,177,184,opel
101,54,31,24,68,190,201,opel
95,74,31,24,74,186,193,opel
101,63,34,22,68,191,198,opel
103,69,30,24,73,187,195,opel
103,63,38,21,65,197,206,opel
96,59,39,21,67,195,201,opel
105,60,31,24,66,191,203,opel
102,53,31,24,72,187,198,opel
104,69,30,25,73,186,196,opel
103,62,31,24,73,187,194,opel
85,59,45,19,73,184,193,opel
89,65,37,21,71,189,194,opel
97,64,39,20,70,192,198,opel
89,61,46,19,69,187,194,opel
101,61,30,25,74,187,201,opel
103,57,31,25,72,186,198,opel
101,67,33,23,69,189,196,opel
102,64,33,23,65,193,203,opel
91,59,45,19,64,197,203,opel
100,70,30,25,73,189,198,opel
97,63,37,21,63,197,204,opel
97,70,30,25,70,186,198,opel
102,58,30,25,71,189,198,opel
91,61,40,20,71,189,198,opel
99,62,30,25,71,186,196,opel
80,55,54,18,81,178,184,opel
78,56,57,17,84,177,184,opel
93,60,40,20,73,187,192,opel
76,58,51,18,87,177,184,opel
86,57,43,20,74,183,190,opel
106,57,31,24,67,192,206,opel
84,60,37,21,71,190,198,opel
89,62,42,19,63,198,205,opel
99,54,30,25,72,185,198,opel
104,62,33,23,64,195,204,opel
109,57,32,23,65,192,201,opel
85,59,44,19,69,191,197,opel
90,61,37,21,71,187,193,opel
106,58,31,24,71,188,198,opel
89,56,46,19,76,184,188,opel
80,56,53,18,70,183,191,opel
98,70,31,24,72,188,197,opel
82,59,51,18,87,177,183,opel
97,65,31,24,72,188,197,opel
73,54,55,18,82,176,184,opel
101,57,30,25,71,186,198,opel
87,64,37,21,67,192,199,opel
101,68,32,24,70,190,202,opel
103,59,32,24,72,188,196,opel
92,62,41,20,63,197,206,opel
93,59,42,20,65,195,201,opel
104,69,30,25,71,187,196,opel
105,67,33,23,68,190,198,opel
96,69,33,23,73,187,194,opel
106,62,33,23,67,194,201,opel
95,67,32,23,74,186,193,opel
107,66,32,24,66,191,201,opel
97,66,35,22,66,191,200,opel
102,71,31,24,71,187,196,opel
86,57,52,18,76,183,187,opel
98,59,32,24,73,186,195,opel
92,67,35,22,72,188,195,opel
106,68,31,24,68,189,201,opel
99,62,33,23,70,189,198,opel
92,64,41,20,67,191,198,opel
107,62,35,22,64,195,203,opel
97,62,41,20,62,203,211,opel
77,59,52,18,79,183,187,opel
84,62,54,18,70,185,190,opel
86,59,39,20,67,193,202,opel
98,61,31,23,71,189,196,opel
103,64,30,25,67,189,200,opel
88,59,51,18,64,193,200,opel
85,53,51,18,65,188,198,opel
101,59,31,24,74,186,195,opel
99,66,30,25,70,188,200,opel
93,59,46,18,64,197,202,opel
100,52,32,23,69,188,196,opel
87,60,42,19,70,190,196,opel
102,57,31,24,66,191,201,opel
103,56,30,25,70,187,201,opel
107,61,30,25,72,189,196,opel
104,59,35,22,67,193,200,opel
103,62,33,23,66,192,202,opel
104,67,30,24,67,191,202,opel
97,67,34,22,70,188,197,opel
80,56,49,18,80,179,186,opel
103,65,31,24,72,188,196,opel
88,59,44,19,64,202,208,opel
101,69,32,24,74,186,193,opel
95,65,37,21,67,193,200,opel
97,54,31,24,75,184,193,opel
95,65,35,22,71,190,197,opel
91,57,44,19,66,193,198,opel
79,55,47,19,76,181,193,opel
100,63,30,25,72,186,198,opel
100,70,30,25,72,187,198,opel
92,58,48,18,64,199,206,opel
93,56,51,18,62,201,207,opel
87,59,44,19,75,184,189,opel
92,56,44,19,63,198,203,opel
103,63,34,22,64,198,204,opel
97,60,41,20,72,188,192,opel
77,59,46,19,80,181,187,opel
79,53,48,19,77,181,189,opel
87,61,40,20,63,198,205,opel
95,68,33,23,69,191,202,opel
101,55,31,24,74,185,192,opel
92,58,40,20,61,200,208,opel
94,62,38,21,63,201,209,opel
82,54,45,19,71,183,189,opel
88,62,38,21,66,189,199,opel
106,61,36,21,62,202,209,opel
88,57,48,18,62,204,210,opel
88,56,41,20,67,192,198,opel
98,65,30,25,71,185,196,opel
88,56,48,19,68,188,197,opel
111,50,30,25,69,190,198,opel
105,57,30,25,75,187,195,opel
104,68,32,23,71,189,196,opel
109,59,34,22,64,196,202,opel
85,52,44,19,87,180,183,opel
93,62,36,21,70,189,197,opel
91,65,36,21,66,193,200,opel
85,55,45,19,64,197,203,opel
86,62,48,18,72,183,190,opel
86,60,44,19,72,187,192,opel
103,59,31,24,75,186,194,opel
84,56,50,18,75,185,188,opel
