@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
86,36,78,50,190,195,saab
85,40,72,50,191,195,saab
107,54,98,31,188,197,saab
117,52,110,31,194,205,saab
116,53,110,31,192,206,saab
86,36,77,45,196,203,saab
109,53,103,30,188,199,saab
94,38,88,39,195,204,saab
103,51,105,32,187,196,saab
92,46,83,41,186,191,saab
107,55,103,30,187,197,saab
94,43,69,43,193,198,saab
88,42,77,47,198,205,saab
108,54,109,31,189,201,saab
104,49,105,32,193,207,saab
89,40,89,37,189,196,saab
97,44,96,36,191,199,saab
85,33,50,59,179,185,saab
96,37,74,42,190,197,saab
108,54,103,32,189,197,saab
90,34,66,54,196,202,saab
89,43,77,46,194,201,saab
87,39,74,44,187,196,saab
97,53,105,30,186,200,saab
91,40,83,41,186,191,saab
93,51,90,36,189,196,saab
90,36,85,41,195,203,saab
106,53,98,31,188,197,saab
105,53,108,31,189,203,saab
89,38,77,45,188,193,saab
90,39,85,41,186,192,saab
92,45,76,41,190,195,saab
108,49,109,31,190,199,saab
95,47,81,39,191,198,saab
99,53,105,32,191,201,saab
108,54,105,33,190,200,saab
78,38,63,47,181,185,saab
97,42,101,36,194,206,saab
108,53,103,30,188,199,saab
115,53,100,30,189,199,saab
104,52,100,33,191,198,saab
98,48,101,33,189,197,saab
84,44,77,44,183,187,saab
107,53,108,31,190,203,saab
93,45,81,41,192,199,saab
93,39,87,40,188,195,saab
101,48,85,38,197,210,saab
91,40,98,38,195,205,saab
95,45,105,36,198,211,saab
113,53,93,31,188,199,saab
104,54,101,31,187,196,saab
89,45,77,41,194,201,saab
86,40,63,50,187,191,saab
95,46,104,35,190,200,saab
100,52,104,32,187,198,saab
105,54,106,32,189,199,saab
98,38,78,39,192,199,saab
100,46,81,40,198,207,saab
89,37,54,50,184,185,saab
92,37,80,43,190,195,saab
111,53,108,32,196,205,saab
106,52,108,31,190,205,saab
102,55,101,30,187,199,saab
101,56,101,31,187,197,saab
91,36,83,47,193,200,saab
93,34,72,50,200,206,saab
115,52,100,31,188,197,saab
97,55,104,32,186,196,saab
97,41,88,38,196,205,saab
104,55,107,31,188,199,saab
108,49,103,32,189,198,saab
100,47,88,38,201,210,saab
95,37,71,43,196,208,saab
104,53,108,31,188,201,saab
104,55,100,31,185,194,saab
106,49,106,32,190,202,saab
109,53,109,31,188,201,saab
101,52,101,35,193,202,saab
98,55,104,32,187,196,saab
108,51,100,34,194,205,saab
111,50,103,31,190,200,saab
105,53,105,31,186,197,saab
104,51,105,32,187,197,saab
99,43,89,35,191,199,saab
89,35,52,55,181,184,saab
93,37,76,40,192,197,saab
88,48,90,38,192,199,saab
90,36,74,42,197,204,saab
79,38,55,48,180,183,saab
89,47,83,40,187,193,saab
101,46,105,34,192,205,saab
94,46,77,42,193,199,saab
101,51,98,34,192,201,saab
91,39,88,38,191,198,saab
85,40,75,44,182,187,saab
93,42,98,36,189,197,saab
88,37,63,54,184,188,saab
91,45,79,40,199,208,saab
109,54,109,31,189,202,saab
86,41,66,49,183,189,saab
104,53,101,31,187,198,saab
91,39,83,39,192,199,saab
89,48,85,39,195,201,saab
99,48,104,33,188,197,saab
110,54,102,31,188,198,saab
94,40,85,39,200,210,saab
106,52,101,33,192,204,saab
106,54,101,30,187,201,saab
82,36,51,50,181,182,saab
108,56,103,30,187,197,saab
82,36,54,54,180,184,saab
84,38,83,45,185,191,saab
106,48,107,32,190,203,saab
86,41,64,45,182,185,saab
96,41,69,47,202,209,saab
104,54,100,31,185,195,saab
90,36,57,56,190,195,saab
112,50,110,31,191,202,saab
96,45,101,34,189,197,saab
93,43,76,44,189,194,saab
104,53,108,31,189,203,saab
104,53,101,32,188,198,saab
89,38,82,43,187,192,saab
83,37,54,50,180,183,saab
83,36,54,53,179,183,saab
90,49,83,37,189,195,saab
88,38,58,46,180,183,saab
82,37,66,52,183,187,saab
96,40,78,38,191,200,saab
89,42,80,46,185,189,saab
103,46,106,33,191,199,saab
108,52,109,31,189,201,saab
103,49,100,35,198,208,saab
91,36,72,44,196,205,saab
113,48,98,33,193,204,saab
80,38,63,46,180,185,saab
104,50,106,32,188,196,saab
96,50,94,35,193,201,saab
101,55,108,31,188,199,saab
90,50,90,36,191,199,saab
91,38,75,47,186,191,saab
105,54,108,31,189,201,saab
109,54,103,31,188,201,saab
107,53,108,32,194,205,saab
91,36,77,42,195,201,saab
90,34,66,47,201,207,saab
109,47,96,33,190,198,saab
98,39,81,40,197,205,saab
100,46,104,34,189,197,saab
107,54,96,31,187,198,saab
105,51,105,35,196,205,saab
85,34,53,58,185,189,saab
105,51,108,30,189,200,saab
110,53,104,32,190,203,saab
92,38,71,43,189,195,saab
107,54,108,31,190,204,saab
100,54,102,33,187,196,saab
119,54,106,31,192,202,saab
89,38,80,41,192,197,saab
97,44,95,35,190,197,saab
108,53,104,31,189,199,saab
109,54,103,30,187,200,saab
93,44,98,36,195,204,saab
106,53,98,31,187,197,saab
100,43,92,36,195,205,saab
89,36,69,48,193,204,saab
85,38,75,46,183,188,saab
105,45,100,33,192,200,saab
107,56,104,31,189,196,saab
96,40,100,37,192,202,saab
87,38,71,49,181,186,saab
90,39,89,38,189,195,saab
86,40,66,49,186,190,saab
102,48,105,33,192,204,saab
93,47,88,38,195,202,saab
85,40,66,48,182,186,saab
83,37,54,52,180,184,saab
109,52,104,31,189,199,saab
86,38,86,39,191,199,saab
97,45,76,42,198,206,saab
90,43,72,42,203,209,saab
88,45,82,43,188,193,saab
93,39,86,39,197,204,saab
104,51,108,31,190,201,saab
87,41,66,46,181,185,saab
95,53,95,34,188,196,saab
105,54,100,30,187,199,saab
91,39,72,46,184,189,saab
87,37,60,52,186,192,saab
98,46,77,39,200,203,bus
96,47,77,38,199,203,bus
88,40,78,41,193,197,bus
86,42,65,45,179,183,bus
80,45,71,45,181,187,bus
82,44,72,44,183,187,bus
84,45,68,46,183,187,bus
89,40,72,45,192,196,bus
102,51,92,30,188,186,bus
85,45,70,45,181,186,bus
105,51,80,33,194,194,bus
99,48,79,35,195,195,bus
85,45,65,45,179,184,bus
85,43,64,46,180,184,bus
96,49,98,31,188,189,bus
107,57,102,28,187,187,bus
85,43,66,45,180,183,bus
85,43,69,44,181,184,bus
98,38,70,39,200,203,bus
95,36,73,41,199,204,bus
86,42,65,45,179,183,bus
114,57,102,26,182,184,bus
109,55,96,28,184,184,bus
91,42,81,38,198,204,bus
85,43,66,46,179,182,bus
86,45,71,45,187,191,bus
110,56,109,27,183,183,bus
86,42,64,46,179,182,bus
81,45,68,45,180,185,bus
90,42,63,45,180,184,bus
106,53,98,28,185,184,bus
85,41,66,45,184,191,bus
87,46,71,44,186,190,bus
85,43,66,46,179,182,bus
81,45,68,45,179,183,bus
81,43,68,45,182,185,bus
81,46,71,44,180,186,bus
86,45,70,45,180,183,bus
87,42,60,46,178,182,bus
89,40,76,44,193,197,bus
91,42,84,38,196,201,bus
85,42,66,45,180,182,bus
107,55,103,27,179,186,bus
110,56,103,26,184,183,bus
100,50,98,30,189,189,bus
94,43,68,46,198,203,bus
103,52,103,28,183,184,bus
109,55,102,27,184,183,bus
101,56,104,26,180,184,bus
90,41,71,44,192,197,bus
86,42,65,45,180,182,bus
86,45,71,45,189,196,bus
98,35,70,41,202,205,bus
83,42,71,45,184,190,bus
81,42,63,46,179,182,bus
94,39,75,42,192,200,bus
78,43,70,46,181,186,bus
96,37,74,39,196,200,bus
97,37,70,43,201,208,bus
87,44,65,46,179,182,bus
95,43,83,36,196,198,bus
92,39,76,43,195,200,bus
98,46,88,34,194,197,bus
80,43,68,46,179,184,bus
94,49,79,37,197,199,bus
93,47,84,36,198,201,bus
99,47,91,32,192,191,bus
94,37,72,41,200,204,bus
96,41,77,36,196,198,bus
97,47,88,33,192,191,bus
93,37,73,43,196,205,bus
88,44,71,46,188,193,bus
97,43,73,42,200,204,bus
100,36,73,40,200,204,bus
94,45,89,35,195,198,bus
86,43,68,44,188,192,bus
86,43,69,46,180,182,bus
101,54,106,28,185,185,bus
99,41,77,36,198,199,bus
111,58,105,26,181,183,bus
102,53,101,28,184,184,bus
104,49,89,31,190,189,bus
98,38,72,38,200,202,bus
92,37,75,40,195,202,bus
98,49,84,34,195,195,bus
84,42,76,44,187,193,bus
82,44,63,45,179,182,bus
89,41,75,43,188,195,bus
82,44,72,46,181,185,bus
97,45,72,40,196,203,bus
96,43,82,34,195,196,bus
81,44,72,44,182,186,bus
82,41,70,45,187,195,bus
89,44,68,45,179,182,bus
86,43,61,46,179,182,bus
101,53,91,32,192,192,bus
82,44,72,44,180,185,bus
81,43,68,46,179,184,bus
96,46,74,39,196,200,bus
82,45,68,45,181,184,bus
99,51,88,32,191,190,bus
85,44,66,45,180,183,bus
89,44,72,46,191,198,bus
109,52,95,29,187,186,bus
102,45,85,33,195,193,bus
100,50,81,34,197,198,bus
89,42,70,45,186,189,bus
88,46,74,43,189,195,bus
94,43,64,43,199,206,bus
102,54,98,29,188,187,bus
83,46,68,44,185,191,bus
82,43,73,44,183,188,bus
85,45,70,45,181,184,bus
86,45,73,44,189,196,bus
105,51,93,30,188,188,bus
96,36,74,43,201,205,bus
107,57,106,26,181,184,bus
86,46,73,45,180,184,bus
94,44,70,42,199,206,bus
82,45,66,45,181,185,bus
96,46,70,39,200,203,bus
97,38,75,37,197,199,bus
100,47,70,40,200,205,bus
100,49,80,35,198,199,bus
83,46,71,44,181,186,bus
79,43,72,44,182,188,bus
81,45,68,44,183,189,bus
86,43,66,44,181,185,bus
86,43,70,46,179,182,bus
93,45,86,35,194,197,bus
106,54,103,27,181,183,bus
81,43,68,46,180,184,bus
87,43,70,44,184,187,bus
82,45,68,46,181,184,bus
83,42,66,45,182,188,bus
100,51,89,32,193,193,bus
91,42,66,44,201,207,bus
85,42,66,46,180,182,bus
80,44,68,45,180,185,bus
107,55,98,27,186,184,bus
85,44,70,45,180,183,bus
106,54,105,27,181,182,bus
85,42,70,45,181,185,bus
106,54,100,27,182,182,bus
86,44,65,45,178,183,bus
97,49,76,36,197,200,bus
92,37,75,42,198,202,bus
79,47,74,43,183,189,bus
106,57,107,26,180,184,bus
89,41,76,42,191,195,bus
102,45,83,33,193,191,bus
81,44,68,45,179,183,bus
82,43,71,45,181,186,bus
99,38,74,39,200,202,bus
91,46,75,42,192,199,bus
89,44,70,47,193,199,bus
87,41,73,44,190,194,bus
81,46,71,44,182,187,bus
83,44,68,45,185,191,bus
87,42,70,45,185,188,bus
85,43,66,45,180,183,bus
108,56,102,28,186,185,bus
94,37,73,42,197,206,bus
91,45,76,44,195,201,bus
95,47,73,38,200,206,bus
87,39,74,45,195,200,bus
83,41,70,46,188,195,bus
84,43,76,43,185,190,bus
93,49,79,37,197,202,bus
88,43,70,44,186,189,bus
113,57,109,26,182,183,bus
83,46,73,45,185,191,bus
85,43,66,46,179,181,bus
87,43,65,46,180,182,bus
87,44,70,45,194,201,bus
84,45,66,46,184,188,bus
95,43,71,45,195,200,bus
98,52,86,33,194,195,bus
87,41,76,45,188,195,bus
85,42,66,46,180,182,bus
87,39,70,46,192,199,bus
86,47,75,43,188,194,bus
105,50,93,30,186,184,bus
94,45,72,41,193,198,bus
80,44,68,45,180,185,bus
81,47,69,44,183,188,bus
84,44,65,46,179,183,bus
100,48,95,32,192,194,bus
91,40,76,44,192,200,bus
85,42,64,46,179,182,bus
88,39,70,44,193,201,bus
86,46,70,45,183,188,bus
86,44,70,45,181,183,bus
80,43,68,45,179,183,bus
83,44,70,46,188,193,bus
84,47,75,43,185,192,bus
100,58,109,30,187,198,opel
97,48,105,33,193,202,opel
77,38,75,46,181,187,opel
95,42,96,37,193,200,opel
97,47,81,39,192,198,opel
93,34,66,51,201,207,opel
84,38,60,50,185,188,opel
103,56,100,31,186,194,opel
109,48,107,32,195,206,opel
78,36,51,57,177,184,opel
95,46,105,33,191,202,opel
89,41,75,46,184,188,opel
88,35,50,59,182,187,opel
78,36,60,55,178,185,opel
98,55,101,30,187,195,opel
84,39,90,37,190,198,opel
104,57,103,30,186,196,opel
81,38,53,51,177,184,opel
91,46,101,34,186,194,opel
90,36,78,42,192,198,opel
92,46,79,41,191,198,opel
95,48,104,32,186,193,opel
94,39,89,38,201,209,opel
99,46,105,34,194,205,opel
91,41,93,36,193,200,opel
101,53,108,31,190,201,opel
96,48,83,39,195,201,opel
103,48,96,32,188,196,opel
91,38,76,40,189,198,opel
86,37,77,43,186,191,opel
96,55,98,31,185,193,opel
104,54,91,31,187,196,opel
88,44,71,48,188,197,opel
101,48,107,32,190,202,opel
104,58,103,30,187,196,opel
100,51,109,30,189,199,opel
103,54,91,31,186,198,opel
99,55,101,30,187,196,opel
104,52,110,30,188,198,opel
100,52,109,30,188,199,opel
86,40,75,48,183,190,opel
91,45,75,44,193,198,opel
89,50,83,37,189,194,opel
80,38,64,51,179,188,opel
109,49,103,32,192,201,opel
101,56,100,32,186,193,opel
104,56,96,30,186,195,opel
97,59,108,30,186,198,opel
102,52,101,33,193,203,opel
88,36,78,48,194,202,opel
79,40,80,47,181,193,opel
90,41,78,48,192,197,opel
95,49,92,37,198,206,opel
89,36,72,48,187,192,opel
94,46,79,40,191,198,opel
94,37,74,41,198,204,opel
85,40,66,44,180,183,opel
85,39,77,45,184,193,opel
102,51,108,31,191,201,opel
85,38,72,51,188,198,opel
103,56,105,32,188,196,opel
87,49,86,37,192,199,opel
99,50,88,35,194,201,opel
82,40,73,44,181,187,opel
105,52,107,31,191,203,opel
97,48,94,36,199,203,opel
107,52,101,33,197,206,opel
99,57,109,30,188,200,opel
80,34,42,59,179,183,opel
101,55,105,31,186,195,opel
103,54,107,30,187,201,opel
101,55,101,30,186,198,opel
101,52,105,31,186,194,opel
100,45,100,32,189,195,opel
77,38,63,52,183,187,opel
98,58,101,30,185,196,opel
96,55,103,32,186,194,opel
103,54,107,30,189,200,opel
104,52,101,33,195,204,opel
90,40,83,37,187,193,opel
87,44,98,35,187,194,opel
100,44,93,35,193,198,opel
97,37,78,41,203,211,opel
105,56,98,31,188,199,opel
88,39,88,40,186,192,opel
93,35,66,46,197,202,opel
82,39,86,45,183,189,opel
95,51,96,35,191,198,opel
100,51,109,30,189,198,opel
107,53,103,32,191,201,opel
95,45,80,40,199,204,opel
103,50,98,34,198,204,opel
97,46,101,35,191,200,opel
101,55,107,30,187,201,opel
103,48,101,33,192,202,opel
95,57,104,31,186,193,opel
103,57,105,30,187,195,opel
79,39,72,48,181,189,opel
106,52,107,33,194,201,opel
102,43,96,36,195,204,opel
88,40,79,38,189,199,opel
95,43,96,35,190,197,opel
101,56,100,31,185,192,opel
85,38,63,55,195,201,opel
105,54,96,30,187,195,opel
93,45,73,42,195,201,opel
103,41,83,38,197,206,opel
86,41,66,50,180,187,opel
104,52,96,35,193,200,opel
97,55,96,31,184,193,opel
92,42,69,48,199,206,opel
89,36,69,50,193,203,opel
87,45,82,42,190,196,opel
100,49,96,35,197,205,opel
88,44,77,44,202,208,opel
93,35,78,45,191,198,opel
92,39,91,37,192,200,opel
73,37,53,55,176,184,opel
90,39,86,41,185,191,opel
87,38,85,40,198,205,opel
94,38,84,39,190,195,opel
106,53,98,31,188,198,opel
92,46,82,40,200,208,opel
80,37,57,54,178,184,opel
104,55,105,32,189,196,opel
87,45,77,44,184,189,opel
86,44,77,44,187,192,opel
92,42,75,45,206,211,opel
103,55,100,31,187,194,opel
88,34,69,48,204,210,opel
102,52,98,31,187,196,opel
84,38,66,54,185,190,opel
97,37,76,41,188,192,opel
93,42,88,36,189,197,opel
88,40,69,51,193,200,opel
102,54,100,31,187,195,opel
89,40,69,50,203,209,opel
85,37,80,44,191,197,opel
85,36,78,45,197,203,opel
107,45,92,35,195,203,opel
91,35,66,45,197,203,opel
98,55,108,30,187,198,opel
84,38,74,49,183,191,opel
98,48,101,31,189,196,opel
98,45,76,42,190,196,opel
101,56,100,30,186,197,opel
86,39,84,43,183,190,opel
102,54,98,31,187,198,opel
106,49,107,31,192,206,opel
89,36,77,42,198,205,opel
101,53,103,34,191,198,opel
98,54,104,32,186,195,opel
89,47,81,41,187,193,opel
80,36,69,53,183,191,opel
93,35,72,44,203,210,opel
104,55,109,30,191,202,opel
89,42,75,46,191,198,opel
96,47,103,33,187,194,opel
106,55,96,30,186,196,opel
93,43,78,44,193,197,opel
109,51,100,34,196,202,opel
101,51,105,32,186,195,opel
111,54,103,30,190,198,opel
92,52,93,35,188,195,opel
104,57,103,30,186,195,opel
107,56,105,30,189,196,opel
96,54,104,31,186,194,opel
99,55,101,30,186,196,opel
88,38,77,41,192,198,opel
106,55,98,31,189,201,opel
84,40,71,45,180,186,opel
100,55,101,30,188,197,opel
96,52,104,33,192,201,opel
97,41,92,37,197,204,opel
98,55,101,31,188,197,opel
97,50,108,31,188,197,opel
101,49,103,33,189,196,opel
83,39,69,49,187,190,opel
85,36,72,54,184,194,opel
102,54,101,30,189,198,opel
106,53,98,30,188,197,opel
99,57,100,30,185,198,opel
103,55,103,31,188,196,opel
106,49,96,36,202,209,opel
108,51,103,31,190,200,opel
97,55,103,31,185,194,opel
76,38,58,51,177,184,opel
91,49,86,37,192,198,opel
89,44,82,45,188,193,opel
99,52,104,32,187,194,opel
102,54,98,31,186,196,opel
