@relation vehicle

@attribute Circularity numeric
@attribute Scatter_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Gyration_radius numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
43,149,19,140,207,van
37,115,17,144,190,van
42,135,18,155,185,van
41,140,18,149,185,van
39,114,17,145,202,van
37,138,18,124,195,van
43,136,18,167,209,van
35,131,18,115,201,van
47,156,20,182,202,van
47,157,20,176,192,van
40,122,17,143,208,van
46,159,20,176,197,van
48,162,20,184,197,van
39,119,17,141,207,van
41,128,18,157,208,van
46,157,20,184,200,van
43,130,18,156,194,van
41,123,17,150,188,van
47,155,19,178,196,van
45,155,20,177,192,van
47,152,19,184,197,van
47,147,19,181,198,van
47,160,20,174,193,van
48,156,19,187,196,van
37,122,17,135,185,van
47,161,20,185,191,van
40,146,19,137,206,van
40,139,19,148,183,van
37,119,17,129,190,van
43,138,18,174,201,van
46,163,20,170,196,van
43,155,19,174,196,van
48,157,20,186,195,van
40,131,18,156,184,van
44,158,20,154,202,van
43,154,19,164,196,van
46,157,20,192,200,van
38,142,18,138,196,van
37,123,17,133,183,van
36,118,17,138,183,van
48,161,20,186,193,van
42,123,17,160,198,van
37,122,17,146,184,van
46,156,20,177,191,van
45,151,19,171,205,van
43,155,19,165,196,van
46,162,20,172,193,van
46,159,20,189,194,van
47,159,20,185,198,van
40,137,18,139,183,van
48,153,19,200,194,van
40,146,19,157,199,van
40,132,18,157,183,van
42,128,18,159,196,van
41,144,19,127,207,van
45,143,19,179,196,van
42,134,18,170,201,van
42,130,18,161,210,van
49,158,20,186,194,van
40,118,17,153,199,van
48,161,20,186,195,van
35,117,17,139,184,van
43,139,18,172,185,van
48,157,20,187,191,van
34,122,17,112,208,van
44,135,18,162,191,van
39,117,17,148,194,van
39,137,18,124,209,van
46,147,19,199,200,van
36,118,17,136,183,van
37,132,18,124,192,van
37,130,18,121,203,van
46,155,19,182,202,van
42,148,19,147,199,van
40,127,17,150,210,van
44,153,19,143,203,van
44,157,20,175,195,van
39,133,18,150,182,van
43,150,19,143,206,van
40,132,18,158,183,van
47,156,20,188,193,van
37,120,17,147,183,van
41,146,19,161,197,van
39,128,18,142,187,van
44,136,18,166,187,van
46,151,19,182,199,van
40,132,18,157,183,van
47,156,20,178,195,van
38,130,18,123,194,van
46,157,20,177,191,van
43,139,18,172,199,van
41,145,19,140,207,van
42,151,19,163,199,van
50,187,22,195,206,saab
54,221,25,202,199,saab
37,154,19,144,195,saab
33,115,17,127,185,saab
41,141,18,169,209,saab
53,212,24,223,197,saab
53,211,24,210,203,saab
45,163,20,179,208,saab
49,176,21,222,195,saab
39,146,19,149,189,saab
51,191,22,194,205,saab
47,171,21,169,210,saab
40,152,19,160,187,saab
49,208,24,184,202,saab
38,154,19,130,195,saab
37,158,20,144,196,saab
50,214,24,203,202,saab
48,169,20,190,201,saab
43,144,19,174,201,saab
49,212,24,215,199,saab
39,163,20,158,192,saab
53,220,25,214,199,saab
48,207,24,200,203,saab
53,204,23,224,201,saab
54,214,24,212,202,saab
37,157,20,115,209,saab
36,157,19,123,204,saab
54,220,25,214,201,saab
36,150,19,131,203,saab
51,220,25,202,200,saab
50,177,21,197,201,saab
52,215,24,212,199,saab
48,201,23,178,204,saab
55,211,24,223,196,saab
41,150,19,173,185,saab
46,166,20,175,207,saab
37,134,18,146,185,saab
51,213,24,190,199,saab
46,203,23,210,199,saab
37,132,18,142,187,saab
37,159,20,134,197,saab
48,175,21,187,210,saab
40,177,21,165,205,saab
36,125,18,128,184,saab
54,213,24,232,202,saab
40,142,19,164,186,saab
51,214,24,194,206,saab
46,158,20,181,199,saab
49,185,22,178,208,saab
52,216,24,214,201,saab
51,196,23,184,208,saab
38,170,21,138,199,saab
45,187,22,158,211,saab
50,181,21,220,199,saab
46,160,20,184,191,saab
51,208,24,221,197,saab
54,218,24,216,197,saab
36,121,17,132,195,saab
53,206,23,202,205,saab
40,169,20,133,210,saab
50,207,23,220,196,saab
55,218,24,229,199,saab
45,160,20,188,199,saab
53,220,25,214,199,saab
38,137,18,145,186,saab
38,169,20,141,199,saab
42,144,19,170,189,saab
36,128,18,139,183,saab
50,208,24,186,202,saab
51,204,23,195,197,saab
37,164,20,139,197,saab
47,199,23,165,208,saab
51,210,24,222,196,saab
45,192,22,195,197,saab
39,169,20,149,195,saab
47,164,20,190,193,saab
40,177,21,155,196,saab
55,219,25,216,197,saab
39,128,18,158,204,saab
55,214,24,221,194,saab
42,186,22,168,206,saab
38,170,21,144,204,saab
51,195,22,219,201,saab
56,221,25,214,197,saab
55,206,23,220,196,saab
37,135,18,144,184,saab
53,219,25,212,199,saab
54,222,25,200,201,saab
44,183,22,152,204,saab
53,216,24,218,197,saab
54,213,24,222,196,saab
46,191,22,169,200,saab
51,213,24,217,198,saab
37,128,18,132,192,saab
50,187,22,214,201,saab
34,116,17,127,189,saab
38,153,19,137,192,saab
54,218,24,217,198,saab
43,149,19,165,191,saab
39,175,21,154,195,saab
41,148,19,178,185,saab
55,215,24,214,199,saab
36,160,20,139,203,saab
38,147,19,145,188,saab
51,188,22,231,199,saab
37,157,20,125,208,saab
45,198,23,186,200,saab
47,173,21,205,202,saab
42,140,18,158,205,saab
42,178,21,138,208,saab
53,222,25,201,203,saab
53,220,25,214,199,saab
54,214,24,212,201,saab
39,151,19,140,196,saab
54,218,25,216,199,saab
54,215,24,228,201,saab
41,175,21,147,205,saab
38,161,20,137,197,saab
54,208,24,218,199,saab
36,135,18,148,195,saab
52,197,23,234,198,saab
45,161,20,174,201,saab
45,157,20,169,206,saab
53,213,24,221,198,saab
38,144,19,149,191,saab
54,213,24,221,198,saab
38,148,19,157,183,saab
40,133,18,166,191,saab
43,186,22,166,199,saab
38,142,19,146,185,saab
46,197,23,198,197,saab
40,160,20,155,191,saab
50,211,24,188,200,saab
53,217,24,209,201,saab
34,133,18,125,206,saab
53,215,24,218,197,saab
54,216,24,220,195,saab
38,149,19,149,191,saab
53,221,25,212,201,saab
52,188,22,203,202,saab
55,222,25,213,199,saab
49,206,23,215,198,saab
40,174,21,160,200,saab
43,154,19,158,209,saab
39,172,21,152,194,saab
44,188,22,175,197,saab
54,218,25,224,204,saab
53,207,23,216,205,saab
46,198,23,195,205,saab
35,122,17,128,184,saab
38,142,19,145,183,saab
43,180,21,153,205,saab
47,168,20,185,198,saab
36,135,18,144,182,saab
54,207,24,238,200,saab
37,129,18,140,184,saab
53,219,25,198,203,saab
53,217,24,222,206,saab
51,217,24,203,201,saab
52,208,24,197,198,saab
36,153,19,124,211,saab
44,185,22,165,199,saab
48,203,23,183,204,saab
56,219,25,217,196,saab
43,152,19,187,198,saab
40,150,19,173,185,saab
37,135,18,143,185,saab
47,198,23,191,198,saab
49,207,24,213,202,saab
40,137,18,151,190,saab
44,152,19,177,187,saab
52,212,24,220,205,saab
52,221,25,200,205,saab
38,146,19,158,185,saab
51,196,23,201,205,saab
36,155,19,123,201,saab
35,116,17,128,190,saab
52,217,24,214,197,saab
53,193,22,237,196,saab
39,175,21,156,198,saab
54,222,25,213,200,saab
33,112,17,127,183,saab
53,216,24,196,199,saab
45,154,19,170,193,saab
36,140,18,138,195,saab
54,198,23,240,196,saab
39,166,20,131,205,saab
41,136,18,162,189,saab
51,183,22,230,196,saab
53,211,24,218,197,saab
38,149,19,153,193,saab
37,125,18,145,188,saab
46,193,22,160,203,saab
49,207,24,168,207,saab
48,197,23,174,197,saab
43,148,19,171,182,bus
55,241,26,242,184,bus
46,166,20,180,203,bus
41,148,19,152,195,bus
42,149,19,163,182,bus
45,184,22,183,197,bus
43,150,19,175,182,bus
47,167,20,182,203,bus
43,150,19,172,182,bus
42,149,19,158,190,bus
36,149,19,127,205,bus
52,192,22,221,195,bus
41,148,19,152,195,bus
43,150,19,173,184,bus
42,149,19,156,188,bus
45,192,22,163,193,bus
43,150,19,176,184,bus
57,260,28,261,183,bus
44,184,22,154,197,bus
44,150,19,176,183,bus
43,152,19,171,187,bus
47,153,19,199,189,bus
39,148,19,143,201,bus
42,155,19,157,193,bus
57,262,28,260,184,bus
54,225,25,231,187,bus
45,148,19,186,183,bus
44,149,19,171,182,bus
42,149,19,160,182,bus
56,239,26,228,185,bus
44,143,18,170,193,bus
45,148,19,184,184,bus
45,151,19,187,186,bus
38,164,20,129,203,bus
43,153,19,172,204,bus
55,252,28,239,186,bus
44,151,19,190,185,bus
45,145,19,177,188,bus
42,150,19,171,182,bus
45,147,19,184,184,bus
44,151,19,178,183,bus
41,150,19,157,197,bus
37,154,19,132,206,bus
43,149,19,172,184,bus
46,151,19,198,186,bus
42,149,19,172,182,bus
47,154,19,184,192,bus
37,151,19,119,208,bus
48,185,22,171,195,bus
49,190,22,209,195,bus
42,149,19,172,182,bus
43,149,19,171,182,bus
38,171,20,137,199,bus
38,166,20,138,202,bus
42,148,19,174,182,bus
42,152,19,172,183,bus
38,151,19,139,204,bus
43,177,21,163,198,bus
40,172,21,141,201,bus
52,208,24,218,191,bus
47,202,23,186,191,bus
46,152,19,192,195,bus
45,146,19,189,191,bus
43,151,19,176,184,bus
40,146,19,145,196,bus
44,153,19,178,206,bus
53,204,23,214,192,bus
41,153,19,154,195,bus
42,150,19,159,188,bus
55,240,26,245,184,bus
50,218,24,213,189,bus
42,151,19,157,193,bus
43,147,19,168,186,bus
45,157,19,183,201,bus
44,153,19,178,186,bus
43,150,19,164,192,bus
44,148,19,185,183,bus
52,227,25,217,186,bus
56,251,27,268,183,bus
47,176,21,201,201,bus
43,151,19,160,189,bus
41,144,19,147,195,bus
47,162,20,172,205,bus
37,165,20,136,200,bus
45,152,19,179,183,bus
47,154,19,190,194,bus
43,150,19,173,186,bus
36,156,19,124,204,bus
37,151,19,135,205,bus
45,151,19,176,187,bus
45,150,19,179,201,bus
44,152,19,177,185,bus
43,148,19,174,181,bus
37,158,19,127,204,bus
44,144,19,172,193,bus
49,174,21,206,199,bus
41,157,19,153,195,bus
42,147,19,153,189,bus
43,150,19,176,183,bus
41,151,19,152,194,bus
42,171,20,161,201,bus
43,150,19,176,184,bus
44,143,18,173,203,bus
42,149,19,172,182,bus
42,145,19,159,207,bus
43,148,19,171,182,bus
43,152,19,168,189,bus
54,250,27,262,182,bus
48,199,23,200,194,bus
57,234,26,229,187,bus
51,201,23,205,193,bus
43,142,18,177,203,bus
39,152,19,143,200,bus
51,195,22,188,194,bus
51,184,21,198,199,bus
49,178,21,186,200,bus
51,203,23,219,190,bus
43,149,19,171,184,bus
40,149,19,144,200,bus
43,150,19,171,185,bus
43,151,19,168,183,bus
57,255,28,264,183,bus
49,173,21,194,202,bus
44,148,19,185,183,bus
56,250,27,239,183,bus
58,265,29,255,183,bus
55,241,26,247,183,bus
46,150,19,183,191,bus
43,150,19,177,182,bus
43,145,19,171,200,bus
47,167,20,185,206,bus
53,237,26,222,184,bus
37,161,20,135,202,bus
45,194,22,167,191,bus
42,149,19,165,209,bus
45,151,19,186,184,bus
45,151,19,186,185,bus
43,186,22,162,196,bus
44,154,19,177,187,bus
43,153,19,174,188,bus
44,146,19,178,201,bus
42,152,19,173,184,bus
43,150,19,177,206,bus
54,247,27,243,182,bus
38,164,20,137,202,bus
40,158,20,148,197,bus
43,151,19,173,188,bus
58,261,28,257,182,bus
41,177,21,151,199,bus
44,141,18,173,199,bus
45,148,19,185,185,bus
46,167,20,171,203,bus
46,148,19,183,191,bus
45,186,22,182,198,bus
44,152,19,177,183,bus
44,150,19,173,185,bus
57,257,28,261,184,bus
43,152,19,179,184,bus
45,148,19,186,182,bus
39,155,19,145,200,bus
47,197,23,201,191,bus
49,212,24,198,189,bus
44,155,19,166,206,bus
47,151,19,195,188,bus
42,150,19,172,182,bus
46,153,19,191,186,bus
46,154,19,192,199,bus
54,236,26,253,185,bus
44,147,19,180,191,bus
43,152,19,173,185,bus
41,176,21,151,197,bus
45,156,19,191,198,bus
56,257,28,230,184,bus
41,177,21,148,198,bus
50,186,22,198,198,bus
51,209,24,214,189,bus
40,150,19,151,200,bus
57,256,28,261,181,bus
49,183,21,198,199,bus
44,151,19,185,182,bus
45,146,19,180,187,bus
39,143,18,141,199,bus
37,154,19,127,202,bus
45,146,19,176,196,bus
46,163,20,191,200,bus
50,222,25,206,184,bus
41,149,19,155,191,bus
43,150,19,173,183,bus
57,257,28,232,184,bus
51,217,24,208,188,bus
45,149,19,186,184,bus
54,247,27,242,183,bus
46,151,19,189,190,bus
39,145,19,139,200,bus
38,160,20,133,205,bus
42,150,19,172,185,bus
40,150,19,148,197,bus
44,149,19,168,193,opel
45,150,19,180,198,opel
36,123,17,121,185,opel
38,139,18,127,191,opel
46,193,22,161,202,opel
38,169,20,155,195,opel
43,189,22,166,197,opel
55,215,24,221,193,opel
39,162,20,147,191,opel
55,222,25,213,196,opel
52,202,23,192,206,opel
54,215,24,222,194,opel
35,147,19,123,203,opel
53,216,24,187,201,opel
43,149,19,168,203,opel
52,189,22,240,195,opel
42,140,18,151,206,opel
55,212,24,219,194,opel
36,131,18,139,187,opel
54,223,25,200,201,opel
42,178,21,149,200,opel
37,161,20,136,192,opel
55,225,25,204,198,opel
37,162,20,130,204,opel
48,205,23,197,196,opel
37,126,18,147,184,opel
42,145,19,166,198,opel
39,176,21,151,200,opel
47,200,23,200,194,opel
38,132,18,141,188,opel
38,134,18,148,184,opel
40,140,18,162,190,opel
57,224,25,213,198,opel
35,114,17,138,187,opel
51,212,24,184,201,opel
49,181,21,180,209,opel
41,175,21,138,206,opel
52,214,24,189,198,opel
39,168,20,151,192,opel
40,147,19,144,193,opel
56,214,24,224,192,opel
50,214,24,218,197,opel
41,135,18,165,187,opel
55,224,25,217,198,opel
38,134,18,123,198,opel
48,200,23,164,202,opel
52,193,22,244,199,opel
34,130,18,114,207,opel
54,222,25,203,198,opel
53,209,24,212,201,opel
36,120,17,135,184,opel
37,154,19,145,191,opel
46,195,22,194,197,opel
58,226,25,207,198,opel
52,214,24,199,196,opel
39,172,21,121,209,opel
55,212,24,249,196,opel
50,185,22,193,201,opel
36,140,18,129,202,opel
49,178,21,171,206,opel
55,215,24,214,201,opel
54,219,25,217,195,opel
56,216,24,219,194,opel
45,188,22,159,203,opel
48,171,21,196,201,opel
39,150,19,133,193,opel
34,138,18,120,210,opel
48,207,23,193,196,opel
38,122,17,144,201,opel
48,205,23,202,193,opel
44,186,22,151,198,opel
55,210,24,245,197,opel
55,224,25,213,196,opel
47,161,20,197,193,opel
44,189,22,178,194,opel
38,126,18,139,190,opel
56,227,25,204,197,opel
54,200,23,214,198,opel
46,196,23,199,194,opel
58,219,25,246,196,opel
45,154,19,172,189,opel
46,167,20,193,198,opel
40,153,19,153,187,opel
38,167,20,145,198,opel
52,219,25,218,198,opel
51,211,24,187,200,opel
55,218,24,226,202,opel
36,138,18,130,192,opel
38,169,20,148,202,opel
38,133,18,146,183,opel
46,162,20,178,198,opel
35,142,18,120,202,opel
40,130,18,144,200,opel
55,223,25,218,196,opel
36,135,18,128,203,opel
55,215,24,219,194,opel
38,130,18,139,187,opel
49,201,23,174,196,opel
36,157,19,126,205,opel
55,218,24,210,197,opel
41,183,21,153,200,opel
53,220,25,214,197,opel
45,164,20,178,204,opel
38,164,20,130,205,opel
47,167,20,201,192,opel
44,162,20,180,199,opel
52,222,25,207,199,opel
45,201,23,189,195,opel
36,128,18,133,191,opel
42,183,21,168,197,opel
56,221,25,212,196,opel
34,114,17,121,183,opel
38,134,18,135,188,opel
39,153,19,139,189,opel
52,188,22,205,200,opel
40,178,21,157,193,opel
48,208,24,204,202,opel
55,225,25,204,201,opel
51,192,22,195,202,opel
40,176,21,150,199,opel
52,203,23,186,203,opel
44,151,19,177,208,opel
51,217,24,206,199,opel
39,156,20,157,190,opel
41,179,21,136,204,opel
49,186,22,176,205,opel
55,215,24,223,195,opel
57,227,25,205,198,opel
52,198,23,226,201,opel
55,222,25,211,197,opel
40,150,19,165,186,opel
45,156,19,174,196,opel
36,147,19,134,203,opel
41,146,19,156,188,opel
47,168,20,182,198,opel
49,214,24,172,206,opel
49,206,23,186,201,opel
50,193,22,185,204,opel
52,210,24,215,194,opel
54,218,24,196,196,opel
38,147,19,136,187,opel
46,201,23,201,202,opel
40,152,19,163,183,opel
44,152,19,161,192,opel
52,198,23,204,204,opel
54,219,25,223,196,opel
43,185,22,139,204,opel
38,161,20,132,206,opel
37,161,20,117,211,opel
54,220,25,198,198,opel
36,157,19,142,198,opel
48,181,21,189,203,opel
46,197,23,159,205,opel
51,209,24,224,195,opel
57,221,25,218,195,opel
56,208,24,223,193,opel
39,135,18,162,190,opel
53,195,22,210,198,opel
49,177,21,201,198,opel
52,212,24,204,194,opel
48,201,23,162,202,opel
39,177,21,145,198,opel
54,200,23,241,198,opel
54,213,24,217,195,opel
59,224,25,218,198,opel
54,221,25,201,198,opel
38,146,19,142,194,opel
46,192,22,169,200,opel
54,217,24,223,198,opel
55,219,25,216,194,opel
37,125,18,132,184,opel
53,217,24,191,198,opel
44,142,19,174,197,opel
55,221,25,214,196,opel
45,159,20,188,201,opel
48,205,23,168,206,opel
39,139,18,142,186,opel
46,165,20,164,208,opel
41,138,18,158,197,opel
55,204,23,246,194,opel
54,222,25,199,200,opel
55,205,23,216,196,opel
52,200,23,200,201,opel
42,147,19,160,211,opel
55,225,25,216,195,opel
38,163,20,140,198,opel
36,127,18,123,194,opel
49,208,24,183,200,opel
37,153,19,136,197,opel
51,206,23,193,196,opel
