@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
69,54,144,174,87,180,182,bus
70,72,144,171,67,199,206,bus
73,59,146,167,75,185,191,bus
71,66,144,167,72,189,196,bus
66,65,139,173,75,184,191,bus
75,64,145,175,75,185,192,bus
64,56,144,168,82,180,184,bus
65,56,150,168,83,178,183,bus
68,53,146,170,80,180,185,bus
68,69,144,169,80,181,184,bus
70,64,145,170,82,181,183,bus
80,70,156,206,73,198,199,bus
68,60,151,167,81,179,183,bus
65,53,141,175,85,179,183,bus
83,65,146,225,79,193,191,bus
103,52,160,254,82,183,184,bus
76,73,136,181,74,191,195,bus
72,71,144,178,70,196,203,bus
72,62,144,175,78,182,188,bus
73,68,145,181,80,183,188,bus
70,68,124,184,71,202,205,bus
88,62,158,222,77,191,190,bus
105,48,165,269,84,181,182,bus
71,60,146,170,81,180,184,bus
70,56,144,170,84,180,183,bus
68,59,145,170,80,180,185,bus
71,61,148,177,80,182,187,bus
86,69,145,203,72,194,197,bus
76,67,135,169,68,192,200,bus
72,64,144,181,80,183,187,bus
74,66,131,193,71,200,202,bus
72,63,135,175,72,192,196,bus
88,63,147,215,73,194,197,bus
75,70,131,184,71,198,202,bus
70,64,143,164,66,193,199,bus
106,57,164,256,81,185,185,bus
76,71,131,179,72,195,200,bus
98,47,164,263,82,185,184,bus
104,53,168,275,83,180,184,bus
65,54,140,171,85,180,182,bus
66,65,144,168,73,184,188,bus
71,70,147,174,80,181,186,bus
65,50,141,169,85,179,183,bus
89,65,159,219,74,193,193,bus
76,69,144,170,69,195,201,bus
68,53,147,169,81,179,184,bus
101,72,163,267,85,184,184,bus
68,50,147,171,88,179,182,bus
70,72,145,177,76,184,187,bus
106,50,169,280,85,181,183,bus
62,67,139,169,65,202,209,bus
63,54,147,166,81,179,182,bus
98,59,152,228,77,188,189,bus
102,51,165,265,84,184,183,bus
105,51,174,285,85,181,183,bus
85,64,146,217,76,195,193,bus
77,72,150,188,69,199,203,bus
76,67,140,171,72,188,195,bus
71,64,142,172,74,184,190,bus
82,60,144,181,70,190,196,opel
100,62,175,217,73,187,194,opel
105,69,173,226,73,187,195,opel
104,74,175,224,74,186,193,opel
109,68,165,241,73,188,199,opel
101,58,171,224,71,189,198,opel
71,56,143,159,68,188,197,opel
107,57,161,224,67,192,206,opel
82,54,144,170,68,188,193,opel
75,60,142,174,62,206,211,opel
53,54,128,135,82,176,184,opel
69,54,131,155,69,187,190,opel
103,63,162,210,68,191,198,opel
100,59,173,219,75,186,194,opel
100,62,178,231,73,186,197,opel
109,70,182,234,72,187,198,opel
78,61,127,166,69,187,194,opel
82,58,149,181,61,200,208,opel
72,53,132,145,65,188,198,opel
98,63,167,228,71,188,197,opel
83,59,152,195,67,195,201,opel
101,64,157,214,65,193,203,opel
91,62,137,196,67,192,200,opel
98,58,166,228,71,188,198,opel
81,64,150,193,70,192,198,opel
101,64,164,219,65,197,206,opel
92,62,154,200,64,198,206,opel
108,53,178,231,73,187,198,opel
76,61,134,196,71,189,198,opel
100,62,166,222,70,189,198,opel
101,68,178,228,74,187,196,opel
42,57,119,131,87,179,183,opel
108,70,186,225,70,186,198,opel
105,68,171,228,69,190,197,opel
83,63,142,199,65,197,206,opel
89,59,132,190,67,193,202,opel
103,50,172,227,69,190,198,opel
75,57,146,170,66,193,198,opel
69,56,143,170,63,198,203,opel
96,71,153,226,71,188,196,opel
77,62,125,174,63,198,205,opel
105,68,162,222,73,186,195,opel
73,57,133,173,75,181,187,opel
66,57,127,148,76,183,187,opel
72,56,125,144,70,184,194,opel
100,59,161,210,64,196,202,opel
96,63,156,202,62,197,205,opel
100,61,150,207,65,194,202,opel
93,62,147,202,66,193,198,opel
103,57,162,217,66,189,198,opel
103,65,165,229,72,188,196,opel
96,63,161,208,68,191,198,opel
107,54,159,214,66,191,200,opel
101,70,168,236,72,188,197,opel
98,71,164,228,71,187,196,opel
75,55,139,170,71,191,198,opel
96,74,172,223,73,186,195,opel
86,64,153,197,67,192,199,opel
84,55,130,196,69,190,195,opel
96,54,173,219,75,184,193,opel
103,69,176,231,71,187,196,opel
66,59,131,169,64,197,203,opel
53,59,128,152,87,177,183,opel
78,55,138,161,67,192,197,opel
101,61,152,227,71,189,196,opel
101,65,146,219,73,186,194,opel
69,58,137,155,61,203,209,opel
108,57,162,219,66,191,201,opel
104,58,175,221,75,186,194,opel
77,59,145,175,64,202,208,opel
96,61,158,197,62,202,209,opel
101,69,178,231,74,187,195,opel
77,60,141,174,72,187,192,opel
81,57,149,187,72,187,193,opel
103,65,166,227,74,186,194,opel
79,64,149,183,67,191,198,opel
92,63,140,197,63,197,204,opel
60,56,130,148,75,185,188,opel
50,58,122,132,74,182,187,opel
107,61,178,228,74,187,201,opel
79,62,148,190,67,191,198,opel
105,70,177,237,75,188,196,opel
98,54,175,226,76,185,193,opel
110,53,166,235,74,188,198,opel
77,59,134,176,73,184,193,opel
75,62,135,158,72,183,190,opel
91,57,170,220,72,186,198,opel
101,62,158,215,66,192,202,opel
66,55,136,154,74,180,187,opel
104,55,166,219,73,187,194,opel
60,56,124,141,78,178,185,opel
78,60,125,172,67,191,198,opel
73,59,146,182,65,195,201,opel
91,67,170,223,74,187,196,opel
80,55,135,172,76,181,193,opel
101,62,161,207,64,195,204,opel
94,63,155,200,64,199,203,opel
78,55,128,168,64,197,203,opel
69,58,138,165,64,199,206,opel
98,70,141,214,71,187,194,opel
100,54,188,223,72,185,198,opel
69,59,134,147,64,193,200,opel
96,59,161,206,67,193,200,opel
83,65,156,207,71,189,194,opel
103,60,160,222,67,190,200,opel
83,61,132,199,71,187,193,opel
80,66,143,189,66,194,199,opel
107,60,167,221,66,191,203,opel
60,56,131,151,80,179,186,opel
101,66,151,208,66,191,200,opel
100,55,175,219,74,185,192,opel
103,57,156,212,65,192,201,opel
107,56,174,225,70,187,201,opel
63,59,130,145,79,183,187,opel
98,53,174,228,72,187,198,opel
101,57,177,225,71,188,197,opel
86,54,134,174,71,183,189,opel
107,62,158,222,65,195,206,opel
88,64,159,209,66,194,201,opel
105,53,163,226,74,186,194,opel
66,56,120,151,62,201,207,opel
69,57,122,158,62,204,210,opel
57,55,125,142,81,178,184,opel
84,57,133,185,74,183,190,opel
80,62,145,188,65,199,204,opel
53,58,128,147,83,177,184,opel
96,63,142,202,65,195,204,opel
105,64,152,212,65,194,205,opel
72,62,124,169,62,203,210,opel
71,55,134,167,80,180,186,opel
76,60,131,189,72,188,192,opel
89,62,135,191,63,201,209,opel
105,61,179,234,72,189,196,opel
101,65,182,225,71,185,196,opel
98,63,161,214,64,198,204,opel
51,56,124,135,84,177,184,opel
66,62,132,144,70,185,190,opel
78,59,141,182,68,193,197,opel
103,67,156,215,69,189,196,opel
77,54,127,179,71,186,191,opel
88,62,141,208,70,189,197,opel
78,64,126,182,66,192,198,opel
107,68,154,232,70,190,202,opel
74,57,127,160,72,183,191,opel
105,67,163,214,68,190,198,opel
76,60,148,184,69,190,196,opel
109,70,163,238,73,189,198,opel
96,57,170,231,75,187,195,opel
100,53,173,219,76,187,195,opel
109,67,174,230,67,191,202,opel
104,52,164,217,69,188,196,opel
86,62,131,194,74,185,191,opel
86,63,156,203,67,192,198,opel
78,62,131,182,62,203,211,opel
104,67,163,217,67,192,201,opel
108,65,156,232,72,188,197,opel
75,56,137,170,76,184,188,opel
96,56,175,231,74,187,194,opel
105,59,177,221,74,186,195,opel
100,65,147,231,72,189,195,opel
88,69,133,199,74,186,192,opel
101,57,177,225,71,186,198,opel
85,61,129,186,63,198,205,opel
58,58,127,152,87,177,184,opel
72,56,126,163,72,187,192,opel
69,56,124,147,70,183,191,opel
66,59,128,162,64,197,202,opel
93,65,137,202,66,193,200,opel
107,63,180,234,72,186,198,opel
94,67,147,224,70,188,197,opel
109,66,176,234,70,188,200,opel
105,59,173,217,72,188,196,opel
96,65,141,199,67,193,200,opel
96,60,173,225,72,186,196,opel
83,60,147,197,73,187,192,opel
80,59,126,179,69,191,197,opel
98,62,161,216,69,190,199,opel
74,62,135,181,63,197,206,opel
98,68,170,222,68,189,201,opel
72,53,135,165,77,181,189,opel
98,64,173,225,72,188,199,opel
75,59,132,167,80,181,187,opel
64,59,126,152,76,179,188,opel
104,59,172,223,73,186,195,opel
79,62,138,200,66,189,199,opel
100,69,169,227,74,186,193,opel
103,69,176,228,73,186,196,opel
107,62,161,218,67,194,201,opel
77,56,129,184,67,192,198,opel
103,63,172,219,75,185,194,opel
98,56,171,219,72,186,196,opel
