@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Minor_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
93,82,43,160,371,77,183,194,van
86,76,47,131,301,71,189,196,van
93,85,44,158,355,74,183,195,van
86,60,55,134,212,61,200,207,van
86,44,57,121,208,90,180,183,van
91,64,51,142,249,68,194,201,van
89,85,43,158,362,75,183,193,van
93,85,43,157,354,76,184,196,van
86,68,48,143,285,69,192,201,van
95,83,42,159,379,70,187,197,van
93,63,50,136,260,67,193,201,van
96,80,46,148,316,64,199,207,van
96,70,50,141,269,80,183,183,van
89,70,49,146,273,78,186,187,van
85,75,44,165,358,77,182,191,van
90,78,43,160,370,76,183,192,van
90,62,52,141,246,61,201,208,van
94,68,52,132,242,66,195,196,van
86,69,48,134,284,71,189,195,van
83,59,52,137,250,84,177,183,van
90,72,48,144,283,65,196,203,van
90,81,44,156,333,75,185,195,van
85,51,57,124,207,81,181,184,van
85,64,57,125,200,65,196,203,van
93,85,44,147,339,67,195,204,van
91,78,45,152,323,70,189,200,van
90,85,43,167,365,75,182,192,van
89,66,51,144,254,73,188,191,van
90,73,42,153,376,77,183,191,van
89,74,49,133,278,72,189,193,van
85,47,57,122,203,89,180,184,van
89,60,56,137,209,65,193,199,van
95,82,46,145,314,64,199,207,van
87,64,50,141,265,67,193,201,van
87,66,47,148,294,73,188,196,van
90,73,43,158,373,76,182,193,van
94,66,50,135,265,62,201,208,van
88,58,52,130,243,63,199,206,van
90,72,49,145,279,64,201,209,van
90,57,51,139,261,85,183,182,van
90,85,42,160,389,73,185,195,van
91,70,47,139,296,67,192,202,van
94,87,43,162,366,75,183,194,van
88,66,54,144,227,66,193,198,van
94,84,44,170,351,77,182,191,van
93,64,49,136,279,67,193,204,van
94,91,43,155,358,69,190,200,van
89,76,44,151,352,76,184,193,van
92,60,58,132,194,72,190,194,van
88,84,44,150,350,73,185,196,van
91,80,44,145,331,70,189,199,van
88,60,52,129,246,62,202,209,van
83,49,55,128,219,85,180,184,van
90,85,43,167,375,74,185,195,van
86,62,54,127,223,64,200,208,van
89,70,53,128,237,64,199,207,van
90,75,43,161,369,77,182,192,van
97,87,43,149,359,68,192,202,van
91,82,46,137,308,68,191,201,van
92,66,50,140,277,85,182,183,van
93,90,44,156,348,66,194,203,van
82,70,48,145,289,99,190,199,van
88,55,53,139,249,87,176,183,van
86,66,54,139,225,63,202,208,van
95,84,46,148,312,64,199,206,van
88,85,43,155,363,76,184,195,van
91,84,45,143,330,72,189,199,van
97,66,52,129,246,66,195,200,van
89,58,54,140,225,63,199,206,van
89,63,55,137,223,76,186,188,van
83,62,55,129,218,79,181,185,van
90,81,45,149,332,91,186,196,van
94,82,43,149,359,74,186,197,van
90,85,44,155,345,73,186,197,van
85,57,58,135,195,64,197,202,van
91,77,48,139,289,62,201,209,van
98,68,51,142,261,75,186,186,van
88,51,57,128,207,86,179,183,van
83,53,53,140,247,86,176,183,van
90,80,43,156,366,74,185,193,van
89,85,44,144,345,72,187,197,van
86,62,57,135,203,64,199,204,van
94,85,44,156,357,73,187,195,van
91,66,53,144,237,72,191,194,van
86,70,50,130,266,66,194,202,van
95,76,44,149,339,71,187,200,van
89,79,46,139,311,71,188,197,van
85,68,51,130,253,65,195,203,van
89,51,56,127,213,82,181,183,van
85,71,46,147,307,72,187,196,van
89,83,43,163,364,97,184,194,van
92,62,52,139,241,62,204,210,van
86,58,57,134,204,69,190,194,van
96,58,52,139,255,86,181,182,van
94,66,50,127,258,66,196,201,van
85,82,43,156,362,76,183,193,van
98,78,47,148,300,63,201,207,van
94,85,43,157,367,68,189,199,van
87,81,45,152,325,72,188,198,van
93,78,48,145,281,63,203,210,van
91,76,51,135,256,69,191,192,van
95,66,52,140,253,78,184,183,van
93,70,53,137,238,71,191,190,van
88,53,57,128,204,88,180,183,van
89,78,43,160,367,73,185,194,van
96,64,52,141,258,80,183,184,van
92,58,55,132,222,64,197,203,van
89,80,43,163,369,77,182,193,van
90,66,48,146,281,67,193,202,van
89,81,44,163,352,76,184,193,van
90,77,44,164,354,78,182,191,van
84,70,49,140,278,64,196,205,van
89,68,47,130,291,73,189,196,van
84,80,44,157,349,74,183,193,van
94,87,43,161,363,75,184,195,van
90,86,44,156,346,118,185,194,van
85,73,46,148,307,71,190,199,van
95,76,42,155,381,74,184,193,van
93,70,53,145,240,74,189,190,van
93,78,48,140,290,64,201,208,van
89,84,44,160,354,74,182,192,van
85,68,53,135,241,75,182,187,van
90,69,49,145,272,75,187,191,van
94,82,43,160,367,76,183,192,van
89,85,44,151,349,74,186,197,van
96,88,43,148,354,69,194,202,van
93,64,49,142,268,71,192,201,van
91,88,45,157,326,64,197,207,van
87,64,50,142,264,67,193,201,van
85,80,45,148,324,71,188,199,van
90,78,43,159,374,75,184,193,van
95,104,35,148,543,68,190,200,saab
107,96,31,170,694,71,187,198,saab
111,108,32,167,636,64,196,205,saab
108,109,31,174,709,70,189,201,saab
108,103,32,162,648,71,189,197,saab
93,87,40,134,422,72,188,195,saab
93,90,36,156,506,70,189,196,saab
91,77,42,126,361,65,195,201,saab
106,108,31,168,709,73,190,205,saab
86,62,45,133,330,82,180,185,saab
97,96,36,144,512,66,191,199,saab
104,107,31,173,703,71,188,199,saab
89,77,46,146,308,64,194,201,saab
106,98,31,169,681,73,188,197,saab
104,100,33,158,583,70,191,198,saab
95,71,43,134,365,63,196,208,saab
103,106,33,149,612,70,191,199,saab
109,109,32,156,635,70,191,202,saab
102,101,30,177,719,71,187,199,saab
91,83,39,132,426,67,192,199,saab
92,83,41,148,382,71,186,191,saab
97,101,36,138,511,67,194,206,saab
93,76,44,143,335,69,189,194,saab
108,103,32,155,635,72,189,198,saab
91,88,38,132,457,69,191,198,saab
94,77,42,148,373,67,193,199,saab
93,88,38,151,452,66,195,202,saab
106,107,32,153,635,70,190,203,saab
96,74,42,134,378,69,190,197,saab
90,66,54,118,224,65,196,202,saab
109,96,33,150,586,70,190,198,saab
97,104,32,171,658,74,186,196,saab
106,101,30,173,721,70,187,201,saab
113,98,33,151,613,64,193,204,saab
90,66,47,124,298,61,201,207,saab
93,98,36,138,508,70,189,197,saab
91,75,47,131,305,69,186,191,saab
85,75,44,134,339,76,182,187,saab
87,71,49,127,277,75,181,186,saab
93,98,36,146,505,64,195,204,saab
99,105,32,165,623,68,191,201,saab
97,76,42,149,370,63,198,206,saab
108,100,34,159,576,65,194,205,saab
104,108,31,168,694,67,188,201,saab
101,108,31,168,684,71,188,199,saab
90,57,56,127,216,68,190,195,saab
104,106,32,158,635,73,188,196,saab
88,63,54,130,230,74,184,188,saab
89,77,41,151,390,66,194,201,saab
91,72,45,140,327,72,186,191,saab
89,69,48,131,291,66,193,204,saab
103,105,32,163,650,73,187,196,saab
95,95,34,160,559,71,188,196,saab
88,90,38,152,460,68,192,199,saab
96,69,47,141,297,61,202,209,saab
108,104,31,167,712,72,189,199,saab
91,83,47,128,298,63,193,200,saab
89,80,46,139,308,74,185,189,saab
101,98,34,161,572,67,192,201,saab
107,104,31,172,705,71,189,196,saab
87,60,52,129,243,71,186,192,saab
93,72,50,123,263,63,200,206,saab
85,75,46,131,318,75,183,188,saab
101,101,31,171,698,72,187,197,saab
104,101,32,166,664,74,188,198,saab
106,101,33,158,607,65,192,204,saab
104,100,31,173,686,74,185,195,saab
96,101,34,143,552,73,189,197,saab
90,90,36,158,492,69,191,199,saab
105,100,33,149,586,67,192,200,saab
109,109,31,169,712,72,188,201,saab
84,53,59,123,196,76,183,190,saab
89,83,40,150,402,72,187,193,saab
100,104,32,163,642,70,187,198,saab
92,78,43,128,349,60,203,211,saab
104,108,31,163,694,72,190,201,saab
95,81,39,152,425,67,191,198,saab
96,94,35,158,525,67,193,201,saab
97,105,30,167,713,70,186,200,saab
108,103,30,174,718,73,187,197,saab
102,104,32,162,621,68,188,197,saab
98,104,32,167,629,72,187,196,saab
84,83,45,132,327,74,185,191,saab
90,74,42,128,367,61,197,204,saab
88,58,46,131,319,86,180,183,saab
100,81,40,154,415,63,198,207,saab
85,50,59,118,193,83,179,185,saab
105,105,35,162,545,64,196,205,saab
87,74,44,136,337,70,187,196,saab
105,100,30,170,718,73,187,199,saab
89,52,55,125,220,82,181,184,saab
85,66,48,137,295,77,182,186,saab
91,83,38,134,445,72,188,194,saab
100,102,33,164,587,72,187,196,saab
109,103,31,167,677,70,188,201,saab
93,63,52,134,246,63,198,204,saab
84,75,48,125,290,71,189,195,saab
90,72,42,144,360,61,203,209,saab
103,106,32,168,660,73,187,197,saab
98,78,39,136,430,67,192,199,saab
93,81,41,147,383,70,192,199,saab
96,78,38,139,455,68,191,200,saab
83,54,52,127,245,81,180,184,saab
105,108,31,168,712,71,189,203,saab
103,100,35,160,518,62,198,208,saab
92,80,43,129,353,69,190,195,saab
115,100,30,166,710,71,189,199,saab
97,95,35,144,526,72,190,197,saab
106,106,32,158,645,68,190,202,saab
86,77,45,128,331,66,196,203,saab
90,85,41,131,396,71,186,192,saab
85,53,58,121,197,70,185,189,saab
89,82,43,129,351,70,187,192,saab
92,76,41,147,381,69,190,195,saab
91,98,38,135,465,66,195,205,saab
107,108,32,163,627,65,194,205,saab
101,105,34,150,578,66,192,205,saab
90,83,37,154,467,70,189,195,saab
101,101,35,162,527,67,193,202,saab
88,82,43,149,357,69,188,193,saab
78,63,47,130,299,77,181,185,saab
84,77,44,143,344,77,183,187,saab
112,110,31,159,676,71,191,202,saab
86,78,50,124,270,66,190,195,saab
107,108,31,170,700,67,190,204,saab
88,77,47,142,293,64,198,205,saab
91,83,41,133,383,72,186,191,saab
82,51,50,126,268,86,181,182,saab
102,105,33,152,600,64,192,204,saab
89,89,37,133,471,70,189,196,saab
89,77,45,129,327,71,188,193,saab
104,101,31,168,667,72,187,198,saab
100,104,34,147,578,73,189,197,saab
101,112,32,162,667,65,190,206,saab
86,66,49,136,274,74,183,189,saab
99,89,35,144,521,68,191,199,saab
82,66,52,127,252,72,183,187,saab
110,104,31,162,674,68,191,199,saab
91,72,44,133,334,63,196,205,saab
94,85,39,139,430,61,200,210,saab
104,96,35,156,527,65,195,206,saab
79,55,48,128,295,81,180,183,saab
87,66,46,136,318,79,181,185,saab
94,69,43,143,349,67,193,198,saab
112,104,32,159,639,67,191,202,saab
101,85,38,153,458,62,197,210,saab
95,105,36,150,520,64,198,211,saab
86,86,39,134,433,68,191,199,saab
98,101,33,152,584,68,189,197,saab
82,59,51,128,264,82,179,185,saab
88,57,50,125,265,83,180,184,saab
89,85,39,153,427,64,195,201,saab
115,100,34,162,573,62,198,208,saab
107,98,31,169,704,71,188,197,saab
83,54,50,127,271,85,180,183,saab
92,86,42,131,373,68,190,196,saab
108,105,33,164,608,68,190,200,saab
105,108,30,163,711,72,189,200,saab
109,109,31,169,675,68,189,202,saab
98,81,40,138,415,62,197,205,saab
90,85,41,125,385,66,195,203,saab
104,105,32,157,637,64,193,207,saab
86,66,49,133,279,74,186,190,saab
82,54,54,126,229,78,180,184,saab
108,103,30,168,711,73,188,199,saab
107,108,31,168,704,69,190,203,saab
104,101,31,172,669,74,187,196,saab
93,76,40,134,405,67,192,197,saab
93,86,39,134,418,63,197,204,saab
98,109,34,154,586,61,194,208,saab
86,63,50,135,262,70,187,191,saab
110,100,34,149,561,65,194,203,saab
104,108,31,172,707,71,189,203,saab
92,71,43,133,355,70,189,195,saab
85,72,50,135,260,68,191,195,saab
99,104,33,152,604,73,188,197,saab
107,103,31,162,673,72,188,198,saab
98,90,37,155,472,65,193,201,saab
90,80,42,132,373,60,201,209,saab
117,110,31,163,668,66,194,205,saab
105,106,32,166,640,69,189,199,saab
89,54,50,127,266,79,184,185,saab
107,103,30,172,709,70,187,197,saab
98,90,37,144,480,61,199,208,saab
108,109,31,171,687,72,189,201,saab
98,96,35,157,533,68,191,199,saab
91,79,40,148,404,62,199,208,saab
86,64,45,138,333,80,182,185,saab
107,98,31,167,696,72,187,199,saab
110,104,32,164,659,67,190,203,saab
90,89,38,132,458,70,189,195,saab
96,100,37,134,486,68,192,202,saab
80,63,46,130,314,83,180,185,saab
119,106,31,167,675,66,192,202,saab
85,40,61,119,184,86,181,183,saab
85,70,45,146,334,79,181,186,bus
83,73,45,146,327,75,185,191,bus
94,79,37,154,465,71,197,199,bus
86,70,45,146,331,77,183,188,bus
87,60,46,141,324,85,178,182,bus
82,66,45,144,326,119,181,185,bus
91,84,38,138,446,69,196,201,bus
83,71,45,142,331,74,184,190,bus
98,84,34,154,558,74,195,195,bus
92,75,40,128,393,69,195,202,bus
85,70,45,145,326,81,181,184,bus
98,77,37,139,457,72,199,201,bus
99,74,39,131,414,71,200,202,bus
86,69,46,144,325,87,180,182,bus
87,70,45,142,327,78,185,188,bus
95,73,41,126,374,71,199,204,bus
97,76,36,157,487,72,197,200,bus
109,96,28,170,857,85,184,184,bus
95,83,36,139,484,68,196,198,bus
86,70,45,144,324,84,180,183,bus
94,84,35,145,525,73,196,197,bus
102,85,33,146,570,76,195,193,bus
88,73,44,137,341,69,196,200,bus
86,65,45,150,331,83,178,183,bus
91,75,42,147,362,72,192,199,bus
95,73,38,152,430,69,200,206,bus
95,71,45,141,322,67,195,200,bus
82,73,44,143,341,76,185,189,bus
106,103,27,166,892,85,181,183,bus
90,71,44,138,336,71,192,197,bus
98,77,39,150,422,69,200,203,bus
82,72,44,144,350,80,183,187,bus
85,66,46,143,321,85,180,182,bus
79,74,43,149,349,77,183,189,bus
94,68,46,142,310,65,198,203,bus
99,77,36,139,485,72,198,199,bus
108,106,26,170,966,87,182,181,bus
81,68,44,146,336,75,183,189,bus
81,71,44,149,342,81,180,186,bus
94,64,43,142,344,68,199,206,bus
107,106,26,169,957,85,181,183,bus
107,102,28,171,822,77,187,187,bus
105,93,30,165,703,81,188,188,bus
101,62,43,139,341,65,202,209,bus
80,71,45,147,337,79,181,187,bus
94,75,42,133,365,70,192,200,bus
91,66,44,140,325,67,201,207,bus
89,76,42,136,373,74,191,195,bus
102,92,30,162,731,80,188,186,bus
98,84,35,161,520,72,196,199,bus
86,68,44,142,337,75,188,192,bus
100,98,30,156,719,77,189,189,bus
98,86,33,161,570,75,194,195,bus
99,79,35,153,524,74,195,195,bus
85,66,45,145,325,85,180,182,bus
82,70,45,138,328,72,187,195,bus
87,65,46,143,322,85,180,182,bus
82,63,45,147,329,81,179,182,bus
87,74,45,134,318,70,195,200,bus
96,74,39,128,419,72,196,200,bus
81,68,45,144,330,80,182,185,bus
85,70,45,145,328,82,181,185,bus
100,81,34,158,531,74,197,198,bus
93,86,35,145,523,72,194,197,bus
88,71,46,141,312,71,188,193,bus
89,75,43,136,352,72,188,195,bus
88,70,44,134,332,69,193,201,bus
96,77,38,150,429,69,199,203,bus
83,68,45,143,325,74,185,191,bus
87,70,46,136,307,69,192,199,bus
100,70,40,153,406,68,200,205,bus
82,72,44,147,340,82,180,185,bus
85,70,45,144,325,127,180,183,bus
86,73,45,147,334,82,180,184,bus
99,88,32,158,625,77,191,190,bus
105,80,33,159,579,75,194,194,bus
92,75,42,131,363,71,198,202,bus
83,66,45,144,333,78,182,188,bus
88,78,41,134,379,73,193,197,bus
86,66,46,145,321,86,179,182,bus
110,106,26,171,998,83,181,182,bus
83,71,44,147,338,80,181,186,bus
100,95,32,150,605,73,192,194,bus
100,75,36,138,479,72,197,197,bus
91,76,44,144,340,69,195,201,bus
93,73,43,131,347,68,196,205,bus
89,68,45,147,328,88,179,182,bus
104,94,31,161,666,76,193,191,bus
107,106,26,172,954,83,181,184,bus
79,72,44,144,344,78,182,188,bus
89,70,45,143,323,76,186,189,bus
103,103,28,160,816,82,183,184,bus
84,76,43,143,359,77,185,190,bus
96,82,34,141,534,75,195,196,bus
85,59,46,144,320,83,179,182,bus
86,75,43,146,356,74,188,194,bus
92,76,43,131,350,72,195,200,bus
81,68,45,151,333,81,179,183,bus
96,68,41,145,372,67,202,206,bus
90,63,45,142,336,81,180,184,bus
89,72,45,135,321,72,192,196,bus
85,66,46,141,317,88,180,182,bus
86,70,45,145,322,82,181,183,bus
113,109,26,175,982,85,182,183,bus
80,68,46,147,327,81,179,184,bus
101,104,26,168,956,83,180,184,bus
91,81,38,137,434,68,198,204,bus
87,71,44,146,343,73,186,190,bus
87,76,45,140,327,72,188,195,bus
84,76,44,143,339,75,187,193,bus
82,73,44,145,337,80,183,188,bus
106,107,26,171,987,86,180,184,bus
97,70,43,129,346,65,201,208,bus
81,69,44,147,340,75,183,188,bus
86,64,46,143,319,87,179,182,bus
100,80,35,156,517,73,198,199,bus
107,103,27,172,904,83,179,186,bus
88,70,46,143,311,68,196,203,bus
87,70,45,141,326,69,194,201,bus
85,65,45,145,332,81,179,184,bus
85,66,45,139,330,75,184,191,bus
86,65,45,140,327,85,180,182,bus
98,88,34,147,563,73,194,197,bus
108,102,28,167,855,82,186,185,bus
86,61,46,144,326,85,179,182,bus
106,98,28,164,838,82,185,184,bus
80,68,45,145,329,85,179,183,bus
89,76,44,136,342,72,193,197,bus
102,101,28,163,844,85,184,184,bus
88,70,44,143,342,76,186,189,bus
87,70,44,145,341,76,184,187,bus
86,66,44,142,340,81,181,185,bus
109,102,27,165,870,84,184,183,bus
98,72,38,131,427,70,200,202,bus
96,98,31,152,680,77,188,189,bus
96,70,39,148,427,69,200,203,bus
97,73,42,143,361,66,200,204,bus
94,70,42,144,361,67,199,206,bus
81,71,44,148,347,80,182,187,bus
114,102,26,169,968,85,182,184,bus
88,74,43,148,349,71,189,195,bus
107,98,27,168,866,80,186,184,bus
87,76,42,138,362,76,189,193,bus
81,68,45,147,335,88,180,185,bus
98,70,39,136,413,71,200,203,bus
82,68,46,143,320,80,181,184,bus
85,66,46,147,324,87,179,182,bus
90,79,40,130,393,66,198,205,bus
82,71,45,143,330,78,181,186,bus
89,72,46,147,312,69,191,198,bus
94,72,41,133,385,70,200,204,bus
83,70,46,143,306,69,188,193,bus
94,72,41,144,373,69,193,198,bus
106,100,27,162,923,88,182,182,bus
101,91,32,161,636,78,192,192,bus
83,68,44,146,336,74,185,191,bus
111,105,26,174,1018,85,181,183,bus
102,83,33,146,576,79,193,191,bus
84,70,45,146,332,81,181,184,bus
94,73,42,127,362,67,197,206,bus
109,95,29,158,776,82,187,186,bus
85,66,45,146,326,83,180,183,bus
106,105,27,165,891,84,181,182,bus
86,70,46,145,317,86,179,182,bus
84,68,46,142,317,75,183,187,bus
80,68,45,146,333,80,180,185,bus
93,79,37,158,463,70,197,202,bus
82,72,46,143,317,81,181,185,bus
85,66,45,143,333,86,180,183,bus
85,64,46,144,324,82,180,184,bus
84,65,46,148,325,82,179,183,bus
105,93,30,159,735,83,186,184,bus
86,71,45,146,321,71,187,191,bus
86,65,45,141,332,85,179,183,bus
102,98,29,165,766,79,188,187,bus
98,70,41,124,371,71,202,205,bus
100,89,32,159,622,74,193,193,bus
97,88,33,148,596,74,192,191,bus
80,68,45,145,329,80,180,185,bus
85,69,44,145,341,84,181,184,bus
94,89,35,145,533,71,195,198,bus
81,68,45,147,333,86,179,183,bus
91,76,44,135,332,68,192,200,bus
90,75,43,131,345,66,195,204,bus
100,73,40,127,401,72,200,204,bus
92,74,41,143,375,70,195,201,bus
97,72,40,144,399,70,196,203,bus
83,70,46,141,309,71,188,195,bus
80,71,45,146,330,81,180,184,bus
85,66,46,145,319,85,179,182,bus
104,89,31,153,682,78,190,189,bus
96,77,36,134,485,74,196,198,bus
99,92,31,159,671,78,191,189,bus
87,65,46,144,321,87,179,182,bus
86,73,44,145,335,71,189,196,bus
85,64,46,146,323,85,179,182,bus
89,75,46,139,312,71,191,198,opel
99,100,33,166,600,70,189,198,opel
97,78,41,131,389,62,203,211,opel
80,57,54,125,229,81,178,184,opel
97,96,31,173,685,75,184,193,opel
104,105,32,169,623,71,189,196,opel
105,98,31,173,696,72,188,199,opel
89,78,46,127,314,69,187,194,opel
97,81,39,150,426,70,192,198,opel
92,91,37,137,466,67,192,200,opel
93,78,44,141,342,68,193,197,opel
98,101,30,182,748,71,185,196,opel
88,79,38,138,462,66,189,199,opel
85,72,54,125,233,70,184,194,opel
103,105,30,173,706,73,187,195,opel
92,75,45,142,322,62,206,211,opel
107,103,31,162,676,66,189,198,opel
101,105,32,162,653,73,186,195,opel
101,107,32,154,641,70,190,202,opel
98,104,32,172,665,73,186,195,opel
100,109,30,162,704,72,189,199,opel
84,71,45,134,330,80,180,186,opel
101,100,32,169,651,74,186,193,opel
92,69,48,138,290,64,199,206,opel
85,66,44,133,340,87,180,183,opel
109,103,32,156,630,65,192,201,opel
104,103,30,176,716,71,187,196,opel
89,72,48,126,286,72,187,192,opel
103,107,30,174,729,70,187,201,opel
98,108,30,178,737,73,187,198,opel
102,98,31,174,692,72,187,198,opel
82,53,51,128,259,87,177,183,opel
85,80,44,126,348,69,191,197,opel
94,79,40,148,418,67,191,198,opel
107,92,35,148,526,64,195,203,opel
95,96,37,141,474,67,193,200,opel
98,101,30,178,748,74,187,195,opel
92,74,41,135,388,63,197,206,opel
82,73,44,133,342,75,181,187,opel
91,66,45,131,322,64,197,203,opel
106,96,30,173,717,72,186,196,opel
86,77,44,141,345,72,187,192,opel
100,109,30,163,722,73,189,198,opel
87,82,42,144,366,70,190,196,opel
98,101,31,152,650,71,189,196,opel
99,101,30,178,737,74,187,196,opel
89,80,40,143,396,66,194,199,opel
106,98,31,170,679,68,189,201,opel
102,108,31,162,663,66,191,201,opel
86,75,48,135,290,72,183,190,opel
105,105,33,163,597,68,190,198,opel
101,108,31,172,685,68,190,201,opel
86,84,43,133,358,74,183,190,opel
103,101,33,158,595,66,192,202,opel
101,107,30,178,730,74,187,201,opel
103,107,30,174,728,67,189,200,opel
109,107,32,158,624,65,195,206,opel
93,78,45,125,331,67,191,198,opel
102,100,31,173,669,76,187,195,opel
106,98,31,166,693,71,188,198,opel
89,69,50,137,260,61,203,209,opel
101,100,31,175,681,74,185,192,opel
87,85,40,129,402,63,198,205,opel
97,103,31,172,677,75,185,194,opel
103,105,32,173,648,72,188,196,opel
103,107,32,159,644,66,191,200,opel
98,101,31,168,661,72,188,197,opel
86,89,39,132,428,67,193,202,opel
95,105,33,148,602,69,191,202,opel
93,72,44,124,334,62,203,210,opel
101,101,30,177,741,71,186,198,opel
73,53,55,128,227,82,176,184,opel
91,76,40,134,415,71,189,198,opel
103,100,31,175,666,73,187,194,opel
93,88,36,141,504,70,189,197,opel
99,88,35,159,517,66,194,201,opel
98,76,42,148,371,69,190,196,opel
92,69,44,143,333,63,198,203,opel
88,88,40,133,416,74,186,192,opel
96,103,33,147,598,73,187,194,opel
100,109,30,182,752,72,187,198,opel
100,93,35,147,521,66,193,198,opel
105,96,30,170,706,75,187,195,opel
104,96,30,172,713,73,186,195,opel
86,66,52,127,252,76,183,187,opel
95,104,31,175,670,74,186,193,opel
100,101,30,177,731,71,188,197,opel
85,77,45,134,331,73,184,193,opel
103,103,31,165,673,72,188,196,opel
91,101,34,146,574,73,186,194,opel
76,58,51,127,259,87,177,184,opel
104,103,30,176,708,73,186,196,opel
104,91,31,170,697,74,187,196,opel
97,92,37,140,481,63,197,204,opel
103,83,38,142,455,65,197,206,opel
99,104,32,166,657,73,187,194,opel
94,74,41,133,394,63,198,204,opel
97,105,33,155,602,64,193,202,opel
95,96,35,161,543,68,191,198,opel
91,93,36,137,504,66,193,200,opel
103,100,31,173,684,75,186,194,opel
77,75,46,132,315,80,181,187,opel
92,79,41,149,396,67,191,198,opel
99,109,30,176,725,70,188,200,opel
99,105,34,152,575,65,194,205,opel
79,72,48,135,295,77,181,189,opel
88,69,51,134,252,64,193,200,opel
108,103,31,160,661,67,190,200,opel
104,110,30,166,711,74,188,198,opel
80,42,59,119,191,87,179,183,opel
105,100,34,150,557,65,194,202,opel
104,105,30,177,737,75,188,196,opel
97,108,31,156,683,72,188,197,opel
79,80,47,135,311,76,181,193,opel
106,96,36,158,494,62,202,209,opel
88,78,48,123,287,66,194,202,opel
106,98,30,167,710,71,188,197,opel
88,50,59,122,192,74,182,187,opel
106,107,31,161,670,67,192,206,opel
95,92,37,154,478,64,198,206,opel
87,77,44,145,350,75,184,189,opel
102,101,30,171,728,71,189,198,opel
107,105,30,179,725,72,189,196,opel
78,60,55,124,221,78,178,185,opel
89,75,46,137,317,76,184,188,opel
96,103,32,166,624,74,186,194,opel
100,109,30,165,731,73,188,199,opel
97,94,34,147,573,70,188,197,opel
88,77,44,145,343,64,202,208,opel
92,93,35,161,536,72,188,195,opel
91,75,44,146,335,66,193,198,opel
97,108,30,186,732,70,186,198,opel
81,53,51,128,259,83,177,184,opel
93,73,42,146,379,65,195,201,opel
108,105,30,171,709,69,190,197,opel
78,51,57,124,209,84,177,184,opel
101,103,34,162,571,68,191,198,opel
111,103,30,172,727,69,190,198,opel
100,104,32,164,631,69,188,196,opel
102,98,31,171,706,72,186,196,opel
96,104,33,163,589,67,192,201,opel
88,77,41,129,395,67,192,198,opel
84,74,49,127,282,72,183,191,opel
105,96,30,175,713,74,187,194,opel
77,63,52,130,247,79,183,187,opel
101,105,31,163,669,74,186,194,opel
103,98,34,161,567,64,198,204,opel
107,103,32,163,653,66,191,201,opel
90,78,48,138,284,67,192,197,opel
93,66,51,120,251,62,201,207,opel
104,103,30,177,718,72,186,195,opel
87,86,37,153,471,67,192,199,opel
89,83,37,156,481,71,189,194,opel
102,96,36,142,513,65,195,204,opel
104,96,35,161,530,67,193,200,opel
100,96,35,156,519,62,197,205,opel
80,60,49,131,281,80,179,186,opel
99,100,30,188,726,72,185,198,opel
96,104,31,175,682,75,186,194,opel
109,100,34,161,553,64,196,202,opel
