@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Major_variance numeric
@attribute Minor_variance numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
105,105,57,224,661,197,saab
104,101,63,218,664,198,saab
107,103,56,226,673,198,saab
87,74,58,174,337,196,saab
95,105,64,202,520,211,saab
84,77,59,175,344,187,saab
90,74,60,177,367,204,saab
91,83,59,190,426,199,saab
107,104,71,226,705,196,saab
101,85,60,192,458,210,saab
104,108,59,232,694,201,saab
85,66,58,164,295,186,saab
101,108,69,229,684,199,saab
93,63,58,149,246,204,saab
104,101,65,216,667,198,saab
97,96,63,202,512,199,saab
87,60,57,154,243,192,saab
96,100,58,205,486,202,saab
100,81,61,189,415,207,saab
110,104,57,226,674,199,saab
85,50,53,136,193,185,saab
85,75,54,171,318,188,saab
90,80,58,172,373,209,saab
97,104,71,222,658,196,saab
93,76,57,172,335,194,saab
90,72,59,174,360,209,saab
91,75,53,165,305,191,saab
90,66,59,165,298,207,saab
85,40,57,130,184,183,saab
108,109,55,229,687,201,saab
110,104,66,223,659,203,saab
108,109,57,229,709,201,saab
97,105,71,226,713,200,saab
93,72,56,158,263,206,saab
91,98,64,194,465,205,saab
105,100,69,232,718,199,saab
104,100,59,218,583,198,saab
100,104,60,222,578,197,saab
106,98,60,224,681,197,saab
115,100,60,207,573,208,saab
96,94,67,214,525,201,saab
94,88,60,188,435,204,saab
115,100,64,229,710,199,saab
100,102,65,224,587,196,saab
82,51,53,150,268,182,saab
107,98,65,229,696,199,saab
95,104,66,210,543,200,saab
89,52,57,139,220,184,saab
102,101,67,226,719,199,saab
88,57,62,151,265,184,saab
91,77,56,177,361,201,saab
93,86,59,186,418,204,saab
90,85,59,189,396,192,saab
91,72,60,166,334,205,saab
116,110,67,231,692,206,saab
89,82,59,179,351,192,saab
93,98,63,206,508,197,saab
101,101,72,232,698,197,saab
80,63,55,168,314,185,saab
97,101,59,208,511,206,saab
90,85,64,187,385,203,saab
83,54,57,143,238,183,saab
94,77,60,181,373,199,saab
104,106,66,223,635,196,saab
91,79,59,184,404,208,saab
112,104,58,223,639,202,saab
106,98,54,235,691,197,saab
113,98,62,216,613,204,saab
87,66,58,164,318,185,saab
99,105,66,221,623,201,saab
98,104,67,223,629,196,saab
98,90,61,189,480,208,saab
79,55,55,153,295,183,saab
92,83,56,185,382,191,saab
107,108,64,216,627,205,saab
86,62,62,165,330,185,saab
86,78,58,155,270,195,saab
91,83,60,197,445,194,saab
96,78,58,197,455,200,saab
107,108,63,228,704,203,saab
102,106,68,228,638,200,saab
104,100,66,224,680,194,saab
115,100,62,229,697,197,saab
109,104,60,220,691,199,saab
89,80,59,186,389,197,saab
104,105,54,220,641,197,saab
108,103,64,224,711,199,saab
109,109,68,226,675,202,saab
99,104,63,221,604,197,saab
102,104,67,220,621,197,saab
108,109,61,229,665,199,saab
93,87,64,200,422,195,saab
105,108,62,232,711,200,saab
83,54,61,152,271,183,saab
109,96,64,219,586,198,saab
101,101,62,208,527,202,saab
92,76,57,184,381,195,saab
86,66,59,162,279,190,saab
85,72,59,159,260,195,saab
98,81,64,184,415,205,saab
89,85,64,188,427,201,saab
89,77,64,190,390,201,saab
106,107,61,227,635,203,saab
119,106,65,223,675,202,saab
89,69,63,164,291,204,saab
90,90,61,211,492,199,saab
108,104,56,226,712,199,saab
90,57,57,137,216,195,saab
105,108,70,226,687,201,saab
112,110,56,232,676,202,saab
82,66,54,148,252,187,saab
98,90,63,195,472,201,saab
93,90,69,211,506,196,saab
111,103,60,223,663,200,saab
111,108,61,217,636,205,saab
97,88,59,192,459,205,saab
90,83,63,205,467,195,saab
113,93,62,221,688,199,saab
84,53,57,135,196,190,saab
96,74,68,183,378,197,saab
104,101,64,218,669,196,saab
100,88,60,186,440,210,saab
83,54,55,146,245,184,saab
93,81,64,180,383,199,saab
88,58,60,163,319,183,saab
96,69,56,162,297,209,saab
108,103,62,227,635,198,saab
110,102,64,222,669,198,saab
95,95,65,220,559,196,saab
82,59,63,151,264,185,saab
99,89,63,210,521,199,saab
106,106,64,224,645,202,saab
95,81,59,196,425,198,saab
106,108,64,229,709,205,saab
85,53,58,137,197,189,saab
110,100,61,209,561,203,saab
94,69,59,175,349,198,saab
108,103,73,232,718,197,saab
104,96,65,207,527,206,saab
92,71,66,181,355,195,saab
88,77,58,165,293,205,saab
92,78,57,169,349,211,saab
101,112,59,223,667,206,saab
88,90,60,200,460,199,saab
89,70,64,164,299,199,bus
84,66,65,168,312,188,bus
92,75,70,184,363,202,bus
101,62,67,169,341,209,bus
109,95,58,262,776,186,bus
87,65,56,169,322,182,bus
96,98,59,228,680,189,bus
88,78,73,185,379,197,bus
96,74,74,185,408,200,bus
89,72,63,175,321,196,bus
86,65,50,169,332,183,bus
97,70,66,167,346,208,bus
102,101,72,267,844,184,bus
101,91,65,231,636,192,bus
88,70,74,180,342,189,bus
99,92,65,232,671,189,bus
102,98,61,246,766,187,bus
86,64,54,170,319,182,bus
83,66,67,174,333,188,bus
82,66,126,237,326,185,bus
87,70,72,177,341,187,bus
86,71,66,167,322,196,bus
82,68,69,169,322,184,bus
114,102,52,287,968,184,bus
100,70,70,179,406,205,bus
91,84,75,189,446,201,bus
86,65,56,168,331,183,bus
81,68,69,186,335,185,bus
94,79,71,196,465,199,bus
104,89,54,238,682,189,bus
98,72,69,189,427,202,bus
98,84,74,208,558,195,bus
106,105,48,269,891,182,bus
100,89,65,219,622,193,bus
93,79,65,189,463,202,bus
85,66,54,169,324,182,bus
80,71,60,170,330,184,bus
94,70,72,171,361,206,bus
96,77,64,205,485,198,bus
98,86,69,212,570,195,bus
86,66,56,177,340,185,bus
87,70,61,164,307,199,bus
81,69,64,171,340,188,bus
81,72,60,180,347,186,bus
86,70,56,166,317,182,bus
94,84,74,208,525,197,bus
86,66,57,170,321,182,bus
81,71,56,172,342,186,bus
109,102,51,265,870,183,bus
82,72,64,181,350,187,bus
97,72,71,178,399,203,bus
80,68,59,170,329,185,bus
110,109,57,272,928,183,bus
78,70,65,169,319,186,bus
85,59,58,166,320,182,bus
90,79,69,178,393,205,bus
84,76,75,180,359,190,bus
83,71,64,172,331,190,bus
86,61,53,169,326,182,bus
113,109,56,288,982,183,bus
99,88,62,222,625,190,bus
83,71,70,174,338,186,bus
88,70,66,167,332,201,bus
111,105,51,285,1018,183,bus
91,76,69,170,340,201,bus
90,75,64,168,345,204,bus
81,71,61,177,347,187,bus
85,66,54,168,320,181,bus
81,68,64,175,330,185,bus
92,76,71,179,350,200,bus
82,73,68,181,337,188,bus
86,65,53,175,335,183,bus
98,84,72,199,520,199,bus
96,70,70,183,427,203,bus
104,94,66,227,666,191,bus
100,98,63,232,719,189,bus
85,69,62,178,341,184,bus
84,75,64,175,354,192,bus
106,98,47,263,838,184,bus
105,93,54,254,735,184,bus
86,75,68,176,356,194,bus
94,75,72,175,365,200,bus
99,79,68,202,524,195,bus
92,75,71,180,393,202,bus
89,68,50,171,328,182,bus
89,72,66,166,312,198,bus
98,70,68,189,413,203,bus
83,70,65,168,309,195,bus
82,63,54,166,329,182,bus
82,71,68,171,330,186,bus
82,72,61,173,317,185,bus
108,106,51,285,966,181,bus
101,106,57,256,833,185,bus
87,70,59,177,327,188,bus
86,73,57,170,334,184,bus
81,68,57,169,323,184,bus
83,73,59,167,327,191,bus
94,72,69,181,373,198,bus
98,70,68,184,371,205,bus
91,76,67,169,332,200,bus
81,68,73,173,336,189,bus
81,68,62,172,323,184,bus
106,103,47,266,892,183,bus
110,103,64,280,928,183,bus
98,77,61,197,457,201,bus
86,70,64,170,322,183,bus
89,75,66,175,352,195,bus
83,68,59,172,336,191,bus
84,70,54,173,332,184,bus
96,82,55,215,534,196,bus
110,106,51,278,998,182,bus
81,68,60,167,333,183,bus
100,73,73,189,401,204,bus
94,72,72,184,385,204,bus
98,77,71,184,422,203,bus
97,73,65,176,361,204,bus
85,64,56,168,324,184,bus
94,89,71,204,533,198,bus
96,68,70,179,372,206,bus
107,106,50,280,957,183,bus
102,83,65,225,576,191,bus
105,80,71,214,579,194,bus
90,71,68,175,336,197,bus
103,103,52,254,816,184,bus
96,77,72,188,429,203,bus
100,80,70,206,517,199,bus
82,73,65,178,341,189,bus
99,77,69,202,485,199,bus
86,73,63,170,335,196,bus
85,66,65,173,330,191,bus
94,64,69,169,344,206,bus
88,73,68,174,341,200,bus
106,100,67,280,923,182,bus
100,81,67,206,531,198,bus
85,66,56,166,319,182,bus
79,74,61,175,349,189,bus
87,70,75,167,326,201,bus
86,68,62,179,337,192,bus
93,86,69,203,523,197,bus
87,76,67,171,327,195,bus
95,73,73,184,374,204,bus
87,60,51,169,324,182,bus
85,66,55,172,326,183,bus
93,84,71,190,476,201,bus
89,76,76,174,342,197,bus
82,70,64,172,328,195,bus
86,70,65,170,331,188,bus
100,95,68,216,605,194,bus
102,85,64,217,570,193,bus
87,76,65,184,362,193,bus
85,66,53,173,325,182,bus
89,76,73,181,373,195,bus
80,68,53,170,333,185,bus
96,74,70,178,341,205,bus
84,68,64,168,317,187,bus
91,81,69,184,434,204,bus
85,70,56,177,328,185,bus
86,71,70,172,321,191,bus
85,66,53,169,321,182,bus
87,73,64,175,341,194,bus
89,70,62,176,323,189,bus
105,93,51,240,703,188,bus
85,70,103,241,325,183,bus
86,70,56,170,324,183,bus
92,74,74,179,375,201,bus
88,74,68,180,349,195,bus
81,63,55,166,320,182,bus
108,102,75,264,855,185,bus
107,103,49,269,904,186,bus
85,66,54,172,317,182,bus
106,107,67,285,987,184,bus
91,75,75,178,362,199,bus
88,71,70,167,312,193,bus
85,66,58,170,323,183,bus
101,104,53,275,956,184,bus
109,96,57,267,857,184,bus
82,72,52,174,340,185,bus
98,88,63,215,563,197,bus
97,88,60,214,596,191,bus
85,70,54,169,326,184,bus
107,102,55,243,822,187,bus
97,75,68,199,450,199,bus
100,75,71,204,479,197,bus
83,68,61,170,325,191,bus
95,73,70,184,430,206,bus
84,76,64,179,339,193,bus
99,91,74,234,629,191,bus
102,92,60,247,731,186,bus
95,71,64,169,322,200,bus
87,65,56,170,321,182,bus
87,71,66,175,343,190,bus
86,65,54,171,327,182,bus
88,70,61,163,311,203,bus
80,71,56,171,337,187,bus
99,74,66,193,414,202,bus
90,63,55,173,336,184,bus
97,103,63,219,677,194,opel
103,105,59,217,648,196,opel
88,78,62,161,287,202,opel
103,101,62,215,595,202,opel
104,110,53,235,711,198,opel
101,105,59,221,678,195,opel
101,107,68,232,641,202,opel
87,98,70,214,535,194,opel
103,100,59,219,684,194,opel
104,109,67,230,706,202,opel
101,100,62,231,757,197,opel
105,105,67,214,597,198,opel
96,83,59,195,438,201,opel
98,101,65,225,748,196,opel
99,105,64,212,575,205,opel
102,101,64,214,616,203,opel
92,69,56,170,333,203,opel
100,107,63,234,756,198,opel
97,108,65,232,683,197,opel
99,100,62,222,600,198,opel
105,107,60,221,701,203,opel
101,100,69,227,651,193,opel
106,96,61,197,494,209,opel
107,103,66,222,653,201,opel
87,86,64,197,471,199,opel
106,107,62,218,602,201,opel
90,83,61,199,472,193,opel
88,71,56,159,296,197,opel
107,105,61,234,725,196,opel
98,76,60,184,371,196,opel
89,78,61,166,314,194,opel
98,101,61,227,650,196,opel
90,78,64,182,367,198,opel
85,77,59,176,331,193,opel
103,83,63,199,455,206,opel
93,88,62,208,504,197,opel
87,77,59,181,350,189,opel
99,109,66,234,725,200,opel
93,73,59,182,379,201,opel
102,98,56,219,706,196,opel
92,82,58,181,409,208,opel
104,96,74,223,713,195,opel
101,103,67,215,601,196,opel
92,75,60,174,322,211,opel
84,60,56,148,261,188,opel
97,101,66,208,546,200,opel
100,101,57,225,731,197,opel
105,96,57,231,706,195,opel
89,77,62,174,367,205,opel
88,79,62,200,462,199,opel
91,93,65,202,504,200,opel
85,80,59,179,348,197,opel
104,103,69,228,708,196,opel
94,79,62,190,418,198,opel
80,69,56,147,240,191,opel
78,60,56,141,221,185,opel
97,105,64,212,602,202,opel
86,66,55,154,266,187,opel
94,74,59,178,394,204,opel
95,80,62,188,406,204,opel
105,100,61,207,557,202,opel
97,94,67,224,573,197,opel
99,104,55,219,657,194,opel
95,104,67,227,628,193,opel
76,58,58,152,259,184,opel
100,100,65,231,611,195,opel
99,101,62,225,722,196,opel
100,109,67,238,704,199,opel
102,100,53,219,669,195,opel
88,69,57,158,284,210,opel
86,77,54,179,352,191,opel
107,103,57,217,676,198,opel
95,105,68,223,602,202,opel
103,107,56,225,729,201,opel
86,89,59,190,428,202,opel
108,105,68,228,709,197,opel
107,92,62,202,526,203,opel
85,72,56,144,233,194,opel
104,91,67,223,697,196,opel
86,84,57,185,358,190,opel
89,80,66,189,396,199,opel
93,66,56,151,251,207,opel
106,98,63,228,710,197,opel
84,71,55,167,330,186,opel
94,89,62,191,444,209,opel
98,101,69,231,748,195,opel
87,82,60,181,366,196,opel
82,86,54,174,338,189,opel
91,76,61,196,415,198,opel
95,92,62,200,478,206,opel
93,78,59,182,342,197,opel
89,69,57,154,266,203,opel
93,83,60,197,417,192,opel
96,98,54,226,683,193,opel
96,103,65,227,624,194,opel
98,108,53,231,737,198,opel
95,96,65,217,534,197,opel
97,94,63,200,494,203,opel
111,103,50,227,727,198,opel
104,101,62,207,587,204,opel
92,74,62,181,388,206,opel
101,103,63,210,571,198,opel
99,88,64,209,517,201,opel
85,78,55,168,321,203,opel
109,107,62,222,624,206,opel
103,107,54,214,644,200,opel
100,109,68,241,731,199,opel
89,69,58,155,260,209,opel
90,78,55,161,284,197,opel
97,108,70,225,732,198,opel
89,82,54,170,332,193,opel
101,108,54,220,685,201,opel
104,103,72,223,718,195,opel
100,109,70,234,752,198,opel
97,81,64,193,426,198,opel
91,75,57,170,335,198,opel
98,104,59,223,665,195,opel
100,104,52,217,631,196,opel
103,96,71,226,633,196,opel
102,98,71,228,682,196,opel
100,109,70,238,722,198,opel
103,100,62,217,666,194,opel
88,77,56,184,395,198,opel
103,105,69,226,706,195,opel
91,101,65,219,574,194,opel
89,83,65,207,481,194,opel
105,96,56,231,713,194,opel
105,98,64,225,696,199,opel
88,88,69,199,416,192,opel
109,103,57,212,630,201,opel
104,105,68,221,623,196,opel
92,93,67,214,536,195,opel
93,66,59,162,304,202,opel
97,96,54,219,685,193,opel
90,86,62,194,388,191,opel
95,96,63,208,543,198,opel
102,96,63,202,513,204,opel
86,77,60,174,345,192,opel
80,42,57,131,191,183,opel
104,103,69,231,716,196,opel
84,90,60,209,469,198,opel
73,53,54,135,227,184,opel
91,98,62,216,562,199,opel
82,53,59,152,259,183,opel
100,93,62,202,521,198,opel
106,98,58,228,693,198,opel
96,104,67,217,589,201,opel
101,105,68,222,653,195,opel
86,66,57,148,252,187,opel
95,96,65,199,474,200,opel
84,66,62,144,232,190,opel
99,101,68,228,737,196,opel
82,73,57,173,342,187,opel
79,72,53,165,295,189,opel
94,84,55,196,430,195,opel
91,66,59,169,322,203,opel
83,69,54,155,274,190,opel
95,104,74,224,670,193,opel
108,103,60,222,661,200,opel
103,91,57,220,707,198,opel
101,105,53,226,669,194,opel
80,60,56,151,281,186,opel
100,96,63,202,519,205,opel
106,107,57,224,670,206,opel
102,101,58,224,728,198,opel
85,66,52,170,340,183,opel
96,103,69,220,598,194,opel
84,74,57,160,282,191,opel
77,75,59,167,315,187,opel
102,108,57,219,663,201,opel
107,101,64,219,610,206,opel
97,76,60,189,391,192,opel
77,63,59,145,247,187,opel
96,104,58,221,682,194,opel
91,86,63,203,473,198,opel
93,78,60,172,331,198,opel
106,96,60,225,717,196,opel
101,100,55,219,681,192,opel
85,63,55,137,219,201,opel
80,64,59,152,259,188,opel
88,50,58,132,192,187,opel
103,107,64,221,728,200,opel
85,72,53,145,261,198,opel
92,91,62,196,466,200,opel
89,81,57,187,388,193,opel
102,98,53,228,692,198,opel
87,85,61,186,402,205,opel
93,72,62,169,334,210,opel
81,53,58,147,259,184,opel
104,105,70,237,737,196,opel
89,75,55,170,312,198,opel
