@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
58,7,54,199,206,van
56,11,43,184,195,van
56,7,52,184,186,van
64,7,49,187,191,van
64,9,44,192,199,van
51,7,51,185,185,van
68,9,49,192,201,van
56,5,57,181,184,van
65,9,46,199,207,van
68,10,43,194,202,van
58,11,43,182,193,van
59,8,52,204,210,van
58,10,43,183,192,van
60,9,50,192,195,van
52,8,52,184,183,van
65,9,48,193,202,van
59,8,47,189,196,van
60,6,51,195,203,van
56,10,44,182,191,van
60,10,43,185,196,van
55,11,43,182,192,van
67,9,46,194,202,van
64,10,43,184,195,van
58,9,44,186,197,van
54,10,44,184,193,van
68,10,46,191,201,van
58,11,42,183,191,van
56,8,52,186,187,van
61,9,45,189,200,van
55,11,44,185,196,van
62,5,58,190,194,van
52,7,50,182,184,van
53,7,52,177,183,van
56,6,56,193,199,van
64,10,43,183,194,van
56,11,43,183,193,van
55,11,44,182,192,van
64,8,48,196,203,van
52,5,53,182,187,van
67,9,43,192,200,van
63,10,43,189,199,van
49,7,51,186,186,van
60,11,43,184,193,van
63,8,46,195,203,van
58,7,53,199,207,van
97,46,45,186,196,van
69,12,31,188,201,saab
56,11,31,188,198,saab
53,5,50,184,185,saab
60,11,35,196,205,saab
54,7,45,185,191,saab
62,10,31,188,197,saab
57,11,31,186,197,saab
71,12,30,186,200,saab
63,12,31,189,203,saab
62,11,31,188,199,saab
62,7,45,180,185,saab
62,9,33,193,204,saab
63,9,36,189,197,saab
66,10,32,188,196,saab
56,8,43,188,193,saab
65,12,31,192,202,saab
61,11,32,193,207,saab
58,7,38,191,200,saab
56,6,50,200,206,saab
63,9,38,191,198,saab
58,7,52,198,204,saab
58,5,54,184,188,saab
67,9,35,193,201,saab
59,5,50,191,195,saab
59,9,33,191,198,saab
65,8,39,192,199,saab
71,11,31,189,196,saab
62,8,38,189,195,saab
60,12,31,189,199,saab
56,11,32,187,196,saab
64,9,33,190,198,saab
62,10,36,195,205,saab
61,10,32,190,203,saab
59,7,47,201,207,saab
60,7,39,195,204,saab
62,9,39,200,210,saab
64,12,32,194,205,saab
56,7,44,182,187,saab
63,10,33,188,197,saab
60,10,35,198,208,saab
68,8,42,190,197,saab
60,8,42,193,199,saab
55,7,46,180,185,saab
57,7,41,190,195,saab
54,10,31,187,197,saab
68,10,32,189,199,saab
61,10,31,185,195,saab
54,8,46,194,201,saab
60,10,31,188,197,saab
64,10,33,192,204,saab
56,11,31,189,199,saab
66,7,38,195,202,saab
59,7,41,192,197,saab
59,10,32,191,202,saab
65,12,31,194,205,saab
63,11,30,188,199,saab
66,11,31,188,201,saab
59,9,39,197,204,saab
63,6,48,193,204,saab
66,10,31,185,194,saab
51,6,47,181,185,saab
65,11,31,187,198,saab
70,12,31,189,201,saab
71,9,32,186,196,saab
58,8,37,192,202,saab
62,6,50,180,184,saab
63,8,35,191,199,saab
69,12,31,188,199,saab
68,11,31,188,199,saab
65,9,33,189,197,saab
58,8,47,198,205,saab
59,8,43,187,192,saab
58,11,32,191,202,saab
57,12,31,191,199,saab
62,11,33,190,200,saab
55,12,31,189,201,saab
67,12,31,192,206,saab
56,7,42,195,201,saab
60,9,34,189,197,saab
67,12,30,187,199,saab
66,10,32,190,203,saab
64,8,40,188,195,saab
60,8,38,192,199,saab
60,11,38,197,210,saab
62,11,36,195,204,saab
64,6,41,195,203,saab
72,10,31,187,197,saab
57,6,53,179,183,saab
54,10,32,187,197,saab
62,10,32,189,198,saab
60,8,44,196,205,saab
59,7,43,193,198,saab
55,7,46,184,189,saab
53,7,54,180,184,saab
59,7,39,191,198,saab
64,9,32,190,202,saab
57,6,52,186,192,saab
59,10,32,187,198,saab
60,9,39,191,199,saab
64,9,41,194,201,saab
61,8,40,187,193,saab
62,12,31,187,198,saab
61,10,34,192,205,saab
65,10,34,188,196,saab
57,4,55,181,184,saab
68,11,32,189,200,saab
58,8,37,189,196,saab
65,11,32,189,197,saab
60,10,34,192,201,saab
61,10,33,192,200,saab
63,7,51,179,185,saab
67,12,30,187,201,saab
64,10,30,188,199,saab
61,9,40,198,207,saab
61,10,36,191,199,saab
59,7,39,192,199,saab
68,11,31,189,202,saab
63,11,31,190,203,saab
67,8,43,190,195,saab
58,6,58,185,189,saab
57,8,43,203,211,saab
63,10,34,194,205,saab
55,5,48,180,183,saab
65,11,31,187,199,saab
62,7,45,188,193,saab
69,8,36,189,196,saab
57,7,44,189,194,saab
61,8,47,193,200,saab
63,7,37,189,195,saab
64,11,31,189,203,saab
56,6,41,186,191,saab
59,11,32,190,206,saab
64,8,39,195,201,saab
68,12,31,190,204,saab
68,11,30,187,197,saab
53,6,47,186,191,saab
60,9,42,198,206,saab
60,12,34,198,208,saab
56,7,47,202,209,saab
61,4,50,180,183,saab
61,5,45,182,185,saab
61,11,32,196,205,saab
60,8,38,188,194,saab
64,7,41,192,199,saab
60,10,38,201,210,saab
65,10,35,195,206,saab
58,9,42,201,209,saab
61,9,37,199,208,saab
69,10,30,187,199,saab
55,10,32,187,197,saab
66,9,35,190,197,saab
64,11,31,187,196,saab
60,8,41,186,191,saab
62,11,30,189,200,saab
58,6,46,181,185,saab
56,5,50,187,191,saab
54,7,52,183,187,saab
63,11,30,187,200,saab
57,3,61,181,183,saab
61,9,43,196,208,saab
59,11,34,194,208,saab
59,9,36,194,206,saab
62,9,35,193,202,saab
64,11,33,192,204,saab
59,11,31,190,201,saab
53,4,59,179,185,saab
60,11,31,190,200,saab
66,10,35,191,199,saab
60,8,42,197,204,saab
55,6,48,189,195,saab
65,10,33,187,196,saab
57,11,31,189,201,saab
59,9,38,196,205,saab
63,8,40,192,197,saab
53,4,50,181,182,saab
60,5,46,180,183,saab
60,7,42,190,196,saab
57,4,59,183,190,saab
53,8,49,181,186,saab
61,11,31,190,199,saab
64,9,40,197,205,saab
58,6,44,187,196,saab
63,10,32,188,198,saab
58,6,48,182,186,saab
58,7,50,190,195,saab
61,9,34,194,203,saab
66,9,35,190,200,saab
67,9,32,187,196,saab
64,11,31,188,198,saab
55,6,54,196,202,saab
55,4,52,180,184,saab
59,9,40,199,208,saab
63,9,37,193,201,saab
64,11,30,189,199,saab
59,5,44,183,187,saab
53,6,45,179,183,bus
66,5,31,193,191,bus
66,7,44,193,201,bus
73,7,42,191,195,bus
126,52,45,181,185,bus
54,8,45,181,184,bus
64,7,43,195,204,bus
52,7,44,180,185,bus
56,8,46,180,182,bus
57,6,28,184,184,bus
56,6,46,179,182,bus
66,6,39,200,202,bus
66,7,45,189,196,bus
53,7,45,180,182,bus
61,8,45,185,191,bus
68,7,43,196,205,bus
68,6,35,195,195,bus
67,6,46,198,203,bus
62,8,44,182,188,bus
51,6,46,178,182,bus
58,4,29,187,186,bus
53,8,46,179,182,bus
65,8,46,181,186,bus
56,7,45,181,187,bus
63,6,30,189,189,bus
70,6,42,198,202,bus
57,6,45,180,184,bus
57,8,46,179,184,bus
57,5,27,183,183,bus
53,7,46,179,184,bus
62,7,44,188,192,bus
56,6,46,179,182,bus
61,6,29,188,187,bus
50,7,45,179,182,bus
65,5,31,191,189,bus
65,5,33,193,191,bus
67,7,45,182,188,bus
74,5,39,196,200,bus
65,7,44,185,189,bus
57,8,46,179,182,bus
55,7,28,187,187,bus
68,6,39,200,203,bus
73,6,41,193,197,bus
69,5,46,188,193,bus
53,7,46,180,182,bus
61,7,46,181,185,bus
53,6,26,180,184,bus
62,7,44,181,184,bus
53,6,45,179,183,bus
53,8,45,180,185,bus
72,7,35,196,199,bus
68,6,37,197,199,bus
64,6,43,185,192,bus
73,6,41,199,204,bus
75,6,28,186,185,bus
74,5,39,196,200,bus
67,4,27,182,182,bus
60,7,45,179,183,bus
64,5,36,196,198,bus
72,6,41,200,204,bus
56,6,26,182,183,bus
59,6,44,185,191,bus
67,7,45,188,195,bus
62,7,46,180,184,bus
54,6,46,180,182,bus
70,6,39,200,203,bus
56,6,45,178,183,bus
68,5,41,202,205,bus
65,7,46,188,195,bus
65,7,37,197,202,bus
64,7,45,182,185,bus
65,22,45,184,191,bus
54,7,45,181,184,bus
60,6,30,188,186,bus
64,6,46,181,184,bus
71,6,43,195,200,bus
51,6,26,181,182,bus
65,6,42,200,204,bus
52,7,28,183,184,bus
60,6,44,182,186,bus
71,7,39,200,203,bus
65,8,45,183,188,bus
56,7,44,181,185,bus
64,6,46,183,187,bus
103,52,45,180,183,bus
56,8,45,179,184,bus
71,6,40,195,202,bus
58,7,46,179,182,bus
68,7,32,192,194,bus
66,5,43,188,195,bus
69,6,40,198,205,bus
56,8,46,180,184,bus
61,7,43,183,189,bus
54,8,45,179,183,bus
70,6,43,201,205,bus
75,7,43,185,190,bus
56,7,45,181,185,bus
68,6,43,188,194,bus
74,7,41,195,201,bus
63,7,45,192,196,bus
64,6,45,195,200,bus
59,6,45,185,191,bus
66,7,46,191,198,bus
59,7,45,185,188,bus
74,6,35,196,197,bus
56,7,44,180,186,bus
68,7,45,181,186,bus
65,5,42,189,193,bus
71,7,36,198,201,bus
51,8,26,181,184,bus
48,5,27,181,182,bus
65,6,32,193,193,bus
59,7,27,186,184,bus
75,7,42,192,199,bus
64,7,44,183,187,bus
54,6,46,180,182,bus
55,5,34,195,196,bus
69,6,36,198,199,bus
54,6,46,179,182,bus
67,6,43,202,209,bus
54,4,31,190,189,bus
69,5,38,200,202,bus
51,6,27,184,183,bus
66,6,45,195,200,bus
66,7,44,201,207,bus
69,6,36,196,198,bus
71,7,42,197,206,bus
64,7,44,190,194,bus
62,5,32,191,190,bus
72,8,42,199,206,bus
71,5,40,196,203,bus
51,7,30,188,188,bus
60,7,33,192,191,bus
61,6,37,199,201,bus
54,5,46,179,181,bus
71,5,36,197,197,bus
65,6,46,184,188,bus
74,19,44,186,189,bus
63,6,44,189,196,bus
63,6,34,194,197,bus
69,7,44,195,201,bus
54,7,45,179,182,bus
60,7,45,180,184,bus
70,7,46,188,193,bus
62,7,45,186,189,bus
75,6,45,194,201,bus
68,6,43,189,195,bus
52,6,26,182,184,bus
68,7,44,196,200,bus
69,5,33,194,195,bus
73,7,36,197,200,bus
61,7,44,182,187,bus
59,6,31,188,189,bus
70,6,35,198,199,bus
70,7,41,202,206,bus
70,6,45,187,191,bus
54,4,30,186,184,bus
66,6,44,186,190,bus
71,5,37,197,199,bus
71,5,35,195,198,bus
70,7,40,200,205,bus
47,4,28,185,184,bus
55,8,46,179,183,bus
69,6,41,193,198,bus
73,6,44,183,189,bus
75,6,38,196,201,bus
54,7,46,179,182,bus
50,8,45,179,183,bus
74,5,32,192,191,bus
58,8,45,181,186,bus
61,8,46,196,203,bus
69,7,43,199,206,bus
74,7,34,195,195,bus
64,7,45,187,195,bus
68,7,44,183,188,bus
69,22,45,180,185,bus
73,6,40,200,204,bus
57,7,28,185,185,bus
55,7,46,179,182,bus
64,6,47,193,199,bus
72,4,28,184,184,bus
64,6,33,195,193,bus
69,5,45,181,184,bus
69,5,38,198,204,bus
68,7,44,192,197,bus
72,8,42,192,200,bus
64,5,26,184,183,bus
57,6,45,180,183,bus
54,7,45,180,182,bus
50,6,26,181,183,bus
58,6,45,180,183,bus
70,7,38,200,206,bus
64,6,45,181,183,bus
55,8,46,179,182,bus
51,6,26,181,183,bus
51,5,26,182,181,bus
65,9,34,186,194,opel
53,10,31,187,198,opel
59,10,32,186,195,opel
54,10,31,184,193,opel
65,10,35,190,197,opel
68,11,31,189,201,opel
68,10,32,190,202,opel
59,8,44,191,197,opel
56,7,46,184,188,opel
59,10,31,186,195,opel
53,11,30,187,198,opel
56,8,48,188,197,opel
59,7,44,184,189,opel
61,10,36,202,209,opel
62,7,41,185,191,opel
62,7,44,203,210,opel
54,6,45,188,193,opel
58,6,51,177,184,opel
60,11,31,191,203,opel
63,11,30,186,198,opel
58,10,30,189,198,opel
57,8,44,181,187,opel
62,10,33,195,204,opel
61,11,30,187,201,opel
62,6,48,183,190,opel
64,8,39,192,198,opel
62,6,48,194,202,opel
70,10,30,188,196,opel
69,11,30,187,195,opel
64,9,37,192,199,opel
56,7,41,192,198,opel
53,9,51,188,198,opel
54,12,31,190,201,opel
59,10,34,196,202,opel
67,11,31,187,196,opel
67,9,30,189,199,opel
63,9,35,197,205,opel
65,6,37,189,194,opel
52,10,32,188,196,opel
62,10,35,195,203,opel
67,9,32,186,193,opel
57,11,31,186,198,opel
72,12,30,186,195,opel
54,7,43,186,191,opel
64,11,33,193,202,opel
53,9,48,181,189,opel
59,9,39,193,202,opel
61,8,37,187,193,opel
63,9,38,197,206,opel
67,9,33,192,201,opel
56,10,31,186,196,opel
58,8,48,199,206,opel
59,8,45,184,193,opel
62,10,37,198,206,opel
59,7,41,198,204,opel
69,8,40,186,192,opel
67,9,35,188,195,opel
59,6,46,197,202,opel
67,12,30,191,202,opel
59,6,46,181,187,opel
59,5,51,177,183,opel
62,9,41,197,206,opel
54,13,30,185,198,opel
59,11,31,186,194,opel
63,11,31,185,194,opel
57,6,44,193,198,opel
62,12,30,186,197,opel
69,11,30,186,196,opel
70,11,30,186,198,opel
66,11,30,188,200,opel
63,10,37,197,204,opel
53,10,31,186,194,opel
64,11,34,194,205,opel
62,9,34,190,199,opel
54,6,55,176,184,opel
55,11,31,185,192,opel
64,12,30,189,200,opel
56,4,57,177,184,opel
59,7,44,193,197,opel
55,6,46,191,198,opel
70,10,35,187,194,opel
65,9,32,186,194,opel
57,5,48,204,210,opel
62,8,42,198,205,opel
62,7,40,199,204,opel
74,10,31,186,193,opel
56,9,30,187,194,opel
65,11,31,188,196,opel
58,8,40,200,208,opel
56,7,51,201,207,opel
68,11,30,190,197,opel
57,11,32,192,201,opel
66,11,32,191,201,opel
57,8,52,183,187,opel
63,10,36,195,204,opel
62,9,33,189,198,opel
55,7,50,180,187,opel
59,7,45,197,203,opel
52,4,44,180,183,opel
60,8,42,190,196,opel
55,9,39,190,195,opel
56,7,53,183,191,opel
56,5,50,185,188,opel
64,8,41,191,198,opel
67,10,33,190,198,opel
64,10,33,193,203,opel
74,11,30,186,195,opel
63,8,37,192,198,opel
70,11,30,189,198,opel
59,9,35,193,200,opel
63,9,34,191,198,opel
56,7,44,198,203,opel
67,10,33,189,196,opel
68,10,32,186,195,opel
57,8,49,183,191,opel
69,11,30,187,195,opel
57,11,31,192,206,opel
59,7,51,193,200,opel
55,7,48,192,197,opel
62,8,40,191,198,opel
64,11,31,188,199,opel
56,11,30,187,201,opel
55,7,47,181,193,opel
62,10,32,195,206,opel
55,7,55,195,201,opel
63,11,30,188,197,opel
56,6,49,179,186,opel
57,13,30,186,198,opel
65,8,32,189,195,opel
60,12,30,186,196,opel
60,7,40,187,192,opel
69,10,33,187,194,opel
62,8,33,194,201,opel
59,8,39,195,201,opel
57,7,50,193,203,opel
62,13,30,186,196,opel
69,10,32,186,193,opel
60,8,45,206,211,opel
59,6,44,202,208,opel
70,9,31,188,197,opel
63,9,36,199,203,opel
62,8,41,203,211,opel
60,7,42,190,196,opel
58,6,50,203,209,opel
71,10,32,188,196,opel
57,3,59,179,183,opel
64,11,33,197,206,opel
57,8,41,187,193,opel
68,10,30,188,199,opel
65,9,36,193,200,opel
64,10,35,194,201,opel
67,10,34,188,197,opel
53,10,30,188,198,opel
58,11,31,188,198,opel
61,11,31,189,196,opel
63,9,34,198,204,opel
62,12,33,192,202,opel
66,8,35,191,200,opel
59,10,32,188,196,opel
57,8,43,183,190,opel
54,10,31,185,193,opel
61,9,34,194,202,opel
61,7,46,187,194,opel
60,8,45,191,198,opel
61,8,40,189,198,opel
54,5,49,187,190,opel
68,11,32,189,196,opel
57,11,31,189,198,opel
66,6,40,194,199,opel
55,10,32,187,194,opel
57,10,30,188,197,opel
55,7,45,180,186,opel
62,9,38,201,209,opel
54,12,32,191,200,opel
59,8,51,179,188,opel
68,9,33,191,202,opel
58,5,51,177,184,opel
63,9,35,191,198,opel
71,10,31,187,196,opel
56,7,54,184,194,opel
62,6,54,185,190,opel
53,10,31,187,195,opel
65,12,30,185,196,opel
60,7,37,190,198,opel
60,8,41,188,192,opel
56,7,48,187,192,opel
61,8,40,198,205,opel
58,10,31,186,194,opel
62,8,37,192,200,opel
55,6,54,178,184,opel
64,8,42,192,198,opel
