@relation vehicle

@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
66,7,81,van
68,6,65,van
68,9,69,van
68,8,72,van
66,7,69,van
64,6,65,van
59,7,84,van
66,8,78,van
51,5,86,van
49,5,85,van
88,9,70,van
76,11,74,van
76,8,71,van
88,10,67,van
75,11,77,van
92,11,70,van
76,8,63,van
85,10,67,van
85,10,74,van
83,48,97,van
64,7,78,van
79,8,67,van
85,11,72,van
70,7,64,van
88,10,66,van
85,11,74,van
62,7,78,van
85,10,75,van
75,10,75,van
58,6,64,van
90,9,67,van
89,11,72,van
51,5,81,van
68,7,66,van
91,12,69,van
82,9,64,van
77,9,70,van
62,7,78,van
81,43,90,van
58,6,63,van
72,8,64,van
53,3,88,van
78,11,73,van
70,8,74,van
44,2,90,van
76,8,69,van
75,9,77,van
85,10,68,van
58,6,86,van
80,9,71,van
85,9,65,van
58,4,78,van
66,7,73,van
81,9,72,van
83,10,70,van
74,7,72,van
84,11,73,van
81,10,70,van
64,8,68,van
51,6,80,van
64,10,67,van
53,6,86,van
88,9,65,van
64,5,80,saab
100,9,70,saab
112,11,65,saab
104,11,72,saab
77,8,64,saab
101,9,67,saab
82,8,70,saab
89,8,70,saab
90,10,69,saab
105,11,68,saab
77,7,65,saab
72,8,61,saab
79,9,62,saab
94,9,67,saab
96,10,65,saab
109,12,72,saab
98,9,64,saab
105,11,64,saab
104,12,67,saab
109,11,71,saab
81,7,70,saab
77,8,64,saab
96,9,70,saab
98,11,72,saab
110,12,66,saab
54,4,81,saab
57,6,83,saab
100,10,74,saab
88,10,59,saab
90,9,65,saab
88,9,63,saab
85,8,64,saab
100,11,71,saab
76,7,69,saab
83,7,70,saab
54,4,85,saab
96,10,68,saab
108,11,67,saab
88,7,66,saab
63,7,63,saab
105,11,71,saab
75,7,76,saab
72,8,63,saab
57,6,68,saab
85,11,62,saab
54,7,78,saab
104,9,72,saab
72,7,77,saab
108,11,72,saab
96,9,66,saab
81,7,67,saab
106,9,68,saab
100,10,67,saab
77,9,66,saab
100,10,65,saab
86,7,68,saab
103,10,73,saab
53,6,70,saab
54,5,79,saab
75,6,71,saab
69,6,66,saab
78,7,66,saab
106,12,66,saab
101,9,73,saab
66,4,74,saab
104,11,67,saab
109,12,72,saab
78,7,68,saab
77,5,77,saab
66,7,61,saab
108,11,64,saab
105,11,64,saab
104,9,73,saab
81,9,62,saab
101,11,74,saab
72,7,72,saab
63,5,74,saab
109,11,70,saab
108,12,73,saab
72,5,68,saab
108,12,65,saab
75,6,69,saab
75,7,75,saab
106,10,73,saab
92,10,64,saab
58,5,86,saab
102,10,72,saab
66,6,65,saab
101,11,72,saab
101,12,71,saab
90,8,68,saab
104,10,68,saab
103,10,73,saab
88,9,69,saab
85,6,66,saab
98,9,66,saab
88,7,66,saab
52,4,82,saab
106,10,73,saab
77,7,71,saab
66,6,79,saab
80,6,74,saab
66,7,72,saab
80,7,68,saab
110,12,67,saab
98,10,67,saab
76,7,69,saab
108,11,71,saab
59,7,82,saab
53,4,76,saab
98,10,73,saab
100,8,68,saab
104,9,74,saab
104,11,71,saab
93,11,72,saab
90,9,61,saab
69,7,67,saab
98,11,71,saab
103,11,68,saab
105,10,72,saab
109,10,70,saab
71,9,63,saab
103,11,71,saab
81,9,63,saab
105,10,64,saab
100,10,62,saab
103,11,70,saab
98,11,64,saab
60,6,71,saab
54,6,82,saab
101,11,65,saab
77,7,66,saab
100,12,62,saab
101,10,74,saab
83,8,72,saab
109,11,68,saab
90,8,70,saab
66,6,74,saab
63,7,83,saab
74,8,61,saab
104,10,67,saab
101,10,72,saab
100,9,65,saab
103,11,72,saab
83,6,71,saab
105,11,68,saab
108,12,68,saab
104,10,73,saab
95,9,72,saab
108,11,72,saab
51,4,86,saab
103,10,72,saab
107,11,71,saab
86,9,68,saab
83,7,74,saab
89,8,68,saab
98,9,70,saab
107,10,70,saab
104,12,68,saab
110,11,71,saab
104,9,68,saab
77,8,67,saab
83,7,67,saab
71,7,70,saab
106,11,71,saab
69,7,61,saab
80,9,60,saab
103,11,71,saab
95,10,71,saab
98,10,74,saab
101,9,67,saab
78,8,60,saab
108,11,69,saab
50,4,83,saab
83,8,63,saab
86,9,63,saab
74,6,70,saab
106,10,70,saab
66,6,77,saab
62,7,82,saab
100,10,72,saab
87,8,72,saab
105,12,70,saab
72,6,63,saab
63,5,70,saab
55,5,81,saab
85,7,71,saab
78,8,67,saab
103,11,71,saab
102,11,73,saab
40,3,86,saab
108,12,71,saab
74,8,69,saab
100,10,73,saab
109,11,61,saab
70,8,77,bus
95,4,82,bus
109,6,85,bus
80,6,73,bus
75,6,75,bus
92,6,80,bus
62,6,65,bus
71,6,80,bus
70,7,65,bus
72,7,69,bus
68,8,80,bus
96,6,85,bus
81,6,74,bus
70,7,82,bus
68,7,81,bus
75,7,72,bus
105,5,84,bus
69,6,75,bus
70,5,71,bus
68,7,80,bus
89,4,78,bus
107,6,86,bus
70,6,71,bus
84,7,74,bus
95,7,73,bus
69,7,84,bus
74,6,71,bus
66,7,78,bus
76,7,69,bus
102,7,77,bus
70,7,78,bus
71,7,71,bus
75,6,74,bus
106,7,81,bus
73,6,72,bus
86,7,72,bus
64,7,68,bus
76,7,75,bus
76,7,74,bus
82,5,75,bus
73,7,76,bus
70,8,67,bus
66,7,87,bus
70,7,72,bus
76,7,68,bus
65,8,85,bus
72,7,82,bus
70,7,69,bus
72,5,70,bus
76,6,72,bus
77,6,72,bus
68,7,88,bus
71,6,67,bus
92,5,78,bus
72,5,70,bus
103,5,85,bus
77,6,69,bus
70,6,82,bus
68,8,74,bus
103,4,85,bus
75,8,70,bus
79,5,71,bus
84,6,73,bus
98,6,77,bus
86,5,75,bus
70,6,69,bus
71,7,81,bus
66,8,86,bus
104,6,83,bus
106,6,85,bus
70,7,81,bus
64,8,82,bus
64,6,87,bus
68,6,75,bus
71,7,79,bus
91,6,78,bus
101,4,85,bus
88,5,77,bus
84,7,70,bus
71,7,72,bus
73,6,71,bus
77,6,72,bus
88,7,74,bus
66,6,85,bus
72,7,80,bus
74,7,77,bus
66,6,88,bus
84,6,69,bus
98,4,82,bus
65,6,87,bus
102,6,84,bus
65,8,85,bus
72,6,69,bus
70,7,76,bus
71,7,80,bus
63,7,81,bus
98,6,77,bus
70,19,76,bus
70,7,68,bus
70,52,127,bus
63,7,81,bus
72,7,72,bus
80,6,75,bus
71,7,71,bus
66,7,83,bus
68,8,80,bus
79,7,70,bus
106,6,83,bus
68,6,75,bus
68,22,88,bus
66,22,75,bus
65,6,85,bus
74,5,70,bus
81,5,68,bus
75,6,74,bus
75,7,66,bus
79,6,74,bus
73,6,71,bus
66,6,84,bus
75,6,71,bus
88,6,73,bus
68,7,67,bus
73,6,66,bus
66,7,85,bus
93,4,83,bus
71,7,78,bus
85,6,76,bus
73,6,82,bus
65,6,83,bus
70,8,77,bus
73,6,75,bus
106,5,87,bus
74,6,71,bus
70,7,71,bus
100,4,88,bus
73,7,80,bus
76,7,77,bus
89,6,74,bus
72,6,81,bus
66,52,119,bus
70,7,76,bus
68,5,80,bus
70,7,84,bus
73,7,69,bus
70,6,86,bus
70,8,81,bus
91,5,79,bus
77,7,69,bus
103,7,83,bus
66,7,81,bus
98,6,79,bus
65,7,85,bus
102,6,82,bus
63,8,86,bus
105,6,85,bus
76,5,76,bus
75,5,72,bus
74,7,70,bus
68,7,83,bus
70,6,69,bus
60,6,85,bus
59,7,83,bus
75,6,69,bus
73,7,73,bus
93,7,81,bus
76,7,72,bus
66,6,73,bus
77,5,74,bus
75,5,72,bus
71,6,71,bus
68,6,74,bus
89,5,71,bus
72,6,70,bus
71,6,73,bus
73,7,69,bus
68,8,83,bus
109,5,82,bus
70,8,68,bus
94,5,76,bus
102,6,85,bus
79,6,66,bus
61,8,85,bus
72,7,81,bus
83,5,79,bus
74,6,69,bus
66,5,87,bus
70,6,66,bus
76,7,72,bus
70,7,69,bus
103,7,82,bus
71,7,74,bus
84,7,72,bus
71,7,81,bus
78,6,73,bus
68,7,75,bus
66,7,85,bus
83,7,73,opel
96,9,68,opel
105,9,69,opel
109,11,72,opel
84,9,69,opel
96,10,71,opel
83,9,65,opel
69,7,70,opel
66,7,74,opel
103,11,66,opel
101,12,71,opel
105,10,75,opel
81,8,72,opel
96,10,65,opel
66,4,87,opel
77,7,75,opel
100,11,73,opel
86,9,67,opel
103,9,74,opel
63,5,79,opel
101,11,71,opel
77,7,67,opel
101,10,71,opel
104,10,69,opel
103,11,66,opel
105,10,72,opel
58,5,87,opel
98,9,69,opel
100,12,73,opel
50,5,74,opel
96,10,71,opel
101,10,65,opel
103,10,73,opel
101,11,74,opel
104,10,73,opel
104,10,74,opel
105,10,73,opel
104,10,75,opel
78,7,67,opel
74,7,63,opel
96,11,73,opel
80,8,69,opel
96,9,67,opel
85,8,63,opel
105,11,65,opel
75,6,66,opel
66,6,64,opel
75,6,71,opel
98,10,71,opel
86,7,74,opel
96,9,62,opel
79,7,66,opel
60,5,75,opel
107,11,70,opel
98,11,71,opel
79,8,67,opel
88,10,66,opel
107,11,67,opel
101,12,66,opel
93,8,66,opel
53,5,87,opel
60,6,80,opel
63,7,64,opel
69,5,69,opel
104,9,67,opel
109,12,67,opel
83,8,71,opel
100,11,74,opel
104,9,74,opel
53,6,82,opel
83,6,71,opel
98,11,72,opel
86,8,67,opel
75,6,80,opel
69,5,62,opel
107,12,66,opel
72,9,77,opel
107,11,66,opel
101,10,71,opel
105,11,64,opel
101,13,71,opel
77,8,73,opel
98,10,72,opel
107,11,72,opel
84,8,74,opel
103,12,72,opel
108,12,68,opel
103,11,71,opel
82,8,70,opel
72,7,62,opel
96,10,62,opel
100,8,72,opel
72,7,70,opel
71,7,80,opel
93,9,72,opel
103,11,75,opel
91,11,74,opel
108,11,73,opel
107,10,70,opel
98,10,76,opel
66,8,76,opel
77,7,72,opel
88,10,70,opel
75,8,62,opel
73,7,65,opel
101,11,65,opel
100,9,65,opel
92,10,64,opel
101,10,64,opel
94,10,70,opel
100,11,75,opel
91,11,72,opel
105,10,74,opel
69,6,61,opel
78,7,69,opel
66,7,62,opel
91,8,67,opel
76,7,69,opel
89,9,67,opel
105,11,72,opel
42,3,87,opel
98,10,71,opel
86,7,71,opel
105,10,68,opel
93,9,66,opel
104,10,73,opel
101,8,66,opel
78,8,66,opel
110,10,74,opel
66,6,70,opel
108,10,72,opel
101,9,73,opel
73,8,75,opel
100,10,74,opel
69,7,63,opel
107,10,65,opel
105,10,74,opel
88,8,74,opel
72,9,65,opel
53,6,83,opel
107,8,67,opel
78,7,68,opel
109,10,73,opel
80,7,65,opel
103,11,73,opel
60,6,78,opel
98,10,72,opel
78,6,66,opel
109,11,73,opel
96,12,72,opel
89,9,63,opel
109,11,70,opel
103,10,69,opel
74,9,63,opel
90,7,71,opel
103,11,67,opel
69,7,66,opel
109,9,72,opel
94,9,64,opel
77,8,63,opel
82,8,61,opel
80,6,66,opel
103,9,68,opel
98,11,71,opel
105,11,71,opel
83,8,67,opel
96,10,75,opel
105,11,73,opel
100,9,70,opel
108,10,66,opel
108,11,70,opel
96,9,74,opel
82,6,68,opel
101,10,74,opel
77,7,71,opel
105,11,69,opel
100,10,76,opel
76,8,71,opel
96,10,75,opel
66,7,64,opel
64,8,76,opel
78,7,64,opel
103,11,69,opel
92,10,64,opel
76,8,72,opel
107,12,67,opel
78,8,67,opel
81,8,70,opel
103,11,65,opel
74,8,72,opel
71,8,68,opel
