@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Praxis_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
108,64,31,25,saab
66,56,49,18,saab
101,72,31,24,saab
105,61,32,24,saab
106,66,33,23,saab
108,69,31,24,saab
71,61,43,20,saab
110,67,31,24,saab
109,57,31,25,saab
89,58,37,21,saab
72,55,46,19,saab
54,61,50,18,saab
86,60,39,21,saab
52,57,55,17,saab
108,64,32,23,saab
105,66,32,23,saab
68,57,46,19,bus
68,59,44,19,bus
79,69,40,20,bus
66,58,45,19,bus
75,64,43,19,bus
70,74,44,19,bus
66,65,45,19,bus
65,56,45,19,bus
77,61,37,21,bus
72,63,45,19,bus
75,72,42,19,bus
95,58,29,25,bus
68,62,46,19,bus
74,74,41,19,bus
66,65,46,19,bus
83,65,33,22,bus
73,68,44,19,bus
76,73,42,19,bus
74,61,43,19,bus
104,53,26,28,bus
73,68,44,19,bus
76,71,43,19,bus
72,71,40,20,bus
103,49,27,28,bus
71,61,44,19,bus
70,56,46,19,bus
71,60,45,19,bus
68,73,44,19,bus
98,59,31,24,bus
73,70,38,20,bus
74,66,45,19,bus
68,53,45,19,bus
70,66,44,19,bus
70,54,45,19,bus
88,62,32,23,bus
75,66,43,19,bus
74,70,43,19,bus
59,58,46,19,bus
75,71,36,21,bus
71,70,46,19,bus
91,65,32,23,bus
70,65,45,19,bus
105,51,26,29,bus
76,69,44,19,bus
68,53,46,19,bus
95,68,32,23,bus
72,52,44,19,bus
98,63,30,24,bus
70,59,45,19,bus
72,66,46,19,bus
65,56,46,19,bus
70,64,47,18,bus
66,67,45,19,bus
72,61,46,19,bus
75,71,40,20,bus
79,71,37,21,bus
89,65,32,23,bus
84,75,38,20,bus
73,73,41,19,bus
102,52,26,28,bus
86,69,33,22,bus
98,59,27,26,bus
61,53,46,19,bus
84,71,36,21,bus
71,66,44,19,bus
76,76,44,19,bus
68,67,46,18,bus
71,70,45,19,bus
98,61,29,25,bus
66,57,46,19,bus
105,48,27,27,bus
109,56,26,28,bus
70,61,46,18,bus
75,68,43,19,bus
73,65,42,19,bus
71,56,44,19,bus
77,69,36,21,bus
106,57,28,26,bus
66,54,46,19,bus
68,50,45,19,bus
68,64,46,19,bus
107,67,26,28,bus
66,56,46,19,bus
71,70,44,19,bus
100,67,27,27,bus
84,74,34,22,bus
70,66,43,19,bus
68,54,45,19,bus
65,53,45,19,bus
70,70,39,20,bus
70,61,46,18,bus
76,67,44,19,bus
74,66,39,20,bus
66,57,45,19,bus
79,65,37,21,bus
60,51,46,19,bus
70,65,46,19,bus
102,51,27,26,bus
66,66,44,19,bus
66,55,45,19,bus
68,69,45,19,bus
106,51,26,28,bus
68,70,41,19,bus
94,66,31,24,bus
74,74,39,20,bus
72,60,44,19,bus
74,74,39,20,bus
76,67,45,19,bus
70,68,41,19,bus
64,69,43,19,bus
70,62,45,19,bus
65,54,45,19,bus
88,63,34,22,bus
76,75,43,19,bus
73,63,44,19,bus
70,75,45,19,bus
89,71,35,22,bus
64,54,46,19,bus
70,72,44,19,bus
73,68,43,19,bus
102,55,28,26,bus
106,51,26,28,bus
71,66,45,19,bus
70,54,45,19,bus
92,60,30,25,bus
74,68,43,19,bus
69,64,44,19,bus
92,65,31,24,bus
101,72,28,26,bus
73,59,45,19,bus
103,47,27,27,bus
68,62,44,19,bus
84,74,35,22,bus
72,64,44,19,bus
75,64,43,19,bus
71,64,45,19,bus
63,54,45,19,bus
63,55,46,19,bus
80,71,33,22,bus
72,72,41,19,bus
77,72,38,20,bus
71,56,45,19,bus
103,64,26,27,bus
66,126,45,19,bus
73,73,40,20,bus
103,52,28,26,bus
81,69,38,20,bus
70,69,46,18,bus
65,50,45,19,bus
72,69,41,19,bus
89,54,31,24,bus
70,65,46,19,bus
70,103,45,19,bus
76,64,44,19,bus
68,53,45,19,bus
65,55,46,19,bus
73,57,45,19,bus
73,64,44,19,bus
69,54,46,19,bus
70,64,45,19,bus
62,67,43,19,bus
79,68,35,22,bus
96,57,28,26,bus
77,71,39,20,bus
66,54,46,19,bus
68,59,45,19,bus
106,50,26,28,bus
70,56,45,19,bus
75,68,37,20,bus
70,56,45,19,bus
68,60,45,19,bus
70,58,45,19,bus
84,72,35,21,bus
77,64,36,21,bus
76,73,36,21,bus
63,55,45,19,bus
86,69,35,22,bus
73,71,42,19,bus
66,53,46,19,bus
70,70,40,20,bus
91,74,32,23,bus
72,69,38,20,bus
93,51,30,24,bus
64,55,46,19,bus
83,69,36,21,bus
106,51,26,28,bus
68,61,45,19,bus
73,65,44,19,bus
71,64,45,19,bus
71,68,45,19,bus
72,62,44,19,bus
109,57,27,27,bus
65,56,45,19,bus
76,65,42,19,bus
75,75,42,19,bus
81,67,34,22,bus
101,57,30,25,opel
84,55,39,20,opel
82,54,45,19,opel
104,55,32,24,opel
98,63,30,25,opel
108,53,30,25,opel
105,53,31,24,opel
105,61,30,25,opel
53,54,55,18,opel
109,68,30,25,opel
77,60,44,19,opel
103,63,34,22,opel
101,64,33,23,opel
105,68,32,24,opel
100,53,31,24,opel
64,59,51,18,opel
79,64,41,20,opel
92,62,37,21,opel
96,60,30,25,opel
98,56,31,25,opel
109,66,30,25,opel
92,63,37,21,opel
78,55,48,18,opel
98,63,34,22,opel
51,56,57,17,opel
105,68,33,23,opel
107,54,32,24,opel
96,57,30,25,opel
73,59,42,20,opel
98,68,31,24,opel
100,61,34,22,opel
105,68,30,24,opel
91,67,31,24,opel
101,65,30,25,opel
100,59,31,24,opel
103,65,31,24,opel
107,62,32,23,opel
101,64,33,23,opel
75,62,48,18,opel
83,65,37,21,opel
88,62,36,21,opel
105,67,33,23,opel
89,59,39,20,opel
74,62,41,20,opel
57,55,54,18,opel
96,63,36,22,opel
76,61,40,20,opel
69,58,48,18,opel
98,64,31,24,opel
58,58,51,18,opel
77,59,45,19,opel
69,56,44,19,opel
71,55,45,19,opel
83,61,37,21,opel
81,64,39,20,opel
82,58,40,20,opel
66,52,44,19,opel
109,70,30,25,opel
110,53,30,25,opel
78,62,41,20,opel
66,59,46,18,opel
104,58,31,24,opel
109,67,30,24,opel
103,69,30,25,opel
80,59,44,19,opel
80,55,47,19,opel
88,69,40,20,opel
101,66,35,22,opel
103,60,31,24,opel
83,59,39,21,opel
91,57,31,25,opel
78,59,44,19,opel
81,57,41,20,opel
80,62,40,20,opel
72,53,51,18,opel
50,58,59,17,opel
72,56,48,18,opel
107,64,30,25,opel
104,67,33,23,opel
107,57,31,24,opel
75,60,45,19,opel
69,54,49,18,opel
96,63,35,22,opel
98,70,35,22,opel
60,56,50,18,opel
96,71,32,23,opel
107,61,30,25,opel
72,56,54,18,opel
69,57,48,18,opel
94,63,36,21,opel
93,67,35,22,opel
80,66,40,20,opel
104,52,32,23,opel
104,67,32,23,opel
88,64,35,22,opel
96,59,35,22,opel
107,60,31,24,opel
78,62,48,18,opel
96,54,31,24,opel
107,56,30,25,opel
94,67,34,22,opel
100,62,31,24,opel
109,67,30,24,opel
78,60,45,19,opel
92,62,35,22,opel
77,62,42,19,opel
77,59,44,19,opel
107,63,30,25,opel
83,63,38,21,opel
66,55,50,18,opel
100,62,30,25,opel
63,59,52,18,opel
100,62,33,23,opel
77,59,44,19,opel
96,65,35,22,opel
105,59,32,24,opel
100,54,30,25,opel
98,53,31,24,opel
66,62,54,18,opel
66,56,51,18,opel
63,55,55,17,opel
53,59,51,18,opel
73,57,44,19,opel
107,68,32,24,opel
78,61,46,19,opel
105,59,31,24,opel
71,56,48,19,opel
76,60,42,20,opel
86,62,41,20,opel
42,57,59,17,opel
96,74,30,25,opel
103,57,31,24,opel
53,58,51,18,opel
86,54,45,19,opel
78,64,42,19,opel
101,65,34,23,opel
105,64,33,23,opel
103,67,33,23,opel
103,65,32,23,opel
98,71,31,24,opel
91,62,37,21,opel
104,74,31,24,opel
108,65,31,24,opel
78,55,45,19,opel
60,56,55,17,opel
103,50,30,25,opel
60,56,49,18,opel
101,70,31,24,opel
105,69,30,24,opel
103,69,33,23,opel
66,59,45,19,opel
96,63,35,22,opel
109,70,30,25,opel
105,64,34,23,opel
101,69,30,25,opel
93,65,36,21,opel
96,65,37,21,opel
69,57,50,18,opel
93,62,35,22,opel
90,60,37,21,opel
96,56,30,25,opel
98,54,31,24,opel
108,57,31,24,opel
101,62,30,25,opel
83,60,40,20,opel
76,60,41,20,opel
100,59,34,22,opel
98,62,34,22,opel
103,72,30,25,opel
103,69,30,25,opel
74,57,49,18,opel
101,68,30,25,opel
69,59,51,18,opel
69,58,50,18,opel
100,65,32,23,opel
66,57,52,18,opel
72,62,44,19,opel
105,70,30,25,opel
105,68,32,23,opel
69,56,53,18,opel
75,56,46,19,opel
108,54,31,24,opel
86,63,37,21,opel
79,62,38,21,opel
101,62,33,23,opel
103,66,32,24,opel
101,62,33,23,opel
72,53,48,19,opel
77,54,43,19,opel
86,64,37,21,opel
74,59,41,20,opel
