@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
43,78,64,8,48,159,van
40,77,65,9,46,143,van
46,73,58,11,43,186,van
40,53,53,6,53,157,van
43,85,64,11,43,174,van
44,84,55,12,44,164,van
39,77,59,8,48,123,van
46,82,58,11,43,189,van
41,62,56,7,52,157,van
34,58,59,6,52,113,van
37,53,59,5,55,133,van
47,83,133,48,43,176,van
40,62,59,8,52,150,van
44,76,54,10,44,176,van
37,70,62,9,48,140,van
45,91,63,10,45,171,van
44,85,66,10,43,159,van
46,76,66,11,42,172,van
34,62,61,7,54,112,van
48,78,56,11,43,185,van
37,51,52,5,57,125,van
46,75,55,11,43,171,van
42,64,64,10,50,159,van
43,70,52,6,49,172,van
44,85,56,11,43,175,van
39,62,59,6,57,145,van
40,66,59,7,54,143,van
36,66,61,8,50,119,van
42,64,51,7,51,155,van
42,64,68,9,49,170,van
46,92,63,11,42,171,van
38,76,59,8,47,138,van
41,84,58,9,45,162,van
39,78,66,8,48,126,van
35,58,58,6,55,116,van
47,80,54,11,43,174,van
44,84,62,10,46,166,van
44,88,67,10,43,154,van
41,63,59,6,55,150,van
45,73,69,8,46,176,van
46,85,66,9,44,179,van
39,68,56,8,52,134,van
35,47,55,3,57,139,van
38,70,66,25,47,130,van
35,66,62,9,50,115,van
47,85,60,10,43,186,van
39,58,51,6,52,150,van
39,57,48,7,51,151,van
42,64,64,10,50,159,van
44,70,58,6,49,166,van
44,80,58,11,44,176,van
49,82,56,10,43,186,van
39,68,49,7,51,134,van
41,62,60,6,52,157,van
45,73,68,8,46,179,van
39,57,56,6,58,145,van
35,66,64,8,52,112,van
46,90,67,9,43,184,van
38,74,59,7,49,128,van
47,85,138,49,43,187,van
48,75,58,10,43,185,van
45,81,102,43,44,177,van
47,81,62,9,45,181,van
37,52,54,6,58,144,van
46,77,52,10,44,177,van
46,74,59,9,44,177,van
44,72,64,8,48,171,van
47,88,64,11,43,185,van
48,83,72,10,42,184,van
43,88,61,9,45,140,van
47,81,64,11,44,188,van
42,66,58,9,50,164,van
35,60,59,7,52,109,van
38,66,52,8,52,140,van
45,83,56,10,43,188,van
41,82,63,9,46,127,van
36,60,56,6,56,118,van
37,70,52,9,53,119,van
38,66,55,7,51,123,van
45,87,67,10,44,174,van
41,79,63,8,46,134,van
42,66,57,6,54,160,van
44,90,65,10,44,143,van
40,79,64,9,46,149,van
44,78,68,9,46,171,van
39,64,48,8,52,139,van
47,85,64,10,42,185,van
41,80,62,8,45,161,van
40,59,53,7,52,157,van
47,85,58,10,44,186,van
42,66,53,7,51,162,van
40,82,63,9,45,137,van
36,66,55,5,56,131,van
36,68,59,8,47,127,van
37,72,60,9,50,128,van
45,77,64,9,41,174,saab
43,69,59,7,43,187,saab
54,102,65,10,33,240,saab
55,108,69,12,31,214,saab
40,75,56,7,44,160,saab
36,57,57,6,56,132,saab
50,96,65,10,35,195,saab
45,100,61,10,33,186,saab
54,100,69,10,30,202,saab
43,72,56,7,45,165,saab
53,108,64,11,31,203,saab
38,63,51,6,47,146,saab
40,63,56,5,50,166,saab
48,98,62,9,33,183,saab
54,98,65,11,31,216,saab
36,74,60,8,42,123,saab
45,105,64,10,36,158,saab
51,103,56,11,31,217,saab
52,104,59,10,32,197,saab
46,100,61,9,34,160,saab
46,83,56,6,41,184,saab
45,76,57,7,41,177,saab
50,103,60,11,31,188,saab
38,75,54,7,46,145,saab
42,80,62,6,46,170,saab
34,53,58,6,58,127,saab
35,53,57,4,59,128,saab
53,108,61,11,32,216,saab
36,69,63,6,48,126,saab
51,112,59,11,32,194,saab
54,98,66,11,31,216,saab
37,80,67,8,43,144,saab
38,82,59,8,43,137,saab
39,74,58,6,44,140,saab
52,100,62,10,31,214,saab
44,96,63,9,36,165,saab
34,72,56,6,50,125,saab
38,83,54,7,45,149,saab
53,106,55,10,32,223,saab
40,98,64,9,38,165,saab
53,105,57,11,31,218,saab
54,103,65,11,32,240,saab
46,106,66,10,33,210,saab
49,106,64,9,32,184,saab
47,109,59,11,34,165,saab
43,72,59,8,42,158,saab
49,109,61,11,31,215,saab
56,104,71,11,31,217,saab
54,106,68,10,32,218,saab
38,71,66,7,43,130,saab
40,83,60,8,41,155,saab
51,105,60,11,35,194,saab
53,101,63,10,32,202,saab
39,85,59,7,41,158,saab
51,90,69,8,36,230,saab
44,95,66,9,35,175,saab
37,54,55,4,52,140,saab
48,101,65,9,33,174,saab
51,105,56,11,32,222,saab
39,88,63,9,38,156,saab
51,108,62,11,30,202,saab
54,101,64,11,31,222,saab
46,105,61,10,34,195,saab
46,104,66,9,35,169,saab
48,85,60,11,38,187,saab
53,108,61,11,31,209,saab
46,81,61,9,40,175,saab
53,109,69,12,31,212,saab
39,83,60,8,38,152,saab
37,57,62,6,50,144,saab
40,66,59,4,49,151,saab
47,83,61,8,40,190,saab
45,101,66,9,34,195,saab
39,81,64,9,40,131,saab
39,86,59,9,39,129,saab
51,100,60,12,34,184,saab
38,55,55,5,48,145,saab
39,63,58,7,52,158,saab
38,75,53,6,47,149,saab
51,108,59,11,31,203,saab
37,54,53,5,50,146,saab
51,100,63,10,34,201,saab
43,92,62,10,36,153,saab
51,96,66,10,35,231,saab
50,90,63,9,37,197,saab
47,88,60,10,38,169,saab
33,40,57,3,61,127,saab
39,83,59,7,39,142,saab
37,54,61,4,50,141,saab
37,63,58,5,54,145,saab
53,101,65,11,31,221,saab
53,104,66,10,32,210,saab
48,104,63,10,33,199,saab
54,101,67,12,30,200,saab
41,88,59,9,38,147,saab
51,105,54,10,32,221,saab
56,103,73,10,30,214,saab
55,104,67,9,32,220,saab
54,108,68,12,31,224,saab
36,83,61,8,47,137,saab
38,86,60,9,39,138,saab
53,108,63,12,31,201,saab
36,75,55,6,48,138,saab
49,109,59,10,32,213,saab
37,66,54,7,52,142,saab
53,103,64,10,30,214,saab
38,58,60,5,46,157,saab
49,105,61,11,32,168,saab
33,50,53,4,59,127,saab
53,104,56,11,31,214,saab
40,89,58,8,37,155,saab
36,78,58,7,50,148,saab
52,100,59,9,33,234,saab
38,71,53,8,49,145,saab
51,104,67,10,32,195,saab
54,108,70,12,31,228,saab
53,98,54,10,31,218,saab
46,77,60,8,42,181,saab
48,105,64,10,33,178,saab
42,101,59,9,36,168,saab
34,66,59,7,47,117,saab
38,77,62,7,45,153,saab
41,69,56,7,47,169,saab
38,63,55,7,46,158,saab
53,93,62,11,31,196,saab
48,90,60,8,38,198,saab
37,59,63,7,51,143,saab
37,71,61,9,43,125,saab
49,100,60,10,35,178,saab
36,54,53,7,54,128,saab
37,80,58,9,42,115,saab
41,64,61,5,45,173,saab
40,66,58,6,48,164,saab
36,72,60,8,44,121,saab
45,76,60,9,42,169,saab
54,106,68,11,32,238,saab
56,101,72,10,31,216,saab
51,104,57,12,31,190,saab
54,103,66,11,31,212,saab
50,106,66,10,32,220,saab
43,89,63,8,35,166,saab
40,72,59,5,50,150,saab
55,101,67,12,30,213,saab
52,101,64,11,33,204,saab
52,104,60,12,31,212,saab
45,82,56,8,43,170,saab
37,60,57,6,52,132,saab
45,81,64,7,41,188,saab
43,76,57,7,44,176,saab
52,101,62,9,35,203,saab
54,105,62,11,33,235,saab
36,78,57,8,43,124,saab
54,103,63,11,30,213,saab
53,110,67,12,31,222,saab
37,76,63,8,40,139,saab
47,88,66,7,38,205,saab
52,109,55,12,31,214,saab
55,100,66,10,31,221,saab
40,62,62,7,45,173,saab
42,77,58,8,47,158,saab
39,72,55,7,46,149,saab
54,109,57,11,31,214,saab
49,83,63,7,37,222,saab
54,96,62,12,31,217,saab
53,103,63,11,30,212,saab
53,98,60,10,31,218,saab
50,94,67,9,35,214,saab
50,90,61,10,36,220,saab
54,100,61,10,31,220,saab
36,54,57,6,53,139,saab
54,102,64,11,31,221,saab
42,98,63,9,36,173,saab
38,88,60,7,39,144,saab
50,110,56,11,31,203,saab
34,66,55,6,54,118,saab
36,77,56,7,42,123,saab
38,80,59,7,41,137,saab
54,106,65,12,31,232,saab
40,100,58,8,37,160,saab
37,86,60,7,42,144,saab
50,104,58,11,32,186,saab
39,87,64,8,40,149,saab
40,85,62,9,39,133,saab
36,77,60,7,45,131,saab
53,105,66,11,32,224,saab
55,107,68,11,31,229,saab
53,105,71,12,30,202,saab
41,66,56,6,49,162,saab
36,51,53,4,50,144,saab
46,104,60,9,34,198,saab
36,85,64,6,41,139,saab
49,103,62,10,32,215,saab
51,98,60,10,34,219,saab
45,79,59,9,40,179,saab
52,108,64,12,31,200,saab
47,81,59,7,39,185,saab
47,70,70,7,40,172,bus
38,72,69,5,38,138,bus
38,75,64,7,43,139,bus
45,70,56,7,45,186,bus
48,95,68,7,32,200,bus
38,74,66,6,39,137,bus
49,89,54,4,31,198,bus
43,71,68,7,45,173,bus
48,79,68,6,35,171,bus
58,106,51,6,26,257,bus
41,70,64,7,45,152,bus
42,63,55,7,45,173,bus
46,68,59,6,44,183,bus
46,75,75,7,42,192,bus
40,78,73,6,41,148,bus
49,76,73,7,36,186,bus
43,70,65,8,46,168,bus
42,70,62,7,45,153,bus
45,72,71,5,40,186,bus
47,75,68,6,43,190,bus
43,61,53,8,46,172,bus
45,66,57,8,46,186,bus
51,89,65,6,32,205,bus
37,75,70,6,42,127,bus
37,73,68,7,43,135,bus
37,70,66,7,43,119,bus
52,94,66,5,31,218,bus
52,103,52,7,28,250,bus
42,70,56,7,45,172,bus
46,74,68,6,43,192,bus
57,107,67,6,26,260,bus
47,75,64,6,43,184,bus
39,70,66,7,44,143,bus
51,92,60,6,30,209,bus
45,70,54,7,45,186,bus
54,106,57,7,28,253,bus
43,65,56,8,46,171,bus
44,68,61,8,45,180,bus
43,76,75,7,43,173,bus
55,103,49,7,27,239,bus
45,83,65,5,33,167,bus
45,71,70,6,45,189,bus
43,73,68,7,44,173,bus
46,70,70,6,39,171,bus
49,98,59,6,31,210,bus
47,73,70,7,38,185,bus
43,68,53,7,46,176,bus
47,91,74,5,32,186,bus
42,66,54,6,46,174,bus
50,98,63,6,30,213,bus
51,84,72,7,35,198,bus
44,70,64,6,47,173,bus
43,68,67,6,46,177,bus
45,68,69,5,45,184,bus
43,71,64,6,45,171,bus
43,68,64,7,45,171,bus
45,66,65,6,46,177,bus
43,66,57,6,45,168,bus
41,70,65,7,46,147,bus
43,68,54,8,45,176,bus
38,79,69,6,40,133,bus
53,101,72,4,28,242,bus
42,81,69,5,38,156,bus
57,106,51,8,26,232,bus
56,102,75,6,28,228,bus
43,72,62,8,44,174,bus
44,65,55,8,46,176,bus
42,84,75,6,38,161,bus
42,65,50,8,45,171,bus
45,68,64,6,46,180,bus
37,72,72,6,41,127,bus
46,70,65,8,45,185,bus
45,68,60,7,45,179,bus
46,73,57,6,45,188,bus
51,92,65,5,31,214,bus
54,98,61,6,29,231,bus
46,71,56,7,44,191,bus
51,93,51,7,30,208,bus
45,86,69,7,35,183,bus
44,65,56,6,46,171,bus
44,70,64,6,45,185,bus
41,75,71,5,36,151,bus
49,79,71,5,37,206,bus
43,69,62,7,44,179,bus
44,72,52,7,44,177,bus
46,71,61,7,44,190,bus
47,84,71,7,36,201,bus
43,68,57,8,46,172,bus
40,76,67,7,44,144,bus
38,75,68,6,37,137,bus
41,73,64,7,44,152,bus
46,71,66,6,44,189,bus
35,70,68,5,41,117,bus
53,91,65,6,32,214,bus
44,70,72,8,42,178,bus
42,65,53,6,45,172,bus
39,70,61,7,46,141,bus
43,82,55,5,34,162,bus
42,66,66,7,44,159,bus
49,80,70,6,35,198,bus
47,69,64,6,44,195,bus
45,65,56,8,45,186,bus
45,76,69,7,44,179,bus
45,72,69,6,41,191,bus
44,84,74,6,35,154,bus
44,70,69,5,46,170,bus
42,63,55,8,46,172,bus
43,70,54,8,45,176,bus
41,76,67,7,45,152,bus
43,66,55,7,45,173,bus
45,89,71,5,35,182,bus
37,74,74,5,39,136,bus
54,105,48,5,27,243,bus
45,66,126,52,45,185,bus
43,66,56,6,46,171,bus
57,109,56,6,26,261,bus
44,70,103,52,45,188,bus
43,69,54,6,46,177,bus
57,106,50,6,26,264,bus
57,106,51,5,26,261,bus
44,70,61,8,46,173,bus
56,109,57,5,27,268,bus
56,103,64,5,26,239,bus
36,74,70,6,43,127,bus
43,70,72,7,44,171,bus
42,59,58,7,46,172,bus
50,81,67,6,34,198,bus
50,93,54,4,30,206,bus
52,95,58,4,29,217,bus
45,71,66,7,45,176,bus
42,65,54,7,45,172,bus
46,77,71,7,39,180,bus
54,100,67,4,27,262,bus
43,83,69,6,36,163,bus
46,73,59,6,45,183,bus
43,66,54,5,46,174,bus
40,73,68,7,44,151,bus
51,80,71,6,33,188,bus
42,71,64,7,45,158,bus
42,76,64,7,44,157,bus
44,71,70,7,46,172,bus
44,68,53,6,45,178,bus
45,68,64,6,46,184,bus
54,103,47,4,27,242,bus
43,66,54,7,46,175,bus
43,64,56,8,46,173,bus
44,68,59,8,45,173,bus
42,64,54,6,46,171,bus
44,72,60,6,44,178,bus
44,70,75,6,45,178,bus
42,70,59,7,45,156,bus
47,77,72,6,38,182,bus
37,73,71,7,42,132,bus
43,73,65,6,42,172,bus
44,66,58,6,45,185,bus
40,76,76,7,44,148,bus
41,76,73,7,42,153,bus
46,74,74,5,39,191,bus
43,68,62,7,46,171,bus
44,72,61,7,46,183,bus
44,68,53,8,45,190,bus
46,71,70,6,44,198,bus
41,66,65,22,45,155,bus
44,72,66,7,46,169,bus
39,76,71,6,43,143,bus
40,72,63,7,45,145,bus
43,73,65,7,44,160,bus
43,71,60,7,45,176,bus
45,74,74,7,41,183,bus
53,98,47,4,28,222,bus
42,76,65,5,42,157,bus
45,70,58,8,45,187,bus
37,75,71,6,40,135,bus
55,98,59,7,27,245,bus
42,62,67,6,43,165,bus
40,77,61,6,37,141,bus
44,68,50,7,45,189,bus
45,68,69,22,45,186,bus
58,105,51,6,26,255,bus
45,68,73,6,44,186,bus
41,77,64,5,36,148,bus
42,64,55,7,46,172,bus
43,64,69,7,43,177,bus
45,85,64,6,33,163,bus
41,71,68,7,44,157,bus
49,84,74,7,34,209,bus
38,70,68,6,39,129,bus
44,68,70,7,41,166,bus
45,73,63,6,44,176,bus
46,88,63,6,34,174,bus
42,66,53,7,45,163,bus
43,66,56,7,44,173,bus
36,73,73,6,40,125,bus
43,70,74,19,44,168,bus
47,88,60,7,33,201,bus
39,74,66,6,45,139,bus
56,100,69,10,32,223,opel
44,80,66,6,40,180,opel
44,93,62,8,35,151,opel
45,73,59,7,42,188,opel
49,86,64,9,37,209,opel
41,93,65,9,36,153,opel
40,75,62,6,48,162,opel
46,100,61,9,34,161,opel
54,107,64,12,30,199,opel
52,98,71,10,31,199,opel
47,81,57,8,41,197,opel
55,101,68,10,30,213,opel
54,104,58,10,31,222,opel
52,96,59,9,35,205,opel
52,103,57,11,31,189,opel
51,103,60,11,31,187,opel
36,51,56,4,57,135,opel
55,105,68,11,32,216,opel
36,60,56,6,55,121,opel
56,96,74,11,30,218,opel
55,105,68,11,30,210,opel
42,96,65,9,37,149,opel
44,77,59,6,44,177,opel
45,92,62,10,35,159,opel
37,77,54,7,43,145,opel
50,98,63,9,34,185,opel
41,83,63,9,38,138,opel
49,92,62,10,37,171,opel
37,53,54,6,55,147,opel
53,98,58,11,31,191,opel
38,53,59,5,51,146,opel
39,86,62,7,41,147,opel
43,69,56,7,44,168,opel
55,109,67,12,30,226,opel
55,101,57,13,30,204,opel
54,91,57,11,31,198,opel
53,103,66,11,32,212,opel
43,96,65,10,35,166,opel
48,104,67,9,32,202,opel
38,74,62,9,41,132,opel
38,60,56,5,50,141,opel
41,92,63,10,37,136,opel
36,78,55,7,45,134,opel
52,107,62,8,33,200,opel
47,81,64,8,39,182,opel
40,80,55,7,47,144,opel
55,105,70,10,30,218,opel
57,107,63,11,30,205,opel
51,109,70,11,30,206,opel
58,109,70,11,30,207,opel
39,91,62,8,37,151,opel
52,101,62,10,33,204,opel
39,72,53,9,48,144,opel
36,69,56,7,53,133,opel
52,107,60,11,31,197,opel
37,57,55,6,54,132,opel
38,75,59,6,46,136,opel
54,96,57,10,30,217,opel
37,78,62,8,41,117,opel
52,93,67,9,35,240,opel
36,66,57,8,52,139,opel
53,108,54,12,31,187,opel
56,100,59,11,31,219,opel
54,100,62,9,33,241,opel
38,72,53,9,51,123,opel
35,66,59,6,46,120,opel
56,105,59,10,32,218,opel
46,79,64,8,41,178,opel
52,98,62,9,34,244,opel
54,107,56,11,30,200,opel
48,107,68,10,32,204,opel
51,100,59,10,34,195,opel
44,77,60,7,44,161,opel
55,103,63,11,31,219,opel
38,76,61,8,40,145,opel
41,75,56,7,46,156,opel
37,80,59,8,44,136,opel
45,77,59,7,44,172,opel
54,104,59,10,32,217,opel
40,69,58,6,50,151,opel
38,58,58,5,51,145,opel
58,103,69,11,30,246,opel
38,63,59,5,52,139,opel
40,79,62,7,38,150,opel
40,69,59,7,51,144,opel
55,96,60,12,30,214,opel
57,105,69,11,30,250,opel
49,107,57,11,31,172,opel
53,98,63,11,30,214,opel
36,78,64,8,42,142,opel
36,72,56,7,48,130,opel
45,76,60,7,42,186,opel
34,66,56,7,51,114,opel
50,83,65,6,37,210,opel
59,108,70,11,30,218,opel
45,80,62,7,40,178,opel
54,100,53,10,31,201,opel
42,75,55,6,46,166,opel
49,96,61,10,36,180,opel
39,88,69,8,40,151,opel
37,76,60,8,41,136,opel
55,98,54,10,31,221,opel
35,78,60,8,45,137,opel
55,96,56,9,30,216,opel
34,69,57,5,48,120,opel
41,66,55,7,50,165,opel
54,105,67,10,33,214,opel
48,105,64,11,33,162,opel
55,101,62,13,30,213,opel
55,107,61,11,30,204,opel
43,78,59,7,44,174,opel
45,82,60,8,42,174,opel
54,98,53,10,31,223,opel
38,64,59,8,51,135,opel
36,69,57,7,50,128,opel
47,103,69,10,33,200,opel
55,96,54,10,31,218,opel
52,104,55,10,32,215,opel
35,66,59,7,45,123,opel
40,66,52,4,44,163,opel
38,66,62,6,54,139,opel
46,101,66,8,35,169,opel
49,86,63,8,37,201,opel
44,98,70,10,35,178,opel
40,83,61,8,37,157,opel
49,103,67,10,33,174,opel
38,77,56,7,41,140,opel
51,96,63,9,35,235,opel
47,83,60,7,40,201,opel
39,60,56,6,49,142,opel
46,82,58,8,40,164,opel
46,79,62,8,40,193,opel
36,77,62,8,42,126,opel
46,101,65,9,34,199,opel
48,101,61,11,31,193,opel
48,101,62,12,33,164,opel
55,100,62,11,31,219,opel
42,69,58,8,48,151,opel
58,101,65,12,30,216,opel
39,84,57,8,43,157,opel
55,101,57,10,30,211,opel
56,98,64,11,31,216,opel
34,42,57,3,59,121,opel
52,101,64,10,33,186,opel
38,63,55,7,55,144,opel
38,89,59,9,39,148,opel
55,103,65,11,31,249,opel
55,105,59,10,31,223,opel
57,100,54,13,30,213,opel
49,103,57,11,32,186,opel
45,100,65,8,32,189,opel
53,103,63,9,34,210,opel
55,101,70,9,31,245,opel
38,85,61,8,40,130,opel
57,109,66,11,30,236,opel
54,91,67,11,31,196,opel
45,75,57,6,44,180,opel
52,109,68,10,30,207,opel
38,53,58,6,51,148,opel
35,50,58,5,59,138,opel
56,100,55,11,31,224,opel
39,77,59,8,45,133,opel
57,104,74,10,31,223,opel
49,107,54,12,32,183,opel
38,84,55,9,39,155,opel
39,86,54,7,45,139,opel
36,78,62,6,48,129,opel
38,78,61,7,46,142,opel
52,105,53,10,31,204,opel
51,108,57,10,31,184,opel
51,109,67,9,30,206,opel
37,74,59,7,41,130,opel
39,89,62,9,38,121,opel
39,69,54,5,49,162,opel
56,105,61,11,30,212,opel
54,101,58,10,30,203,opel
39,90,60,7,37,145,opel
51,104,52,10,32,193,opel
46,105,68,9,33,201,opel
57,103,72,12,30,218,opel
57,103,69,11,30,219,opel
44,71,56,8,48,174,opel
48,83,59,8,39,196,opel
36,72,56,7,54,123,opel
55,98,68,11,31,214,opel
54,103,50,11,30,201,opel
42,88,62,10,36,168,opel
43,96,63,10,36,139,opel
50,108,65,10,31,218,opel
46,94,67,10,34,194,opel
35,72,62,7,44,125,opel
