@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
93,57,260,193,201,van
90,64,375,185,195,van
86,60,212,200,207,van
91,56,211,192,198,van
89,58,330,188,200,van
92,63,319,199,206,van
91,58,268,191,197,van
86,58,371,183,192,van
83,53,218,181,185,van
83,53,247,176,183,van
88,57,204,180,183,van
93,51,284,184,185,van
91,55,256,191,192,van
90,58,373,182,193,van
96,68,354,194,202,van
91,59,289,201,209,van
95,57,339,187,200,van
93,56,364,184,197,van
95,65,314,199,207,van
93,68,268,192,201,van
89,61,338,187,199,van
89,59,362,183,193,van
100,64,387,189,196,van
90,62,366,185,193,van
85,56,195,197,202,van
90,59,259,197,204,van
89,66,368,186,197,van
90,56,354,182,191,van
94,61,265,201,208,van
86,68,305,190,201,van
95,52,253,184,183,van
88,59,246,202,209,van
85,64,324,188,199,van
84,61,278,196,205,van
85,60,253,195,203,van
93,63,309,199,207,van
94,62,258,196,201,van
98,52,243,186,185,van
89,54,213,181,183,van
92,59,241,204,210,van
84,58,349,183,193,van
89,58,345,187,197,van
94,56,367,183,192,van
93,69,279,193,204,van
91,55,253,190,194,van
85,55,212,186,190,van
94,64,357,185,196,van
96,67,351,192,201,van
92,52,275,182,184,van
85,58,197,185,189,saab
113,62,688,188,199,saab
101,61,578,192,205,saab
92,66,355,189,195,saab
90,58,373,201,209,saab
108,56,712,189,199,saab
86,59,279,186,190,saab
90,60,367,197,204,saab
91,59,426,192,199,saab
91,55,314,184,189,saab
89,64,390,194,201,saab
109,64,586,190,198,saab
106,64,645,190,202,saab
92,57,349,203,211,saab
89,53,266,184,185,saab
87,53,277,181,186,saab
96,68,378,190,197,saab
105,57,661,186,197,saab
103,55,660,187,197,saab
92,57,381,190,195,saab
104,63,664,188,198,saab
95,65,559,188,196,saab
93,63,405,192,197,saab
80,55,314,180,185,saab
100,60,440,201,210,saab
109,63,720,187,200,saab
90,57,216,190,195,saab
98,67,629,187,196,saab
88,60,319,180,183,saab
109,68,675,189,202,saab
108,61,665,190,199,saab
98,59,586,194,208,saab
115,60,573,198,208,saab
91,60,383,186,191,saab
89,62,327,188,193,saab
95,59,425,191,198,saab
93,62,505,195,204,saab
90,59,396,186,192,saab
93,66,452,195,202,saab
97,71,713,186,200,saab
106,64,709,190,205,saab
117,65,668,194,205,saab
84,55,290,189,195,saab
83,57,238,179,183,saab
100,60,578,189,197,saab
98,61,480,199,208,saab
93,63,508,189,197,saab
110,66,659,190,203,saab
88,56,357,188,193,saab
94,60,373,193,199,saab
107,71,705,189,196,saab
96,67,525,193,201,saab
92,56,382,186,191,saab
109,59,635,191,202,saab
89,58,471,189,196,saab
102,67,621,188,197,saab
104,61,694,188,201,saab
90,59,298,201,207,saab
103,56,650,187,196,saab
101,59,667,190,206,saab
101,60,572,192,201,saab
108,62,608,190,200,saab
94,62,430,200,210,saab
104,61,637,193,207,saab
101,72,698,187,197,saab
86,62,330,180,185,saab
105,63,712,189,203,saab
104,59,694,190,201,saab
82,53,229,180,184,saab
90,64,385,195,203,saab
90,62,458,189,195,saab
92,67,353,190,195,saab
104,65,667,187,198,saab
96,66,552,189,197,saab
93,59,418,197,204,saab
109,63,707,188,199,saab
98,65,430,192,199,saab
104,65,527,195,206,saab
78,51,299,181,185,saab
100,59,642,187,198,saab
112,56,676,191,202,saab
84,59,344,183,187,saab
98,64,415,197,205,saab
99,63,604,188,197,saab
97,63,512,191,199,saab
97,60,370,198,206,saab
109,66,677,188,201,saab
85,58,295,182,186,saab
85,59,260,191,195,saab
104,68,703,188,199,saab
108,62,635,189,198,saab
104,59,583,191,198,saab
90,61,492,191,199,saab
107,62,694,187,198,saab
111,60,663,190,200,saab
105,70,687,189,201,saab
91,60,334,196,205,saab
83,61,271,180,183,saab
108,63,576,194,205,saab
84,57,196,183,190,saab
86,60,433,191,199,saab
105,69,718,187,199,saab
104,66,680,185,194,saab
82,54,252,183,187,saab
86,61,333,182,185,saab
87,58,337,187,196,saab
101,69,684,188,199,saab
104,66,635,188,196,saab
100,62,489,195,205,saab
107,64,627,194,205,saab
89,59,389,192,197,saab
82,53,268,181,182,saab
103,66,612,191,199,saab
92,60,373,190,196,saab
90,55,224,196,202,saab
115,64,710,189,199,saab
104,64,707,189,203,saab
106,61,635,190,203,saab
91,60,445,188,194,saab
105,68,640,189,199,saab
97,59,459,196,205,saab
95,66,543,190,200,saab
100,65,587,187,196,saab
88,58,293,198,205,saab
107,66,704,188,197,saab
106,67,721,187,201,saab
106,54,691,187,197,saab
90,59,360,203,209,saab
107,68,709,187,197,saab
110,64,669,188,198,saab
96,58,455,191,200,saab
109,60,691,189,199,saab
95,64,520,198,211,saab
86,56,274,183,189,saab
98,63,472,193,201,saab
95,61,365,196,208,saab
88,60,460,192,199,saab
85,54,318,183,188,saab
97,71,658,186,196,saab
89,61,402,187,193,saab
91,53,305,186,191,saab
93,69,506,189,196,saab
102,68,638,189,200,saab
87,58,318,181,185,saab
116,67,692,192,206,saab
91,63,457,191,198,saab
115,62,697,188,197,saab
106,64,607,192,204,saab
89,57,220,181,184,saab
79,55,295,180,183,saab
89,64,427,195,201,saab
86,60,331,196,203,saab
93,57,335,189,194,saab
107,63,704,190,203,saab
96,56,297,202,209,saab
91,64,465,195,205,saab
99,66,623,191,201,saab
109,69,712,188,201,saab
108,73,718,187,197,saab
96,58,486,192,202,saab
91,61,298,193,200,saab
112,58,639,191,202,saab
102,64,600,192,204,saab
88,58,230,184,188,saab
104,54,641,187,197,saab
108,57,709,189,201,saab
82,63,264,179,185,saab
101,60,458,197,210,saab
98,66,533,191,199,saab
90,63,467,189,195,saab
86,58,270,190,195,saab
91,56,327,186,191,saab
104,61,686,185,195,saab
106,60,681,188,197,saab
107,65,696,187,199,saab
89,54,308,194,201,saab
85,57,184,181,183,saab
107,68,700,190,204,saab
89,63,291,193,204,saab
110,61,561,194,203,saab
108,65,648,189,197,saab
89,62,308,185,189,saab
91,56,361,195,201,saab
98,65,584,189,197,saab
100,61,415,198,207,saab
107,56,673,188,198,saab
83,55,245,180,184,saab
89,59,351,187,192,saab
93,58,246,198,204,saab
86,56,262,187,191,saab
94,60,435,195,204,saab
93,56,263,200,206,saab
110,57,674,191,199,saab
88,62,265,180,184,saab
94,59,349,193,198,saab
85,56,319,179,182,bus
79,62,344,182,188,bus
105,51,703,188,188,bus
90,68,336,192,197,bus
98,69,427,200,202,bus
81,53,333,179,183,bus
84,64,317,183,187,bus
100,65,622,193,193,bus
84,65,312,184,188,bus
85,55,326,180,183,bus
105,71,579,194,194,bus
80,60,330,180,184,bus
98,61,457,199,201,bus
87,56,322,180,182,bus
81,56,342,180,186,bus
87,75,326,194,201,bus
83,67,333,182,188,bus
86,68,356,188,194,bus
94,72,365,192,200,bus
96,70,372,202,206,bus
79,61,349,183,189,bus
96,70,427,200,203,bus
102,60,731,188,186,bus
82,64,320,181,184,bus
85,55,323,179,182,bus
109,57,857,184,184,bus
104,54,682,190,189,bus
97,65,361,200,204,bus
90,64,345,195,204,bus
106,67,987,180,184,bus
93,65,463,197,202,bus
97,66,346,201,208,bus
94,71,465,197,199,bus
80,53,327,179,184,bus
83,70,338,181,186,bus
85,54,317,180,182,bus
96,74,419,196,200,bus
93,68,347,196,205,bus
96,74,408,196,200,bus
94,71,533,195,198,bus
110,64,928,184,183,bus
91,67,332,192,200,bus
94,71,362,197,206,bus
88,68,349,189,195,bus
99,74,629,192,191,bus
82,69,322,181,184,bus
104,66,666,193,191,bus
86,56,331,178,183,bus
103,52,816,183,184,bus
82,68,330,181,186,bus
87,66,318,195,200,bus
98,63,563,194,197,bus
100,68,605,192,194,bus
84,54,332,181,184,bus
80,53,333,180,185,bus
88,70,312,188,193,bus
82,52,340,180,185,bus
94,74,525,196,197,bus
81,62,323,180,184,bus
88,61,311,196,203,bus
86,56,317,179,182,bus
109,51,870,184,183,bus
87,64,341,190,194,bus
81,61,347,182,187,bus
86,62,337,188,192,bus
94,69,373,193,198,bus
96,64,485,196,198,bus
98,72,520,196,199,bus
87,65,362,189,193,bus
106,47,838,185,184,bus
82,61,317,181,185,bus
107,59,866,186,184,bus
85,62,341,181,184,bus
86,50,332,179,183,bus
86,56,324,180,183,bus
85,58,320,179,182,bus
80,59,329,180,185,bus
92,74,375,195,201,bus
81,55,320,179,182,bus
85,54,324,179,182,bus
83,64,331,184,190,bus
99,65,671,191,189,bus
113,56,982,182,183,bus
86,63,335,189,196,bus
86,54,319,179,182,bus
85,103,325,180,183,bus
90,55,336,180,184,bus
81,57,323,179,184,bus
108,51,966,182,181,bus
87,72,341,184,187,bus
85,54,320,179,181,bus
98,69,570,194,195,bus
95,69,484,196,198,bus
85,58,323,180,183,bus
89,50,328,179,182,bus
85,54,326,181,184,bus
81,60,347,182,186,bus
89,66,352,188,195,bus
96,59,680,188,189,bus
93,69,523,194,197,bus
95,64,322,195,200,bus
90,69,393,198,205,bus
89,62,323,186,189,bus
86,56,340,181,185,bus
110,51,998,181,182,bus
100,67,531,197,198,bus
85,53,325,180,182,bus
93,71,476,198,201,bus
78,65,319,181,186,bus
87,66,343,186,190,bus
89,76,342,193,197,bus
84,64,354,185,192,bus
87,51,324,178,182,bus
100,70,517,198,199,bus
98,74,558,195,195,bus
80,56,337,181,187,bus
95,73,374,199,204,bus
91,66,325,201,207,bus
81,73,336,183,189,bus
107,50,957,181,183,bus
108,75,855,186,185,bus
86,64,322,181,183,bus
96,70,341,201,205,bus
102,72,844,184,184,bus
82,64,328,187,195,bus
94,72,361,199,206,bus
106,48,891,181,182,bus
101,57,833,185,185,bus
97,71,399,196,203,bus
86,57,334,180,184,bus
80,54,329,179,183,bus
86,66,322,189,196,bus
97,60,596,192,191,bus
83,59,336,185,191,bus
86,53,335,179,183,bus
106,67,923,182,182,bus
85,53,321,180,182,bus
99,66,414,200,202,bus
107,55,822,187,187,bus
101,67,341,202,209,bus
89,66,312,191,198,bus
86,65,331,183,188,bus
85,56,332,179,184,bus
110,57,928,183,183,bus
107,51,954,181,184,bus
84,75,359,185,190,bus
82,54,329,179,182,bus
100,70,406,200,205,bus
81,64,340,183,188,bus
88,68,341,196,200,bus
100,71,479,197,197,bus
97,73,487,197,200,bus
81,69,335,180,185,bus
81,64,330,182,185,bus
99,62,625,191,190,bus
82,65,341,185,189,bus
96,55,534,195,196,bus
102,61,766,188,187,bus
96,72,429,199,203,bus
86,57,321,179,182,bus
98,68,371,202,205,bus
100,63,719,189,189,bus
89,64,299,193,199,bus
101,65,636,192,192,bus
88,66,332,193,201,bus
105,54,735,186,184,bus
85,56,324,180,184,bus
98,68,413,200,203,bus
86,54,325,180,182,bus
106,47,892,181,183,bus
84,64,339,187,193,bus
86,53,326,179,182,bus
91,69,434,198,204,bus
91,75,446,196,201,bus
88,73,379,193,197,bus
100,73,401,200,204,bus
94,67,310,198,203,bus
88,74,342,186,189,bus
84,55,325,179,183,bus
82,64,350,183,187,bus
83,69,306,188,193,bus
85,57,333,180,183,bus
89,63,321,192,196,bus
101,53,956,180,184,bus
87,61,307,192,199,bus
85,56,328,181,185,bus
102,64,570,195,193,bus
92,70,363,198,202,bus
85,58,334,181,186,bus
91,75,362,192,199,bus
97,68,450,197,199,bus
99,69,485,198,199,bus
83,61,325,185,191,bus
114,52,968,182,184,bus
107,49,904,179,186,bus
94,72,385,200,204,bus
91,65,574,186,194,opel
102,53,669,187,195,opel
104,74,713,186,195,opel
79,53,295,181,189,opel
86,57,358,183,190,opel
91,65,504,193,200,opel
97,62,389,203,211,opel
103,62,666,187,194,opel
100,70,722,189,198,opel
107,62,526,195,203,opel
92,58,290,199,206,opel
104,69,716,187,196,opel
97,63,677,185,194,opel
104,68,623,189,196,opel
89,56,317,184,188,opel
96,65,624,186,194,opel
82,57,342,181,187,opel
88,56,296,188,197,opel
111,50,727,190,198,opel
103,71,633,188,196,opel
78,56,221,178,185,opel
84,55,330,180,186,opel
100,63,756,186,198,opel
97,60,391,188,192,opel
80,59,259,179,188,opel
91,63,473,192,198,opel
89,54,332,188,193,opel
96,67,589,192,201,opel
86,62,290,183,190,opel
88,57,284,204,210,opel
87,64,471,192,199,opel
109,62,624,195,206,opel
85,59,331,184,193,opel
100,65,611,189,195,opel
84,62,232,185,190,opel
103,63,567,198,204,opel
101,63,571,191,198,opel
103,54,644,191,200,opel
93,59,379,195,201,opel
103,59,648,188,196,opel
88,62,462,189,199,opel
107,57,676,189,198,opel
101,55,681,185,192,opel
98,53,737,187,198,opel
104,67,706,191,202,opel
101,59,678,186,195,opel
90,64,367,192,198,opel
76,58,259,177,184,opel
98,61,650,189,196,opel
95,74,670,186,193,opel
90,62,388,185,191,opel
90,61,472,187,193,opel
103,64,728,189,200,opel
107,61,725,189,196,opel
109,59,553,196,202,opel
77,59,315,181,187,opel
97,54,685,184,193,opel
88,62,287,194,202,opel
96,54,683,185,193,opel
102,71,682,187,196,opel
106,63,710,188,197,opel
104,59,530,193,200,opel
105,56,713,187,194,opel
100,67,704,189,199,opel
96,69,598,187,194,opel
85,52,340,180,183,opel
95,67,628,186,193,opel
100,70,752,187,198,opel
100,57,731,188,197,opel
104,53,711,188,198,opel
80,55,229,178,184,opel
97,66,546,191,200,opel
85,53,261,188,198,opel
85,55,219,195,201,opel
89,62,367,198,205,opel
90,55,284,192,197,opel
93,62,504,189,197,opel
98,69,748,187,195,opel
107,66,653,191,201,opel
97,63,494,199,203,opel
93,59,304,197,202,opel
103,63,455,197,206,opel
95,68,602,191,202,opel
106,62,602,194,201,opel
101,69,651,186,193,opel
92,60,322,206,211,opel
105,64,696,188,199,opel
92,64,396,191,198,opel
95,65,534,190,197,opel
103,65,673,188,196,opel
97,70,732,186,198,opel
92,58,409,200,208,opel
88,56,395,192,198,opel
98,65,748,185,196,opel
98,60,371,190,196,opel
101,62,757,186,197,opel
86,55,266,180,187,opel
89,66,396,194,199,opel
94,59,394,198,204,opel
106,58,693,188,198,opel
98,59,665,186,195,opel
106,68,679,189,201,opel
93,59,342,193,197,opel
93,60,417,187,192,opel
89,57,266,193,203,opel
92,67,536,188,195,opel
92,56,333,198,203,opel
93,62,334,203,210,opel
105,60,701,191,203,opel
84,60,469,190,198,opel
88,59,343,202,208,opel
101,54,685,190,201,opel
89,65,481,189,194,opel
103,57,707,186,198,opel
87,60,366,190,196,opel
88,69,416,186,192,opel
99,64,575,194,205,opel
86,60,345,187,192,opel
101,67,601,189,196,opel
104,70,737,188,196,opel
82,59,259,177,183,opel
100,62,521,193,198,opel
94,62,444,201,209,opel
94,62,418,191,198,opel
82,54,338,183,189,opel
80,56,281,179,186,opel
107,64,610,197,206,opel
100,63,519,197,205,opel
87,61,402,198,205,opel
104,69,708,186,196,opel
102,64,616,193,203,opel
106,61,494,202,209,opel
101,68,641,190,202,opel
99,68,737,187,196,opel
105,61,557,194,202,opel
97,64,602,193,202,opel
88,59,252,193,200,opel
105,67,597,190,198,opel
99,62,722,186,196,opel
105,57,706,187,195,opel
85,55,321,197,203,opel
79,55,311,181,193,opel
86,57,252,183,187,opel
108,60,661,190,200,opel
97,67,573,188,197,opel
104,62,587,195,204,opel
101,61,730,187,201,opel
91,62,562,190,199,opel
93,60,331,191,198,opel
87,70,535,187,194,opel
95,65,474,193,200,opel
101,68,653,186,195,opel
84,56,261,185,188,opel
84,57,282,183,191,opel
104,72,718,186,195,opel
100,68,731,188,199,opel
97,63,481,197,204,opel
88,58,192,182,187,opel
87,59,350,184,189,opel
103,56,729,187,201,opel
77,59,247,183,187,opel
89,56,286,187,192,opel
103,69,706,187,195,opel
89,57,388,187,193,opel
101,53,669,186,194,opel
102,56,706,186,196,opel
109,57,630,192,201,opel
99,66,725,188,200,opel
92,62,388,197,206,opel
99,54,726,185,198,opel
86,54,352,186,191,opel
89,58,260,203,209,opel
99,55,657,187,194,opel
83,54,274,187,190,opel
97,65,683,188,197,opel
91,57,335,193,198,opel
103,62,595,192,202,opel
86,59,428,193,202,opel
89,61,314,187,194,opel
95,63,543,191,198,opel
98,70,661,188,197,opel
78,56,209,177,184,opel
99,64,517,194,201,opel
99,62,600,189,198,opel
101,57,741,186,198,opel
102,58,728,189,198,opel
102,57,663,191,201,opel
100,52,631,188,196,opel
96,59,438,195,201,opel
89,55,312,191,198,opel
108,68,709,190,197,opel
