@relation vehicle

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
46,66,151,146,186,190,bus
41,69,177,139,198,199,bus
43,72,152,145,184,187,bus
42,66,145,140,201,207,bus
44,103,149,144,180,183,bus
44,72,153,144,199,206,bus
42,64,151,143,187,193,bus
57,51,256,170,182,181,bus
43,69,177,139,196,198,bus
43,55,186,141,195,196,bus
43,54,150,144,180,182,bus
37,70,154,131,198,202,bus
43,57,149,146,179,184,bus
42,53,149,143,180,182,bus
44,60,153,146,182,186,bus
43,55,150,146,180,183,bus
56,57,251,169,183,183,bus
46,63,192,147,194,197,bus
45,69,148,144,181,184,bus
41,65,149,139,184,191,bus
43,56,148,145,179,182,bus
44,54,151,147,179,182,bus
47,61,153,149,183,189,bus
43,56,150,144,180,184,bus
42,54,148,141,180,182,bus
45,69,156,144,193,198,bus
56,53,257,168,180,184,bus
45,66,146,144,189,196,bus
46,61,153,148,182,187,bus
43,65,147,145,181,186,bus
37,66,151,129,201,208,bus
43,53,150,147,179,184,bus
49,73,178,157,197,200,bus
42,55,149,146,179,182,bus
48,68,185,153,195,195,bus
53,47,237,164,185,184,bus
54,48,247,165,181,182,bus
43,56,148,145,179,182,bus
44,64,154,144,183,187,bus
47,64,154,145,185,192,bus
49,59,213,152,188,189,bus
45,126,148,144,181,185,bus
45,56,151,145,179,184,bus
43,64,150,144,182,185,bus
45,63,149,145,189,196,bus
40,61,172,139,199,201,bus
50,67,186,158,197,198,bus
45,74,157,143,195,201,bus
45,60,152,151,179,183,bus
44,56,152,150,178,183,bus
44,53,151,146,180,185,bus
42,51,150,141,178,182,bus
43,56,152,142,181,185,bus
58,51,265,174,181,183,bus
45,64,146,142,183,187,bus
41,67,148,140,188,195,bus
51,71,195,159,194,194,bus
40,67,149,135,192,200,bus
44,61,147,143,181,185,bus
42,54,150,140,180,182,bus
39,72,155,133,192,200,bus
41,66,153,136,188,195,bus
45,65,194,146,193,191,bus
35,68,155,124,202,205,bus
42,53,149,145,180,182,bus
52,66,208,161,193,191,bus
38,68,171,129,197,199,bus
45,65,145,144,184,188,bus
41,73,157,136,191,195,bus
53,65,204,161,192,192,bus
45,57,148,145,179,182,bus
47,71,176,152,198,201,bus
52,58,227,158,187,186,bus
42,69,169,137,198,204,bus
41,71,176,138,197,197,bus
46,74,163,149,196,200,bus
36,73,162,127,200,204,bus
43,57,151,143,180,183,bus
46,70,151,147,181,186,bus
51,72,184,161,196,199,bus
44,75,146,141,194,201,bus
38,68,164,136,200,203,bus
47,64,151,147,183,188,bus
43,54,148,145,179,181,bus
58,51,261,171,181,182,bus
37,74,165,128,196,200,bus
49,74,190,154,195,195,bus
45,64,147,143,181,184,bus
57,67,262,171,180,184,bus
42,50,152,141,179,183,bus
45,58,151,146,181,186,bus
44,64,148,145,181,183,bus
51,60,220,162,188,186,bus
47,72,167,150,199,203,bus
55,51,241,165,184,183,bus
46,68,152,148,189,195,bus
43,62,150,142,188,192,bus
44,53,151,147,179,183,bus
44,74,184,145,196,197,bus
40,63,146,135,192,196,bus
47,68,154,146,188,194,bus
45,64,192,146,195,193,bus
46,65,149,146,183,188,bus
44,52,152,147,180,185,bus
44,66,144,147,191,198,bus
57,52,257,169,182,184,bus
47,70,162,153,200,205,bus
45,71,161,144,196,203,bus
45,56,151,147,181,187,bus
44,69,143,143,188,193,bus
43,75,155,143,185,190,bus
47,70,167,152,200,206,bus
43,54,150,147,179,182,bus
39,61,143,136,192,199,bus
37,71,161,128,195,202,bus
43,60,150,146,180,184,bus
38,69,160,130,198,205,bus
44,50,150,147,179,182,bus
43,65,151,143,185,189,bus
43,54,150,145,179,183,bus
43,62,153,144,182,188,bus
55,59,240,168,186,184,bus
56,64,250,169,184,183,bus
45,69,184,145,194,197,bus
46,57,151,147,180,184,bus
57,50,255,169,181,183,bus
44,70,155,145,202,206,bus
53,72,238,163,184,184,bus
47,60,197,148,192,191,bus
39,66,145,134,195,200,bus
40,68,150,137,196,200,bus
51,62,203,158,191,190,bus
56,75,239,167,186,185,bus
38,64,151,131,195,204,bus
44,58,148,145,180,183,bus
55,57,241,170,184,184,bus
50,54,222,159,186,184,bus
57,55,234,171,187,187,bus
42,67,150,144,182,188,bus
42,67,149,139,202,209,bus
41,64,151,138,190,194,bus
44,64,141,143,193,199,bus
45,70,146,146,187,191,bus
38,66,164,131,200,202,bus
36,73,156,126,199,204,bus
43,56,149,143,180,182,bus
49,70,183,156,198,199,bus
43,54,151,146,181,184,bus
43,62,152,145,181,184,bus
37,71,154,127,197,206,bus
41,64,148,138,187,195,bus
42,64,149,142,184,190,bus
46,59,150,146,185,191,bus
42,54,148,143,179,182,bus
42,53,152,141,179,183,bus
37,68,151,131,196,205,bus
55,49,252,172,179,186,bus
51,51,217,165,188,188,bus
51,65,209,159,191,189,bus
49,54,212,153,190,189,bus
44,59,150,145,180,185,bus
40,73,158,134,193,197,bus
42,65,155,138,189,193,bus
57,51,257,172,181,184,bus
47,74,202,148,192,191,bus
43,69,150,142,199,206,bus
52,52,236,160,183,184,bus
43,67,142,142,198,203,bus
52,69,192,161,194,195,bus
39,71,152,131,195,200,bus
42,55,149,145,179,182,bus
46,71,166,150,200,203,bus
44,56,149,144,179,182,bus
55,57,225,177,186,198,opel
55,70,210,168,188,197,opel
52,53,212,163,186,194,opel
47,57,161,149,187,193,opel
55,56,219,175,187,194,opel
40,55,147,135,181,193,opel
52,60,218,167,191,203,opel
49,54,208,159,191,200,opel
54,67,218,170,187,196,opel
55,60,221,173,186,196,opel
54,56,219,171,186,196,opel
49,57,214,161,192,206,opel
38,58,134,128,177,184,opel
37,54,126,128,176,184,opel
54,53,213,173,187,195,opel
49,64,177,153,192,199,opel
38,53,134,132,188,198,opel
39,62,162,131,185,191,opel
39,56,139,131,179,186,opel
51,63,190,161,191,198,opel
45,59,159,146,195,201,opel
51,52,206,164,188,196,opel
36,56,127,125,184,194,opel
51,68,209,162,186,195,opel
55,62,212,175,187,194,opel
55,65,212,165,188,196,opel
51,60,211,160,190,200,opel
48,63,181,155,199,203,opel
42,62,183,141,189,197,opel
39,57,156,133,183,190,opel
57,54,224,188,185,198,opel
35,62,149,124,203,210,opel
55,69,225,178,187,195,opel
56,61,221,179,189,196,opel
52,67,198,163,192,201,opel
40,62,176,138,189,199,opel
40,59,130,134,193,200,opel
38,59,133,128,177,183,opel
44,60,152,141,187,192,opel
38,59,134,126,179,188,opel
53,63,195,162,191,198,opel
42,55,145,139,191,198,opel
52,64,203,157,193,203,opel
35,60,150,125,191,198,opel
49,62,178,154,198,206,opel
38,59,130,130,183,187,opel
38,62,161,135,197,206,opel
50,65,178,156,189,194,opel
58,69,219,176,187,196,opel
38,56,163,129,192,198,opel
38,62,126,132,185,190,opel
52,55,210,166,187,194,opel
55,54,215,175,185,193,opel
38,59,169,132,193,202,opel
39,54,153,134,183,189,opel
38,56,132,130,185,188,opel
39,53,142,135,181,189,opel
57,74,212,175,186,193,opel
54,59,213,172,186,195,opel
44,59,151,145,202,208,opel
57,63,227,180,186,198,opel
40,58,132,137,203,209,opel
52,62,200,161,194,201,opel
46,65,196,146,186,194,opel
40,55,150,134,180,186,opel
48,59,171,152,195,201,opel
55,59,215,177,186,195,opel
39,54,135,131,187,190,opel
43,59,151,141,193,197,opel
37,59,153,126,191,197,opel
36,56,120,124,177,184,opel
55,65,204,166,186,194,opel
38,61,146,127,187,194,opel
38,59,147,132,181,187,opel
52,59,188,161,193,200,opel
44,54,149,144,188,193,opel
50,63,193,161,198,204,opel
54,50,221,172,190,198,opel
46,67,195,147,188,197,opel
36,56,138,126,187,192,opel
52,64,202,164,197,206,opel
38,58,133,127,177,184,opel
55,63,215,172,185,194,opel
40,57,153,133,181,187,opel
39,62,176,137,192,200,opel
35,59,142,128,197,202,opel
55,68,218,171,190,197,opel
48,61,207,152,189,196,opel
54,58,215,175,186,194,opel
44,56,142,143,188,197,opel
54,53,217,174,187,198,opel
45,62,164,145,199,204,opel
54,57,219,170,187,195,opel
56,64,217,173,188,199,opel
44,66,162,143,194,199,opel
34,57,114,119,179,183,opel
52,71,214,164,187,196,opel
52,62,193,161,190,199,opel
49,63,177,156,192,198,opel
48,71,205,153,188,196,opel
51,59,192,161,196,202,opel
55,61,225,178,187,201,opel
41,56,146,137,184,188,opel
41,55,138,138,192,197,opel
46,58,165,149,200,208,opel
46,64,162,149,191,198,opel
36,56,123,124,178,185,opel
55,68,215,170,189,201,opel
51,57,212,162,191,201,opel
50,65,214,156,188,197,opel
58,70,226,182,187,198,opel
44,62,186,147,193,198,opel
40,61,178,132,187,193,opel
42,65,178,141,193,200,opel
52,62,198,161,195,204,opel
57,66,221,176,188,200,opel
41,63,179,140,197,204,opel
37,54,154,127,186,191,opel
50,64,185,159,194,201,opel
38,61,167,134,189,198,opel
43,63,185,142,195,204,opel
41,63,175,142,197,206,opel
48,68,208,154,190,202,opel
40,62,140,135,183,190,opel
57,69,219,176,186,196,opel
54,56,223,174,187,201,opel
48,62,205,158,195,206,opel
52,68,222,165,188,199,opel
41,65,183,137,193,200,opel
56,74,220,172,186,195,opel
54,62,200,166,189,198,opel
39,59,150,134,184,193,opel
49,61,181,158,202,209,opel
56,69,208,169,186,193,opel
38,57,139,127,183,191,opel
59,70,224,186,186,198,opel
44,70,189,141,187,194,opel
51,70,220,163,189,198,opel
41,55,135,136,180,187,opel
56,59,210,173,188,196,opel
55,54,216,173,184,193,opel
55,57,222,177,188,197,opel
58,65,226,182,185,196,opel
54,58,222,171,189,198,opel
42,58,140,138,199,206,opel
34,57,138,122,204,210,opel
36,56,128,124,183,191,opel
55,67,218,174,191,202,opel
46,62,167,148,191,198,opel
52,53,219,166,188,198,opel
37,62,161,131,203,211,opel
37,60,161,131,188,192,opel
35,59,147,131,197,203,opel
36,62,157,125,198,205,opel
45,60,157,148,190,196,opel
45,57,150,146,193,198,opel
46,64,197,152,194,205,opel
54,67,200,163,190,198,opel
56,55,214,175,185,192,opel
47,64,168,150,192,198,opel
54,57,220,170,186,198,opel
39,69,168,133,186,192,opel
36,64,157,126,192,198,opel
45,60,156,144,190,196,opel
56,62,227,178,186,197,opel
55,68,224,178,187,196,opel
38,55,169,130,190,195,opel
52,57,214,162,189,198,opel
42,60,147,142,206,211,opel
36,55,147,128,197,203,opel
35,58,114,122,182,187,opel
46,61,193,150,194,202,opel
37,55,125,125,178,184,opel
43,56,149,143,198,203,opel
46,66,192,151,191,200,opel
53,58,217,166,188,198,opel
48,62,200,158,192,202,opel
55,53,224,178,187,198,opel
47,60,167,147,187,192,opel
55,70,223,177,188,196,opel
45,65,201,147,189,195,opel
38,61,164,129,198,205,opel
49,57,206,156,192,201,opel
53,63,220,167,188,197,opel
56,59,216,173,186,194,opel
49,63,186,156,197,205,opel
57,69,218,173,187,195,opel
34,56,130,120,201,207,opel
36,57,131,127,183,187,opel
39,62,172,135,201,209,opel
49,67,201,156,189,196,opel
