@relation vehicle

@attribute Radius_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
160,41,131,158,186,saab
187,42,134,134,190,saab
129,46,130,158,180,saab
175,39,134,138,191,saab
206,34,159,201,194,saab
172,32,168,223,187,saab
191,39,136,141,192,saab
165,45,128,131,196,saab
152,44,136,140,187,saab
154,41,148,184,186,saab
228,31,163,220,194,saab
142,45,140,165,186,saab
180,43,129,144,190,saab
231,31,171,216,187,saab
140,45,133,173,180,saab
228,31,168,214,188,saab
189,32,163,197,187,saab
136,48,137,164,182,saab
162,47,128,137,193,saab
190,38,155,169,201,saab
176,31,171,218,187,saab
214,33,152,178,192,saab
188,36,158,220,191,saab
193,31,169,218,188,saab
161,43,143,187,193,saab
174,32,163,222,187,saab
133,49,136,162,183,saab
191,40,138,131,197,saab
183,40,134,139,192,saab
204,31,172,203,189,saab
168,32,162,221,187,saab
132,46,131,145,183,saab
213,30,172,216,187,saab
148,45,138,173,182,saab
162,41,147,177,190,saab
193,31,163,203,190,saab
162,48,131,126,193,saab
146,50,124,148,190,saab
223,32,164,210,190,saab
200,32,155,215,189,saab
210,31,169,216,188,saab
219,32,171,223,186,saab
209,32,158,220,188,saab
209,33,149,210,191,saab
191,31,162,190,191,saab
170,38,139,160,191,saab
203,33,164,235,190,saab
127,58,121,127,185,saab
191,33,158,234,191,saab
200,38,151,205,195,saab
220,31,167,212,188,saab
175,42,149,169,198,saab
184,34,147,198,189,saab
174,37,133,155,189,saab
136,54,118,118,196,saab
151,47,142,158,198,saab
184,38,140,147,196,saab
117,54,126,128,180,saab
221,31,169,212,188,saab
222,30,173,200,187,saab
194,34,161,219,192,saab
132,50,125,144,180,saab
135,50,135,166,187,saab
206,31,168,209,188,saab
197,32,159,186,191,saab
130,54,130,145,184,saab
192,38,135,165,195,saab
195,34,150,195,192,saab
206,31,168,201,189,saab
231,31,165,222,192,saab
178,37,134,160,192,saab
219,32,165,224,191,saab
122,59,123,128,183,saab
176,39,152,185,191,saab
162,44,133,121,196,saab
136,48,125,138,189,saab
174,43,133,130,189,saab
169,42,148,181,193,saab
123,49,127,145,181,saab
197,31,165,196,188,saab
170,38,134,152,188,saab
202,32,153,200,190,saab
119,53,125,139,179,saab
188,44,136,148,193,bus
171,43,148,192,189,bus
152,44,142,164,188,bus
141,44,144,174,182,bus
152,45,142,158,184,bus
174,43,131,135,196,bus
194,39,148,171,200,bus
246,28,167,228,186,bus
188,32,158,219,191,bus
172,26,169,264,181,bus
155,45,138,152,187,bus
156,44,143,157,187,bus
126,46,145,186,179,bus
120,46,143,160,180,bus
120,45,145,176,179,bus
152,44,145,176,189,bus
159,42,138,157,189,bus
162,43,136,154,188,bus
238,28,163,242,184,bus
146,44,147,195,183,bus
205,36,152,201,198,bus
188,37,129,137,197,bus
175,43,139,165,202,bus
184,42,131,127,198,bus
164,43,131,139,195,bus
208,31,161,218,193,bus
154,46,144,177,184,bus
235,26,171,260,180,bus
207,35,161,198,196,bus
141,43,149,199,183,bus
129,45,150,177,178,bus
155,45,144,176,189,bus
170,46,142,177,198,bus
169,44,146,186,183,bus
185,40,153,172,200,bus
123,45,147,185,179,bus
170,28,160,250,183,bus
141,44,148,190,182,bus
126,46,145,171,179,bus
198,36,139,163,196,bus
197,36,139,151,198,bus
116,46,141,171,178,bus
119,46,144,172,179,bus
130,45,146,187,181,bus
207,33,159,188,194,bus
133,45,146,176,180,bus
194,30,162,209,188,bus
180,26,171,257,181,bus
203,31,159,214,191,bus
207,33,161,221,194,bus
199,27,169,268,183,bus
179,41,144,191,193,bus
136,46,143,183,181,bus
173,42,143,172,200,bus
186,42,144,178,199,bus
171,37,139,141,199,bus
194,32,161,214,192,bus
193,41,133,127,200,bus
150,44,144,177,183,bus
120,45,145,163,180,bus
128,45,145,186,179,bus
125,45,145,185,180,bus
191,28,170,242,184,bus
155,45,135,145,192,bus
140,45,145,185,181,bus
123,45,146,176,181,bus
118,44,147,177,180,bus
166,46,143,170,188,bus
123,45,146,173,180,bus
154,28,164,222,185,bus
184,28,171,229,187,bus
199,39,128,136,196,bus
120,46,145,174,179,bus
130,45,145,172,181,bus
186,42,127,132,197,bus
173,30,159,206,186,bus
202,39,149,191,196,bus
141,44,145,179,181,bus
216,35,145,154,196,bus
197,34,158,198,197,bus
185,42,147,192,192,bus
205,36,138,151,197,bus
125,46,145,172,179,bus
158,47,143,173,193,bus
167,27,172,239,179,bus
160,46,147,169,191,bus
149,45,146,185,183,bus
180,43,143,173,185,bus
156,44,147,198,181,bus
156,45,144,159,182,bus
130,44,142,173,181,bus
173,44,137,151,196,bus
201,29,165,231,188,bus
213,35,145,182,195,bus
148,46,136,141,192,bus
122,46,143,171,179,bus
121,46,146,172,179,bus
159,45,141,171,195,bus
169,27,165,247,184,bus
186,41,134,148,193,bus
139,46,143,184,181,bus
193,33,146,163,195,bus
177,44,143,168,186,bus
182,41,124,117,202,bus
193,38,137,156,198,bus
169,44,145,171,184,bus
132,46,144,172,179,bus
185,40,130,133,198,bus
168,31,153,198,190,bus
123,46,144,177,180,bus
166,44,134,143,193,bus
128,45,147,176,181,bus
160,30,165,208,188,bus
161,34,141,162,195,bus
177,26,170,261,182,bus
165,45,134,139,195,bus
130,45,143,168,180,bus
219,34,154,209,195,bus
194,26,175,261,182,bus
183,43,127,127,201,bus
209,32,150,200,192,bus
179,45,141,178,194,bus
180,37,158,194,197,bus
203,36,157,186,197,bus
154,45,143,173,181,bus
192,38,131,138,200,bus
169,44,138,157,192,bus
122,45,144,186,180,bus
201,35,145,183,194,bus
203,37,154,206,197,bus
147,46,145,168,181,bus
187,40,144,186,196,bus
139,44,146,178,182,bus
199,40,127,125,200,bus
161,27,166,242,181,bus
123,46,147,176,179,bus
191,41,126,124,199,bus
126,45,142,173,180,bus
150,45,144,184,181,bus
165,46,141,172,188,bus
120,45,146,190,180,bus
226,32,148,186,192,bus
181,26,169,261,182,bus
206,35,156,198,198,bus
148,46,142,180,183,bus
144,45,143,180,185,bus
186,39,136,129,200,bus
125,46,146,172,179,bus
154,44,143,160,185,bus
179,26,172,232,181,bus
185,26,168,230,180,bus
183,33,148,201,192,bus
223,26,169,239,184,bus
173,43,129,119,201,bus
169,44,140,159,201,bus
128,46,144,173,180,bus
204,38,150,182,199,bus
148,45,143,153,186,bus
184,42,133,145,192,bus
204,30,156,213,189,bus
191,34,147,174,194,bus
159,44,146,189,186,bus
177,36,134,148,196,bus
184,39,131,137,200,bus
135,45,145,173,180,bus
199,32,159,205,193,bus
120,45,145,186,181,bus
199,27,168,245,186,bus
154,45,147,186,180,bus
116,45,141,172,179,bus
127,46,143,171,180,bus
227,27,162,262,182,bus
171,44,135,144,192,bus
130,44,149,191,180,bus
190,41,145,166,202,bus
187,41,143,183,195,bus
113,45,141,171,179,bus
165,43,146,190,188,bus
128,46,148,176,179,bus
205,45,144,188,180,bus
123,46,145,171,179,bus
139,46,145,171,180,bus
139,44,146,183,185,bus
164,27,165,243,181,bus
151,46,143,173,196,bus
122,46,141,174,180,bus
125,45,147,188,180,bus
209,38,138,161,196,bus
121,46,147,175,179,bus
120,45,147,178,179,bus
148,45,144,171,182,bus
158,44,138,152,190,bus
187,31,152,210,188,bus
153,43,145,184,185,bus
188,28,164,253,185,bus
113,45,147,189,179,bus
140,45,134,139,183,opel
172,42,125,126,198,opel
167,44,145,177,202,opel
181,30,175,216,187,opel
225,31,164,199,187,opel
202,35,143,166,190,opel
163,31,173,201,187,opel
227,30,186,218,186,opel
215,32,158,168,195,opel
204,35,161,240,188,opel
224,31,170,214,189,opel
121,59,122,138,182,opel
211,31,156,218,188,opel
169,41,133,130,198,opel
211,35,141,178,187,opel
176,39,132,148,193,opel
197,34,161,195,196,opel
130,51,126,135,179,opel
191,40,143,180,194,opel
116,55,124,121,178,opel
232,32,153,197,188,opel
193,35,147,151,193,opel
195,31,152,193,189,opel
181,40,148,193,191,opel
188,35,161,205,193,opel
210,35,151,169,191,opel
211,33,161,200,194,opel
138,49,127,127,183,opel
188,36,141,168,189,opel
222,32,154,204,190,opel
151,45,134,133,184,opel
197,31,172,219,185,opel
129,50,136,165,180,opel
204,33,158,164,192,opel
201,32,166,246,186,opel
213,33,163,214,190,opel
195,37,156,201,192,opel
194,40,133,151,186,opel
179,32,159,183,191,opel
158,44,143,168,198,opel
204,30,178,204,186,opel
162,31,163,204,186,opel
230,30,176,246,187,opel
189,30,177,211,188,opel
221,30,173,250,187,opel
212,33,156,174,189,opel
199,34,146,199,186,opel
179,42,126,142,192,opel
209,32,147,189,189,opel
213,33,157,186,193,opel
176,41,149,178,191,opel
206,35,156,176,197,opel
201,36,158,180,202,opel
168,30,178,217,187,opel
193,31,162,184,191,opel
220,30,176,236,188,opel
206,33,161,204,195,opel
177,40,129,130,198,opel
202,30,179,212,189,opel
214,32,151,202,186,opel
209,34,147,194,188,opel
149,43,133,157,183,opel
228,31,168,245,188,opel
222,33,163,226,192,opel
178,37,132,157,187,opel
212,34,161,185,198,opel
136,45,144,168,188,opel
195,37,156,210,189,opel
130,55,130,144,195,opel
178,41,135,132,197,opel
219,33,148,201,191,opel
121,44,133,163,180,opel
196,34,161,244,190,opel
208,30,182,216,185,opel
230,30,182,207,187,opel
203,30,167,214,188,opel
212,32,162,224,186,opel
195,34,150,161,194,opel
203,34,162,210,191,opel
172,30,166,218,188,opel
177,39,152,196,195,opel
179,31,170,198,186,opel
194,38,142,138,197,opel
209,31,173,216,188,opel
141,48,126,130,187,opel
215,32,169,223,186,opel
169,41,131,147,185,opel
189,30,174,200,187,opel
192,31,166,191,188,opel
153,48,138,151,199,opel
166,44,141,174,193,opel
209,34,152,159,194,opel
211,31,165,249,188,opel
197,37,141,149,193,opel
156,41,129,140,192,opel
230,30,171,210,190,opel
219,30,178,216,187,opel
183,32,173,218,188,opel
215,33,147,200,187,opel
138,54,132,139,185,opel
197,35,148,159,195,opel
218,30,174,199,189,opel
128,52,127,139,183,opel
131,45,134,165,180,opel
163,32,164,193,188,opel
154,46,128,120,197,opel
141,44,133,153,181,opel
183,30,177,204,186,opel
127,49,131,162,187,opel
160,48,123,129,194,opel
144,46,132,136,181,opel
224,30,162,206,189,opel
204,35,159,193,194,opel
177,32,166,215,187,opel
122,49,131,142,179,opel
197,36,137,153,193,opel
194,31,175,219,187,opel
230,30,174,226,191,opel
206,30,180,213,186,opel
172,45,142,160,206,opel
152,48,122,120,204,opel
169,41,131,136,188,opel
186,32,156,186,192,opel
185,30,170,217,187,opel
145,48,143,174,188,opel
231,30,172,218,186,opel
170,31,173,218,184,opel
172,44,124,125,203,opel
190,30,171,203,189,opel
143,46,137,156,184,opel
177,30,188,213,185,opel
181,41,131,117,203,opel
180,37,131,145,190,opel
221,32,163,212,191,opel
166,42,148,186,190,opel
133,47,135,144,181,opel
197,31,160,187,190,opel
219,30,178,213,187,opel
177,31,171,223,186,opel
125,51,128,146,177,opel
196,35,161,235,191,opel
207,31,167,197,191,opel
218,33,164,192,197,opel
142,50,126,128,193,opel
212,33,155,162,193,opel
127,48,135,144,181,opel
144,43,127,145,186,opel
190,37,153,209,192,opel
116,54,125,132,178,opel
228,31,175,223,186,opel
216,30,176,219,186,opel
147,50,137,151,203,opel
125,51,127,145,177,opel
207,30,180,205,186,opel
222,30,177,218,186,opel
183,38,138,150,189,opel
165,40,147,201,187,opel
225,30,165,207,188,opel
145,48,138,158,192,opel
130,51,132,123,188,opel
216,32,169,216,189,opel
231,30,163,206,189,opel
168,31,175,224,185,opel
200,30,178,204,187,opel
223,30,177,218,188,opel
162,45,125,137,191,opel
156,41,149,197,187,opel
146,48,135,162,183,opel
135,52,130,139,183,opel
198,36,155,189,199,opel
170,40,149,164,200,opel
164,42,146,188,195,opel
154,44,146,180,193,opel
186,31,162,189,189,opel
146,51,134,144,193,opel
155,44,141,161,187,opel
194,38,135,121,201,opel
140,46,139,166,191,opel
153,46,127,142,187,opel
182,31,177,223,186,opel
171,30,172,201,190,opel
161,31,175,221,185,opel
149,45,128,134,197,opel
197,37,140,136,197,opel
186,32,172,217,186,opel
153,44,145,172,184,opel
164,42,144,174,190,opel
128,50,130,141,185,opel
116,57,124,135,177,opel
199,33,166,241,189,opel
184,31,172,187,190,opel
