@relation vehicle

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Minor_kurtosis numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
45,69,143,148,0,190,199,van
38,52,130,139,13,186,185,van
46,63,160,160,9,185,194,van
45,64,147,148,4,188,199,van
40,49,131,145,6,184,184,van
39,66,139,140,7,201,208,van
39,60,119,134,8,200,207,van
39,49,134,142,1,186,186,van
45,67,154,149,8,192,201,van
43,54,155,149,6,186,197,van
39,55,117,134,6,190,194,van
46,68,155,148,15,194,202,van
36,60,133,134,18,201,209,van
39,62,137,137,6,201,209,van
47,138,155,155,9,188,196,van
39,56,114,135,7,197,202,van
38,62,114,132,5,190,194,van
43,61,149,157,26,197,207,van
40,68,146,139,13,189,199,van
47,58,161,153,8,183,191,van
49,54,158,162,5,183,194,van
35,58,122,132,17,197,203,van
48,58,161,163,1,183,192,van
43,66,150,147,17,196,206,van
47,64,163,160,0,185,195,van
47,64,159,157,13,189,198,van
45,63,158,157,6,189,199,van
48,60,161,159,2,184,193,van
40,65,144,141,5,190,200,van
42,68,134,142,13,192,201,van
35,62,131,127,7,196,201,van
36,56,119,124,5,181,184,van
41,63,144,150,9,195,203,van
39,51,133,139,0,181,182,van
37,55,122,128,16,180,184,van
42,61,151,145,23,187,199,van
40,53,132,137,6,177,183,van
36,69,136,136,29,193,204,van
42,66,148,145,5,189,199,van
36,59,139,130,1,189,196,van
44,63,142,148,2,201,207,van
44,56,157,155,16,184,195,van
37,63,138,134,6,189,195,van
38,59,136,133,7,189,193,van
37,54,119,132,8,186,190,van
39,62,140,150,3,201,208,van
37,55,132,135,12,191,192,van
42,62,130,142,2,203,210,van
45,56,157,155,21,184,197,van
48,56,160,167,14,182,192,van
41,61,129,142,12,194,201,van
37,54,115,126,22,186,190,van
38,55,130,138,12,191,194,van
40,53,132,140,7,176,183,van
41,56,130,143,7,184,186,van
36,61,133,130,10,194,202,van
44,54,156,151,12,184,193,van
47,64,156,163,13,184,193,van
38,66,140,139,11,192,202,van
43,64,136,145,6,201,209,van
36,58,118,125,15,180,183,van
48,60,150,156,0,185,195,van
44,55,155,158,11,183,195,van
41,63,144,143,10,199,207,van
48,56,157,164,3,182,191,van
45,68,142,144,3,191,199,van
42,58,152,144,13,187,197,van
48,63,156,165,15,185,195,van
46,64,163,163,0,189,196,van
43,52,139,144,16,183,185,van
36,52,118,129,14,181,185,van
36,54,127,132,2,195,196,van
34,59,127,130,10,199,206,van
40,63,146,140,0,199,206,van
39,56,131,144,10,186,187,van
41,65,145,145,8,199,207,van
43,65,137,146,3,193,202,van
44,64,135,145,2,187,191,van
43,64,138,143,0,192,201,van
35,64,128,129,2,195,200,van
48,64,161,167,16,185,195,van
42,58,134,142,5,191,197,van
43,64,137,145,12,203,210,van
37,59,123,125,1,179,183,van
44,68,142,147,11,190,201,van
44,64,137,144,4,196,203,van
45,67,145,147,14,194,202,van
42,66,153,144,5,196,204,van
35,59,128,129,6,202,209,van
36,57,132,136,27,193,201,van
42,57,123,144,4,193,198,van
48,72,162,159,16,187,197,van
43,97,150,149,9,186,196,van
36,61,133,135,3,201,208,van
41,56,126,144,10,191,194,van
37,61,137,140,23,196,205,van
44,58,156,157,17,183,193,van
46,62,159,156,7,185,193,van
45,63,151,148,20,197,205,van
47,58,153,151,7,186,197,van
50,57,156,170,6,182,191,van
37,52,119,128,16,179,183,van
45,63,146,148,10,199,207,van
39,59,116,135,9,199,204,van
48,64,157,161,15,184,195,van
43,57,151,149,23,187,200,van
44,67,158,149,9,194,202,van
49,64,157,158,0,183,194,van
41,62,146,144,16,188,197,van
37,53,122,129,7,181,185,van
37,62,136,134,9,194,202,van
49,56,159,162,10,182,191,van
41,60,128,141,4,201,208,van
47,64,156,149,13,192,202,van
46,70,157,155,21,190,200,van
40,58,122,140,4,199,206,van
39,59,139,139,17,201,209,van
39,52,128,135,8,182,187,van
37,60,130,130,14,195,203,van
42,64,128,143,5,192,196,van
43,54,155,153,13,184,196,van
38,55,146,130,20,180,185,saab
48,60,175,152,16,192,199,saab
50,63,177,155,1,193,201,saab
45,59,163,148,10,199,208,saab
37,58,125,130,20,184,188,saab
40,59,132,135,9,191,195,saab
37,67,154,129,9,190,195,saab
53,63,219,172,3,188,199,saab
52,65,212,163,25,194,205,saab
54,67,222,173,4,187,201,saab
54,70,215,168,22,189,201,saab
49,62,206,155,16,189,198,saab
53,57,211,168,15,186,197,saab
40,62,150,133,3,180,185,saab
38,51,142,130,4,181,185,saab
38,54,149,132,29,185,191,saab
52,59,197,158,10,191,198,saab
55,68,219,172,7,187,197,saab
54,69,221,170,13,187,199,saab
53,55,212,168,24,187,197,saab
44,66,188,144,11,190,197,saab
47,64,198,150,13,190,198,saab
52,59,208,163,22,187,198,saab
54,66,214,167,23,188,201,saab
34,58,116,121,20,185,189,saab
36,60,150,133,22,196,205,saab
40,62,169,139,9,200,210,saab
53,61,207,167,2,196,205,saab
39,58,151,136,33,187,196,saab
52,62,217,165,4,188,197,saab
54,65,218,167,28,187,199,saab
54,63,222,175,14,187,200,saab
53,64,206,163,22,194,205,saab
53,63,219,168,21,190,203,saab
53,65,193,160,2,188,196,saab
36,55,140,125,36,189,195,saab
52,55,216,171,28,189,201,saab
50,65,187,156,7,195,206,saab
46,60,197,147,13,189,197,saab
43,59,154,144,9,203,209,saab
53,65,213,168,12,187,198,saab
42,62,144,139,13,185,189,saab
53,66,204,165,6,191,201,saab
36,53,125,126,5,180,184,saab
53,69,221,169,28,188,201,saab
42,61,178,144,8,199,208,saab
40,56,152,134,16,182,187,saab
54,64,213,172,4,187,196,saab
49,61,212,159,11,190,199,saab
54,68,208,166,23,189,199,saab
53,64,220,172,30,189,203,saab
54,66,218,169,0,188,197,saab
37,58,157,132,18,201,209,saab
45,60,157,149,12,198,206,saab
39,62,175,132,15,189,195,saab
50,66,207,158,9,188,196,saab
44,63,185,144,8,191,199,saab
47,60,171,155,18,201,210,saab
43,62,180,143,9,195,205,saab
37,60,158,131,21,190,196,saab
53,67,217,165,28,192,206,saab
54,68,207,164,26,189,200,saab
53,66,211,164,16,190,203,saab
39,59,169,132,24,192,199,saab
45,57,159,147,10,190,195,saab
51,67,204,162,19,188,197,saab
51,62,220,163,16,189,200,saab
46,66,203,149,10,191,199,saab
43,57,149,143,0,189,194,saab
36,60,157,128,21,197,204,saab
36,57,121,127,23,190,195,saab
48,64,201,152,25,192,204,saab
50,56,214,159,27,191,202,saab
37,53,134,127,14,184,185,saab
54,68,218,170,25,190,204,saab
54,62,202,164,3,190,200,saab
36,56,155,126,15,195,201,saab
48,61,207,153,28,190,203,saab
54,65,208,162,0,189,197,saab
54,62,218,170,21,187,198,saab
49,63,176,154,2,189,195,saab
46,60,158,148,2,193,199,saab
53,62,216,165,25,188,199,saab
47,59,168,152,4,191,198,saab
37,61,135,127,6,180,183,saab
44,62,183,146,14,195,204,saab
48,64,169,153,5,195,201,saab
46,61,198,150,38,192,205,saab
43,56,149,140,23,186,191,saab
53,63,222,168,35,189,203,saab
50,60,211,156,9,190,200,saab
37,57,128,129,14,186,192,saab
51,60,191,162,4,196,205,saab
41,58,148,136,2,181,185,saab
56,73,221,174,3,187,197,saab
49,60,185,160,8,198,208,saab
51,56,210,163,9,187,196,saab
39,58,128,134,7,198,204,saab
55,71,211,171,24,186,196,saab
37,61,157,134,40,196,208,saab
38,65,169,136,20,192,199,saab
46,56,160,148,5,186,191,saab
38,60,170,131,28,195,204,saab
37,62,135,125,16,180,184,saab
54,61,216,173,11,185,195,saab
37,55,129,127,13,180,184,saab
52,62,188,162,15,193,202,saab
45,64,187,150,32,198,211,saab
35,57,122,125,13,181,184,saab
45,56,154,149,0,188,193,saab
46,66,191,148,28,190,200,saab
51,56,213,162,4,188,198,saab
48,63,201,152,4,188,197,saab
52,60,215,162,7,189,199,saab
54,65,198,164,11,187,196,saab
41,59,175,140,5,196,205,saab
53,63,213,166,21,188,198,saab
45,61,198,149,5,192,200,saab
42,63,185,138,21,189,197,saab
40,58,181,134,34,192,202,saab
34,59,140,124,3,201,207,saab
38,53,144,131,7,186,191,saab
54,65,213,167,1,192,202,saab
56,71,219,172,11,189,196,saab
50,58,208,159,22,191,202,saab
38,66,154,133,24,189,195,saab
37,63,135,128,24,179,185,saab
36,57,153,128,19,203,211,saab
51,60,196,162,1,198,208,saab
39,60,172,134,10,188,194,saab
40,64,177,135,35,195,205,saab
52,64,221,168,38,190,205,saab
51,54,208,162,20,187,197,saab
40,58,174,139,29,191,200,saab
34,55,123,118,26,196,202,saab
42,58,140,142,11,198,205,saab
49,61,207,157,19,193,207,saab
55,66,214,173,1,185,194,saab
40,58,142,137,22,182,186,saab
33,53,115,118,30,179,185,saab
53,61,217,168,9,188,201,saab
48,62,203,151,29,193,204,saab
40,60,160,133,7,186,191,saab
39,64,169,134,25,188,195,saab
36,60,150,128,32,196,203,saab
37,54,132,127,7,183,187,saab
40,58,177,133,18,189,196,saab
50,61,181,158,19,191,199,saab
53,54,216,171,9,187,197,saab
53,71,221,167,20,186,200,saab
39,59,163,131,13,186,192,saab
51,63,196,159,16,194,205,saab
43,63,186,144,13,191,199,saab
41,56,136,136,14,183,189,saab
53,64,220,166,11,189,199,saab
51,59,214,162,36,190,206,saab
47,66,173,151,3,195,202,saab
54,57,220,174,23,189,201,saab
37,68,159,134,16,190,197,saab
38,59,161,131,15,192,197,saab
54,68,214,169,32,189,202,saab
38,60,148,131,0,180,183,saab
51,59,217,163,22,190,201,saab
37,63,164,134,7,192,197,saab
55,67,222,177,21,187,199,saab
53,64,220,168,10,188,199,saab
36,63,140,131,38,193,204,saab
54,64,213,171,16,188,198,saab
45,66,192,143,19,189,197,saab
39,55,146,132,18,184,189,saab
49,59,207,156,31,191,202,saab
51,66,188,157,1,191,199,saab
43,54,144,146,5,194,201,saab
51,57,213,162,2,191,199,saab
38,54,147,131,25,183,188,saab
36,57,128,125,3,179,183,saab
40,59,137,133,14,186,190,saab
53,56,220,167,18,189,199,saab
53,60,215,169,21,188,197,saab
47,59,199,154,33,194,208,saab
36,61,142,128,31,193,200,saab
45,64,160,147,11,192,199,saab
39,59,167,134,17,197,204,saab
48,60,175,153,22,197,210,saab
56,72,217,171,6,187,197,saab
46,61,193,149,7,194,203,saab
48,65,197,152,5,189,197,saab
52,64,201,158,4,192,204,saab
42,59,186,138,41,194,206,saab
44,59,152,143,2,183,187,saab
38,53,137,127,9,181,186,saab
36,58,135,124,25,190,195,saab
47,61,164,150,10,187,193,saab
50,67,187,158,6,193,201,saab
34,56,133,123,20,200,206,saab
44,66,144,147,1,191,198,bus
45,56,151,147,16,181,187,bus
45,57,148,145,7,179,182,bus
43,53,150,147,14,179,184,bus
46,71,166,150,9,200,203,bus
38,68,171,129,6,197,199,bus
42,66,145,140,0,201,207,bus
39,72,155,133,5,192,200,bus
51,60,220,162,7,188,186,bus
45,64,192,146,7,195,193,bus
44,61,147,143,1,185,191,bus
45,64,147,143,1,181,184,bus
45,126,148,144,1,181,185,bus
44,53,151,147,5,179,183,bus
43,56,152,142,14,181,185,bus
43,56,150,144,14,180,184,bus
55,57,241,170,9,184,184,bus
46,63,192,147,26,194,197,bus
43,69,150,142,1,199,206,bus
45,69,150,144,1,195,201,bus
45,73,151,146,0,183,189,bus
46,56,153,149,14,180,186,bus
37,68,151,131,22,196,205,bus
43,65,147,145,12,181,186,bus
54,67,250,162,11,182,182,bus
58,51,265,174,8,181,183,bus
45,71,186,145,13,195,198,bus
44,56,149,144,12,179,182,bus
43,60,150,146,15,180,184,bus
50,63,218,156,7,189,189,bus
41,64,151,138,8,190,194,bus
52,66,208,161,4,193,191,bus
39,61,143,136,2,192,199,bus
45,66,146,144,6,189,196,bus
42,75,171,138,12,196,201,bus
40,68,150,137,20,196,200,bus
45,63,149,145,1,189,196,bus
57,50,255,169,9,181,183,bus
44,61,143,143,8,196,203,bus
46,74,163,149,8,196,200,bus
41,65,144,141,12,188,195,bus
42,54,148,143,3,179,182,bus
42,67,150,144,2,182,188,bus
44,54,151,147,4,179,182,bus
36,73,162,127,19,200,204,bus
42,65,155,138,12,189,193,bus
41,65,149,139,16,184,191,bus
40,73,158,134,11,193,197,bus
42,64,151,143,20,187,193,bus
43,69,177,139,4,196,198,bus
43,56,148,145,11,179,182,bus
43,65,151,143,11,185,189,bus
42,59,149,142,9,185,188,bus
45,65,194,146,27,193,191,bus
53,65,204,161,14,192,192,bus
45,60,152,151,13,179,183,bus
43,65,153,143,1,200,204,bus
48,68,185,153,8,195,195,bus
38,69,160,130,14,198,205,bus
43,64,145,141,4,195,200,bus
44,74,184,145,22,196,197,bus
45,56,148,144,5,180,183,bus
51,65,209,159,11,191,189,bus
43,62,149,145,14,180,184,bus
45,65,145,144,3,184,188,bus
44,103,149,144,11,180,183,bus
43,74,152,143,9,186,189,bus
41,68,150,138,18,192,197,bus
42,67,149,139,11,202,209,bus
37,71,161,128,14,195,202,bus
37,70,154,131,4,198,202,bus
46,70,167,148,10,200,203,bus
44,58,148,145,1,180,183,bus
39,66,148,134,13,193,201,bus
44,60,153,146,15,182,186,bus
43,57,149,146,18,179,184,bus
42,54,150,140,8,180,182,bus
56,75,239,167,13,186,185,bus
47,70,167,152,19,200,206,bus
43,75,155,143,12,185,190,bus
55,49,252,172,30,179,186,bus
58,51,261,171,13,181,182,bus
45,74,157,143,6,195,201,bus
42,53,152,141,4,179,183,bus
49,59,213,152,28,188,189,bus
43,57,151,143,9,180,183,bus
54,61,225,165,14,188,187,bus
43,68,150,143,11,181,186,bus
37,74,165,128,3,196,200,bus
43,62,150,142,9,188,192,bus
46,75,154,147,8,192,199,bus
39,71,152,131,14,195,200,bus
46,61,153,148,14,182,187,bus
40,61,172,139,17,199,201,bus
43,64,150,144,2,182,185,bus
52,69,192,161,6,194,195,bus
38,69,166,131,3,200,202,bus
42,55,152,142,15,180,184,bus
55,59,240,168,1,186,184,bus
42,64,149,142,2,184,190,bus
44,64,141,143,11,193,199,bus
42,51,150,141,14,178,182,bus
51,71,195,159,20,194,194,bus
35,68,155,124,22,202,205,bus
50,54,222,159,12,186,184,bus
49,65,173,158,10,197,202,bus
42,55,149,145,7,179,182,bus
53,47,237,164,17,185,184,bus
45,64,146,142,1,183,187,bus
43,54,150,147,5,179,182,bus
45,54,149,145,4,181,184,bus
47,71,176,152,19,198,201,bus
42,53,149,145,4,180,182,bus
39,66,145,134,21,195,200,bus
52,52,236,160,23,183,184,bus
36,73,156,126,19,199,204,bus
41,69,177,139,10,198,199,bus
43,62,152,145,4,181,184,bus
45,69,184,145,4,194,197,bus
43,54,148,145,2,179,181,bus
54,47,247,166,11,181,183,bus
47,61,153,149,10,183,189,bus
41,73,157,136,12,191,195,bus
41,67,148,140,13,188,195,bus
43,62,153,144,8,182,188,bus
44,56,152,150,13,178,183,bus
49,73,178,157,7,197,200,bus
52,58,227,158,19,187,186,bus
43,54,150,145,8,179,183,bus
44,61,147,143,17,181,185,bus
37,66,151,129,16,201,208,bus
43,54,150,144,7,180,182,bus
42,55,149,146,6,179,182,bus
43,55,150,146,15,180,183,bus
45,71,161,144,7,196,203,bus
43,56,148,145,9,179,182,bus
43,54,151,146,12,181,184,bus
38,68,164,136,17,200,203,bus
44,64,154,144,16,183,187,bus
43,55,186,141,6,195,196,bus
37,72,158,133,14,200,204,bus
47,60,197,148,0,192,191,bus
43,72,152,145,12,184,187,bus
50,67,186,158,1,197,198,bus
38,64,151,131,0,195,204,bus
47,64,151,147,0,183,188,bus
36,70,149,127,17,201,205,bus
44,55,150,148,11,179,183,bus
45,69,148,144,0,181,184,bus
51,62,203,158,26,191,190,bus
41,66,153,136,0,188,195,bus
45,70,146,146,8,187,191,bus
43,53,150,144,8,179,182,bus
57,67,262,171,31,180,184,bus
43,67,142,142,8,198,203,bus
49,70,183,156,13,198,199,bus
42,50,152,141,16,179,183,bus
55,51,241,165,11,184,183,bus
42,69,169,137,23,198,204,bus
56,57,251,169,10,183,183,bus
42,56,150,145,14,181,185,bus
44,69,143,143,6,188,193,bus
44,72,153,144,2,199,206,bus
37,71,154,127,8,197,206,bus
54,57,236,164,14,185,185,bus
45,58,151,146,5,181,186,bus
57,55,234,171,11,187,187,bus
43,68,151,145,17,183,188,bus
45,69,151,147,10,180,185,bus
40,67,149,135,17,192,200,bus
45,56,151,145,10,179,184,bus
44,70,144,141,4,188,193,bus
57,52,257,169,21,182,184,bus
44,50,150,147,5,179,182,bus
46,57,151,147,11,180,184,bus
44,70,155,145,7,202,206,bus
56,53,257,168,26,180,184,bus
41,64,148,138,17,187,195,bus
40,76,150,136,8,193,197,bus
47,74,202,148,11,192,191,bus
51,72,184,161,11,196,199,bus
56,64,250,169,6,184,183,bus
46,70,151,147,11,181,186,bus
42,53,149,143,7,180,182,bus
47,72,167,150,16,199,203,bus
53,72,238,163,22,184,184,bus
46,65,149,146,6,183,188,bus
43,56,149,143,3,180,182,bus
57,51,256,170,2,182,181,bus
57,51,257,172,20,181,184,bus
41,71,176,138,19,197,197,bus
46,59,148,146,0,185,191,bus
49,71,174,154,2,197,199,bus
42,62,147,143,6,186,189,bus
47,64,154,145,3,185,192,bus
42,58,149,144,4,179,182,bus
44,59,150,145,12,180,185,bus
36,56,120,124,12,177,184,opel
39,57,156,133,23,183,190,opel
55,60,221,173,13,186,196,opel
55,65,204,166,2,186,194,opel
55,53,224,178,30,187,198,opel
46,67,195,147,14,188,197,opel
56,55,214,175,3,185,192,opel
51,60,211,160,3,190,200,opel
38,59,133,128,0,177,183,opel
51,52,206,164,21,188,196,opel
45,59,159,146,15,195,201,opel
47,60,167,147,4,187,192,opel
46,62,167,148,15,191,198,opel
44,62,186,147,2,193,198,opel
36,57,135,126,36,193,203,opel
45,60,156,144,2,190,196,opel
50,65,214,156,29,188,197,opel
41,63,179,140,3,197,204,opel
39,53,142,135,21,181,189,opel
38,58,133,127,21,177,184,opel
57,54,224,188,7,185,198,opel
49,54,208,159,12,191,200,opel
55,63,215,172,24,185,194,opel
52,60,218,167,20,191,203,opel
47,69,200,147,6,187,194,opel
51,67,217,162,18,189,199,opel
52,57,214,162,5,189,198,opel
49,57,214,161,39,192,206,opel
44,60,152,141,0,187,192,opel
55,68,218,171,4,190,197,opel
48,59,171,152,0,195,201,opel
38,58,134,128,6,177,184,opel
48,67,205,151,9,186,193,opel
46,68,201,148,38,191,202,opel
36,56,138,126,1,187,192,opel
54,67,200,163,20,190,198,opel
55,68,224,178,20,187,196,opel
39,56,139,131,5,179,186,opel
36,56,127,125,30,184,194,opel
55,68,205,169,18,189,196,opel
55,57,225,177,10,186,198,opel
58,69,219,176,4,187,196,opel
38,55,122,130,8,195,201,opel
52,62,200,161,17,194,201,opel
55,56,219,175,5,187,194,opel
54,53,217,174,31,187,198,opel
58,70,226,182,13,187,198,opel
53,58,217,166,24,188,198,opel
44,54,149,144,14,188,193,opel
52,67,189,161,5,188,195,opel
52,62,198,161,5,195,204,opel
35,58,114,122,4,182,187,opel
35,62,149,124,30,203,210,opel
42,65,178,141,29,193,200,opel
46,64,162,149,10,191,198,opel
55,62,212,175,14,187,194,opel
42,55,145,139,26,191,198,opel
36,62,140,123,35,194,202,opel
56,62,227,178,11,186,197,opel
54,58,215,175,23,186,194,opel
37,55,125,125,5,178,184,opel
38,57,139,127,20,183,191,opel
53,66,209,163,1,191,201,opel
55,69,225,178,14,187,195,opel
40,59,130,134,1,193,200,opel
55,59,215,177,26,186,195,opel
49,62,178,154,0,198,206,opel
43,63,185,142,12,195,204,opel
59,70,224,186,25,186,198,opel
38,59,147,132,20,181,187,opel
48,61,207,152,7,189,196,opel
55,62,222,180,3,186,196,opel
40,61,178,132,14,187,193,opel
54,57,219,170,12,187,195,opel
55,54,216,173,4,184,193,opel
35,59,147,131,1,197,203,opel
44,59,151,145,12,202,208,opel
55,70,223,177,11,188,196,opel
40,58,132,137,6,203,209,opel
46,64,197,152,33,194,205,opel
45,62,164,145,18,199,204,opel
46,66,192,151,32,191,200,opel
54,50,221,172,6,190,198,opel
48,62,205,158,32,195,206,opel
48,64,201,155,7,193,202,opel
57,72,221,177,12,186,195,opel
38,56,132,130,4,185,188,opel
34,57,114,119,7,179,183,opel
37,59,153,126,21,191,197,opel
45,65,201,147,5,189,195,opel
42,60,147,142,10,206,211,opel
47,64,168,150,2,192,198,opel
47,57,161,149,15,187,193,opel
41,55,135,136,4,180,187,opel
49,61,181,158,15,202,209,opel
43,56,149,143,18,198,203,opel
49,64,177,153,7,192,199,opel
51,63,190,161,0,191,198,opel
55,65,212,165,16,188,196,opel
38,59,169,132,33,193,202,opel
57,69,218,173,2,187,195,opel
36,57,131,127,27,183,187,opel
54,56,219,171,17,186,196,opel
51,57,212,162,21,191,201,opel
55,57,222,177,17,188,197,opel
36,55,147,128,24,197,203,opel
34,56,130,120,29,201,207,opel
39,60,177,131,38,190,198,opel
38,55,169,130,15,190,195,opel
38,59,130,130,21,183,187,opel
54,62,200,166,7,189,198,opel
46,58,165,149,11,200,208,opel
44,66,162,143,11,194,199,opel
45,59,154,145,14,184,189,opel
55,54,215,175,6,185,193,opel
42,62,183,141,12,189,197,opel
46,61,193,150,9,194,202,opel
38,56,163,129,9,192,198,opel
42,58,140,138,21,199,206,opel
38,62,161,135,29,197,206,opel
54,64,222,174,18,189,200,opel
38,61,164,129,25,198,205,opel
40,52,152,133,3,180,183,opel
36,56,128,124,21,183,191,opel
45,62,188,148,20,195,203,opel
36,56,123,124,16,178,185,opel
39,54,153,134,18,183,189,opel
50,63,193,161,5,198,204,opel
50,64,185,159,11,194,201,opel
38,62,126,132,7,185,190,opel
52,62,193,161,1,190,199,opel
37,59,162,133,6,198,204,opel
53,54,216,172,24,190,201,opel
38,61,146,127,9,187,194,opel
50,65,178,156,6,189,194,opel
44,70,189,141,21,187,194,opel
45,60,157,148,10,190,196,opel
52,64,203,157,19,193,203,opel
51,59,192,161,3,196,202,opel
35,60,150,125,33,191,198,opel
54,53,213,173,27,187,195,opel
39,62,162,131,22,185,191,opel
52,59,188,161,8,193,200,opel
40,57,153,133,9,181,187,opel
41,55,138,138,1,192,197,opel
57,63,227,180,19,186,198,opel
39,62,176,137,23,192,200,opel
52,67,198,163,20,192,201,opel
58,65,226,182,1,185,196,opel
56,74,220,172,16,186,195,opel
49,63,186,156,5,197,205,opel
57,74,212,175,4,186,193,opel
40,55,147,135,30,181,193,opel
54,67,218,170,21,187,196,opel
52,53,219,166,28,188,198,opel
56,59,210,173,22,188,196,opel
56,59,216,173,11,186,194,opel
40,62,140,135,21,183,190,opel
56,61,221,179,1,189,196,opel
35,59,142,128,13,197,202,opel
57,69,219,176,3,186,196,opel
37,54,154,127,13,186,191,opel
44,56,142,143,18,188,197,opel
38,61,167,134,28,189,198,opel
54,57,220,170,32,186,198,opel
55,70,210,168,6,188,197,opel
51,70,220,163,19,189,198,opel
54,58,222,171,6,189,198,opel
49,57,206,156,21,192,201,opel
56,69,208,169,5,186,193,opel
37,54,126,128,15,176,184,opel
39,62,172,135,23,201,209,opel
48,63,181,155,11,199,203,opel
36,62,157,125,22,198,205,opel
37,62,161,131,28,203,211,opel
40,55,150,134,1,180,186,opel
57,66,221,176,25,188,200,opel
55,68,215,170,29,189,201,opel
56,64,217,173,19,188,199,opel
40,62,176,138,29,189,199,opel
48,71,205,153,15,188,196,opel
52,64,202,164,2,197,206,opel
51,68,209,162,23,186,195,opel
45,57,150,146,2,193,198,opel
55,61,225,178,35,187,201,opel
41,56,146,137,5,184,188,opel
43,65,189,143,27,190,197,opel
49,67,201,156,11,189,196,opel
54,59,213,172,26,186,195,opel
43,59,151,141,2,193,197,opel
