@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
11,25,709,187,197,saab
12,23,627,194,205,saab
7,20,373,190,196,saab
9,21,459,196,205,saab
11,23,636,196,205,saab
6,18,238,179,183,saab
9,24,658,186,196,saab
11,25,710,189,199,saab
11,25,711,189,200,saab
8,20,422,188,195,saab
6,20,382,186,191,saab
6,18,243,186,192,saab
11,24,677,188,201,saab
4,18,245,180,184,saab
10,21,489,195,205,saab
4,17,196,183,190,saab
11,24,669,188,198,saab
10,24,641,187,197,saab
8,19,349,203,211,saab
7,20,389,192,197,saab
12,23,573,198,208,saab
8,19,308,194,201,saab
10,24,664,188,198,saab
9,23,613,193,204,saab
6,20,385,195,203,saab
10,25,718,187,199,saab
10,23,600,192,204,saab
11,25,709,189,201,saab
11,24,673,188,198,saab
7,18,229,180,184,saab
5,19,344,183,187,saab
11,24,638,189,200,saab
6,19,337,187,196,saab
7,21,467,189,195,saab
9,20,415,198,207,saab
9,21,472,193,201,saab
6,19,318,181,185,saab
10,21,440,201,210,saab
11,24,661,186,197,saab
10,24,640,189,199,saab
8,18,277,181,186,saab
8,22,506,189,196,saab
11,24,694,190,201,saab
10,24,697,188,197,saab
11,23,586,194,208,saab
12,24,674,191,199,saab
7,19,327,188,193,saab
5,19,333,182,185,saab
12,24,684,188,199,saab
9,21,433,191,199,saab
7,18,270,190,195,saab
8,20,373,193,199,saab
9,20,373,201,209,saab
10,24,635,191,202,saab
12,25,712,188,201,saab
11,25,712,189,199,saab
7,19,361,195,201,saab
9,22,525,193,201,saab
12,25,700,190,204,saab
10,23,635,188,196,saab
5,18,230,184,188,saab
10,24,681,188,197,saab
12,24,694,187,198,saab
9,22,561,194,203,saab
10,23,604,188,197,saab
11,25,707,188,199,saab
6,18,263,200,206,saab
8,21,460,192,199,saab
11,24,669,187,196,saab
9,20,418,197,204,saab
10,24,642,187,198,saab
12,24,692,192,206,saab
11,23,608,190,200,saab
8,20,427,195,201,saab
4,18,271,180,183,saab
11,24,648,189,197,saab
11,24,675,189,202,saab
7,19,330,180,185,saab
11,23,607,192,204,saab
7,18,298,201,207,saab
4,17,220,181,184,saab
8,19,367,197,204,saab
5,18,266,184,185,saab
12,25,713,186,200,saab
11,24,665,190,199,saab
9,23,584,189,197,saab
8,20,402,187,193,saab
3,17,184,181,183,saab
7,18,297,202,209,saab
9,20,415,197,205,saab
8,19,357,188,193,saab
9,22,527,193,202,saab
10,22,572,192,201,saab
8,19,353,190,195,saab
9,20,390,194,201,saab
7,21,452,195,202,saab
9,22,543,190,200,saab
8,19,298,193,200,saab
7,19,349,193,198,saab
8,21,471,189,196,saab
10,22,559,188,196,saab
8,20,378,190,197,saab
5,19,319,180,183,saab
11,22,545,196,205,saab
9,22,508,189,197,saab
10,21,492,191,199,saab
10,24,659,190,203,saab
12,25,712,189,203,saab
5,19,295,180,183,saab
11,24,703,188,199,saab
5,18,260,191,195,saab
8,21,486,192,202,saab
8,22,521,191,199,saab
7,19,340,195,201,bus
6,19,317,179,182,bus
6,21,457,199,201,bus
8,19,319,181,186,bus
7,19,362,197,206,bus
6,19,335,179,183,bus
6,19,323,180,183,bus
7,19,341,196,200,bus
6,23,622,193,193,bus
7,19,375,195,201,bus
52,19,325,180,183,bus
7,19,327,185,188,bus
7,19,328,179,182,bus
6,19,373,193,198,bus
8,19,320,179,182,bus
5,19,322,181,184,bus
6,19,343,186,190,bus
6,20,414,200,202,bus
6,19,336,183,189,bus
7,19,344,199,206,bus
7,26,816,183,184,bus
6,20,401,200,204,bus
7,19,345,195,204,bus
7,26,822,187,187,bus
19,19,342,186,189,bus
7,24,703,188,188,bus
6,28,998,181,182,bus
7,19,342,180,186,bus
8,19,325,179,183,bus
6,26,855,186,185,bus
7,19,321,192,196,bus
52,19,326,181,185,bus
7,19,337,188,192,bus
6,19,354,185,192,bus
7,19,359,185,190,bus
7,19,333,179,183,bus
6,19,327,185,191,bus
5,19,362,189,193,bus
5,24,671,191,189,bus
6,28,956,180,184,bus
5,20,419,196,200,bus
8,19,321,179,182,bus
7,19,320,179,182,bus
6,19,363,198,202,bus
6,22,570,195,193,bus
7,20,422,200,203,bus
5,21,479,197,197,bus
7,19,328,187,195,bus
5,27,891,181,182,bus
8,19,334,181,186,bus
7,19,327,180,182,bus
6,19,326,194,201,bus
6,20,393,198,205,bus
7,19,327,179,184,bus
7,19,349,183,189,bus
6,22,525,196,197,bus
7,19,362,192,199,bus
8,19,326,179,182,bus
5,24,666,193,191,bus
8,28,954,181,184,bus
8,19,332,179,183,bus
5,19,371,202,205,bus
5,19,352,188,195,bus
7,19,330,182,185,bus
6,19,318,195,200,bus
7,19,309,188,195,bus
7,21,487,197,200,bus
7,19,341,190,194,bus
8,19,332,181,184,bus
5,20,434,198,204,bus
8,18,311,196,203,bus
7,19,327,188,195,bus
4,26,838,185,184,bus
8,19,344,182,188,bus
5,22,576,193,191,bus
7,19,373,191,195,bus
6,29,1018,181,183,bus
7,19,322,189,196,bus
7,19,330,181,186,bus
6,19,341,201,205,bus
6,19,361,200,204,bus
8,19,361,199,206,bus
7,19,341,181,184,bus
7,19,323,186,189,bus
5,20,399,196,203,bus
7,22,558,195,195,bus
6,19,335,189,196,bus
4,26,844,184,184,bus
6,21,485,198,199,bus
7,23,596,192,191,bus
4,25,735,186,184,bus
7,19,312,191,198,bus
6,19,374,199,204,bus
7,26,866,186,184,bus
22,19,335,180,185,bus
7,19,317,181,185,bus
7,23,605,192,194,bus
7,19,336,192,197,bus
8,19,325,185,191,bus
6,19,334,180,184,bus
6,19,324,178,182,bus
5,22,534,195,196,bus
6,24,680,188,189,bus
6,25,766,188,187,bus
5,19,320,179,181,bus
5,27,928,184,183,bus
7,19,340,181,185,bus
6,20,450,197,199,bus
7,20,430,200,206,bus
6,20,446,196,201,bus
6,19,347,182,186,bus
7,19,337,183,188,bus
6,22,563,194,197,bus
7,19,350,183,187,bus
8,19,365,192,200,bus
6,26,857,184,184,bus
7,19,323,180,184,bus
7,19,332,193,201,bus
6,19,322,195,200,bus
7,19,312,188,193,bus
8,19,323,179,184,bus
6,22,524,195,195,bus
6,19,319,179,182,bus
5,20,408,196,200,bus
6,25,731,188,186,bus
6,26,870,184,183,bus
6,19,321,179,182,bus
5,21,485,196,198,bus
5,22,570,194,195,bus
5,27,928,183,183,bus
6,19,321,187,191,bus
6,19,312,184,188,bus
5,20,427,200,202,bus
7,19,323,179,182,bus
6,21,517,198,199,bus
5,23,625,191,190,bus
8,19,324,180,184,bus
7,21,476,198,201,bus
7,20,406,200,205,bus
7,19,347,196,205,bus
7,19,340,180,185,bus
7,19,341,185,189,bus
7,19,329,179,182,bus
7,19,347,182,187,bus
6,19,356,188,194,bus
7,19,333,182,188,bus
6,20,427,200,203,bus
7,21,520,196,199,bus
7,19,326,181,184,bus
6,21,484,196,198,bus
6,19,350,195,200,bus
5,23,629,192,191,bus
6,18,310,198,203,bus
5,22,533,195,198,bus
7,19,372,202,206,bus
8,19,331,183,188,bus
7,19,328,181,185,bus
7,19,325,180,182,bus
6,20,393,195,202,bus
6,28,982,182,183,bus
8,19,329,179,183,bus
5,18,306,188,193,bus
6,19,333,179,183,bus
6,19,322,181,183,bus
22,19,330,184,191,bus
8,19,333,180,185,bus
6,24,719,189,189,bus
6,19,333,180,183,bus
6,28,968,182,184,bus
7,19,330,180,184,bus
6,19,317,180,182,bus
6,19,385,200,204,bus
6,20,413,200,203,bus
7,21,463,197,202,bus
7,19,321,180,182,bus
4,24,682,190,189,bus
6,19,317,183,187,bus
6,18,299,193,199,bus
6,28,957,181,183,bus
5,21,465,197,199,bus
5,28,966,182,181,bus
6,19,349,189,195,bus
8,19,332,179,184,bus
7,19,325,201,207,bus
6,19,331,178,183,bus
6,19,341,202,209,bus
6,19,336,185,191,bus
8,19,322,180,182,bus
4,27,923,182,182,bus
4,25,776,187,186,bus
6,19,320,181,184,bus
6,20,379,193,197,bus
7,19,324,179,182,bus
6,19,325,180,182,bus
7,26,833,185,185,bus
7,19,337,181,187,bus
6,18,290,183,190,opel
6,19,335,193,198,opel
10,23,587,195,204,opel
10,22,553,196,202,opel
9,22,519,197,205,opel
12,25,748,185,196,opel
10,24,670,186,193,opel
11,24,677,185,194,opel
8,18,259,179,188,opel
9,18,261,188,198,opel
6,18,227,176,184,opel
8,18,290,199,206,opel
10,22,513,195,204,opel
9,22,562,190,199,opel
11,24,670,192,206,opel
8,19,322,206,211,opel
5,18,274,187,190,opel
10,25,737,188,196,opel
7,18,266,180,187,opel
6,18,229,178,184,opel
6,19,315,181,187,opel
9,19,295,181,189,opel
9,22,530,193,200,opel
10,24,683,185,193,opel
8,20,391,188,192,opel
11,23,623,189,196,opel
8,19,366,190,196,opel
7,19,322,197,203,opel
7,21,469,190,198,opel
10,24,669,186,194,opel
7,18,233,184,194,opel
7,18,240,183,191,opel
10,24,651,186,193,opel
10,23,601,189,196,opel
8,19,296,188,197,opel
10,25,728,189,198,opel
12,24,685,190,201,opel
10,23,631,188,196,opel
8,22,546,191,200,opel
4,17,209,177,184,opel
11,25,737,187,198,opel
11,25,756,186,198,opel
9,24,661,188,197,opel
8,21,466,192,200,opel
9,23,574,186,194,opel
11,25,708,186,196,opel
12,25,718,186,195,opel
11,24,684,186,194,opel
11,23,630,192,201,opel
7,20,406,199,204,opel
9,22,557,194,202,opel
13,25,741,186,198,opel
10,24,653,186,195,opel
8,19,348,191,197,opel
8,23,611,189,195,opel
11,25,730,187,201,opel
6,18,260,203,209,opel
8,23,602,194,201,opel
11,24,701,191,203,opel
11,24,706,187,195,opel
10,23,598,187,194,opel
12,24,644,191,200,opel
7,20,395,192,198,opel
7,18,286,187,192,opel
12,24,706,191,202,opel
8,19,367,198,205,opel
10,24,692,187,198,opel
13,25,722,186,196,opel
4,19,340,180,183,opel
5,18,284,204,210,opel
12,25,728,189,200,opel
7,19,342,193,197,opel
11,24,681,185,192,opel
5,18,259,177,184,opel
10,25,706,186,196,opel
13,25,726,185,198,opel
8,21,473,192,198,opel
10,24,665,186,195,opel
9,20,428,193,202,opel
10,24,657,187,194,opel
10,23,633,188,196,opel
10,24,682,187,196,opel
8,21,472,187,193,opel
11,23,575,194,205,opel
10,23,624,195,206,opel
8,20,402,198,205,opel
8,20,416,186,192,opel
8,20,426,192,198,opel
10,22,535,187,194,opel
8,18,252,183,187,opel
10,25,731,188,199,opel
9,20,430,190,195,opel
11,25,748,187,195,opel
10,21,481,197,204,opel
11,25,732,186,198,opel
11,24,696,188,199,opel
7,20,417,187,192,opel
8,18,282,183,191,opel
9,23,624,186,194,opel
9,21,504,193,200,opel
9,22,543,191,198,opel
10,21,494,202,209,opel
10,25,731,188,197,opel
11,23,650,189,196,opel
9,23,589,192,201,opel
7,19,330,180,186,opel
11,24,676,189,198,opel
12,23,595,192,202,opel
9,21,444,201,209,opel
9,20,388,197,206,opel
10,24,685,184,193,opel
11,25,707,186,198,opel
6,18,281,179,186,opel
10,23,616,193,203,opel
6,18,287,194,202,opel
6,20,396,194,199,opel
9,22,571,191,198,opel
7,18,251,201,207,opel
11,24,673,188,196,opel
7,19,317,184,188,opel
9,24,704,189,199,opel
6,21,481,189,194,opel
7,18,284,192,197,opel
6,19,343,202,208,opel
11,25,729,187,201,opel
11,24,653,191,201,opel
11,23,602,193,202,opel
7,20,371,190,196,opel
8,20,358,183,190,opel
7,18,252,193,200,opel
3,17,191,179,183,opel
9,21,455,197,206,opel
11,24,709,190,197,opel
9,23,600,189,198,opel
7,19,352,186,191,opel
9,21,494,199,203,opel
9,22,536,188,195,opel
7,17,219,195,201,opel
11,25,713,186,195,opel
8,20,409,200,208,opel
11,24,697,187,196,opel
7,19,350,184,189,opel
9,21,471,192,199,opel
11,25,710,188,197,opel
5,18,261,185,188,opel
10,24,682,186,194,opel
11,23,610,197,206,opel
7,20,388,185,191,opel
9,23,628,186,193,opel
8,19,331,191,198,opel
8,20,389,203,211,opel
12,25,757,186,197,opel
11,24,679,189,201,opel
12,25,717,186,196,opel
8,19,342,181,187,opel
7,19,334,203,210,opel
6,18,259,177,184,opel
6,19,332,188,193,opel
7,19,314,187,194,opel
9,22,567,198,204,opel
10,23,597,190,198,opel
11,24,693,188,198,opel
10,24,648,188,196,opel
8,20,396,191,198,opel
8,20,415,189,198,opel
10,24,669,187,195,opel
10,24,641,190,202,opel
7,20,394,198,204,opel
7,19,311,181,193,opel
7,19,333,198,203,opel
8,21,438,195,201,opel
6,19,312,191,198,opel
8,20,418,191,198,opel
10,22,534,190,197,opel
11,25,722,189,198,opel
10,22,526,195,203,opel
8,19,331,184,193,opel
6,18,232,185,190,opel
8,20,388,187,193,opel
10,25,711,188,198,opel
8,19,367,192,198,opel
6,18,304,197,202,opel
11,25,725,188,200,opel
10,22,573,188,197,opel
5,18,259,177,183,opel
7,18,266,193,203,opel
10,21,478,198,206,opel
9,25,713,187,194,opel
10,22,517,194,201,opel
10,24,678,186,195,opel
9,23,602,191,202,opel
