@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R13-15,20'

@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
15.777778,0.333333,15,1
10.444445,-13.555555,25.444445,5
52.555557,-22.11111,46.88889,6
32.333336,-15.888889,28.777779,6
0,-3.222222,6.444445,3
121.55556,-26.777779,41.555557,2
17.444445,-10.555555,-2.888889,7
0,-2.333333,4.666666,3
3.333333,4.222222,3.888889,1
120,-31,48,2
3.666667,-9,13,3
24.222221,-12,-6.666666,7
82.77778,-45,73.666664,2
42.555557,-16.666666,34,6
39,-17.444445,36.22222,4
2.888889,3,4.666666,1
18.444445,-5.444445,23.88889,1
0,0,0,3
24,-11.555555,-2.555556,7
58.11111,-22.555555,43.77778,4
29.88889,-8.888889,21.11111,4
32.333336,-11,-5.333334,7
1.444444,-4.666666,9.666667,5
11.555555,-4.888889,-5.222222,7
19.11111,-9.111111,-3.444444,7
44.11111,-16.666666,35.666668,6
15.333333,-0.777778,15.555555,1
35.77778,-10.888889,25.777779,4
41.333336,-11.888889,28.444445,4
3,4.666666,2.333333,1
50.666668,-16.444445,37.88889,4
30.777779,-12.222222,25.777779,6
41.555557,-13.222222,34.11111,6
12.222222,-2.666667,15.666667,1
0.444444,-5.111111,9.222222,3
4,-7.555555,7.444445,3
117.55556,-35.444443,49.555557,2
32.333336,-15.888889,28.777779,6
1.888889,-0.555556,1.777778,5
47.77778,-24.555555,48.11111,4
21.444445,-8.222222,-4.555555,7
54.11111,-19.777779,42.22222,6
3.333333,-8,12.666667,3
2.444444,5.888889,1.222222,1
47.333332,-14.888889,32.11111,4
23,-12.333333,-2.333333,7
3.555556,5.111111,1.444444,1
21.88889,-18.88889,24.11111,3
15.777778,-10.111111,-2.111111,7
20.666668,-10.777778,30.88889,1
51.555557,-14.333333,34.333332,4
20,-8,-7.666666,7
0.555556,-3.111111,4.888889,3
62,-16.777779,39.22222,4
0,-3.444444,6.888889,3
54.666668,-27.333334,50.333332,4
27.333334,-3.444444,10.888889,4
13.111111,-13.111111,25.555555,5
3.555556,-5.666666,11.666667,5
121.333336,-33.333332,48,2
131,-20.666666,34.333332,2
50,-21.333334,44.666668,6
0.888889,-5,10.333333,5
13.888889,3.444444,10.777778,1
15.555555,-0.444444,17.222221,1
41.77778,-15.777778,33.555557,6
0.888889,-7.222222,12.111111,3
64.55556,-26,34.666668,3
0.666667,-2.222222,5.444445,5
0.555556,-3.222222,6.111111,3
2.555556,-6.666666,7.333334,3
132.77779,-19.555555,30.11111,2
13.888889,-12.111111,16.555555,5
5.888889,-13.555555,18.777779,3
18.222221,-1.555556,-7.222222,7
19.444445,-22,27.666666,3
16,0,15.333333,1
23.333334,-6.444445,-10.777778,7
40.77778,-11.666667,30,6
0.444444,-3.888889,6.444445,3
42.555557,-13.333333,31.333334,6
26.222221,-42.444443,67.888885,3
34,-0.888889,9.777778,4
46.22222,-19.666666,42,6
17,-1.111111,18.222221,1
52.555557,-20.88889,45.11111,6
10.888889,-14.444445,19.222221,3
26.444445,-12,-8.666667,7
30.444445,-7.666666,14.666667,4
36.555557,-16.555555,24.777779,6
60.555557,-21,43.666668,4
0.777778,-1.555556,4.111111,5
50.77778,-20.555555,44.11111,6
53.555557,-20.666666,45,6
20.333334,-7.444445,17.222221,6
131.22223,-19,32.666668,2
27.555555,-14.444445,-7.444445,7
3.333333,4.777778,2.444444,1
5.555555,-5.888889,11.111111,5
39.555557,-11.111111,26.88889,4
13.555555,-12.333333,23,5
0.333333,-3,7,5
91.888885,-42,65.333336,2
18.333334,-10.222222,20.777779,5
0,0,0,5
39.333336,-13.333333,29.666666,6
14.222222,-0.555556,14.777778,1
94.44444,-39.88889,58.11111,2
37.333336,-16.444445,28.88889,6
120.111115,-30.88889,46.77778,2
4.777778,-9.333333,12,3
43.555557,-18.444445,39.88889,4
17.555555,-5.333334,23,1
10.888889,-9.444445,17.222221,5
52.22222,-24,44.666668,4
125.44444,-31.444445,45.555557,2
0.333333,-3.333333,6,3
120.44444,-33,46.666668,2
11.666667,-14.111111,25.222221,5
24.555555,-11.555555,-7.888889,7
38,-16.444445,24.555555,6
26.555555,-11.666667,-8.333333,7
15.555555,1.777778,14.777778,1
4.666667,-12.111111,16.88889,3
41.333336,-11.777778,31.222221,6
14.555555,-1.333333,17.666666,1
2.666667,-6.444445,13.555555,5
29,-9.888889,-8.888889,7
48.333332,-14.666667,32.666668,4
105.77778,-44.11111,56.88889,2
2,4.555555,1.888889,1
0.666667,-3.333333,7.666666,5
93.111115,-41.444443,67.888885,2
0.666667,-5.222222,9.111111,3
47.555557,-16.555555,39.11111,6
123.666664,-28.444445,42.88889,2
49.11111,-18,40.666668,6
36.666668,-19.11111,37.555557,6
11.888889,-7.111111,-3.777778,7
18.777779,-7.444445,-7.777778,7
20.333334,-4.777778,-8.111111,7
0,-4.111111,8.222222,5
3.222222,-1.111111,9.555555,1
13.222222,-10.111111,20.88889,4
