@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,12,14,16-17,20'

@attribute Region-centroid-row numeric
@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
96,61,-3.111111,-14.444445,61,4
128,5.444445,5.555555,-6.777778,6.888889,1
143,64.77778,-22.11111,-21.11111,64.77778,4
100,66.88889,-15.111111,-19.444445,66.88889,4
147,0,0,0,0,5
117,39,-11.444445,-11.777778,39,4
131,1.888889,-1.444444,-1.777778,1.888889,5
191,78.111115,-22.777779,-25.444445,78.111115,6
197,9.555555,-9.222222,16.444445,17.444445,7
62,139.33334,-33.444443,-14.111111,139.33334,2
193,76.55556,-23.222221,-22.222221,76.55556,6
76,19.444445,-15.222222,-2.555556,19.444445,3
86,124.111115,-38.666668,-16.333334,124.111115,2
116,27.555555,-1.444444,-16.11111,27.555555,1
152,0,0,0,0,5
132,4.222222,-3.888889,-2.888889,4.222222,3
92,12.666667,-12.666667,-3,12.666667,3
208,14.888889,-9.333333,20.333334,25.333334,7
138,66.77778,-16.555555,-19.88889,66.77778,4
85,6.777778,-5.888889,-2.222222,6.777778,3
152,0,0,0,0,5
41,29.777779,-5.111111,-16.777779,29.777779,1
91,52.666668,-17.555555,-7.555555,52.666668,3
111,23.777779,-11.666667,-11.333333,23.777779,5
188,76.55556,-21.666666,-23,76.55556,6
100,25.555555,0.777778,-15.555555,25.555555,1
186,59.88889,-14,-20.333334,59.88889,6
66,61.22222,-11.444445,-17.444445,61.22222,4
130,7.222222,5.444445,-7.222222,8.444445,1
180,36.333336,-8.777778,-9.111111,36.333336,6
39,140.33334,-30.88889,-17.555555,140.33334,2
159,22.333334,-0.555556,-4.888889,22.333334,4
239,9.666667,-8.111111,10.222222,13.777778,7
134,15.888889,-15.111111,-6.444445,15.888889,3
116,20,2.444444,-13.888889,21.222221,1
149,8.666667,-4,-5.666666,8.666667,1
79,10.555555,-10.888889,-4.555555,10.555555,3
107,23,2.444444,-15.555555,23.11111,1
177,18.444445,-11.444445,14.888889,24.555555,7
161,49.666668,-15.333333,-12.333333,49.666668,6
104,23.444445,-11.222222,-3.222222,23.444445,3
154,39.555557,-19.777779,-14.444445,39.555557,4
101,29.222221,-2.666667,-17.666666,29.222221,1
62,11.444445,-6.888889,-8.222222,11.444445,5
44,75.55556,-25.666666,-25,75.55556,4
42,36.22222,-11.444445,-12.444445,36.22222,4
68,60.11111,-25.88889,-12.888889,60.11111,3
54,127.111115,-36.333332,-15,127.111115,2
172,16.333334,-7.666666,15.666667,24.222221,7
124,64.44444,-14.333333,-17.666666,64.44444,4
195,6.888889,-6.555555,11.444445,12.333333,7
100,9.444445,-9.444445,-5.111111,9.444445,3
187,69.66667,-18.777779,-21.777779,69.66667,6
189,40.666668,-11.333333,-12.333333,40.666668,6
124,8.777778,3.444444,-8.555555,9,1
180,18.11111,-9.444445,18.88889,27.555555,7
33,132,-40.666668,-21.333334,132,2
123,2,-2.111111,-1.777778,2,3
238,16.555555,-8.333333,12,21.777779,7
68,126.333336,-39.444443,-17.444445,126.333336,2
137,42.333336,-6.111111,-10.111111,42.333336,4
110,7.444445,-4.333334,-5.333334,7.444445,5
105,19.777779,-7.555555,-6.222222,19.777779,5
26,146.77777,-16.777779,-12.444445,146.77777,2
89,27.777779,-1.666667,-16,27.777779,1
125,30.666666,-22.333334,-14,30.666666,3
129,1.555556,-1.555556,-1.555556,1.555556,3
185,9.777778,-4.222222,13.777778,17.555555,7
194,55.444443,-14.555555,-16.555555,55.444443,6
111,38.22222,-12.444445,-13.444445,38.22222,4
86,20.444445,-13.333333,-12,20.444445,5
70,26.666666,-14.444445,-2.444444,26.666666,3
127,6.777778,-7.444445,-1.444444,6.777778,3
162,15.888889,-10.666667,15,22.333334,7
180,22,-15.333333,17,28.222221,7
100,66.88889,-15.111111,-19.444445,66.88889,4
135,3,-1.444444,-3.777778,3,5
145,0,0,0,0,5
236,16.666668,-8.888889,7.111111,18.555555,7
86,28.555555,-13.666667,-10.666667,28.555555,5
66,38.22222,-9.222222,-20.222221,38.22222,1
144,0,0,0,0,5
166,16.333334,-13.888889,15.777778,22.222221,7
205,61.77778,-16.11111,-18.444445,61.77778,6
90,15,-7.444445,-7.444445,15,5
153,0,0,0,0,5
43,82.55556,-29.444445,-24.11111,82.55556,4
124,12.888889,-10.444445,-5.444445,12.888889,3
199,71,-19.333334,-22.666666,71,6
116,23.222221,-9.888889,-9.222222,23.222221,5
108,21.11111,4,-14.333333,21.11111,1
172,15,-11.222222,14.444445,20.88889,7
102,29.777779,-2.888889,-17.222221,29.777779,1
154,1.222222,-0.555556,-1.222222,1.222222,5
75,31.666666,-2.555556,-17.88889,31.666666,1
37,121.111115,-47.444443,-28.11111,121.111115,2
126,3.666667,-4.222222,-2.555556,3.666667,3
129,1.555556,-1.555556,-1.555556,1.555556,3
41,131.22223,-28.555555,-24.88889,131.22223,2
96,77,-22.444445,-22.777779,77,4
200,55.77778,-13.888889,-17.555555,55.77778,6
180,37.77778,-8.333333,-10.666667,37.77778,6
137,1.777778,-1.222222,-1.888889,1.777778,5
112,0.444444,-0.444444,-0.444444,0.444444,3
104,28.333334,-2.666667,-17,28.333334,1
45,63.77778,-14.888889,-17.222221,63.77778,4
139,1.777778,-2,-1.333333,1.777778,3
180,77.55556,-21.555555,-24.88889,77.55556,6
154,10.777778,-6.444445,-6.444445,10.777778,5
85,3.444444,-4,-1,3.444444,3
86,31.333334,-2.222222,-18.88889,31.333334,1
181,17.88889,-7.555555,12.777778,23.88889,7
155,20.666668,-10,18,29.333334,7
99,9,-9.111111,-5.444445,9,3
99,118,-43.22222,-30.555555,118,2
124,7.444445,4,-7.666666,8,1
138,3.111111,-1.111111,-4.111111,3.111111,5
164,15,-6,2,16.88889,7
180,62.333332,-15.555555,-20.222221,62.333332,6
50,138.88889,-35.88889,-17.222221,138.88889,2
101,39.444443,-11.888889,-12.888889,39.444443,4
81,47.22222,-11.111111,-15.777778,47.22222,4
126,8.222222,4.444445,-7.222222,8.888889,1
44,126.77778,-39,-23.333334,126.77778,2
69,32.555557,-7,-17.666666,32.555557,1
48,129.11111,-39.333332,-24.333334,129.11111,2
103,22.555555,2.666667,-15.333333,22.555555,1
103,5.666666,-6.111111,-4.444445,5.666666,3
139,8.555555,-6.888889,-6.222222,8.555555,5
64,118.666664,-46.77778,-30.777779,118.666664,2
56,36,-9.333333,-19.333334,36,1
65,26.777779,-2.111111,-15.777778,26.777779,1
102,6.333334,-6.666666,-3.666667,6.333334,3
89,24.444445,-11.777778,-11.111111,24.444445,5
70,64.88889,-10.444445,-19.11111,64.88889,4
136,25.333334,-19.555555,-9.888889,25.333334,3
106,24,-10.111111,-9.444445,24,5
36,84.77778,-29.444445,-25.777779,84.77778,4
162,50.11111,-18.222221,-9.222222,50.666668,6
60,128.22223,-30.666666,-24.666666,128.22223,2
130,8.666667,3.777778,-7.888889,9,1
84,30,-0.888889,-17.555555,30,1
73,47.333332,-5.111111,-10.111111,47.333332,4
190,40.11111,-11,-14.333333,40.11111,6
171,57.22222,-14.777778,-19.11111,57.22222,6
107,35.11111,-13,-9,35.11111,5
217,4.222222,-3.888889,10.111111,9.666667,7
143,9.444445,-9.888889,-5.888889,9.444445,3
244,9.777778,-2.111111,3.888889,11.888889,7
12,17.666668,-9,-9.666667,17.666668,5
182,12.777778,-6.666666,18.666666,23,7
97,145.44444,-23.444445,-9.777778,145.44444,2
153,38.77778,-20,-12.333333,38.77778,4
116,5.111111,-5.555555,-3.222222,5.111111,3
196,18.555555,-11.888889,15.111111,24.666666,7
132,1.111111,-1.111111,-1.111111,1.111111,3
178,41.88889,-12,-12.666667,41.88889,6
113,43.77778,-22,-14,43.77778,5
40,129,-43.444443,-11.444445,129,2
224,11.888889,-10.333333,15,18.444445,7
13,145.44444,-28.444445,-11.111111,145.44444,2
65,64.44444,-12.111111,-11.111111,64.44444,4
135,43.11111,-21.555555,-14.222222,43.11111,5
77,34.444447,-5.555555,-18.555555,34.444447,1
133,7.888889,4,-8.333333,8.222222,1
146,31.555555,-13.888889,-12.555555,31.555555,4
36,130.33334,-41.11111,-14.111111,130.33334,2
162,12,-5.111111,-5.777778,12,4
62,11.444445,-6.888889,-8.222222,11.444445,5
89,41,-13.111111,-14.777778,41,4
194,61.666668,-15.888889,-19.88889,61.666668,6
194,74.888885,-19.444445,-22.777779,74.888885,6
99,5.555555,-5.777778,-4.777778,5.555555,3
48,52.444443,-16.222221,-18.555555,52.444443,4
35,122.55556,-46.22222,-25.222221,122.55556,2
57,140.33334,-33.77778,-14.444445,140.33334,2
199,11.777778,-5,14.666667,19.88889,7
204,71.22222,-19.11111,-22.777779,71.22222,6
90,24.444445,-11.888889,-10.888889,24.444445,5
42,146.44444,-21.555555,-11.888889,146.44444,2
60,24.777779,-1.333333,-15,24.777779,1
53,27.444445,-2,-15.666667,27.444445,1
20,132.33334,-33.555557,-21.88889,132.33334,2
91,8,-7.666666,-5.333334,8,3
91,21,-10.333333,-9.333333,21,5
150,20,-16.444445,13.222222,23.333334,7
151,18.333334,-11.333333,13.333333,23.444445,7
125,23.666666,-11.888889,-9.888889,25.333334,3
111,75.333336,-17.444445,-21.777779,75.333336,4
193,55.333332,-13,-17.333334,55.333332,6
20,142.33334,-32.666668,-14.666667,142.33334,2
161,52.22222,-18.11111,-12.444445,52.22222,6
