@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,14,16-17,20'

@attribute Region-centroid-row numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
97,-23.444445,-9.777778,145.44444,2
153,-20,-12.333333,38.77778,4
116,-5.555555,-3.222222,5.111111,3
196,-11.888889,15.111111,24.666666,7
132,-1.111111,-1.111111,1.111111,3
178,-12,-12.666667,41.88889,6
113,-22,-14,43.77778,5
40,-43.444443,-11.444445,129,2
224,-10.333333,15,18.444445,7
13,-28.444445,-11.111111,145.44444,2
65,-12.111111,-11.111111,64.44444,4
135,-21.555555,-14.222222,43.11111,5
77,-5.555555,-18.555555,34.444447,1
133,4,-8.333333,8.222222,1
146,-13.888889,-12.555555,31.555555,4
36,-41.11111,-14.111111,130.33334,2
162,-5.111111,-5.777778,12,4
62,-6.888889,-8.222222,11.444445,5
89,-13.111111,-14.777778,41,4
194,-15.888889,-19.88889,61.666668,6
194,-19.444445,-22.777779,74.888885,6
99,-5.777778,-4.777778,5.555555,3
48,-16.222221,-18.555555,52.444443,4
35,-46.22222,-25.222221,122.55556,2
57,-33.77778,-14.444445,140.33334,2
199,-5,14.666667,19.88889,7
204,-19.11111,-22.777779,71.22222,6
90,-11.888889,-10.888889,24.444445,5
42,-21.555555,-11.888889,146.44444,2
60,-1.333333,-15,24.777779,1
53,-2,-15.666667,27.444445,1
20,-33.555557,-21.88889,132.33334,2
91,-7.666666,-5.333334,8,3
91,-10.333333,-9.333333,21,5
150,-16.444445,13.222222,23.333334,7
151,-11.333333,13.333333,23.444445,7
125,-11.888889,-9.888889,25.333334,3
111,-17.444445,-21.777779,75.333336,4
193,-13,-17.333334,55.333332,6
20,-32.666668,-14.666667,142.33334,2
161,-18.11111,-12.444445,52.22222,6
