@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,9,13-14,16,19-20'

@attribute Region-centroid-row numeric
@attribute Hedge-sd numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
120,60.06297,4.777778,-10.888889,-6.555555,-2.240133,3
152,1.108886,29.666666,-16.11111,13.888889,2.731134,7
154,3.174073,2.666667,-5.222222,-4.888889,-2.095813,5
211,1.733333,18.666668,-9,9.666667,2.554965,7
106,3.14074,14.888889,0,-15.333333,-1.55762,1
114,0.389682,24.11111,-12.555555,-9.222222,-2.196423,5
80,1.707408,103,-24.555555,-24.222221,-2.098697,2
190,1.466919,40.88889,-14.666667,-18,-2.025133,6
27,0.25185,133.44444,-14.888889,-12.222222,-2.146716,2
63,2.462962,17.11111,-6.111111,-15.777778,-1.813886,1
196,3.678264,55.444443,-22.555555,-24.222221,-2.070441,6
142,0.151852,2.333334,4.888889,-6.777778,-0.776334,1
96,0.34074,1.777778,-8.111111,-6.111111,-2.186234,3
197,6.418518,27.555555,-11.444445,18.88889,2.243094,7
134,0.730296,38.77778,-22.777779,-17.777779,-2.175349,4
126,0.418519,2.888889,6.777778,-7.555555,-0.612886,1
80,0.720082,12.444445,-11.888889,-10.222222,-2.142269,5
136,0.477777,0.888889,-5.333334,-4.666666,-2.130339,5
69,1.47196,52,-18.333334,-22.666666,-2.022861,4
138,0.177778,0,-2.333333,-2.333333,-2.094395,3
189,0.860663,51.444443,-19.444445,-25.444445,-2.005956,6
122,0.388889,0.333333,-4.777778,-3.777778,-2.153599,3
133,0.272166,0.111111,-1.666667,-4.333334,-1.822563,5
145,0.122222,1.888889,3.777778,-6.555555,-0.959485,1
131,0.044444,0,-1.555556,-1.555556,-2.094395,3
111,0.385187,1.777778,0.888889,-6.111111,-1.43724,1
104,0.740741,51,-13.666667,-19,-1.985221,4
128,0.844444,30.88889,-10.444445,-14.111111,-1.981846,4
214,0.240741,10.666667,-5.444445,11.555555,2.058329,7
158,1.29386,27.88889,-17.222221,17.11111,2.624707,7
131,0.172133,0,-0.666667,-0.666667,-2.094395,5
139,0.522222,3.555556,4.333334,-7.666666,-0.965946,1
140,0.577778,3.777778,4.666666,-7.666666,-0.909267,1
90,0.45542,3.888889,-5.777778,-8.111111,-1.987466,5
43,0.611111,121.55556,-27.444445,-14.777778,-2.280207,2
113,0.327731,0.111111,-2.888889,-2.555556,-2.123254,3
82,4.385186,4.777778,-11.444445,-2.444444,-2.451983,3
56,1.6,16.88889,-4.888889,-17.555555,-1.759414,1
18,0.374079,135,-15.888889,-10.888889,-2.214612,2
93,0.862962,10.444445,-13.555555,-11.888889,-2.137493,5
184,1.810463,42.22222,-13.111111,-18.11111,-1.986776,6
185,2.154238,50,-20.88889,-21.222221,-2.088855,6
148,0.507408,24.222221,-22.88889,-14.555555,-2.237972,4
176,2.855145,45.444443,-19.777779,-22.444445,-2.051636,6
189,1.005541,43,-13.666667,-20,-1.973221,6
138,0.490653,4.222222,-9.555555,-2.888889,-2.406809,3
23,1.224743,118.22222,-36,-14.333333,-2.356262,2
143,0.172133,0,-1.333333,-2,-1.986938,5
215,1.129629,22.88889,-8.555555,17.11111,2.105197,7
118,0.107407,3.222222,4.111111,-7.222222,-0.960827,1
133,0,0,0,0,0,3
145,0.062963,3,3.111111,-6.888889,-1.068968,1
124,0.062963,2.777778,5.333334,-7,-0.752669,1
107,0.418522,130,-23.666666,-11,-2.317384,2
104,2.000002,16.555555,-4.111111,-16.11111,-1.72879,1
138,0.712326,0.555556,-3.111111,-1.777778,-2.219242,3
96,0.418519,80.77778,-44.444443,-30.11111,-2.219979,2
104,0.516399,48.77778,-20.555555,-20.88889,-2.08549,4
246,0.772202,29.88889,-11.777778,21.222221,2.158915,7
207,3.008629,45.444443,-18.333334,-20,-2.063353,6
15,0.118519,137.88889,-19.333334,-8.666667,-2.328472,2
176,1.169045,43,-13.555555,-20.222221,-1.965703,6
194,1.420747,26.11111,-10.888889,17.777779,2.224382,7
116,0.133333,3.111111,3.444444,-7.555555,-1.099624,1
28,0.658281,54.666668,-26.88889,-23.222221,-2.144507,4
195,2.354665,42,-16.11111,-17.777779,-2.056734,6
199,1.041722,17.88889,-10.222222,10.111111,2.634176,7
221,1.585186,19.11111,-10.222222,15.111111,2.317212,7
134,0.062963,3.333333,5.333334,-7.666666,-0.806042,1
154,5.751853,1,-0.888889,-2.555556,-1.905927,5
236,1.362964,22.222221,-11.111111,16.88889,2.306678,7
33,0.196295,102.333336,-39.333332,-22.666666,-2.266225,2
34,0.403687,10.555555,-11.888889,-9.555555,-2.162872,5
66,7.073164,39,-4.777778,-10.777778,-1.83808,4
32,0.655558,104.333336,-38.444443,-23.11111,-2.255674,2
156,2.355556,24,-14.444445,17.222221,2.47582,7
126,2.122222,16.88889,-13.333333,-11,-2.158805,4
95,0.062963,16.222223,-13.888889,-11.888889,-2.146185,5
133,0.02963,0,-2.222222,-2.222222,-2.094395,3
33,0.250925,30.555555,-13.444445,-15.777778,-2.030428,4
47,0.488888,131.11111,-22,-11,-2.30244,2
101,1.186342,39,-18.11111,-18.11111,-2.094303,4
125,0.162963,15,-10,-9.666667,-2.104083,4
119,0.611616,40.22222,-14.888889,-16.222221,-2.064038,4
110,2.296298,24.444445,-18.88889,-14.555555,-2.182018,5
106,0.477778,0.666667,-5.888889,-5.222222,-2.133095,3
189,3.455537,53.77778,-19.222221,-22.88889,-2.035894,6
116,0.074074,2.888889,3.444444,-7.555555,-1.093148,1
98,0.918937,2,-4.444445,-0.111111,-2.548898,3
93,9.140738,15.444445,-4.444445,-14.777778,-1.730306,1
24,1.140749,123.55556,-29.88889,-12.222222,-2.349252,2
133,0.327731,0.111111,-2.888889,-2.555556,-2.123254,3
