@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,10,14-15,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
63,158,22.185184,-17.222221,0.111111,7
204,131,0.222222,-0.666667,1.333333,5
105,139,6.111111,4.333334,3.333333,1
146,140,6.333334,4.666666,3,1
225,90,6.592593,-5.777778,13.888889,5
163,43,126.48148,-27.444445,42.22222,2
124,113,0.962963,-2.888889,5.444445,3
26,82,5.592593,-11.444445,13.888889,3
42,56,22.74074,-4.888889,22.444445,1
7,18,138.62962,-15.888889,26.777779,2
239,93,14.407408,-13.555555,25.444445,5
168,184,48.25926,-13.111111,31.222221,6
138,185,57.074074,-20.88889,42.11111,6
217,148,29.074074,-22.88889,37.444443,4
252,176,52.925926,-19.777779,42.22222,6
200,189,49.666668,-13.666667,33.666668,6
25,138,5.185185,-9.555555,12.444445,3
245,23,123,-36,50.333332,2
214,143,0.666667,-1.333333,3.333333,5
94,215,17.185184,-8.555555,-8.555555,7
227,118,5.62963,4.111111,3.111111,1
22,133,0,0,0,3
217,145,5.296296,3.111111,3.777778,1
77,124,5.111111,5.333334,1.666667,1
189,107,133.66667,-23.666666,34.666668,2
123,104,21.925926,-4.111111,20.222221,1
96,138,1.148148,-3.111111,4.888889,3
190,96,90.81481,-44.444443,74.55556,2
94,104,55.74074,-20.555555,41.444443,4
94,246,22.814816,-11.777778,-9.444445,7
10,207,52.11111,-18.333334,38.333332,6
184,15,140.77777,-19.333334,28,2
65,176,49.74074,-13.555555,33.77778,6
222,194,20.185184,-10.888889,-6.888889,7
22,116,5.62963,3.444444,4.111111,1
79,28,62.407406,-26.88889,50.11111,4
251,195,47.925926,-16.11111,33.88889,6
169,199,14.518518,-10.222222,0.111111,7
89,221,14.074074,-10.222222,-4.888889,7
182,134,5.888889,5.333334,2.333333,1
121,154,1.851852,-0.888889,3.444444,5
214,236,16.592592,-11.111111,-5.777778,7
86,33,109.888885,-39.333332,62,2
201,34,13.740741,-11.888889,21.444445,5
162,66,42.592594,-4.777778,15.555555,4
56,32,112.03704,-38.444443,61.555557,2
205,156,18.25926,-14.444445,-2.777778,7
118,126,20.555555,-13.333333,24.333334,4
6,95,20.185184,-13.888889,25.777779,5
118,133,0.740741,-2.222222,4.444445,3
52,33,35.814816,-13.444445,29.222221,4
245,47,134.77777,-22,33,2
191,101,45.037037,-18.11111,36.22222,4
44,125,18.222221,-10,19.666666,4
142,119,45.62963,-14.888889,31.11111,4
166,110,29.296297,-18.88889,33.444443,5
237,106,2.407408,-5.888889,11.111111,3
105,189,61.407406,-19.222221,42.11111,6
227,116,5.407407,3.444444,4.111111,1
33,98,2.037037,-4.444445,4.555555,3
26,93,20.37037,-4.444445,19.222221,1
143,24,127.62963,-29.88889,42.11111,2
98,133,0.962963,-2.888889,5.444445,3
