@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,13,15,18,20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exblue-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
129,1.111111,3.777778,3.111111,0.541887,1
121,2,17.555555,21,0.415524,1
66,1.5,13.444445,16,0.437855,1
104,1.5,58.11111,38.11111,0.254697,4
145,1.277778,0.777778,1.777778,0.251852,3
139,0.777778,3,3.333333,0.566799,1
92,2.5,14.333333,15.111111,0.401025,1
29,0.444443,107.111115,55.444443,0.245093,2
144,0,0,0,0,5
39,1.333333,108.44444,54.333332,0.241459,2
177,1.444444,24.555555,-3.444444,0.35899,7
15,1.111111,61.77778,52.11111,0.30227,4
94,1.277776,85.77778,71.77778,0.321505,2
176,1.555556,43.333332,35.444443,0.302421,6
190,1.388889,45.333332,36.444443,0.297733,6
65,1,6.333334,16.222221,0.583461,5
21,2.055556,120.888885,50.555557,0.203582,2
35,1.111113,119.111115,46.666668,0.183109,2
114,0.277778,0.555556,6.444445,0.881481,3
129,0.888889,4,2.666667,0.530556,1
128,0.666667,3,2.666667,0.597443,1
80,0.833334,51.666668,41.333332,0.290834,4
64,1.833333,5.333334,13.666667,0.579142,5
191,5.722222,42.11111,31.333334,0.279764,6
145,0.222222,0.111111,2,0.527778,5
125,1.944445,32.444447,30.333334,0.321825,4
77,1.611111,3.555556,15.666667,0.891608,3
102,0.444445,50.11111,37,0.274353,4
95,0.944444,16.222223,15.777778,0.390436,1
113,2.944444,15.333333,15.555555,0.396589,1
70,1.833333,17.88889,19.333334,0.406015,1
124,2.388889,12.333333,28.333334,0.691123,3
132,0.555555,0.111111,3.777778,0.981482,3
174,1.666667,29,-9.888889,0.32797,7
110,2.666667,13.444445,10.555555,0.368848,1
123,1.111111,51.333332,33.22222,0.251194,4
33,0.888888,119.55556,49,0.196297,2
25,1.277776,94.888885,69.77778,0.297528,2
111,0.611111,3.222222,2.888889,0.581349,1
139,0.111111,0,7.777778,1,5
178,5.222221,42.333336,32.77778,0.289863,6
73,0.61111,39.77778,14.777778,0.184376,4
211,2,17.222223,-2.222222,0.374806,7
123,13.222221,46.333332,33.88889,0.280593,4
12,1.611112,114.55556,48.88889,0.207675,2
113,0.722222,17.222223,22.777779,0.414807,5
78,2.611111,61.11111,56.11111,0.325487,4
119,0.944446,35.11111,25.11111,0.271717,4
105,2.166666,39.666668,31.777779,0.295992,4
138,0.5,1.444444,10.444445,0.799603,5
199,1.055556,21.555555,1.111111,0.393002,7
200,3.444445,48.666668,42.77778,0.309826,6
66,10.944443,37.77778,29,0.350169,3
132,0.222222,2.888889,2.222222,0.593254,1
63,0.666668,114.666664,52,0.211484,2
79,1.333333,3.333333,13.111111,0.791667,3
115,1.444445,129.77779,37.666668,0.152134,2
115,0.555555,0.777778,8.333333,0.962963,3
145,0.722222,3,3.777778,0.564153,1
79,0.777779,102.77778,56.444443,0.258079,2
91,0.555555,3.666667,11.333333,0.620651,5
112,0.5,0.111111,2.333333,0.666667,3
80,2.5,19.555555,25.333334,0.432471,1
69,0.944444,36.555557,11.666667,0.17869,4
163,18.666666,36.555557,25,0.281536,6
191,1.5,11.222222,-5.666666,0.53582,7
95,1.333333,5.333334,9.444445,0.512566,5
193,2.555556,52.77778,42.555557,0.295304,6
53,2.833333,20.11111,33.77778,0.474773,1
172,2.333334,35.666668,0,0.312295,7
46,2.166668,119.888885,49.333332,0.200124,2
124,0.444444,0.222222,4.666666,1,3
89,0,0,0,0,5
131,9.222222,30.666666,30.222221,0.338619,4
95,1.111111,4.555555,18.222221,0.816909,3
210,1.5,17.333334,-8.888889,0.48874,7
42,1.666668,104.888885,51.88889,0.241934,2
170,0.944444,30.88889,-0.333333,0.349112,7
66,1.444443,116.888885,51.666668,0.205803,2
40,1.499999,118.333336,47.666668,0.188503,2
197,4.944445,44.11111,35.666668,0.296328,6
185,9.888888,27.88889,18.333334,0.250444,6
185,2,46.88889,39,0.302539,6
21,1.166667,122.666664,45.333332,0.184022,2
126,3.388889,20,16.777779,0.305785,4
144,0.5,0,6.888889,1,3
200,4.833333,47.22222,42.88889,0.317362,6
190,1.611111,43,33.555557,0.290788,6
182,3.611111,30.444445,23.88889,0.285756,6
85,2.055556,2.666667,13.777778,0.885825,3
135,0.444444,0.777778,8.111111,0.849735,5
75,11.111111,111.22222,48.88889,0.20299,2
99,3.055555,2.333334,14.555555,0.9109,3
46,2.166668,119.888885,49.333332,0.200124,2
120,4.277778,44,29.777779,0.263467,4
137,3.444445,37.333336,13.444445,0.176066,4
231,2.666667,17,-3.555556,0.485216,7
59,1.333333,116.77778,50.22222,0.203326,2
237,0.555555,11.777778,-7,0.522999,7
170,1.222222,19.555555,1.444444,0.346719,7
188,1.944443,43.333332,34.444443,0.294774,6
211,1.611111,17.777779,-4.222222,0.375346,7
188,1.111111,52.555557,43.666668,0.299511,6
188,5.111111,26.555555,19.444445,0.275863,6
113,0.777778,3,3.222222,0.579365,1
137,0.277778,0,1.333333,0.666667,3
108,1.388889,12.888889,10.333333,0.388756,1
182,3.611111,30.444445,23.88889,0.285756,6
176,5.111111,51.88889,46.11111,0.314462,6
185,0.944444,24.666666,-3.111111,0.396458,7
61,3.111111,14,15.777778,0.419522,1
96,0.666666,15.111111,26.555555,0.472764,5
174,1.722222,17,-2.777778,0.359296,7
55,1.277778,15.888889,16.88889,0.404791,1
136,0.444444,3.333333,2.444444,0.535714,1
31,0.888889,121.888885,48.77778,0.192456,2
116,0.499999,54.11111,46.333332,0.313235,4
64,1.333331,103.77778,52.333332,0.236797,2
157,2.111111,23.88889,-3,0.314187,7
135,1.055556,3.222222,2.222222,0.565476,1
122,11.444444,34.333336,25,0.282411,4
114,0.5,12.444445,24,0.510924,5
117,1.277778,39.666668,37.666668,0.330477,4
15,1.222221,128.33334,39.333332,0.153616,2
35,1.222221,88.77778,72.22222,0.319499,2
125,0.5,0.222222,7.555555,1,3
109,1.111111,0.777778,8.444445,0.969136,3
64,2,49.11111,43.22222,0.313003,4
90,0.666667,1,12.222222,0.926146,3
67,2.444445,14.555555,17.666666,0.436939,1
161,9.222222,39.666668,31.444445,0.308104,6
173,2.111111,22.333334,-4.777778,0.396433,7
122,0.444444,0.444444,2,0.555556,3
121,0.944445,13.555555,36,0.696178,3
136,2.777778,15.666667,19,0.425293,3
61,0.722222,6.111111,16.666666,0.588823,5
